汉字	注释	隆回荷香桥	隆回六都寨	隆回七江	隆回司门前	隆回金石桥	隆回小沙江	隆回西洋江	隆回横板桥	隆回岩口	隆回罗洪	隆回高坪	洞口石江	洞口江口	洞口长塘	洞口山门	洞口高沙	洞口花园	绥宁金屋塘	绥宁梅坪	绥宁黄土矿	绥宁唐家坊	绥宁瓦屋塘
磨	名词	mo55	mo55	mo55	mo55	mo55	mo55	mo55	mo55	mo55	mo55	mo55	mo55	mo55	mo55	mo55	mo55	mo55	mo55	mo55	mo33	mo33	mo33
朵		to312	to312	to312	to312	to312	to312	to312	to312	to312	to312	to312	to312	to312	to312	to312	to312	to312	to312	to312	to312	to312	to312
剁		to45	to55	to55	to55	to55	to55	to45	to45	to55	to45	to45	to24	to24	to24	to45	to24	to35	to24	to24	to35	to55	to35
椭		tʰo312	xo312	xo312	tʰo312	tʰo312	tʰo312	xo312	xo312	xo312	xo312	tʰo312	xo312	tʰo312	xo312	xo312	tʰo312	tʰo312	tʰo312	tʰo312	tʰo312	tʰo312	tʰo312
唾		tʰo45	xo45	xo45	tʰo45	tʰo45	tʰo45	xo45	xo45	tʰo55	xo55	tʰo55	xo24	tʰo24	xo24	xo45	tʰo24	tʰo35	tʰo24	tʰo24	tʰo33	tʰo55	tʰo35
糯		lo55	lũ55	lõ55	lo55	lo55	lo55	lo55	lo55	lũ55	lo55	lo55	lo55	lo55	lo55	lo55	lo55	lo33	lo55	lo55	lɔ̃55	lo55	lo55
脶		lo13	lo13	lo13	lo13	lo13	lo13	lo13	lo13	lo13	lo13	lo13	lo13	lo13	lo13	lo13	lo13	lo13	lo13	lo13	lo55	lo13	lo13
裸		lo312	lo312	lo312	lo312	lo312	lo312	lo312	lo312	lo312	lo312	lo312	lo312	lo312	lo312	lo312	lo312	lo312	lo312	lo312	lo312	lo312	lo312
摞		lo55	lo55	lo55	lo55	lo55	lo55	lo45	lo45	lo55	lo55	lo55	lo55	lo55	lo55	lo45	lo24	lo35	lo55	lo55	lo35	lo55	lo35
锉		tsʰo45	tsʰo55	tsʰo55	tsʰo55	tsʰo55	tsʰo55	tsʰo45	tsʰo45	tsʰo55	tsʰo55	tsʰo55	tsʰo24	tsʰo24	tsʰo24	tsʰo45	tsʰo24	tsʰo35	tsʰo24	tsʰo24	tsʰo33	tsʰo55	tsʰo35
矬		tsʰo13	tsʰo13	tsʰo13	tsʰo13	tsʰo13	tsʰo13	tsʰo13	tsʰo13	tsʰo13	tsʰo13	tsʰo13	tsʰo13	tsʰo13	tsʰo13	tsʰo13	tsʰo13	tsʰo13	tsʰo13	tsʰo13	tsʰo35	tsʰo13	tsʰo13
坐		tsʰo312	tsʰo312	tsʰo312	tsʰo312	tsʰo312	tsʰo312	tsʰo312	tsʰo312	tsʰo33	tsʰo312	tsʰo55	tsʰo312	tsʰo312	tsʰo312	tsʰo312	tsʰo312	tsʰo312	tsʰo312	tsʰo312	tsʰo312	tsʰo55	tsʰo312
座		tsʰo55	tsʰo55	tsʰo55	tsʰo55	tsʰo55	tsʰo55	tsʰo45	tsʰo45	tsʰo55	tsʰo55	tsʰo55	tsʰo55	tsʰo55	tsʰo55	tsʰo45	tsʰo24	tsʰo35	tsʰo55	tsʰo55	tsʰo33	tsʰo55	tsʰo55
蓑		so33	so33	so33	so33	so33	so33	so55	so55	so33	so33	so33	so55	so55	so55	so55	so55	so55	so55	so55	so33	so33	so33
琐		so312	so312	so312	so312	so312	so312	so312	so312	so312	so312	so312	so312	so312	so312	so312	so312	so312	so312	so312	so312	so312	so312
锅		o45	o33	o33	o33	o33	o33	o55	o45	o55	o55	o55	o55	o55	o55	ko55/o55	ko55/o55	ko55/o55	ko55	ko55	ko33	ko33	ko33
果		ko312	ko312	ko312	ko312	ko312	ko312	ko312	ko312	ko312	ko312	ko312	ko312	ko312	ko312	ko312	ko312	ko312	ko312	ko312	ko312	ko312	ko312
过		ko45	ko55	ko55	ko55	ko55	ko55	ko45	ko45	ku55	ko45	ko55	ko24	ko24	ko24	ku45	ko24	ko35	ko24	ko24	ko35	ko55	ko55
窠		kʰo33	kʰo33	kʰo33	kʰo33	kʰo33	kʰo33	kʰo55	kʰo55	kʰo33	xo33	kʰo33	kʰo55	kʰo55	kʰo55	kʰo55	kʰo55	kʰo55	kʰo55	kʰo55	kʰo33	kʰo33	kʰo33
颗		kʰo312	kʰo312	kʰo312	kʰo312	kʰo312	kʰo312	kʰo312	kʰo312	kʰo33	xo312	kʰo312	kʰo312	kʰo312	kʰo312	kʰo312	kʰo312	kʰo312	kʰo312	kʰo312	kʰo312	kʰo312	kʰo312
课		kʰo45	kʰo55	kʰo45	kʰo55/kʰo45	kʰo55/kʰo45	kʰo13	kʰo55	kʰo45	kʰo55	xo55	kʰo55	kʰo24	kʰo24	kʰo24	kʰo55	kʰo24	kʰo55	kʰo24	kʰo24	kʰo33	kʰo55	kʰo55
卧		o55	o55	o45	o55	o55	o55	o45	o45	o55	o55	o55	o55	o55	o55	o45	o24	o35	o55	o55	o55	o55	o35
火		xo312	xo312	xo312	xo312	xo312	xo312	xo312	xo312	xo312	xo312	xo312	xo312	xo312	xo312	xo312	xo312	xo312	xo312	xo312	xo312	xo312	xo312
货		xo55	xo55	xo55	xo55	xo55	xo55	xo45	xo45	xo55	xo55	xo55	xo24	xo24	xo24	xo45	xo24	xo35	xo24	xo24	xo35	xo55	xo35
禾		u13	o13	o13	o13	o13	o13	o13	o13	o13	u13	o13	o13	o13	o13	o13	o13	o13	o13	o13	o55/u55	o13/u13	o13/u13
祸		xo55	xo55	xo55	xo55	xo55	xo55	xo45	xo55	xo55	xo55	xo55	xo55	xo55	xo55	xo45	xo24	xo35	xo55	xo55	xo312	xo55	xo33
和		xo13	xo13	xo13	xo13	xo13	xo13	xo13	xo13	xo13	xo13	xo13	xo13	xo13	xo13	xo13	xo13	xo13	xo13	xo13	xo13	xo13	xo13
茄		tɕʰᴀ13	tɕʰᴀ13	tɕʰᴀ13	tɕʰᴀ13	tɕʰᴀ13	tɕʰᴀ13	tɕʰᴀ45	tɕʰᴀ45	tɕʰᴀ13	tɕʰᴀ13	tɕʰiᴀ13	tɕʰᴀ24	tɕʰᴀ24	tɕʰᴀ24	tɕʰiᴀ55	tɕʰᴀ13	tɕʰᴀ13	tɕʰᴀ24	tɕʰᴀ24	tɕʰᴀ55	tɕʰᴀ13	tɕʰᴀ13
靴		ɕiᴀ33/ɕye33	ɕiɛ33	ɕiɛ33	ɕiɛ33	ɕᴇ33	ɕᴀ33	ɕyɛ55	ɕyɛ55	ɕiᴀ33	ɕiᴀ33/ɕye33	ɕiᴀ33	ɕyɛ55	ɕᴀ55	ɕᴀ55	ɕyɛ55	ɕyɛ55	ɕyɛ55	ɕᴀ55	ɕᴀ55	ɕyə33	ɕye33	ɕyə33
疤		pᴀ33	pᴀ33	pᴀ33	pᴀ33	pᴀ33	pᴀ33	pᴀ55	pᴀ55	pᴀ33	pᴀ33	pᴀ33	pᴀ55	pᴀ55	pᴀ55	pᴀ55	pᴀ55	pᴀ55	pᴀ55	pᴀ55	pᴀ33	pᴀ33	pᴀ33
把		pᴀ312	pᴀ312	pᴀ312	pᴀ312	pᴀ312	pᴀ312	pᴀ312	pᴀ312	pᴀ312	pᴀ312	pᴀ312	pᴀ312	pᴀ312	pᴀ312	pᴀ312	pᴀ312	pᴀ312	pᴀ312	pᴀ312	pᴀ312	pᴀ312	pᴀ312
欛		pᴀ45	pᴀ55	pᴀ55	pᴀ55	pᴀ55	pᴀ55	pᴀ45	pᴀ45	pᴀ55	pᴀ45	pᴀ55	pᴀ24	pᴀ24	pᴀ24	pᴀ45	pᴀ24	pᴀ35	pᴀ24	pᴀ24	pᴀ35	pᴀ55	pᴀ35
怕		pʰᴀ55	pʰᴀ55	pʰᴀ55	pʰᴀ55	pʰᴀ55	pʰᴀ55	pʰᴀ45	pʰᴀ45	pʰᴀ55	pʰᴀ55	pʰᴀ55	pʰᴀ24	pʰᴀ24	pʰᴀ24	ɸᴀ45	pʰᴀ24	pʰᴀ35	pʰᴀ24	pʰᴀ24	pʰᴀ53	pʰᴀ55	pʰᴀ35
爬		pʰᴀ13/lᴀ13	pʰᴀ13/lᴀ13	pʰᴀ13/lᴀ13	pʰᴀ13/lᴀ13	pʰᴀ13/lᴀ13	pʰᴀ13/lᴀ13	pʰᴀ13/lᴀ13	pʰᴀ13/lᴀ13	pʰᴀ13	pʰᴀ13/lᴀ13	pʰᴀ13	pʰᴀ13/lᴀ13	pʰᴀ13/lᴀ13	pʰᴀ13/lᴀ13	lᴀ13	pʰᴀ13/lᴀ13	pʰᴀ13/lᴀ13	pʰᴀ13/lᴀ13	pʰᴀ13/lᴀ13	pʰᴀ55/lᴀ55	pʰᴀ13/lᴀ13	pʰᴀ13/lᴀ13
耙		pʰᴀ13	pʰᴀ13	pʰᴀ13	pʰᴀ13	pʰᴀ13	pʰᴀ13	pʰᴀ13	pʰᴀ13	pʰᴀ13	pʰᴀ13	pʰᴀ13	pʰᴀ13	pʰᴀ13	pʰᴀ13	ɸᴀ13	pʰᴀ13	pʰᴀ13	pʰᴀ13	pʰᴀ13	pʰᴀ55	pʰᴀ13	pʰᴀ13
麻		mɔ̃13	mᴀ13	mɑ̃13	mɑ̃13	mᴀ13	mᴀ13	mᴀ13	mᴀ13	mã13	mᴀ13	mã13	mᴀ13	mᴀ13	mᴀ13	mᴀ13	mᴀ13	mᴀ13	mᴀ13	mᴀ13	mᴀ55	mᴀ13	mᴀ13
马		mɔ̃312	mᴀ312	mɑ̃312	mɑ̃312	mᴀ312	mᴀ312	mᴀ312	mᴀ312	mã312	mã312	mã312	mᴀ312	mᴀ312	mᴀ312	mᴀ312	mᴀ312	mᴀ312	mᴀ312	mᴀ312	mᴀ312	mᴀ312	mᴀ312
骂		mɔ̃55	mᴀ55	mɑ̃55	mɑ̃55	mᴀ55	mᴀ55	mᴀ55	mᴀ55	mã55	mᴀ55	mã55	mᴀ55	mᴀ55	mᴀ55	mᴀ55	mᴀ55	mᴀ55	mᴀ55	mᴀ55	mᴀ33	mᴀ55	mᴀ33
拿		lᴀ13	lᴀ13	lᴀ13	lᴀ13	lᴀ13	lᴀ13	lᴀ13	lᴀ13	lᴀ13	lᴀ13	lᴀ13	lᴀ13	lᴀ13	lᴀ13	lᴀ13	lᴀ13	lᴀ13	lᴀ13	lᴀ13	lᴀ55	lᴀ13	lᴀ13
茶		tsʰᴀ13	tsʰᴀ13	tsʰᴀ13	tsʰᴀ13	tsʰᴀ13	tsʰᴀ13	tsʰᴀ13	tsʰᴀ13	tsʰᴀ13	tsʰᴀ13	tsʰᴀ13	tsʰᴀ13	tsʰᴀ13	tsʰᴀ13	tsʰᴀ13	tsʰᴀ13	tsʰᴀ13	tsʰᴀ13	tsʰᴀ13	tsʰᴀ55	tsʰᴀ13	tsʰᴀ13
渣		tsᴀ33	tsᴀ33	tsᴀ33	tsᴀ33	tsᴀ33	tsᴀ33	tsᴀ55	tsᴀ55	tsᴀ33	tsᴀ33	tsᴀ33	tsᴀ55	tsᴀ55	tsᴀ55	tsᴀ55	tsᴀ55	tsᴀ55	tsᴀ55	tsᴀ55	tsᴀ33	tsᴀ33	tsᴀ33
榨		tsᴀ45	tsᴀ55	tsᴀ55	tsᴀ55	tsᴀ55	tsᴀ55	tsᴀ45	tsᴀ45	tsᴀ55	tsᴀ45	tsᴀ55	tsᴀ24	tsᴀ24	tsᴀ24	tsᴀ45	tsᴀ24	tsᴀ35	tsᴀ24	tsᴀ24	tsᴀ35	tsᴀ55	tsᴀ35
杈		tsʰᴀ33	tsʰᴀ33	tsʰᴀ33	tsʰᴀ33	tsʰᴀ33	tsʰᴀ33	tsʰᴀ55	tsʰᴀ55	tsʰᴀ33	tsʰᴀ33	tsʰᴀ33	tsʰᴀ55	tsʰᴀ55	tsʰᴀ55	tsʰᴀ55	tsʰᴀ55	tsʰᴀ55	tsʰᴀ55	tsʰᴀ55	tsʰᴀ33	tsʰᴀ33	tsʰᴀ33
岔		tsʰᴀ45	tsʰᴀ55	tsʰᴀ55	tsʰᴀ45	tsʰᴀ45	tsʰᴀ55	tsʰᴀ45	tsʰᴀ45	tsʰᴀ55	tsʰᴀ45	tsʰᴀ55	tsʰᴀ24	tsʰᴀ24	tsʰᴀ24	tsʰᴀ45	tsʰᴀ24	tsʰᴀ35	tsʰᴀ24	tsʰᴀ24	tsʰᴀ33	tsʰᴀ55	tsʰᴀ35
查		tsʰᴀ13	tsʰᴀ13	tsʰᴀ13	tsʰᴀ13	tsʰᴀ13	tsʰᴀ13	tsʰᴀ13	tsʰᴀ13	tsʰᴀ13	tsʰᴀ13	tsʰᴀ13	tsʰᴀ13	tsʰᴀ13	tsʰᴀ13	tsʰᴀ13	tsʰᴀ13	tsʰᴀ13	tsʰᴀ13	tsʰᴀ13	tsʰᴀ55	tsʰᴀ13	tsʰᴀ13
沙		sᴀ33	sᴀ33	sᴀ33	sᴀ33	sᴀ33	sᴀ33	sᴀ55	sᴀ55	sᴀ33	sᴀ33	sᴀ33	sᴀ55	sᴀ55	sᴀ55	sᴀ55	sᴀ55	sᴀ55	sᴀ55	sᴀ55	sᴀ33	sᴀ33	sᴀ33
洒		sa312	sa312	sa312	sa312	sa312	sa312	sa312	sa312	sa312	sa312	sa33	sa312	sa312	sa312	sa312	sa312	sa312	sa312	sa312	sa312	sa312	sa312
厦		ɕᴀ45	ɕᴀ55	ɕᴀ13	ɕᴀ55	ɕᴀ55	ɕᴀ55	ɕᴀ55	ɕᴀ55	ɕᴀ55	ɕᴀ55	ɕiᴀ55	ɕᴀ55	ɕᴀ55	ɕᴀ55	ɕᴀ24	ɕᴀ24	ɕᴀ35	ɕᴀ55	ɕᴀ55	ɕᴀ35	ɕᴀ55	ɕᴀ35
家		tɕᴀ33/kᴀ33	tɕᴀ33/kᴀ33	tɕᴀ33/kᴀ33	tɕᴀ33/kᴀ33	tɕᴀ33/kᴀ33	tɕᴀ33/kᴀ33	tɕᴀ55/kᴀ55	tɕᴀ55/kᴀ55	tɕᴀ33/kᴀ33	tɕᴀ33/kᴀ33	tɕiᴀ33/kᴀ33	tɕᴀ55/kᴀ55	tɕᴀ55/kᴀ55	tɕᴀ55/kᴀ55	tɕᴀ55/kᴀ55	tɕᴀ55/kᴀ55	tɕᴀ55/kᴀ55	tɕᴀ55/kᴀ55	tɕᴀ55/kᴀ55	tɕᴀ33/kᴀ33	tɕᴀ33/kiᴀ33	tɕᴀ33/kᴀ33
假		tɕᴀ312	tɕᴀ312	tɕᴀ312	tɕᴀ312	tɕᴀ312	tɕᴀ312	tɕᴀ312	tɕᴀ312	tɕᴀ312	tɕᴀ312	tɕiᴀ312	tɕᴀ312	tɕᴀ312	tɕᴀ312	tɕiᴀ312	tɕᴀ312	tɕiᴀ312	tɕᴀ312	tɕᴀ312	tɕiᴀ312	tɕiᴀ312	tɕiᴀ312
嫁		tɕᴀ45/kᴀ45	tɕᴀ55/kᴀ55	tɕᴀ55/kᴀ55	tɕᴀ55/kᴀ55	tɕᴀ55/kᴀ55	tɕᴀ55/kᴀ55	tɕᴀ45/kᴀ45	tɕᴀ45/kᴀ45	tɕᴀ55/kᴀ55	tɕᴀ45/kᴀ45	tɕiᴀ45/kᴀ45	tɕᴀ24/kᴀ24	tɕᴀ24/kᴀ24	tɕᴀ24/kᴀ24	tɕiᴀ45/kᴀ45	tɕᴀ24/kᴀ24	tɕiᴀ35/kᴀ35	tɕᴀ24/kᴀ24	tɕᴀ24/kᴀ24	tɕiᴀ35/kᴀ35	tɕiᴀ55/kiᴀ55	tɕiᴀ35/kᴀ35
揢		kʰᴀ55	kʰᴀ55	kʰᴀ55	kʰᴀ55	kʰᴀ55	kʰᴀ55	kʰᴀ55	kʰᴀ55	kʰᴀ55	xᴀ55	xiᴀ55	kʰᴀ55	kʰᴀ55	kʰᴀ55	kʰᴀ55	kʰᴀ55	kʰᴀ55	kʰᴀ55	kʰᴀ55	kʰᴀ33	kʰiᴀ33	kʰᴀ33
芽		ɔ̃13	ɑ̃13	ɑ̃13	ɑ̃13	a13	ᴀ13	iᴀ13	ŋᴀ13	ŋã13	ᴀ13	ŋã13	ᴀ13	ŋᴀ13	ŋᴀ13	ᴀ13	kᴀ13	kᴀ13	ŋᴀ13	ŋᴀ13	ŋᴀ55	ŋiᴀ13	ŋᴀ13
砑		ɔ̃55	ɑ̃55	ɑ̃55	ɑ̃55	a55	ᴀ55	ᴀ45	ŋᴀ45	ŋã55	ᴀ55	ŋã55	ᴀ55	ŋᴀ55	ŋᴀ55	ᴀ55	kᴀ24	kᴀ35	ŋᴀ55	ŋᴀ55	ŋᴀ35	ŋiᴀ33	ŋᴀ35
虾		xᴀ33	xᴀ33	xᴀ33	xᴀ33	xᴀ33	xᴀ33	xᴀ55	xᴀ55	xᴀ33	xᴀ33	xᴀ33	xᴀ55	xᴀ55	xᴀ55	xᴀ55	xᴀ55	xᴀ55	xᴀ55	xᴀ55	xᴀ33	xiᴀ33	xᴀ33
嚇		xᴀ55	xᴀ55	xᴀ55	xᴀ55	xa55	xᴀ55	xᴀ55	xᴀ55	xᴀ55	xᴀ55	xᴀ55	xᴀ55	xᴀ55	xᴀ55	xᴀ55	xᴀ55	xᴀ55	xᴀ55	xᴀ55	xᴀ33	xiᴀ33	xᴀ33
蝦		xᴀ13	xᴀ13	xᴀ13	xᴀ13	xᴀ13	xᴀ13	xᴀ13	xᴀ13	xᴀ13	xᴀ13	xᴀ13	xᴀ13	xᴀ13	xᴀ13	xᴀ13	xᴀ13	xᴀ13	xᴀ13	xᴀ13	xᴀ55	xiᴀ13	xᴀ13
下		ɕᴀ55/xᴀ312	ɕᴀ312/xᴀ312	ɕᴀ312/xᴀ312	ɕᴀ312/xᴀ312	ɕᴀ312/xᴀ312	ɕᴀ312/xᴀ312	ɕᴀ45/xᴀ312	ɕᴀ45/xᴀ312	ɕᴀ312/xᴀ312	ɕᴀ55/xᴀ312	ɕiᴀ55/xᴀ312	ɕᴀ45/xᴀ312	ɕᴀ55/xᴀ312	ɕᴀ55/xᴀ312	xᴀ312	xᴀ312	xᴀ312	ɕᴀ55/xᴀ312	ɕᴀ55/xᴀ312	xᴀ312	xiᴀ55	xᴀ312
夏		ɕᴀ55	ɕᴀ55	ɕᴀ55	ɕᴀ55	ɕᴀ55	ɕᴀ55	ɕᴀ55	ɕᴀ55	ɕᴀ55	ɕᴀ55	ɕiᴀ55	ɕᴀ55	ɕᴀ55	ɕᴀ55	ɕiᴀ55	ɕᴀ55	ɕiᴀ55	ɕᴀ55	ɕᴀ55	ɕiᴀ33	ɕiᴀ55	ɕiᴀ33
桠		ᴀ33	ᴀ33	ᴀ33	ᴀ33	ᴀ33	ᴀ33	ᴀ55	ŋᴀ55	ᴀ33	ᴀ33	ᴀ33	ᴀ55	ŋᴀ55	ᴀ55	ᴀ55	ᴀ55	ᴀ55	ŋᴀ55	ŋᴀ55	ŋᴀ33	ŋiᴀ33	ŋᴀ33
哑		ᴀ312	ᴀ312	ᴀ312	ᴀ312	ᴀ312	iᴀ312	ᴀ312	ŋᴀ312	ᴀ312	ᴀ312	ᴀ312	ᴀ312	ŋᴀ312	ᴀ312	ᴀ312	kᴀ312	ᴀ312	ŋᴀ312	ŋᴀ312	ŋᴀ312	ŋiᴀ312	ŋᴀ312
亚		iᴀ55	iᴀ55	iᴀ55	iᴀ55	iᴀ55	iᴀ55	iᴀ45	iᴀ45	iᴀ55	iᴀ55	iᴀ55	iᴀ24	iᴀ24	iᴀ24	iᴀ55	iᴀ55	iᴀ55	iᴀ24	iᴀ24	iᴀ35	iᴀ55	iᴀ33
姐		tsie312	tsiɛ312	tsiɛ312	tsiɛ312	tsiᴇ312	tɕᴀ312	tsiɛ312	tsiɛ312	tsiᴀ312	tɕiᴀ312	tɕiᴀ312	tɕiɛ312/tɕiᴀ312	tɕiᴀ312	tɕiᴀ312	tsiɛ312	tɕiɛ24/tɕiᴀ24	tsiɛ312/tsiᴀ312	tsiᴀ312	tsiᴀ312	tɕiᴀ35	tsiᴀ312	tsiᴀ35
借		tsie45	tsiɛ55	tsiɛ55	tsiɛ55	tsiᴇ55	tɕᴀ55	tsiɛ45	tsiɛ45	tsiᴀ55	tɕiᴀ45	tɕiᴀ55	tɕiɛ24	tɕiᴀ24	tɕiᴀ24	tsiɛ45	tɕiᴀ24	tsiᴀ35	tsiᴀ24	tsiᴀ24	tɕiᴀ35	tsiᴀ55	tsiᴀ35
些		sie33	siɛ33	se33	se33	se33	ɕe33	si55	si55	se33	ɕie33	ɕie33	ɕiɛ55	ɕiɛ55	ɕiɛ55	si55	ɕiɛ55	si55	siɛ55	siɛ55	ɕiɐ55	siɐ33	siɐ55
写		sie312	siɛ312	siɛ312	siɛ312	siᴇ312	ɕᴀ312	siɛ312	siɛ312	siᴀ312	ɕiᴀ312	ɕiᴀ312	ɕiɛ312/ɕiᴀ312	ɕiᴀ312	ɕiᴀ312	siɛ312	ɕiᴀ312	siᴀ312	siᴀ312	siᴀ312	ɕiᴀ312	siᴀ312	siᴀ312
泻		sie45	siɛ55	siɛ55	siɛ55	siᴇ55	ɕe55	siɛ45	siɛ45	siᴀ55	ɕie45	ɕiᴀ55	ɕiɛ24	ɕiᴀ24	ɕiᴀ24	siɛ45	ɕiᴀ24	siᴀ35	siᴀ24	siᴀ24	ɕiᴀ35	siᴀ55	siᴀ35
