#ɿ
ts[1]姿资咨兹滋龇{~牙}[3]子姊紫[5]自字□{舒服、痛快}
l[1]拉[3]喇{~叭}
tʂ[1]查{姓}楂{山~}渣揸{一~长}[5]乍诈炸{~弹}榨
tʂʰ[1]差叉杈衩[2]查茶搽茬[3]镲{乐器}[5]岔诧
ʂ[1]沙纱砂鲨撒{~一地}[3]撒{~种}酒[5]厦
kʰ[3]卡1
x[1]哈
∅[1]啊[2]儿[3]而耳饵[5]二贰

#ia
tɕ[1]家稼加嘉枷笳痂佳[3]假贾{姓}[5]架驾嫁
tɕʰ[3]卡2
ɕ[1]蝦[2]霞暇侠狭辖2[5]下夏
∅[1]丫鸦[2]牙芽蚜衙涯崖[3]雅哑[5]亚

#ua
tʂ[1]抓[3]爪{~子}
ʂ[3]耍
k[1]瓜[3]寡剐聒{拉~}[5]卦挂
kʰ[1]夸[3]垮侉{~腔}[5]跨挎{~篮子}
x[1]花哗[2]华铧划{~拳}滑2[5]化话画划{~个口子}
∅[1]挖[2]娃蛙=[3]瓦

#ə
tʂ[1]遮[3]者[5]这=
tʂʰ[1]车[3]扯[5]彻撤
ʂ[1]赊奢[2]蛇1舌2折2{弄~了}[3]舍{~不得}[5]社射赦舍{宿~}
ʐ[3]惹
k[1]哥{新}[5]个{新}
kʰ[1]棵{新}颗{新}科{新}[3]可[5]课{新}
x[2]河{新}何{新}荷{新}禾{新}和{新}[5]贺{新}
∅[1]阿[2]俄{新}蛾{新}鹅{新}娥{新}讹{新}[5]饿{新}

#iə
t[1]爹
tɕ[1]皆阶秸街=[3]姐解[5]借介界芥疥械届这-
tɕʰ[2]茄[3]且
ɕ[2]斜邪鞋[3]写些蟹=谐解{姓}[5]泻谢卸泄
∅[2]爷[3]也野冶[5]夜

#uə
p[1]波玻拨2播[2]薄2[3]跛簸{动词}[5]簸{~箕}
pʰ[1]坡[2]婆[3]颇剖[5]破
m[2]磨{~刀}模{~范}谋1魔摩[3]抹2某[5]磨{~石}寞2
t[1]多[3]朵躲[5]惰堕舵
tʰ[1]拖[2]陀驼驮砣{秤~}[3]妥
n[2]挪奴2[3]努2[5]怒2懦糯
l[2]罗箩锣骡螺脶{~纹}[3]虏掳裸[5]摞
ts[2]昨[3]左[5]坐座做
tsʰ[1]初搓[2]锄矬[5]错锉
s[1]梭唆蓑梳[3]所索锁琐[5]潲{~雨}
tʂ[2]着2
ʂ[2]勺2
k[1]锅哥歌戈过{~头}[3]果裹[5]过个
kʰ[1]科棵颗[5]课
x[1]河何荷禾和[3]火伙夥[5]祸货贺
∅[1]窝莴蜗涡[2]俄蛾娥鹅讹[3]我[5]卧饿

#yə
tɕʰ[2]瘸
ɕ[1]靴[2]学2

#ɛ
p[2]摆{~弄}□{不要}[3]摆[5]败拜
pʰ[2]排徘牌[3]□{用脚~}[5]派
m[2]埋[3]买[5]卖
t[1]呆[2]逮[3]歹[5]代袋岱贷怠待在-再-
tʰ[1]胎[2]台抬苔[5]太汰泰态
n[3]乃奶[5]耐柰
l[2]来莱[5]赖癞
ts[1]灾栽[3]宰载[5]在=再=□{~衣服}
tsʰ[1]猜[2]才材财豺裁[3]采彩睬[5]菜蔡
s[1]腮[5]赛塞
tʂ[1]斋[5]债寨
tʂʰ[1]差钗[2]柴[3]踩
ʂ[1]筛[5]晒
k[1]该街-秸-[3]改[5]盖概溉丐
kʰ[1]开揩[3]凯楷慨
x[2]孩还鞋-[3]海蟹-[5]害亥
∅[1]哀唉挨{~边}[2]崖埃挨{~打}癌[3]矮蔼霭[5]爱碍艾

#uɛ
s[1]摔2
tʂ[3]跩[5]拽
tʂʰ[1]揣{~面}
ʂ[1]摔=衰[3]甩[5]帅率
k[1]乖[3]拐[5]怪
kʰ[3]擓{~痒}[5]快筷块刽会{~计}
x[2]怀槐淮[5]坏
∅[1]歪[2]蛙{~子}[3]崴[5]外

#e
p[1]卑碑杯悲北百[2]白[5]贝狈备背被倍焙辈婢臂
pʰ[2]培陪赔[5]沛配佩
m[1]麦脉[2]梅霉煤媒眉枚玫[3]美每[5]妹昧媚寐魅
f[1]非飞[2]肥[3]匪诽菲[5]费肺痱废吠
t[1]得{一定~去}堆[2]特2[5]对队兑
tʰ[1]推[2]颓[3]腿[5]退蜕
n[3]馁[5]内
l[2]雷擂{~鼓}[3]累{积~}垒儡鲤[5]泪类累{疲劳}擂{~台}
ts[2]贼[3]嘴[5]最醉罪
tsʰ[1]崔催摧炊[5]翠粹脆
s[1]虽尿[2]遂隧隋随髓[5]碎岁穗祟
ʂ[2]谁蛇2
k[3]给
kʰ[2]剋{多义动调}

#ue
tʂ[1]追锥[5]坠缀赘
tʂʰ[1]吹[2]垂锤捶
ʂ[1]摔-[3]水[5]税睡
ʐ[3]蕊[5]瑞锐
k[1]规归龟闺[3]鬼轨诡[5]贵柜桂跪瑰
kʰ[1]亏窥[2]奎逵葵癸魁[3]傀[5]愧溃
x[1]灰恢挥辉非{新}飞{新}[2]回蛔肥{新}[3]悔毁匪{新}诽{新}菲{新}[5]会绘烩荟汇卉惠慧诲晦贿秽讳溃{~脓}费{新}肺{新}痱{新}废{新}吠{新}
∅[1]危威微煨[2]为韦纬惟[3]惟桅维违委伪尾伟苇[5]卫为未味魏畏胃谓尉慰

#ɔ
p[1]包胞1鲍雹褒2[3]保堡{~垒}褒1宝饱[5]报抱刨{~床}豹暴爆
pʰ[1]抛脬泡{水~}[2]胞2袍刨{~地}炮{~制}[3]跑[5]炮疱泡
m[2]毛茅髦猫锚[3]卯毛{一~钱}[5]冒帽貌茂贸
t[1]刀□{~菜}[3]岛捣祷倒{打~}导[5]倒{~水}道盗到稻蹈
tʰ[1]滔掏[2]桃逃陶淘萄涛[3]讨[5]套
n[1]孬[2]挠{~痒}[3]脑恼瑙[5]闹
l[2]劳捞痨牢[3]老[5]涝
ts[1]遭糟[3]早枣澡藻[5]躁燥造皂灶糙
tsʰ[1]操[2]曹槽巢2[3]草
s[1]臊骚[3]扫嫂[5]扫{~帚}
tʂ[1]召招昭沼朝[3]找爪{~牙}[5]照兆赵罩
tʂʰ[1]超抄绰{宽~}[2]朝潮嘲绍2巢1[3]吵炒[5]钞
ʂ[1]稍梢烧[2]绍1韶[3]少[5]哨少{~年}苕{~子}
ʐ[2]饶挠{阻~}[3]扰[5]绕
k[1]高膏篙羔糕[3]搞稿[5]告膏{~油}
kʰ[1]敲-[3]考烤拷[5]靠铐
x[1]蒿薅{~草}[2]毫豪壕嚎号{~哭}[3]好[5]好浩耗皓号{~召}涸{~干}
∅[1]熬{~菜}[2]熬{~夜}敖翱[3]袄[5]奥懊澳傲拗

#iɔ
p[1]标彪膘[3]表裱[5]摽鳔
pʰ[1]飘[2]飘嫖[5]票漂{~白，~亮}
m[2]苗描瞄[3]秒渺藐[5]妙庙
t[1]刁凋雕貂[3]屌[5]吊掉调{~子}
tʰ[1]挑{~担}[2]条调{~和}[3]挑{~战}[5]跳
n[3]鸟[5]尿2
l[2]辽疗僚镣燎{~原}聊寥[3]燎{~胡子}了{~解}[5]料廖撂{~倒}
tɕ[1]交郊胶茭娇骄教椒焦蕉礁樵2浇[3]绞狡饺侥缴搅剿[5]较教叫觉{睡~}酵
tɕʰ[1]敲=锹缲{~边}跷[2]乔桥荞侨樵1瞧[3]巧[5]窍悄俏峭撬{~门}鞘翘{~尾巴}
ɕ[1]肖消销硝霄宵箫□{薄}[2]淆[3]小晓[5]孝哮笑效校
∅[1]夭妖要{~求}腰么邀[2]尧姚肴窑摇遥谣[3]咬舀[5]要耀跃

#əu
f[3]否
t[1]都{~来了}兜[3]斗抖陡[5]豆逗痘斗{~争}窦
tʰ[1]偷[2]头投[5]透
l[2]娄楼搂{~草}[3]篓搂{~抱}[5]陋漏露-{~头}
ts[1]邹1诌[3]走[5]揍皱
tsʰ[2]愁[5]凑
s[1]搜馊飕[3]艘擞[5]瘦嗽
tʂ[1]周邹2州洲舟[3]肘扭-{~紧}帚[5]昼宙骤咒
tʂʰ[1]抽[2]仇酬筹稠绸踌[3]丑瞅[5]臭
ʂ[1]收[3]手守首[5]受授寿兽
ʐ[2]柔揉蹂[5]肉
k[1]勾沟钩[3]狗苟[5]够构购垢
kʰ[1]抠眍{眼~}扣{~子}[3]口[5]叩扣{动词}寇
x[1]齁{打~}[2]侯喉猴瘊[3]吼[5]后厚候
∅[1]欧殴鸥沤呕瓯[3]偶藕

#iəu
n[2]牛[3]扭=纽[5]谬
l[1]溜{~滑}[2]刘流琉硫留榴瘤[3]柳绺{一~}[5]六2溜{水~}
tɕ[1]究鸠揪赳纠[3]九久酒韭[5]旧臼舅就救
tɕʰ[1]秋丘蚯邱[2]求球囚泅酋[3]朽-
ɕ[1]休修羞嗅[3]朽=[5]秀绣锈袖
∅[1]优忧悠幽[2]由油邮蚰尤犹游[3]有友酉[5]又右佑幼诱

#õ
p[1]般搬[5]半伴拌
pʰ[1]潘[2]盘[5]判叛
m[2]瞒[3]满[5]漫
t[1]端[3]短断{~路}[5]段煅缎断
tʰ[2]团
n[3]暖
l[2]栾滦峦孪[3]卵[5]乱
ts[1]钻[5]钻攥
s[1]酸[5]算蒜
tʂ[1]专砖[3]转[5]传{~记}转{轮子~}篆
tʂʰ[1]川穿[2]传船椽[3]喘[5]串
ʐ[3]软阮
k[1]官棺观冠{衣~}[3]管馆[5]贯掼灌冠{~军}
kʰ[1]宽[3]款
x[1]欢[3]缓[5]唤焕涣换
∅[1]豌剜[2]完丸[3]碗婉惋[5]万蔓{瓜~子}腕

#iõ
tɕ[1]捐鹃[3]卷{~袖子}[5]卷倦眷圈{猪~}
tɕʰ[1]圈[2]权拳泉全痊颧[3]犬[5]劝券
ɕ[1]宜喧轩[2]玄弦眩旋悬[3]选癣[5]楦{鞋~}
∅[1]冤渊鸳[2]元园袁猿辕原源员援缘[3]远[5]怨院愿

#æ̃
p[1]班斑般{新}搬{新}[3]板版坂{上~子}[5]扮办瓣半{新}伴{新}拌{新}
pʰ[1]攀潘{新}[2]盘{新}[3]盼襻{车~}判{新}叛{新}
m[2]蛮瞒{新}[3]满{新}[5]慢漫{新}
f[1]番翻幡藩帆[2]凡矾烦繁樊[3]反返[5]犯范饭贩泛
t[1]丹单担{~任}耽[3]胆掸{~灰}[5]旦但担{子~}淡蛋弹{子~}诞
tʰ[1]贪滩摊瘫坍[2]谈痰坛潭檀弹{~棉花}[3]坦毯[5]炭叹
n[2]南楠男难[5]难{~民}
l[2]兰栏拦蓝篮[3]览揽懒漤{~柿子}[5]烂滥
ts[1]簪[3]攒{~钱}[5]赞栈醮
tsʰ[1]餐参[2]蚕残[3]惨惭[5]灿
s[1]三[3]散馓伞[5]散{~会}
tʂ[1]占沾毡瞻[3]展斩崭盏[5]站战绽{~线}暂
tʂʰ[1]搀[2]蝉缠馋禅婵[3]忏产铲[5]颤
ʂ[1]山杉删珊栅衫煽[3]闪陕[5]扇善膳缮鳝檀苫单{姓}
ʐ[3]冉染然燃
k[1]干肝甘柑[3]敢赶杆竿感擀{~面}[5]赣干
kʰ[1]堪看勘[3]砍坎刊槛[5]看{~见}
x[1]鼾酣[2]寒含韩函涵[3]罕[5]旱捍悍汉汗憾翰
∅[1]安鞍庵氨[3]俺[5]暗岸按案

#iã
tɕ[1]监艰间[3]减碱东简拣[5]鉴间{~隔}
ɕ[2]咸{~味}闲[5]陷馅限
∅[1]淹[2]岩颜[3]眼[5]雁

#uæ̃
t[1]端{新}[3]短{新}断{新~路}[5]段{新}煅{新}缎{新}断{新}
tʰ[2]团{新}
n[3]暖{新}
l[2]栾{新}滦{新}峦{新}孪{新}[3]卵{新}[5]乱{新}
ts[1]钻{新}[3]赚{新欺骗}[5]钻{新，~石}攥{新}
tsʰ[5]窜篡
s[1]酸{新}[5]算{新}蒜{新}
tʂ[1]专{新}砖{新}[3]转{新}[5]传{新，~记}转{新，~圈}赚{~钱}
tʂʰ[1]川{新}穿{新}[2]传{新}船{新}椽{新，~子}[3]喘{新}[5]串{新}
ʂ[1]拴栓闩[5]涮
ʐ[3]软{新}阮{新}
k[1]关官{新}棺{新}观{新}冠{新，衣~}[3]管{新}馆{新}[5]惯贯{新}掼{新}灌{新}冠{新，~军}
kʰ[1]宽{新}[2]环-[3]款{新}
x[1]欢{新}番{新}翻{新}幡{新}藩{新}帆{新}[2]还环=凡{新}矾{新}烦{新}繁{新}樊{新}[3]缓反{新}返{新}[5]唤{新}换{新}涣{新}焕{新}患幻犯{新}范{新}饭{新}贩{新}泛{新}
∅[1]弯湾剜{新}豌{新}[2]玩顽完{新}丸{新}[3]晚挽碗{新}婉{新}惋{新}[5]万{新}腕{新}蔓{新，瓜~子}

#iẽ
p[1]边鞭编[3]扁贬[5]便变遍汴辨辩辫
pʰ[1]篇偏[2]便{~宜}[3]谝{夸跃(贬义)}[5]片骗遍{~地}
m[2]棉绵眠[3]免勉冕缅[5]面
t[1]颠巅癫[3]点典碘[5]电佃甸店玷垫淀奠殿滇
tʰ[1]天添[2]田甜填[3]恬[5]掭{~灯}
n[1]拈[2]年黏[3]捻撵[5]念碾
l[2]连莲鲢廉镰联帘[3]脸敛[5]练炼恋
tɕ[1]尖坚肩兼煎歼健艰{新}奸间{新}监{新}[3]茧俭检剪践减{新}碱{新}简{新}拣{新}[5]见舰渐剑件建键荐饯间{新}鉴
tɕʰ[1]千迁纤铅牵谦签笺[2]前钱虔黔乾钳[3]浅遣潜[5]欠歉
ɕ[1]先仙鲜掀[2]贤嫌闲{新}咸{新，~味}[3]显险咸{新}喊[5]线宪现县献羡陷{新}馅{新}限{新}
∅[1]烟咽胭淹{新}[2]言严盐延沿炎研檐颜{新}岩{新}阎芫[3]演掩眼{新}[5]燕厌砚咽{~下去}宴艳焰验酽{~茶}晏雁{新}

#əŋ
p[1]奔崩绷[3]本绷{~着脸}[5]笨蚌蹦迸泵奔{~东走}
pʰ[1]喷烹怦[2]盆彭膨朋棚鹏蓬[3]捧[5]碰
m[2]门蒙朦萌盟[3]猛[5]闷孟梦
f[1]分吩纷风讽疯枫蜂峰锋丰封[2]坟冯逢缝[3]粉焚[5]份氛奋愤忿粪凤奉缝{门~}
t[1]登灯敦墩蹲吨[3]等盹[5]邓凳澄{把水~清}瞪磴盾顿钝遁炖
tʰ[1]吞通[2]疼腾滕藤腾屯豚囤[5]吞{~子}
n[2]能
l[2]仑伦轮抡囵[3]冷[5]论楞
ts[1]曾增赠1争挣狰尊遵[3]怎[5]憎赠2
tsʰ[1]村[2]存层曾筝[5]寸忖
s[1]生僧参{人~}孙[3]损榫[5]渗
tʂ[1]珍真贞侦砧针斟正{~月}征蒸[3]枕诊疹整[5]振震赈阵镇正证政症
tʂʰ[1]深1称撑[2]辰晨陈沉臣尘成诚盛{~饭}程承丞乘[3]逞惩[5]衬趁称秤剩
ʂ[1]深2申伸绅身升牲笙甥森[2]神绳什[3]沈审婶省[5]甚肾慎胜圣盛
ʐ[1]扔[2]人仁壬[3]忍仍[5]认刃任纫韧
k[1]根跟耕庚更{打~}[3]颈-梗埂耿羹粳[5]更
kʰ[1]坑吭{~声}[3]肯啃恳垦
x[1]亨哼[2]痕恒衡横[3]很狠[5]恨
∅[1]恩

#iŋ
p[1]宾滨缤殡彬斌兵冰[3]丙柄炳秉饼[5]傧并病鬓
pʰ[1]拼拚乒[2]贫频平苹萍评屏瓶凭[3]品[5]聘
m[2]民名铭明鸣[3]敏闽闵悯螟皿[5]命
t[1]丁叮钉疗盯[3]顶鼎[5]定锭脏订钉{动词}
tʰ[1]听厅[2]廷庭霆亭停[3]挺艇
n[2]宁咛拧狞凝
l[1]拎[2]林淋霖临邻鳞燐铃玲伶龄零灵陵[3]凛领岭[5]吝令另
tɕ[1]巾今斤金津襟筋京惊鲸晶精睛经兢旌[3]仅瑾紧锦井景颈=尽{~你用}警[5]尽烬进近劲浸晋禁靳净静靖竟境镜竞敬径茎痉
tɕʰ[1]亲侵钦青清晴轻氢[2]芹勤琴禽擒情晴擎[3]寝请顷苘[5]庆亲{~家}
ɕ[1]心辛新薪欣星腥猩兴[2]行形刑型邢寻{~人(再嫁)}[3]省{~悟}醒擤[5]信衅幸杏姓性兴{高~}
∅[1]因茵姻阴荫殷英婴樱鹦缨应{~该}鹰[2]吟银寅淫迎荧萤蝇盈赢[3]引蚓尹饮隐瘾影[5]印窨饮{~牛}应{答~}映硬

#ɑŋ
p[1]邦梆帮傍[3]绑榜膀[5]棒磅谤
pʰ[1]乓胮[2]旁彷{~徨}膀{~胱}庞螃[5]胖
m[2]忙氓茫盲[3]莽蟒
f[1]方坊[2]房防芳妨肪[3]仿纺访[5]放
t[1]当裆[3]党挡[5]荡当{上~}
tʰ[1]汤蹚{~水}[2]唐塘糖堂螳膛棠[3]淌躺倘[5]烫趟
n[2]囊[3]攮
l[2]郎榔廊狼[3]朗[5]浪
ts[1]脏赃臧{姓}[5]葬脏{五~}藏{宝~}
tsʰ[1]仓沧苍舱[2]藏
s[1]桑丧{~事}[3]嗓[5]丧{~失}
tʂ[1]张章樟獐[3]长涨{水~}掌[5]丈仗杖帐账胀障涨
tʂʰ[1]昌猖娼[2]常嫦尝偿肠场{打~}长[3]厂敞氅场{~所}[5]唱倡畅
ʂ[1]商伤[3]赏晌[5]上尚绱{~鞋}
ʐ[2]瓤穰□{累}[3]嚷壤攘[5]让
k[1]冈1刚钢纲缸腔肛[3]港冈2[5]杠
kʰ[1]康糠慷[2]扛[5]抗
x[1]夯[2]行杭航[5]巷1
∅[1]肮[2]昂

#iɑŋ
n[2]娘
l[2]良凉量梁粱[3]两[5]亮谅晾辆量
tɕ[1]江姜浆将{~军}[3]讲奖蒋[5]降酱匠虹将
tɕʰ[1]枪呛{~饭}腔[2]强墙祥详翔降{投~}[3]抢
ɕ[1]香乡相箱湘厢襄镶[2]降{~服}[3]想享响[5]象像橡相{~貌}项巷=
∅[1]央秧殃[2]羊洋杨扬阳佯[3]养痒仰[5]样恙

#uɑŋ
tʂ[1]庄桩妆装[5]壮状撞
tʂʰ[1]疮窗[2]床[3]闯[5]创{撞~~(散步)}
ʂ[1]双霜[3]爽[5]双{~生}
k[1]光胱[3]广[5]逛
kʰ[1]匡框眶诓[2]狂[5]况矿旷
x[1]荒慌方{新}坊{新}[2]皇惶蝗凰煌黄簧蟥房{新}防{新}芳{新}妨{新}[3]谎晃幌恍访{新}纺{新}仿{新}[5]晃{摇动}放{新}
∅[1]汪[2]王亡芒{麦~}[3]往枉网[5]忘妄旺望

#oŋ
t[1]东冬[3]董懂[5]动冻洞栋
tʰ[1]通捅1[2]同桐铜童潼瞳僮佟[3]统筒桶捅2[5]痛
n[2]农浓脓[5]弄
l[2]龙咙聋笼珑隆[3]拢笼{~络}陇
ts[1]宗踪综鬃[3]总[5]纵粽
tsʰ[1]匆葱聪[2]丛从
s[1]松[3]耸[5]宋送诵颂讼
tʂ[1]中忠衷盅终钟[3]种肿准[5]种仲中{~毒}重众
tʂʰ[1]充冲春椿{~树}[2]重虫纯淳[3]崇宠蠢[5]冲{~鼻子}铳{~人(枪杀)}
ʂ[5]顺
ʐ[2]荣容蓉溶戎绒融庸
k[1]工功攻弓公蚣宫恭躬[3]巩拱汞滚[5]共供贡棍
kʰ[1]空坤昆[3]孔恐捆[5]空{~白}控困
x[1]哄烘轰昏婚荤分{新}吩{新}纷{新}风{新}讽{新}枫{新}疯{新}蜂{新}峰{新}锋{新}封{新}[2]红鸿洪弘宏魂浑坟{新}逢{新}缝{新}[3]哄粉{新}焚{新}[5]混份{新}氛{新}奋{新}愤{新}粪{新}忿{新}凤{新}奉{新}缝{新}
∅[1]翁温瘟[2]文纹蚊闻[3]隐紊吻刎[5]问瓮

#ioŋ
tɕ[1]军均钧君[3]菌窘[5]俊骏竣峻
tɕʰ[1]倾[2]穷琼群裙唇
ɕ[1]兄凶汹匈胸勋薰[2]雄熊寻旬荀询循巡[3]笋[5]训驯迅汛讯殉逊
∅[1]雍拥痈晕[2]匀云芸耘[3]永咏泳勇蛹踊陨允[5]用佣运韵孕闰润熨

#iʔ
p[7b]笔逼必毕鼻碧璧1壁1
pʰ[7b]辟僻1劈霹匹1
m[7b]蜜密觅
t[7b]的敌滴嘀笛涤狄
tʰ[7b]踢剔惕
n[7b]逆1
l[7b]立粒笠力栗律2
tɕ[7b]急积绩击迹激及极级汲即疾给{供~}集寂棘吉籍
tɕʰ[7b]七乞泣戚漆
ɕ[7b]昔惜席夕吸析息熄媳锡习隙袭悉膝
∅[7b]一乙益溢役疫译液逸翼

#uʔ
p[7b]勃渤
m[7b]没墨默目牧木幕1膜1
f[7b]复腹
t[7b]督毒笃读犊独
tʰ[7b]秃突
l[7b]鹿绿录碌隆戮六1
ts[7b]足卒族
s[7b]束速俗肃粟缩夙续1
tʂ[7b]竹烛逐筑嘱祝粥浊
tʂʰ[7b]出触畜1
ʂ[7b]叔淑赎属术述秫沭蟀
ʐ[7b]入辱褥
k[7b]骨谷国2
kʰ[7b]哭酷窟
x[7b]忽获惑核{桃~}
∅[7b]屋沃物勿

#yʔ
l[7b]律1
tɕ[7b]局桔菊鞠剧1
tɕʰ[7b]屈曲
ɕ[7b]宿畜1{牧~}旭婿
∅[7b]育1欲狱1域浴吁1

#ɐ
p[7a]八剥驳拨1钵
pʰ[7a]泼
m[7a]末沫抹1{~桌子}莫寞1摸
f[7a]发法
t[7a]搭掇{拾~}
tʰ[7a]塔塌溻{~湿}塌踏獭
n[7a]纳衲
l[7a]腊蜡
ts[7a]杂
tsʰ[7a]察擦
s[7a]撒{~手}萨
tʂ[7a]扎折浙哲摺蛰{惊~}
tʂʰ[7a]插彻撤
ʂ[7a]杀煞设涉
ʐ[7a]热
k[7a]各阁搁割鸽葛角-{铅~子，牛~}胳
kʰ[7a]渴磕瞌壳
x[7a]喝涸={干~}
∅[7a]愕恶额扼鳄

#ɐʔ
p[7b]脖薄1拔泊
f[7b]乏伐筏阀罚发{头~}
t[7b]达答
l[7b]辣
ts[7b]砸
tsʰ[7b]眨辙铡闸扎炸{油~}
s[7b]舌1折{~本}
x[7b]合盒活鹤

#iɐ
p[7a]憋鳖瘪
pʰ[7a]撇
m[7a]灭蔑篾
t[7a]跌
tʰ[7a]贴铁
n[7a]聂镊摄孽
l[7a]列烈裂劣猎捏
tɕ[7a]甲接揭劫捷
tɕʰ[7a]切掐窃妾怯
ɕ[7a]血瞎歇蝎
∅[7a]压押鸭页业噎掖{~被子}

#uɐ
tʰ[7a]脱托拓
l[7a]洛络烙骆落乐
ts[7a]作撮
s[7a]索
tʂ[7a]卓桌拙啄琢捉
tʂʰ[7a]戳
ʂ[7a]说刷
ʐ[7a]弱
k[7a]刮郭鸹
kʰ[7a]扩括阔
x[7a]或豁
∅[7a]袜握

#yɐ
l[7a]略掠
tɕ[7a]脚角爵嚼
tɕʰ[7a]缺阙雀鹊确却
ɕ[7a]削穴屑雪
∅[7a]月钥药悦阅乐{音~}

#əʔ
p[7b]不伯柏博
pʰ[7b]拍迫仆扑
f[7b]佛服伏幅福
t[7b]得德
tʰ[7b]特
l[7b]肋勒
ts[7b]则泽择责窄摘宅塞{瓶~子}
tsʰ[7b]测侧册策拆
s[7b]色涩瑟啬
tʂ[7b]直值植殖执汁织职质掷秩侄置
tʂʰ[7b]吃尺赤
ʂ[7b]十拾石湿失实食识室适式饰
ʐ[7b]日
k[7b]革格隔疙虼
kʰ[7b]克刻客
x[7b]黑赫吓霍核1
∅[7b]额

iəʔ
p[7b]别
t[7b]蝶碟牒迭
tʰ[7b]帖
tɕ[7b]夹竭洁杰节结截
tɕʰ[7b]恰
