#a			1阴平53 3阴上45 4阳上242 5阴去33 6阳去21 7a上阴入55 7b下阴入33 8a上阳入21 8b下阳入24				
h	[3]口吼[6]侯猴瘊候						
ŋ	[1]勾{~当，~销}钩[4]藕偶[6]牛						
ʔ	[1]欧瓯鸥[3]呕殴[4]後厚后[5]沤怄[6]喉						
#iɐu							
n	[3]扭{~丝旁:绞丝旁}						
k	[1]□{~脚:蜷脚}						
kʰ	[1]□{~耳:掏耳朵}						
Ø	[1]丘蚯优忧幽休[3]莠诱[4]有友酉[5]柚鼬幼[6]柔揉尤邮由油游犹悠釉鱿{~鱼}						
#ɐm							
t	[1]□{~地:跺脚。脚~:脚跟}[4]凼{水~:小水坑}[6]□{脚~□pɛŋ3:小腿}						
tʰ	[5]□{~~平:整齐}□{鼻~实:鼻子不通}						
n	[3]□{想，俗写“谂”}[6]□{软}						
l	[4]檩[5]赁□{~□hɐm5:秃子}[6]林淋临□{~□løn6:蜗牛}						
ts	[1]砧针斟今金{(“今金”梁村读kiɐm)}[3]枕锦[5]浸禁[6]寻沉岑						
tsʰ	[1]襟钦[3]侵寝[5]沁						
s	[1]森参深[3]沈审婶[5]渗[6]葚甚						
ɬ	[1]心						
k	[6]□{按，俗写“揿”}						
kʰ	[3]□{盖，动词}[6]蟾蠄{~螃: 蜘蛛。~蜍:癞蛤蟆}琴禽擒□{~拳:拳头}						
h	[1]堪龛[3]坎[5]□{□lɐm5~:秃子}[6]□{~年:整年。俗写“冚”}						
ŋ	[3]□{~起□kʰɐm6拳:攥起拳头}[6]□{~□ŋɔ5:说梦话}						
ʔ	[1]庵鹌□{~□tsa5鬼:魔住了}[3]揞{~住:捂住}[4]颌{下~:下巴}						
#iɐm							
Ø	[1]音阴荫窨[3]饮[6]壬任{姓，责~}吟淫□{头发~:刘海儿}						
#ɐn							
p	[1]宾槟奔锛分{~狗咬:被狗咬。~你:给你}[4]笨[5]殡鬓粪{粪□tsʰyt7a:粪箕}[6]贫频坟						
pʰ	[3]禀品[5]喷						
m	[1]蚊文{一~钱:一块钱}[3]吻刎[4]敏抿[5]闽悯汶{~水:泉水}[6]民文纹闻问璺氓汶{~朗镇:地名}						
f	[1]昏婚分{~开}吩芬纷[3]粉[4]奋熏勋薰荤[5]粪{~便}训[6]焚愤忿份分{本~}						
t	[1]敦墩□{面~:脸蛋}[4]钝[5]顿扽屯[6]尘臀囤沌盾遁						
tʰ	[1]吞饨						
l	[5]□{~翻后: 回头}[6]邻鳞燐磷吝崙论{~语,议~}伦轮						
ts	[1]津珍真[3]准準□{~啰:好了(将要停止做某事)}[4]儘尽肫{鸡~}[5]进晋镇振震俊骏[6]秦陈榛臻娠辰晨臣旬循巡殉鹑						
tsʰ	[1]亲{~戚，~家}村椿春□{鸡~:鸡蛋}[3]诊疹蠢[5]趁衬						
s	[1]身申伸[5]舜[6]神肾驯唇顺纯醇						
ɬ	[1]辛新薪[3]笋[5]信讯迅[6]荀						
k	[1]跟根巾斤筋[3]紧仅谨[4]近[5]□{眼~:眼红}[6]勤芹						
kʰ	[3]恳垦						
h	[4]很[5]睏{睡觉}[6]痕恨						
ŋ	[1]恩[6]银						
#iɐn							
Ø	[1]因姻欣殷[3]忍隐[4]引蚓[5]韧印[6]人仁寅						
#uɐn							
k	[1]均钧君军莙{~蒸菜:一种绿叶蔬菜}[3]滚[4]菌[5]棍[6]群裙郡						
kʰ	[7a]昆崑坤[3]捆[5]困窘						
Ø	[1]温瘟[3]稳□{找，俗写“揾”}[4]允尹[5]□{关住，不让出来}[6]魂馄浑混匀酝云耘韵运晕						
#ɐŋ							
p	[1]崩绷[6]朋凭{文~}						
pʰ	[5]□{耳聋~:聋子}						
m	[1]□{乞喫~:乞丐。□mɐŋ1 形容乞丐样子贱、脏}[4]盟[5]□{~大缆:拔河。俗写“掹”}[6]萌						
t	[1]登灯[3]等戥[5]凳[6]腾誊藤邓□{牙齿~:牙床}						
tʰ	[4]□{~啰:(吃饭)噎住了}						
n	[5]□{疤}[6]娘{(梁村读nøŋ)}能						
l	[6]棱陵凌菱绫						
ts	[1]曾增憎罾蹭僧甑[3]瞪						
