	注释：-白读，=文读
h	[1]墟虚嘘圩[2]渔鱼[3]许{允～}
∅	[2]余舆□{推}[3]与予[4]誉预豫欤{不满语气词}[5]淤饫{饱腻}
#ɘʔ	
tʰ	[7]□{擦拭}[8]□{～～：无食欲}
tsʰ	[7]□{低或埋（头）}
s	[7]□{～～叫：因寒冷而发出的声音}
∅	[8]□{拍～：打嗝}
#o	
p	[1]波菠=坡玻[2]婆-{蛤～：蛤蟆}[3]宝保[6]薄{～荷}[5]报
pʰ	[1]颇[3]跛叵[4]菩抱[5]□{膨大}
b	[2]无[3]母拇[6]帽
m	[1]么{句中语气词，表惊异}□{戆～戆～：精神恍惚}[2]魔摩馍蟆模摹毛[3]孬[4]暮慕墓募幕[6]磨{石～}望
t	[1]多刀[2]朵躲逃桃{杨～}萄[3]倒{～地}短[4]垛伫{在}[5]倒{～水}[6]代-{年～}袋堕
tʰ	[1]胎[2]桃陀鮀砣[3]妥椭唾{～液}讨[5]唾{～弃}退褪{～色}蜕{蝉～}
n	[1]□{生～肉：白内障}□{戆～戆～：精神恍惚}[2]娜[4]两-[5]努怒弩懦
l	[1]啰[2]罗萝骡螺脶牢醪-{浑浊}[3]裸恼-{烦～：担心}脑-{头～：领导}[5]躼{巨大}
ts	[1]臜{腌～}[2]矬槽[3]左佐阻枣[4]坐助状{～元}[5]做[6]座
tsʰ	[1]初臊{腥}[2]锄=挫[3]楚础草{～书}[5]错糙脞{肉～：肉丁}[6]□{装、盛}
s	[1]娑挲{搓，抚摸}梭唆疏蔬[2]□{～～：无精打采}[3]锁琐唢所嫂[4]□{车撞}[5]疏{松～：舒畅}
k	[1]歌=哥高{姓}膏篙羔糕滒{～洋-：湿漉漉}[2]□{扔}[3]裹{包～}稿秆[4]个={～人}[5]块告{被～}
kʰ	[1]稞戈坷苛柯炣{～番薯：煮红薯汤}[3]可棵颗
ɡ	[2]鹅[6]饿
ŋ	[2]蛾俄娥峨梧愚虞禺愚[4]悟遇寓
h	[1]呵歊{热气逼人，又读}[2]河何荷{～叶}[3]好[4]荷{负～}[5]荷{薄～}讹耗□{照（相）}[6]贺号
∅	[1]倭窝蜗涡腌{～臜}讴-{吆喝}[2]荷{～叶，又音}[3]袄[4]卧
#oʔ	
p	[7]泊{湖～}驳[8]薄泊{梁山～，漂～}
pʰ	[7]朴{～籽馃：一种清明馃品}粕
m	[7]么{什～}□{戆～戆～：（头）晕乎乎的}[8]膜
t	[7]桌卓琢啄[8]掇{捡拾}夺择
tʰ	[7]托[8]驼鸵
n	[8]□{倒～：（老年）痴呆}
l	[8]落{～来：下来}骆
ts	[7]作{～功课：干活儿}□{堆积}[8]绝
tsʰ	[7]撮{些}[8]□{毛躁，奔走}
s	[7]雪索{绳子}
k	[7]阁搁□{熏}[8]□{□tʰi33～：黏糊}
kʰ	[8]□{打斗}□{□tʰi33～：黏糊，又音；～糖：挂上糖浆}
ŋ	[8]□{发呆}
h	[7]□{照（相），又音}好{程度副词，很}[8]鹤
∅	[7]恶{困难}呃{嗝}[8]学-
#u	
p	[1]□{～风：吹风；踢（人）}[2]瓠{骹腿～：长直的瓠瓜}煲{煮}垺{～尿：一泡尿}[3]捕哺[4]□{生白～：手指泡水变皱}[5]佈{～告，分～}怖阜{曲～}富[6]孵-
pʰ	[2]蒲浮葡芙[3]□{肏}
b	[2]巫诬芜[3]抚武舞侮鹉妩[4]务骛鹜[5]□{（用棍棒）打}[6]雾
t	[1]蛛堆{蜀～：一堆}[2]橱堵{～车}[3]堵{～住}赌睹[4]□{卵-～：摆臭脸}[5]著
tʰ	[2]徒途涂=图{～死：拼命}躇荼滁[3]储褚{姓}
l	[1]□{偷}□{笔钝}[3]鲁橹虏缕屡[4]鹭=赂□{鼓包}[5]□{（小孩）壮实}
ts	[1]组诸诛株朱珠[3]主[4]聚拄驻住就-[5]注蛀铸
tsʰ	[1]趋雏[3]取娶[5]处趣措厝
s	[1]舒须需输抒[2]殊[3]暑曙署黍杵署绪{情～}墅[4]序叙绪{～论}竖树={～立}[5]素诉庶恕絮
z	[2]儒榆逾愉瑜如茹孺蠕腴庾[3]乳愈[4]喻裕吁
k	[1]龟韭辜轱[3]久[4]具惧俱舅[5]故{事～}固锢顾句灸[6]旧故{～事}
kʰ	[1]拘驹区驱岖枢[2]跍{蹲}[4]臼
ɡ	[2]牛
h	[1]呼乎夫肤敷俘孵麸腐{～败}灰{训读，香灰}烌{香灰}[2]胡={二～}糊={模～}狐壶互符扶盂蝴瑚鹕醐[3]府腑俯浒釜□{涂抹}诩栩[4]沪护辅傅妇负驸扈[5]付赋赴附副咐[6]腐{豆～}
∅	[1]竽呜污吁{长～短叹}迂于{单～}[2]吾娱晤盂{铜～，地名}[3]雨={谷～}宇禹羽[4]有[5]焐{～烧：捂热}恶={可～}坞
#uʔ	
t	[8]剢{戳}
tʰ	[8]□{～鼻：吸鼻涕}□{～～：肥嘟嘟}
l	[7]□{喝}
ts	[7]嘬[8]□{（小孩）胖而黑}
tsʰ	[8]□{～烟花：放烟花}
s	[7]□{吮吸}[8]□{喷（水或药）}
k	[7]□{吸}
h	[7]□{吸入}
∅	[7]□{浅坑}[8]□{（小孩）胖而黑}
#ia	
m	[2]名[6]命
t	[1]爹
n	[1]□{你的}[3]领岭[4]□{才，只有}[5]□{朝向}
ts	[1]遮[3]者姐{翁～：夫妻}[4]借{～口}籍藉{狼～}[5]蔗炙鹧[6]谢姓
tsʰ	[1]车奢赊
s	[1]斜-[2]邪斜=麝畲[3]写[4]社[5]泻卸舍赦[6]谢{多～}射
z	[3]惹
k	[1]加=痂咖={～啡}茄={雪～}嘉佳[3]假{～设}贾{姓}[4]徛{陡，原文作“歧”}[5]寄
kʰ	[1]奇{～数：单数}[2]骑□{持拿}[4]徛企-{～鹅}
ɡ	[2]讶□{□la55～：长毛的大蜘蛛}
h	[1]靴桸{盛汤或粥的大汤勺}[2]霞瑕遐暇[3]□{那、那么}[4]瓦蚁-下={～降}
∅	[1]丫={～鬟}[2]耶椰爷移-{沙～：洒落}[3]野冶[5]□{没兴致}[6]也亦□{撒}
#iaʔ	
p	[7]壁璧
pʰ	[7]僻癖
t	[7]摘[8]籴
tʰ	[7]拆
l	[8]掠
ts	[7]柘{～林，地名}迹隻脊-{胛～：背}[8]食
tsʰ	[7]刺{被小刺扎，毛刺、不平整的}赤
s	[7]锡削[8]席{酒～}
k	[7]揭={～露}[8]剧屐
kʰ	[7]隙
ɡ	[7]揭-{小范围拨动}
h	[7]歇[8]额役
∅	[7]益[8]□{蛾子；动词，招（手），原文作“蛱”}蝶{蛾子}
#io	
p	[1]标{投～}錶-{手～}镖膘镳飙[3]表-{～兄}[5]漂{～白}□{皮肤嫩滑}裱
pʰ	[2]薸{萍}[4]鳔[5]票
b	[2]描瞄苗-{虾～}[6]庙
t	[2]潮[4]赵[6]□{抖动}
tʰ	[5]粜
n	[2]娘量粮梁粱[3]两{斤～}[6]让-
l	[2]撩{舀取液体最上层的杂质}
ts	[1]蕉椒-招-[3]少{多～}[5]照□{这么}
tsʰ	[1]□{攻击性强的}[5]笑-唱-{～歌-}
s	[1]烧相{～骂：吵架}[3]小{大～姐}[5]□{～～：差点儿}
z	[2]桡[6]尿
k	[1]茄桥[4]蕌[5]叫[6]轿
kʰ	[6]□{硌着}
h	[5]□{那么}
∅	[1]腰[2]摇-{～头}窑姚[3]舀[4]摇-{晃动}
#ioʔ	
t	[7]着{附～}[8]着{正确，应该}
tʰ	[7]挑-
l	[7]略-{看}
ts	[7]借质[8]石
tsʰ	[7]尺□{（粥等）稀}□{刷洗}[8]蓆{草～}席{主～}
s	[7]惜[8]液-{手～：手汗}
z	[8]若-{多么}
k	[7]脚角{主～；量词，位}
kʰ	[7]挈{捡}[8]挈{拿}
h	[8]箬{叶}页
∅	[7]约-[8]药-
#iu	
p	[1]彪
pʰ	[5]□{（线）崩开，引申为糟糕}
m	[4]谬{或读}
t	[1]丢[2]绸稠[3]肘[4]纣昼宙住{居住}粙{稻}[5]□{鞭打}
tʰ	[1]抽{原文作阴入32，应为误记}[2]筹涛[3]丑[5]□{～皮：破皮}
n	[1]□{缩}[2]裘{袄}襦{袄}[3]扭纽钮[5]谬
l	[1]溜[2]流=榴=留=硫琉浏[3]柳□{挖}[5]馏遛{快}
ts	[1]周舟州洲阄珠-{目～籽：眼珠子}[3]酒[4]就{～头：将就}[5]咒
tsʰ	[1]初-{～一十五}鬚{胡须}锹秋鳅[2]囚仇酬售[3]手[5]□{擦拭}[6]树{名词}
s	[1]修羞收梳[2]泅[3]帚首守[4]授受绶[5]秀绣宿{星～}锈袖兽[6]寿□{（鸟等的）窝}
z	[2]柔揉鱿
k	[1]□{缩}[2]球[3]赳纠九={～重天}[4]柩疚咎[5]救究
kʰ	[1]丘蚯鸠[2]求裘{姓}[3]□{抓挠}[6]□{（米饭）水分少}
∅	[1]优忧悠幽[2]尤邮由油游犹[3]友酉莠诱[4]贿又右佑鼬宥[6]柚釉
#iuʔ	
p	[7]□{冒出}
t	[7]□{很小}
n	[7]□{很小}
k	[7]□{挤}
#ua	
p	[5]簸播
pʰ	[2]婆[5]破
b	[2]磨{动词}□{靠近，旁边}
m	[1]幔{（用布）盖}[2]麻瞒鳗[3]满
t	[4]舵[5]带[6]大-
tʰ	[1]拖[6]汰-{淘洗}
n	[4]□{口水}[5]□{（随意地）躺}[6]烂-
l	[2]箩-[6]赖-{倚～：埋怨、怪罪}
ts	[1]抓[2]蛇[3]纸[6]匝-{次，回}□{次，回}
tsʰ	[3]□{歪}[5]蔡[6]娶-
s	[1]沙鲨砂[3]耍=徙[5]□{接续}续{接续}
k	[1]歌-瓜{傻～}[3]裹{～骹布}寡[5]挂=卦{～象}
kʰ	[1]夸垮跨胯[5]挂-
h	[1]花{～钱}华{～山}[2]和华{中～}铧桦[4]祸
∅	[1]瓦-{～解}蛙洼娃[2]□{～暝：熬夜}[3]我倚-
#uaʔ	
p	[7]钵[8]跋-{摔倒}□{～钱：赌博}
pʰ	[7]拨撇泼[8]□{（头发、毛巾等）交织，搭上}
b	[7]抹[8]钹末{芥～}沫-
t	[7]咄{呵斥}[8]□{辛辣}
tʰ	[7]獭□{刨（丝儿）}
l	[7]辣烙{煎炸}
ts	[7]□{泼（水）}[8]□{缺少}甴{曱～：蟑螂}
tsʰ	[7]□{用力撕拉；欺骗}
s	[7]煞杀宿{～舍}
z	[8]热-
k	[7]剐割葛刮={～风}
kʰ	[7]渴阔
h	[7]劐{～刀布：磨刀布}喝{喊，吹嘘}[8]□{跨}
∅	[7]喝-{吼}[8]活
#ue	
p	[1]杯飞-菠-{～薐：菠菜}[2]培陪赔[3]掊{掀}[4]贝{～壳}倍佩[5]贝{宝～}[6]焙
pʰ	[1]胚{原文阳平，应为误记}坯{原文阳平，应为误记}[2]裴皮[4]被-{被子}[5]配
b	[2]梅枚媒煤霉莓酶[3]尾美-{潮～，地名}[6]未-{还没}
m	[2]糜{粥}[3]每[4]妹昧寐魅[6]妹{又音}
t	[4]兑[5]缀-{粘连}
tʰ	[1]颓[2]痜
ts	[4]罪[5]最[6]襊{条状痕迹；量词，条}
tsʰ	[1]吹炊[2]棰{细长木条}[3]髓[6]罪□{找}
s	[1]衰[2]□{～～：无精打采}[5]税岁=帅戍[6]□{流淌}
z	[2]挼{揉捻}[4]芮锐睿
k	[1]瓜[3]果裹{垫}馃[5]过挂-{～纸：扫墓}髻{鸡～：鸡冠}
kʰ	[1]科蝌盔魁{～梧}恢[2]瘸[5]课卦{八～}
ɡ	[2]月袜
h	[1]花灰[2]回茴蛔[3]火伙[4]汇会{开～}会={不～}[5]货化悔诲晦秽岁-[6]和{～尚}伙-{有～：有伴儿}
∅	[1]萎{～～：萎靡貌}锅莴[2]画{动词}[4]卫荟[5]尉慰蔚秽{传染}[6]话画{名词}
#ueʔ	
pʰ	[8]□{聊}□{泡沫}
m	[8]物
n	[7]□{捡}
s	[7]刷说
k	[7]刮{～痧，或读}郭[8]䙠{裤～：短裤}橛{半截}
kʰ	[7]缺=
h	[7]血
∅	[7]哕{呕吐}□{蘸取}[8]划
#ui	
p	[1]卑悲[2]肥[6]吠
pʰ	[3]啡{～蜀叫：“呸”的一声}[5]屁呸{～掉：吐（痰或唾沫等）}
b	[2]溦{雨～：毛毛雨}[5]痱
m	[2]微薇[3]美镁[5]□{不害怕}
t	[1]堆追[2]捶[3]搥{用力拉}[5]对碓[6]队坠
tʰ	[1]梯推[2]槌锤[3]腿[4]□{沉甸甸}[6]缒{往上吊挂}
l	[1]镭{个～：一块钱}[2]雷擂[3]儡累积～蕊垒磊蕾[4]泪[6]类累{劳～}
ts	[1]锥[3]水[4]赘粹祟瘁[5]醉
tsʰ	[1]崔催摧[5]碎脆喙{嘴}翠
s	[1]蓑虽荽绥-{流苏}[2]随垂绥={～靖}遂隧谁[3]水{帅气}[4]瑞睡[6]穗
z	[2]唯维惟□{（用刀等）转一圈使某物断离}[4]遗
k	[1]圭闺奎规归皈[3]诡鬼幾-{疑问词}[4]跪[5]鳜桂癸贵瑰
kʰ	[1]开-亏窥[2]魁{花～。原文阳上，应为误记}槐{原文阳上，应为误记}逵{原文阳上，应为误记}葵{原文阳上，应为误记}[3]傀轨[4]溃愧[5]气-{敨～：呼吸}季
ɡ	[6]魏
ŋ	[2]桅危[3]伪
h	[1]灰{又音}麾非菲啡=妃挥辉晖徽翡蜚飞=[2]□{瓷器}[4]惠慧[5]废肺费
∅	[1]医威[2]为违围[3]委萎伟苇纬苇猬[4]谓{无所～}[5]讳畏=谓{称～}[6]位胃
#ai	
p	[2]排牌[3]摆[5]拜[6]败
pʰ	[3]痞[5]派湃沛
b	[2]眉楣嵋湄[5]□{埋头}[6]□{看东西入神貌}
m	[2]埋[4]迈[5]□{不要}
t	[1]呆[2]□{螨虫}[3]歹傣[4]大=怠殆[5]代={交～}戴=贷黛[6]事{无～：无关}
tʰ	[1]筛{簸箕；动词}[2]台苔=抬-治-{宰杀}[3]癞-{～□ko33：麻风病}[4]待[5]态太泰汰=
n	[2]莲[3]奶=乃=[4]捺楝耐奈荔-{～果：荔枝}乃-{～是：如果}
l	[2]梨来[3]里-赖癞[6]利-{锋利}
ts	[1]灾栽知-崽{鱼～：鱼苗}[2]脐才{秀～}[3]宰[4]在[5]载{～客}再[6]载{满～}
tsʰ	[2]豺才材财裁[5]菜
s	[1]筛{～酒：斟酒}西{～方}犀腮狮师-{～父}[3]屎使驶[4]柿[5]晒婿赛塞{边～}使{大～}[6]倳{放置}
k	[1]皆阶该[2]个-{量词}□{肯定判断系词}[5]介界芥尬疥届戒溉{～水：淹水}盖丐
kʰ	[1]开=[3]楷凯[5]慨概溉{灌～，又音}
ɡ	[6]碍
ŋ	[2]涯崖[3]呆{～板}□{碾轧}掜{（小孩）不听话}[4]艾=岸[6]□{痛骹～路：痛的脚走路更容易受伤}
h	[1]嗨[2]谐解{姓}颏{下～：下巴}[3]海[4]械骇咳孩亥骸[6]害
∅	[1]哀埃挨=[2]娭{母亲}[3]隘蔼霭
#aiʔ	
ŋ	[8]□{（生肖等）相冲}
#oi	
p	[1]□{螺丝～：螺丝刀}
pʰ	[1]批𠜱{削}[6]稗
b	[3]买[4]𣍐{不会}[6]卖
t	[1]堤[2]题啼[3]抵-{～神煞：抵挡鬼神}
tʰ	[1]钗[5]代{训读“替”}替
l	[1]□{倒下}[2]犁[3]礼{又音}[5]劙{劈}
ts	[2]齐-[6]穧{多}□{多}
tsʰ	[5]粞
s	[1]□{（喉咙）沙哑}□{扫～：草扎的大扫帚}[3]洗[5]细
k	[1]街鸡[2]葵{～笠：斗笠}[3]解改[5]计[6]易-{容易}
kʰ	[1]溪[5]契喫{啃}
ɡ	[2]倪[6]艺
h	[2]□{剐蹭}[3]□{～时：反问副词，哪里}[4]蟹
∅	[1]挨-{～着；～磨：转磨盘}[2]鞋[3]矮[4]解{情态词，会}
#oiʔ	
p	[7]八[8]拔-
tʰ	[7]□{以物填空隙}
l	[8]笠□{土俗}
ts	[7]节{～日}□{轻轻按压吸干（水分）}[8]截
s	[7]塞-{塞入}
k	[7]裌{马甲}挟荚圿{垢～：体垢}
kʰ	[7]□{碾轧}
∅	[8]狭-
#au	
p	[1]褒包胞苞[3]保={太～}堡褓鸨[4]暴鲍爆
pʰ	[1]褒{又音}抛铇[2]袍刨庖[3]跑[5]炮泡={～发}泡{量词，蜀～茶}
b	[3]卯铆
m	[1]□{用布等覆盖包裹}[2]茅锚矛[4]冒瑁貌
t	[1]叨兜逗[2]投骰[3]祷岛倒={打～}到={应～}斗{计量单位；畚～}抖陡找[4]道稻蹈盗导[5]鬥{～詏：吵架；拼接}昼{日～：下午}[6]豆痘
tʰ	[1]滔掏偷[2]淘陶头[3]敨[5]套透
n	[1]浇[2]挠[3]脑恼=瑙[4]闹[5]□{懊～：不讲理}
l	[1]唠捞□{参杂；绊}[2]劳涝楼刘留-流-闹-{～热：热闹}醪{～糟}[3]老{～师；王～，尊称}姥篓搂□{骗}[4]老{～侬：老人}[5]霤{～屎：蹿稀}□{～节：枝节或四肢长}[6]漏
ts	[1]糟遭[2]□{均匀}[3]走蚤[4]皂造罩[5]灶奏
tsʰ	[1]操抄钞吵剿[2]曹巢□{搬动}[3]草[5]躁燥噪臭
s	[1]骚臊梢捎鞘[5]扫潲嗽哨□{扇（巴掌）}
k	[1]高交郊勾钩沟[2]猴[3]狡狗枸搞九-垢-{～圿：体垢}[4]藕厚[5]告=遘{到}够-{～力：得劲}
kʰ	[1]薅□{摭～：抓阄}[3]考烤口[5]靠=犒叩扣铐哭{哭，原文作“号”}
ɡ	[2]𠢕{乖；厉害}
ŋ	[1]淆嚣□{～机；挖掘机}[2]熬肴[3]□{大口啃食；～种：有反骨}[4]傲
h	[1]蒿哮□{腰～～：驼背貌}[2]豪壕毫[3]吼[4]校{学～}[5]浩孝[6]效候鲎
∅	[1]坳殴欧瓯鸥讴凹[2]喉[3]呕[4]後{前～}[5]怄沤{～～掉：泡坏了}□{次，差劲}
#auʔ	
p	[7]□{菜～：菜梗}
l	[8]落-{交～：掉落}
s	[8]□{酥～：酥脆}
k	[7]□{卷起}
kʰ	[7]□{风干貌}
ɡ	[8]乐{音～}
#ou	
p	[1]夫-{禾～：男子}埠晡{暝暗～：傍晚}[2]□{裤腿缝线的一层布}煲{咸鱼～}[3]补脯{肉～}斧釜[4]部殕{生菇拍～：长白毛}[5]布傅{姓}[6]步哺{嚼}
pʰ	[2]铺{～设}[3]脯{胸～}谱普浦甫剖[4]簿[5]铺{店～；距离单位，一铺为五公里}
b	[2]模{模具}[3]牡亩母-{老婆}[6]戊
m	[2]摸谋牟眸蒙[3]某懵[4]茂舞-{舞动}[5]贸
t	[1]都[2]涂屠图厨{～师}[3]肚{腹～}[4]妒杜肚{猪～}[5]斗{～争}[6]度渡镀厨{～房}踱
tʰ	[2]塗{泥土}[3]土吐{目～～：眼睛凸貌}[5]吐{呕吐}兔
n	[1]孥{～囝：小孩儿}[2]奴孥{子女}
l	[2]卢炉芦鸬庐[3]卤篓搂恼-{讨厌}[4]□{晃动}陋[5]露{～出}[6]路露{～水}
ts	[1]租邹绉[3]祖[4]骤
tsʰ	[1]粗[2]愁[5]醋凑
s	[1]苏酥稣邹{～阳，地名}飕馊[3]叟瘦擞[5]漱素-{无味无～：索然无味}
k	[1]姑菇孤枯鸪辜{姓}[2]糊-{浆糊}[3]古估牯股鼓苟贾{商～}[4]靠{依靠}够{～着}[5]雇够={足～}构购
kʰ	[1]箍{圈}呼{召唤（鸡等动物）}[3]苦许{姓}[5]库裤寇
ɡ	[2]吴蜈=[5]误
ŋ	[3]忤伍午藕={～带}偶[4]五
h	[2]瓠葫胡{～椒}侯[4]雨-户后{帝～}[5]戽{～水：舀水泼出}
∅	[1]乌钨[2]胡{姓}湖□{圆形扁筐}[6]芋
#iau	
p	[3]表={～示；钟～}婊
pʰ	[1]标={目～}飘缥剽漂{～流}[2]瓢嫖朴{姓}[5]漂{～亮}
m	[2]苗[3]杳秒渺藐淼邈[4]妙
t	[1]刁叼貂雕凋碉[2]条[4]兆召[5]调{～包}吊[6]掉调{声～}
tʰ	[1]挑={～战}眺[2]调{空～}□{痘}[3]窕[4]柱[5]超跳
n	[1]嬲{挠痒，痒}[3]袅[5]皱
l	[2]捞-燎疗瞭聊辽撩寥寮[3]了{完了}[4]鹭-[6]料廖
