ɐ
kʰ[1]堪勘刊[3]坎砍嵌槛[5]看{~见、~守}
x[1]憨酣[2]含函寒韩苋[3]憾喊喊罕[5]鼾汉熯旱捍汗焊翰
ŋ[1]庵淹安鞍[5]揞暗岸按案

aŋ
p[1]邦帮[3]绑榜谤[5]棒
pʰ[2]庞滂旁螃傍[5]胖
m[2]芒盲氓忙芒茫[3]莽蟒
f[1]方芳[2]坊房防[3]肪仿妨纺彷访[5]放
t[1]当裆[3]党挡档[5]当荡
tʰ[1]汤倘[2]堂棠螳唐糖塘[3]躺[5]烫趟
n[2]廓囊郎廊狼螂[3]朗[5]浪
ts[1]张章樟蟑瘴赃脏[3]长涨掌[5]帐胀账丈仗杖障葬藏脏
tsʰ[1]昌菖娼倡仓苍舱[2]怅长肠场藏[3]厂[5]畅唱
s[1]商伤桑丧磉丧[2]常尝裳[3]赏偿嗓[5]上尚
z[3]壤嚷酿[5]让
k[1]肛刚岗纲钢冈缸钢[3]港[5]杠杠
kʰ[1]康糠慷[2]扛[3]囥[5]抗炕
x[1]夯[2]行航杭[5]项
ŋ[1]骯[2]昂

au
p[1]包胞[3]保宝堡饱[5]报抱暴菢豹爆鲍刨雹曝
pʰ[1]抛锚[2]袍刨[3]跑[5]泡炮
m[1]猫猫[2]矛毛茅[3]卯[5]冒帽貌藐
t[1]刀叨[3]倒岛祷捣倒到[5]稻道导盗蹈
tʰ[1]滔涛[2]掏桃逃淘陶萄[3]讨[5]套
n[2]劳捞牢唠痨涝[3]脑恼老姥[5]闹
ts[1]糟遭召昭招沼诏[3]早枣蚤澡找笊[5]灶皂罩赵兆照
tsʰ[1]操抄钞超[2]曹槽巢朝潮朝[3]草騲炒吵[5]躁糙造燥
s[1]骚臊梢筲捎稍烧[2]韶[3]嫂扫少{多~}[5]潲潲哨少{~爷}绍邵勺芍
z[2]铙挠饶桡[3]扰绕侥[5]绕
k[1]高膏篙糕羔蒿茭[3]稿犒搞[5]告窖
kʰ[3]考烤拷铐[5]靠
x[1]薅[2]毫豪壕[3]好{~人}[5]好{爱~}耗浩号郝
ŋ[1]熬爊[3]袄[5]傲懊奥澳懊凹坳拗

e
p[7]北百柏伯白陌
pʰ[7]迫拍魄泊
m[7]墨默脉麦
t[7]得德
tʰ[7]特
n[7]劣勒肋
ts[1]遮蔗[7]乍只置滓折赁执纨哲蜇折浙折侄质贼值织职植殖宅窄摘责直只
tsʰ[1]笡车[7]厕撤彻辙澈则侧恻测拆择泽册策斥赤吃尺
s[7]誓视摄涉涩湿十什拾舌设瑟虱实失室色食蚀识适释石
z[7]热日
k[7]格革隔
kʰ[7]咳克刻刻客
x[7]骇黑赫核核核
ŋ[7]额厄扼

ei
p[1]杯背碑悲[5]贝狈辈培倍佩焙臂譬被被
pʰ[1]批胚坯披丕[2]陪赔裴[5]配
m[2]梅枚媒煤玫莓霉媚[3]每美[5]妹昧寐
f[1]飞非妃菲[2]肥[3]匪[5]沛废肺疿沸费
n[1]呢
ts[1]庶[3]者
tsʰ[1]车[3]扯
s[1]赊奢畲[2]蛇畲[3]赦舍{~不得、宿~}[5]射麝社[7]射
z[3]惹

ɚ

Ǿ[2]儿而[3]尔耳饵[5]二贰

ən
p[1]奔崩绷[3]本[5]笨
pʰ[1]喷喷烹[2]盆彭膨
m[2]门[5]闷
f[1]分吩芬纷[2]梵焚坟[3]翡粉[5]粪奋愤忿份
t[1]敦墩登灯蹲-[3]等[5]顿扽钝凳邓澄肫盾
tʰ[1]吞宂[2]屯藤腾誊
n[2]能仑伦沦轮[3]冷[5]嫩论论
ts[1]针斟珍榛臻真诊疹增曾憎甑征蒸争筝睁贞侦征[2]怎[3]枕枕拯整[5]镇阵振震赠证症圳郑掷正政
tsʰ[1]伸称秤撑牚村[2]沉岑宦陈尘晨臣层曾橙乘丞橙存呈程成城诚[3]惩逞[5]趁衬慎称寸
s[1]森参深身申僧升生牲甥笙孙声[2]神娠辰承[3]沈婶审省损笋省[5]葚甚肾剩胜胜圣盛盛
z[2]壬任人仁仍扔[3]纴楔忍刃韧[5]任认
k[1]跟根更{~新}庚耕[3]哽梗埂耿嗝[5]更{~加}
kʰ[1]坑[3]恳垦啃肯
x[1]亨哼[2]痕恒衡[3]很[5]恨杏
ŋ[1]恩[5]硬

əu
t[1]兜[3]陡[5]斗豆痘逗
tʰ[1]偷[2]头投[3]抖[5]透
n[2]屡楼搂[3]缕搂篓[5]漏陋
ts[1]邹周舟州洲周粥[3]帚走[5]昼纣宙绉咒奏
tsʰ[1]抽掫[2]绸稠筹矁愁酬仇仇偢[3]丑酉[5]骤臭嗅凑嗅
s[1]搜飕馊搜收叟[3]手首守[5]贿瘦兽受寿授售嗽
z[2]柔揉搡
k[1]勾钩沟[3]狗苟[5]够彀构购荀
kʰ[1]扣[3]口[5]寇
x[2]侯猴候[3]吼喉[5]垢后厚
ŋ[1]抠欧殴沤[3]藕偶{配~}偶{~然}呕[5]怄

i
Ǿ[1]医衣依[2]爷移姨夷遗[3]野椅倚巳以已[5]夜艺瞖易冀意异忆亿翼液腋易[7]逸
p[3]彼比[5]蔽敝弊币毙闭箅陛鐾备黹必
pʰ[2]卑俾皮疲脾婢琵枇[3]鄙秕痹痞匹[5]庇屁
m[2]迷谜糜弥靡眉楣[3]米[5]笕溺
t[1]爹低[3]底抵[5]逮帝蒂弟第递隶地
tʰ[1]梯[2]堤屉题提[3]体蹄[5]替涕剃啼刎剔
n[2]泥犂黎倪离篱璃离宜谊篦尼梨厘狸疑笠[3]礼你李理里鲤捋[5]厉励刈丽莉荔仪蚁义议腻利痢毅殓瘌拣匿逆觅
ʨ[1]鸡羁奇{~数}饥肌基箕姬机讥饥[3]姐挤己纪杞几虮[5]借祭际穄济脐剂稽计继寄徛技妓祀记忌既季汁脊迹
ʨʰ[1]妻凄凄欺期[2]齐奇{~怪}骑岐祁棋旗其[3]启起岂祈[5]企器弃气汽乞
ɕ[1]些西栖犀溪奚兮芮携牺熙希稀羡蝎[2]邪斜蟋[3]写泻洗徙嬉嘻禧喜蟢[5]褯卸谢细系玺戏泄[7]泣

ia
Ǿ[1]鸦丫桠[2]牙芽衙伢蚜涯[3]雅砑哑亚杳[5]压
ʨ[1]家加痂嘉家稼佳[3]贾假{真~、放~}[5]架驾嫁价
ɕ[1]虾{鱼~}[2]霞瑕遐[5]厦{高楼大~、~门}下夏下夏暇贾


iæ
Ǿ[7]鸭
ʨ[7]闸夹甲胛押挟荚
ʨʰ[7]掐恰洽
ɕ[7]狭峡匣侠瞎辖吓

iɛ̃
Ǿ[1]阉炎腌腌蔫焉蔫烟胭咽[2]盐艳盐颜谚延筵蜒言[3]掩眼演衍[5]厌靥焰雁晏堰燕宴燕
p[1]鞭编边[3]贬蝙扁匾[5]变便辩便辫
pʰ[1]篇偏[5]骗遍遍片
m[2]绵棉眠帛[3]免勉缅娩[5]面
t[1]颠癫[3]点典[5]掂踮店电殿奠佃垫
tʰ[1]添㮇天[2]甜田填[3]舔腆
n[1]拈搛研[2]廉镰帘阎严俨酽廿连联年莲䥛[3]脸鲇碾捻砚[5]验念恋练炼链楝炼
ʨ[1]监监尖兼艰间{中~}间={一=~=屋=}奸铅锏煎掮肩坚[3]减碱检俭简柬剪茧趼[5]鉴舰敛渐剑谏涧箭溅践贱犍件建毽键健腱荐见
ʨʰ[1]歼签扦谦迁笺千牵纤[2]潜钳钱干虔前[3]浅遣[5]欠歉犍
ɕ[1]纤仙先筅[2]咸=衔嫌闲闲贤弦[3]险显[5]陷馅限县线宪献现

iaŋ
Ǿ[1]央秧殃[2]羊洋杨阳扬疡[3]养痒[5]样
n[2]娘良凉粮梁粱[3]仰两辆[5]量亮谅量
ʨ[1]疆僵姜缰姜江豇将[2]啬[3]讲蒋奬桨[5]降浆酱将匠
ʨʰ[1]羌匡腔枪[2]强{坚~}墙[3]强{勉~}抢[5]呛
ɕ[1]厢湘镶香乡相箱[2]详祥翔降[3]想晌饷享响[5]相象像向巷=

iau
Ǿ[1]妖邀腰夭幺吆[2]肴摇謡姚窑遥尧[3]舀[5]要{~求}要{重~}耀跃
p[1]彪臕标[3]表婊
pʰ[1]飘漂漂薸鳔[2]瓢嫖瓤[5]票
m[2]苗描[3]秒渺[5]庙妙
t[1]刁雕貂凋[5]吊钓调掉调
tʰ[1]挑[2]条调[5]跳
n[2]燎燎疗辽聊撩瞭僚镣[3]咬鸟了[5]尿寥廖料
ʨ[1]交胶郊焦蕉椒樵骄娇浇教{~书}[3]绞狡铰搅剿矫缴饺[5]教{~师}较觉={睡=~=}轿叫嚼
ʨʰ[1]敲悄俏撬[2]瞧桥乔[3]巧荞侨[5]翘窍
ɕ[1]消宵霄硝销逍肖嚣萧箫[2]淆[3]小晓[5]酵校{~对}哮孝校{学~}效笑

ie
Ǿ[1]耶椰[3]也矣怡[5]矢抑[7]缢叶页揖邑噎乙一壹益亦译
p[3]缲瘪[7]避鼻别憋笔滗毕逼碧璧壁
pʰ[7]撇蹩弼僻辟劈霹
m[7]秘泌灭篾蔑密蜜
t[7]迭碟牒蝶谍迭的滴嫡狄笛敌
tʰ[7]跌帖贴铁踢
n[7]例聂镊蹑猎业立粒列烈裂孽捏栗力历
ʨ[1]皆阶[3]解{~决}[5]藉介界芥疥届戒械妾缉棘戟[7]诣接集辑急级及杰揭竭节疖结洁疾吉即鲫极橘积籍绩寂激击
ʨʰ[3]且[7]砌契捷劫切窃截七漆膝讫戚
ɕ[2]偕谐蟹蟹隙[5]御懈[7]胥婿胁协习袭吸血穴歇屑悉衅息熄媳恤昔惜夕席析锡

iəu
Ǿ[1]优忧悠幽[2]尤邮由油游犹[3]有友[5]又右佑柚釉幼
t[1]丢
n[1]溜[2]流留刘榴琉硫馏牛[3]纽扭柳[5]廖谬
ʨ[1]鸠阄纠灸纠炙[3]酒九久韭[5]就救究臼舅咎旧柩
ʨʰ[1]揪秋鳅丘锹㪗[2]囚泅求球
ɕ[1]修羞休[3]朽[5]秀绣锈袖莠诱

in
Ǿ[1]音阴窨因姻殷鹰蝇莺樱鹦英婴缨[2]吟淫银寅迎盈赢[3]伊饮引隐瘾尹影映颖[5]印应应
p[1]拚彬宾槟滨殡冰浜兵秉[3]禀丙柄饼[5]迸病并姘屏并
pʰ[1]拼[2]贫频苹凭平评坪瓶萍[3]品[5]鬓聘
m[2]民抿明鸣名铭[3]闽悯敏皿[5]命
t[1]丁钉疔叮钉[3]顶鼎[5]淀订锭定
tʰ[1]厅[2]亭停庭廷蜓[3]挺艇[5]听听
n[2]林淋临檩凛怜鳞磷邻棱凌陵菱凝宁宁灵零铃拎翎龄[3]领岭[5]吝令佞另
ʨ[1]蒯梓卉今金襟津巾斤筋京荆惊鲸精晶睛经经[3]锦紧仅谨境景警擎井颈[5]禁禁尽进晋尽劲近茎敬竟镜竞静靖净劲径
ʨʰ[1]钦揿妗亲亲卿清轻青蜻[2]荠琴禽擒秦勤芹琼情晴[3]寝请[5]浸侵庆
ɕ[1]心芯辛薪新兴{~奋}星腥猩馨[2]行形刑型[3]醒[5]信兴{高~}行幸性姓

iɵ
Ǿ[7]约药钥岳育欲
n[7]酪略掠
ʨ[7]脚角足
ʨʰ[7]掘却确屈倔雀鹊曲
ɕ[7]学蓄畜

ioŋ
Ǿ[2]融容溶蓉熔[3]雍拥庸勇涌踊[5]用
ʨʰ[2]穷
ɕ[1]兄胸凶[2]熊雄

o
Ǿ[1]阿倭窝莴[2]蛾鹅俄[5]饿卧
p[1]波菠玻[3]簸跛簸[5]播薄剥驳拨钹脖勃博薄
pʰ[1]颇坡[2]婆[5]破剖
m[1]摸[2]魔摩磨膜[3]抹[5]末
t[1]多[3]朵躲[5]舵惰
tʰ[1]拖[2]驼驮[3]妥椭馁
n[1]啰[2]挪罗锣箩萝骡螺[3]裸[5]糯
ts[3]左佐[5]坐座
tsʰ[5]锉措错
s[1]娑蓑梭唆[3]锁琐所硕
k[1]歌哥锅戈蜗[2]回[3]果裹馃[5]个过
kʰ[1]科窠棵颗[3]可[5]课
x[1]喝喝[2]何河荷{薄~、~花}和{~好、~面}禾[3]火伙伙[5]贺货祸
ŋ[2]讹[3]我

ɵ
Ǿ[5]沃[7]握吻物
p[7]不钵
pʰ[7]赴讣朴泼卜扑仆瀑
m[7]沫没莫寞木沐
f[7]吠弗佛幅福蝠腹复辐覆伏服袱复
t[7]剁牸独读牍犊督毒
tʰ[7]唾颓蜕脱夺突凸托拓铎秃
n[7]赂律诺落烙洛骆乐络鹿禄六陆録緑
ts[7]箸着酌卓桌啄琢捉镯作昨竹筑逐轴祝烛触
tsʰ[7]搓矬撮拙绰戳浊出凿族促
s[7]宿说朮述术索宿缩叔淑熟赎束蜀属
z[7]入若弱箬肉
k[7]合鸽割葛擖骼骨胳各阁搁谷
kʰ[7]叩磕渴壳哭酷
x[7]荷合盒豁活霍藿或惑忽勿鹤获
ŋ[7]恶鳄腭愕恶
v[7]屋

oŋ
Ǿ[1]翁壅[5]齆
p[1]褒绷
pʰ[2]朋棚篷蓬[3]捧[5]碰
m[2]谋萌盟蒙懵蠓[3]某亩猛[5]茂贸孟
f[1]蚌风疯枫丰凤封蜂峰锋[2]冯逢缝[3]否讽[5]奉缝俸
t[1]东冬[3]董懂[5]汆冻栋动洞
tʰ[1]通捅[2]同铜桐筒童瞳[3]桶统[5]痛
n[2]笼聋砻咙拢农脓侬隆窿浓龙陇[3]垄[5]弄
ts[1]鬃棕宗中忠衷终踪钟盅[3]总种种[5]皱粽综中仲众纵纵怂重{~量}肿
tsʰ[1]葱聪怱囱充冲[2]丛虫崇从重{~新}[3]宠
s[1]蚣松嵩松[5]送宋诵颂讼
z[2]绒戎茸
k[1]公工功攻弓躬宫恭龚[3]拱巩[5]贡供供共
kʰ[1]窟空{天~}[3]孔恐[5]空{~闲}控
x[1]烘哄轰[2]虹弘虹红洪鸿宏[3]哄

ɿ
ts[1]知蜘支枝肢栀资姿脂滋淄之芝[3]紫纸姊指旨子[5]制智翅自致雉致稚至字痔治志痣志蛰
tsʰ[1]疵痴[2]雌池驰咨瓷餈迟兹慈磁伺辞祠词持恃襉[3]滞此侈耻止址趾齿[5]刺赐次[7]秩
s[1]腮斯厮撕施施豉私师狮蛳尸思丝司思诗[2]世匙时[3]眵死屎吏史使驶始[5]势逝杮舐是氏四肆示肄似寺饲嗣峙士仕柿事试市侍拟式饰

ʊ
p[3]补[5]布怖部簿步
pʰ[1]铺{~张}[2]蒲菩脯葡[3]谱普浦铺{当~}捕[5]铺
m[2]模模摹[3]騇牡母拇[5]暮慕墓募幕
f[1]呼乎夫敷俘孵麸[2]胡湖糊狐壶葫蝴胡瓠肤符扶芙浮复[3]虎浒府腑俯甫脯斧抚釜腐辅[5]戽户沪互护跗付赋傅咐父附副负妇肘富缚斛
t[1]都都[3]堵赌[5]肚妒杜肚度渡镀度踱
tʰ[2]途屠徒涂图[3]土吐[5]兔
n[2]奴卢炉芦鸬橹庐[3]努鲁虏卤[5]怒路露鹭
ts[1]租猪诸诛蛛株朱珠[3]祖组阻煮主嘱[5]做着助驻柱住注蛀铸
tsʰ[1]粗初[2]褚除储苎锄厨橱[3]楚础处杵处拄[5]醋醭
s[1]苏酥梳疏蔬疏书舒输输殊[3]鼠暑黍署薯数[5]素诉塑嗉恕墅数竖树漱朔粟
z[2]如儒擩[3]汝乳辱褥
k[1]姑孤辜[3]古估牯股鼓[5]故固雇顾
kʰ[1]箍枯[3]苦[5]库裤
v[1]乌污坞巫诬[2]吴蜈无戊[3]五伍午武舞侮鹉[5]吾梧误悟务雾

ua
Ǿ[1]蛙洼蛙畦剜挖[2]娃[3]瓦
ts[1]抓[3]爪
s[3]耍
k[1]瓜圭[3]寡剐[5]挂卦褂
kʰ[1]夸[3]垮跨
x[1]花[2]华铧华划[3]桦[5]化划画话

uæ
Ǿ[7]袜
s[7]涮刷
k[7]刮
x[7]滑猾

uai
Ǿ[1]歪[5]外
tsʰ[3]喘
s[1]衰摔[3]摔[5]帅率蟀
k[1]乖[3]拐[5]怪
kʰ[3]块[5]刽桧快筷
x[2]徊怀槐淮惟[5]坏

uæn
Ǿ[1]豌弯湾[2]玩完顽[3]碗腕晚挽[5]万
t[1]揣揣端[3]短[5]断锻断段缎
tʰ[2]团团
n[2]鸾[3]暖卵[5]乱
ts[1]钻专砖[3]转{~送}[5]赚撰转{~圈}篆传{~记}
tsʰ[1]川穿[2]传{~送}船[3]铲[5]纂蹿窜篡串
s[1]珊删酸拴栅[5]疝算蒜
z[3]软阮
k[1]官棺观冠观冠鳏关[3]管馆[5]贯灌罐惯掼
kʰ[1]宽[3]款皖
x[1]欢[2]桓还环[3]缓[5]唤焕换幻患

uaŋ
Ǿ[1]汪[2]亡忘王[3]网枉往[5]望妄旺
ts[1]庄装妆桩[5]壮状撞=
tsʰ[1]疮窗[2]床[3]闯[5]创
s[1]霜双[3]爽
k[1]光[3]广
kʰ[1]眍筐框眶[2]狂[5]旷况矿
x[1]荒慌[2]黄簧皇蝗蟥凰[3]谎晃

ue
k[7]郭国
kʰ[7]括阔扩

uei
Ǿ[1]煨巍威[2]桅危为为帷维唯微薇围违[3]伪萎委尾伟苇纬[5]卫喂位未味魏畏慰胃谓猬
t[1]堆[5]对碓队兑
tʰ[1]推[3]腿[5]退褪
n[2]雷[3]摞儡擂累垒[5]内累累类泪
ts[1]雏追槌锥[3]嘴[5]堕罪最缀赘醉遂隧坠
tsʰ[1]催崔摧吹炊[2]垂锤[5]碎脆翠悴粹卒猝
s[1]虽[2]随绥谁[3]髓水[5]岁税秽睡
z[5]鋭瑞蕊
k[1]闺规龟归[3]诡轨鬼[5]瑰桂跪柜贵
kʰ[1]盔魁亏窥[2]奎癸愧逵葵[3]傀[5]溃
x[1]恢诙灰麾挥辉徽[2]晦回茴[3]悔毁[5]汇会绘惠慧穗讳汇

uən
Ǿ[1]温瘟[2]文纹蚊闻[3]稳[5]问
t[1]蹭[5]臀盾沌遁
tʰ[2]豚
ts[1]尊撙遵[3]准
tsʰ[1]椿春舂[2]唇醇[3]蠢
s[2]绳纯[5]顺舜
z[5]孕闰润
k[3]滚[5]棍
kʰ[1]昆坤[3]捆[5]困
x[1]昏婚浑荤[2]魂横横[5]馄混

y
Ǿ[1]吁迂[2]鱼渔于淤余愚娱于盂禹榆愉[3]屿语与雨宇羽[5]御予誉预豫遇寓芋逾俞愈喻裕率疫玉
n[2]驴[3]女吕旅虞履[5]虑滤
ʨ[1]居拘驹跔[3]举矩[5]据锯佢拒距苣聚俱句具惧剧剧菊鞠局
ʨʰ[1]蛆趋枢区驱躯区[2]茄瘸渠瞿衢[3]取娶趣[5]去
ɕ[1]靴墟虚嘘须{必~}须{胡~}需[2]徐[3]许[5]絮序叙绪

yɛ̃
Ǿ[1]冤渊[2]丸椽圆员缘沿元原源袁园援猿[3]远[5]院愿宛怨
ʨ[1]绢捐[3]卷{~起来}[5]卷{考~}眷倦券
ʨʰ[1]圈[2]全泉权拳[3]犬[5]劝
ɕ[1]宣喧鲜掀轩欣[2]旋{~转}旋{~吃~做}玄悬眩[3]选癣

ye
Ǿ[1]曰[7]悦阅月辕越粤域鄂役郁狱浴欲
n[7]虐疟
ʨ[5]鳜[7]絶厥蕨憠橛决诀觉爵
ʨʰ[7]怯缺曲
ɕ[7]续戍雪削薛戌速肃畜俗续

yn
Ǿ[2]云耘营茔萤荥荣[3]允永[5]吮熨韵运晕泳咏
ʨ[1]钧均君军[5]俊菌郡
ʨʰ[1]倾顷[2]褶羣裙
ɕ[1]醮熏勋熏[2]寻询旬循巡殉[5]蕈讯逊迅驯训
