tsɿ²⁴ 咨兹资恣芝之支枝知蜘滋痴
sᴀ⁴² 傻撒洒舍
sᴀ³³ 刹{动词}社射摄裟
kᴀ²⁴ 加甲贾佳家痂袈隔{~壁}
kᴀ²¹³ 架{名词}
kᴀ⁴² 假价{物~}
kᴀ³³ 嫁价{~钱}驾架{动词，~起来}
kʰᴀ²⁴ 咖客{白}揢
kʰᴀ²¹³ 虾{白}
kʰᴀ⁴² 卡{购物~}
xᴀ²⁴ 哈吓
xᴀ²¹³ 蛤
xᴀ⁴² 辖
xᴀ³³ 夏下
ŋᴀ²⁴ □{张开，~开口}
ŋᴀ²¹³ 牙伢{~俚}衙崖桠砑
ŋᴀ⁴² 瓦
ŋᴀ³³ 芽
ᴀ²⁴ 鸦{~片}
ᴀ²¹³ 啊{表示惊讶}
ᴀ⁴² 哑
ᴀ³³ 阿{~姨}
po²⁴ 拨博剥播波钵驳玻菠簸
po²¹³ □{~~蛋}
po⁴² 啵跛
po³³ □{重心离开水平线，~上~下}
Pʰo²⁴ 泼坡迫
Pʰo²¹³ 婆鄱
Pʰo³³ 薄{厚~}破{~案}
mo²⁴ 木摸抹{白}沫幕募墓穆睦目牧
mo²¹³ 魔膜摩嬷蘑
mo⁴² 磨{名词}蟆
mo³³ 茉莫{姓}
fo²⁴ 福佛辐妇复
fo²¹³ 和{~面}
fo⁴² 火伙
fo³³ 服{~输}货获霍惑袱贺
to²⁴ 端多粥斫{白}咄□{~箕，簸箕}
to²¹³ 垛量词
to⁴² 朵躲啄
to³³ 剁烛{白}督啄
tʰo²⁴ 脱拖托
tʰo²¹³ 驮砣坨
tʰo⁴² 椭
tʰo³³ 毒读唾吐独夺
lo²⁴ 啰烙□{小孩调皮或大人心肠狠毒}弱诺乐{可~}若{~无其事}
lo²¹³ 罗锣箩螺逻揉
lo⁴² 末卵{~石}
lo³³ 摞落洛鹿糯懦
ʦo²⁴ 粥捉卓桌作佐斫{文}着撮竹{爆~}祝诸
ʦo⁴² 左
ʦo³³ 烛{文}
ʦʰo²⁴ 座错痤
ʦʰo²¹³ 坐
ʦʰo³³ 戳矬昨□{丢失}族浊绰触
so²⁴ 梭蓑刷缩束漱速
so²¹³ □{做事慢吞吞}□{勺子}
so⁴² 锁琐唢叔唆
so³³ 熟硕窣说{文}
ko²⁴ 歌割搁各鸽
ko²¹³ 哥
ko⁴² □{这}
kʰo²⁴ 磕科确{白}棵窠瞌
kʰo⁴² 可苛
kʰo³³ 课
xo²⁴ 喝壳
xo²¹³ 盒河何荷和{~气}
xo⁴² □{驱赶牲口，~猪}
xo³³ 贺和{唱~}学
ŋo²⁴ 我岳{南~}
ŋo²¹³ 鹅俄峨{~眉山}
ŋo³³ 饿娥
o²⁴ 屙□{很，~好}阿{~育塔，塔名}
pe²⁴ 北杯碑伯不{~行}百{文}
pe³³ 背{~痛}辈贝
pʰe²⁴ 倍坯丕
pʰe²¹³ 陪培赔裴
pʰe⁴² 呸
pʰe³³ 佩配焙
me²⁴ 没{~收}默{~神}脉{白，把~}
me²¹³ □{~俚，谜语}霉煤玫{~瑰}
me⁴² 每亩牡
me³³ 昧{墨}
fe²⁴ 发{白}灰挥
fe²¹³ 回{动词}□{食品受潮后不脆，饼干~}
fe⁴² 毁悔惠贿{~赂}
fe³³ 活荟晖徽辉慧罚{白}汇回{量词}
te²⁴ 得{~到}德搭{~车}
tʰe²⁴ □{高温烘烤忒}□{中秋时用瓦片叠成高一米左右的塔，中间放煤油燃烧，使瓦片烧红，以此为乐}
tʰe⁴² 特垒
tʰe³³ □{叠，~起来}
ve²⁴ 煨{白}位{白}
ve²¹³ 维{白}围{白}唯{白}
ve⁴² 委{白}
ve³³ 胃{白}魏
le²⁴ 腊刺{白}□{没有，~闲、~话}□{用手指按}
le⁴² □{动词，对孩子严格要求}
le³³ 辣
tse²⁴ 责哲浙褶侧则卒
tse⁴² 者{文}崽
tsʰe²⁴ 插测厕□{搓}
tsʰe⁴² 策贼澈
tsʰe³³ 泽撤彻□{擦，~屁股}
se²⁴ 杀{~鸡}色{颜~}塞
se⁴² 是{西乡话}
ke²⁴ 夹革隔
ke³³ 锯
kʰe²⁴ 克{~服}刻{~章}客{文~气~家}掐
kʰe⁴² 克{量词}
kʰe³³ 刻{苛~}
xe²⁴ 黑嘿核
xe⁴² 峡{地名，~江}
ŋe³³ 轧硌
e²⁴ 鸭咯
e³³ 轧
tɵ²⁴ 堆队兜
tɵ²¹³ □{对联}
tɵ⁴² 陡踹纸{白}
tɵ³³ 对{~错}兑{~现}斗{~地主}抖□{凑，~钱买东西}齿{白}
tʰɵ²⁴ 偷豆痘
tʰɵ²¹³ 头投
tʰɵ⁴² 秃{~头}□{撕，~烂}□{工作中断休息，~一下}
tʰɵ³³ 透□{喷嚏，打~}
lɵ²⁴ □{滚，球在地上~}
lɵ²¹³ 楼雷
lɵ⁴² 垒{把砖~起来}篓屡{~次}
lɵ³³ 瑞睿累漏类{内}
tsɵ²⁴ 邹
tsɵ⁴² 走
tsɵ³³ 皱{~纹}奏{~乐}咒
tsʰɵ²⁴ 催
tsʰɵ⁴² □{用力往下压}
tsʰɵ 脆翠凑{~数}
sɵ²⁴ 馊搜尸{白}
sɵ²¹³ 时{白}是{北乡话}
sɵ⁴² 屎{白}
sɵ³³ 痩世{白}试{白}莳{白}
kɵ²⁴ 勾沟
kɵ²¹³ 钩
kɵ⁴² 狗
kɵ³³ 够构{~造}购{收~}
kʰɵ²⁴ 抠{~出来}
kʰɵ³³ 扣{~子、~钱}
xɵ²⁴ 厚
xɵ²¹³ 侯猴喉□{馋，~食}
xɵ⁴² 口
xɵ³³ 后{~悔}候
ŋɵ⁴² 藕
ɵ²⁴ 欧{~洲、~阳}
ɵ²¹³ 儿{~子}而□{小姨}
ɵ⁴² 偶呕
ɵ³³ 贰二沤{~肥}热{白}
pæ²⁴ 拜{~拜}
pæ⁴² 摆{~开}
pæ³³ 骂拜{~年}
pʰæ²¹³ 牌排
pʰæ⁴² 派
pʰæ³³ 败{吃~仗}
mæ²⁴ 迈
mæ²¹³ 埋
mæ⁴² 买
mæ³³ 卖妹脉{文}
fæ²¹³ 淮槐{~树}怀{~忠，地名}
fæ³³ 坏{~蛋}
tæ²⁴ 呆{文}
tæ²¹³ 带{~鱼}
tæ⁴² 待{招~}
tæ³³ 戴带{~伢俚}
tʰæ²⁴ 胎袋
tʰæ²¹³ 台
tʰæ⁴² 腿
tʰæ³³ 汰代贷大泰□{套，~被}
læ²¹³ 来奶{~奶}
læ³³ 癞奈耐奶{牛~}赖□{苋~，苋菜}□{烫}
tsæ²⁴ 栽灾摘斋
tsæ⁴² 再宰
tsæ³³ 债
tsʰæ²⁴ 猜差{出~}钗{文}
tsʰæ²¹³ 柴材财裁
tsʰæ⁴² 睬彩踩
tsʰæ³³ 菜蔡
sæ²⁴ 腮筛鳃摔
sæ⁴² 甩
sæ³³ 赛晒帅
kæ²⁴ 街该
kæ⁴² 械改解{~开}
kæ³³ 盖钙概介届界戒
kʰæ²⁴ 揩开{~水}
kʰæ⁴² 楷慨凯
xæ²¹³ 孩还{~有}鞋
xæ⁴² 海
xæ³³ 害
ŋæ²¹³ 癌呆{白}鹰
ŋæ³³ 碍{艾~叶}外{~公}□{啃，~骨头}□{用重物击打}
æ²⁴ 哀挨
æ⁴² 矮蔼
æ³³ 哎
pɔu²⁴ 包煲胞褒雹苞
pɔu⁴² 宝保饱堡
pɔu³³ 报爆暴豹菢{~小鸡}
pʰɔu²⁴ 抛泡
pʰɔu²¹³ 袍刨咆浮{白}
pʰɔu⁴² 跑
pʰɔu³³ 炮
mɔu²⁴ 冇猫
mɔu²¹³ 毛锚矛茅
mɔu⁴² 卯
mɔu³³ 茂冒帽贸貌
tɔu²⁴ 刀招{白}照{白}
tɔu²¹³ □{形容人很傻，~四六}
tɔu⁴² 祷导岛倒道{禾川大~}
tɔu³³ 到蹈悼叨
tʰɔu²⁴ 滔涛陶韬
tʰɔu²¹³ 逃桃淘
tʰɔu⁴² 讨
tʰɔu³³ 套萄
lɔu²⁴ 捞唠臊
lɔu²¹³ 劳牢捞饶{~命}
lɔu⁴² 老绕脑恼
lɔu³³ 扰佬涝闹
tsɔu²⁴ 遭沼召昭招{文}糟{~糕}照{文}
tsɔu²¹³ 爪
tsɔu⁴² 早澡枣{~子}
tsɔu³³ 赵罩诏肇兆躁燥灶噪糟{酒~}
tsʰɔu²⁴ 操超抄钞
tsʰɔu²¹³ 曹槽朝巢潮嘲
tsʰɔu⁴² 吵草炒
tsʰɔu³³ 焯
sɔu²⁴ 骚搔烧
sɔu²¹³ 嫂韶
sɔu⁴² 少稍
sɔu³³ 扫绍哨潲
kɔu²⁴ 交{~通}胶礁高篙膏糕{~点}
kɔu²¹³ 稿{秸秆}
kɔu⁴² 较搅搞稿{~子}
kɔu³³ 告校教叫{~花子}窖糕{蛋~}
kʰɔu²⁴ 烤敲{~诈}
kʰɔu⁴² 考拷
kʰɔu 靠铐
xɔu²⁴ 蒿号{~码}
xɔu²¹³ 豪毫嚎
xɔu⁴² 好
xɔu³³ 孝{~顺}昊效耗浩号{二~}
ŋɔu²¹³ 熬{~胶}
ŋɔu⁴² 咬傲
ɔu²⁴ 熬{炒，~菜，南乡腔}
ɔu²¹³ 敖{~城，地名}
ɔu³³ 奥坳
pəŋ²⁴ 绷崩
pəŋ⁴² 捧
pəŋ³³ 蹦迸
pʰəŋ²⁴ 抨{~击}
pʰəŋ²¹³ 鹏棚朋膨
pʰəŋ⁴² 嘭
pʰəŋ³³ 碰
məŋ²⁴ 蒙{~住}
məŋ²¹³ 檬盟蒙{~古}
məŋ⁴² 猛锰懵{~~懂懂}
məŋ³³ 梦孟慕{白}
fəŋ²⁴ 风峰封枫丰蜂烽
fəŋ²¹³ 逢冯{文}
fəŋ⁴² 讽{~刺}
fəŋ³³ 锋凤奉俸
təŋ²⁴ 东冬中{白}钟{白}
təŋ²¹³ 咚
təŋ⁴² 懂董栋
təŋ³³ 冻宗{白}
tʰəŋ²⁴ 动通彤重{白}
tʰəŋ²¹³ 同桐铜筒虫{白}
tʰəŋ⁴² 统桶
tʰəŋ³³ 痛铳
ləŋ²⁴ 聋
ləŋ²¹³ 龙{文}隆笼农浓脓容{文}蓉
ləŋ³³ 弄
tsəŋ²⁴ 盅综棕钟{文}中{文}忠{文}终{文}
tsəŋ²¹³ 粽
tsəŋ⁴² 总肿
tsəŋ³³ 众种{文~菜，}宗{文}
tsʰəŋ²⁴ 聪葱匆充冲重{文}舂
tsʰəŋ²¹³ 崇从{文}丛虫{文}
tsʰəŋ⁴² 宠□{推}
tsʰəŋ³³ 囱铳
səŋ²⁴ 松嵩
səŋ²¹³ 怂
səŋ⁴² 耸{~肩}
səŋ³³ 送宋颂诵讼
kəŋ²⁴ 蚣工公恭攻功宫躬弓
kəŋ⁴² 拱汞巩
kəŋ³³ 贡供{文}
kʰəŋ²⁴ 空{文，~间}
kʰəŋ⁴² 孔恐控
kʰəŋ³³ 共
xəŋ²⁴ 轰哄{起~}烘空{白}
xəŋ²¹³ 洪红虹弘宏鸿冯{白}
xəŋ⁴² 哄{~人}
xəŋ³³ 讧
əŋ³³ 瓮嗡
pã²⁴ 班斑颁扳{文}
pã²¹³ 板{一块~}
pã⁴² 版板{~起脸}扳{~手}
pã³³ 扮
pʰã²⁴ □{水缸}盼潘攀
pʰã²¹³ 蟠
mã²⁴ 妈□{天，半~还没来}□{抿}
mã²¹³ 蛮
mã⁴² 页{白，最小的孩子}
mã³³ 慢漫
fã²⁴ 翻欢{新}帆番{~茄}藩
fã²¹³ 烦凡环桓樊繁梵
fã⁴² 缓痪反{造~}返唤
fã³³ 患幻宦犯饭范泛贩矾换{文}
tã²⁴ 担{动词}单丹耽
tã⁴² 胆□{治，~病}
tã³³ 旦诞
tʰã²⁴ 摊瘫贪探
tʰã²¹³ 谈谭坛弹潭痰覃檀昙
tʰã⁴² 淡坦毯
tʰã³³ 滩叹碳炭
lã²⁴ 拿
lã²¹³ 缆拦篮蓝兰栏岚婪榄澜
lã⁴² 懒览
lã³³ 烂担{量词，一~}
tsã²⁴ 争{文}簪蘸沾{文}詹毡瞻
tsã⁴² 展{文}斩盏栈崭
tsã³³ 赞站占{文}战
tsʰã²⁴ 餐掺搀参
tsʰã²¹³ 残蚕惨禅惭婵
tsʰã⁴² 产铲
tsʰã³³ 灿忏撑赚
sã²⁴ 三山删姗珊衫生{动词}声{白}
sã²¹³ 生{形容词}
sã⁴² 伞闪陕
sã³³ 散{~步}善{文}汕擅
kã²⁴ □{钻}肩奸
kã⁴² 减简拣碱
kã³³ 鉴监间
kʰã²⁴ □{茅厕，南乡腔}
kʰã³³ 嵌
xã²⁴ □{表应答}
xã²¹³ 咸行{行走，~路}闲{空暇}
xã⁴² 喊
xã³³ 苋限{~制}
ŋã²¹³ 颜{~色}
ŋã⁴² 眼{针~}
ŋã³³ 硬间{白}
ã³³ 晏{晚}
pɔ̃²⁴ 搬扳{白}般帮浜梆
pɔ̃⁴² 绑榜磅
pʰɔ̃²⁴ 伴
pʰɔ̃²¹³ 盘庞□{扒开}
pʰɔ̃⁴² 拌畔
pʰɔ̃³³ 胖判叛
mɔ̃²¹³ 瞒忙盲芒茫
mɔ̃⁴² 满蟒{~蛇}网{白}
mɔ̃³³ 氓
fɔ̃²⁴ 方芳慌荒
fɔ̃²¹³ 房防妨潢煌凰簧皇磺
fɔ̃⁴² 仿访访纺恍晃谎
fɔ̃³³ 放
tɔ̃²⁴ 张{白}樟{白}章{白}当□{抽出}
tɔ̃²¹³ □{汪，一~水}
tɔ̃⁴² 短党档挡涨丈{~人公，老丈人}
tɔ̃³³ 仗锻裆□{地方}掌{白}
tʰɔ̃²⁴ 断汤昌{白}
tʰɔ̃²¹³ 唐糖堂塘螳团长{白}
tʰɔ̃⁴² 淌
tʰɔ̃³³ 趟烫段唱{白}
lɔ̃²⁴ 双□{稀疏}暖
lɔ̃²¹³ 狼郎朗廊銮挛孪囊
lɔ̃⁴² 卵
lɔ̃³³ 浪乱
tsɔ̃²⁴ 赃庄装{文}桩张{文}章{文}樟{文}
tsɔ̃⁴² 掌{文动词}藏{西~}
tsɔ̃³³ 葬钻壮妆账障胀{文}壮掌{文名词}
tsʰɔ̃²⁴ 仓舱昌{文}窜闩疮
tsʰɔ̃²¹³ 长{文形容词}藏{~开}床尝{文}
tsʰɔ̃⁴² 闯厂
tsʰɔ̃³³ 撞状篡创唱{文}
sɔ̃²⁴ 商伤丧桑酸
sɔ̃²¹³ 尝{白}
sɔ̃⁴² 赏嗓
sɔ̃³³ 上算蒜
kɔ̃²⁴ 扛刚钢缸纲肛甘干肝杆柑江
kɔ̃⁴² 港赶敢感擀讲
kɔ̃³³ 杠赣降
kʰɔ̃²⁴ 康炕勘刊
kʰɔ̃⁴² 抗
kʰɔ̃³³ 看
xɔ̃²⁴ 糠憨
xɔ̃²¹³ 寒韩函杭航行{一~字}
xɔ̃³³ 汉汗旱焊憾捍巷
ŋɔ̃⁴² □{晃，~动}
ŋɔ̃³³ 岸{白}
ɔ̃²⁴ 安鞍氨庵鹌
ɔ̃³³ 按案暗岸{文}
pẽ²⁴ 冰{南乡腔}兵{南乡腔}斌彬□{~食，给动物喂食}奔
pẽ⁴² 丙苯本
pẽ³³ 笨
pʰẽ²⁴ 烹
pʰẽ²¹³ 盆彭苹{南乡腔}瓶{南乡腔}
pʰẽ³³ 喷
mẽ²⁴ □{~俚，果蝇}
mẽ 门蚊
mẽ⁴² □{糟糕}
mẽ³³ 焖闷
fẽ²⁴ 分吩昏婚荤{文}
fẽ²¹³ 汾坟焚魂馄横{白}
fẽ⁴² 粉混
fẽ³³ 份粪愤忿奋
tẽ²⁴ 真{白}针{白}蒸{白}蹲灯登炖
tẽ²¹³ 墩{~上，地名}
tẽ⁴² 等吨顿枕{白}
tẽ³³ 凳盾钝
tʰẽ²⁴ 称{白动词}吞
tʰẽ²¹³ 沉腾藤滕豚
tʰẽ⁴² □{掉下}
tʰẽ³³ 邓称{白名词}
lẽ²⁴ □{偷偷溜走}
lẽ²¹³ 轮伦仑纶仁人{文}棱仍
lẽ⁴² 忍
lẽ³³ 任认韧寸{白}
tsẽ²⁴ 真{文}珍侦甄祯贞砧争{文}征郑筝蒸{文}增曾尊遵针{文}
tsẽ⁴² 诊圳整□{物品老化易碎}枕{文}
tsẽ³³ 镇阵震振赈正{文}证{文}症政郑憎
tsʰẽ²⁴ 村逞称{文动词}亲{白}
tsʰẽ²¹³ 存陈{文}臣晨辰尘城程成诚丞承呈乘惩橙秦{白}
tsʰẽ⁴² □{瞄一眼}
tsʰẽ³³ 寸{文}称{白名词}衬趁
vẽ²⁴ 瘟{白}温{白}
vẽ²¹³ 闻{白}文{白}炆
vẽ⁴² 稳{白}
vẽ³³ 汶{白}问{白}
sẽ²⁴ 僧森声{文}升深伸参绅珅孙
sẽ²¹³ 绳神婶寻
sẽ⁴² 省沈审慎损笋
sẽ³³ 胜剩甚肾渗晟牲盛{姓}
kẽ²⁴ 跟根更耕庚赓□{蹲}
kẽ⁴² 耿□{盖}
kẽ³³ 颈
kʰẽ²⁴ 铿
kʰẽ 恳垦□{咳嗽}
xẽ²⁴ □{我，北乡话}
xẽ²¹³ 衔痕横{文}衡
xẽ⁴² 很狠肯
xẽ³³ 恨
ẽ²⁴ 恩□{抱}
ẽ³³ □{答应，喊你冇~}
m̩³³ 姆{~妈}
n̩²⁴ 不
ŋ̍²¹³ 鱼吴{白}
ŋ̍³³ 蕹{~菜}午
pi⁴² 比鄙
pi³³ 弼闭蔽痹
pʰi²⁴ 被批丕披鼻砒彼
pʰi²¹³ 币皮疲脾啤琵枇
pʰi⁴² 庇辟痞僻弊
pʰi³³ 避屁
mi²⁴ 咪
mi²¹³ 迷谜弥猕眯眉
mi⁴² 迷米美
mi³³ 秘泌溺
fi²⁴ 非飞菲妃
fi²¹³ 肥
fi³³ 费废吠肺
ti²⁴ 堤低屉
ti⁴² 抵底
tʰi²⁴ 踢{文}梯
tʰi²¹³ 题蹄啼
tʰi⁴² 体剔
tʰi³³ 第弟地帝替剃
li²¹³ 离黎厘梨犁篱泥呢{~子大衣}
li⁴² 里李理礼哩璃鲤
li³³ 丽莉厉利荔隶
vi²⁴ 微{白}
vi³³ 味
tɕi²⁴ 吉鸡机基奇{~数}
tɕi²¹³ 姐{白}
tɕi⁴² 佢几挤纪{~律}际济
tɕi³³ 寄记既计继剂纪{姓}祭忌
tɕʰi²⁴ 欺
tɕʰi²¹³ 奇骑歧期企琪旗棋岂祺鳍
tɕʰi⁴² 启
tɕʰi³³ 气{文}汽器契戏{白}
ɕi²⁴ 希西系{~统}西牺稀嘻眭姓
ɕi⁴² 起洗喜□{用脚踹}
ɕi³³ 系{数学~}细熙戏{文}气{白}
i²⁴ 依医
i²¹³ 椅姨仪移宜遗颐贻
i⁴² 已倚
i³³ 异议意亿易艺忆逸{文}疫
piᴀ²⁴ 壁{~垒}
pʰiᴀ²⁴ 劈□{扇耳光}
tiᴀ²⁴ 爹
tʰiᴀ²⁴ 笛踢{白}
tʰiᴀ²¹³ 提
liᴀ²⁴ 踢{白}
liᴀ²¹³ □{身体疲乏或心情低落}
liᴀ⁴² 舔
liᴀ³³ □{剔出}□{~子豆腐}
tɕiᴀ²⁴ □{发语词，引起注意}
tɕiᴀ³³ 借
tɕiᴀ⁴² □{语气词，给你}
tɕʰiᴀ²⁴ 吃
tɕʰiᴀ²¹³ 茄{文番~}
tɕʰiᴀ³³ 洽
tɕʰiᴀ⁴² 卡{关~}
ɕiᴀ²⁴ 虾{文}
ɕiᴀ²¹³ 斜邪侠狭峡{三~}
ɕiᴀ⁴² 写
ɕiᴀ³³ 席夏姓谢{白}胁
iᴀ²⁴ 丫压{文}
iᴀ²¹³ 雅
iᴀ³³ 亚夜□{食物腻味或恶心}
iᴀ⁴² 冶野
piɛ²⁴ 弼笔逼必蓖毕屄憋
piɛ²¹³ 瘪
pʰiɛ²⁴ 撇匹
pʰiɛ³³ 别
miɛ²⁴ 蜜□{捏}
miɛ³³ 篾灭蔑密
tiɛ²⁴ 跌滴迪□{掷骰子}
tʰiɛ²⁴ 贴铁帖
tʰiɛ³³ 敌叠碟蝶谍
tʰiɛ⁴² □{掉}
liɛ²⁴ 逆入例日烈粒历猎□{不是}
liɛ³³ 栗吏励力裂劣律{白}
tɕiɛ²⁴ 接节结杰洁揭即级集急积激质汁迹绩藉涩折
tɕiɛ²¹³ 姐{文}
tɕiɛ³³ 缉
tɕʰiɛ²⁴ 七漆膝栖切
tɕʰiɛ³³ 去妾及
ɕiɛ²⁴ 雪薛歇泻袭吸惜隙熄湿
ɕiɛ²¹³ 舌携谐
ɕiɛ⁴² 是
ɕiɛ³³ 十涉协析悉习息谢{文}
iɛ²⁴ 益一业液镊孽
iɛ²¹³ 叶{~子}聂
iɛ³³ 热{文}叶{姓}页{文}逸{白}
tio²⁴ 着{穿}竹{白}□{塞，~香肠}□{植物结果子，树上~柚子}
lio²⁴ 绿录
lio³³ 六
tɕio²⁴ 脚菊
tɕʰio²⁴ 确{文}雀曲
tɕʰio²¹³ 茄{~子}瘸
tɕʰio³³ 局鹊
ɕio²⁴ 宿{~舍}俗{风~}肃削粟{包~}
ɕio³³ 续
io²⁴ 肉欲约玉{名字，小~}
io³³ 药育域
piɔu²⁴ 标彪飙镖
piɔu⁴² 表裱婊
piɔu³³ 俵
pʰiɔu²⁴ 飘
pʰiɔu²¹³ 嫖瓢朴姓剽
pʰiɔu⁴² 漂{用水~一下}
pʰiɔu³³ 票漂{~亮}
miɔu²⁴ 喵
miɔu²¹³ 苗瞄描
miɔu⁴² 秒藐
miɔu³³ 妙庙
tiɔu²⁴ 叼刁雕貂凋
tiɔu²¹³ 鸟
tiɔu⁴² □{性交，贬义}
tiɔu³³ 吊钓调{~走}
tʰiɔu²⁴ □{~板，茅厕垫脚的木板}
tʰiɔu²¹³ 条跳
tʰiɔu⁴² 调{交换，对~}
tʰiɔu³³ □{用重物锤}□{在空中晃}
liɔu²⁴ 撩
liɔu²¹³ 聊辽疗
liɔu⁴² 了{~事}
liɔu³³ 料廖扔
tɕiɔu²⁴ 浇娇焦椒
tɕiɔu⁴² 缴矫剿饺狡绞
tɕiɔu³³ 蕉哭
tɕʰiɔu²⁴ 悄
tɕʰiɔu²¹³ 桥乔瞧侨
tɕʰiɔu⁴² 撬巧
tɕʰiɔu³³ 俏窍翘嚼
ɕiɔu²⁴ 肖消销宵霄硝潇箫逍嚣
ɕiɔu⁴² 小晓
ɕiɔu³³ 笑哮哮
iɔu²⁴ 要{~求}腰邀妖幺
iɔu²¹³ 摇姚窑谣
iɔu⁴² 舀
iɔu³³ 要{~不~}耀尿
tiəŋ²⁴ □{用拳头击打}
liəŋ²⁴ 垄□{用工具铲}
liəŋ²¹³ 龙{白}
tɕiəŋ²⁴ 弓{南乡腔}供{白}
tɕʰiəŋ²¹³ 穷琼从{白}
ɕiəŋ²⁴ 胸凶汹兄{文}
ɕiəŋ²¹³ 熊雄
iəŋ²⁴ 雍拥
iəŋ²¹³ 容{白}荣融熔溶绒茸
iəŋ⁴² 勇咏泳涌
iəŋ³³ 用庸
pĩ²⁴ 斌彬殡槟宾冰兵
pĩ⁴² 禀
pĩ³³ 并
pʰĩ²⁴ 拼乒
pʰĩ²¹³ 频贫瓶凭评萍苹
pʰĩ⁴² 品
pʰĩ³³ 聘
mĩ²⁴ □{树~，树梢}
mĩ²¹³ 民明铭鸣茗
mĩ⁴² 敏闽抿
mĩ³³ 命{文~令}
tĩ²⁴ 丁
tĩ²¹³ □{心无旁骛地做某事}
tĩ⁴² 顶鼎
tĩ³³ 订
tʰĩ²⁴ 厅
tʰĩ²¹³ 停庭亭艇蜓
tʰĩ³³ 廷
lĩ²⁴ □{身上的污渍}
lĩ²¹³ 林临琳邻磷霖麟鳞玲零灵{文}铃宁柠尼
lĩ³³ 令另吝
tɕĩ²⁴ 斤津金今巾筋经精晶鲸经茎
tɕĩ⁴² 锦紧敬景警
tɕĩ³³ 晋浸进禁劲径竞襟
tɕʰĩ²⁴ 近亲{文}侵钦氢蜻
tɕʰĩ²¹³ 秦琴勤禽芹擒情
tɕʰĩ⁴² 寝
tɕʰĩ³³ 庆尽
ɕĩ²⁴ 新心鑫辛锌馨昕薪欣星
ɕĩ²¹³ 型形刑刑
ɕĩ⁴² 省{反~}
ɕĩ³³ 信芯性幸兴
ĩ²⁴ 音因阴荫殷龈英樱
ĩ²¹³ 寅银迎营人{白}
ĩ⁴² 引饮隐瘾
ĩ³³ 义耳疑印姻应影映
tiɔ̃²⁴ 装
tiɔ̃⁴² 长{白动词}
tiɔ̃³³ 帐胀{白}
liɔ̃²⁴ 量{量词}
liɔ̃²¹³ 量动词梁粮良粱凉
liɔ̃⁴² 两
liɔ̃³³ 亮谅
tɕiɔ̃²⁴ 将{~你一军}僵姜浆
tɕiɔ̃⁴² 蒋桨
tɕiɔ̃³³ 将{大~}酱疆
tɕʰiɔ̃²⁴ 腔枪匡{姓}
tɕʰiɔ̃²¹³ 强
tɕʰiɔ̃⁴² 抢
tɕʰiɔ̃³³ 匠犟
ɕiɔ̃²⁴ 香乡箱湘镶厢橡
ɕiɔ̃²¹³ 详祥翔
ɕiɔ̃⁴² 想响享
ɕiɔ̃³³ 向象相像
iɔ̃²⁴ 秧样殃痒
iɔ̃²¹³ 娘杨羊阳洋扬
iɔ̃⁴² 养氧
iɔ̃³³ 央鸯
piɛ̃²⁴ 编边鞭辫
