#来源	Pekkhak（啵啵）整理自颜森《黎川方言研究》
#调值	［1］²²［2］³⁵［3］⁴⁴［5］⁵³［6］¹³［7］³［8］⁵
#符号说明	-白=文*俗?待考
#a	
h	［1］缲挑{～拣}嚣侥{～幸}［2］笤{～帚}条调{～和}薸?{浮萍，藻}□{～起：起床}［3］晓［5］跳糶［6］调{～仔}
∅	［1］妖要{～求}腰邀腰幺［2］摇谣窑姚□{～花虫：萤火虫}［3］舀扰{干～}［5］要［6］耀
#ɔu	
p	［1］褒［3］保堡宝［5］报□{大蒜～儿：蒜头}
pʰ	［1］泡{～仔：山上长的菌类，有的可食用}㯱{松软：被窝好～}［2］袍庖{～缫：蜘蛛}浮{死人～起来了}［3］跑［5］□{焦脆：豆仔好～}［6］暴抱菢{～鸡}
m	［2］毛［6］帽冒冇{没：～来，～有}
t	［1］刀［3］祷岛捣倒{椅仔～了}［5］到=倒={～水}
tʰ	［1］操［2］曹槽［3］讨=草［5］套=［6］造皂□{～雨：暴雨}
n	［3］脑恼
l	［1］捞{～起来}［2］劳痨牢［3］老佬［0］捞{～秤：一种大秤}
ts	［1］糟遭［3］早枣［5］躁燥灶=
s	［1］骚臊［3］嫂扫{～台：末场演出}［5］扫{～地}［0］缫{庖～：蜘蛛}
k	［1］高膏糕［3］稿［5］告
kʰ	［3］考［5］烤铐靠
ŋ	［2］熬{～夜}［6］傲
h	［1］滔叨绦{～虫}［2］桃逃陶淘{汤～饭：汤泡饭}涛豪毫嚎［3］好讨［5］套好［6］道稻盗导号浩毒?{～死：中毒而死}
∅	［3］袄［5］奥懊
#ɛu	
pʰ	［1］剖
m	［2］谋［3］某亩牡［6］贸茂
f	［2］浮{～桥}［3］否［5］阜{曲～}
t	［1］兜蔸𩮷{～鬚鬍子：络腮鬍子}鬥{～风：逆风}□{牛～：蛮横粗鲁}［2］□{升变音。固执。～里～气：言行冒失、鲁莽}［3］斗抖陡［5］斗{～争}
tʰ	［1］搊{～起桌子}［5］凑
l	［1］𠞭{扣、挖：～耳朵}［2］雷-{响～公：打雷}楼［3］篓［6］漏陋
ts	［1］邹［3］走［5］奏皱縐
s	［1］搜馊蒐{～集}［2］愁［3］□{动物的巢穴}［5］瘦
k	［1］沟勾钩阄{拈～：抓阄，抽阄}［3］狗枸苟［5］购够构媾{～架：吵架}［0］桕{乌～子树}
kʰ	［1］臼坵{一～田}丘{姓}舅{～公}□{蛇蜕}［3］口［5］扣叩寇簆{织布机的部件，梳子形状}
ŋ	［2］牛{黄～，水～}［3］偶藕
h	［1］厚後偷［2］头投侯喉猴［3］㪗{～气}［5］透［6］豆逗候后厚=後=
∅	［1］欧瓯［3］呕□{～蚊仔：熏蚊子}
#iu	
m	［6］谬
t	［1］丢□{乌～鱼：鱼名}［2］流刘留硫琉［3］柳［6］绺?{一～头发，一～痕}［0］榴{石～}
tʰ	［1］秋鳅［6］就袖
n	［2］牛={～郎织女}□{～盘布：抹布}［3］扭{～秧歌}纽{姓}
l	［1］溜{～下去：称秤时秤杆略沉，份量稍不足}
tɕ	［1］揫周州洲［2］揪?{升变音。～酸：很酸；～涩：很涩}［3］酒［5］昼咒□{～～儿：悄悄地}［0］帚{笤～}
tɕʰ	［1］抽［2］绸筹酬［3］丑醜［5］臭［6］纣宙
ɕ	［1］修羞收［2］囚仇售［3］手首守［5］秀锈绣兽宿{星～}［6］受授寿
k	［1］鸠纠{～察}［3］九久韭［5］灸救究
kʰ	［1］丘={孔～}［2］求球裘□{～绿：很绿}［6］旧舅=［0］桕{乌～：中药名}
h	［1］休［3］朽
∅	［1］幽忧优［2］鱿柔尤犹邮由油游悠{～久}［3］有友酉诱［5］幼［6］又右佑釉［0］蚰{蜒～}
#am	
f	［2］凡帆［5］泛［6］范範犯
t	［1］耽{～搁}担{～水}［3］胆［5］担{～仔}
tʰ	［1］参{～加}□{抢争：～先，～位子}［2］蚕惭［3］惨［6］暂
n	［2］南男
l	［2］蓝篮□{～机：织布机}［3］览揽榄［6］滥缆舰{军～}
ts	［1］占{～米，相对糯米而言}沾{～光}［3］斩崭{～新}［5］蘸占
s	［1］三杉{～树，～木}衫［3］陕闪［6］赡
k	［1］监尴［2］□{升变音。啄：黄雀～卦}［3］减碱［5］鉴
kʰ	［1］铅?{洋～：质量较好的一种白铁皮}［3］砍［5］嵌
ŋ	［2］岩［3］厂{～头：部首“厂”}
h	［1］贪淡［2］潭谭罈谈痰咸鹹虾{～蟆} ［3］毯［5］探［6］陷馅
∅	［1］淊{～烂：因长时间受潮而腐烂}鹌{～鹑}［5］□{硌：凳仔好～人}
#iam	
t	［2］廉镰帘奁{妆～}［3］点［5］店［6］殓敛
tʰ	［1］签籤［2］潜挦{拔毛发}［6］渐
n	［1］拈{～心怯胆：提心吊胆；莫把手～菜，要把箸去钳}［2］粘{～起来}严鲇［3］染［5］□{～儿：猫}［6］验念
tɕ	［1］尖歼
ɕ	［1］纤
k	［1］兼［3］检捡{拾：～起来}［5］剑
kʰ	［1］谦□{挨，接触：雪～地下就烊了}［2］钳［3］歉㦿{～仔：窗户}［5］欠［6］俭□{大拇指与中指之间张开的距离}
h	［1］添簟［2］甜嫌［3］险［6］垫{～钱，鞋～}
∅	［1］淹阉［2］炎盐阎簷［3］掩魇{～着了：做噩梦}［5］厌［6］艳焰敥{～肥：撒肥料}
#ɔm	
tʰ	［6］□{～钗：铙钹}
n	［3］揇{搂抱：～到怀里}
k	［1］甘柑泔［3］感敢橄㔶{覆盖：拿碗～到}［5］赣
kʰ	［1］堪龛［3］□{咳嗽}［5］勘{～探}
ŋ	［2］□{撼：～卓仔}
h	［2］含涵函［6］憾
∅	［1］庵［3］□{花～：花蕾}揞{捂：把手～到去，看不到}［5］暗
#ɛm	
t	［1］□{踢：～一脚}［2］□{升变音。～厚：很厚}
ts	［1］簪砧臻
s	［1］森参{人～}□{窥视：门㿭里～}［5］渗
#im	
t	［2］淋林临
tʰ	［1］侵□{亲嘴：～一下}［2］寻［3］寝
n	［6］赁{～一间房}
tɕ	［1］针斟［2］□{升变音。～甜：很甜}［3］枕［5］浸
tɕʰ	［2］沉［5］朕{～即国家}
ɕ	［1］心深新{～妇：媳妇}［2］寻{两臂平伸，两手伸直之间的长度}［3］审婶沈［5］□{～～仔：服装平整状}［6］甚葚
k	［1］金［3］锦［5］禁
kʰ	［1］襟{连～}妗{～儿：舅母}［2］琴禽擒
ŋ	［2］吟
∅	［1］音阴［2］壬淫［3］饮［5］荫［6］任
#an	
p	［1］班斑颁扳［3］板版［5］扳□{～子：说话结巴者}
pʰ	［1］攀［5］盼襻绊［6］办［0］瓣{花～}□{静～：背静}
m	［2］蛮［6］慢
f	［1］番翻［2］环={杨玉～}烦藩繁礬［3］反返［5］贩［6］幻患宦饭
t	［1］丹单{～双}［3］掸□{跌跤}［5］旦
tʰ	［1］餐［2］弹{～琴}残［3］铲坦=［5］灿炭=［6］赚栈
n	［2］难
l	［2］兰拦栏［3］懒□{口～：口水。～枷：涎脖儿}［6］烂
ts	［3］盏［5］站{车～}赞
s	［1］山珊姗删［3］伞产□{瓣儿：一～桔仔}［5］散疝{～气}
k	［1］艰姦奸间{一～房仔}［3］简柬拣［5］谏间{～断}
ŋ	［1］颜［3］眼［5］□{河～仔上：河沿上}［6］雁
h	［1］滩摊䱗{～鱼：一种鱼名}［2］檀坛{～上：地方，处所}闲［3］坦［5］碳叹［6］诞但弹{子～}蛋限苋{～菜}
∅	［5］晏
#uan	
k	［1］鳏关涓捐［3］捲［5］眷惯卷劵绢桊{牛～：牛鼻拴子}
kʰ	［1］圈［2］权拳颧［5］劝楦［6］倦
∅	［1］弯湾［2］顽环{门～儿}还{～账}元源原□{～红：荔枝}［3］软晚挽阮鮸{～鱼：一种鱼名}［6］万愿［0］□{老～子：老头子，贬称}
#ɔn	
p	［1］般搬［5］半
pʰ	［1］潘伴［2］盘［5］判［6］叛拌
m	［2］瞒馒漫{水～上来了；水～金山：戏名}［3］满［6］幔{～帐}漫{～儿：硬币无字的一面}
f	［1］欢［2］完{～全：～税：捐税}［3］皖{～南}［5］唤焕［6］缓
t	［1］端［3］短断{～脐带：剪脐带}［5］断{决～，一刀两～}
tʰ	［1］汆{～肉丸}□{～出来：跑出来，冒出来}［2］团［5］篡窜［6］撰
n	［3］暖
l	［1］卵{男阴}□{～尖：很尖}［2］圞{七子团～}［6］乱
ts	［1］钻［3］纂□{加少量水和辣椒烹调：～泥鳅}［5］钻
s	［1］酸闩［5］算蒜
k	［1］干{天～地支}肝竿乾{～湿}［3］稈{稻草}擀赶［5］幹{～部}
kʰ	［1］刊［3］侃［5］看
ŋ	［3］□{打～：打瞌睡状}［6］岸玩{古～}
h	［1］鼾断{扁担～了}［2］寒韩团□{猜：～谜仔}［3］罕𤳉{～草：锄草；～鬍鬚：刮鬍鬚}［5］汉［6］汗旱翰段锻
∅	［1］安鞍［5］按案
#uɔn	
k	［1］官棺观{～察}冠{衣～}［3］管馆［5］观{庙～}冠{～军}贯灌罐
kʰ	［1］宽［3］款
∅	［2］完{～日～夜：整日整夜}［3］碗豌［5］腕［6］换
#ɛn	
p	［1］本
pʰ	［1］湓{溢：水～出来了}［2］盆［5］喷{～水}
m	［2］门蚊［3］□{木竹腐烂}［6］闷
