汉字	注释	隘子
部		pʰu31
簿		pʰu31
堵		tu31
賭		tu31
肚		tu31
土		tʰu31
杜		tʰu31
努		nu31
魯		lu33
滷		nu31
祖		tsu31
組		tsu31
古		ku31
牯		ku31
鼓		ku31
苦		kʰu31
五		m31
午		m31
虎		fu31
戶		fu31
布		pu55
舖	店~	pʰu55
怖		pu55
步		pʰu31
捕		pʰu31
墓		mu55
募		mu55
吐	嘔~	tʰu55
兔		tʰu55
度		tʰu31
渡		tʰu31
怒		nu31
路		lu31
露		lu55
做		tso55
醋		tsʰu55
錯		tsʰo55
素		su55
訴		su55
故		ku55
故		kʰu55
固		ku55
顧		ku55
庫		kʰu55
褲		kʰu55
誤		mu31
戽	~水	fu55
護		fu31
瓠	~瓜	pʰu11
惡	可~	vu55
廬		lu11
驢		lu11
徐		tɕʰi11
豬		tsu33
除		tsʰu11
儲		tsʰu11
初		tsʰu33
鋤		tsʰu11
梳		sɿ33
疏	~遠	su33
諸		tsu33
書		su33
舒		su33
如		ɯ11
居		tɕi33
車	~馬炮	tɕi33
渠		tɕʰi33
魚		ŋ11
虛		ɕi33
於		i11
余		i11
餘		i11
女		ŋ31
呂		li33
旅		li31
序		ɕi31
緒		ɕi11
褚	姓	tsʰu31
苧	~麻	tsʰu33
阻		tsu31
楚		tsʰu31
所		so31
煮		tsu31
處	相~	tsʰu55
暑		su31
鼠		tsʰu31
舉		tɕi31
巨		tɕʰi33
拒		tɕʰi33
距		tɕʰi33
語		ɲi33
許		su31
與		i31
慮		le31
濾		le31
絮		ɕi31
著	顯~	tsu55
助		tsʰu31
處	~所	tsʰu55
恕		su55
署		su31
薯		su31
據		tɕi31
鋸		tɕi55
去		tɕʰi55
禦		i31
譽		i31
預		i31
夫		fu33
膚		fu31
敷		/
孵		pʰu11
符		fu11
符		pʰu11
扶		fu11
芙		fu11
無		vu11
無		mo11
巫		vu33
趨		tɕʰi33
鬚		ɕi33
需		ɕi33
蛛		tsu33
株		tsu33
廚		tsʰu11
雛		tsʰɿ33
朱		tsu33
珠		tsu33
樞		su33
輸		su33
殊		su31
儒		i11
拘		tɕi33
俱		tɕʰi31
區	~域	tɕʰi33
愚		ɲi11
娛		ŋu31
于		i11
愉		i31
府		fu31
甫		pʰu31
斧		pu31
撫		vu11
父		fu31
腐		fu31
輔		pʰu31
武		vu31
舞		vu31
縷		/
取		tɕʰi31
娶		tɕʰi31
聚		tɕʰi31
拄	~拐杖	kʰu31
柱		tsʰu33
數	動詞	su55
主		tsu31
豎		su31
乳		ie31
乳		nen55
矩		tɕi31
雨		i31
宇		i31
羽		i11
愈		i31
付		fu55
傅		fu31
赴		fu55
訃		puk2
附		fu55
務		vu55
霧		vu55
屢		leu31
趣		tɕʰi55
續		ɕiuk5
駐		tsu55
註		tsu55
住		tsʰu31
數	名詞	su55
注		tsu55
蛀		tsu55
樹		su31
句		tɕi44
具		tɕʰi31
懼		tɕʰi33
遇		ɲi31
寓		/
芋		i31
喻		i31
裕		i31
胎		tʰoi33
台	天~	tʰoi11
臺		tʰoi11
抬		tʰoi11
來		loi11
災		tsai33
栽		tsoi55
猜		tsʰai33
才		tsʰoi11
材		tsʰoi11
財		tsʰoi11
裁		tsʰoi11
該		koi33
開		kʰoi33
呆		tai33
呆		ŋoi11
孩		hai11
哀		oi33
待		tʰoi31
怠		tʰoi31
乃		nai55
載	年~	tsai55
採		tsʰoi31
在		tsʰai31
在		tsʰoi33
改		koi31
海		hoi31
亥		hoi31
戴		tai55
態		tʰai55
貸		tʰoi31
代		tʰoi31
袋		tʰoi31
耐		nai31
再		tsai55
載	~重	tsoi55
菜		tsʰoi55
賽		soi55
概		kʰai31
溉		kʰai31
礙		ŋoi31
愛		oi55
貝		pe55
沛		pʰe11
帶		tai55
太		tʰai55
泰		tʰai55
大	~夫	tʰai55
奈		nai31
賴		lai31
蔡		tsʰai55
蓋		koi55
艾		ŋe55
害		hoi31
排		pʰai11
埋		mai11
齋		tsai33
豺		sai11
皆		kai33
階		kai33
諧		hai11
挨		ai33
楷		kai33
駭		hai31
拜		pai55
介		kai55
界		kai55
尬		kai55
戒		kai55
械		hai31
牌		pʰai11
釵		tsʰa33
差	出~	tsʰai33
柴		tsʰai11
佳		ka33
街		kai33
涯		ŋai11
崖		ŋai11
鞋		hai11
擺		pai31
罷		pʰa11
買		mai33
奶		nai33
灑		sai55
解	~開	kai31
蟹		tʰai31
矮		e31
派		pʰai55
稗		pʰa31
賣		mai31
債		tsai55
曬		sai55
懈		hai31
隘		ai55
敗		pʰai31
邁		mai31
寨		tsʰai55
蔽		pi55
弊		pi55
幣		pʰi31
例		le31
厲		li31
勵		li31
祭		tɕi55
際		tɕi55
滯		tsʰɿ33
制		tsɿ55
製		tsɿ55
世		sɿ55
勢		sɿ55
誓		sɿ55
逝		sɿ55
藝		ɲi31
批		pʰe33
迷		mi11
低		te33
堤		tʰi11
梯		tʰoi33
題		tʰi11
提		tʰi11
蹄		tʰe11
啼		tʰe11
泥		ne11
犂		le11
黎		le11
妻		tɕʰi33
齊		tsʰe11
臍		tɕʰi11
西		ɕi33
棲		tɕʰi33
雞		ke33
稽		tɕʰi33
溪		kʰe33
陛		pi31
米		mi31
底		te31
抵		te31
體		tʰi31
弟		tʰi31
弟		tʰe33
禮		li33
擠		tɕi55
洗		se31
啟		tɕʰi31
閉		pi55
謎		mi11
帝		ti55
替		tʰe55
剃		tʰe55
屜		tʰe33
第		tʰi31
遞		tʰit5
麗		li31
隸		tʰi31
濟		tɕi55
砌		tɕiet2
劑		tɕi55
細		se55
壻	女~	se55
計		tɕi55
繼		tɕi55
契		kʰe55
系		ɕi33
繫	連~	ɕi55
係		he55
杯		pe33
胚		pʰi33
陪		pʰoi11
賠		pʰoi11
梅		me11
媒		me11
煤		me11
堆		te33
堆		toi33
推		tʰe33
雷		le11
催		tsʰe33
崔	姓	tsʰe33
魁		kʰue33
恢		foi33
桅		me11
灰		foi33
回		fe11
煨		voi33
倍		pʰe31
每		me33
腿		tʰe31
儡		le11
罪		tsʰe31
傀		kue31
賄		fe55
悔		fe55
匯		fe31
輩		pe55
背		pi55
背		poi55
配		pʰe55
背	~誦	pʰoi31
焙	~乾	pʰe31
焙		pʰoi31
妹		moi55
對		te55
碓		toi55
退		tʰe55
隊		te55
內		ne31
累	疲~	le31
碎		tsʰe55
塊		kʰuai55
晦		/
潰		kʰue11
兌		tʰe11
最		tse55
會	~計	fe55
會		kʰuai55
檜		kʰuai55
外		ŋai31
外		ŋoi55
會	開~	fe31
會	~不會	fe31
會		voi55
乖		kuai33
懷		fai11
怪		kuai55
壞		fai31
歪		vai33
蛙		va33
枴		kuai31
掛		kua55
卦		kua55
畫		fa31
畫		vak5
快		kʰuai55
筷		kʰuai55
話		va31
脆		tsʰe55
歲		se55
贅		tse55
稅		soi55
衛		ve31
銳		ie31
廢		fe55
肺		fe55
吠		pʰoi31
穢		ve55
閨		kue55
奎		kʰue11
桂		kue55
惠		fe31
慧		fe31
碑		pi33
卑		pʰi33
披		pʰi33
皮		pʰi11
疲		pʰi11
脾		pʰi11
糜		me11
離		li11
籬		li11
璃		li11
雌		tsʰɿ33
斯		sɿ33
知		tsɿ33
蜘		tsɿ33
池		tsʰɿ11
馳		tsʰɿ11
差	參~	tsʰa33
篩		tsʰe33
支		tsɿ33
枝		tsɿ33
梔		tɕi33
施		sɿ33
匙	汤~	tsʰɿ11
匙	钥~	sɿ31
兒		ɯ11
奇		tɕʰi11
騎		tɕʰi11
宜		ɲi11
儀		ɲi31
犧		ɕi33
移		i11
彼		pʰi31
被	~子	pʰi33
紫		tsɿ31
此		tsʰɿ31
璽		sai31
徙		sai31
紙		tsɿ31
只	~有	tsɿ31
只		tɕi31
舐		se33
氏		sɿ31
企		tɕʰi33
徛	立	tɕʰi33
技		tɕʰi33
蟻		ŋe55
椅		i31
臂		pi31
譬		pi31
被	~打	pʰi33
避		pʰit2
荔		lit5
刺		tsʰɿ55
賜		sɿ55
智		tsɿ55
翅		tsʰɿ55
豉		sɿ31
寄		tɕi55
義		ɲi31
議		ɲi31
戲		tɕʰi55
易	難~	i31
悲		pe33
琵		pʰi11
枇		pʰi11
眉		me11
黴		me11
尼		ne11
梨		li11
資		tsɿ33
姿		tsɿ33
瓷		tsʰɿ11
餈		tɕʰi11
私		sɿ33
遲		tsʰɿ11
師		sɿ33
脂		tsɿ31
屍		sɿ33
飢		tɕi33
肌		tɕi33
鰭		tɕʰi11
伊		i33
姨		i11
比	~較	pi31
美		mi31
履		li31
姊		tɕi31
死		ɕi31
指		tsɿ31
屎		sɿ31
几		tɕi31
祕		pi55
泌		pit2
痹		pi55
屁		pʰi55
備		pʰi31
鼻		pʰi31
媚		me11
地		tʰi31
膩		/
利		li31
次		tsʰɿ55
自		tsʰɿ31
自		sɿ55
四		ɕi55
肆		sɿ55
肆		ɕi55
致		tsɿ55
稚		tsʰɿ33
至		tsɿ55
示		sɿ55
視		sɿ55
二		ɲi31
貳		ɲi31
器		tɕʰi55
棄		tɕʰi55
肄		/
釐		li11
慈		tsʰɿ11
司		sɿ33
絲		sɿ33
思		sɿ33
詞		tsʰɿ11
祠		tsʰɿ11
癡		tsʰɿ33
持		tsʰɿ11
之		tsɿ33
詩		sɿ33
時		sɿ11
而		ɯ11
基		tɕi33
欺		tɕʰi33
其		tɕʰi11
棋		tɕʰi11
期	時~	tɕʰi11
疑		ɲi11
熙		ɕi33
醫		i33
飴		i11
你		ɲi33
你		ŋ11
李		li31
里		li33
裡		li31
理		li33
鯉		li33
子		tsɿ31
祀		sɿ31
巳		sɿ31
恥		tsʰɿ31
痔		sɿ31
士		sɿ31
柿		sɿ55
史		sɿ31
駛		sɿ31
止		tsɿ31
趾		tsɿ31
址		tsɿ31
齒		tsʰɿ31
始		sɿ31
市		sɿ55
恃		sɿ55
耳		ɲi31
己		tɕi31
紀		tɕi55
起		tɕʰi31
擬		ɲi11
喜		ɕi31
以		i55
吏		li31
字		sɿ31
伺		tsʰɿ11
寺		sɿ31
飼		tsʰɿ31
置		tsɿ55
治		tsʰɿ31
治		tsʰɿ11
廁		tsʰɿ55
事		sɿ31
志		tsɿ55
誌		tsɿ55
痣		tsɿ55
試		sɿ55
侍		sɿ31
餌		ɲi31
記		tɕi55
忌		tɕi55
意		i55
異		i31
幾	~乎	tɕi31
機		tɕi33
饑		tɕi33
祈		tɕʰi11
希		ɕi33
稀		ɕi33
衣		i33
依		i33
幾	~個	tɕi31
豈		tsʰɿ31
既		tɕi55
氣		tɕʰi55
汽		tɕʰi55
毅		/
隨		se11
吹		tsʰe33
炊		tsʰe33
垂		se11
規		kʰue33
規		kue33
虧		kʰue33
危		ŋue11
為	作~	ve11
累	~積	le31
嘴		tse31
髓		se11
詭		kue31
跪		kʰue31
毀		fe55
委		ve33
累	連~	le31
睡		soi31
瑞		se55
偽		ŋue31
為	~什麼	ve11
雖		se33
追		tse33
槌		tsʰe11
錘		tsʰe11
衰		soi33
錐		tse33
誰		se11
龜		kue33
葵		kʰue11
維		ve11
遺		ve11
壘		le31
水		se31
軌		kue31
癸		kue55
唯		ve11
類		le31
淚		le31
醉		tse55
翠		tsʰe55
粹		tsʰe55
隧		tsʰɿ55
穗		fe31
墜		tse55
帥		sai55
愧		kʰue55
季		kue55
櫃		kʰue31
位		ve31
非		fe33
飛		fe33
肥		fe11
微		ve11
歸		kue33
揮		fe33
輝		fe33
徽		fe33
威		ve33
違		ve11
圍		ve11
匪		fe33
尾		me33
鬼		kue31
偉		ve55
疿		pe55
費	~用	fe55
未		ve31
味		me31
貴		kue55
魏		ne55
諱		ve55
畏		ve55
慰		ve31
緯		ve31
胃		ve31
彙		fe31
褒		po31
袍		pʰau11
毛		mo33
刀		to33
掏	~出來	tʰo11
桃		tʰo11
逃		tʰo11
萄		tʰo11
勞		lo11
撈		leu11
糟		tso33
操	~作	tsʰau33
曹		tsʰo11
臊		so33
高		ko33
膏		kau33
篙		ko33
糕		kau33
熬		ŋau11
蒿		/
豪		hau11
毫		hau11
號	呼~	ho31
保		po31
寶		po31
抱		pʰau31
島		to31
倒	打~	to55
討		tʰo31
道		tʰo31
稻		tʰau31
腦		no31
惱		nau31
惱		no31
老		lo31
早		tso31
棗		tso31
蚤		tsau31
草		tsʰo31
造		tsʰo55
掃	~地	so55
嫂		so31
稿		kau31
考		kʰau31
烤		kʰau55
好	~壞	ho31
浩		hau55
襖		o31
懊	~惱	au55
報		po55
暴		pʰau55
冒		mo31
帽		mo31
到		to55
倒	~水	to31
套		tʰo55
盜		tʰo31
導		tʰo55
躁		tsʰau55
竈		tso55
糙		tsʰo55
掃	~帚	so55
告		ko55
靠		kʰau55
犒		/
傲		ŋau31
好	喜~	hau55
耗		hau31
號	~數	ho55
奧		au55
懊	~悔	au55
包		pau33
胞		pau33
拋		pʰau33
跑		pʰau33
茅		mau11
錨		miau11
鐃		ɲiau31
抓		tsa33
抄		tsʰau33
鈔		tsʰau33
巢		tsʰo11
梢		ɕiau33
捎		/
交		kau33
膠		kau33
教	~書	kau33
敲		kʰau55
淆		hau11
飽		pau31
鮑		pau33
卯		mau11
爪		tsau31
找		tsau31
炒		tsʰau31
吵		tsʰau11
狡		kau31
攪		kau31
巧		kʰau31
咬		ŋau33
爆		pʰau55
炮		pʰau55
泡	~水裡	pʰau55
貌		mau31
鬧		nau31
稍		sau33
教	~育	kau55
校	~對	kau31
較		kau31
酵		hau55
覺	睡~	kau55
孝		hau55
效		hau31
校	學~	hau31
標		piau33
飄		pʰiau33
瓢		pʰiau11
苗		miau11
貓		miau55
燎		liau11
蕉		tɕiau33
椒		tɕiau33
鍬		tɕʰiau33
樵		tɕiau33
消		ɕiau33
宵		ɕiau33
銷		ɕiau33
朝	今~	tsau33
超		tsʰau33
朝	~代	tsʰau11
潮		tsʰau11
招		tsau33
燒		sau33
韶		sau11
饒		ɲiau11
驕		tɕiau33
嬌		tɕiau33
僑		tɕʰiau11
橋		tɕʰiau11
囂		ɕiau33
邀		iau33
腰		iau33
要	~求	iau33
搖		iau11
謠		iau11
表		piau31
漂		pʰiau33
藐		mau11
秒		miau31
剿		tɕiau31
悄		ɕiau33
小		ɕiau31
趙		tsʰau31
兆		tsʰau31
沼		/
少	多~	sau31
紹		sau31
擾		iau31
繞	圍~	ɲiau31
矯		/
舀		iau31
票		pʰiau55
漂	~亮	pʰiau33
廟		miau31
妙		miau31
療		liau11
醮		tɕiau55
俏		/
笑		ɕiau55
召		tsau33
照		tsau55
少	~年	sau55
轎		tɕʰiau31
要	重~	iau55
耀		iau31
鷂	~鷹	iau31
刁		tiau33
雕		tiau33
挑		tʰiau33
條		tʰiau11
調	~和	tʰiau11
聊		liau11
撩		liau11
蕭		ɕiau33
澆		ɲiau31
堯		ɲiau11
么	~二三	iau33
鳥		niau31
鳥		tiau33
了	~結	liau31
瞭		liau31
繳		tɕiau31
曉		ɕiau31
杳		miau31
釣		tiau55
跳		tʰiau55
糶		tʰiau55
掉		tʰiau31
調	音~	tʰiau31
調	~動	tiau55
尿		ɲiau31
料		liau31
叫		tɕiau55
竅		tɕʰiau55
兜		teu33
偷		tʰeu33
頭		tʰeu11
投		tʰeu11
樓		leu11
摟	~取	leu11
勾		keu33
鉤		keu33
溝		keu33
摳		/
喉		heu11
猴		heu11
歐		eu33
剖		pʰeu31
某		meu33
畝		meu31
母		mu33
斗		teu31
抖		teu31
陡		teu31
敨	~氣	tʰeu31
簍		leu31
走		tseu31
狗		keu31
口		kʰeu31
口		heu31
叩		kʰeu55
藕		ɲieu31
偶	配~	ɲieu31
偶		ŋeu31
後		heu31
厚		heu33
嘔		eu31
戊		vu31
茂		meu31
貿		meu31
鬥		teu55
透		tʰeu55
豆		tʰeu31
漏		leu31
陋		leu31
奏		tseu55
湊		tsʰeu55
嗽		seu55
夠		keu55
構		keu55
購		keu55
扣	~住	kʰeu55
候		heu31
漚	久浸水中	eu55
浮		feu11
謀		meu11
矛		mau11
流		liu11
劉		liu11
留		liu11
揫	~住	tɕʰiu33
秋	~天	tɕʰiu33
修		ɕiu33
羞		ɕiu33
囚		ɕiu33
泅		ɕiu33
抽		tɕʰiu33
綢		tɕʰiu11
籌		tɕʰiu11
鄒		tseu33
愁		seu11
搜		seu33
周		tɕiu33
州		tɕiu33
收		ɕiu33
仇		ɕiu11
酬		tɕʰiu11
柔		iu11
揉		iu11
糾	~纏	tɕiu33
丘		tɕʰiu33
求		tɕʰiu11
球		tɕʰiu11
仇	姓	tɕʰiu11
牛		ŋeu11
休		ɕiu33
憂		iu11
優		iu11
尤		iu11
郵		iu11
由		iu11
油		iu11
游		iu11
悠		iu11
否		feu31
婦		fu31
負		fu55
紐		niu31
紐		neu31
扭		ɲiu31
柳		liu55
酒		tɕiu31
丑		tɕʰiu31
帚		tsau31
醜		tɕʰiu31
手		ɕiu31
首		ɕiu31
守		ɕiu31
受		ɕiu31
九		tɕiu31
久		tɕiu31
韭		tɕiu31
灸		tɕiu55
臼		tɕʰiu33
舅		tɕʰiu33
朽		ɕiu33
有		iu33
友		iu55
酉		iu33
誘		iu55
富		fu55
副		fu55
復	~興	fuk2
餾		liu31
廖		liau31
就		tɕʰiu31
秀		ɕiu55
繡		ɕiu55
宿	星~	ɕiuk2
銹		ɕiu55
袖		tɕʰiu31
晝		tɕiu55
宙		tɕʰiu55
縐		tseu55
縐		tɕiu55
驟		tseu55
瘦		seu55
漱	~口	seu55
咒		tɕiu55
臭	香~	tɕʰiu55
獸		tɕʰiu55
壽		ɕiu31
售		tɕʰiu31
救		tɕiu55
究		tɕiu55
舊		tɕʰiu31
嗅		ɕiu55
又		iu31
右		iu31
柚		iu31
彪		piau33
丟		tiu33
幽		iu11
謬		miau31
幼		iu55
耽		taŋ33
貪		tʰaŋ33
潭		tʰaŋ11
譚		tʰaŋ11
南		naŋ11
男		naŋ11
簪		tsaŋ33
參		tsʰaŋ33
蠶		tsʰaŋ11
堪		kʰaŋ55
龕		kʰaŋ33
含		haŋ11
函		haŋ11
庵		aŋ33
慘		tsʰaŋ31
感		kaŋ31
坎		kʰaŋ55
撼		haŋ31
揞	手覆	en33
探		tʰaŋ55
勘		kʰaŋ55
憾		haŋ31
暗		aŋ55
答		tak2
搭		tak2
踏		tʰak5
納		nak5
拉		la33
拉		lai33
雜		tsʰak5
合	十合一升	kak2
鴿		kak2
喝	~酒	hot2
合		hak5
盒		hak5
擔	~任	taŋ33
談		tʰaŋ11
痰		tʰaŋ11
藍		laŋ11
籃		laŋ11
慚		tsʰaŋ11
三		saŋ33
甘		kaŋ33
柑		kaŋ33
憨	癡	haŋ33
膽		taŋ31
毯		tʰan31
淡	~水	tʰaŋ31
淡	~：味道	tʰaŋ33
覽		laŋ55
攬		laŋ31
敢		kaŋ31
橄		kaŋ33
喊		haŋ55
擔	挑~：阴平读音	taŋ33
擔	挑~：阴去读音；~竿：扁担，读阴去	taŋ55
濫		laŋ55
纜		laŋ31
暫		tsʰaŋ31
塔		tʰak2
塌		tʰak2
臘		lak5
蠟		lak5
饞		/
杉		sa33
尷		kaŋ33
咸		haŋ11
鹹		haŋ11
斬		tsaŋ31
減		kaŋ31
站	~立	tsaŋ31
賺		tsʰan31
站	車~	tsʰaŋ31
陷		haŋ31
插		tsʰak2
閘		tsʰak5
炸		tsa55
夾		tɕiak2
恰		kʰak2
掐		nak5
狹		tɕʰiak5
峽		tɕʰiak5
洽		tɕʰiak5
攙		/
衫		saŋ33
監	~牢	kaŋ55
嵌		tɕʰiaŋ31
巖		ŋaŋ11
銜		haŋ11
艦		kaŋ55
鑑		kaŋ55
甲		kak2
胛	肩~	kak2
匣		kak2
鴨		ak2
押		kak2
壓		ak2
黏		ɲiaŋ11
廉		liaŋ11
鐮		liaŋ11
簾		liaŋ11
尖		tɕiaŋ33
籤		tɕʰiaŋ33
簽		tɕʰiaŋ33
潛		tɕʰiaŋ11
沾		tsaŋ33
瞻		tsaŋ33
占	~卜	tsaŋ55
鉗		tɕʰiaŋ11
淹		iaŋ31
閹		iaŋ33
炎		iaŋ11
炎		iaŋ31
鹽		iaŋ11
簷		iaŋ11
斂		liaŋ31
漸		tɕʰiaŋ31
陜		saŋ31
閃		saŋ31
染		ɲiaŋ31
檢		tɕiaŋ31
臉		liaŋ31
儉		tɕʰiaŋ31
險		ɕiaŋ31
掩		iaŋ31
斂		liaŋ31
殮		liaŋ31
佔		tsaŋ55
驗		ɲiaŋ31
厭		iaŋ55
豔		ien31
焰		iaŋ31
鑷		ɲiak2
躡		ɲiak2
獵		liak5
接		tɕiak2
妾		tɕiak2
捷		tɕʰiet5
摺		tsak2
攝		ɲiak2
涉		sak5
葉		iak5
頁		iak5
嚴		ɲiaŋ11
醃		iaŋ33
劍		tɕiaŋ55
欠		tɕʰiaŋ55
釅		ɲiaŋ11
劫		tɕiak2
怯		/
業		ɲiak5
脅		ɕiak5
添		tʰiaŋ33
甜		tʰiaŋ11
拈	~起來	ɲiaŋ33
兼		tɕiaŋ33
謙		tɕʰiaŋ33
嫌		ɕiaŋ11
點		tiaŋ31
店		tiaŋ55
念		ɲiaŋ31
歉		tɕʰiaŋ55
跌		tiet2
帖		tʰiak2
貼		tiak2
疊		tʰiak5
碟		tʰiak5
牒		tʰiak5
蝶		tʰiak5
挾	~菜	tɕiak2
協		ɕiak5
凡		fan11
帆		fan11
范		faŋ31
範		faŋ31
犯		faŋ31
泛		fan55
法		fak2
乏		fan55
林		lin11
淋		lin11
臨		lin11
侵		tɕʰin33
心		ɕin33
尋		tɕʰin11
沉		tɕʰin11
森		sen31
參	人~	sen33
針		tɕin33
斟		tɕin33
深		tɕʰin33
壬		ɲin11
今		tɕin33
金		tɕin33
欽		tɕʰin33
琴		tɕʰin11
禽		tɕʰin11
吟		in33
音		in33
陰		in33
淫		in31
稟		pin31
品		pʰin31
寢		tɕʰin31
枕		tɕin31
沈		ɕin31
審		ɕin31
嬸		ɕin31
甚		ɕin31
錦		tɕin31
飲	~酒	ɲin31
浸		tɕin55
滲	~透	tsʰaŋ33
任	責~	ɲin31
紝	縫~	ɲin31
禁	~止	tɕin55
撳	按	tɕʰin31
立		lit5
笠		tit2
粒		lit2
緝		tɕʰit5
集		tɕʰit5
輯		tɕʰit5
習		ɕit5
襲		ɕiet2
蟄		tɕʰit5
澀		set2
執		tɕit2
汁		tɕit2
濕		ɕit2
十		ɕit5
入		ɲit5
急		tɕit2
級		tɕit2
給	供~	tɕit2
及		tɕʰit5
吸		tɕit2
單	~獨	tan33
灘		tʰan33
攤		tʰan33
壇		tʰan11
彈	~琴	tʰan11
難	~易	nan11
蘭		lan11
欄		lan11
餐		tsʰon33
殘		tsʰan11
珊		san33
肝		kon33
竿		kon33
乾	~濕	kon33
刊		kʰan33
寒		hon11
韓		hon11
安		on33
坦		tʰan31
誕		tan55
懶		lan33
傘		san31
桿		kon33
稈		kon31
趕		kon31
罕		hon33
旱		hon33
旦		tan55
炭		tʰan55
歎		tʰan55
但		tʰan31
彈	子~	tʰan31
蛋		tʰan31
難	患~	nan31
爛		lan31
贊		tsan55
燦		tsʰan31
散	分~	san55
幹		kon55
看	~見	kʰon55
岸		ŋan31
漢		hon55
汗		hon31
按		on55
案		on55
獺	水~	tsʰat2
達		tʰat5
捺	撇~	nat5
辣		lat5
瘌		lat2
擦		tsʰat2
割		kot2
葛		kot2
渴		hot2
山		san33
艱		kan33
間	空~	kan33
間		tɕien33
閑		han11
盞		tsan31
鏟		tsʰan31
產		tsʰan31
簡		kan31
柬		kan31
眼		ŋan31
限		han31
扮		pan55
盼		pʰan31
瓣		pʰan31
辦		pʰan31
綻	破~	tsʰan55
間	~斷	kan55
莧	~菜	han31
八		pat2
拔		pʰat5
紮		tsat2
察		tsʰat2
殺		sat2
軋	~棉花	tsat2
班		pan33
扳		pan33
攀		pʰan33
蠻		man11
刪		san33
奸		kan33
顏		ŋan11
板		pan31
版		pan31
慢		man31
棧		tsʰan31
疝	~氣	san33
諫		tɕien55
澗		kan33
雁		ŋan31
晏	晚也	an55
鍘		tsat2
瞎		hat2
轄		hat5
編		pʰien33
篇		pʰien33
偏		pʰien33
便	~宜	pʰien11
棉		mien11
連		lien11
聯		liaŋ11
煎		tɕien33
遷		tɕʰiaŋ33
錢		tɕʰien11
仙		ɕien33
鮮	新~	ɕien33
涎		/
纏		tsʰan11
搧		san55
蟬		saŋ11
然		ien11
燃		ien11
乾	~坤	tɕʰien11
虔		tɕʰien11
焉		ien11
延		ien11
筵		ien55
辨		pʰien31
辯		pʰien31
免		mien33
勉		mien31
緬		mien31
碾		tsan31
剪		tɕien31
淺		tɕʰien31
踐		tɕʰien31
鮮	~少	/
癬		ɕien31
展		tsan31
善		san31
遣		tɕʰien31
件		tɕʰien31
演		ien31
變		pien55
