// HSD Syllabary Data Partition
// 地区：甘肅省-張掖市-臨澤縣-沙河鎮
// 来源：何劍麗《臨澤方言音系記略》
// 规范：HSD v1.0 (Strict-Typed)

@LOC	甘肅省-張掖市-臨澤縣-沙河鎮
@SRC	何劍麗《臨澤方言音系記略》

@INI	p	pʰ	m	f	v	t	tʰ	n	l	ts	tsʰ	s	tʂ	tʂʰ	ʂ	ʐ	k	kʰ	x	ɣ
@FIN	an
@TON	陰平	44
@TON	陽平上	53
@TON	去聲	31

// Initial	Final	Tone	CharList (Space separated)
ɕ	in	陽平上	尋 形 釁{挑~} 行{~為，品~} 醒
ɕ	in	去聲	信 興{高~} 幸 性 姓 杏{又 xəŋ}
ʑ	in	陰平	音 陰 因 姻 鷹{老~} 鸚 英 嬰 盈
ʑ	in	陽平上	銀 蠅 迎 贏 營 塋 寅 引 隱 影 □{kui~：難受}
ʑ	in	去聲	飲 窨 印 應{~當，~對} 映
﻿// HSD Syllabary Data Partition
// 地区：甘肅省-張掖市-臨澤縣-沙河鎮
// 来源：何劍麗《臨澤方言音系記略》
// 规范：HSD v1.0 (Strict-Typed)

@LOC	甘肅省-張掖市-臨澤縣-沙河鎮
@SRC	何劍麗《臨澤方言音系記略》

@INI	p	pʰ	m	ʈ	ʈʰ	ɳ	l	tɕ	tɕʰ	ɕ	ʑ
@FIN	iɑŋ
@TON	陰平	44
@TON	陽平上	53
@TON	去聲	31

// Initial	Final	Tone	CharList (Space separated)
p	iɑŋ	陰平	邊 鞭 編
p	iɑŋ	陽平上	扁
p	iɑŋ	去聲	變 便{方~} 辮 遍 辨
pʰ	iɑŋ	陰平	蝙 篇 偏
pʰ	iɑŋ	陽平上	便{~宜} 諞{閒談} 片
pʰ	iɑŋ	去聲	騙 □{預約：~工}
m	iɑŋ	陰平	麵{粉末}
m	iɑŋ	陽平上	綿 棉 免
m	iɑŋ	去聲	麵{~粉}
ʈ	iɑŋ	陰平	顛 癲
ʈ	iɑŋ	陽平上	點 典
ʈ	iɑŋ	去聲	店 電 奠 佃 墊
ʈʰ	iɑŋ	陰平	添 天 填
ʈʰ	iɑŋ	陽平上	甜 田 填{償還} 舔 掭{~筆}
ɳ	iɑŋ	陰平	蔫{沒有精神} 年
ɳ	iɑŋ	陽平上	黏{~米} 年 憐 碾 攆 撚{~碎}
ɳ	iɑŋ	去聲	念
l	iɑŋ	陽平上	廉 鐮 連 簾 臉
l	iɑŋ	去聲	殮 練 戀 斂{收~}
tɕ	iɑŋ	陰平	尖 搛 艱 間{~斷} 肩 犍 堅 監
tɕ	iɑŋ	陽平上	儉 簡 剪 減 鹼 薦{推~} 繭
tɕ	iɑŋ	去聲	漸 劍 件 濺 賤 建 健 腱 見
tɕʰ	iɑŋ	陰平	殲{滅~} 簽 潛 遷 虔{~誠} 遣{派~} 千 牽 鵮 鉛
tɕʰ	iɑŋ	陽平上	錢 前 淺
tɕʰ	iɑŋ	去聲	欠 歉
ɕ	iɑŋ	陰平	鍁 鮮 先
ɕ	iɑŋ	陽平上	嫌 閒 仙 賢 陷 想 響
ɕ	iɑŋ	去聲	限 線 憲 獻 現
ʑ	iɑŋ	陰平	淹 醃 延{長~} 蔫{不新鮮} 煙 沿 焰
ʑ	iɑŋ	陽平上	鹽 閻 檐 嚴 岩 魘 眼 演
ʑ	iɑŋ	去聲	驗 厭 艷 釅 雁 筵{~席} 燕{~子} 咽
﻿// HSD Syllabary Data Partition
// 地区：甘肅省-張掖市-臨澤縣-沙河鎮
// 来源：何劍麗《臨澤方言音系記略》
// 规范：HSD v1.0 (Strict-Typed)

@LOC	甘肅省-張掖市-臨澤縣-沙河鎮
@SRC	何劍麗《臨澤方言音系記略》

@INI	p	pʰ	m	t	tʰ	n	l	tɕ	tɕʰ	ɕ	ʑ
@FIN	iɔ
@TON	陰平	44
@TON	陽平上	53
@TON	去聲	31

// Initial	Final	Tone	CharList (Space separated)
p	iɔ	陰平	膘 彪 鏢
p	iɔ	陽平上	裱
pʰ	iɔ	陰平	飄 漂{~浮}
pʰ	iɔ	陽平上	嫖
pʰ	iɔ	去聲	票 漂{~亮}
m	iɔ	陽平上	苗 描 秒
m	iɔ	去聲	廟 妙
t	iɔ	陰平	刁 □{搶}
t	iɔ	陽平上	屌
t	iɔ	去聲	釣 吊 掉 調{音~}
tʰ	iɔ	陰平	挑{~水}
tʰ	iɔ	陽平上	條 調{~和} □ □{灰~}
tʰ	iɔ	去聲	跳
n	iɔ	陽平上	鳥
n	iɔ	去聲	尿
l	iɔ	陽平上	燎 撩 繚{縫~} 療 了{了結}
l	iɔ	去聲	瞭{瞭望} 料 尥 □{扔掉}
tɕ	iɔ	陰平	交 膠 教{~書} 狡 焦 驕 嬌 澆
tɕ	iɔ	陽平上	絞 攪 餃
tɕ	iɔ	去聲	教{~育} 窖 覺{睡~} 轎 叫 酵{~頭，又 tɕiɔ}
tɕʰ	iɔ	陰平	悄
tɕʰ	iɔ	陽平上	喬 橋 蕎 巧 雀{又 tɕʰyə}
tɕʰ	iɔ	去聲	繰{~邊} 俏 竅 撬
ɕ	iɔ	陰平	消 硝 銷 屑{木~}
ɕ	iɔ	陽平上	小 曉
ɕ	iɔ	去聲	孝 酵{發~，又 tɕiɔ} 校{學~} 笑 鞘
ʑ	iɔ	陰平	妖 腰 要{~求} 幺 吆
ʑ	iɔ	陽平上	搖 謠 姚 窰 咬 舀
ʑ	iɔ	去聲	要{重~} 靿{鞋~}
﻿// HSD Syllabary Data Partition
// 地区：甘肅省-張掖市-臨澤縣-沙河鎮
// 来源：何劍麗《臨澤方言音系記略》
// 规范：HSD v1.0 (Strict-Typed)

@LOC	甘肅省-張掖市-臨澤縣-沙河鎮
@SRC	何劍麗《臨澤方言音系記略》

@INI	p	pʰ	m	t	tʰ	n	l	tɕ	tɕʰ	ɕ	ʑ
@FIN	iɛ
@TON	陰平	44
@TON	陽平上	53
@TON	去聲	31

// Initial	Final	Tone	CharList (Space separated)
p	iɛ	陽平上	白 別{區~，離~}
p	iɛ	去聲	蹩 憋 □{擠兌：~出去} 百 北 柏
pʰ	iɛ	陰平	□{弄斷：~折} 撇{~開}
pʰ	iɛ	陽平上	撇{~捺} 拍{又 pʰiɔ}
m	iɛ	陽平上	滅 蔑{~視} 麥 脈 血{墨}
t	iɛ	陰平	爹
t	iɛ	陽平上	蝶 碟 □{猛吃}
t	iɛ	去聲	跌 得 德
tʰ	iɛ	去聲	鐵 帖 貼 特
n	iɛ	陽平上	□{一~~：一點點} 苶{弱小}
n	iɛ	去聲	孽 捏 業 聶 鑷 躡 虐
l	iɛ	陰平	勒
l	iɛ	陽平上	烈 裂 肋 劣
tɕ	iɛ	陽平上	傑 截 捷 □{近，直} 姐
tɕ	iɛ	去聲	借 揭 節 結 接
tɕʰ	iɛ	陽平上	□{~坡} 銜 茄 掮 □{這些的合音}
tɕʰ	iɛ	去聲	且 切 怯 砌
ɕ	iɛ	陽平上	斜 邪 些 寫
ɕ	iɛ	去聲	瀉 卸 謝 楔{~子} 解{姓} 血{又 ɕyə}
ʑ	iɛ	陽平上	爺 也 野
ʑ	iɛ	去聲	夜 拽 噎 葉 頁
﻿// HSD Syllabary Data Partition
// 地区：甘肅省-張掖市-臨澤縣-沙河鎮
// 来源：何劍麗《臨澤方言音系記略》
// 规范：HSD v1.0 (Strict-Typed)

@LOC	甘肅省-張掖市-臨澤縣-沙河鎮
@SRC	何劍麗《臨澤方言音系記略》

@INI	t	n	l	tɕ	tɕʰ	ɕ	ʑ
@FIN	iəu
@TON	陰平	44
@TON	陽平上	53
@TON	去聲	31

// Initial	Final	Tone	CharList (Space separated)
t	iəu	陽平上	丟
n	iəu	陰平	妞 □{~~：奶頭}
n	iəu	陽平上	牛 紐 扭
l	iəu	陽平上	流 劉 留 柳
l	iəu	去聲	溜 餾 六 綹 □{啃，~瓜皮}
tɕ	iəu	陰平	揪 鬏 糾{~纏}
tɕ	iəu	陽平上	酒 九 久 韭 灸
tɕ	iəu	去聲	就 舅 救 舊 糾{~正} □{縮：~到一起了}
tɕʰ	iəu	陰平	秋{~天，~千鞦} 丘 球
tɕʰ	iəu	陽平上	求
tɕʰ	iəu	去聲	□{不出門，不活泛：他整天~的家裡不出去}
ɕ	iəu	陰平	修 羞 休
ɕ	iəu	陽平上	恘{頑皮}
ɕ	iəu	去聲	朽 秀 繡 宿{星~} 銹 袖
ʑ	iəu	陰平	優 游
ʑ	iəu	陽平上	尤{~其} 由 油 友
ʑ	iəu	去聲	酉 又 右 幼
﻿// HSD Syllabary Data Partition
// 地区：甘肅省-張掖市-臨澤縣-沙河鎮
// 来源：何劍麗《臨澤方言音系記略》
// 规范：HSD v1.0 (Strict-Typed)

@LOC	甘肅省-張掖市-臨澤縣-沙河鎮
@SRC	何劍麗《臨澤方言音系記略》

@INI	tɕ	tɕʰ
@FIN	iɛ
@TON	陰平	44
@TON	陽平上	53
@TON	去聲	31

// Initial	Final	Tone	CharList (Space separated)
tɕ	iɛ	陰平	階
tɕ	iɛ	陽平上	解{又 kiə}
tɕ	iɛ	去聲	介 界 戒 械
tɕʰ	iɛ	陽平上	諧{和~} 懈 蟹
// HSD Syllabary Data Partition
// 地区：甘肅省-張掖市-臨澤縣-沙河鎮
// 来源：何劍麗《臨澤方言音系記略》
// 规范：HSD v1.0 (Strict-Typed)

@LOC	甘肅省-張掖市-臨澤縣-沙河鎮
@SRC	何劍麗《臨澤方言音系記略》

@INI	p	pʰ	m	tɕ	tɕʰ	ɕ	ʑ
@FIN	iᴀ
@TON	陰平	44
@TON	陽平上	53
@TON	去聲	31

// Initial	Final	Tone	CharList (Space separated)
p	iᴀ	陰平	□{扔，甩：把泥巴~在牆上} □{摔倒：~了個跟頭} □{貼：牆上~上一張報紙}
pʰ	iᴀ	陰平	□{癱倒}
pʰ	iᴀ	陽平上	□{兩腿叉開伸直；諞~子：能說會道的人}
m	iᴀ	陰平	咩{羊叫聲}
tɕ	iᴀ	陰平	家 加
tɕ	iᴀ	陽平上	假1{真~}
tɕ	iᴀ	去聲	賈 假2{放~} 架 駕 嫁 價 甲 胛{肩~} 夾 裌 挾
tɕʰ	iᴀ	陽平上	揢{拿住}
tɕʰ	iᴀ	去聲	卡{~腰} 掐 恰 □{跨越}
ɕ	iᴀ	陽平上	蝦{魚~} 霞 匣 狹 峽 轄
ɕ	iᴀ	去聲	夏 嚇{~一跳} 下{~降}
ʑ	iᴀ	陰平	鴉 丫 椏
ʑ	iᴀ	陽平上	牙 芽 □{他} 啞
ʑ	iᴀ	去聲	亞 鴨 押 壓 軋{~花}
﻿// HSD Syllabary Data Partition
// 地区：甘肅省-張掖市-臨澤縣-沙河鎮
// 来源：何劍麗《臨澤方言音系記略》
// 规范：HSD v1.0 (Strict-Typed)

@LOC	甘肅省-張掖市-臨澤縣-沙河鎮
@SRC	何劍麗《臨澤方言音系記略》

@INI	p	pʰ	m	f	v	t	tʰ	l	ts	tsʰ	s	pf	pfʰ	x
@FIN	u
@TON	陰平	44
@TON	陽平上	53
@TON	去聲	31

// Initial	Final	Tone	CharList (Space separated)
p	u	陽平上	補 卜 怖{恐~}
p	u	去聲	不 布 部 步
pʰ	u	陰平	鋪{~設}
pʰ	u	陽平上	樸 瀑 菩 普 譜 葡 脯
pʰ	u	去聲	僕{~人} 鋪{店~} 赴 撲 堡
m	u	陰平	哞
m	u	陽平上	畝 謀 模 母 拇
m	u	去聲	木 墓 目 穆 沒{~有，~人}
f	u	陰平	輸{運~} 夫 膚 麩 梳 蔬 疏 書 舒 殊
f	u	陽平上	敷 俘 孵 符 扶 芙 府 付 輔 斧 撫 腐 附 浮 熟 贖 數 婦 伏
f	u	去聲	父 訃 副 富 復{~興} 傅 福 幅 複{~雜} 腹 復{~原} 服 數 豎 樹 術 叔 負 蝠
v	u	陰平	巫 誣 侮 污
v	u	陽平上	吳 蜈 梧 戊 乳 汝 辱 武 舞 鵡 五 午 捂 擩
v	u	去聲	無 霧 務 屋 惡 悟 誤 如 入 褥 物
t	u	陰平	篤
t	u	陽平上	獨 讀 毒 堵 賭 肚{豬~子} 犢 都{~城}
t	u	去聲	杜 肚{~子} 度
tʰ	u	陰平	□{象聲詞}
tʰ	u	陽平上	圖 屠 途 塗 土 吐{~痰}
tʰ	u	去聲	唾{~沫} 兔 禿 突
l	u	陽平上	魯 滷
l	u	去聲	路 露 綠 鹿 六
ts	u	陰平	租
ts	u	陽平上	組 阻 卒{兵~} 祖
ts	u	去聲	做{又tsuə} 足{~夠}
tsʰ	u	陰平	粗
tsʰ	u	陽平上	覷
tsʰ	u	去聲	醋 猝{倉~} 族
s	u	陰平	蘇 酥
s	u	去聲	素 訴 塑 嗉 速 宿 俗
pf	u	陰平	豬 朱 蛛 株 珠 姑 孤 箍 估
pf	u	陽平上	軸 妯 煮 拄 主 古 故 股 鼓
pf	u	去聲	著 助 柱 注 住 朮{白~} 竹 築 逐 祝 燭 固 錮{~露鍋} 雇 骨 谷 觸
pfʰ	u	陰平	初 枯 窟
pfʰ	u	陽平上	處{~理} 除 儲 褚 鋤 暑 鼠 廚 苦
pfʰ	u	去聲	處{~所} 畜{牲~} 出 庫 褲 哭
x	u	陰平	呼 忽
x	u	陽平上	胡 湖 狐 葫{~蘆} 核{杏~，又xuə} 虎
x	u	去聲	戶 互 護
﻿// HSD Syllabary Data Partition
// 地区：甘肅省-張掖市-臨澤縣-沙河鎮
// 来源：何劍麗《臨澤方言音系記略》
// 规范：HSD v1.0 (Strict-Typed)

@LOC	甘肅省-張掖市-臨澤縣-沙河鎮
@SRC	何劍麗《臨澤方言音系記略》

@INI	k	kʰ	x
@FIN	uan
@TON	陰平	44
@TON	陽平上	53
@TON	去聲	31

// Initial	Final	Tone	CharList (Space separated)
k	uan	陰平	莊 裝 樁 光
k	uan	陽平上	廣
k	uan	去聲	逛1{又 kʰuan} 撞1 壯 狀 噇{口~：吃飯好，不挑食}
kʰ	uan	陰平	匡 筐 窗 瘡
kʰ	uan	陽平上	狂 床 闖1 喘
kʰ	uan	去聲	況 曠 礦 眶 逛2{又 kuan} 撞2{又 kuan} 闖2 創
x	uan	陰平	荒 慌
x	uan	陽平上	黃 簧{鎖~} 皇 蝗 謊
x	uan	去聲	晃{~眼}
﻿// HSD Syllabary Data Partition
// 地区：甘肅省-張掖市-臨澤縣-沙河鎮
// 来源：何劍麗《臨澤方言音系記略》
// 规范：HSD v1.0 (Strict-Typed)

@LOC	甘肅省-張掖市-臨澤縣-沙河鎮
@SRC	何劍麗《臨澤方言音系記略》

@INI	t	tʰ	l	ts	tsʰ	s	k	kʰ	x
@FIN	uei
@TON	陰平	44
@TON	陽平上	53
@TON	去聲	31

// Initial	Final	Tone	CharList (Space separated)
t	uei	陰平	堆
t	uei	陽平上	□{遭遇}
t	uei	去聲	對 隊
tʰ	uei	陰平	推
tʰ	uei	陽平上	腿
tʰ	uei	去聲	退 蛻{~皮，又 tʰuə}
l	uei	陽平上	雷 累{積~} 壘
l	uei	去聲	內 類 淚
ts	uei	陽平上	最 嘴
ts	uei	去聲	罪 醉
tsʰ	uei	陰平	崔 催
tsʰ	uei	去聲	脆 翠
s	uei	陰平	雖
s	uei	陽平上	隨 綏 遂 髓
s	uei	去聲	碎 歲 穗
k	uei	陰平	規 歸 追 錐
k	uei	陽平上	詭 鬼
k	uei	去聲	閨 桂 跪 癸 櫃 貴 墜 綴
kʰ	uei	陰平	盔 虧 吹 炊 垂
kʰ	uei	陽平上	錘 捶 □{神氣} 魁 葵
kʰ	uei	去聲	愧
x	uei	陰平	灰 揮 輝
x	uei	陽平上	回 茴 悔 毀
x	uei	去聲	匯 慧 會{開~}
﻿// HSD Syllabary Data Partition
// 地区：甘肅省-張掖市-臨澤縣-沙河鎮
// 来源：何劍麗《臨澤方言音系記略》
// 规范：HSD v1.0 (Strict-Typed)

@LOC	甘肅省-張掖市-臨澤縣-沙河鎮
@SRC	何劍麗《臨澤方言音系記略》

@INI	t	tʰ	n	l	ts	tsʰ	s	k	kʰ	x
@FIN	uŋ
@TON	陰平	44
@TON	陽平上	53
@TON	去聲	31

// Initial	Final	Tone	CharList (Space separated)
t	uŋ	陰平	噸 敦 墩 蹲 東 冬
t	uŋ	陽平上	懂 躉 □{弄、做：~下亂子了}
t	uŋ	去聲	囤 頓 鈍 動 凍 燉
tʰ	uŋ	陰平	吞 通
tʰ	uŋ	陽平上	屯 同 銅 童 痛 桶 捅 統
tʰ	uŋ	去聲	褪 蛻{又 tʰuei}
n	uŋ	陽平上	嫩
l	uŋ	陽平上	籠 聾 攏 農 膿 濃 龍
l	uŋ	去聲	弄
ts	uŋ	陰平	尊 遵 鬃 宗 蹤
ts	uŋ	陽平上	總
ts	uŋ	去聲	糉 縱{~橫，放~}
tsʰ	uŋ	陰平	皴 聰 蔥 囪
tsʰ	uŋ	陽平上	存 叢 從{跟~}
tsʰ	uŋ	去聲	村 寸
s	uŋ	陰平	孫 松
s	uŋ	陽平上	□{精液} 損
s	uŋ	去聲	送 宋
k	uŋ	陰平	中{~間} 忠 終 鐘 盅 公 工 功 攻 躬 恭 供{~不起}
k	uŋ	陽平上	準 種{~子} 腫 滾
k	uŋ	去聲	棍 拱{~手} 供{~養} 共 中{射~} 眾 重{輕~} 種{~樹}
kʰ	uŋ	陰平	椿 春 充 沖{~茶} 空{~虛}
kʰ	uŋ	陽平上	孔 唇 純 蟲 重{~複} 捆 蠢 寵
kʰ	uŋ	去聲	困 控 空{~卻} 恐 □{身體無力，病} 沖{~鋒}
x	uŋ	陰平	昏 婚 轟 揈{~出去} 烘
x	uŋ	陽平上	魂 紅 洪 虹{又 kan} 訌 弘 宏 哄
x	uŋ	去聲	渾 混 橫{相~；又 xuŋ}
﻿// HSD Syllabary Data Partition
// 地区：甘肅省-張掖市-臨澤縣-沙河鎮
// 来源：何劍麗《臨澤方言音系記略》
// 规范：HSD v1.0 (Strict-Typed)

@LOC	甘肅省-張掖市-臨澤縣-沙河鎮
@SRC	何劍麗《臨澤方言音系記略》

@INI	t	tʰ	l	ts	tsʰ	s	k	kʰ	x
@FIN	uɑŋ
@TON	陰平	44
@TON	陽平上	53
@TON	去聲	31

// Initial	Final	Tone	CharList (Space separated)
t	uɑŋ	陰平	端
t	uɑŋ	陽平上	短
t	uɑŋ	去聲	斷{~絕，決~} 段 緞 □{追趕}
tʰ	uɑŋ	陽平上	團
l	uɑŋ	陽平上	□{說、做，貶義：胡~卵}
l	uɑŋ	去聲	亂
ts	uɑŋ	陰平	鑽
