IPA	Tone	Tone	字
tsʰuŋ	2	21	蟲
kuŋ	5	13	共
kʰuŋ	5	13	困
muŋ	5	13	夢
nuŋ	2	21	膿濃
luŋ	5	13	弄
Ǿuŋ	5	13	問
pʰuŋ	1	33	蜂
fuŋ	2	21	橫紅
tuŋ	1	33	東冬
tʰuŋ	2	21	銅
tsuŋ	1	33	中終
suŋ	1	33	松
tsʰuŋ	1	33	蔥充沖
kuŋ	1	33	公宮恭
kʰuŋ	3	35	孔
luŋ	2	21	龍
Ǿuŋ	2	21	蚊
fuŋ	1	33	烘風豐封蜂
tuŋ	3	35	懂
tʰuŋ	1	33	通
tsuŋ	3	35	腫
kuŋ	3	35	滾
luŋ	1	33	聾
Ǿuŋ	1	33	溫翁
tʰuŋ	3	35	桶統
piŋ	5	13	病
pʰiŋ	2	21	貧平瓶
tiŋ	5	13	定
tʰiŋ	2	21	停
tɕiŋ	5	13	浸進勁近鏡靜
ɕiŋ	5	13	興姓
tɕʰiŋ	5	13	慶
miŋ	5	13	命
ȵiŋ	2	21	迎
liŋ	2	21	林鄰零
Ǿiŋ	5	13	印閏運
piŋ	1	33	冰兵
pʰiŋ	3	35	品
tiŋ	1	33	釘
tʰiŋ	1	33	廳聽
tɕiŋ	1	33	金筋均軍經
ɕiŋ	2	21	行形
tɕʰiŋ	2	21	尋琴勤裙
miŋ	2	21	民明名
liŋ	3	35	領
Ǿiŋ	2	21	銀勻雲贏營
piŋ	3	35	柄餅
tiŋ	3	35	頂
tʰiŋ	3	35	挺
tɕiŋ	3	35	緊井
ɕiŋ	1	33	心新熏星
tɕʰiŋ	1	33	親清輕青
Ǿiŋ	1	33	音蠅
Ǿiŋ	3	35	引隱影
pɐŋ	3	35	本
pʰɐŋ	2	21	盆朋棚
fɐŋ	5	13	糞
tɐŋ	5	13	凳
tʰɐŋ	2	21	藤
tsɐŋ	5	13	鎮震俊證正粽
sɐŋ	5	13	順剩
tsʰɐŋ	5	13	寸秤
kɐŋ	1	33	根更耕
kʰɐŋ	1	33	坑
xɐŋ	5	13	恨
mɐŋ	2	21	門
nɐŋ	5	13	嫩
ŋɐŋ	5	13	硬
lɐŋ	2	21	輪
fɐŋ	2	21	魂墳
tɐŋ	1	33	墩蹲燈
tʰɐŋ	1	33	吞
tsɐŋ	1	33	針僧爭貞
sɐŋ	2	21	神辰唇純繩
tsʰɐŋ	2	21	沉陳層程城
kɐŋ	3	35	梗
kʰɐŋ	3	35	肯
mɐŋ	3	35	猛
nɐŋ	2	21	能
ŋɐŋ	1	33	恩
lɐŋ	3	35	冷
fɐŋ	1	33	婚分
tɐŋ	3	35	等
tsɐŋ	3	35	准整
sɐŋ	1	33	參深身孫升生聲
tsʰɐŋ	1	33	村春
fɐŋ	3	35	粉
sɐŋ	3	35	筍省
pɑŋ	5	13	扮辦半棒
pʰɑŋ	5	13	判胖
fɑŋ	5	13	犯換飯放
tɑŋ	5	13	淡斷
tʰɑŋ	5	13	炭
tsɑŋ	5	13	賺占戰傳壯
sɑŋ	5	13	善算
tsʰɑŋ	5	13	唱撞
kɑŋ	5	13	監看
kʰɑŋ	1	33	糠
xɑŋ	5	13	漢汗限項
mɑŋ	5	13	慢
nɑŋ	2	21	南難
ŋɑŋ	5	13	暗岸
lɑŋ	5	13	爛亂浪
pɑŋ	1	33	班搬幫
pʰɑŋ	2	21	盤
fɑŋ	2	21	還黃房防
tɑŋ	1	33	單端
tʰɑŋ	2	21	潭彈糖
tsɑŋ	1	33	張裝章樁
sɑŋ	2	21	嘗
tsʰɑŋ	2	21	蠶纏長床
kɑŋ	1	33	甘肝鋼
xɑŋ	2	21	含鹹
mɑŋ	2	21	忙
nɑŋ	3	35	暖
ŋɑŋ	1	33	安
lɑŋ	2	21	藍蘭
pɑŋ	3	35	板綁
fɑŋ	1	33	歡翻慌方
tɑŋ	3	35	膽短黨
tʰɑŋ	1	33	貪
tsɑŋ	3	35	鏟
sɑŋ	1	33	三杉衫山酸閂霜傷雙
tsʰɑŋ	1	33	倉瘡窗
kɑŋ	3	35	感敢減
xɑŋ	3	35	喊
mɑŋ	3	35	滿
lɑŋ	3	35	懶
fɑŋ	3	35	反紡
tʰɑŋ	3	35	毯湯
sɑŋ	3	35	傘上
tsʰɑŋ	3	35	產廠
tɕiəŋ	3	35	准
ɕiəŋ	2	21	熊雄
tɕʰiəŋ	2	21	窮
Ǿiəŋ	5	13	任認用
ɕiəŋ	1	33	兄兇
Ǿiəŋ	2	21	人榮容
Ǿiəŋ	3	35	永擁
piɑŋ	5	13	變便
pʰiɑŋ	5	13	騙片
tiɑŋ	5	13	店墊
tʰiɑŋ	2	21	甜田
tɕiɑŋ	5	13	劍件建健見匠
ɕiɑŋ	5	13	線扇現縣像向
tɕʰiɑŋ	5	13	欠勸
miɑŋ	5	13	面
ȵiɑŋ	5	13	驗念
liɑŋ	5	13	亮
Ǿiɑŋ	5	13	厭院讓樣
piɑŋ	3	35	扁
tiɑŋ	3	35	點典
tʰiɑŋ	1	33	添天
tɕiɑŋ	1	33	監尖間奸肩磚漿薑江
ɕiɑŋ	2	21	嫌降
tɕʰiɑŋ	2	21	鉗錢前全船權
miɑŋ	2	21	棉
ȵiɑŋ	2	21	黏嚴年娘
liɑŋ	2	21	連蓮
Ǿiɑŋ	2	21	岩炎鹽顏延言圓原園
tɕiɑŋ	3	35	剪卷講
ɕiɑŋ	1	33	鮮先
tɕʰiɑŋ	1	33	簽牽圈鉛
ȵiɑŋ	3	35	染軟
liɑŋ	3	35	兩
Ǿiɑŋ	1	33	煙冤秧
ɕiɑŋ	3	35	險顯選想響
tɕʰiɑŋ	3	35	淺搶
Ǿiɑŋ	3	35	眼遠癢
tsuɑŋ	3	35	轉
tsʰuɑŋ	2	21	傳
kuɑŋ	5	13	慣
kʰuɑŋ	2	21	狂
Ǿuɑŋ	5	13	萬旺
kuɑŋ	1	33	官關光
kʰuɑŋ	1	33	寬筐
Ǿuɑŋ	2	21	完頑王
Ǿuɑŋ	1	33	彎
Ǿuɑŋ	3	35	碗晚網
