a	
ts	[52]知支肢之[25]纸只姊旨指梓止趾址[33]知智致至置志痣[22]稚治[-45]蜘脂芝
tsʰ	[52]雌疵差{参～}痴[31]池驰迟持匙{～羮：汤匙}[25]侈矢耻齿始[13]恃[33]刺翅[-45]栀{水黄～：栀子}
s	[52]施尸[31]时匙{锁～}[25]死屎[13]巿[33]四肆试[22]是氏豉示视[-45]诗
j	[52]伊枝[31]儿宜仪谊移夷而疑[25]倚[13]尔议你耳拟已[33]懿[22]义二肄异
k	[52]羁饥肌基箕几{～乎}机讥饥[25]己纪杞幾[33]寄记旣[22]技妓忌[-45]几{茶～}
kʰ	[52]奇岐祁其棋期旗祈蜞{～乸，牛～：水蛭}[13]企徛{站立}[33]冀
h	[52]犠欺嬉熙嘻希稀[31]怡姨{～丈}[25]起喜岂[13]以[33]戏器弃饩{喂食}气汽[22]易[-45]姨{大～}
ʔ	[52]医依枝{树～}衣{～服}[25]椅[33]意[-45]衣{地豆～：花生皮}[-25]枝{分枝}
iu	
p	[52]膘标彪飚[25]表[-45]表{手～}
pʰ	[52]飘漂[31]嫖[33]漂票[25]瓢{勺子}
m	[31]描[13]杳藐渺秒[33]妙[25]庙
t	[52]貂丢[31]条[25]屌{交合}[33]钓吊[22]调
tʰ	[52]雕挑[31]调[33]跳粜[-45]挑{担～：扁担}
l	[52]撩{撩逗}聊辽寥瞭燎疗寮{储物的简易房子}鹩{～哥：八哥}[25]料{肥～}□{～线：萦线}[13]鸟了[22]尿廖[-25]料{肥～}[-45]寮{住人的简易房子}
ts	[52]焦椒朝{早～：早上}招[25]剿沼[33]醮照[22]赵召诏噍[-45]蕉
tsʰ	[52]超昭[31]樵朝{～代}潮[33]悄俏肖鞘
s	[52]萧消宵硝销肖烧锹[31]韶[25]小少[33]笑少[22]绍邵兆[-45]箫
j	[31]饶摇谣遥窑姚尧[25]扰绕[-45]摇{船桨}
k	[52]骄浇[25]矫[33]叫
kʰ	[31]乔侨桥荞[25]缴[13]翘繑{缠绕}□{～水：舀水}[33]撬[-25]轿藠
h	[52]嚣侥[25]晓[33]窍[22]耀[-25]鹞{纸～：风筝}
ŋ	[31]摇
ʔ	[52]夭邀腰么{～两：一二}要{～求}吆{～你：喊你}[33]要[25]妖
im	
t	[31]甜[25]点[33]店[22]掂{搞～：弄好}
tʰ	[52]添[13]掭{蘸}
l	[52]黏粘拈[31]廉镰帘鲇[13]敛殓脸[22]念[25]棯{番～：番石榴}
ts	[52]尖沾占{～卦}[33]佔[22]渐
tsʰ	[52]签{～名}[31]潜
s	[52]签{竹～}[31]禅[25]陕闪[-45]蝉
j	[52]炎严[25]淹[13]染[22]验艳焰
k	[52]兼[33]剑[22]俭
kʰ	[31]钳[25]检
h	[52]谦[31]盐阎[25]险[33]欠
ʔ	[52]阉櫼{～队：插队}[25]掩□{结～：结痂}[33]厌
in	
p	[52]鞭[25]贬匾[33]变[22]辨辩汴便[-45]辫
pʰ	[52]编篇偏蝙[33]骗遍片
m	[52]绵棉[13]免勉娩缅[22]面
t	[52]颠癫[31]田填[25]典[33]垫[22]电殿奠
tʰ	[52]天[25]腆
l	[31]连年怜莲[33]练炼[-45]□{乳房}[25]链楝{苦～树}
ts	[52]煎[25]碾剪展□{大～：猪肘子}[33]箭溅战颤荐[22]贱[-45]毡{毯子}笺
tsʰ	[52]迁歼千[31]钱缠前[25]浅[13]践[-25]钱
s	[52]仙鲜先[25]癣[13]鳝[33]线扇骟{～鸡：阉鸡}□{(地面)滑}[22]羡善膳[-45]先{祖～}
j	[31]然燃言研延[22]谚砚[25]堰
k	[52]肩坚[33]建[22]键腱健
kʰ	[31]乾虔[25]搴{掀起}[22]件
h	[52]掀牵[31]贤弦延[25]遣演显[33]宪献[22]现[-45]轩
ʔ	[52]燕{～京}咽[33]燕宴[-45]烟{香烟}
ip	
t	[2]碟牒蝶谍
tʰ	[3]贴[25]帖{请～}
l	[2]擸{抚摸(毛发)}聂猎□{秕谷}
ts	[3]接摺{～衫：折衣服}
tsʰ	[3]妾
s	[3]摄楔{～入：塞进薄缝}
j	[2]孽
k	[3]□{涩}劫
h	[3]怯胁歉协[2]叶页业
ʔ	[3]腌
it	
p	[5]必[3]鳖蹩[2]别
pʰ	[3]撇
m	[5]搣{捏}[2]灭蔑
t	[5]啲{一点儿}[3]跌[2]秩
tʰ	[3]铁
l	[2]列烈裂
ts	[3]哲折浙节[2]捷截
tsʰ	[3]彻撤辙设
s	[3]薛泄涉屑切[2]折{～本}舌
j	[2]热
k	[3]结洁[2]杰
kʰ	[3]揭[2]□{流体稠}
h	[3]歇蝎
œ	
t	[52]多[31]苔{青～}砣{秤～}[25]朵[33]□{用粗话骂}
tʰ	[52]唾{～口水}
l	[52]□{吐出捼搓(衣服)}[22]糯[-45]螺
tsʰ	[13]坐
s	[31]瀡{滑动}
k	[33]锯[-45]哥{鹩～：八哥鸟}
h	[52]靴
œn	
t	[52]□{啄}
tsʰ	[52]栓{门～}[25]铲{动词}
j	[-45]□{镐头}
œŋ	
l	[31]良凉量粮梁粱娘[13]两{数字}[22]亮谅辆量[25]娘{大姑～}两{斤～}
ts	[52]将{～军}浆张章樟[25]蒋奖桨长掌[33]仗{打～}酱将{～相}涨帐账胀障瘴嶂[22]匠象像橡丈[-25]杖{拐～}仗{炮～：鞭炮}
tsʰ	[52]昌菖倡[31]墙详祥长肠场常尝偿[25]抢赏{打～}[33]畅唱[-45]枪窗
s	[52]相湘襄镶霜孀商伤双[25]想尚赏{欣～}[13]上{～去}[33]相{睇～：看相}[22]上{～面}[-45]箱厢
j	[13]仰[22]酿壤让[25]扬{抖动}
k	[52]疆僵姜缰
kʰ	[31]强{～大}[25]蔃{树～：树根}[13]强{勉～}
h	[52]香乡[31]羊洋杨阳扬疡□{～䘆：蚯蚓}[25]饷享响[13]养痒[33]向[22]样[-45]香{～烛}
ʔ	[52]央秧殃
œt	
s	[3]索{绳子}
h	[2]阅曰穴
ʔ	[5]□{撕开}
œk	
t	[5]斫[3]斫{剁}琢啄
l	[2]略掠
ts	[3]爵雀嚼{着～衫：穿衣服}酌桌{拜～石：坟前用以摆放祭品的石板}鹊
tsʰ	[3]绰芍卓焯
s	[3]削{着～火}[2]勺{酒～}
j	[2]若弱虐疟
k	[3]脚
kʰ	[3]却
h	[2]药
ʔ	[3]约跃
øy	
tʰ	[33]褪{～色}
l	[31]来[13]缕[22]类累
ts	[52]蛆追[25]嘴[33]最醉[22]缀赘坠
tsʰ	[52]吹[31]槌锤随[33]脆
s	[52]虽衰[31]谁垂[25]水[13]悴[33]岁税帅墅[22]粹遂隧穗瑞睡
j	[22]鋭[25]蕊{花～}[-45]锥{锥子}
øn	
t	[52]敦[22]顿沌钝遁
tʰ	[13]盾
l	[52]㖮{～骨头：啃骨头}[31]邻鳞磷仑伦沦轮[25]卵[22]吝论
ts	[52]津臻遵[25]准[33]进晋俊圳{田中水沟}[22]尽[-45]樽{瓶子}
tsh	[52]椿春[31]秦旬循巡唇[25]蠢
s	[52]殉询[31]唇纯醇[25]笋榫囟{脑～：囟门}[33]信讯逊迅舜[22]顺
j	[22]润闰[25]膶{猪～：猪肝}
øt	
l	[2]律[25]栗率{效～}
ts	[5]卒蟀椊{木塞子；塞住}□{揉搓}
tsʰ	[5]出
s	[5]摔戌恤率{～领}[2]术述
y	
t	[25]㨃{捅}
l	[13]女吕旅屡里垒[22]虑滤泪
ts	[52]猪诸诛蛛株朱珠资姿咨滋□{鸡～：鸡虱}[25]煮主紫子[13]祀巳[33]做著聚驻注蛀铸[22]序叙聚自伺嗣饲痔[-25]寺
