#ʅ
tʂ[1]知蜘支肢枝吱之芝栀脂[3]纸旨指止址趾至[5]制置智致稚痔治志痣挚滞
tʂ[5]揣{拿着}
tʂʰ[1]揣{~摩}
ʂ[5]帅
k[1]乖[3]拐[5]怪
kʰ[5]快筷会{~计}
x[2]淮怀槐[5]坏
∅[1]歪[5]外

#əi
p[1]卑碑悲杯[3]彼[5]贝辈背倍臂被备
pʰ[1]胚坯[2]培陪赔裴[5]沛配佩
m[2]梅晦霉煤媒眉嵋谋枚玫[3]每美某[5]妹媚寐昧
f[1]非菲榧飞妃翡[2]肥[3]匪吠诽否[5]痱费废肺
k[3]给
s[5]售

#uəi
t[1]堆[5]对队兑
tʰ[1]推[3]腿[5]退
l[2]雷擂[3]蕾磊垒屡累[5]内类泪累{劳~}
tʂ[1]追锥椎[5]赘
tʂʰ[1]吹[2]垂锤捶槌
ʂ[2]随隋髓谁[3]水[5]睡税
ʐ[3]蕊[5]锐瑞
ts[3]嘴[5]罪最醉
tsʰ[1]崔摧催炊[5]脆翠萃悴瘁粹
s[1]虽尿[5]碎岁祟隧穗
∅[1]威煨[2]危桅微唯帷维韦围违为{作~}[3]委萎伪伟[5]卫喂畏胃谓慰魏尉未味位渭

#ɔ
p[1]包胞[3]宝饱保堡褓[5]报抱刨暴爆豹
pʰ[1]抛膘泡{水~}[2]袍[3]跑[5]炮泡
m[2]毛猫矛{~盾}茅[3]铆卯[5]冒帽貌
t[1]刀[3]导岛捣倒祷悼[5]道稻蹈盗到倒{~挂}
tʰ[1]掏[2]桃逃涛陶淘[3]讨[5]套滔
l[2]劳捞涝牢[3]老脑姥恼[5]闹
k[1]高篙膏羔糕[3]稿搞[5]告窖
kʰ[3]考烤拷[5]铐靠
x[2]毫豪嚎壕[3]好[5]好{爱~}号耗浩
tʂ[1]召诏昭招朝{~夕}[3]找[5]罩兆赵照
tʂʰ[1]超操抄钞[2]朝{一代}[3]吵炒[5]糙燥
ʂ[1]捎梢稍[2]韶[3]少[5]臊
ʐ[2]饶[3]扰[5]绕
ts[1]遭糟[3]早枣澡藻[5]灶皂造躁
tsʰ[2]曹槽嘈漕[3]草
s[1]烧骚[3]嫂扫
∅[2]敖熬鳌[3]袄[5]傲凹懊澳奥

#iɔ
p[1]标镖膘彪[3]表裱婊
pʰ[1]飘漂{~流}[2]嫖瓢[5]票漂{~白}
m[1]苗描瞄[3]秒渺藐[5]庙妙缪
t[1]刁貂凋碉雕[3]屌[5]吊钓掉调{~查}
tʰ[1]挑[2]调{~和}条迢[3]挑[5]跳粜
l[2]疗僚撩聊[3]了瞭鸟[5]料
tɕ[1]焦蕉椒[5]醮
tɕʰ[1]缲[2]樵憔瞧谯剿[5]俏峭鞘撬
ɕ[1]宵霄肖消硝逍萧浇{薄}箫[3]小[5]笑啸
∅[1]夭妖邀要{~求}腰[2]摇谣遥窑瑶肴姚尧窈[3]咬舀[5]要跃

#əɯ
t[1]兜[3]斗抖陡[5]斗{~争}豆痘逗
tʰ[1]偷[2]头投[5]透
l[2]娄楼喽[3]篓搂[5]漏陋瘘
k[1]勾沟钩[3]狗苟[5]够构购垢
kʰ[1]抠胚[5]叩扣寇
x[2]侯喉猴痪[3]吼[5]厚后候
tʂ[1]周舟州洲[3]肘帚[5]纣宙咒
tʂʰ[1]抽[2]绸稠筹踌仇酬[3]丑[5]臭
ʂ[1]收[3]手首守[5]兽寿受授
ʐ[5]肉
ts[3]走[5]揍绉皱骤奏
tsʰ[2]愁[5]凑
s[1]搜馊飕[3]艘[5]瘦嗽
∅[1]欧沤{浮~}鸥[3]偶藕[5]沤{~麻}呕

#iəɯ
t[1]丢
l[1]溜[2]牛流硫琉刘浏留榴瘤[3]纽枢柳[5]遛
tɕ[1]鸠纠赳阄灸揪[3]九久玖韭酒[5]究疚救臼舅桕柩旧咎就鹫
tɕʰ[1]丘邱蚯秋湫鳅鞧[2]求球裘仇{姓}酋囚泅
ɕ[1]休修羞[3]朽[5]嗅秀绣锈袖宿{星~}
∅[1]幽忧优悠[2]尤犹柔揉蹂由油蚰邮游[3]友有酉[5]又右祐诱幼

#ɚ
ʐ[3]惹
∅[2]儿[3]耳[5]二贰

#õ
p[5]半伴拌畔
pʰ[5]判叛
m[2]馒谩漫鳗
t[1]端[3]短[5]断段锻煅缎
tʰ[2]团
l[2]峦栾滦孪[3]暖卵[5]乱
k[1]官棺观冠{衣~}[3]管馆[5]冠{~军}观{寺~}
kʰ[1]宽[3]款
x[1]欢[3]缓[5]唤换幻患宦焕
tʂ[1]专砖[3]转{~移}[5]转
tʂʰ[1]汆川穿[2]传{~达}船椽[3]喘[5]串窜
ʐ[3]软阮
ts[1]钻{动词}[5]钻{名词}
tsʰ[5]纂
s[1]酸[5]算
∅[2]完丸[3]皖宛婉腕碗惋

#iẽ
p[1]边鞭编鳊[3]贬扁匾[5]变辨辩辫遍卞汴蝙便
pʰ[1]篇翩偏[2]便{~宜}[5]骗片
m[2]棉绵眠[3]免勉娩缅[5]面
t[1]掂颠巅癫[3]点典碘[5]电奠垫店惦踮佃殿甸
tʰ[1]天添[2]甜田填滇[3]舔[5]掭
l[1]拈[3]年连鲢莲联怜粘帘廉镰[3]碾辇脸捻[5]念敛练炼链
tɕ[1]监兼缄肩坚艰间涧奸菅娟捐鹃[3]减碱检俭茧简卷{~发}[5]见剑件谏建健键毽舰卷{试~}眷倦券圈{猪~}
tɕʰ[1]谦铅牵圈{圆~}[2]钳黔乾{~坤}虔掮全痊泉权拳颧[3]遣谴犬[5]欠芡嵌歉劝
ɕ[1]掀宣喧轩[2]咸贤闲衔嫌玄弦舷眩炫旋[3]险显[5]陷馅献限现苋宪县楦
ts[1]尖煎[3]剪翦[5]渐箭践贱溅饯荐
tsʰ[1]千迁歼扦纤秋笺[2]钱前[3]浅潜[5]倩
s[1]先仙鲜[3]癣选[5]线羡
∅[1]烟胭蔫渊淹鸳冤[2]炎盐严颜延蜒沿言研檐阎员圆元园缘原源袁猿援[3]眼掩演衍兖远[5]谚验厌艳焰雁燕咽宴院愿

#ã
p[1]班斑颁扳般搬帮邦梆浜[3]板版绑[5]扮瓣办棒谤泵
pʰ[1]潘攀乓绊[2]旁傍螃滂庞徬{~徨}[3]膀[5]盼胖襻
m[2]蛮芒忙氓盲茫[3]莽蟒[5]慢曼蔓
f[1]帆番藩翻方芳坊[2]凡矾烦樊繁防房[3]反返访妨纺舫坂[5]泛范犯饭贩放
t[1]耽眈单箪郸丹当裆担铛珰[3]胆疸党挡掸[5]旦担{~子}淡啖氮但诞蛋澹弹{子~}当{上~}荡
tʰ[1]贪滩瘫摊汤坍[2]覃潭谭弹{~琴}谈痰坛昙唐糖塘搪堂螳膛棠[3]毯袒坦淌倘[5]探炭叹趟烫
l[2]男南楠难蓝篮褴兰栏拦澜岚婪郎囊廊朗狼榔螂[3]懒览揽缆[5]烂
k[1]干肝杆甘柑刚纲钢缸肛罡间{房~}[3]感赶秆港冈敢橄[5]干{~活}杠虹赣
kʰ[1]堪康糠慷看{~守}[2]扛[3]砍坎槛刊[5]勘抗炕看
x[1]鼾酣夯[2]含函涵邯寒韩邗杭行{~列}[3]喊[5]汗罕焊悍旱汉撼撼
tʂ[1]张章漳樟彰蟑獐毡粘[3]展辗斩长{生~}涨掌[5]站战丈杖胀暂障瘴沾仗
tʂʰ[1]昌猖娼搀[2]谗馋缠婵长肠常尝偿嫦[3]产铲阐场厂敞灿[5]忏颤唱倡畅
ʂ[1]山衫杉珊删姗膻舢商伤丧{婚~}[3]陕赏[5]上尚丧{~失}
ʐ[1]嚷[2]燃然瓤[3]壤染冉[5]让
ts[1]赃脏[3]攒[5]赞葬藏{西~}脏{内~}蘸
tsʰ[1]参餐仓苍舱沧[2]蚕惭残藏[3]惨
s[1]三桑[3]散伞嗓[5]散{分~}
∅[1]氨肮安鞍庵鹌[2]昂[5]暗岸按案

#iã
l[2]良娘粮梁粱凉量{~米}[3]两仰辆
tɕ[1]姜江豇僵疆缰将{~军}浆[3]讲奖蒋桨[5]降{下~}强{倔~}将{~领}酱
tɕʰ[1]腔羌枪[2]强墙蔷祥详翔[3]强{勉~}抢[5]呛
ɕ[1]香乡相箱厢湘襄镶[3]享响饷想[5]相{~貌}象像橡
∅[1]央秧殃鸯[2]羊佯洋阳扬杨[3]养痒氧[5]样烊漾恙

#uã
k[1]光胱鳏关[3]广[5]贯惯灌罐逛
kʰ[1]匡筐框[2]狂[5]旷况矿
x[1]荒慌肓[2]还环黄簧磺皇惶蝗煌凰晃
tʂ[1]庄桩妆装[5]壮状撞赚
tʂʰ[1]窗疮[2]床[3]闯[5]创
ʂ[1]闩霜孀双[3]爽
∅[1]弯湾汪豌[2]亡王玩顽[3]晚挽网往枉[5]万忘望旺

#ən
p[1]奔崩绷蹦[3]本[5]笨
pʰ[1]喷烹[2]盆彭澎蓬篷朋棚鹏[3]捧[5]碰
m[2]门萌扪蒙檬朦[3]猛[5]闷焖孟梦
f[1]纷吩芬丰封峰锋蜂烽风枫疯[2]坟焚冯逢缝{动词}[3]粉讽[5]粪愤奋忿份奉俸凤缝{名词}
t[1]灯登墩蹲敦吨[3]等盹[5]凳邓
tʰ[1]吞[2]疼誊滕藤腾囤屯豚臀
l[2]能轮仑{昆~山}伦纶[3]冷[5]愣论{讨~}
k[1]根跟庚赓羹耕更[3]耿埂梗哽鲠[5]更{~加}
kʰ[1]坑吭[3]肯啃恳垦
x[1]亨哼[2]痕恒衡[3]很狠[5]恨
tʂ[1]砧针盹斟珍臻榛真贞侦征蒸[3]枕诊疹整拯[5]振震镇阵郑正证政症
tʂʰ[1]撑称{~呼}[2]沉唇辰晨臣尘成诚盛{~饭}呈程橙澄丞乘{~除}惩乘{~车}
ʂ[1]深身申伸呻绅升声[2]绳神[3]沈审婶闪[5]甚盛胜圣慎肾
ts[1]争铮曾{~祖}增尊遵筝睁憎[3]怎
tsʰ[1]村皴[2]存层曾{~经}[5]寸衬剩逞
s[1]森僧参{人~}生甥孙狲牲[3]损笋榫省
ʐ[1]仍[2]壬任{姓}仁人[3]忍仍[5]认任{责~}妊饪韧纫
∅[1]恩[5]硬

#in
p[1]宾缤槟兵冰彬殡鬓[3]丙饼秉禀[5]病并柄
pʰ[1]拼姘乒[2]贫瓶屏平苹坪萍频蘋凭评[3]品牝
m[2]民岷明鸣名铭茗[3]闵悯闽皿敏冥瞑螟[5]命
t[1]丁疗叮钉{~子}盯[3]顶鼎[5]定订钉{~书}
tʰ[1]厅听[2]亭停廷庭[3]挺艇[5]听{~任}
l[1]拎[2]林淋琳麟霖鳞磷邻零聆龄铃伶灵棂棱宁柠凝[3]凛檩领岭拧[5]令另蔺赁
tɕ[1]今矜金禁{~不住}襟斤筋茎经泾京惊津精睛侵菁晶旌荆巾均钧军[3]景颈警谨锦紧仅井[5]禁近竟境镜竞劲痉浸进晋尽烬净静靖郡菌峻竣骏浚
tɕʰ[1]卿轻氢倾亲清青钦[2]晴情秦琴禽擒勤芹裙群[3]顷请寝[5]庆亲{~家}
ɕ[1]欣馨心辛新薪星腥熏醺薰勋猩蜻[2]行形邢刑型寻旬洵荀循巡驯[5]训驯讯汛迅殉逊
∅[1]音因姻阴荫殷应{~当}鹰莺英婴樱鹦缨蝇[2]淫寅吟龈银垠迎赢嬴莹萤营盈云匀[3]影颖饮引隐瘾映陨允[5]印应{答~}运晕孕蕴愠韵

#uən
k[3]滚[5]棍
kʰ[1]昆琨坤[3]捆[5]困
x[1]昏婚荤[2]浑魂馄横混[5]混{~日子}
tʂ[3]准
tʂʰ[1]春椿[3]蠢
ʂ[2]纯淳醇[5]顺瞬舜
ʐ[5]闰润
∅[1]温瘟[2]文蚊纹雯闻[2]稳吻刎[5]问紊

#oŋ
t[1]冬东[3]董懂[5]动冻栋洞
tʰ[1]通[2]童潼瞳同铜仝筒彤[3]桶统捅[5]痛
l[2]龙笼聋咙隆茏农脓浓[3]垄拢陇[5]弄
k[1]宫工攻功公蚣弓躬恭[3]拱巩汞[5]共供贡
kʰ[1]空[3]恐孔[5]空{~闲}控
x[1]轰烘[2]红洪鸿宏弘泓[3]哄
tʂ[1]中钟忠盅衷终[3]肿家窘种{~类}[5]中{~暑}仲种众重
tʂʰ[1]充冲忡憧舂[2]虫重{~复}[3]宠
ʂ[3]悚
ts[1]宗踪棕鬃[3]总[5]粽综纵
tsʰ[1]聪葱囱匆[2]崇从丛
s[1]松淞嵩[5]送宋诵颂讼
∅[1]翁嗡[5]瓮

#ioŋ
ɕ[1]凶匈兄[2]雄熊
∅[1]雍拥[2]戎绒茸荣庸容蓉[3]冗永泳[5]用佣

#ʅˀ
tʂ[7]执汁只窒织职直殖掷质侄
tʂʰ[7]吃尺赤斥叱
ʂ[7]十什拾实室食蚀石适释湿失
ʐ[7]日肏

#iˀ
p[7]逼鼻必弼枇笔碧壁滗
pʰ[7]劈霹癖辟僻
m[7]密蜜觅
t[7]滴嫡笛迪敌狄涤的
tʰ[7]踢剔惕
l[7]立粒笠溺力律栗逆溧率{效~}
tɕ[7]急激及级极棘吉击给{供~}桔局菊掬鞠积脊迹绩寂集即鲫辑籍
tɕʰ[7]泣乞曲蛐屈七漆膝戚缉
ɕ[7]吸隙蓄畜旭戌恤习袭息熄媳悉昔惜夕锡席析
∅[7]一益溢邑揖逸迹佚奕译易{交~}液腋

#uˀ
p[7]不
pʰ[7]卜扑荸濮仆
m[7]木沐目穆睦
f[7]福幅蝠佛复腹馥覆服伏
t[7]督毒笃啄{~米}
tʰ[7]秃突凸
l[7]禄碌绿鹿麓辘陆戮六
k[7]骨
kʰ[7]哭酷窟
x[7]忽惑获或𣝗{桃~}笏{~板，即烧饼}
tʂ[7]竹筑烛浊镯嘱祝啄逐粥轴妯
tʂʰ[7]触簇黍
ʂ[7]叔熟孰赎属术述
ts[7]卒足
tsʰ[7]畜{~牲}促族猝撮
s[7]俗束速肃宿粟续

#oˀ
p[7]八拔跋
m[7]抹
f[7]法乏发伐筏阀罚
t[7]搭答瘩达
tʰ[7]塌榻沓踏塔獭
l[7]纳捺腊蜡辣
x[7]匣
tʂ[7]闸炸眨铡扎札
tʂʰ[7]插
ts[7]匝咂砸杂
tsʰ[7]察擦
∅[7]阿

#ioˀ
tɕ[7]夹颊甲
Tɕʰ[7]掐恰洽
ɕ[7]狭峡辖瞎
∅[7]鸭押压

#uoˀ
k[7]括刮
x[7]滑猾划{计~}
∅[7]挖袜

#ʊˀ
p[7]钵拨剥驳脖博搏箔簿帛卜
pʰ[7]泼瀑渤勃
m[7]末沫莫漠寞茉
t[7]夺铎
tʰ[7]脱托拓
l[7]诺洛落络烙虐疟略乐{快~}
k[7]割各阁搁鸽
kʰ[7]瞌磕壳
x[7]豁霍鹤喝活合盒
tʂ[7]卓桌捉着酌爵嚼作凿
tʂʰ[7]绰戮雀鹊
ʂ[7]说烁朔硕勺削
s[7]缩索嗦
∅[7]恶噩鳄鄂厄扼

#iʊˀ
tɕ [7]脚
tɕʰ[7]却确
ɕ [7]学
∅[7]药约若钥弱岳乐{音~}

#ieˀ
p[7]鳖憋蹩别瘪
pʰ[7]撇瞥
m[7]蔑篾灭
t [7]跌迭叠碟
tʰ[7]帖贴铁牒蝶谍
l[7]捏涅聂镊蹑烈列劣孽猎
tɕ [7]决诀倔绝揭结诘劫杰竭接截睫捷
tɕʰ [7]怯缺切窃妾
ɕ [7]血雪薛蓄
∅ [7]叶业页月曰越粤悦阅

#ɛˀ
p[7]北白柏伯百
pʰ[7]拍迫泊舶魄
m[7]麦脉陌墨默
t[7]得德
tʰ[7]特
k[7]格骼革隔
kʰ[7]克刻客
x[7]黑骇核吓
tʂ[7]折哲浙则仄贼
tʂʰ[7]彻撤拆
ʂ[7]舌设
ts[7]摘择泽责窄
tsʰ[7]侧恻策册
s[7]涩瑟塞啬穑色虱
ŋ[7]额

#uɛˀ
k[7]国郭廓
kʰ[7]阔
