cid	cʰaracter	initian	finan	tone	note
111	竖	ɕ	y	455	
112	树	ɕ	y	455	
113	句	tɕ	y	455	
114	区	tɕʰ	y	24	
115	遇	∅	y	455	
116	雨	∅	y	42	
117	芋	∅	y	455	
118	裕	∅	y	455	
119	胎	tʰ	ai	24	
120	台	tʰ	ai	212	
	抬	tʰ	ai	212	
	太	tʰ	ai	455	
1212	袋	t	ai	455	
	奶	n	ai	24	
122	来	n	ai	212	
	乃	n	ai	42	
	奈	n	ai	455	
123	菜	tsʰ	ai	455	
	猜	tsʰ	ai	24	
	才	tsʰ	ai	212	
124	财	tsʰ	ai	212	
	踩	tsʰ	ai	42	
125	该	k	ai	24	
126	改	k	ai	42	
127	开	kʰ	ai	24	
	揩	kʰ	ai	24	
	楷	kʰ	ai	42	
	概	kʰ	ai	455	
	孩	x	ai	212	
128	海	x	ai	42	
	挨	ŋ	ai	24	
	呆	ŋ	ai	212	
129	爱	ŋ	ai	455	
130	贝	p	ei	455	
	呆	t	ai	24	
	歹	t	ai	42	
	代	t	ai	455	
131	带	t	ai	455	
132	盖	k	ai	455	
133	害	x	ai	455	
134	拜	p	ai	455	
1455	排	pʰ	ai	212	
136	埋	m	ai	212	
137	戒	k	ai	455	
138	摆	p	ai	42	
139	派	pʰ	ai	455	
140	牌	pʰ	ai	212	
141	买	m	ai	42	
142	卖	m	ai	455	
	栽	ts	ai	24	
	宰	ts	ai	42	
	再	ts	ai	455	
143	柴	tsʰ	ai	212	
	筛	s	ai	24	
144	晒	s	ai	455	
145	街	k	ai	24	
146	解	k	ai	42	
147	鞋	x	ai	212	
148	蟹	k	a	212	
149	矮	ŋ	ai	42	
150	败	p	ai	455	
151	币	p	i	455	
152	制	ts	ɿ	455	
153	世	s	ɿ	455	
154	艺	∅	i	455	
	眯	m	i	24	
	秘	m	i	212	
155	米	m	i	42	
	谜	m	i	455	
156	低	t	i	24	
	敌	t	i	212	
	底	t	i	42	
157	梯	tʰ	i	24	
	体	tʰ	i	42	
	题	tʰ	i	212	
158	剃	tʰ	i	455	
159	弟	t	i	455	
160	递	t	i	455	
161	泥	n	i	212	
162	犁	n	i	212	
163	西	ɕ	i	24	
164	洗	ɕ	i	42	
165	鸡	tɕ	i	24	
166	溪	tɕʰ	i	24	
167	契	tɕʰ	i	455	
168	系	ɕ	i	455	
169	杯	p	ei	24	
	辈	p	ei	455	
170	配	pʰ	ei	455	
171	赔	pʰ	ei	212	
	培	pʰ	ei	212	
172	背	p	ei	455	
173	煤	m	ei	212	
	每	m	ei	42	
174	妹	m	ei	455	
175	对	t	ei	455	
176	雷	n	ei	212	
177	罪	tɕ	yei	455	
178	碎	tsʰ	uei	455	
179	灰	f	ei	24	
180	回	f	ei	212	
	悔	f	ei	42	
181	外	∅	uai	455	
	崴	∅	uai	42	
182	会	f	ei	455	
	乖	k	uai	24	
183	怪	k	uai	455	
184	块	kʰ	uai	42	
185	怀	x	uai	212	
186	坏	x	uai	455	
	怀	f	ai	212	
	坏	f	ai	455	
187	拐	k	uai	42	
188	挂	k	ua	455	
	夸	kʰ	ua	24	
	垮	kʰ	ua	42	
	跨	kʰ	ua	455	
189	歪	∅	uai	24	
190	画	x	ua	455	
191	快	kʰ	uai	455	
192	话	f	a	455	
193	岁	ɕ	yei	455	
194	卫	∅	uei	455	
195	肺	f	ei	455	
196	桂	k	uei	455	
197	碑	p	ei	24	
198	皮	pʰ	i	212	
199	被	p	ei	455	
200	紫	ts	ɿ	42	
201	刺	tsʰ	ɿ	455	
202	知	ts	ɿ	24	
203	池	tsʰ	ɿ	212	
204	纸	ts	ɿ	42	
205	儿	∅	e̞	212	
206	寄	tɕ	i	455	
207	骑	tɕʰ	i	212	
208	蚁	∅	in	42	
209	义	n	i	455	白
209	义	∅	i	455	文
2120	戏	ɕ	i	455	
2121	移	∅	i	212	
2122	比	p	i	42	
	避	p	i	455	
2123	屁	pʰ	i	455	
2124	鼻	p	i	212	
2125	眉	m	i	212	
2126	地	t	i	455	
2127	梨	n	i	212	
2128	资	ts	ɿ	24	
	私	s	ɿ	24	
2129	死	s	ɿ	42	
	示	s	ɿ	455	
220	四	s	ɿ	455	
2212	迟	tsʰ	ɿ	212	
222	师	s	ɿ	24	
223	指	ts	ɿ	42	
224	二	∅	e̞	455	
225	饥	tɕ	i	24	
226	器	tɕʰ	i	455	
227	姨	∅	i	212	
228	李	n	i	42	
229	子	ts	ɿ	42	
	支	ts	ɿ	24	
230	字	ts	ɿ	455	
	只	ts	ɿ	42	
231	丝	s	ɿ	24	
232	祠	tsʰ	ɿ	212	
233	寺	s	ɿ	455	
234	治	ts	ɿ	455	
2455	柿	tsʰ	ɿ	455	
236	事	s	ɿ	455	
237	使	s	ɿ	42	
238	试	s	ɿ	455	
239	时	s	ɿ	212	
240	市	s	ɿ	455	
241	耳	∅	e̞	42	
242	记	tɕ	i	455	
243	棋	tɕʰ	i	212	
244	喜	ɕ	i	42	
	细	ɕ	i	24	
245	意	∅	i	455	
	以	∅	i	42	
246	几	tɕ	i	42	
247	气	tɕʰ	i	455	
248	希	ɕ	i	24	
249	衣	∅	i	24	
250	嘴	tɕ	yei	42	
251	随	ɕ	yei	212	
252	吹	tɕʰ	yei	24	
253	垂	tɕʰ	yei	212	
254	规	k	uei	24	
255	亏	kʰ	uei	24	
	奎	kʰ	uei	212	
	傀	kʰ	uei	42	
	溃	kʰ	uei	455	
256	跪	k	uei	455	
257	危	∅	uei	212	
258	类	n	ei	455	
259	醉	tɕ	yei	42	
260	追	tɕ	yei	24	
261	锤	tsʰ	uei	212	
262	水	ɕ	yei	42	
263	龟	k	uei	24	
264	季	tɕ	i	455	
265	柜	k	uei	455	
266	位	∅	uei	455	
267	飞	f	ei	24	
268	费	f	ei	455	
269	肥	f	ei	212	
270	尾	∅	uei	42	
271	味	∅	uei	455	
	归	k	uei	24	
272	鬼	k	uei	42	
273	贵	k	uei	455	
274	围	∅	uei	212	
275	胃	∅	uei	455	
276	宝	p	ao	42	
277	抱	p	ao	42	
278	毛	m	ao	212	
279	帽	m	ao	455	
280	刀	t	ao	24	
281	讨	tʰ	ao	42	
282	桃	tʰ	ao	212	
283	道	t	ao	455	
284	脑	n	ao	42	
285	老	n	ao	42	
286	早	ts	ao	42	
287	灶	ts	ao	455	
288	草	tsʰ	ao	42	
289	糙	tsʰ	ao	455	
290	造	ts	ao	455	
291	嫂	s	ao	42	
292	高	k	ao	24	
293	靠	kʰ	ao	455	
294	熬	ŋ	ao	212	
295	好	x	ao	42	
296	号	x	ao	455	
297	包	p	ao	24	
298	饱	p	ao	42	
299	炮	pʰ	ao	455	
300	猫	m	ao	24	
301	闹	n	ao	455	
302	罩	ts	ao	455	
303	抓	tɕ	ya	24	
	爪	tɕ	ya	42	
304	找	ts	ao	42	
305	抄	tsʰ	ao	24	
306	交	tɕ	iao	24	
307	敲	kʰ	ao	24	
308	孝	ɕ	iao	455	
309	校	ɕ	iao	455	
310	表	p	iao	42	
311	票	pʰ	iao	455	
312	庙	m	iao	455	
313	焦	tɕ	iao	24	
314	小	ɕ	iao	42	
315	笑	ɕ	iao	455	
316	朝	tsʰ	ao	212	
317	照	ts	ao	455	
318	烧	s	ao	24	
319	绕	z	ao	42	
320	桥	tɕʰ	iao	212	
3212	轿	tɕ	iao	455	
322	腰	∅	iao	24	
323	要	∅	iao	455	
324	摇	∅	iao	212	
325	鸟	n	iao	42	
326	钓	t	iao	455	
327	条	tʰ	iao	212	
328	料	n	iao	455	
329	箫	ɕ	iao	24	
330	叫	tɕ	iao	455	
	模	m	uᶹ	212	
331	母	m	uᶹ	42	
	幕	m	uᶹ	455	
332	抖	tʰ	əu	42	
333	偷	tʰ	əu	24	
334	头	tʰ	əu	212	
3455	豆	t	əu	455	
336	楼	n	əu	212	
337	走	ts	əu	42	
338	凑	t	əu	455	白
338	凑	tsʰ	əu	455	文
339	钩	k	əu	24	
340	狗	k	əu	42	
341	够	k	əu	455	
342	口	kʰ	əu	42	
343	藕	ŋ	əu	42	
344	后	x	əu	455	
345	厚	x	əu	455	
346	富	f	uᶹ	455	
347	副	f	uᶹ	455	
	夫	f	uᶹ	24	
348	浮	f	uᶹ	212	
	胡	f	uᶹ	212	
	辅	f	uᶹ	42	
349	妇	f	uᶹ	455	
4550	流	n	iəu	212	
4551	酒	tɕ	iəu	42	
4552	修	ɕ	iəu	24	
4553	袖	ɕ	iəu	455	
4554	抽	tsʰ	əu	24	
4555	绸	tsʰ	əu	212	
4556	愁	tsʰ	əu	212	
4557	瘦	s	əu	455	
4558	州	ts	əu	24	
4559	臭	tsʰ	əu	455	
360	手	s	əu	42	
361	寿	s	əu	455	
362	九	tɕ	iəu	42	
363	球	tɕʰ	iəu	212	
364	舅	tɕ	iəu	455	
365	旧	tɕ	iəu	455	
366	牛	n	iəu	212	
367	休	ɕ	iəu	24	
368	优	∅	iəu	24	
369	有	∅	iəu	42	
370	右	∅	iəu	455	
371	油	∅	iəu	212	
372	丢	t	əu	24	白
372	丢	t	iəu	24	文
373	幼	∅	iəu	455	
374	贪	t	an	24	
375	潭	tʰ	an	212	
376	南	n	an	212	
377	蚕	tsʰ	an	212	
378	感	k	an	42	
379	含	x	an	212	
380	暗	ŋ	an	455	
381	搭	t	a	212	
382	踏	tʰ	a	212	
383	拉	n	a	24	
	拿	n	a	212	
	哪	n	a	42	
	那	n	a	455	
	渣	ts	a	24	
384	杂	ts	a	212	
	咱	ts	a	212	
	炸	ts	a	455	
385	鸽	k	o	212	
386	盒	x	o	212	
387	胆	t	an	42	
388	毯	tʰ	an	42	
389	淡	t	an	455	
390	蓝	n	an	212	
391	三	s	an	24	
392	甘	k	an	24	
393	敢	k	an	42	
394	喊	x	an	42	
395	塔	tʰ	a	212	
396	蜡	n	a	212	
397	赚	tɕ	yɛn	455	
398	杉	s	a	24	
399	减	tɕ	iɛn	42	
400	咸	x	an	212	
401	插	tsʰ	a	212	
402	闸	ts	a	212	
403	夹	k	a	212	
403	夹	tɕ	ia	212	
404	衫	s	an	24	
405	监	tɕ	iɛn	24	
	恰	tɕʰ	ia	212	
407	甲	tɕ	ia	212	
408	鸭	∅	ia	212	
409	黏	n	ia	24	
410	尖	tɕ	iɛn	24	
411	签	tɕʰ	in	24	
412	占	ts	an	455	
413	染	z	an	42	
414	钳	tɕʰ	iɛn	212	
415	验	n	iɛn	455	
416	险	ɕ	iɛn	42	
417	厌	∅	iɛn	455	
418	炎	∅	iɛn	24	白
418	炎	∅	iɛn	212	文
419	盐	∅	iɛn	212	
420	接	tɕ	ie̞	212	
4212	折	ts	e̞	212	
422	叶	∅	ie̞	212	
423	剑	tɕ	iɛn	455	
424	欠	tɕʰ	iɛn	455	
425	严	n	iɛn	212	
426	业	n	ie̞	212	
427	点	t	iɛn	42	
428	店	t	iɛn	455	
429	添	tʰ	iɛn	24	
430	甜	tʰ	iɛn	212	
431	念	n	iɛn	455	
432	嫌	ɕ	iɛn	212	
433	跌	t	ie̞	212	
434	贴	tʰ	ie̞	212	
	爹	t	ie̞	24	
4455	碟	t	ie̞	212	
436	协	ɕ	ie̞	212	
437	犯	f	an	455	
438	法	f	a	212	
439	品	pʰ	in	42	
440	林	n	in	212	
441	浸	tɕʰ	in	455	
442	心	ɕ	in	24	
443	寻	ɕ	yn	212	
444	沉	tsʰ	ən	212	
445	参	s	ən	24	
446	针	ts	ən	24	
447	深	s	ən	24	
448	任	z	ən	455	
449	金	tɕ	in	24	
450	琴	tɕʰ	in	212	
451	音	∅	in	24	
452	立	n	i	212	
453	集	tɕ	i	212	
454	习	ɕ	i	212	
455	汁	ts	ɿ	24	
456	十	s	ɿ	212	
457	入	∅	y	212	
458	急	tɕ	i	212	
	挤	tɕ	i	42	
459	及	tɕ	i	212	
460	吸	ɕ	i	212	
461	单	t	an	24	
462	炭	tʰ	an	455	
463	弹	tʰ	an	212	
464	难	n	an	212	
465	兰	n	an	212	
466	懒	n	an	42	
467	烂	n	an	455	
468	伞	s	an	42	
469	肝	k	an	24	
470	看	kʰ	an	455	
471	岸	ŋ	an	455	
472	汉	x	an	455	
473	汗	x	an	455	
474	安	ŋ	an	24	
475	达	t	a	212	
476	辣	n	a	212	
477	擦	tsʰ	a	212	
478	割	k	o	212	
479	渴	kʰ	o	212	
480	扮	p	an	455	
481	办	p	an	455	
482	铲	tɕʰ	yɛn	42	
483	山	s	an	24	
484	产	tsʰ	an	42	
485	间	k	an	24	白
485	间	tɕ	iɛn	24	文
486	眼	∅	iɛn	42	
487	限	ɕ	iɛn	455	
488	八	p	a	212	
489	扎	ts	a	212	
490	杀	s	a	212	
491	班	p	an	24	
492	板	p	an	42	
493	慢	m	an	455	
494	奸	tɕ	iɛn	24	
495	颜	∅	iɛn	212	
496	瞎	ɕ	ia	212	
497	变	p	iɛn	455	
498	骗	pʰ	iɛn	455	
499	便	p	iɛn	455	
500	棉	m	iɛn	212	
501	面	m	iɛn	455	
502	连	n	iɛn	212	
503	剪	tɕ	iɛn	42	
504	浅	tɕʰ	iɛn	42	
505	钱	tɕʰ	iɛn	212	
506	鲜	ɕ	iɛn	24	
507	线	ɕ	iɛn	455	
508	缠	tsʰ	an	212	
509	战	ts	an	455	
510	扇	s	an	455	
511	善	s	an	455	
512	件	tɕ	iɛn	455	
513	延	∅	iɛn	212	
514	别	p	ie̞	212	
	撇	pʰ	ie̞	212	
515	灭	m	ie̞	212	
516	列	n	ie̞	212	
517	撤	tsʰ	e̞	212	
518	舌	s	e̞	212	
519	设	s	e̞	212	
520	热	z	e̞	212	
5212	杰	tɕ	ie̞	212	
522	孽	n	ie̞	212	
523	建	tɕ	iɛn	455	
524	健	tɕ	iɛn	455	
525	言	∅	iɛn	212	
526	歇	ɕ	ie̞	212	
527	扁	p	iɛn	42	
528	片	pʰ	iɛn	455	
529	面	m	iɛn	455	
530	典	t	iɛn	42	
531	天	tʰ	iɛn	24	
532	田	tʰ	iɛn	212	
533	垫	t	iɛn	455	
534	年	n	iɛn	212	
5455	莲	n	iɛn	212	
536	前	tɕʰ	iɛn	212	
537	先	ɕ	iɛn	24	
538	肩	tɕ	iɛn	24	
539	见	tɕ	iɛn	455	
540	牵	tɕʰ	iɛn	24	
541	显	ɕ	iɛn	42	
542	现	ɕ	iɛn	455	
543	烟	∅	iɛn	24	
544	憋	p	ie̞	24	
545	篾	m	ie̞	212	
546	铁	tʰ	ie̞	212	
547	捏	n	ie̞	212	
548	节	tɕ	ie̞	212	
549	切	tɕʰ	ie̞	212	
	且	tɕʰ	ie̞	42	
550	截	tɕ	ie̞	212	
551	结	tɕ	ie̞	212	
552	搬	p	an	24	
553	半	p	an	455	
554	判	pʰ	an	455	
555	盘	pʰ	an	212	
556	满	m	an	42	
557	端	t	uan	24	
558	短	t	uan	42	
559	断	t	uan	455	
560	暖	n	uan	42	
561	乱	n	uan	455	
562	酸	ɕ	yɛn	24	
563	算	ɕ	yɛn	455	
564	官	k	uan	24	
565	宽	kʰ	uan	24	
566	欢	f	an	24	
567	完	∅	uan	212	
568	换	f	an	455	
569	碗	∅	uan	42	
570	拨	p	o	212	
571	泼	pʰ	o	212	
572	末	m	o	212	
573	脱	tʰ	o	212	
	妥	tʰ	o	42	
	唾	tʰ	o	455	
574	夺	t	o	212	
	科	kʰ	o	24	
575	阔	kʰ	o	212	
	扩	kʰ	ue̞	212	
576	活	x	o	212	
577	顽	∅	uan	212	
578	滑	f	a	212	
579	挖	∅	ua	24	
580	闩	ɕ	yɛn	455	
581	关	k	uan	24	
582	惯	k	uan	455	
583	还	f	an	212	
584	还	x	ai	212	
585	弯	∅	uan	24	
	挼	∅	ya	212	揉，～面做馒头等
586	刷	ɕ	ya	212	
587	刮	k	ua	212	
588	全	tɕʰ	yɛn	212	
589	选	ɕ	iɛn	42	
590	转	tɕ	yɛn	42	
591	传	tɕʰ	yɛn	212	
592	传	tɕ	yɛn	455	
593	砖	tɕ	yɛn	24	
594	船	tɕʰ	yɛn	212	
595	软	∅	yɛn	42	
596	卷	tɕ	yɛn	42	
597	圈	tɕʰ	yɛn	24	
598	权	tɕʰ	yɛn	212	
599	圆	∅	yɛn	212	
600	院	∅	yɛn	455	
601	铅	tɕʰ	iɛn	24	
602	绝	tɕ	ye̞	212	
603	雪	ɕ	ie̞	212	
604	反	f	an	42	
605	翻	f	an	24	
606	饭	f	an	455	
607	晚	∅	uan	42	
608	万	∅	uan	455	
609	劝	tɕʰ	yɛn	455	
610	原	∅	yɛn	212	
611	冤	∅	yɛn	24	
612	园	∅	yɛn	212	
613	远	∅	yɛn	42	
614	发	f	a	212	
615	罚	f	a	212	
616	袜	∅	ua	212	
617	月	∅	ye̞	212	
618	越	∅	ye̞	212	
619	县	ɕ	iɛn	455	
620	决	tɕ	ye̞	212	
6212	缺	tɕʰ	ye̞	212	
622	血	ɕ	ie̞	212	
623	吞	tʰ	ən	24	
624	根	k	ən	24	
625	恨	x	ən	455	
626	恩	ŋ	ən	24	
627	贫	pʰ	in	212	
628	民	m	in	212	
629	邻	n	in	212	
630	进	tɕ	in	455	
631	亲	tɕʰ	in	24	
632	新	ɕ	in	24	
633	镇	ts	ən	455	
634	陈	tsʰ	ən	455	
6455	震	ts	ən	455	
636	神	s	ən	212	
637	身	s	ən	24	
638	辰	tsʰ	ən	212	
639	人	z	ən	212	
640	认	z	ən	455	
641	紧	tɕ	in	42	
642	银	∅	in	212	
643	印	∅	in	455	
644	引	∅	in	42	
645	笔	p	i	212	
646	匹	pʰ	i	212	
647	密	m	i	212	
648	栗	n	i	212	
649	七	tɕʰ	i	212	
650	侄	ts	ɿ	212	
651	虱	s	e̞	212	
652	实	s	ɿ	212	
653	失	s	ɿ	212	
654	日	z	ɿ	212	
655	吉	tɕ	i	212	
656	一	∅	i	212	
657	筋	tɕ	in	24	
658	劲	tɕ	in	455	
659	勤	tɕʰ	in	212	
660	近	tɕ	in	455	
661	隐	∅	in	42	
662	本	p	ən	42	
663	盆	pʰ	ən	212	
664	门	m	ən	212	
665	墩	t	uən	24	
666	嫩	n	ən	455	
667	村	tsʰ	ən	24	
668	寸	tsʰ	ən	24	
669	蹲	t	ən	24	
670	孙	s	ən	24	
671	滚	k	uən	42	
672	困	kʰ	uən	455	
673	婚	f	ən	24	
674	魂	f	ən	212	
675	温	∅	uən	24	
676	卒	ts	əu	212	
677	骨	k	uᶹ	212	
678	轮	n	ən	212	
679	俊	tɕ	yn	455	
680	笋	s	ən	42	
681	准	tɕ	yn	42	
682	春	tɕʰ	yn	24	
683	唇	tɕʰ	yn	212	
684	顺	ɕ	yn	455	
685	纯	tɕʰ	yn	212	
686	闰	∅	yn	455	
687	均	tɕ	yn	24	
688	匀	∅	yn	212	
689	律	n	i	212	
690	出	tɕʰ	y	212	
691	橘	tɕ	y	212	
692	分	f	ən	24	
693	粉	f	ən	42	
694	粪	f	ən	455	
695	坟	f	ən	212	
696	蚊	v	ən	212	
697	问	v	ən	455	
698	军	tɕ	yn	24	
699	裙	tɕʰ	yn	212	
700	熏	ɕ	yn	24	
701	云	∅	yn	212	
702	运	∅	yn	455	
703	佛	f	uᶹ	212	
704	物	v	uᶹ	212	
705	帮	p	aŋ	24	
706	忙	m	aŋ	42	
707	党	t	aŋ	42	
708	汤	tʰ	aŋ	24	
709	糖	tʰ	aŋ	212	
710	浪	n	aŋ	455	
711	仓	tsʰ	aŋ	24	
712	钢	k	aŋ	24	
713	糠	kʰ	aŋ	24	
714	薄	p	o	212	
715	摸	m	o	24	
	抹	m	o	42	
	魔	m	o	212	
716	托	tʰ	o	212	
717	落	n	o	212	
718	作	ts	o	212	
719	索	s	o	212	
720	各	k	o	212	
7212	鹤	x	o	455	
722	恶	ŋ	o	212	
723	娘	n	iaŋ	212	
724	两	n	iaŋ	42	
725	亮	n	iaŋ	455	
726	浆	tɕ	iaŋ	24	
727	抢	tɕʰ	iaŋ	42	
728	匠	tɕ	iaŋ	455	
729	想	ɕ	iaŋ	42	
730	像	tɕʰ	iaŋ	455	白
730	像	ɕ	iaŋ	455	文
731	张	ts	aŋ	24	
732	长	tsʰ	aŋ	212	
733	装	tɕ	yaŋ	24	
734	壮	tɕ	yaŋ	455	
7455	疮	tɕʰ	yaŋ	24	
736	床	tɕʰ	yaŋ	212	
737	霜	ɕ	yaŋ	24	
738	章	ts	aŋ	24	
739	厂	tsʰ	aŋ	42	
740	唱	tsʰ	aŋ	455	
741	伤	s	aŋ	24	
742	尝	tsʰ	aŋ	212	
743	上	s	aŋ	455	
744	让	z	aŋ	455	
745	姜	tɕ	iaŋ	24	
746	响	ɕ	iaŋ	42	
747	向	ɕ	iaŋ	455	
748	秧	∅	iaŋ	24	
749	痒	∅	iaŋ	42	
750	样	∅	iaŋ	455	
751	雀	tɕʰ	io	455	
752	削	ɕ	io	212	
753	着	ts	ao	212	
754	勺	s	ao	212	
755	弱	z	o	212	
756	脚	tɕ	io	212	
	确	tɕʰ	io	212	
757	约	∅	io	212	
758	药	∅	io	212	
759	光	k	uaŋ	24	
760	慌	f	aŋ	24	
761	黄	f	aŋ	212	
762	郭	k	o	212	
763	锅	k	o	24	
764	方	f	aŋ	24	
765	放	f	aŋ	455	
766	纺	f	aŋ	42	
767	房	f	aŋ	212	
768	防	f	aŋ	212	
769	网	∅	uaŋ	42	
770	筐	kʰ	uaŋ	24	
771	狂	kʰ	uaŋ	42	
772	王	∅	uaŋ	212	
773	旺	∅	uaŋ	455	
774	缚	f	uᶹ	455	
775	绑	p	aŋ	42	
776	胖	pʰ	aŋ	455	
777	棒	p	aŋ	455	
778	桩	tɕ	yaŋ	24	
779	撞	tɕ	yaŋ	455	
780	窗	tsʰ	aŋ	24	
781	双	ɕ	yaŋ	24	
782	江	tɕ	iaŋ	24	
783	讲	tɕ	iaŋ	42	
784	降	ɕ	iaŋ	212	
785	项	x	aŋ	455	白
785	项	ɕ	iaŋ	455	文
786	剥	p	o	212	
787	桌	ts	o	212	
788	镯	ts	o	212	
789	角	k	o	212	白
789	角	tɕ	io	212	文
790	壳	kʰ	o	212	
791	学	ɕ	io	212	
792	握	ŋ	o	212	
793	朋	pʰ	oŋ	212	
794	灯	t	ən	24	
795	等	t	ən	42	
796	凳	t	ən	455	
797	藤	tʰ	ən	212	
798	能	n	ən	212	
799	层	tsʰ	ən	212	
800	僧	s	ən	24	
801	肯	kʰ	ən	42	
802	北	p	e̞	212	
803	墨	m	e̞	212	
804	得	t	e̞	212	
	德	t	e̞	212	
805	特	tʰ	e̞	212	
	勒	n	e̞	212	
806	贼	ts	e̞	212	
807	塞	s	e̞	212	
808	刻	kʰ	e̞	212	
809	黑	x	e̞	212	
810	冰	p	in	24	
811	证	ts	ən	455	
812	秤	tsʰ	ən	455	
813	绳	ɕ	yn	212	
814	剩	s	ən	455	
815	升	s	ən	24	
816	兴	ɕ	in	455	
817	蝇	∅	in	24	
818	逼	p	i	212	
819	力	n	i	212	
820	息	ɕ	i	212	
8212	直	ts	ɿ	212	
822	侧	tsʰ	e̞	212	
823	测	tsʰ	e̞	212	
824	色	s	e̞	212	
825	织	ts	ɿ	212	
826	食	s	ɿ	212	
827	式	s	ɿ	455	
