字	声	韵	调	
厦	ç	ia	去声	
下	ç	ia	去声	
夏	ç	ia	去声	
暇	ç	ia	去声	
丫		ia	阴平	
哑		ia	上声	
亚		ia	上声	
姐	c	iɛ	上声	“姊”读/tɕiɛ/上声，此字读团音不可解
借	c	iɛ	去声	
且	cʰ	iɛ	上声	
些	ɕ	iɛ	阴平	
写	ɕ	iɛ	上声	
泻	ɕ	iɛ	去声	
卸	ɕ	iɛ	去声	
邪	ɕ	iɛ	去声	
斜	ɕ	iɛ	去声	
谢	ɕ	iɛ	去声	
爹	t	iɛ	阴平	
遮	tʂ	ɤ	阴平	
者	tɕ	iɛ	上声	
车	tɕʰ	iɛ	阴平	
扯	tɕʰ	iɛ	上声	
蛇	ɕ	iɛ	上声	
射	ɕ	iɛ	去声	
麝	ɕ	iɛ	去声	
奢	ɕ	iɛ	阳平	
赊	ɕ	iɛ	阴平	
捨	ɕ	iɛ	去声	
赦	ɕ	iɛ	去声	
舍	ɕ	iɛ	去声	
余	s	ɤ	去声	
社	ɕ	iɛ	去声	
惹		iɛ	上声	
爷		iɛ	阴平	
也		iɛ	上声	
野		iɛ	上声	
夜		iɛ	去声	
耍	ʂ	ua	上声	
瓜	k	ua	阴平	
寡	k	ua	上声	
剐	k	ua	上声	
夸	kʰ	ua	阳平	
跨	kʰ	ua	阴平	
娃		ua	去声	
瓦		ua	上声	
花	x	ua	阴平	
化	x	ua	去声	
华	x	ua	去声	
划	x	ua	去声	
华	x	ua	去声	
蛙		ua	去声	
洼		ua	阴平	
补	p	u	上声	
谱	pʰ	u	上声	
布	p	u	去声	
铺	pʰ	u	去声	
普	pʰ	u	上声	
铺	pʰ	u	去声	
蒲	pʰ	u	阳平	
脯	pʰ	u	上声	
部	p	u	去声	
簿	p	u	去声	
步	p	u	去声	
捕	pʰ	u	上声	
模	m	uo	阴平	
摸	m	uo	阴平	
摹	m	uo	阴平	
慕	m	u	去声	
墓	m	u	去声	
幕	m	u	去声	
都	t	u	阴平	
都	t	ou	阴平	
堵	t	u	上声	
赌	t	u	上声	
肚	t	u	去声	
妒	t	u	去声	
土	tʰ	u	上声	
吐	tʰ	u	上声	
兔	tʰ	u	去声	
徒	tʰ	u	去声	
菩	pʰ	u	去声	
屠	tʰ	u	阳平	
途	tʰ	u	阳平	
涂	tʰ	u	阳平	
图	tʰ	u	去声	
杜	t	u	去声	
肚	t	u	去声	
度	t	u	去声	
渡	t	u	去声	
镀	t	u	去声	
奴	n	u	去声	
努	n	u	去声	
怒	n	u	去声	
卢	l	u	阳平	
炉	l	u	阴平	
芦	l	u	阴平	
鲁	l	u	上声	
橹	l	u	上声	
虏	l	u	上声	
卤	l	u	上声	
路	l	u	去声	
露	l	u	去声	
鹭	l	u	去声	
租	ts	u	阴平	
祖	ts	u	上声	
组	ts	u	阴平	
做	ts	uo	去声	
粗	tsʰ	u	阴平	
醋	tsʰ	u	去声	
苏	s	u	阴平	
酥	s	u	阴平	
素	s	u	去声	
诉	s	u	去声	
塑	s	uo	去声	
嗉	s	uo	去声	
姑	k	u	阴平	
孤	k	u	阴平	
古	k	u	上声	
估	k	u	上声	
股	k	u	上声	
鼓	k	u	上声	
故	k	u	去声	
固	k	u	去声	
雇	k	u	去声	
顾	k	u	去声	
枯	kʰ	u	阴平	
苦	kʰ	u	上声	
库	kʰ	u	去声	
裤	kʰ	u	去声	
吴		u	去声	
梧		u	阳平	
五		u	上声	
午		u	上声	
误		u	去声	
呼	x	u	阴平	
虎	x	u	上声	
浒	x	u	上声	
戽	x	u	去声	
胡	x	u	去声	
湖	x	u	去声	
狐	x	u	去声	
胡	x	u	阴平	
户	x	u	阴平	
沪	x	u	去声	
互	x	u	去声	
护	x	u	去声	
乌		u	去声	
污		u	去声	
恶		u	去声	
女	n	y	上声	
驴	l	y	阴平	
吕	l	y	上声	
旅	l	y	上声	
虑	l	y	去声	
滤	l	y	去声	
蛆	tɕʰ	y	阴平	
絮	ɕ	y	去声	
徐	ɕ	y	去声	
序	ɕ	y	去声	
叙	ɕ	y	去声	
绪	ɕ	y	去声	
猪	c	y	阴平	
著	tʂ	uo	去声	
除	tɕʰ	y	去声	
储	tɕʰ	y	阳平	
阻	ts	u	上声	
楚	tʂʰ	u	上声	
梳	ʂ	u	阴平	
疏	ʂ	u	去声	
蔬	ʂ	u	去声	
所	s	uo	上声	
诸	tʂ	u	去声	
煮	tʂ	u	上声	
处	tɕʰ	y	去声	
杵		u	上声	
书	ɕ	y	阴平	
暑	ɕ	y	上声	
鼠	ɕ	y	上声	
黍	ɕ	y	上声	
庶	ɕ	y	上声	
恕	ʂ	u	去声	
署	ɕ	y	上声	
薯	ɕ	y	上声	
如		y	去声	
汝		y	去声	
居	c	y	阴平	
车	c	y	阳平	
举	c	y	上声	
锯	c	y	去声	
墟	ç	y	阴平	
去	cʰ	y	去声	
渠	c	y	阴平	
巨	c	y	去声	
拒	c	y	去声	
距	c	y	去声	
鱼		y	阴平	
渔		y	阴平	
语		y	上声	
虚	ç	y	阴平	
嘘	ç	y	阴平	
许	ç	y	上声	
于		y	去声	
淤		y	去声	
余		y	去声	
预		y	去声	
夫	f	u	阴平	
肤	f	u	去声	
府	f	u	上声	
腑	f	u	上声	
俯	f	u	上声	
斧	f	u	上声	
敷	f	u	去声	
俘	f	u	去声	
麩	f	u	阴平	
符	f	u	上声	
扶	f	u	去声	
父	f	u	去声	
夫	f	u	去声	
腐	f	u	去声	
辅	f	u	上声	
附	f	u	去声	
无		u	去声	
巫		u	去声	
诬		u	去声	
武		u	上声	
舞		u	上声	
侮		u	去声	
务		u	上声	
雾		u	去声	
缕	l	y	上声	
屡	l	y	上声	
趋	cʰ	y	阴平	
取	tɕʰ	y	上声	
娶	tɕʰ	y	上声	
趣	tɕʰ	y	去声	
聚	tɕy	y	去声	
须	ɕ	y	去声	
需	ɕ	y	去声	
续	ɕ	y	去声	
诛	tʂ	u	阴平	
蛛	tʂ	u	阴平	
株	tʂ	u	阴平	
拄	c	y	上声	
驻	c	y	去声	
注	c	y	去声	
厨	cʰ	y	去声	
柱	c	y	去声	
住	c	y	去声	
数	ʂ	u	去声	
数	ʂ	u	去声	
朱	c	y	阴平	
珠	c	y	阴平	
主	c	y	上声	
注	c	y	去声	
蛀	ts	u	去声	
铸	ts	u	去声	
戍	ɕ	y	去声	
输	ɕ	y	去声	
殊	ɕ	y	去声	
竖	ʂ	u	去声	
树	ɕ	y	去声	
儒		y	上声	
乳		y	上声	
拘	c	y	阴平	
驹	c	y	阴平	
俱	c	y	去声	
句	c	y	去声	
区	cʰ	y	阴平	
驱	cʰ	y	阴平	
衢	c	y	阴平	
具	c	y	去声	
愚		y	上声	
遇		y	去声	
寓		y	去声	
吁		y	去声	
迂		y	去声	
于		y	去声	
盂		y	去声	
雨		y	上声	
宇		y	去声	
禹		y	上声	
芋		y	去声	
榆		y	去声	
喻		y	去声	
裕		y	去声	
呆	t	ai	阴平	
戴	t	ai	去声	
胎	tʰ	ai	阴平	
台	tʰ	ai	去声	
态	tʰ	ai	阴平	
台	tʰ	ai	去声	
苔	tʰ	ai	去声	
抬	tʰ	ai	去声	
待	t	ai	去声	
怠	t	ai	去声	
代	t	ai	去声	
袋	t	ai	去声	
乃	n	ai	上声	
耐	n	ai	去声	
来	l	ai	阴平	
灾	ts	ai	阴平	
栽	ts	ai	去声	
宰	ts	ai	上声	
载	ts	ai	去声	
再	ts	ai	去声	
猜	tsʰ	ai	阴平	
彩	tsʰ	ai	上声	
采	tsʰ	ai	上声	
睬	tsʰ	ai	上声	
菜	tsʰ	ai	去声	
才	tsʰ	ai	去声	
材	tsʰ	ai	去声	
财	tsʰ	ai	去声	
裁	ts	ai	去声	
在	ts	ai	去声	
腮	s	ai	阴平	
赛	s	ai	去声	
凯	kʰ	ai	上声	
碍	n	i	去声	
爱		ai	去声	
沛	pʰ	ei	去声	
带	t	ai	去声	
太	tʰ	ai	去声	
泰	tʰ	ai	去声	
奈	n	ai	上声	
赖	l	ai	去声	
籁	l	ai	去声	
蔡	tsʰ	ai	去声	
盖	k	ai	去声	
害	x	ai	去声	
拜	p	ai	去声	
排	pʰ	ai	去声	
埋	m	ai	阴平	
斋	tʂ	ai	阴平	
豺	tʂʰ	ai	去声	
皆	c	iɛ	去声	
阶	c	iɛ	去声	
秸	c	iɛ	阴平	
介	c	iɛ	去声	
界	c	iɛ	去声	
疥	c	iɛ	去声	
芥	c	iɛ	去声	
届	c	iɛ	去声	
戒	c	iɛ	去声	
摆	p	a	去声	
派	pʰ	ai	去声	
牌	pʰ	ai	去声	
罢	p	a	去声	
稗	p	ei	阴平	
买	m	ai	上声	
卖	m	ai	去声	
奶	n	ai	上声	
债	tʂ	ai	去声	
钗	tʂʰ	ai	阴平	
差	tʂʰ	ai	阴平	
柴	tʂʰ	ai	去声	
筛	ʂ	ai	阴平	
洒	ʂ	ai	上声	
晒	ʂ	ai	去声	
街	c	iɛ	阴平	
解	c	iɛ	上声	
懈	ç	iɛ	上声	
鞋	ç	iɛi	去声	
蟹	ç	iɛi	去声	
矮		ai	上声	
败	p	ai	去声	
迈	m	ai	去声	
寨	tʂ	ai	去声	
蔽	p	i	去声	
敝	p	i	去声	
币	p	i	去声	
毙	p	i	去声	
厉	l	i	去声	
祭	tɕ	i	上声	
际	tɕ	i	上声	
滞	tʂ	ʅ	上声	
制	tɕ	i	上声	
世	ɕ	i	去声	
势	ɕ	i	去声	
誓	ɕ	i	去声	
逝	ɕ	i	去声	
艺		i	去声	
闭	p	i	去声	
批	pʰ	i	阴平	
迷	m	i	去声	
米	m	i	上声	
低	t	i	阴平	
堤	tʰ	i	去声	
底	t	i	上声	
抵	t	i	上声	
帝	t	i	去声	
梯	tʰ	i	阴平	
体	tʰ	i	上声	
替	tʰ	i	去声	
剃	tʰ	i	阴平	
题	tʰ	i	去声	
提	tʰ	i	去声	
蹄	t	i	去声	
嘀	t	i	去声	
弟	t	i	去声	
第	t	i	去声	
递	t	i	去声	
泥	n	i	阴平	
犁	l	i	去声	
黎	l	i	去声	
礼	l	i	上声	
丽	l	i	去声	
挤	tɕ	i	上声	
济	tɕ	i	上声	
妻	tɕʰ	i	阴平	
砌	tɕʰ	iɛ	上声	
齐	tɕʰ	i	去声	
脐	tɕʰ	i	去声	
荠	tɕ	i	去声	
剂	tɕ	i	去声	
西	ɕ	i	阴平	
栖	tɕʰ	i	阴平	
洗	ɕ	i	上声	
细	ɕ	i	去声	
鸡	c	i	阴平	
稽	c	i	阴平	
计	c	i	去声	
继	c	i	去声	
系	ɕ	i	阴平	
启	cʰ	i	上声	
契	cʰ	i	上声	
系	ɕ	i	阴平	
杯	p	ei	阴平	
辈	p	ei	去声	
背	p	ei	去声	
胚	pʰ	ei	阴平	
坯	pʰ	ei	阴平	
配	pʰ	ei	去声	
培	pʰ	ei	去声	
陪	pʰ	ei	去声	
赔	pʰ	ei	去声	
倍	p	ei	去声	
佩	pʰ	ei	去声	
背	p	ei	去声	
梅	m	ei	去声	
媒	m	ei	去声	
煤	m	ei	去声	
每	m	ei	上声	
妹	m	ei	去声	
昧	m	ei	去声	
堆	t	ei	阴平	
对	t	ei	去声	
碓	t	ei	阴平	
推	tʰ	ei	阴平	
腿	tʰ	ei	上声	
退	tʰ	ei	去声	
颓	tʰ	ei	去声	
队	t	ei	去声	
馁	n	ei	上声	
内	n	ei	去声	
雷	l	ei	阴平	
儡	l	ei	上声	
累	l	ei	去声	
催	tsʰ	ei	阴平	
崔	tsʰ	ei	阴平	
罪	ts	ei	去声	
碎	s	ei	去声	
盔	kʰ	uei	阴平	
魁	kʰ	uei	去声	
恢	x	uei	阴平	
傀	kʰ	uei	阳平	
块	kʰ	uai	阳平	
桅		uei	阳平	
灰	x	uei	阴平	
贿	x	uei	阳平	
悔	x	uei	阳平	
晦	x	uei	阳平	
回	x	uei	去声	
茴	x	uei	去声	
汇	x	uei	去声	
溃	kʰ	uei	阴平	
煨		uei	上声	
蜕	tʰ	uo	阳平	
兑	t	uei	去声	
最	ts	uei	去声	
会	kʰ	uai	去声	
外		uai	去声	
会	x	uei	去声	
绘	x	uei	去声	
拽	tʂ	uai	上声	
乖	k	uai	阴平	
怪	k	uai	去声	
块	kʰ	uai	去声	
怀	x	uai	去声	
槐	x	uai	去声	
淮	x	uai	去声	
坏	x	uai	去声	
拐	k	uai	上声	
挂	k	ua	去声	
卦	k	ua	去声	
歪		uai	阴平	
画	x	ua	去声	
蛙		ua	去声	
快	kʰ	uai	去声	
话	x	ua	去声	
脆	tsʰ	uei	去声	
岁	s	uei	去声	
缀	tʂ	uei	去声	
税	ʂ	uei	去声	
卫		uei	去声	
锐	l	uei	上声	
废	f	ei	去声	
肺	f	ei	去声	
秽	x	uei	去声	
桂	k	uei	去声	
慧	x	uei	去声	
碑	p	ei	阴平	
卑	p	ei	阴平	
彼	p	i	去声	
披	pʰ	ei	阴平	
皮	pʰ	i	去声	
疲	pʰ	i	去声	
脾	pʰ	i	上声	
被	p	ei	去声	
避	p	i	上声	
弥	m	i	阳平	
离	l	i	阴平	
紫	ts	ɿ	上声	
此	tsʰ	ɿ	上声	
刺	tsʰ	ɿ	去声	
斯	s	ɿ	阴平	
撕	s	ɿ	阴平	
知	tɕ	i	阴平	
蜘	tɕ	i	阴平	
智	tɕ	i	阴平	
池	tɕʰ	i	去声	
弛	tɕʰ	i	去声	
差	tʂʰ	a	阴平	
支	tʂ	ʅ	阴平	
枝	tʂ	ʅ	阴平	
肢	tʂ	ʅ	阴平	
纸	tʂ	ʅ	上声	
只	tʂ	ʅ	上声	
眵	tʂʰ	ʅ	阴平	
侈	tɕʰ	i	上声	
施	ʂ	ʅ	阴平	
翅	tʂʰ	ʅ	去声	
匙	tʂʰ	ʅ	去声	
是	ʂ	ʅ	去声	
儿		ɚ	阴平	
尔		ɚ	上声	
寄	c	i	去声	
企	cʰ	i	去声	
奇	cʰ	i	去声	
骑	cʰ	i	去声	
技	c	i	阴平	
妓	c	i	阴平	
宜		i	去声	
仪		i	去声	
谊		i	去声	
义		i	去声	
议		i	去声	
牺	ç	i	去声	
戏	ç	i	去声	
倚		i	上声	
椅		i	上声	
移		i	阴平	
易		i	去声	
悲	p	ei	阴平	
鄙	p	i	上声	
比	p	i	上声	
秕	pʰ	i	上声	
秘	p	i	去声	
辔	pʰ	ei	去声	
庇	p	i	去声	
痹	p	i	去声	
屁	pʰ	i	去声	
备	p	ei	去声	
鼻	p	i	去声	
篦	p	i	去声	
眉	m	ei	阴平	
霉	m	ei	阳平	
美	m	ei	上声	
媚	m	ei	去声	
地	t	i	去声	
尼	n	i	去声	
腻	n	i	去声	
梨	l	i	阴平	
履	l	i	去声	
利	l	i	去声	
痢	l	i	去声	
资	ts	ɿ	阴平	
姿	ts	ɿ	阴平	
咨	ts	ɿ	阴平	
姊	tɕ	iɛ	上声	
次	tsʰ	ɿ	去声	
瓷	tsʰ	ɿ	去声	
自	ts	ɿ	去声	
私	s	ɿ	阴平	
死	s	ɿ	上声	
四	s	ɿ	去声	
肆	s	ɿ	去声	
致	tʂ	ʅ	去声	
迟	tɕʰ	i	去声	
师	ʂ	ʅ	阴平	
狮	ʂ	ʅ	阴平	
脂	tʂ	ʅ	上声	
旨	tʂ	ʅ	上声	
指	tʂ	ʅ	上声	
至	tʂ	ʅ	上声	
示	ʂ	ʅ	去声	
尸	ʂ	ʅ	阴平	
矢	ʂ	ʅ	上声	
屎	ʂ	ʅ	上声	
视	ʂ	ʅ	阴平	
嗜	ʂ	ʅ	阴平	
二		ɚ	去声	
贰		ɚ	去声	
饥	c	i	阴平	
肌	c	i	阴平	
几	c	i	阴平	
弃	cʰ	i	去声	
姨		i	阳平	
你	n	i	上声	
狸	l	i	阳平	
李	l	i	上声	
里	l	i	上声	
理	l	i	上声	
鲤	l	i	上声	
滋	ts	ɿ	阴平	
子	ts	ɿ	上声	
慈	tsʰ	ɿ	去声	
磁	tsʰ	ɿ	去声	
字	ts	ɿ	去声	
牸	ts	ɿ	去声	
司	s	ɿ	去声	
丝	s	ɿ	阴平	
思	s	ɿ	阴平	
伺	s	ɿ	阴平	
思	s	ɿ	阴平	
辞	s	ɿ	去声	
词	s	ɿ	去声	
祠	s	ɿ	阴平	
似	s	ɿ	上声	
寺	s	ɿ	去声	
伺	s	ɿ	去声	
置	tɕ	i	去声	
痴	tɕʰ	i	去声	
耻	tɕʰ	i	阴平	
持	tʂʰ	ʅ	去声	
痔	tɕ	i	去声	
治	tɕ	i	去声	
士	ʂ	ʅ	去声	
柿	ʂ	ʅ	去声	
史	ʂ	ʅ	上声	
驶	ʂ	ʅ	上声	
之	tʂ	ʅ	阴平	
芝	tʂ	ʅ	阴平	
止	tʂ	ʅ	上声	
趾	tʂ	ʅ	上声	
址	tʂ	ʅ	上声	
志	tʂ	ʅ	去声	
齿	tʂʰ	ʅ	上声	
诗	ʂ	ʅ	阴平	
始	ʂ	ʅ	上声	
试	ɕ	i	去声	
时	ʂ	ʅ	去声	
市	ʂ	ʅ	去声	
耳		ɚ	上声	
基	c	i	阴平	
己	c	i	上声	
纪	c	i	去声	
记	c	i	去声	
欺	cʰ	i	阴平	
起	cʰ	i	上声	
棋	cʰ	i	去声	
期	cʰ	i	阴平	
忌	c	i	去声	
疑		i	去声	
拟		i	去声	
喜	ç	i	上声	
医		i	阴平	
意		i	去声	
怡		i	去声	
已		i	上声	
以		i	上声	
异		i	去声	
机	c	i	阴平	
既	c	i	去声	
岂	cʰ	i	去声	
气	cʰ	i	去声	
汽	cʰ	i	去声	
沂		i	去声	
希	ç	i	阴平	
稀	ç	i	阴平	
衣		i	阴平	
依		i	阳平	
累	l	ei	去声	
嘴	ts	ei	上声	
髓	s	ei	去声	
随	s	ei	去声	
揣	tʂʰ	uai	上声	
吹	tʂʰ	uei	阴平	
炊	tʂʰ	uei	阴平	
垂	tʂʰ	uei	去声	
睡	ʂ	uei	去声	
诡	k	uei	上声	
亏	kʰ	uei	阴平	
窥	kʰ	uei	去声	
跪	k	uei	去声	
危		uei	阴平	
伪		uei	上声	
毁	x	uei	上声	
委		uei	上声	
为		uei	去声	
垒	l	ei	上声	
类	l	ei	去声	
泪	l	ei	去声	
醉	ts	uei	去声	
翠	tsʰ	uei	去声	
绥	s	uei	去声	
遂	s	uei	去声	
隧	s	uei	去声	
穗	s	uei	去声	
追	tʂ	uei	阴平	
槌	tʂʰ	uei	去声	
锤	tʂʰ	uei	去声	
坠	tʂ	uei	去声	
衰	ʂ	uai	阴平	
摔	ʂ	uai	阴平	
帅	ʂ	uai	去声	
率	ʂ	uai	去声	
锥	tʂ	uei	去声	
水	ʂ	uei	上声	
谁	ʂ	uei	去声	
龟	k	uei	阴平	
轨	k	uei	上声	
愧	kʰ	uei	去声	
季	c	i	去声	
逵	kʰ	uei	去声	
葵	kʰ	uei	去声	
柜	k	uei	去声	
位		uei	去声	
惟		uei	去声	
唯		uei	上声	
非	f	ei	阴平	
飞	f	ei	阴平	
匪	f	ei	上声	
妃	f	ei	上声	
费	f	ei	去声	
肥	f	ei	去声	
翡	f	ei	上声	
微		uei	上声	
尾		uei	上声	
未		uei	去声	
味		uei	去声	
归	k	uei	阴平	
鬼	k	uei	上声	
贵	k	uei	去声	
魏		uei	去声	
挥	x	uei	阴平	
辉	x	uei	阴平	
徽	x	uei	阴平	
讳	x	uei	去声	
威		uei	阳平	
畏		uei	上声	
慰		uei	上声	
违		uei	上声	
围		uei	阴平	
伟		uei	上声	
苇		uei	上声	
纬		uei	上声	
胃		uei	去声	
汇	x	uei	去声	
保	p	au	上声	
堡	p	au	上声	
宝	p	au	上声	
报	p	au	去声	
袍	pʰ	au	去声	
抱	p	au	去声	
暴	p	au	去声	
毛	m	au	阴平	
冒	m	au	去声	
帽	m	au	去声	
刀	t	au	阴平	
叨	t	au	阴平	
祷	t	au	上声	
岛	t	au	上声	
倒	t	au	去声	
到	t	au	去声	
倒	t	au	去声	
滔	tʰ	au	阴平	
讨	tʰ	au	上声	
套	tʰ	au	去声	
桃	tʰ	au	去声	
逃	tʰ	au	去声	
淘	tʰ	au	去声	
陶	tʰ	au	去声	
萄	tʰ	au	去声	
涛	tʰ	au	阴平	
道	t	au	去声	
稻	t	au	去声	
盗	t	au	去声	
导	t	au	上声	
脑	n	au	上声	
恼	n	au	上声	
劳	l	au	去声	
捞	l	au	阴平	
牢	l	au	去声	
唠	l	au	去声	
老	l	au	上声	
涝	l	au	去声	
遭	ts	au	阴平	
糟	ts	au	阴平	
早	ts	au	上声	
澡	ts	au	上声	
躁	ts	au	去声	
灶	ts	au	去声	
操	tsʰ	au	阴平	
草	tsʰ	au	上声	
糙	tsʰ	au	去声	
曹	tsʰ	au	去声	
槽	tsʰ	au	去声	
皂	ts	au	去声	
造	ts	au	去声	
骚	s	au	阳平	
臊	s	au	去声	
扫	s	au	上声	
嫂	s	au	上声	
高	k	au	阴平	
膏	k	au	阴平	
篙	k	au	阴平	
羔	k	au	阳平	
糕	k	au	阴平	
稿	k	au	上声	
告	k	au	去声	
考	kʰ	au	上声	
烤	kʰ	au	上声	
靠	kʰ	au	去声	
犒	kʰ	au	上声	
熬		au	阴平	
傲		au	去声	
好	x	au	上声	
耗	x	au	阴平	
豪	x	au	阴平	
壕	x	au	去声	
毫	x	au	去声	
号	x	au	去声	
浩	x	au	去声	
号	x	au	去声	
熬		au	阴平	
袄		au	上声	
懊		au	去声	
懊		au	去声	
包	p	au	阴平	
胞	pʰ	au	去声	
饱	p	au	上声	
豹	p	au	去声	
爆	p	au	去声	
泡	pʰ	au	去声	
抛	pʰ	au	去声	
炮	pʰ	au	去声	
跑	pʰ	au	阳平	
刨	pʰ	au	阳平	
咆	pʰ	au	阳平	
鲍	p	au	阴平	
茅	m	au	去声	
猫	m	au	阴平	
锚	m	au	去声	
卯	m	au	上声	
貌	m	au	去声	
挠	n	au	去声	
闹	n	au	去声	
罩	tʂ	au	去声	
找	tʂ	au	上声	
笊	tʂ	au	去声	
抄	tʂʰ	au	阴平	
钞	tʂʰ	au	阳平	
炒	tʂʰ	au	上声	
吵	tʂʰ	au	上声	
巢	tʂʰ	au	去声	
梢	ʂ	au	阴平	
捎	ʂ	au	阴平	
稍	ʂ	au	阴平	
潲	ʂ	au	去声	
交	c	iau	阴平	
郊	c	iau	阴平	
胶	c	iau	阴平	
教	c	iau	去声	
绞	c	iau	上声	
皎	c	iau	上声	
搅	c	iau	上声	
教	c	iau	去声	
觉	c	iau	去声	
敲	cʰ	iau	阴平	
巧	cʰ	iau	上声	
孝	ç	iau	去声	
肴		iau	阳平	
淆		iau	阳平	
效	ç	iau	去声	
校	ç	iau	去声	
标	p	iau	阴平	
表	p	iau	上声	
飘	pʰ	iau	阴平	
漂	pʰ	iau	上声	
票	pʰ	iau	去声	
瓢	pʰ	iau	去声	
鳔	pʰ	iau	去声	
苗	m	iau	阴平	
描	m	iau	阴平	
猫	m	au	阴平	
藐	m	iau	去声	
渺	m	iau	上声	
秒	m	iau	上声	
庙	m	iau	去声	
妙	m	iau	去声	
燎	l	iau	去声	
疗	l	iau	去声	
焦	tɕ	iau	阴平	
蕉	tɕ	iau	阴平	
椒	tɕ	iau	阴平	
剿	c	iau	上声	
愀	tɕʰ	iau	阴平	
缲	tɕʰ	iau	阴平	
悄	tɕʰ	iau	阴平	
俏	tɕʰ	iau	去声	
消	ɕ	iau	阴平	
硝	ɕ	iau	阴平	
销	ɕ	iau	阴平	
小	ɕ	iau	上声	
笑	ɕ	iau	去声	
朝	tʂ	au	去声	
超	tʂʰ	au	阴平	
朝	tʂʰ	au	去声	
潮	tʂʰ	au	去声	
赵	tʂ	au	去声	
兆	tʂ	au	去声	
召	tʂ	au	去声	
昭	tʂ	au	阴平	
招	tʂ	au	阴平	
沼	tʂ	au	阴平	
照	tʂ	au	去声	
烧	ʂ	au	阴平	
少	ʂ	au	阴平	
韶	ʂ	au	去声	
扰		iau	上声	
骄	c	iau	上声	
娇	c	iau	上声	
乔	cʰ	iau	去声	
侨	cʰ	iau	去声	
桥	cʰ	iau	去声	
荞	cʰ	iau	去声	
轿	c	iau	去声	
枵	ç	iau	阴平	
嚣	ç	iau	阴平	
妖		iau	阴平	
邀		iau	阴平	
腰		iau	阴平	
要		iau	去声	
摇		iau	阴平	
谣		iau	阴平	
窑		iau	去声	
