"#参考资料"	"《安徽宿松方言同音字汇》"
"l"	"[1]唠[2]劳牢[3]老[6]涝捞"
"ts"	"[1]遭糟[2][3]早枣蚤澡爪[5]躁燥罩灶"
"tsʰ"	"[1]操抄[2]曹槽巢[3]草皂吵钞炒[6]造"
"s"	"[1]骚燥捎梢[3]嫂扫"
"ʈʂ"	"[1]朝招沼[3]找[5]照诏"
"ʈʂʰ"	"[1]超[2]朝潮[6]赵召"
"ʂ"	"[1]烧[3]少[5]少[6]兆绍韶"
"ʐ"	"[2]饶[5]绕扰"
"k"	"[1]高膏羔糕篙[3]搞稿[5]教校"
"kʰ"	"[1]敲[3]考烤[5]铐靠搞"
"ŋ"	"[1]凹坳[2]敖熬[3]袄咬[5]奥懊拗[6]傲"
"x"	"[1]薅[2]豪壕毫号[3]好"

"#iau"	""
"p"	"[1]标彪[3]表裱"
"pʰ"	"[1]飘[2]标漂[3]漂[5]票漂"
"m"	"[2]苗描瞄[3]藐渺秒秒[5]庙妙"
"t"	"[1]刁貂雕[3]鸟[5]钓掉吊"
"tʰ"	"[1]挑[2]条调[5]跳[6]调掉"
"ȵ"	"[2]尧[6]尿"
"l"	"[2]燎疗辽聊撩镣[5]料撂廖"
"tɕ"	"[1]焦蕉椒娇骄浇交胶郊[3]绞狡铰剿缴饺[5]叫酵"
"tɕʰ"	"[1]锹悄[2]乔侨桥荞[3]巧[5]俏窍[6]轿撬"
"ɕ"	"[1]消宵霄硝侥萧箫[2]淆[3]小晓[5]笑孝[6]校效"
"Ø"	"[1]妖邀腰要[2]摇谣窑姚[3]舀[5]耀要"

"#əu"	""
"f"	"[2]浮[3]否"
"t"	"[1]兜[3]堵赌肚抖陡斗[5]斗"
"tʰ"	"[1]偷[2]徒屠涂途头投图[3]土吐[5]透逗兔[6]度渡杜豆毒独读犊"
"n"	"[2]奴[3]努[5]怒"
"l"	"[2]楼[3]鲁格篓搂缕[5]路赂露漏陋鹭"
"ts"	"[1]租诌皱[3]走祖组阻[5]奏揍"
"tsʰ"	"[1]粗初[2]锄愁[3]楚础[5]凑醋[6]助族"
"s"	"[1]搜馊搜苏酥梳疏蔬[5]数{名词}瘦素嗽[6]诉续俗"
"ʈʂ"	"[1]周舟州洲[3]帚肘[5]昼咒"
"ʈʂʰ"	"[1]抽[2]绸稠筹仇[3]丑[5]臭[6]逐轴纣宙"
"ʂ"	"[1]收[3]手首守[5]兽[6]受寿授熟赎蜀属"
"ʐ"	"[2]柔"
"x"	"[3]吼[6]后厚候"

"#iəu"	""
"t"	"[1]丢"
"ȵ"	"[1]扭[2]牛揉[3]纽"
"l"	"[1]溜[2]流刘留榴硫馏[3]柳铆"
"tɕ"	"[1]究揪[3]酒九久韭[5]灸救咎"
"tɕʰ"	"[1]秋臼丘[2]囚求球[6]舅就旧"
"ɕ"	"[1]修羞休[3]朽[5]秀绣锈嗅"
"k"	"[1]勾钩沟纠鸠[3]狗苟[5]够构购"
"kʰ"	"[1]抠[5]叩扣寇"
"ŋ"	"[1]欧殴[3]藕偶呕[5]沤枢"
"Ø"	"[1]优忧幽悠[2]尤邮由游[3]有友酉[5]诱幼[6]又右袖釉"

"#an"	""
"p"	"[1]扮班斑板颁[3]板版"
"pʰ"	"[1]攀瓣[5]盼[6]办"
"m"	"[2]蛮馒[5]慢蔓"
"f"	"[1]帆翻番[2]凡烦繁矾[3]反返[5]泛贩贩[6]范犯饭"
"t"	"[1]耽丹单[3]胆掸诞[5]旦担"
"tʰ"	"[1]滩摊瘫[2]潭谭谈痰檀弹[3]毯坦[5]炭[6]淡但蛋弹"
"n"	"[1]难[6]难"
"l"	"[2]篮蓝兰拦栏[3]览揽榄缆懒[6]烂滥"
"ts"	"[3]斩盏攒[5]赞站蘸溅"
"tsʰ"	"[1]餐掺鳖[2]惭残[3]产铲[5]灿[6]暂"
"s"	"[1]三衫山删[3]伞散[5]散"
"k"	"[1]间[3]减拣竿杆秆[5]尴"
"kʰ"	"[1]铅刊[3]坎砍槛[5]嵌"
"ŋ"	"[1]庵淹[3]眼[5]晏[6]雁"
"x"	"[2]衔咸闲[3]喊[5][6]苋限馅陷"

"#uan"	""
"k"	"[1]官棺冠{鸡~}观关[3]管馆[5]贯灌罐观冠{~军}惯"
"kʰ"	"[1]宽[2]环"
"x"	"[1]欢灌[2]桓[3]缓[5]唤焕幻[6]患宦"
"Ø"	"[1]豌弯湾[2]完丸玩顽还环[3]碗腕晚挽[6]换万"

"#en"	""
"ʈʂ"	"[1]瞻占[3]展[5]战颤占"
"ʈʂʰ"	"[1]搀[2]蟾蝉禅缠馋谗"
"ʂ"	"[1]膻[3]陕闪[5]扇[6]善膳单{姓}擅"
"ʐ"	"[1]冤渊[2]然燃元原源圆员袁园援[3]远[5]怨[6]愿院"

"#ien"	""
"p"	"[1]鞭编边[3]贬蝙扁匾[5]变"
"pʰ"	"[1]篇偏[2]便娇[5]骗片遍[6]辨辩辫便"
"m"	"[2]绵棉眠[3]免勉娩[6]面"
"t"	"[1]掂颠[3]点曲腆[5]店电奠"
"tʰ"	"[1]添天[2]甜田填[3]舔[6]殿佃垫"
"ȵ"	"[1]黏研[2]严贴言年[3]碾撵染[5]念谚砚"
"l"	"[2]廉镰连联怜莲[3]脸[5][6]敛硷练恋"
"tɕ"	"[1]尖兼煎肩坚监艰[3]检剪简柬捡谏[5]剑箭建见荐键溅"
"tɕʰ"	"[1]签谦迁笺千牵[2]潜钳钱前[3]歉浅遣[5]欠践[6]俭件健渐"
"ɕ"	"[1]仙鲜掀先[2]嫌贤弦旋[3]险癣鲜显[5]线羡献腺[6]现限县"
"Ø"	"[1]蔫烟阉[2]炎盐阎檐延筵颜[3]掩演[5]厌堰燕宴[6]艳焰"

"#ʯen"	""
"ɳ"	"[3]软"
"ʈʂ"	"[1]专砖绢捐[3]转卷[5]转"
"ʈʂʰ"	"[1]川穿圈[2]船传拳权颧[3]喘犬[5]串劝[6]篆传{~记}圈{猪~}倦撰"
"ʂ"	"[1]拴[2]玄悬"

"#on"	""
"p"	"[1]搬[5]半"
"pʰ"	"[1]潘[2]盘[5]判判[6]伴拌"
"m"	"[2]瞒[3]满"
"t"	"[1]端[3]短"
"tʰ"	"[1]贪[2]团坛[5]探叹[6]断段锻"
"n"	"[2]南男[3]暖"
"l"	"[3]卵[6]乱"
"ts"	"[1]钻[5]纂钻{~石}"
"tsʰ"	"[1]余参{~加}[2]蚕蹿[3]惨[5]窜[6]篡"
"s"	"[1]酸闩[5]算蒜"
"k"	"[1]干燥肝甘柑[3]赶感敢"
"kʰ"	"[1]看{~守}完[5]看{~见}"
"ŋ"	"[1]安鞍[5]按案暗[6]岸"
"x"	"[1]鼾憨[2]寒韩含函涵[5]汉[6]旱汗翰撼憾"

"#ən"	""
"p"	"[1]奔[3]本[5]笨"
"pʰ"	"[1]烹[2]盆彭膨"
"m"	"[2]门蚊们明{第二天}[5]闷[6]问"
"f"	"[1]分芬纷[2]焚坟[3]粉[5]喷愤粪奋[6]份"
"t"	"[1]墩登灯蹲蹬[3]等[5]顿凳瞪炖"
"tʰ"	"[1]吞[2]滕腾藤疼誊[3]沌"
"n"	"[2]能[6]嫩"
"l"	"[2]伦纶抡轮[3]冷[5]论"
"ts"	"[1]尊遵曾{姓}增争筝睁挣[5]憎争"
"tsʰ"	"[1]村撑[2]存层曾[5]衬寸[6]赠蹭"
"s"	"[1]森参{人~}孙僧生牲[3]损笋省[5]渗"
"ʈʂ"	"[1]针斟珍真征蒸贞侦正{~月}[3]枕拯整诊疹[5]振震镇证正政症"
"ʈʂʰ"	"[1]称{~重量}[2]沉辰晨臣陈尘橙澄乘绳承巫呈程成城诚盛[3]惩[5]称{相~}[6]趁陈郑"
"ʂ"	"[1]深身申伸升声[2]神[3]沈审婶[5]胜圣[6]甚肾慎剩盛{茂~}"
"ʐ"	"[2]匀云仍仁耘[3]忍允永[5]熨润韵泳咏[6]任孕运晕闰"
"k"	"[1]跟根更{三~}庚羹耕[3]硬梗耿[5]埂更"
"kʰ"	"[3]恳垦肯啃"
"ŋ"	"[1]恩[6]硬"
"x"	"[1]哼[2]痕恒衡[3]很狠[6]恨"

"#in"	""
"p"	"[1]彬宾冰兵[3]丙饼[5]并柄"
"pʰ"	"[1]拼[2]贫频凭平坪评瓶萍屏[3]品[5]聘[6]病"
"m"	"[2]民鸣名明[3]闽悯敏抿[5]命"
"t"	"[1]丁钉{名称}叮盯[3]顶鼎[5]订钉{动词}"
"tʰ"	"[1]厅[2]亭停廷庭蜓[3]艇挺[5]听[6]锭定"
"ȵ"	"[1]银人[2]凝宁[6]认"
"l"	"[2]林淋临凛邻鳞陵凌菱灵零铃伶拎龄绫[3]领[6]令另"
"tɕ"	"[1]今金津巾斤筋京荆惊鲸精晶睛经[3]锦紧谨景警井颈[5]禁襟进晋劲俊境敬竟镜径茎浸"
"tɕʰ"	"[1]侵钦亲清轻青蜻倾[2]寻琴禽擒秦芹情晴[3]请寝顷[5]庆[6]尽近静净"
"ɕ"	"[1]心辛新欣兴星腥[2]荀旬循巡形型刑行[3]醒[5]信迅殉兴性姓[6]幸杏"
"Ø"	"[1]音阴荫因姻殷鹰蝇英缨莺鹦樱[2]吟淫寅盈赢营迎萤[3]饮引隐影颖[5]湮印应映"

"#uən"	""
"k"	"[5]滚[6]棍"
"kʰ"	"[1]昆坤[3]捆[5]困"
"x"	"[1]昏婚浑荤[2]横[3]馄混"
"Ø"	"[1]温瘟[2]文纹闻[3]稳吻"

"#ʯən"	""
"ʈʂ"	"[1]均君军[3]准[5]菌郡"
"ʈʂʰ"	"[1]椿春[2]唇纯醇群裙[3]蠢"
"ʂ"	"[1]熏勋[2]驯[5]训瞬[6]顺"

"#aŋ"	""
"p"	"[1]帮邦[3]榜膀绑[5]泵磅"
"pʰ"	"[2]傍旁庞[5]胖[6]傍棒蚌螃"
"m"	"[2]忙芒茫盲氓[3]莽蟒网往[6]忘妄望"
"f"	"[1]方芳[2]肪房防[3]仿纺访[5]放"
"t"	"[1]当{~兵}档[3]党[6]挡"
"tʰ"	"[1]汤[2]堂棠唐糖塘[3]淌躺[5]烫趟[6]荡凼"
"n"	"[2]囊攘"
"l"	"[2]郎狼[3]朗[6]浪"
"ts"	"[1]庄装桩脏[5]葬壮"
"tsʰ"	"[1]仓苍疮窗[2]藏床[3]闯[5][6]创藏{西~}脏{心~}状撞"
"s"	"[1]桑霜双丧[3]爽嗓[5]丧"
"ʈʂ"	"[1]张章樟[3]长掌[5]涨杖帐账胀障"
"ʈʂʰ"	"[1]昌倡[2]长肠尝偿常[3]厂敞场[5]唱畅[6]丈仗"
"ʂ"	"[1]商伤墒裳[3]赏[6]上尚"
"ʐ"	"[1]瓤[3]壤嚷"
"k"	"[1]冈岗刚纲钢缸肛豇[3]讲港[5]杠降"
"kʰ"	"[1]康糠[2]扛[5]抗炕"
"ŋ"	"[1]肮[2]昂"
"x"	"[1]夯[2]行杭航[6]项巷"

"#iaŋ"	""
"ȵ"	"[2]娘[3]仰[6]让酿"
"l"	"[2]量良凉粮梁粱[3]两[6]亮谅量"
"tɕ"	"[1]江疆僵姜缀浆将[3]蒋奖桨[5]酱"
"tɕʰ"	"[1]腔枪[2]降{投~}强祥墙[3]抢[6]匠像象"
"ɕ"	"[1]香乡相箱厢湘镶[3]想亨响[5]向"
"Ø"	"[1]央秧殃鸯[2]羊洋杨阳扬疡[3]养[6]样"

"#uaŋ"	""
"k"	"[1]光[3]广"
"kʰ"	"[1]匡眶框筐[2]狂[5]旷况旷"
"x"	"[1]荒慌[2]簧蝗凰[3]谎[5]晃"
"Ø"	"[1]汪枉[2]黄皇亡王[6]妄旺"

"#oŋ"	""
"p"	"[1]崩绷[6]迸蹦"
"pʰ"	"[1]砰[2]朋棚篷蓬鹏[3]捧[5]碰"
"m"	"[2]蒙[3]猛[6]孟惜梦"
"f"	"[1]风枫疯丰封峰蜂锋[2]冯逢缝[3]讽[6]凤奉傣缝{门~}"
"t"	"[1]东冬[3]董懂[5]冻栋"
"tʰ"	"[1]通[2]同铜桐童瞳[3]筒统桶捅[5]痛[6]动洞"
"n"	"[2]农脓侬浓[6]弄"
"l"	"[2]龙隆笼聋[3]垅拢"
"ts"	"[1]棕鬃宗综踪[3]总[5]粽纵"
"tsʰ"	"[1]聪匆葱[2]从丛崇"
"s"	"[1]篙松[2]怂[5]送宋[6]诵颂讼"
"ʈʂ"	"[1]钟盅终中{~间}忠[3]踵肿种{~子}[5]种{~树}众中{~奖}"
"ʈʂʰ"	"[1]囱充冲[2]重{~复}[3]宠[5]铣[6]重"
"ʐ"	"[2]茸戎绒"
"k"	"[1]供恭公蚣工功攻弓躬宫[3]拱巩汞[5]贡"
"kʰ"	"[1]空[3]恐孔[5]控[6]共"
"ŋ"	"[1]翁[5]瓮"
"x"	"[1]烘轰[2]红洪鸿虹弘宏[5]哄"

"#ioŋ"	""
"ȵ"	"[2]浓"
"tɕ"	"[5]窘"
"tɕʰ"	"[2]穷琼"
"ɕ"	"[1]兄凶胸[2]雄熊[5]嗅"
"Ø"	"[1]庸[2]荣融容蓉溶[5]拥[6]用佣"

"#m̩"	""
"Ø"	"[3]姆{妈妈的面称}"

"#n̩"	""
"Ø"	"[3]你"

"#ɭ"	""
"Ø"	"[1]淤迂于[2]如余儒儿而[3]与雨宇禹羽乳耳饵吕[6]预豫逾愉芋喻裕二贰"

"#ɭʔ"	""
"Ø"	"[7]日入域役疫郁玉"

"#ɿʔ"	""
"tsʰ"	"[7]刺"

"#ʅʔ"	""
"ʈʂ"	"[7]蜘质织职炙汁执"
"ʈʂʰ"	"[7]掷赤斥尺秩"
"ʂ"	"[7]饰识适释湿室失"

"#iʔ"	""
"p"	"[7]臂逼碧璧壁笔毕必"
"pʰ"	"[7]僻辟劈匹弼"
"m"	"[7]秘泌觅密蜜"
"t"	"[7]的滴嫡敌"
"tʰ"	"[7]踢剔狄"
"ȵ"	"[7]匿抑逆溺"
"l"	"[7]立笠粒率律力历栗隶"
"tɕ"	"[7]髻急级给及螂即极积迹脊激击吉绩"
"tɕʰ"	"[7]缉辑泣乞戚寂吃七漆膝"
"ɕ"	"[7]袭吸息熄媳惜昔锡析悉戌"
"Ø"	"[7]乙一逸翼益译液"

"#uʔ"	""
"p"	"[7]不"
"pʰ"	"[7]勃朴扑仆曝瀑卜{~卦}"
"f"	"[7]福幅蝠复腹覆"
"k"	"[7]骨谷"
"kʰ"	"[7]窟哭酷"
"x"	"[7]忽"
"Ø"	"[7]屋"

"#ʯʔ"	""
"ʈʂ"	"[7]橘桔剧局"
"ʈʂʰ"	"[7]出屈"
"ʂ"	"[7]矗"

"#aʔ"	""
"p"	"[7]八叭"
"pʰ"	"[7]抹"
"f"	"[7]发"
"t"	"[7]搭答榻瘩"
"tʰ"	"[7]獭踏塌塔"
"n"	"[7]捺纳钠"
"l"	"[7]辣癫腊蜡拉"
"ts"	"[7]扎铡杂眨闸"
"tsʰ"	"[7]擦插察"
"s"	"[7]杀刹萨圾"
"k"	"[7]夹"
"kʰ"	"[7]掐恰"
"ŋ"	"[7]鸭押压"

"#iaʔ"	""
"tɕ"	"[7]钾甲"
"tɕʰ"	"[7]洽恰"
"ɕ"	"[7]辖狭峡"

"#uaʔ"	""
"k"	"[7]刮"
"kʰ"	"[7]豁"
"Ø"	"[7]挖袜"

"#æʔ"	""
"p"	"[7]北百柏佰"
"pʰ"	"[7]拍迫魄"
"m"	"[7]墨默麦脉陌"
"f"	"[7]佛沸拂"
"t"	"[7]得德"
"ts"	"[7]则责摘窄"
"tsʰ"	"[7]诉拆泽宅策册栅测厕侧"
"s"	"[7]塞涩色瑟赦"
"ʈʂ"	"[7]摺折断浙褶哲"
"ʈʂʰ"	"[7]彻澈"
"ʂ"	"[7]设摄涉"
"ʐ"	"[7]热悦阅越月肋勒"
"x"	"[7]黑吓瞎"

"#iæʔ"	""
"p"	"[7]憋瘪"
"pʰ"	"[7]撇"
"m"	"[7]灭"
"t"	"[7]跌"
"tʰ"	"[7]蝶谍蝶铁贴帖"
"ȵ"	"[7]聂镊镊业孽捏"
"l"	"[7]猎列烈裂劣"
"tɕ"	"[7]接结洁节"
"tɕʰ"	"[7]劫怯妾揭切"
"ɕ"	"[7]薛歇屑些雪"
"k"	"[7]格革隔疙胳"
"kʰ"	"[7]刻咳克客"
"ŋ"	"[7]额扼扼"
"Ø"	"[7]叶页腌腋"

"#uæʔ"	""
"k"	"[7]括国"
"kʰ"	"[7]阔"

"#ʯæʔ"	""
"ʈʂ"	"[7]拙决诀倔"
"ʈʂʰ"	"[7]缺"
"ʂ"	"[7]刷测说血"

"#oʔ"	""
"p"	"[7]钵拨博剥驳"
"pʰ"	"[7]泼"
"m"	"[7]末沫没膜木目穆牧"
"t"	"[7]沰"
"tʰ"	"[7]脱托"
"n"	"[7]诺"
"l"	"[7]洛骆络乐落"
"ts"	"[7]作捉撮镯桌琢"
"s"	"[7]缩塑"
"ʈʂ"	"[7]着"
"ʈʂʰ"	"[7]绰"
"ʂ"	"[7]勺烁"
"ʐ"	"[7]弱"
"k"	"[7]割葛各阁搁鸽角郭廓"
"kʰ"	"[7]磕渴确壳扩"
"ŋ"	"[7]鄂恶"
"x"	"[7]喝霍"

"#ioʔ"	""
"ȵ"	"[7]虐"
"l"	"[7]略掠"
"tɕ"	"[7]脚觉"
"tɕʰ"	"[7]雀鹊却"
"ɕ"	"[7]削"
"Ø"	"[7]岳约药钥跃"

"#uoʔ"	""
"Ø"	"[7]握沃镬"

"#əuʔ"	""
"t"	"[7]笃督"
"tʰ"	"[7]突凸秃"
"l"	"[7]绿六陆鹿禄录"
"ts"	"[7]足卒"
"tsʰ"	"[7]促"
"ʈʂ"	"[7]粥祝竹筑烛嘱"
"ʈʂʰ"	"[7]触畜束"
"ʂ"	"[7]叔"
"ʐ"	"[7]肉辱褥"

"#iəuʔ"	""
"tɕ"	"[7]菊"
"tɕʰ"	"[7]曲"
"ɕ"	"[7]畜蓄粟"
"Ø"	"[7]狱欲育"
