字	音	注釋		调类	阴平	阳平	上声	去声	阴入	阳入
字	sɿ⁵³									
自	ʦʰɿ³⁵									
雌	ʦʰɿ¹³									
瓷	ʦʰɿ¹³									
慈	ʦʰɿ¹³									
磁	ʦʰɿ¹³	~鐵，~帶								
辭	ʦʰɿ¹³									
詞	ʦʰɿ¹³									
祠	ʦʰɿ¹³									
此	ʦʰɿ²¹									
刺	ʦʰɿ⁵³									
賜	sɿ⁵³									
次	ʦʰɿ⁵³									
斯	sɿ³⁵	~文								
撕	si³⁵									
私	sɿ³⁵									
司	sɿ³⁵									
絲	sɿ³⁵									
思	sɿ³⁵									
死	si²¹									
祀	sɿ⁵³									
寺	sɿ⁵³									
飼	sɿ⁵³	~料，~養員								
四	si⁵³									
支	tʂʅ³⁵									
枝	tʂʅ³⁵									
肢	tʂʅ³⁵									
脂	tʂʅ³⁵	~肪，胭~								
之	tʂʅ³⁵									
芝	tʂʅ³⁵									
知	tʂʅ³⁵									
旨	tʂʅ²¹									
指	tʂʅ²¹									
址	tʂʅ²¹									
止	tʂʅ²¹									
治	tʂʰʅ⁵³									
制	tʂʅ⁵³									
智	tʂʅ⁵³									
致	tʂʅ⁵³	~敬								
至	tʂʅ⁵³	~少，冬~								
志	tʂʅ⁵³									
痣	tʂʅ⁵³									
置	tʂʅ⁵³									
池	tʂʰʅ¹³									
馳	tʂʰʅ¹³									
遲	tʂʰʅ¹³									
匙	ʂʅ¹³	湯~；鑰~								
恥	tʂʰʅ²¹									
齒	tʂʰʅ²¹									
師	sɿ³⁵									
獅	sɿ³⁵									
施	ʂʅ³⁵									
詩	ʂʅ³⁵									
時	ʂʅ¹³									
史	ʂʅ²¹									
使	ʂʅ²¹									
駛	ʂʅ²¹									
始	ʂʅ²¹									
勢	ʂʅ⁵³									
是	ʂʅ⁵³									
示	ʂʅ⁵³									
視	ʂʅ⁵³									
士	sɿ⁵³									
柿	ʦʰɿ⁵³									
試	ʂʅ⁵³									
市	ʂʅ⁵³									
事	sɿ⁵³									
而	ʯ¹³									
兒	ʯ¹³									
耳	ɲi²¹									
二	ɲi²¹									
鼻	pʰi⁵³									
彼	pi²¹									
比	pi²¹									
蔽	pi⁵³									
弊	pi⁵³	舞~；利~								
幣	pi⁵³									
斃	pʰi⁵³									
閉	pi⁵³									
避	pʰi⁵³									
批	pʰi³⁵									
披	pʰi³⁵									
皮	pʰi¹³									
疲	pʰi¹³									
脾	pʰi¹³									
屁	pʰi⁵³									
迷	mi¹³									
謎	mi¹³	猜~								
米	mi²¹									
秘	pi⁵³									
低	te³⁵									
底	te²¹									
抵	ti²¹									
地	tʰi⁵³									
帝	ti⁵³									
弟	tʰe³⁵									
第	tʰi⁵³									
遞	tʰi⁵³									
梯	tʰɔi³⁵									
題	tʰi¹³									
提	tʰi¹³									
啼	tʰi¹³									
蹄	tʰai¹³									
堤	tʰi¹³									
體	tʰi²¹									
替	tʰi¹³									
剃	tʰe⁵³									
泥	ne¹³									
尼	ɲi¹³	~姑，~龍								
你	ɲi¹³									
膩	ɲi⁵³									
犁	lai¹³									
黎	lai¹³	白								
	li¹³	文								
離	li¹³									
籬	li¹³									
梨	li¹³									
厘	li¹³									
狸	li¹³									
禮	li³⁵									
李	li²¹									
里	li³⁵	一~路								
裡	li³⁵	屋~，學校~								
理	li³⁵									
鯉	li³⁵									
例	li⁵³									
厲	li⁵³									
勵	li⁵³									
麗	li⁵³									
隸	tʰi⁵³									
利	li⁵³									
痢	li⁵³	~疾								
吏	li⁵³									
幾	ci³⁵	~乎								
	ci²¹	~個								
雞	cie³⁵									
機	ci³⁵									
譏	ci³⁵									
饑	ci³⁵									
基	ci³⁵									
擠	ʦi²¹									
己	ci²¹									
祭	ʦi⁵³									
際	ʦi⁵³									
濟	ʦi⁵³	救~								
劑	ʦi⁵³									
計	ci⁵³									
繼	ci⁵³									
寄	ci⁵³									
技	cʰi⁵³									
紀	ci²¹	~律，年~								
記	ci⁵³									
忌	ci⁵³	~妒，禁~								
既	ci⁵³									
季	ci⁵³									
欺	cʰi³⁵									
妻	ʦʰi³⁵									
淒	ʦʰi³⁵	~涼，~慘								
齊	ʦʰe¹³									
臍	ʦʰi¹³	~帶								
奇	cʰi¹³									
騎	cʰi¹³									
旗	cʰi¹³									
其	cʰi¹³									
期	cʰi¹³	日~，~末								
棋	cʰi¹³									
麒	cʰi¹³									
起	çi²¹									
豈	cʰi²¹									
契	kʰe⁵³									
器	çi⁵³									
棄	çi⁵³									
氣	çi⁵³									
汽	çi⁵³									
西	si³⁵									
溪	çi³⁵									
犧	çi³⁵	~牲								
希	çi³⁵									
稀	çi³⁵									
洗	se²¹									
喜	çi²¹									
細	se⁵³									
戲	çi⁵³									
醫	i³⁵									
衣	i³⁵									
依	i³⁵									
宜	ɲi¹³									
移	i¹³									
姨	i¹³									
疑	ɲi¹³									
遺	i¹³	~失								
椅	i²¹									
已	i²¹									
以	i³⁵									
藝	ɲi⁵³									
義	ɲi⁵³									
議	ɲi⁵³									
易	i⁵³	容~；交~，貿~								
意	i⁵³									
異	i⁵³									
補	pu²¹									
捕	pʰu²¹	被~，~魚								
布	pu⁵³									
怖	pu⁵³									
部	pʰu⁵³									
簿	pʰu³⁵	作業~，賬~								
步	pʰu⁵³									
埠	pʰu⁵³									
鋪	pʰu³⁵	~床								
	pʰu⁵³	店~								
蒲	pʰu¹³									
普	pʰu²¹									
譜	pʰu²¹									
母	mu³⁵									
畝	miau³⁵									
暮	mu⁵³									
慕	mu⁵³									
墓	mu⁵³									
募	mu⁵³	~捐，招~								
夫	fu³⁵	~妻								
膚	fu³⁵									
敷	fu³⁵	~藥								
麩	fu³⁵	麥~								
孵	pʰu⁵³	~化								
浮	fei¹³									
扶	pʰu¹³									
符	fu¹³									
府	fu¹³									
斧	pu²¹									
腐	fu²¹	~化								
輔	pʰu²¹									
父	fu⁵³									
附	fu⁵³									
付	fu⁵³									
富	fu⁵³									
婦	fu⁵³									
負	fu⁵³									
都	təu³⁵	首~；~是								
賭	təu²¹									
堵	təu²¹									
肚	təu²¹	豬~；大~子								
杜	tʰəu⁵³									
度	tʰəu⁵³									
渡	tʰəu⁵³									
鍍	tʰəu⁵³									
徒	tʰəu¹³									
途	tʰəu¹³									
塗	tʰəu¹³									
圖	tʰəu¹³									
屠	tʰəu¹³									
土	tʰəu²¹									
吐	tʰəu²¹	~痰；嘔~								
兔	tʰəu⁵³									
奴	ləu¹³									
努	ləu²¹									
怒	ləu⁵³									
盧	ləu¹³									
爐	ləu¹³									
蘆	ləu¹³									
魯	ləu³⁵									
櫓	ləu²¹									
滷	ləu²¹	~菜								
路	ləu⁵³									
露	ləu⁵³									
租	ʦɿ³⁵									
祖	ʦɿ²¹									
組	ʦɿ²¹									
阻	ʦɿ²¹									
粗	ʦʰɿ³⁵									
醋	ʦʰɿ⁵³									
蘇	sɿ³⁵	白								
	səu³⁵	文								
酥	sɿ³⁵									
素	səu⁵³									
訴	səu⁵³									
塑	sɔk³	~料								
諸	tʂəu³⁵	~位，~葛（姓）								
豬	tʂəu³⁵									
蛛	tʂəu³⁵									
株	tʂəu³⁵									
朱	tʂəu³⁵									
珠	tʂəu³⁵									
主	tʂəu²¹									
煮	tʂəu²¹									
著	tʂəu⁵³	顯~，~名								
注	tʂəu⁵³									
柱	tʂʰəu³⁵									
住	tʂəu⁵³									
蛀	tʂəu⁵³									
鑄	tʂəu⁵³									
助	tʂʰəu⁵³									
初	tʂʰɿ³⁵									
鋤	tʂʰɿ¹³									
除	tʂʰəu¹³									
廚	tʂʰəu¹³									
儲	tʂʰəu¹³									
楚	tʂʰəu²¹									
礎	tʂʰəu²¹									
處	tʂʰəu²¹	~理								
	tʂʰəu⁵³	~所								
梳	sɿ³⁵									
舒	ʂəu³⁵									
輸	ʂəu³⁵	運~，~錢								
書	ʂəu³⁵									
殊	ʂəu³⁵									
暑	tʂʰəu²¹									
鼠	tʂʰəu²¹									
數	səu²¹	動詞，~一~								
	səu⁵³	名詞，~字								
樹	ʂəu⁵³									
豎	ʂəu⁵³	横~，一~								
如	ləu¹³									
乳	ʯ²¹									
孤	ku³⁵									
股	ku²¹									
鼓	ku²¹									
古	ku²¹									
故	ku⁵³									
固	ku⁵³									
雇	ku⁵³									
顧	ku⁵³									
枯	kʰu³⁵									
苦	kʰu²¹									
庫	kʰu⁵³									
褲	fu⁵³									
呼	fu³⁵									
胡	fu¹³	姓								
湖	fu¹³									
糊	fu¹³	~塗								
狐	fu¹³									
葫	fu¹³	~蘆								
壺	fu¹³									
鬍	fu¹³	~子								
虎	fu²¹									
戶	fu⁵³									
互	fu⁵³									
護	fu⁵³									
烏	u³⁵									
吳	ŋ̍¹³									
梧	ŋ̍¹³	~桐樹								
無	u¹³									
伍	ŋ̍²¹	白，數詞								
	u²¹	文，隊~								
舞	u³⁵									
武	u³⁵									
五	ŋ̍²¹									
午	ŋ̍²¹	白								
	u²¹	文								
誤	ŋu⁵³									
悟	ŋu⁵³									
務	u⁵³									
霧	u⁵³									
女	ɲi²¹									
呂	li²¹	姓								
旅	li²¹									
慮	li⁵³									
濾	li⁵³	過~								
居	tʂʯ³⁵									
拘	tʂʯ³⁵									
舉	tʂʯ²¹									
句	ci⁵³	白								
	tʂʯ⁵³	文								
鋸	ke⁵³	~屎：鋸木灰								
	cie⁵³	一把~，~斷								
聚	tʂʰi⁵³									
据	tʂʯ⁵³	拮~								
巨	tʂʯ⁵³									
據	tʂʯ⁵³	根~，憑~								
距	tʂʯ⁵³									
具	tʂʯ⁵³									
蛆	tʂʰi³⁵									
區	kʰuei³⁵	白								
	tʂʰʯ³⁵	文，~別								
渠	tʂʰʯ¹³									
取	ʦʰi²¹									
娶	ʦʰi²¹									
趣	ʦʰi⁵³									
去	çi³⁵									
虛	çi³⁵									
須	si³⁵	必~								
鬚	si³⁵	鬍~								
需	si³⁵									
徐	ʦʰi¹³									
許	çi²¹									
絮	si⁵³									
序	si⁵³									
敘	si⁵³									
緒	si⁵³									
婿	se⁵³									
余	i¹³	姓~								
餘	i¹³	多~								
愚	i¹³									
娛	ɲy¹³									
魚	ŋ̍¹³									
于	i¹³	白，姓~								
於	y¹³	文，等~								
盂	y¹³									
榆	y¹³									
愉	y¹³									
語	ɲy²¹									
雨	i²¹									
譽	y²¹									
預	y⁵³									
遇	y⁵³									
裕	i⁵³									
喻	y⁵³	比~								
擺	pai²¹									
拜	pai⁵³									
敗	pʰai⁵³									
稗	pʰa⁵³	~子，~草								
牌	pʰai¹³									
排	pʰai¹³									
派	pʰai⁵³									
埋	mai¹³									
買	mai³⁵									
賣	mai⁵³									
歹	kuai²¹	“拐”的訓讀音								
戴	tai⁵³									
帶	tai⁵³									
貸	tʰɔi⁵³									
待	tʰɔi⁵³									
代	tʰɔi⁵³									
袋	tʰɔi⁵³									
胎	tʰɔi³⁵									
擡	tʰɔi¹³									
臺	tʰɔi¹³	舞~								
太	tʰai⁵³									
泰	tʰai⁵³									
態	tʰai⁵³									
奶	lai²¹									
耐	lai⁵³	~心								
奈	lai⁵³	~何，無~								
來	lɔi¹³									
賴	lai⁵³									
災	ʦai³⁵									
宰	ʦai²¹									
載	ʦai²¹	三年五~，記~								
	ʦai⁵³	~重，~客								
在	ʦʰai⁵³									
再	ʦai⁵³									
猜	ʦʰai⁵³									
才	ʦʰɔi¹³									
財	ʦʰɔi¹³									
材	ʦʰɔi¹³									
裁	ʦʰɔi¹³									
彩	ʦʰai²¹									
采	ʦʰai²¹									
菜	ʦʰɔi⁵³									
蔡	ʦʰai⁵³									
鰓	sɔi³⁵	魚~								
賽	sai⁵³									
塞	sai⁵³	邊~，~外								
	sek⁵	~住，堵~								
齋	tsai³⁵									
債	ʦai⁵³									
差	ʦʰai³⁵	出~								
柴	ʦʰai¹³									
篩	sai³⁵									
曬	sai⁵³									
該	kɔi³⁵									
改	kɔi²¹									
概	kʰɔi⁵³	大~，~括								
蓋	kɔi⁵³									
開	kʰɔi³⁵									
揩	kʰai³⁵									
孩	xai¹³									
海	xɔi²¹									
害	xɔi⁵³									
哀	ŋai³⁵									
挨	ŋai³⁵	~著坐								
矮	ai²¹									
愛	ŋɔi⁵³	白								
	ŋai⁵³	文								
礙	ŋɔi⁵³	白								
	ŋai⁵³	文								
衰	sɔi³⁵									
帥	sai⁵³									
率	sai⁵³	~領								
乖	kuai³⁵									
拐	kuai²¹									
怪	kuai⁵³									
會	kʰuai⁵³	~計								
	fei⁵³	開~								
塊	kʰuai⁵³	一~錢								
快	kʰuai⁵³									
筷	kʰuai⁵³									
懷	fai¹³									
槐	fai¹³									
淮	fai¹³									
壞	fai⁵³									
歪	uai³⁵									
外	ŋɔi⁵³	白								
	uai⁵³	文								
杯	pi³⁵									
卑	pi³⁵	~鄙，自~								
碑	pi³⁵									
悲	pi³⁵									
倍	pʰi⁵³									
貝	pi⁵³									
輩	pi⁵³									
背	pɔi⁵³	~心，後~								
	pʰɔi⁵³	~書								
	pi⁵³	~人								
被	pʰi³⁵	~窩								
	pʰi⁵³	~動								
備	pʰi⁵³									
培	pʰi¹³									
陪	pʰi¹³									
賠	pʰi¹³									
配	pʰi⁵³									
佩	pʰi⁵³									
梅	mɔi¹³									
媒	mɔi¹³									
眉	mi¹³									
黴	mi¹³									
美	mi³⁵									
每	mi³⁵									
妹	mɔi⁵³									
非	fei³⁵									
飛	fei³⁵									
肥	pʰi¹³	白								
	fei¹³	文								
匪	fei²¹									
費	fei⁵³									
肺	fei⁵³									
廢	fei⁵³									
痱	fei³⁵	~子粉								
內	li⁵³									
雷	li¹³									
累	li²¹	積~								
	li⁵³	勞~								
類	li⁵³									
淚	li⁵³									
堆	tɔi³⁵									
對	ti⁵³									
隊	ti⁵³									
推	tʰɔi³⁵	白								
	tʰi³⁵	文								
腿	tʰɔi²¹									
退	tʰi⁵³									
嘴	ʦi²¹									
最	ʦi⁵³									
罪	ʦʰi⁵³									
醉	ʦi⁵³									
催	ʦʰi³⁵									
崔	ʦʰi³⁵									
脆	ʦʰɔi⁵³									
翠	ʦʰɔi⁵³									
雖	si³⁵									
隨	ʦʰi¹³									
碎	si⁵³									
歲	sɔi⁵³									
追	tʂei³⁵									
吹	tʂʰei³⁵									
炊	tʂʰei³⁵									
垂	tʂʰei¹³									
錘	tʂʰei¹³									
誰	ʂei¹³									
水	ʂei²¹									
稅	ʂei⁵³									
睡	ʂɔi⁵³									
規	kuei³⁵									
龜	kuei³⁵	烏~								
歸	kuei³⁵									
鬼	kuei²¹									
軌	kuei²¹									
桂	kuei⁵³									
貴	kuei⁵³									
跪	kʰuei²¹									
櫃	kʰuei⁵³	大衣~								
虧	kʰuei³⁵									
葵	kʰuei¹³									
愧	kʰuei⁵³									
潰	kʰuei⁵³	崩~，~爛								
灰	fɔi³⁵									
揮	fei³⁵									
輝	fei³⁵									
徽	fei³⁵									
回	fei¹³									
毀	fei²¹									
悔	fei²¹									
賄	fei²¹									
匯	fei⁵³									
惠	fei⁵³									
微	uei¹³									
危	ŋuei¹³	白								
	uei¹³	文								
威	uei³⁵									
圍	uei¹³									
爲	uei¹³	作~								
	uei⁵³	~什麼								
維	uei¹³	~護，~修								
惟	uei¹³	~一								
違	uei¹³									
委	uei³⁵									
尾	mi³⁵									
偉	uei²¹									
葦	uei²¹									
位	uei⁵³									
衛	uei⁵³									
未	uei⁵³	辰巳午~								
味	uei⁵³									
魏	ŋuei⁵³									
胃	uei⁵³									
謂	uei⁵³	無所~								
包	pau³⁵									
飽	pau²¹									
保	pau²¹									
寶	pau²¹									
堡	pau²¹	~壘								
報	pau⁵³									
暴	pʰau⁵³	~露，~躁								
豹	pau⁵³									
爆	pau⁵³	~炸								
泡	pʰau⁵³	氣~，燈~；~茶，~藥酒								
袍	pʰau¹³									
跑	pʰau²¹									
炮	pʰau⁵³	大~								
貓	miau⁵³									
毛	mau³⁵									
茅	mau¹³									
矛	mau¹³									
卯	mau³⁵									
冒	mau⁵³	~險，~充								
帽	mau⁵³									
貌	mau⁵³									
茂	miau⁵³									
貿	miau⁵³									
刀	tau³⁵									
導	tʰau⁵³									
島	tau²¹									
倒	tau²¹	打~，墙~了								
	tau⁵³	~水								
搗	tau²¹									
道	tʰau⁵³									
到	tau⁵³									
稻	tʰau⁵³									
盜	tʰau⁵³									
桃	tʰau¹³									
逃	tʰau¹³									
陶	tʰau¹³									
討	tʰau²¹									
套	tʰau⁵³									
腦	lau²¹									
惱	lau²¹									
鬧	lau⁵³									
撈	lau¹³	~起來								
勞	lau¹³									
牢	lau¹³									
老	lau²¹									
糟	ʦau³⁵									
遭	ʦau³⁵									
早	ʦau²¹									
棗	ʦau²¹									
躁	ʦau⁵³									
灶	ʦau⁵³									
皂	ʦʰau⁵³									
造	ʦʰau⁵³									
操	ʦʰau³⁵									
糙	ʦʰau⁵³	~米								
曹	ʦʰau¹³									
槽	ʦʰau¹³									
草	ʦʰau²¹									
騷	sau³⁵	~貨，風~								
臊	sau³⁵	~氣								
	sau⁵³	~子								
掃	sau⁵³	~地；~把，~帚								
嫂	sau²¹									
朝	tʂau³⁵	~霞，今~								
	tʂau¹³	~代								
招	tʂau³⁵									
昭	tʂau³⁵	~山，王~君，~雪								
爪	tsau²¹	張牙舞~；雞~子								
找	tsau²¹									
照	tʂau⁵³									
罩	ʦau⁵³									
趙	tʂʰau⁵³									
兆	tʂʰau⁵³									
抄	ʦʰau³⁵	~家，~寫								
鈔	ʦʰau³⁵	~票								
超	tʂʰau³⁵									
潮	tʂʰau¹³									
巢	ʦʰau¹³									
炒	ʦʰau²¹									
吵	ʦʰau²¹									
燒	ʂau³⁵									
稍	sau³⁵									
少	ʂau²¹	多~								
	ʂau⁵³	~年								
紹	ʂau⁵³									
饒	ɲiau¹³	求~，富~								
擾	iau²¹									
繞	iau²¹									
高	kau³⁵									
膏	kau³⁵	~藥								
糕	kau³⁵									
稿	kau²¹									
搞	kau²¹									
告	kau⁵³									
考	kʰau²¹									
烤	kʰau²¹									
靠	kʰau⁵³									
蒿	xau³⁵									
豪	xau¹³									
毫	xau¹³									
好	xau²¹	~壞								
	xau⁵³	愛~								
號	xau⁵³	~碼								
熬	ŋau¹³									
襖	au²¹									
傲	ŋau⁵³									
標	piau³⁵									
彪	piau³⁵									
表	piau²¹	申請~，~揚								
錶	piau²¹	手~								
飄	pʰiau³⁵									
瓢	pʰiau¹³									
漂	pʰiau²¹	~白，~洗								
	pʰiau⁵³	~亮								
票	pʰiau⁵³									
苗	miau¹³									
描	miau¹³									
秒	miau²¹									
廟	miau⁵³									
妙	miau⁵³									
刁	tiau³⁵									
貂	tiau³⁵									
雕	tiau³⁵									
釣	tiau⁵³									
吊	tiau⁵³									
掉	tiau⁵³									
調	tiau⁵³	~動								
	tʰiau¹³	~和								
挑	tʰiau³⁵									
條	tʰiau¹³									
跳	tʰiau⁵³									
鳥	tiau³⁵									
遼	liau¹³									
療	liau¹³									
了	liau²¹	~解								
料	liau⁵³									
焦	ʦiau³⁵									
蕉	ʦiau³⁵									
椒	ʦiau³⁵									
交	ciau³⁵									
郊	ciau³⁵									
膠	kau³⁵									
教	kau³⁵	~書								
	ciau⁵³	~育								
驕	ciau³⁵	~傲								
嬌	ciau³⁵	~氣，~生慣養								
澆	ciau³⁵									
絞	ciau²¹									
狡	ciau²¹									
攪	ciau²¹									
叫	ciau⁵³									
校	ciau⁵³	~對；學~								
較	ciau⁵³									
轎	cʰiau⁵³									
敲	kʰau³⁵									
橋	cʰiau¹³									
樵	ʦʰiau¹³	劉海砍~，~夫								
喬	cʰiau¹³									
僑	cʰiau¹³	華~								
巧	cʰiau²¹									
竅	cʰiau⁵³	開~								
消	siau³⁵									
宵	siau³⁵	元~，夜~								
硝	siau³⁵									
霄	siau³⁵	羅~山脈，雲~								
銷	siau³⁵									
蕭	siau³⁵									
簫	siau³⁵									
小	siau²¹									
曉	çiau²¹									
笑	siau⁵³									
孝	xau⁵³	白								
	çiau⁵³	文								
效	xau⁵³	白								
	çiau⁵³	文								
妖	iau³⁵									
邀	iau³⁵									
腰	iau³⁵									
要	iau³⁵	~求								
	iau⁵³	想~，重~								
么	iau³⁵	老~								
肴	iau¹³	美酒佳~								
搖	iau¹³									
謠	iau¹³	造~								
窯	iau¹³									
遙	iau¹³									
姚	iau¹³									
咬	ŋau³⁵									
舀	iau²¹	~一瓢水								
謀	miau¹³									
某	miau³⁵									
否	fei²¹	~決								
兜	tei³⁵									
抖	tei²¹									
陡	tei²¹									
斗	tei²¹	一~米								
鬥	tei⁵³	~爭								
豆	tʰei⁵³									
痘	tʰei⁵³	青春~，牛~								
偷	tʰei³⁵									
頭	tʰei¹³									
投	tʰei¹³									
透	tʰei⁵³									
樓	lei¹³									
漏	lei⁵³									
鄒	ʦei³⁵									
走	ʦei²¹									
奏	ʦei⁵³	鳴炮~樂，節~								
驟	ʦʰei⁵³	步~								
湊	ʦʰei⁵³									
搜	sei³⁵									
餿	sei³⁵									
周	tʂəu³⁵									
舟	tʂəu³⁵									
州	tʂəu³⁵									
洲	tʂəu³⁵									
肘	tʂəu²¹									
帚	tʂəu²¹									
晝	tʂəu⁵³									
皺	tʂəu⁵³									
抽	tʂʰəu³⁵									
稠	tʂʰəu¹³									
綢	tʂʰəu¹³									
愁	tʂʰəu¹³									
酬	tʂʰəu¹³	應~，報~								
丑	tʂʰəu²¹	子~寅卯								
醜	tʂʰəu²¹	美~								
臭	tʂʰəu⁵³	香~								
收	ʂəu³⁵									
手	ʂəu²¹									
首	ʂəu²¹									
守	ʂəu²¹									
獸	ʂəu⁵³									
受	ʂəu⁵³									
壽	ʂəu⁵³									
售	tʂʰəu¹³	出~，~票員								
瘦	sei⁵³									
柔	iəu¹³									
揉	iəu¹³									
勾	ciei³⁵	~引，~魂								
鉤	ciei³⁵									
溝	ciei³⁵									
狗	ciei²¹									
夠	ciei⁵³									
構	kei⁵³									
購	kei⁵³									
口	xei²¹									
扣	cʰiei⁵³									
寇	kʰei⁵³	姓~，敵~								
喉	xei¹³									
猴	xei¹³									
厚	xei³⁵									
後	xei⁵³	今~								
候	xei⁵³	~車室								
嘔	ei²¹									
藕	ɲiau²¹									
偶	ɲiau²¹	白，~然，配~								
	ŋei²¹	文								
丟	tiəu³⁵									
牛	ɲiəu¹³									
扭	ɲiəu²¹	~秧歌，~轉								
溜	liəu³⁵	~冰，~滑								
流	liəu¹³									
劉	liəu¹³									
留	liəu¹³									
硫	liəu¹³	~磺								
柳	liəu³⁵									
糾	ciəu³⁵									
酒	ʦiəu²¹									
九	ciəu²¹									
久	ciəu²¹									
韭	ciəu²¹									
灸	ciəu²¹									
究	ciəu⁵³									
救	ciəu⁵³									
就	ʦʰiəu⁵³									
舅	cʰiəu³⁵									
舊	cʰiəu⁵³									
丘	cʰiəu³⁵									
秋	ʦʰiəu³⁵									
求	cʰiəu¹³									
球	cʰiəu¹³									
休	çiəu³⁵									
修	siəu³⁵									
朽	çiəu²¹									
秀	siəu⁵³									
繡	siəu⁵³									
袖	ʦʰiəu⁵³									
憂	iəu³⁵									
