#漢字	音標
汥	tsɿ1
汥	tɕʰi2
汥	tɕʰi6
枝	tsɿ1
枝	tɕi1
㲍	tsɿ1
肢	tsɿ1
肢	tɕi1
栀	tsɿ1
胑	tsɿ1
㽻	tsɿ1
衼	tsɿ1
衹	tsɿ1
衹	tɕʰi2
㩼	tsɿ1
㩼	tsɿ5
𥾣	tsɿ1
梔	tsɿ1
梔	tɕi1
𨈛	tsɿ1
䧴	sɿ5
䧴	tsɿ1
禔	sɿ5
禔	tsɿ1
禔	tʰi2
馶	sɿ5
馶	tsɿ1
馶	tɕi5
馶	tɕʰi2
榰	tsɿ1
𧌔	tsɿ1
㯄	tsɿ1
鳷	tsɿ1
𪂅	tsɿ1
𩍲	tsɿ1
疻	tsɿ1
觶	tsɿ1
觶	tsɿ5
砥	ti3
砥	tsɿ1
砥	tsɿ3
栺	tsɿ1
栺	ȵi6
祗	tsɿ1
脂	tsɿ1
脂	tsɿ3
脂	tɕi1
脂	tɕi3
䓜	tsɿ1
㴯	tsɿ1
𥁼	tsɿ1
鴲	tsɿ1
鴲	tsɿ5
汦	tsɿ1
汦	tsɿ3
之	tsɿ1
之	tɕi1
㞢	tsɿ1
芝	tsɿ1
芝	tɕi1
臸	tsɿ1
臸	ȵit7
吱	tsɿ1
吱	tɕi1
𧩼	tsɿ3
𧩼	tsʰɿ3
徵	tsɨn1+
徵	tsɿ3
徵	tɕin1
㨖	tsɿ3
㨖	tsɿ5
夂	tsɿ3
黹	tsɿ3
𢾫	tsɿ3
𧛢	tsɿ3
茈	tsɿ3
茈	tsʰai2
茈	tsʰɿ2
跐	tsɿ3
跐	tsʰɿ3
訿	tsɿ3
㧗	tsɿ3
㧗	tɕi3
呰	tsɿ3
啙	tsɿ3
啙	tɕi1
啙	tɕʰi6
紫	tsɿ3
𣸆	tsɿ3
仔	tsai3
仔	tsɿ3
子	tsɿ3
㜽	tsɿ3
杍	tsɿ3
秄	tsɿ3
耔	tsɿ3
虸	tsɿ3
籽	tsɿ3
梓	tsɿ3
姊	tsɿ3
𡛷	tsɿ3
秭	tsɿ3
𠂔	tsɿ3
胏	tsɿ3
笫	tsɿ3
䔂	tsɿ3
滓	tsɿ3
厎	tsɿ3
旨	tsɿ3
旨	tɕi3
指	tsɿ3
指	tɕi3
恉	tsɿ3
䛗	tsɿ3
酯	tsɿ3
酯	tɕi3
𧿲	tsɿ3
止	tsɿ3
止	tɕi3
阯	tsɿ3
址	tsɿ3
址	tɕi3
芷	tsɿ3
沚	tsɿ3
洔	tsɿ3
洔	tsʰɿ6
茝	tsɿ3
趾	tsɿ3
趾	tɕi3
畤	sɿ6
畤	tsɿ3
畤	tsʰɿ6
坻	ti3
坻	tsɿ3
坻	tsʰɿ2
恀	sɿ6
恀	tsɿ3
恀	tsʰɿ3
坁	tsɿ3
扺	tsɿ3
帋	tsɿ3
抧	tsɿ3
𣲵	tsɿ3
枳	tsɿ3
枳	tɕi3
咫	tsɿ3
紙	tsɿ3
紙	tɕi3
軹	tsɿ3
䅩	tsɿ3
䳅	tsɿ3
茋	tsɿ3
茋	tɕi3
𣱐	in5
𣱐	tsɿ5
𨎌	tsɿ5
致	tsɿ5
致	tɕi5
輊	tsɿ5
疐	ti5
疐	tsɿ5
質	tsɨt7
質	tsɿ5
質	tɕit7
駤	tsɿ5
䞃	tsɿ5
懥	tsɿ5
𢷐	tsɿ5
懫	tsɨt7
懫	tsɿ5
懫	tɕit7
騺	tsɿ5
𨆫	tsɿ5
𨇈	tsɿ5
躓	tsɿ5
智	tsɿ5
智	tɕi5
𣉻	tsɿ5
潪	tsɿ5
潪	tsʰɨt8
潪	tɕʰit8
𢐂	sɿ5
𢐂	tsɿ5
恣	tsɿ5
𣣌	tsɿ5
𣣌	tsʰɿ3
剚	tsɿ5
倳	tsɿ5
胾	tsɿ5
𤿙	pʰi6
𤿙	tsɿ5
𧙁	tsɿ5
伎	tsɿ5
伎	tɕʰi2
伎	tɕʰi6
伿	i6
伿	tsɿ5
𢻈	tsɿ5
忮	tsɿ5
䚳	tsɿ5
寘	tsɿ5
𡽆	tsɿ5
志	tsɿ5
志	tɕi5
䓌	tsɿ5
娡	tsɿ5
痣	tsɿ5
痣	tɕi5
誌	tsɿ5
誌	tɕi5
至	tsɿ5
至	tɕi5
𢄢	sui5
𢄢	tsɿ5
𡠗	tsɨt7
𡠗	tsɿ5
𡠗	tɕit7
摯	tsɿ5
𩊞	tsɿ5
𩊝	tsɿ5
贄	tsɿ5
䥍	pʰi6
䥍	tsɨt7
䥍	tsɿ5
䥍	tɕit7
䥍	ɕiet7
礩	tsɨt7
礩	tsɿ5
礩	tɕit7
鷙	tsɿ5
䲀	tsɿ5
㿃	tai5
㿃	tsɿ5
㿃	tɕi5
迣	tsɿ5
迣	tɕi5
䀸	tsɿ5
䀸	tsʰɿ3
䀸	tɕi5
䀸	tɕʰi3
𢝃	tsɿ5
𢝃	tɕi5
晢	tset7
晢	tsɿ5
晢	tɕi5
淛	tsɿ5
淛	tɕi5
𠛐	tsɿ5
𠛐	tɕi5
制	tsɿ5
制	tɕi5
狾	tsɿ5
狾	tɕi5
㝂	tsɿ5
㝂	tɕi5
𦜗	tsɿ5
𦜗	tɕi5
𥍭	tsɿ5
𥍭	tɕi5
䇽	tsɿ5
䇽	tɕi5
䎺	tsɿ5
䎺	tɕi5
製	tsɿ5
製	tɕi5
䭁	tsɿ5
䭁	tɕi5
䩢	tset7
䩢	tsɿ5
䩢	tɕi5
𤴟	tsɿ5
𤴟	tɕi5
䱥	tsɿ5
䱥	tɕi5
差	tsʰa1
差	tsʰai1
差	tsʰai3
差	tsʰɿ1
笞	tsʰɿ1
笞	tɕʰi1
痴	tsʰɿ1
痴	tɕʰi1
癡	tsʰɿ1
癡	tɕʰi1
齝	sɿ1
齝	tsʰɿ1
瓻	tsʰɿ1
𥭘	tsʰɿ1
絺	tsʰɿ1
訵	tsʰɿ1
訵	tsʰɿ3
郗	tsʰɿ1
脪	tsʰɿ1
脪	ɕin5
辴	tsʰɨn3+
辴	tsʰɿ1
辴	tɕʰin3
摛	tsʰɿ1
𡴥	tsʰɿ1
㷰	li5
㷰	tsʰɿ1
螭	tsʰɿ1
魑	tsʰɿ1
魑	tɕʰi1
彲	tsʰɿ1
黐	li5
黐	tsʰɿ1
誺	lai6
誺	tsʰɿ1
誺	tsʰɿ3
𨌅	tsʰai2
𨌅	tsʰɿ1
𨌅	tsʰɿ2
𡰾	tsʰɿ1
趀	tsʰɿ1
𧠵	tsʰɿ1
𧾒	tsʰɿ1
𡳠	tsʰɿ1
蠀	tsʰɿ1
郪	tsʰɿ1
郪	tɕʰi1
趑	tsʰɿ1
𦍧	tsʰɿ1
𦙼	tsʰɿ1
胔	tsʰɿ1
胔	tsʰɿ2
胔	tsʰɿ6
縒	so3
縒	tsʰɔk7
縒	tsʰɔʔ7+
縒	tsʰɿ1
𪙉	tsʰɿ1
嵯	tsʰo2
嵯	tsʰɿ1
颸	tsʰɿ1
妛	tsʰɿ1
蚩	tsʰɿ1
𦐉	tsʰɿ1
嗤	tsʰɿ1
媸	tsʰɿ1
𥉍	tsʰɿ1
𣍆	tsʰɿ1
𣍆	ȵin5
𨒬	tsʰɿ1
𨾦	tsʰɿ1
鴟	tsʰɿ1
𩶅	tsʰɿ1
鵄	tsʰɿ1
𧪡	tsʰɿ1
胵	tsʰɿ1
䌳	sɿ1
䌳	tsʰɿ1
池	tsʰɿ2
池	tɕʰi2
䪧	tsʰɿ2
馳	tsʰɿ2
馳	tɕʰi2
趍	tsʰɿ2
趍	tɕʰy1
踟	tsʰɿ2
篪	tsʰɿ2
䞾	tsʰɿ2
䶔	tsʰɿ2
䶵	tsʰɿ2
褫	tsʰe1
褫	tsʰɿ2
誃	tsʰɿ2
誃	tsʰɿ3
簃	i5
簃	tsʰɿ2
傂	sɿ1
傂	tsʰɿ2
傂	tsʰɿ6
岻	ti1
岻	tsʰɿ2
蚳	tsʰɿ2
貾	tsʰɿ2
𡎰	tsʰɿ2
遟	tsʰɿ2
遟	tɕʰi2
墀	tsʰɿ2
遲	tsʰɿ2
遲	tɕʰi2
謘	tsʰɿ2
謘	tsʰɿ6
彽	tsʰɿ2
阺	tsʰɿ2
莉	li5
莉	li6
莉	tsʰɿ2
荎	tsʰɿ2
荎	tʰiet8
菭	tsʰɿ2
菭	tʰai2
泜	tsʰɿ2
持	tsʰɿ2
持	tɕʰi2
治	tsʰɿ2
治	tsʰɿ6
治	tɕʰi2-
治	tɕʰi6
雌	tsʰɿ2
茨	tsʰɿ2
垐	tsʰɿ2
垐	tɕʰit8
瓷	tsʰɿ2
𥿆	tsʰɿ2
餈	tsʰɿ2
糍	tsʰɿ2
薋	tsʰɿ2
𩜴	tsʰɿ2
𧓉	tsʰɿ2
薺	tsʰɿ2
薺	tɕʰi6
䆅	tsʰɿ2
玼	tsʰɿ2
玼	tsʰɿ3
玼	tɕʰi3
疵	tsʰɿ2
骴	tsʰɿ2
骴	tsʰɿ6
𣐑	tsʰɿ2
飺	tsʰɿ2
慈	tsʰɿ2
磁	tsʰɿ2
濨	tsʰɿ2
礠	tsʰɿ2
柌	tsʰɿ2
祠	tsʰɿ2
詞	tsʰɿ2
辝	tsʰɿ2
辤	tsʰɿ2
辭	tsʰɿ2
茌	tsʰɿ2
齹	tsʰo2
齹	tsʰɿ2
漦	tsʰɿ2
弛	tsʰɿ2
弛	tɕʰi2
刺	tsʰɿ3
恥	tsʰɿ3
恥	tɕʰi3
祉	tsʰɿ3
𡳭	tsʰɿ3
𧖛	tsʰɿ3
杘	tsʰɿ3
𣐉	tsʰɿ3
跮	tsʰɨt7
跮	tsʰɿ3
跮	tɕʰit7
𦥊	tsʰɿ3
䰡	tsʰɿ3
眙	i5
眙	tsʰɿ3
佁	i3
佁	tsʰɿ3
此	tsʰɿ3
佌	tsʰɿ3
𠈈	sɿ3
𠈈	tsʰɿ3
泚	tsʰɿ3
泚	tɕʰi3
𧺼	tsʰɿ3
𩢑	tsʰɿ3
𡘌	hai3
𡘌	tsʰɿ3
朿	tsʰɿ3
刾	tsʰɿ3
㢀	tsʰɿ3
庛	tsʰɿ3
莿	tsʰɿ3
蛓	tsʰɿ3
𧧒	tsʰɿ3
䛋	tsʰɿ3
䛋	tɕʰi6
㡹	tsʰɿ3
次	tsʰɿ3
佽	tsʰɿ3
𧊒	tsʰɿ3
絘	tsʰɿ3
𩾔	tsʰɿ3
䯸	tsʰɿ3
䳐	tsʰɿ3
䰍	tsʰɿ3
䰍	ɕiu1
𧉠	tsʰɿ3
螆	tsʰɿ3
賜	tsʰɿ3
伺	tsʰɿ3
欼	tsʰɿ3
㱀	tsʰɿ3
㓼	tsʰet7
㓼	tsʰɿ3
𠟴	tsʰɿ3
侈	tsʰɿ3
侈	tɕʰi3
垑	tsʰɿ3
㢁	tsʰɿ3
㶴	tsʰɿ3
𧰲	tsʰɿ3
㢋	tsʰɿ3
袳	tsʰɿ3
袲	i5
袲	la3
袲	tsʰɿ3
鉹	i5
鉹	tsʰɿ3
懘	tsʰɿ3
懘	tɕʰi3
哆	to3
哆	to5
哆	tsa5
哆	tsʰa1
哆	tsʰa3
哆	tsʰɿ3
𡚼	tsʰɿ3
姼	sɿ5
姼	sɿ6
姼	tsʰɿ3
齒	tsʰɿ3
齒	tɕʰi3
紕	pʰi1
紕	pʰi2
紕	tsʰɿ3
𩜮	tsʰɿ3
𢨒	tsʰɿ3
熾	tsʰɿ3
饎	tsʰɿ3
糦	tsʰɿ3
埴	tsʰɨt7
埴	tsʰɿ3
幟	sɿ5
幟	tsʰɿ3
卶	sɿ5
卶	tsʰɿ3
痓	tsʰɿ3
翅	tsʰɿ3
翅	tɕʰi3
䚢	tsʰet7
䚢	tsʰɿ3
䚢	tɕʰi3
傺	tsʰɿ3
傺	tɕʰi3
䟷	tsʰɿ3
䟷	tɕʰi3
𧼪	tsʰɿ3
𧼪	tɕʰi3
揥	ti1
揥	tsʰɿ3
揥	tɕʰi3
慸	tsʰai3
慸	tsʰɿ3
慸	tɕʰi3
慸	tʰi6
𨂰	tsʰɿ3
𨂰	tɕʰi3
𥉻	tsʰat8
𥉻	tsʰɿ3
𥉻	tɕʰi3
㑜	i6
㑜	tsʰɿ3
㑜	tɕʰi3
𢘽	i6
𢘽	tsʰɿ3
𢘽	tɕʰi3
跇	i6
跇	tsʰɿ3
跇	tɕʰi3
掣	tsʰet7
掣	tsʰɿ3
掣	tɕʰi3
𢜳	tsʰɿ3
𢜳	tɕʰi3
痸	tsʰɿ3
痸	tɕʰi3
銐	tsʰɿ3
銐	tsʰɿ6
銐	tɕʰi3
銐	tɕʰi6
𤸪	tsʰɿ3
𤸪	tɕʰi3
瘛	tsʰet7
瘛	tsʰɿ3
瘛	tɕʰi3
瘛	ɕi6
𤢻	tsʰɿ3
𤢻	tɕʰi3
踶	tsʰɿ6
踶	tʰi6
陊	tsʰɿ6
陊	tʰo6
徥	sɿ6
徥	tsʰɿ6
䊓	sɿ5
䊓	tsʰɿ6
褆	sɿ6
褆	tsʰɿ6
褆	tʰi2
杝	i5
杝	tsʰɿ6
阤	sɿ3
阤	tsʰɿ6
豸	tsʰai6
豸	tsʰɿ6
廌	tsʰai6
廌	tsʰɿ6
𢊁	tsʰai6
𢊁	tsʰɿ6
䚦	tsʰɿ6
秲	sɿ6
秲	tsʰɿ6
峙	tsʰɿ6
庤	tsʰɿ6
歭	tsʰɿ6
歭	tɕʰi6
㣥	tsʰɿ6
痔	tsʰɿ6
痔	tɕʰi6
跱	tsʰɿ6
雉	tsʰɿ6
滍	tsʰɿ6
薙	sɿ6
薙	tsʰɿ6
薙	tʰi3
𠊷	tsʰɿ6
稚	tsʰɿ6
稚	tɕʰi6
𢴧	tsʰɿ6
稺	tsʰɿ6
緻	tsʰɿ6
𦃘	tsʰɿ6
𩋩	tsʰɿ6
𦥐	tsʰɿ6
𩹈	tsʰɿ6
𠍜	tsʰɿ6
髊	tsʰɿ6
㧘	tsʰai2
㧘	tsʰɿ6
㧘	tɕʰi6
眥	tsʰɿ6
眥	tɕʰi6
漬	tsʰɿ6
㱴	tsʰɿ6
𦎸	tsʰɿ6
𦎸	tɕi5
自	tsʰɿ6
芓	tsʰɿ6
字	tsʰɿ6
茡	tsʰɿ6
牸	tsʰɿ6
寺	tsʰɿ6
柿	sɿ6
柿	tsʰɿ6
蹛	tai5
蹛	tsʰɿ6
蹛	tɕʰi6
璏	tsʰɿ6
璏	tɕʰi6
璏	ui6
璏	yot7
𦭮	tsʰɿ6
𦭮	tɕʰi6
彘	tsʰɿ6
彘	tɕʰi6
滯	tsʰɿ6
滯	tɕʰi6
𩻼	tsʰɿ6
𩻼	tɕʰi6
虒	sɿ1
斯	sɿ1
㴲	sɿ1
榹	sɿ1
㒋	sɿ1
凘	sɿ1
禠	sɿ1
䔮	sɿ1
磃	sɿ1
廝	sɿ1
㽄	sɿ1
㽄	ɕi1
燍	sɿ1
𥕶	sɿ1
蟴	sɿ1
䫢	sɿ1
鐁	sɿ1
𪆁	sɿ1
鼶	sɿ1
鼶	tʰi2
𩆵	sɿ1
𩆵	ɕien5
謕	sɿ1
謕	tʰi1
謕	tʰi2
菥	sɿ1
菥	ɕit7
蜤	sɿ1
㾷	sɿ1
㾷	ɕi1
螔	i5
螔	sɿ1
厶	sɿ1
㺨	sɿ1
私	sɿ1
俬	sɿ1
𦮺	sɿ1
鋖	sɿ1
司	sɿ1
思	sɿ1
𥄶	sɿ1
恖	sɿ1
絲	sɿ1
楒	sɿ1
禗	sɿ1
罳	sɿ1
㺇	sɿ1
蕬	sɿ1
噝	sɿ1
𥯨	sɿ1
緦	sɿ1
鍶	sɿ1
鷥	sɿ1
偲	sɿ1
偲	tsʰai1
覗	sɿ1
覗	sɿ5
𧕯	li5
𧕯	sɿ1
欐	li3
欐	li6
欐	sɿ1
簁	sɿ1
簁	sɿ3
釃	su1
釃	sɿ1
釃	sɿ3
褷	sɿ1
襹	sɿ1
襹	sɿ5
籭	sai1
籭	sɿ1
師	sɿ1
蒒	sɿ1
獅	sɿ1
鰤	sɿ1
螄	sɿ1
𪗪	sɿ1
邿	sɿ1
呞	sɿ1
詩	sɿ1
䀢	sun5
䀢	sɨn3+
䀢	sɿ1
䀢	ɕin3
䀵	sɿ1
鸍	mi5
鸍	sɿ1
𢻫	sɿ1
𢻱	sɿ1
施	sɿ1
施	ɕi1
絁	sɿ1
葹	sɿ1
䙾	sɿ1
𧠜	sɿ1
䗐	sɿ1
䗐	sɿ5
鍦	sa5
鍦	sɿ1
鍦	sɿ5
𪓿	sɿ1
𦇲	sɿ1
鉈	sa5
鉈	sɿ1
尸	sɿ1
尸	ɕi1
屍	sɿ1
屍	ɕi1
蓍	sɿ1
鳲	sɿ1
萆	pʰit8
萆	sɿ3
䈚	sɿ3
䈚	tʰai2
䈚	tʰai6
枲	sɿ3
葸	sɿ3
𤟧	sɿ3
𠪙	sɿ3
諰	sai1
諰	sɿ3
𢇌	sɿ3
死	sɿ3
矖	li5
矖	sɿ3
纚	sɿ3
蓰	sɿ3
蓰	ɕi3
屣	sɿ3
屣	sɿ5
屣	ɕi3
縰	sɿ3
𩌦	sai3
𩌦	sɿ3
𩌦	sɿ5
躧	sai3
躧	sɿ3
𩎉	sɿ3
史	sɿ3
使	sɿ3
駛	sɿ3
𩰢	sɿ3
𩰢	sɿ5
豉	sɿ3
豉	ɕi3
豕	sɿ3
矢	sɿ3
𠂕	sɿ3
𦳊	sɿ3
始	sɿ3
始	ɕi3
澌	sɿ5
𣩠	sɿ5
儩	sɿ5
𧀩	sɿ5
杫	sɿ5
笥	sɿ5
亖	sɿ5
四	sɿ5
泗	sɿ5
柶	sɿ5
牭	sɿ5
肂	sɿ5
肆	sɿ5
駟	sɿ5
𧳙	sɿ5
𧳙	tɕʰi6
𩬶	sɿ5
蕼	sɿ5
𨽼	sɿ5
㣈	sɿ5
𦞤	sɿ5
𣳪	sɿ5
𧳅	sɿ5
𨽄	sɿ5
𦳚	sɿ5
𦑡	sɿ5
忯	sɿ5
忯	tɕʰi2
𣏚	sɿ5
㖷	sɿ5
䈕	sɿ5
眂	sɿ5
眂	sɿ6
匙	sɿ5
匙	ɕi5
旹	sɿ5
峕	sɿ5
時	sɿ5
時	ɕi5
塒	sɿ5
蒔	sɿ5
蒔	sɿ6
榯	sɿ5
鼭	sɿ5
鰣	sɿ5
𢻃	sɿ5
䩃	sɿ5
鯷	sɿ5
鯷	tʰi2
鯷	tʰi6
翄	sɿ5
翄	tɕʰi2
𦐊	sɿ5
啻	sɿ5
翨	sɿ5
翨	tɕi5
𤖻	sɿ5
𤖻	tɕʰieu2
㒾	i6
㒾	sɿ5
僿	sɿ5
弑	sɿ5
試	sɿ5
䛈	sɿ5
蔱	sat7
蔱	sɿ5
鎩	sai5
鎩	sat7
鎩	sɿ5
㡜	sɿ5
㡜	ɕiet7
㡜	ɕyot7
世	sɿ5
世	ɕi5
丗	sɿ5
丗	ɕi5
貰	sa6
貰	sɿ5
貰	ɕi5
勢	sɿ5
勢	ɕi5
鈶	sɿ6
似	sɿ6
巳	i3
巳	sɿ6
汜	sɿ6
佀	sɿ6
泤	sɿ6
祀	sɿ6
姒	sɿ6
𦓨	sɿ6
𥘰	sɿ6
洍	i5
洍	sɿ6
耜	sɿ6
𪊍	sɿ6
禩	sɿ6
攺	i3
攺	sɿ6
䒨	sɿ6
兕	sɿ6
𠒃	sɿ6
𠒅	sɿ6
𧰽	sɿ6
𧱅	sɿ6
羠	i5
羠	sɿ6
飤	sɿ6
嗣	sɿ6
飼	sɿ6
事	sɿ6
士	sɿ6
仕	sɿ6
𢨪	sɿ6
柹	sɿ6
枾	sɿ6
𣐈	sɿ6
戺	sɿ6
𩛌	sɿ6
𥾩	sɿ6
俟	sɿ6
𢓪	sɿ6
涘	sɿ6
竢	sɿ6
𥏳	sɿ6
騃	sɿ6
騃	ŋai3
氏	sɿ6
氏	ɕi6
𤜣	sɿ6
䟗	sɿ6
諟	sɿ6
媞	sɿ6
媞	tʰi2
媞	tʰi6
市	sɿ6
市	ɕi6
恃	sɿ6
鈰	sɿ6
眎	sɿ6
眡	sɿ6
眡	ti1
視	sɿ6
視	ɕi6
醏	sɿ6
醏	tu1
𩜼	sɿ6
嗜	sɿ6
𨢍	sɿ6
𩝙	sɿ6
侍	sɿ6
𦧇	sɿ6
舐	se1-
舐	sɿ6=
舓	sɿ6
礻	sɿ6
示	sɿ6
示	ɕi6
諡	sɿ6
謚	it7
謚	sɿ6
貤	i6
貤	sɿ6
逝	sɿ6
逝	ɕi6
𦚨	sɿ6
𦚨	ɕi6
觢	sɿ6
觢	ɕi6
𣂯	sɿ6
𣂯	ɕi6
筮	sɿ6
筮	ɕi6
𧻸	sɿ6
𧻸	ɕi6
誓	sɿ6
誓	ɕi6
銴	lui6
銴	sɿ6
銴	ɕi6
噬	sɿ6
噬	ɕi6
遾	sɿ6
遾	ɕi6
澨	sɿ6
澨	ɕi6
簭	sɿ6
簭	ɕi6
忕	sɿ6
忕	tʰai3
忕	tʰai6
忕	ɕi6
拽	iet7
拽	sɿ6
拽	ɕi6
廁	sɿ0
襬	pi1
襬	pʰi3
陂	pi1
陂	pi5
碑	pi1
㽡	pi1
㗗	pi1
㗗	pi3
藣	pi1
藣	pi5
𥶓	pi1
𨰟	pi1
詖	pi1
詖	pi5
𤜑	pi1
𨧦	pi1
錍	pi1
錍	pʰi1
焷	pi1
焷	pʰi2
𥀍	pi1
䴽	pi1
䴽	pʰi2
羆	pi1
𤰞	pi1
卑	pi1
𢃍	pi1
鵯	pi1
鵯	pʰit7
𩔹	pi1
痺	pi1
痺	pi5
裨	pi1
裨	pʰi2
鞞	pi1
鞞	pi3
鞞	pin3
鞞	pʰi2
𣴪	pi1
渒	pi1
渒	pʰi3
椑	pi1
椑	pʰi2
椑	pʰit8
悲	pi1
杯	pi1
盃	pi1
桮	pi1
揹	pi1
悂	pi1
悂	pʰi1
㡙	pi1
𥏠	pi1
𨻼	pi1
𨻼	pʰi1
豍	pi1
䚜	pi1
鎞	pi1
狴	pi1
𦱔	pi1
梐	pi1
梐	pʰi6
蓖	pi1
篦	pi1
箄	pi1
箄	pi3
箄	pie1
𦀘	pi1
𦀘	pʰi1
螕	pi1
㯅	pi1
㯅	pʰi2
佊	pi3
佊	pi5
彼	pi3
柀	pi3
𠐌	pi3
匕	pi3
比	pi3
朼	pi3
疕	pi3
疕	pʰi3
沘	pi3
沘	pʰi2
妣	pi3
䃾	pi3
䃾	pi5
䃾	pʰi6
秕	pi3
舭	pi3
髀	pi3
髀	pʰi6
枇	pi3
枇	pʰi2
枇	pʰi6
俾	pi3
𢔌	pi3
𠬈	pi3
𦸣	pi3
𦸣	pi5
𦸣	pʰi6
𪐄	pi3
𪐄	pʰai6
𢳋	pi3
崥	pi3
崥	pʰi2
娝	pi3
啚	pi3
啚	tʰu2
𤽊	pi3
㪏	pi3
㪏	pi5
賁	fui5
賁	fun5
賁	fɨi5+
賁	fɨn5+
賁	pi5
賁	pɨn1
貱	pi5
跛	pi5
跛	po3
柲	pi5
柲	pit7
柲	pʰiet8
柲	pʰit8
粊	pi5
𡛗	pi5
邲	pi5
邲	pʰit8
毖	pi5
䀣	mat7
䀣	pi5
䉾	pi5
閟	pi5
鉍	pi5
鉍	pit7
鄪	pi5
䪐	pi5
費	fui5
費	fui6
費	fɨi5+
費	fɨi6+
費	pi5
泌	pi5
泌	pit7
泌	pʰit8
祕	pi5
秘	pi5
轡	pi5
庇	pi5
畀	pi5
𢌿	pi5
痹	pi5
貝	pi5
𢂏	pi5
𣬪	pi5
㸬	pi5
狽	pi5
䟺	pi5
䟺	pʰi6
鋇	pi5
䰽	pi5
唄	pi5
唄	pʰai6
茷	fat8
茷	fui6
茷	fɨi6+
茷	pi5
芾	fui5
芾	fut7
芾	fɨi5+
芾	fɨt7
芾	pi5
𨙶	pi5
伂	pi5
沛	pi5
沛	pʰi3
㤄	fat7
㤄	fui5
㤄	fɨi5+
㤄	pi5
㤄	pot7
㤄	pʰi3
𥄔	pi5
𥄔	pʰi3
背	pi5
背	pʰi6
誖	pi5
誖	pʰi6
誖	pʰɨt8
褙	pi5
輩	pi5
蔽	pi5
鄨	pi5
鄨	piet7
鷩	pi5
鷩	piet7
彆	pi5
閉	pi5
閉	piet7
閇	pi5
箅	pi5
嬖	pi5
䪹	pʰi1
呸	pʰi1
怌	pʰi1
丕	pʰi1
㔻	pʰi1
伾	pʰi1
秠	feu3
秠	pʰi1
秠	pʰi3
豾	pʰi1
鉟	pʰi1
鉟	pʰi2
髬	pʰi1
駓	pʰi1
魾	pʰi1
魾	pʰi2
䫠	pʰi1
䫠	pʰi2
苤	pʰi1
㩺	pʰi1
㩺	pʰi6
𢞗	pʰi1
𧧺	pʰi1
帔	pʰi1
帔	pʰi3
披	pʰi1=
披	pʰie3-
狓	pʰi1
㱟	pʰi1
㱟	pʰi3
𤿎	pʰi1
𤱍	pʰi1
秛	pʰi1
