// HSD Syllabary Data Partition
// 地区：寧夏回族自治區-中衛市-沙坡頭區-濱河鎮/文昌鎮
// 来源：林濤，馮萬和，范學靈《中衛方言志》
// 规范：HSD v1.0 (Strict-Typed)

@LOC	寧夏回族自治區-中衛市-沙坡頭區-濱河鎮/文昌鎮
@SRC	林濤，馮萬和，范學靈《中衛方言志》

@INI	p	pʰ	m	f	v	t	tʰ	n	l	k	kʰ	x	tʂ	tʂʰ	ʂ	ts	tsʰ	s	Ø
@FIN	a
@TON	陰平	44
@TON	陽平上	53
@TON	去聲	13

// Initial	Final	Tone	CharList (Space separated)
x	aŋ	陰平	夯{石~（名詞）、~地基（動詞）}
x	aŋ	陽平上	杭 航{~行} 頏 行{銀~} 絎{~針}
x	aŋ	去聲	巷{槐樹~} 項{~圈}
tʂ	aŋ	陰平	張{姓} 章 漳{~河} 獐{~子} 彰{表~} 璋 樟{~木} 蟑 瘴{白內~} 障{~礙}
tʂ	aŋ	陽平上	長{生~（動詞）} 漲{~水} 掌{~握} 幛{~子面}
tʂ	aŋ	去聲	丈 仗{依~} 杖{手~} 帳{蚊~} 賬{~目} 漲{泡~} 脹{肚子~} 幛{~子}
tʂʰ	aŋ	陰平	昌 菖{~蒲} 娼{~婦} 猖{~狂}
tʂʰ	aŋ	陽平上	長{~短} 常{經~} 嫦{~娥} 嘗{~試} 償{~還} 場 腸{~子} 廠{工~} 敞{寬~} 昶 氅{大~：大衣}
tʂʰ	aŋ	去聲	唱 倡{提~} 暢{歡~} 悵{愁~}
ʂ	aŋ	陰平	商 墒 傷{~} 傷 觴{滔杯}
ʂ	aŋ	陽平上	賞{~賜} 坰{一~地} 晌{後~} 裳{衣~}
ʂ	aŋ	去聲	上 尚{姓} 緔{~鞋}
ʐ	aŋ	陰平	□{不結實：布~得很} 穰{弱、不硬強：人~得很}
ʐ	aŋ	陽平上	瓤{瓜~} 壤{土~} 嚷{~使} 攘 穰{~解} 釀{醞~}
ʐ	aŋ	去聲	讓 饢{~飯（又音）}
ts	aŋ	陰平	髒{骯~} 髒{~物} 臧{姓}
ts	aŋ	去聲	臟{心~} 葬{埋~} 藏
tsʰ	aŋ	陰平	倉{~庫} 傖{~促} 滄{~桑} 蒼{~茫} 艙{船~}
tsʰ	aŋ	陽平上	藏{（又音）躲~}
tsʰ	aŋ	去聲	□{~親戚；~門子}
s	aŋ	陰平	桑{~樹} 喪{~事}
s	aŋ	陽平上	嗓{~子} 搡{用力推}
s	aŋ	去聲	喪{~失}
Ø	aŋ	陰平	骯{~髒} 昂{~揚} 盎{口~應答詞}
﻿// HSD Syllabary Data Partition
// 地区：寧夏回族自治區-中衛市-沙坡頭區-濱河鎮/文昌鎮
// 来源：林濤，馮萬和，范學靈《中衛方言志》
// 规范：HSD v1.0 (Strict-Typed)

@LOC	寧夏回族自治區-中衛市-沙坡頭區-濱河鎮/文昌鎮
@SRC	林濤，馮萬和，范學靈《中衛方言志》

@INI	p	pʰ	m	f	v	t	tʰ	n	l	k	kʰ	x	tʂ	tʂʰ	ʂ	ʐ	ts	tsʰ	s	Ø
@FIN	ãi
@TON	陰平	44
@TON	陽平上	53
@TON	去聲	13

// Initial	Final	Tone	CharList (Space separated)
p	ãi	陰平	斑{雀~} 頒{~布} 般 搬{~動} 瘢{~痕} 班 扳{~機槍}
p	ãi	陽平上	擺 坂{渠~} 板 版{出~} 舨{舢~} 瓣{花~} 刮{~劃}
p	ãi	去聲	拜 敗 稗{~子} 半 伴{夥~} 拌{~種} 絆{~交} 扮{打~} 辦{~法}
pʰ	ãi	陰平	潘 攀
pʰ	ãi	陽平上	排 徘{~徊} 牌{~子} 迫{（又音）~擊砲} 盤 磐{~石} 蟠{~桃} 簰{竹木做成的水上交通工具：~子} 襻{紐~子} 帕{手~}
pʰ	ãi	去聲	派 湃{澎~} 判{疵~} 叛{~徒} 畔{河~} 盼{~望} 鏨{~子：器物上可用手提的部分}
m	ãi	陰平	□{~~子：小孩用的搪瓷或木製小碗} 滿{~族}
m	ãi	陽平上	埋 霾{陰~} 買 滿{裝~} 瞞{~哄} 饅{~頭} 蠻{野~}
m	ãi	去聲	賣 邁{~步} 謾{~罵} 漫{水~~} 慢 墁{~地} 幔{帳~} 熳{爛~} 鏝{~牆}
f	ãi	陰平	帆 番{（量詞）} 蕃{乾~~} 幡{魂~子} 藩{~籬} 翻
f	ãi	陽平上	凡 礬{白~} 煩{~躁} 繁{~榮} 反 返{~回}
f	ãi	去聲	氾{~濫} 范{姓} 泛{廣~} 飯 販{~賣} 樊{姓}
v	ãi	陰平	彎{~曲} 灣{水~} 剜{~眼割舌} 蜿{~蜒} 豌{~豆} 歪{~斜：不正、~漢子：厲害、強硬或力氣大的人}
v	ãi	陽平上	丸 紈{~絝} 宛{泥~~} 完 玩 頑{~嚚} 宛{~如} 惋{~惜} 婉 琬 皖 晚{~夕} 輓{~聯} 綰{~袖子} 踠{腳~了}
v	ãi	去聲	外 萬 腕{手~} 蔓{瓜~} 宛{（又音）~路子}
t	ãi	陰平	呔{呼語} 呆{~子} 丹 單 鄲{邯~} 擔{（動詞）~水} 眈{虎視~~} 耽{~擱}
t	ãi	陽平上	歹{好~} 逮{~捕} 膽 疸{黃~} 撣{~子（名詞）；~灰（動詞）}
t	ãi	去聲	大{（又音）~夫} 代 岱 玳{~瑁} 貸{~款} 袋{麵~子} 怠{工} 帶 待 戴{姓} 石{（又音）量詞} 旦{無~} 但 擔{（又音）~子（名詞）} 淡 啖{~嘴} 氮 彈{導~，~頭} 蛋 誕{~生}
tʰ	ãi	陰平	呔{（又音）} 苔{舌~} 胎 坍{~塌} 貪 灘{河~} 攤{~派} 癱{~瘓} 態{~度}
tʰ	ãi	陽平上	臺 苔{（又音）~蘚} 抬 壇 曇{~花} 談 痰{吐~} 彈{（又音）~唱} 譚{姓} 檀{~香} 袒{~露} 坦 毯{毛~}
tʰ	ãi	去聲	太 汰{淘~} 泰 嘆{~氣} 炭{煤~} 探
n	ãi	陰平	□{休養、將息}
n	ãi	陽平上	乃 奶 男 南 楠{~木} 喃{（象聲詞）} 難 囡{~}
n	ãi	去聲	奈 耐 難{受~（又音）} 鼐
l	ãi	陽平上	來 萊{菜~菔} 睞{青~} 徠{招~} 蘭{~花} 攔{阻~} 欄{柵~} 嵐 婪{貪~} 闌{~尾} 斕{斑~} 藍{靛~} 籃{竹~} 襤{~褸} 覽{展~} 攬{包~} 纜{~繩} 欖 懶{~漢}
l	ãi	去聲	賴{依~} 癩{~頭} 籟 爛 濫{泛~} 讕{~言}
k	ãi	陰平	乾{~杯} 桿{電線~} 肝 竿{竹~} 甘 泔{~水} 坩{~泥} 柑{~子} 疳{~積} 垓 該 賅{言簡意~} 尷{~尬} 秸{麥~} 案 稈{豆~} 街{大~}
k	ãi	陽平上	改 桿{（量詞）~槍（名詞）} 稈{秫~子} 趕 敢 橄{~欖} 感 擀{~杖、~麵} 解{~板}
k	ãi	去聲	丐 鈣 芥{~末} 蓋{~住（動詞）；鍋~（名詞）；灌~} 概{大~} 幹{~才、~事} 溉 贛 戒{~指子}
kʰ	ãi	陰平	開 揩{~桌子} 看{（又音）：~瓜} 龕{神~}
kʰ	ãi	陽平上	慨{慷~} 愷 凱{~旋} 鎧{~甲} 楷{模~} 愾 刊{報~} 勘{~測} 堪 坎{溝~} 砍 侃{~~而談} 檻{門~}
kʰ	ãi	去聲	看 瞰{鳥~}
x	ãi	陰平	咳 嗨{（象聲詞）} 孩{扭、胖：~娃娃} 鼾{打~} 憨{~厚} 酣{酒~}
x	ãi	陽平上	鞋{皮~} 海 孩 還{~有} 含 函{~授} 寒 涵{~養} 韓{姓} 喊
x	ãi	去聲	亥 骸{形~} 駭 駭{濤~浪} 害 汗 罕{~見} 漢 旱 悍{強~} 捍{~衛} 焊{~接} 翰{~林} 瀚{~海} 憾{遺~} 撼
tʂ	ãi	陰平	齋{書~} 占{~卜} 沾 氈 粘{（又音）~住} 詹{姓} 瞻{~仰}
tʂ	ãi	陽平上	斬 暫{~時} 眨{~眼：時間極短} 展 輾{~轉} 搌{~布}
tʂ	ãi	去聲	債 砦 寨 佔{~領} 戰 站 棧{客~} 顫{打~} 蘸
tʂʰ	ãi	陰平	釵{金~} 差{~遣} 摻{~和}
tʂʰ	ãi	陽平上	柴 產 鏟{鐵~} 單{（又音）~于} 嬋{~娟} 禪{參~} 蟬{~聯} 讒{~言} 饞{貪~} 廛 潺 纏{~繞} 蟾{~宮} 驏{騎驢把溝子~爛了}
tʂʰ	ãi	去聲	懺{~悔} 顫{（又音）} □{（量詞）頭~麵} 鞧{鞍下軟緹}
ʂ	ãi	陰平	山 篩{~子} 舢{~板} 杉{~樹} 衫 煽{（動詞）} 訕{搭~} 汕{~頭} 疝{~氣}
ʂ	ãi	陽平上	刪 姍 珊{~瑚} 陝 閃 陝{~~眼就不見了}
ʂ	ãi	去聲	曬 苫{草~（名詞）、~住（動詞）} 扇 騸{~馬} 善 鄯 繕{修~} 膳{~食} 擅{~長} 贍{養~} 單{姓} 鱔{~魚}
ʐ	ãi	陽平上	髯{美~} 然 燃{~燒} 冉{姓} 苒{荏~} 染 粘{（又音）~糊子飯}
ʐ	ãi	去聲	□{摻、和：~上點麵}
ts	ãi	陰平	災 哉 栽{~子（名詞）、~樹（動詞）} 簪{~子}
ts	ãi	陽平上	載{三年五~} 宰{主~} 攢{~錢}
ts	ãi	去聲	在 再{~次} 鏨{~子（名詞）、~個字（動詞）} 贊{~成}
tsʰ	ãi	陰平	猜{~測} 參{~加} 慘{悲~} 餐{午~}
tsʰ	ãi	陽平上	才 材{木~} 財{錢~} 裁{~衣} 采{~取} 彩 睬{理~} 踩{~踏} 殘{~茶} 蠶{養~} 慚{~愧} 燦 璨
tsʰ	ãi	去聲	菜{白~} 蔡{姓}
s	ãi	陰平	三 叄 腮{~腺} 鰓{魚~}
s	ãi	陽平上	傘{雨~} 塞{填放：箱子~滿了} 散 饊{~子}
s	ãi	去聲	賽{比~} 散{~文}
Ø	ãi	陰平	哎 唉{呼喚應答語} 挨{~家~戶} 安 桉{~樹} 胺{磺~} 庵{南~} 鵪{~鶉} 鞍{馬~子}
Ø	ãi	陽平上	挨{~打} 埃{塵~} 呆{~板} 皚{白~~} 癌{~症} 矮{~小} 隘{關~} 礙{妨~}
Ø	ãi	去聲	艾{~蒿} 愛 曖{~昧} 按{~語} 案{~件} 暗{黑~} 黯{~淡} 藹{和~} 靄{暮~} 揞{傷口~上點藥} 埯{埂坡子~上幾窩子花豆子} 岸{河~，~水殿}
﻿// HSD Syllabary Data Partition
// 地区：寧夏回族自治區-中衛市-沙坡頭區-濱河鎮/文昌鎮
// 来源：林濤，馮萬和，范學靈《中衛方言志》
// 规范：HSD v1.0 (Strict-Typed)

@LOC	寧夏回族自治區-中衛市-沙坡頭區-濱河鎮/文昌鎮
@SRC	林濤，馮萬和，范學靈《中衛方言志》

@INI	p	pʰ	m	f	v	t	tʰ	k	kʰ	x	tʂ	tʂʰ	ʂ	ʐ	ts	tsʰ	s	Ø
@FIN	ẽi
@TON	陰平	44
@TON	陽平上	53
@TON	去聲	13

// Initial	Final	Tone	CharList (Space separated)
p	ẽi	陰平	杯 卑 碑 鵯{~} 背{（動詞）~行李} 悲 奔 錛{削木頭的工具}
p	ẽi	陽平上	本{~子}
p	ẽi	去聲	貝 狽{狼~} 鋇 悖{~謬} 背{（名詞）} 褙{~子} 被{棉~} 倍 蓓 焙{烘烤：~乾} 輩 笨{愚~} 奔{投~，~不上人}
pʰ	ẽi	陰平	呸{（象聲詞）} 噴
pʰ	ẽi	陽平上	胚{~胎} 醅 陪 培{~育} 賠{~償} 裴{姓} 盆{~子}
pʰ	ẽi	去聲	沛 佩{~服} 配 珮{玉~} 轡{~頭} 霈 帔{霞~鳳冠} 噴{香~~}
m	ẽi	陰平	悶{~熱} 燜{~飯}
m	ẽi	陽平上	玫{~瑰} 枚{（量詞）} 莓{草~} 梅 酶 霉{倒~} 媒{~人} 煤{~炭} 每{~天} 美 鎂 門 們
m	ẽi	去聲	妹 昧{愚~} 寐 悶{煩~} 捫{~心自問} 魅{魑~} 懣{憤~}
f	ẽi	陰平	飛 妃{王~} 非 緋{~紅} 菲 啡{嗎~} 扉{~頁} 蜚{~聲} 霏 雯 匪{土~} 分{~別} 紛{糾~} 芬{~芳} 吩{~咐}
f	ẽi	陽平上	肥 淝 汾{~酒} 墳{上~} 粉{涼~} 痱{~子顆}
f	ẽi	去聲	肺 廢 費 氛{氣~} 焚 分{~內} 忿{氣~} 奮{~鬥} 憤 糞 吠
v	ẽi	陰平	危 威 巍 偎{~依} 煨{~水} 猥{~瑣} 微 溫{~暖} 醞{~釀} 瘟{~疲} 蘊{~藏} 蝟{刺~}
v	ẽi	陽平上	為{作~} 偽{~鈔} 違 闈{宮~} 圍 桅{~杆} 惟 唯 帷{~幕} 維{~人} 偉 葦{蘆~} 緯{經~} 韙 娓{~~動聽} 委 諉{~咐} 萎{枯~} 衛 畏{~懼} 文 紋{皺~} 蚊{~子} 雯 聞{新~} 刎{自~} 吻{接~} 紊{~亂} 穩{站~}
v	ẽi	去聲	為{~民請命} 未{~來} 味{~道} 位 喂 胃 謂{稱~} 渭{~河} 尉{（又音）上~} 蔚{（又音）~然成風} 慰{（又音）~問} 問{~題} 魏{姓}
t	ẽi	陽平上	嘚{~求：吆喝牲口聲}
t	ẽi	去聲	得{（又音）~到}
tʰ	ẽi	去聲	特{（又音）~好了}
k	ẽi	陰平	根 跟{~隨} 哏{（象聲詞）~~笑}
k	ẽi	去聲	艮{八卦之一} 報{（動詞）努力從上取下：~不著}
kʰ	ẽi	陰平	剋{罵、申斥：叫別~了一頓}
kʰ	ẽi	陽平上	肯{~幹} 啃{~饅頭} 墾{開~} 懇{誠~}
x	ẽi	陰平	嘿{（象聲詞）~~笑}
x	ẽi	陽平上	很{~好} 狠{凶~}
x	ẽi	去聲	恨
tʂ	ẽi	陰平	貞 偵{~察} 楨{女~子} 針 珍 診{~療} 胗{雞~} 稹 砧{~子} 真 斟{~酒} 甄{~別} 榛 臻 箴{~言}
tʂ	ẽi	陽平上	枕{~頭（名詞），~棉襖（動詞）} 疹{~子，麻~} 鴆{飲~止渴}
tʂ	ẽi	去聲	陣{（名詞）一~（量詞）} 圳{深~} 朕 振{~動} 賑{~濟} 震{~動} 鎮
tʂʰ	ẽi	陰平	抻{~麵}
tʂʰ	ẽi	陽平上	塵 臣 沈{憂} 陳 辰{時~} 晨 彬 琛 磣{飯~得很}
tʂʰ	ẽi	去聲	襯{~衣} 櫬{棺材：起~} 稱{（又音）~心} 趁{~熱打鐵} 傖{寒~}
ʂ	ẽi	陰平	申 伸 呻{~吟} 紳{~士} 砷 身 深
ʂ	ẽi	陽平上	神 沈{姓} 審{~問} 嬸{~~} 哂{~正}
ʂ	ẽi	去聲	腎 甚{欺人太~} 滲{~水} 瘮{~人} 蜃{海市~樓}
ʐ	ẽi	陽平上	人 仁 壬 任{姓} 忍{~耐} 荏 妊{~娠} 韌{堅~}
ʐ	ẽi	去聲	刃{刀~} 紉{~針} 認{~識} 任{（又音）~務} 飪{烹~} 衽{衣襟}
ts	ẽi	陽平上	怎{~樣} 賊
tsʰ	ẽi	陰平	參{~差}
tsʰ	ẽi	陽平上	岑
s	ẽi	陰平	森
Ø	ẽi	陰平	恩{~情}
Ø	ẽi	陽平上	欸{（應答詞）}
﻿// HSD Syllabary Data Partition
// 地区：寧夏回族自治區-中衛市-沙坡頭區-濱河鎮/文昌鎮
// 来源：林濤，馮萬和，范學靈《中衛方言志》
// 规范：HSD v1.0 (Strict-Typed)

@LOC	寧夏回族自治區-中衛市-沙坡頭區-濱河鎮/文昌鎮
@SRC	林濤，馮萬和，范學靈《中衛方言志》

@INI	p	pʰ	m	t	tʰ	n	l	tɕ	tɕʰ	ɕ	Ø
@FIN	i
@TON	陰平	44
@TON	陽平上	53
@TON	去聲	13

// Initial	Final	Tone	CharList (Space separated)
p	i	陰平	嗶{（象聲詞）} 屄
p	i	陽平上	比 妣{先~} 秕{~子} 彼{~此} 被{~動}
p	i	去聲	匕{~首} 必{~定} 毖{懲前~後} 筆{毛~} 逼 蔽{遮~} 斃{槍~} 幣{貨~} 陛{~下} 弼 壁{牆~} 璧{玉~} 鼻{~子} 備{予~} 蓖{~麻子} 篦{~子} 閉{封~} 畢{~業} 碧{~玉} 婢{~女} 荸 薺 潷{茶~乾了}
pʰ	i	陰平	匹 披{~掛} 坯{土~} 批{~評} 砒{~霜} 皸{竹木等裂開或有紋；鍬把~了} 霹 靂
pʰ	i	陽平上	皮 疲{~勞} 啤{~酒} 脾{~氣} 琵 琶 枇 杷 蚍 蜉 羆{熊~} 毗{~鄰} 痞{~子} 庇{~護} 僻{偏~} 避{~開}
pʰ	i	去聲	屁{闢開~} 劈{~柴}
m	i	陰平	皿{器~} 眯{~一眼} 咪{（象聲詞）}
m	i	陽平上	女{~人} 米{麵~} 迷{~信} 謎{~語} 彌{~陀} 倪{家灘} 泥{和~} 眉{~毛} 郿{~縣} 媚 峨{嵋} 糜{~子} 靡 麋{~鹿} 汨{~羅江} 尼{~姑} 呢{線、~子大衣} 霓{~虹} 汀 睨
m	i	去聲	蜜{蜂~} 密{~秘} 覓{尋~} 冪 篾{竹~子} 膩{~蟲} 匿{人子，東西~了去了}
t	i	陰平	低{高~} 嘀{（象聲詞）} 提{~溜起來（又音）}
t	i	陽平上	底{~下} 抵{~抗} 詆{~毀} 嫡{~親} 的{目~} 砥{中流~柱}
t	i	去聲	弟 遞 帝 滌{洗~} 滴 笛 狄{姓} 敵 糴{~米} 棣 地
tʰ	i	陰平	梯
tʰ	i	陽平上	體 提 堤{~壩} 題{~目} 蒂{花~} 啼{~哭} 締{~造} 蹄{馬~} 諦{真~}
tʰ	i	去聲	剃{~頭} 涕{鼻~} 替 惕 譬{~} 屜{抽~} 倜{~儻} 嚏{噴~} 逷
n	i	陽平上	你
n	i	去聲	逆{~子} 泥{拘~} 昵{親~} 溺{~水} 擬{比~} 裡{（又音）（方位詞）屋~}
l	i	陰平	瀝{由上向下滴} 漓{~~拉拉：持續不斷}
l	i	陽平上	里{（量詞）二~路} 厘{（量詞）} 理{講~} 狸{野貓} 鯉{~魚} 粒{（量詞）} 栗{毛~子} 歷{~史} 禮{~節} 李{姓} 梨 犁{~鏵} 黎{~明} 離{~開} 籬{~笆} 璃{玻~} 麗 驪{~山} 鸝{黃~} 嫠{割、劃破：手~爛了} 莉{茉~花}
l	i	去聲	力{~氣} 歷{經~} 勵{鼓~} 荔{~枝} 立 靂{霹~} 吏{官~} 利{~益} 俐{伶~} 痢{~疾} 唳{風聲鶴~} 蒞{~臨} 隸{~書} 娌{妯~} 礫 詈{~罵}
tɕ	i	陰平	几{茶~} 肌{~肉} 嘰{（象聲詞）} 譏{~笑} 飢{~餓} 乩{扶~} 唧{（象聲詞）} 基 姬{姓} 機{~器} 技{科~} 妓{~女} 雞 稽{~留} 給{供~} 羈{~絆}
tɕ	i	陽平上	擠{擁~} 蟣{~子} 幾{（又音）一個}
