汉字	ipa	声母	韵母	声调
搓	tʰo51	tʰ	o	陰平51
拖	tʰo51	tʰ	o	陰平51
妥	tʰo55	tʰ	o	陰上55
錯	tʰo35	tʰ	o	陰去35
挪	no31	n	o	陽平31
挪	no35	n	o	陰去35
白	no35	n	o	陰去35
糯	no212	n	o	陽去212
籮	lo51	l	o	陰平51
羅	lo31	l	o	陽平31
鑼	lo31	l	o	陽平31
騾	lo31	l	o	陽平31
卵	lo55	l	o	陰上55
裸	lo55	l	o	陰上55
傻	ʃo31	ʃ	o	陽平31
歌	ko51	k	o	陰平51
棵	ko51	k	o	陰平51
鍋	ko51	k	o	陰平51
果	ko55	k	o	陰上55
個	ko35	k	o	陰去35
箇	ko35	k	o	陰去35
顆	kʰo55	kʰ	o	陰上55
可	kʰo55	kʰ	o	陰上55
課	kʰo35	kʰ	o	陰去35
蛾	ŋo31	ŋ	o	陽平31
鵝	ŋo31	ŋ	o	陽平31
俄	ŋo31	ŋ	o	陽平31
訛	ŋo31	ŋ	o	陽平31
餓	ŋo212	ŋ	o	陽去212
臥	ŋo212	ŋ	o	陽去212
河	ho31	h	o	陽平31
何	ho31	h	o	陽平31
賀	ho212	h	o	陽去212
荷	øo51	ø	o	陰平51
肥	pi31	p	i	陽平31
皮	pi31	p	i	陽平31
脾	pi31	p	i	陽平31
譬	pi55	p	i	陰上55
比	pi55	p	i	陰上55
被	pi24	p	i	陽上24
臂	pi35	p	i	陰去35
斃	pi35	p	i	陰去35
備	pi212	p	i	陽去212
被	pi212	p	i	陽去212
蓖	pi212	p	i	陽去212
避	pi212	p	i	陽去212
敝	pi212	p	i	陽去212
弊	pi212	p	i	陽去212
幣	pi212	p	i	陽去212
蔽	pi212	p	i	陽去212
鼻	pi212	p	i	陽去212
疲	pʰi51	pʰ	i	陰平51
披	pʰi51	pʰ	i	陰平51
鄙	pʰi55	pʰ	i	陰上55
彼	pʰi55	pʰ	i	陰上55
屁	pʰi35	pʰ	i	陰去35
迷	mi31	m	i	陽平31
微	mi31	m	i	陽平31
眉	mi31	m	i	陽平31
尾	mi24	m	i	陽上24
秘	mi35	m	i	陰去35
謎	mi35	m	i	陰去35
未	mi212	m	i	陽去212
味	mi212	m	i	陽去212
昧	mi212	m	i	陽去212
飛	fi51	f	i	陰平51
非	fi51	f	i	陰平51
匪	fi55	f	i	陰上55
費	fi35	f	i	陰去35
肺	fi35	f	i	陰去35
廢	fi35	f	i	陰去35
去	vi35	v	i	陰去35
須	θi51	θ	i	陰平51
鬚	θi51	θ	i	陰平51
需	θi51	θ	i	陰平51
斯	θi51	θ	i	陰平51
撕	θi51	θ	i	陰平51
私	θi51	θ	i	陰平51
司	θi51	θ	i	陰平51
絲	θi51	θ	i	陰平51
姿	θi51	θ	i	陰平51
資	θi51	θ	i	陰平51
思	θi51	θ	i	陰平51
茲	θi51	θ	i	陰平51
滋	θi51	θ	i	陰平51
飼	θi31	θ	i	陽平31
瓷	θi31	θ	i	陽平31
糍	θi31	θ	i	陽平31
慈	θi31	θ	i	陽平31
磁	θi31	θ	i	陽平31
辭	θi31	θ	i	陽平31
詞	θi31	θ	i	陽平31
祠	θi31	θ	i	陽平31
徐	θi31	θ	i	陽平31
子	θi55	θ	i	陰上55
紫	θi55	θ	i	陰上55
死	θi55	θ	i	陰上55
姊	θi55	θ	i	陰上55
似	θi24	θ	i	陽上24
四	θi35	θ	i	陰去35
肆	θi35	θ	i	陰去35
自	θi212	θ	i	陽去212
字	θi212	θ	i	陽去212
地	ti212	t	i	陽去212
雌	tʰi51	tʰ	i	陰平51
蛆	tʰi51	tʰ	i	陰平51
此	tʰi55	tʰ	i	陰上55
趣	tʰi35	tʰ	i	陰去35
賜	tʰi35	tʰ	i	陰去35
次	tʰi35	tʰ	i	陰去35
刺	tʰi35	tʰ	i	陰去35
你	ni24	n	i	陽上24
梨	li31	l	i	陽平31
釐	li31	l	i	陽平31
貍	li31	l	i	陽平31
離	li31	l	i	陽平31
籬	li31	l	i	陽平31
李	li24	l	i	陽上24
里	li24	l	i	陽上24
裏	li24	l	i	陽上24
理	li24	l	i	陽上24
鯉	li24	l	i	陽上24
禮	li24	l	i	陽上24
利	li212	l	i	陽去212
痢	li212	l	i	陽去212
吏	li212	l	i	陽去212
麗	li212	l	i	陽去212
厲	li212	l	i	陽去212
勵	li212	l	i	陽去212
蜘	tʃi51	tʃ	i	陰平51
枝	tʃi51	tʃ	i	陰平51
肢	tʃi51	tʃ	i	陰平51
之	tʃi51	tʃ	i	陰平51
芝	tʃi51	tʃ	i	陰平51
知	tʃi51	tʃ	i	陰平51
支	tʃi51	tʃ	i	陰平51
池	tʃi31	tʃ	i	陽平31
馳	tʃi31	tʃ	i	陽平31
匙	tʃi31	tʃ	i	陽平31
遲	tʃi31	tʃ	i	陽平31
旨	tʃi55	tʃ	i	陰上55
指	tʃi55	tʃ	i	陰上55
止	tʃi55	tʃ	i	陰上55
址	tʃi55	tʃ	i	陰上55
紙	tʃi55	tʃ	i	陰上55
脂	tʃi55	tʃ	i	陰上55
社	tʃi24	tʃ	i	陽上24
至	tʃi35	tʃ	i	陰去35
志	tʃi35	tʃ	i	陰去35
誌	tʃi35	tʃ	i	陰去35
置	tʃi35	tʃ	i	陰去35
智	tʃi35	tʃ	i	陰去35
致	tʃi35	tʃ	i	陰去35
治	tʃi212	tʃ	i	陽去212
車	tʃʰi51	tʃʰ	i	陰平51
始	tʃʰi55	tʃʰ	i	陰上55
恥	tʃʰi55	tʃʰ	i	陰上55
齒	tʃʰi55	tʃʰ	i	陰上55
翅	tʃʰi35	tʃʰ	i	陰去35
獅	ʃi51	ʃ	i	陰平51
尸	ʃi51	ʃ	i	陰平51
屍	ʃi51	ʃ	i	陰平51
輸	ʃi51	ʃ	i	陰平51
詩	ʃi51	ʃ	i	陰平51
施	ʃi51	ʃ	i	陰平51
師	ʃi51	ʃ	i	陰平51
舒	ʃi31	ʃ	i	陽平31
殊	ʃi31	ʃ	i	陽平31
儲	ʃi31	ʃ	i	陽平31
時	ʃi31	ʃ	i	陽平31
恃	ʃi31	ʃ	i	陽平31
黍	ʃi55	ʃ	i	陰上55
暑	ʃi55	ʃ	i	陰上55
鼠	ʃi55	ʃ	i	陰上55
屎	ʃi55	ʃ	i	陰上55
史	ʃi55	ʃ	i	陰上55
駛	ʃi55	ʃ	i	陰上55
豎	ʃi24	ʃ	i	陽上24
柿	ʃi24	ʃ	i	陽上24
士	ʃi24	ʃ	i	陽上24
是	ʃi24	ʃ	i	陽上24
市	ʃi24	ʃ	i	陽上24
世	ʃi35	ʃ	i	陰去35
勢	ʃi35	ʃ	i	陰去35
試	ʃi35	ʃ	i	陰去35
視	ʃi212	ʃ	i	陽去212
示	ʃi212	ʃ	i	陽去212
機	ci51	c	i	陰平51
譏	ci51	c	i	陰平51
飢	ci51	c	i	陰平51
基	ci51	c	i	陰平51
居	ci51	c	i	陰平51
棋	ci31	c	i	陽平31
麒	ci31	c	i	陽平31
期	ci31	c	i	陽平31
其	ci31	c	i	陽平31
奇	ci31	c	i	陽平31
騎	ci31	c	i	陽平31
旗	ci31	c	i	陽平31
渠	ci31	c	i	陽平31
紀	ci55	c	i	陰上55
幾	ci55	c	i	陰上55
乎	ci55	c	i	陰上55
個	ci55	c	i	陰上55
己	ci55	c	i	陰上55
季	ci35	c	i	陰去35
記	ci35	c	i	陰去35
既	ci35	c	i	陰去35
寄	ci35	c	i	陰去35
計	ci35	c	i	陰去35
繼	ci35	c	i	陰去35
技	ci212	c	i	陽去212
妓	ci212	c	i	陽去212
忌	ci212	c	i	陽去212
據	ci212	c	i	陽去212
具	ci212	c	i	陽去212
豈	cʰi55	cʰ	i	陰上55
而	ɲi31	ɲ	i	陽平31
疑	ɲi31	ɲ	i	陽平31
宜	ɲi31	ɲ	i	陽平31
兒	ɲi31	ɲ	i	陽平31
議	ɲi55	ɲ	i	陰上55
耳	ɲi24	ɲ	i	陽上24
義	ɲi212	ɲ	i	陽去212
藝	ɲi212	ɲ	i	陽去212
二	ɲi212	ɲ	i	陽去212
噓	çi51	ç	i	陰平51
希	çi51	ç	i	陰平51
稀	çi51	ç	i	陰平51
犧	çi51	ç	i	陰平51
溪	çi51	ç	i	陰平51
欺	çi51	ç	i	陰平51
虛	çi51	ç	i	陰平51
榆	çi31	ç	i	陽平31
愉	çi31	ç	i	陽平31
遺	çi31	ç	i	陽平31
夷	çi31	ç	i	陽平31
姨	çi31	ç	i	陽平31
移	çi31	ç	i	陽平31
喜	çi55	ç	i	陰上55
起	çi55	ç	i	陰上55
啟	çi55	ç	i	陰上55
與	çi24	ç	i	陽上24
野	çi24	ç	i	陽上24
戲	çi35	ç	i	陰去35
系	çi35	ç	i	陰去35
西	çi35	ç	i	陰去35
棄	çi35	ç	i	陰去35
氣	çi35	ç	i	陰去35
汽	çi35	ç	i	陰去35
契	çi35	ç	i	陰去35
異	çi212	ç	i	陽去212
易	çi212	ç	i	陽去212
夜	çi212	ç	i	陽去212
醫	ji51	j	i	陰平51
依	ji51	j	i	陰平51
衣	ji51	j	i	陰平51
倚	ji55	j	i	陰上55
椅	ji55	j	i	陰上55
已	ji55	j	i	陰上55
以	ji55	j	i	陰上55
意	ji35	j	i	陰去35
億	ji35	j	i	陰去35
須	θy51	θ	y	陰平51
鬚	θy51	θ	y	陰平51
需	θy51	θ	y	陰平51
娶	θy24	θ	y	陽上24
聚	θy24	θ	y	陽上24
絮	θy35	θ	y	陰去35
緖	θy35	θ	y	陰去35
序	θy35	θ	y	陰去35
敘	θy35	θ	y	陰去35
取	tʰy55	tʰ	y	陰上55
趣	tʰy35	tʰ	y	陰去35
女	ny24	n	y	陽上24
呂	ly24	l	y	陽上24
旅	ly24	l	y	陽上24
慮	ly212	l	y	陽去212
濾	ly212	l	y	陽去212
諸	tʃy51	tʃ	y	陰平51
蛛	tʃy51	tʃ	y	陰平51
株	tʃy51	tʃ	y	陰平51
朱	tʃy51	tʃ	y	陰平51
珠	tʃy51	tʃ	y	陰平51
豬	tʃy51	tʃ	y	陰平51
除	tʃy31	tʃ	y	陽平31
廚	tʃy31	tʃ	y	陽平31
主	tʃy55	tʃ	y	陰上55
煮	tʃy55	tʃ	y	陰上55
柱	tʃy24	tʃ	y	陽上24
著	tʃy35	tʃ	y	陰去35
駐	tʃy35	tʃ	y	陰去35
註	tʃy35	tʃ	y	陰去35
注	tʃy35	tʃ	y	陰去35
鑄	tʃy35	tʃ	y	陰去35
蛀	tʃy35	tʃ	y	陰去35
樹	tʃy212	tʃ	y	陽去212
住	tʃy212	tʃ	y	陽去212
處	tʃʰy35	tʃʰ	y	陰去35
理	tʃʰy35	tʃʰ	y	陰去35
所	tʃʰy35	tʃʰ	y	陰去35
書	ʃy51	ʃ	y	陰平51
輸	ʃy51	ʃ	y	陰平51
殊	ʃy31	ʃ	y	陽平31
儲	ʃy31	ʃ	y	陽平31
舒	ʃy31	ʃ	y	陽平31
黍	ʃy55	ʃ	y	陰上55
暑	ʃy55	ʃ	y	陰上55
鼠	ʃy55	ʃ	y	陰上55
豎	ʃy24	ʃ	y	陽上24
魚	ȵy31	ȵ	y	陽平31
語	ȵy24	ȵ	y	陽上24
遇	ȵy212	ȵ	y	陽去212
寓	ȵy212	ȵ	y	陽去212
居	ky51	k	y	陰平51
渠	ky31	k	y	陽平31
擧	ky55	k	y	陰上55
巨	ky24	k	y	陽上24
拒	ky24	k	y	陽上24
距	ky24	k	y	陽上24
句	ky35	k	y	陰去35
鋸	ky35	k	y	陰去35
據	ky35	k	y	陰去35
區	kʰy51	kʰ	y	陰平51
驅	kʰy51	kʰ	y	陰平51
拘	kʰy51	kʰ	y	陰平51
駒	kʰy51	kʰ	y	陰平51
愚	ŋy31	ŋ	y	陽平31
虛	hy51	h	y	陰平51
噓	hy51	h	y	陰平51
虞	hy31	h	y	陽平31
娛	hy31	h	y	陽平31
于	hy31	h	y	陽平31
盂	hy31	h	y	陽平31
如	hy31	h	y	陽平31
許	hy55	h	y	陰上55
雨	hy24	h	y	陽上24
乳	hy24	h	y	陽上24
玉	hy212	h	y	陽去212
譽	hy212	h	y	陽去212
預	hy212	h	y	陽去212
裕	hy212	h	y	陽去212
喻	hy212	h	y	陽去212
蒲	pu31	p	u	陽平31
葡	pu31	p	u	陽平31
脯	pu31	p	u	陽平31
胸	pu31	p	u	陽平31
婆	pu31	p	u	陽平31
白	pu31	p	u	陽平31
膚	pu31	p	u	陽平31
補	pu55	p	u	陰上55
箔	pu24	p	u	陽上24
佈	pu35	p	u	陰去35
布	pu35	p	u	陰去35
部	pu212	p	u	陽去212
步	pu212	p	u	陽去212
鋪	pʰu51	pʰ	u	陰平51
甫	pʰu55	pʰ	u	陰上55
脯	pʰu55	pʰ	u	陰上55
杏	pʰu55	pʰ	u	陰上55
譜	pʰu55	pʰ	u	陰上55
普	pʰu55	pʰ	u	陰上55
捕	pʰu55	pʰ	u	陰上55
輔	pʰu55	pʰ	u	陰上55
鋪	pʰu35	pʰ	u	陰去35
破	pʰu35	pʰ	u	陰去35
模	mu51	m	u	陰平51
摸	mu51	m	u	陰平51
磨	mu31	m	u	陽平31
母	mu24	m	u	陽上24
暮	mu212	m	u	陽去212
慕	mu212	m	u	陽去212
墓	mu212	m	u	陽去212
募	mu212	m	u	陽去212
磨	mu212	m	u	陽去212
務	mu212	m	u	陽去212
霧	mu212	m	u	陽去212
敷	fu51	f	u	陰平51
麩	fu51	f	u	陰平51
孵	fu51	f	u	陰平51
夫	fu51	f	u	陰平51
符	fu31	f	u	陽平31
扶	fu31	f	u	陽平31
府	fu55	f	u	陰上55
腑	fu55	f	u	陰上55
斧	fu55	f	u	陰上55
俯	fu55	f	u	陰上55
父	fu24	f	u	陽上24
婦	fu24	f	u	陽上24
傅	fu35	f	u	陰去35
負	fu35	f	u	陰去35
富	fu35	f	u	陰去35
腐	fu212	f	u	陽去212
付	fu212	f	u	陽去212
附	fu212	f	u	陽去212
蘇	θu51	θ	u	陰平51
租	θu51	θ	u	陰平51
酥	θu51	θ	u	陰平51
祖	θu55	θ	u	陰上55
做	θu35	θ	u	陰去35
素	θu35	θ	u	陰去35
訴	θu35	θ	u	陰去35
塑	θu35	θ	u	陰去35
嗉	θu35	θ	u	陰去35
助	θu212	θ	u	陽去212
都	tu51	t	u	陰平51
徒	tu31	t	u	陽平31
途	tu31	t	u	陽平31
塗	tu31	t	u	陽平31
圖	tu31	t	u	陽平31
屠	tu31	t	u	陽平31
堵	tu55	t	u	陰上55
賭	tu55	t	u	陰上55
肚	tu55	t	u	陰上55
豬	tu55	t	u	陰上55
肚	tu24	t	u	陽上24
人	tu24	t	u	陽上24
杜	tu212	t	u	陽去212
度	tu212	t	u	陽去212
渡	tu212	t	u	陽去212
鍍	tu212	t	u	陽去212
粗	tʰu51	tʰ	u	陰平51
楚	tʰu55	tʰ	u	陰上55
礎	tʰu55	tʰ	u	陰上55
土	tʰu55	tʰ	u	陰上55
買	tʰu55	tʰ	u	陰上55
白	tʰu55	tʰ	u	陰上55
兔	tʰu35	tʰ	u	陰去35
吐	tʰu35	tʰ	u	陰去35
醋	tʰu35	tʰ	u	陰去35
奴	nu31	n	u	陽平31
努	nu55	n	u	陰上55
怒	nu212	n	u	陽去212
盧	lu31	l	u	陽平31
爐	lu31	l	u	陽平31
蘆	lu31	l	u	陽平31
驢	lu31	l	u	陽平31
魯	lu24	l	u	陽上24
櫓	lu24	l	u	陽上24
鹵	lu24	l	u	陽上24
路	lu212	l	u	陽去212
露	lu212	l	u	陽去212
鋤	tʃu31	tʃ	u	陽平31
阻	tʃu55	tʃ	u	陰上55
組	tʃu55	tʃ	u	陰上55
初	tʃʰu51	tʃʰ	u	陰平51
梳	ʃu51	ʃ	u	陰平51
疏	ʃu51	ʃ	u	陰平51
數	ʃu55	ʃ	u	陰上55
數	ʃu35	ʃ	u	陰去35
漱	ʃu35	ʃ	u	陰去35
估	ku51	k	u	陰平51
姑	ku51	k	u	陰平51
辜	ku51	k	u	陰平51
孤	ku51	k	u	陰平51
枯	ku51	k	u	陰平51
股	ku55	k	u	陰上55
鼓	ku55	k	u	陰上55
古	ku55	k	u	陰上55
固	ku35	k	u	陰去35
雇	ku35	k	u	陰去35
顧	ku35	k	u	陰去35
故	ku35	k	u	陰去35
過	ku35	k	u	陰去35
科	kʰu51	kʰ	u	陰平51
庫	kʰu35	kʰ	u	陰去35
互	ŋu212	ŋ	u	陽去212
誤	ŋu212	ŋ	u	陽去212
呼	hu51	h	u	陰平51
禾	hu31	h	u	陽平31
和	hu31	h	u	陽平31
胡	hu31	h	u	陽平31
湖	hu31	h	u	陽平31
糊	hu31	h	u	陽平31
葫	hu31	h	u	陽平31
壺	hu31	h	u	陽平31
和	hu31	h	u	陽平31
灰	hu31	h	u	陽平31
鬍	hu31	h	u	陽平31
煳	hu31	h	u	陽平31
無	hu31	h	u	陽平31
吳	hu31	h	u	陽平31
狐	hu31	h	u	陽平31
苦	hu55	h	u	陰上55
火	hu55	h	u	陰上55
虎	hu55	h	u	陰上55
伙	hu55	h	u	陰上55
舞	hu24	h	u	陽上24
武	hu24	h	u	陽上24
戶	hu24	h	u	陽上24
禍	hu24	h	u	陽上24
褲	hu35	h	u	陰去35
護	hu212	h	u	陽去212
窩	øu51	ø	u	陰平51
烏	øu51	ø	u	陰平51
惡	øu35	ø	u	陰去35
梧	øŋ31	ø	ŋ	陽平31
悟	øŋ31	ø	ŋ	陽平31
伍	øŋ24	ø	ŋ	陽上24
五	øŋ24	ø	ŋ	陽上24
午	øŋ24	ø	ŋ	陽上24
我	øŋ24	ø	ŋ	陽上24
些	θiɛ51	θ	iɛ	陰平51
邪	θiɛ31	θ	iɛ	陽平31
姐	θiɛ55	θ	iɛ	陰上55
姊	θiɛ55	θ	iɛ	陰上55
寫	θiɛ55	θ	iɛ	陰上55
瀉	θiɛ35	θ	iɛ	陰去35
卸	θiɛ35	θ	iɛ	陰去35
借	θiɛ35	θ	iɛ	陰去35
謝	θiɛ212	θ	iɛ	陽去212
爹	tiɛ51	t	iɛ	陰平51
且	tʰiɛ55	tʰ	iɛ	陰上55
遮	tʃiɛ51	tʃ	iɛ	陰平51
蛇	tʃiɛ31	tʃ	iɛ	陽平31
者	tʃiɛ55	tʃ	iɛ	陰上55
扯	tʃʰiɛ55	tʃʰ	iɛ	陰上55
捨	ʃiɛ55	ʃ	iɛ	陰上55
舍	ʃiɛ24	ʃ	iɛ	陽上24
赦	ʃiɛ24	ʃ	iɛ	陽上24
射	ʃiɛ212	ʃ	iɛ	陽去212
惹	ȵiɛ24	ȵ	iɛ	陽上24
惹	ɲiɛ24	ɲ	iɛ	陽上24
白	ɲiɛ24	ɲ	iɛ	陽上24
也	øiɛ55	ø	iɛ	陰上55
抓	tʃua51	tʃ	ua	陰平51
瓜	kua51	k	ua	陰平51
寡	kua55	k	ua	陰上55
掛	kua35	k	ua	陰去35
卦	kua35	k	ua	陰去35
誇	kʰua51	kʰ	ua	陰平51
跨	kʰua51	kʰ	ua	陰平51
垮	kʰua51	kʰ	ua	陰平51
又	kʰua51	kʰ	ua	陰平51
垮	kʰua55	kʰ	ua	陰上55
瓦	ŋua24	ŋ	ua	陽上24
排	pai31	p	ai	陽平31
牌	pai31	p	ai	陽平31
擺	pai55	p	ai	陰上55
拜	pai35	p	ai	陰去35
敗	pai212	p	ai	陽去212
稗	pai212	p	ai	陽去212
派	pʰai35	pʰ	ai	陰去35
埋	mai31	m	ai	陽平31
買	mai24	m	ai	陽上24
賣	mai212	m	ai	陽去212
邁	mai212	m	ai	陽去212
文	mai212	m	ai	陽去212
塊	fai35	f	ai	陰去35
快	fai35	f	ai	陰去35
白	fai35	f	ai	陰去35
歪	vai51	v	ai	陰平51
白	vai51	v	ai	陰平51
懷	vai31	v	ai	陽平31
槐	vai31	v	ai	陽平31
淮	vai31	v	ai	陽平31
壞	vai212	v	ai	陽去212
灑	θai24	θ	ai	陽上24
帶	tai35	t	ai	陰去35
戴	tai35	t	ai	陰去35
大	tai212	t	ai	陽去212
太	tʰai35	tʰ	ai	陰去35
態	tʰai35	tʰ	ai	陰去35
泰	tʰai35	tʰ	ai	陰去35
乃	nai24	n	ai	陽上24
奶	nai24	n	ai	陽上24
拉	lai51	l	ai	陰平51
賴	lai212	l	ai	陽去212
齋	tʃai51	tʃ	ai	陰平51
柴	tʃai31	tʃ	ai	陽平31
債	tʃai35	tʃ	ai	陰去35
差	tʃʰai51	tʃʰ	ai	陰平51
篩	ʃai51	ʃ	ai	陰平51
曬	ʃai35	ʃ	ai	陰去35
佳	kai51	k	ai	陰平51
皆	kai51	k	ai	陰平51
街	kai51	k	ai	陰平51
階	kai51	k	ai	陰平51
改	kai55	k	ai	陰上55
解	kai55	k	ai	陰上55
界	kai35	k	ai	陰去35
芥	kai35	k	ai	陰去35
疥	kai35	k	ai	陰去35
戒	kai35	k	ai	陰去35
械	kai35	k	ai	陰去35
介	kai35	k	ai	陰去35
蟹	kai212	k	ai	陽去212
楷	kʰai55	kʰ	ai	陰上55
慨	kʰai35	kʰ	ai	陰去35
概	kʰai35	kʰ	ai	陰去35
捱	ŋai31	ŋ	ai	陽平31
鞋	hai31	h	ai	陽平31
孩	hai31	h	ai	陽平31
乖	kʷai51	kʷ	ai	陰平51
拐	kʷai55	kʷ	ai	陰上55
怪	kʷai35	kʷ	ai	陰去35
快	kʰʷai35	kʰʷ	ai	陰去35
筷	kʰʷai35	kʰʷ	ai	陰去35
會	kʰʷai35	kʰʷ	ai	陰去35
矮	øai55	ø	ai	陰上55
閉	pɐi35	p	ɐi	陰去35
批	pʰɐi51	pʰ	ɐi	陰平51
米	mɐi24	m	ɐi	陽上24
西	θɐi51	θ	ɐi	陰平51
犀	θɐi51	θ	ɐi	陰平51
臍	θɐi31	θ	ɐi	陽平31
齊	θɐi31	θ	ɐi	陽平31
擠	θɐi55	θ	ɐi	陰上55
洗	θɐi55	θ	ɐi	陰上55
祭	θɐi35	θ	ɐi	陰去35
際	θɐi35	θ	ɐi	陰去35
濟	θɐi35	θ	ɐi	陰去35
劑	θɐi35	θ	ɐi	陰去35
細	θɐi35	θ	ɐi	陰去35
壻	θɐi35	θ	ɐi	陰去35
底	tɐi51	t	ɐi	陰平51
題	tɐi31	t	ɐi	陽平31
提	tɐi31	t	ɐi	陽平31
啼	tɐi31	t	ɐi	陽平31
蹄	tɐi31	t	ɐi	陽平31
堤	tɐi31	t	ɐi	陽平31
底	tɐi55	t	ɐi	陰上55
抵	tɐi55	t	ɐi	陰上55
牴	tɐi55	t	ɐi	陰上55
弟	tɐi24	t	ɐi	陽上24
帝	tɐi35	t	ɐi	陰去35
隸	tɐi212	t	ɐi	陽去212
遞	tɐi212	t	ɐi	陽去212
第	tɐi212	t	ɐi	陽去212
梯	tʰɐi51	tʰ	ɐi	陰平51
妻	tʰɐi51	tʰ	ɐi	陰平51
凄	tʰɐi51	tʰ	ɐi	陰平51
體	tʰɐi55	tʰ	ɐi	陰上55
替	tʰɐi35	tʰ	ɐi	陰去35
涕	tʰɐi35	tʰ	ɐi	陰去35
剃	tʰɐi35	tʰ	ɐi	陰去35
泥	nɐi31	n	ɐi	陽平31
尼	nɐi31	n	ɐi	陽平31
膩	nɐi212	n	ɐi	陽去212
犁	lɐi31	l	ɐi	陽平31
黎	lɐi31	l	ɐi	陽平31
例	lɐi212	l	ɐi	陽去212
制	tʃɐi35	tʃ	ɐi	陰去35
製	tʃɐi35	tʃ	ɐi	陰去35
爭	tʃɐi212	tʃ	ɐi	陽去212
使	ʃɐi55	ʃ	ɐi	陰上55
誓	ʃɐi212	ʃ	ɐi	陽去212
雞	kɐi51	k	ɐi	陰平51
歸	kʷɐi51	kʷ	ɐi	陰平51
龜	kʷɐi51	kʷ	ɐi	陰平51
軌	kʷɐi55	kʷ	ɐi	陰上55
鬼	kʷɐi55	kʷ	ɐi	陰上55
桂	kʷɐi35	kʷ	ɐi	陰去35
貴	kʷɐi35	kʷ	ɐi	陰去35
鱖	kʷɐi35	kʷ	ɐi	陰去35
櫃	kʷɐi212	kʷ	ɐi	陽去212
跪	kʷɐi212	kʷ	ɐi	陽去212
虧	kʰʷɐi51	kʰʷ	ɐi	陰平51
