	注释：-白读，=文读
∅	[7a]恶{难，不易}
#ɔ	
p	[1]埔{平地；地名常用字}[2]捕蒲衭{衣裙的褶边；借为量词}[3]补斧脯{干制的食品}[4]部埠{商埠}[5]布{～料；～塍，插秧}佈{宣～}怖步播{广～}哺{咀嚼}
pʰ	[1]铺{1动词，铺设；2名词，床铺}麸{1谷粒碾磨后留下的碎皮；2头～，头皮屑}□{（吃过某些东西后）口淡}[2]扶{双手捧或抬}菩[3]谱普浦[4]簿[5]破={～坏}铺{店～}
b	[1]摸[2]模{模子；～范；～仿}[3]某亩牡{～丹}[5]墓暮慕募戊幕
t	[1]都{～城；副词}多[2]图徒涂淘陶涛途{路～}[3]堵{量词，用于墙或堆起来像墙的东西}朵赌屠肚{腹～}祷岛[4]肚{猪～}杜舵[5]度妒渡镀到{报～}道稻盗导□{描，临摹，原文作“透”}
tʰ	[1]滔掏[2]涂{土}[3]土{～办法，傻，土气}□{加在数词之后表概数，原文作“吐”}[5]吐{～痰；呕吐}妥兔
l	[2]炉奴努卢芦鸬庐劳牢涝唠{～叨}[3]卤鲁虏老{～鼠}□{翻白眼}[4]□{摇晃，不稳}[5]路裸怒赂露鹭
ts	[1]租[2]曹[3]左祖组阻[5]助佐
tsʰ	[1]粗初{～中，～期}[3]楚础[5]醋操{曹～}
s	[1]苏酥蔬疏{～远；注～}[3]所{地方；放在“十”后表示概数}[5]素诉数{名词}
k	[1]姑戈孤枯高菇[2]糊[3]古裹{包～}估{～计}牯股鼓[5]故固雇顾告{广～}过{～错}
kʰ	[1]箍呼{～机；唤家禽畜生}䉐{1货币单位，元；2量词，用于木头或粗大的棍子等，用于人时表贬义}[3]苦许[5]课库裤靠{依～}犒
x	[1]呼{～吸；事前把有关条件、要求等说清楚}乎[2]何和{～气}禾狐葫{～芦}鬍{～须}糊{乱七八糟}□{捞}[3]虎浒{水～}唬{用手段骗人钱财}[4]户雨-祸{～害}[5]护戽{泼水}酷{～暑}沪互{～相}□{动词，给；介词，给，被，原文作“互”}耗浩和{～面}□{仰头；凸出，一般指五官}
ɡ	[2]吴{螟}[3]伍{午杵五}[5]吾{梧五误悟}
∅	[1]乌[2]湖胡壶□{袒护}蝴{～蝶}[3]□{耍手段获得利益或取得胜利}[5]芋恶{～妒，妒忌}
#ɔʔ	
∅	[7a]哕
#ə	
p	[1]飞-[2]赔[4]倍[5]坝{堤}焙{焙干}□{量词，相当于袋}背{动词，背（东西）}
pʰ	[1]坯{土坯}胚{胚胎}[2]皮[4]被{被子}垡{泡沫}□{泡沫}[5]配{就着菜吃喝}杮{硬的碎片}
b	[2]贸{外～}糜{粥}[3]尾{1词缀，加在亲属称谓前，称呼排行最小的人，如“尾叔”、“尾姑”；2名词，（时间上、空间上）靠后的；3名词，尾巴；4量词，某些长条状游弋、爬行类动物，如鱼、虫子、蛇}[4]袜[5]妹未{副词，没}
t	[1]□{淀粉类或面粉类做成的食品，一般为炸的或煎的}□{扔}[3]短-[4]夺[5]袋□{量词，多用于块状物，如肉、肥皂、砖头，也用于家具，如椅子、桌子，也用于称量房屋和歌曲，原文作“块”}□{地方，原文作“带”}缀{跟从}
tʰ	[1]推{推辞，推脱}[5]退褪
l	[2]脶骡螺挼{搓洗衣服}□{踩}□{抓住}
ts	[4]坐座{～位}[5]晬
tsʰ	[1]吹炊[2]箠{细长的小树枝、小竹枝等}[3]髓□{收尾工作，将剩下的零碎工作做完}[5]脆□{找}
s	[1]□{甩耳光}[4]踅{旋转；动量词，来回}[5]税
k	[3]果馃裹{动词，包（水饺、包子、粽子等）}□{垫；挡}[5]过{经～；动量词，次，回；传染疾病}髻
kʰ	[1]科窠棵颗[2]瘸[3]口{户～}[5]扣{减，扣}
x	[1]灰{石灰；～色}[2]回{回礼，回话；减弱，降低}和{～尚}[3]火伙[5]货岁□{代词，那里}
ɡ	[4]月
∅	[1]锅[4]祸
#əʔ	
b	[7a]□{烂稠状}
t	[7a]啄{鸡、鸟等啄食}
l	[7a]□{拿，原文作“捩”}□{liʔ7a～，喜欢捉弄别人}
ts	[7a]□{～脱，浪费；小孩夭折，原文作“仄”}□{用指甲掐}
tsʰ	[7a]啜{小口吸食流质的食物}
s	[7a]雪{-说-说话}
k	[7a]郭
∅	[7a]呃{小孩吃饱后吐出来；打嗝}
#i	
p	[1]悲蓖碑卑啡{咖～；～仔，口哨}□{量词，称量整排的东西，如香蕉，原文作“枇”}[2]脾琵{琵琶}枇{枇杷}啤[3]比{比较}秕[5]闭被{～迫}避秘泌庇痹备臂
pʰ	[1]披彼丕{曹～}[2]疲[3]疕{痂；锅巴}鄙[5]鼻{名词，鼻子；鼻涕；动词，闻}譬
b	[1]微[2]眉楣眯{小睡}弥[3]米美[4]蔑{竹～}[5]味未{～来}昧媚
t	[1]知蜘痴[2]池驰迟挃{要，与“卜、伓”连用}[3]抵底{到～}[4]弟治碟[5]智致雉稚置痔
tʰ	[1]黐{黏～，黏糊糊}[2]啼[3]耻
l	[2]儿厘狸而篱离{～婚}尼[3]李里{衣服的内里；乡～}理鲤履[4]裂[5]二离{离别，离开}腻利痢吏字
ts	[1]脂之芝[2]糍{糍粑}□{这，这种，一般与量词“个”连用}[3]止紫{～菜}只{～有}旨指{～示}姊趾址子{1种子；2果核；3小而硬的粒状或块状物，石子、骰子；4棋子}□{量词，称量成叠的纸巾等}[4]舌舐{以舌取物}[5]至志{志气}誌{县志}
tsʰ	[2]持渍{潮湿，返潮}[3]嗤{嗤笑}[4]市□{用手按、压}[5]刺翅饲试
s	[1]撕施尸司丝诗西{东西（轻声）}[2]时匙鲥辞咝{把尿}[3]死始[4]是氏蚀{消～，减少，缩小}[5]四豉肆示视嗜寺恃
k	[1]支枝肢技妓饥肌基幾{～乎}机讥[2]期奇琵枇祁鳍其棋旗祈歧沂{沂河}[3]指{用手指等向着}几{茶～}幾{～多}杞[4]□{尖叫}[5]痣己纪{纪律，世纪，年纪}记既冀忌
kʰ	[1]欺骑㩻{倾斜，不正}[2]蜞{蜈～，水蛭}[3]齿{牙齿；量词，用于牙齿及齿状物}起岂[4]柿[5]气企器弃汽
x	[1]希牺熙稀嘻{重叠表示笑嘻嘻、无所谓的状态}嬉[2]□{那，那种，一般与量词“个”连用}[3]喜[4]耳[5]戏
ɡ	[2]宜仪谊疑[3]拟[5]义蚁议
∅	[1]医伊衣依尹[2]姨移夷遗[3]椅倚已以[5]易{难～}意矣异
#iʔ	
p	[7a]鳖䘷{卷起（衣袖、裤管等）}
pʰ	[7a]撇{从液体表面上轻轻地捞取}□{量词，一～仔，一点点}
b	[7a]覕{躲避，躲蔽}
t	[7a]滴
tʰ	[7a]铁剃
l	[7a]□{捉弄，须带宾语或补语}
ts	[7a]折{动词，折叠}褶{褶子，皱纹}接{用手接住、接过来}
kʰ	[7a]缺{瓷器等残破；器物上的缺口}
∅	[7a]□{儿语，站起来}
#iu	
p	[1]彪
t	[1]丢[2]宙绸稠筹纣[3]肘[4]粙{稻}[5]昼
tʰ	[1]抽[3]丑[4]□{打滑或滑倒（尤指踩到东西）}[5]□{用竹鞭或鞭子等打}
l	[1]溜□{打倒，滑倒（尤指因为地滑）}[2]流留榴硫琉馏柔揉{（用湿布）擦洗，洗地板}[3]纽{名词，纽扣；量词}柳[4]□{滑倒（尤指因为地滑）}
ts	[1]周舟州洲珠{目～，眼睛}[3]酒[5]就咒蛀{蛀虫咬}
tsʰ	[1]秋{～天}鞦{～千}瞅鬚{胡须}[2]羞{用食指在脸上不停地划表示嘲讽}愁[3]手帚[5]树
s	[1]收修羞[2]讎仇{姓}囚泅{～水}酬[3]首守[4]受授售□{（车、飞机等）很快经过}[5]秀绣锈袖兽寿宿{星宿}岫{虫鸟禽兽的巢穴；借作量词}
k	[1]勼{缩回，收缩；躲}裾{衣服的前后襟}[2]求球[3]九=久=[5]救究纠{纠缠；纠正}
kʰ	[1]鸠[2]□{1动词，蜷曲，收缩；2（衣服、布料）缩水；3抽筋；4形容词，卷曲，不舒展；5形容生活节俭}[3]揪{拉，扯，训读字}□{拉，扯}[5]䊆{米饭比较硬}
x	[1]休[3]朽
ɡ	[3]扭{拉，扯，训读字}□{拉，扯}
∅	[1]忧优幽悠[2]邮尤由油游犹[3]友有酉诱[5]右又佑柚鼬釉幼{1细，与粗相对；2嫩，细嫩}
#iuʔ	
pʰ	[7a]□{液体或带液体的东西飞喷}
t	[7a]□{猛抽；抽痛}
tʰ	[7a]□{打滑，滑倒}□{～皮，受伤脱皮}
l	[7a]□{～落来，下来}
ts	[7a]□{鞋子进水不舒服的状态；烂泥路又滑又烂的样子}
k	[7a]掬{把袋子口、绳子等打结}
kʰ	[7a]䊆{形容食物有弹性、有嚼劲}
#ia	
t	[1]爹
l	[1]□{（用伞等）遮挡}[3]惹[4]搦{抓，捕；量词，拇指与食指张开的距离}
ts	[1]遮[3]姐{小～}者[4]食{吃}[5]蔗嗻{助词，提醒对方注意}
tsʰ	[1]车奢□{翻找}[2]斜[3]扯
s	[1]些{赊}[2]佘{姓}邪[3]写[4]社勺[5]谢泻卸射赦舍{宿～}射麝
k	[2]揭{拿，举起}[5]寄
kʰ	[1]奇{双～，奇偶}[2]骑[4]徛{站，立}[5]徛{竖的；建造}
x	[1]桸{舀水用具}靴[4]瓦
ɡ	[2]鹅{名词；形容词，傻}俄蜈[4]额
∅	[2]爷耶[3]野{～兽；副词，很；还}[4]页叶蝶{蛾子}[5]也夜□{撒，播种，原文作“掖”}□{腻烦，讨厌}
#iaʔ	
p	[7a]壁
pʰ	[7a]僻癖
t	[7a]摘籴{买米；装米做饭}
tʰ	[7a]拆{拆开；买票}
l	[7a]迹{印记；地点处所，与指示代词或数词连用}
ts	[7a]隻{量词，用于大多数动物和交通工具}脊{pa1～，背部}□{副词，才，原文作“则”}□{这里}
tsʰ	[7a]赤{1名词，红色；2形容词，（猪肉、牛肉等）瘦；3煎炸的食物熟透后呈现金黄色、棕色；4裸露，赤脚；5形容人凶悍、泼辣}刺{用尖利的器物刺；编织毛线}
s	[7a]削□{用薄平的工具取东西}
k	[7a]揭{（用针等细尖工具）挑出或拔出}
x	[7a]遐{那里}
∅	[7a]挖{掘，撬，挖}
#u	
p	[2]炰{食物放在炭火上炙烤，原文作“烰”}瓠{南瓜}[4]□{因浸泡而膨胀}[5]富伏{孵小鸡；借为量词，孵的次数}
pʰ	[2]浮[3]殕{食上生白毛}□{朦胧不清晰}
b	[2]巫诬[3]舞抚武侮鹉{鹦鹉}母拇[5]务雾遇□{喷或吐（液体等）}
t	[1]蛛诛株推[2]厨橱{柜子}[3]拄{动词，遇见，碰到；找钱；副词，刚刚，刚好}[4]揬{（用手指或尖物）戳}
l	[1]□{推}□{乌～～，叠音后缀，形容很黑}[2]如儒榆逾愉[3]愈{愈好，病愈}乳缕[5]裕喻
ts	[1]朱硃珠株[3]主[4]聚骤[5]注拄{拄拐杖}蛀驻住铸□{铺，垫}
tsʰ	[1]趋[2]雏[3]取[5]趣戍{房屋，建筑；家}厝{房屋，建筑；家}□{喷射液体等，原文作“澍”}
s	[1]须需输{输赢；运输}殊枢[3]署玺[5]竖树□{从小孔洞喷射液体}
k	[1]拘驹龟{龟；一种硬壳小虫}痀{脊背弯曲，驼背}[2]□{用勺子沥干水分，只取干的部分}瞿[3]久-韭[4]舅臼[5]旧俱句具惧灸{针灸}柩
kʰ	[1]区驱丘[2]跍{蹲}[4]□{慢火煮粥等}
x	[1]夫肤跗敷麸{麦麸子}烌{柴草等烧完后的灰}[2]符俘扶芙{～蓉}敷{手轻轻来回抚摸}[3]府腑俯甫腐{～败}辅脯[4]傅父妇[5]付赴{与“会”、“𣍐”连用，表示来得及或来不及}腐{豆～}附副负讣富赋
ɡ	[2]牛愚虞娱[5]寓遇
∅	[1]污坞盂[3]宇雨禹羽[4]有[5]煦{贴近另一物体取暖或降温}吁
#uʔ	
t	[7a]厾{动词，点头以示招呼；低头；打瞌睡；形容词，低头的状态}
tʰ	[7a]□{托着；戳，原文作“拓”}
l	[7a]□{戳，插}
ts	[7a]□{短暂停留}
tsʰ	[7a]□{喷，从小孔洞猛力喷气或水；用电棒电击}
s	[7a]嗍{吮吸}欶{吮吸}
k	[7a]□{吸}
kʰ	[7a]踞{呆在某处}□{粥粘稠的状态，叠用}
x	[7a]□{衣服穿太多太厚闷着；热～～，形容很热}
∅	[7a]□{赌气不动、不说话}
#ui	
p	[2]肥[5]吠痱沸{煮粥时水沸腾涌出}
pʰ	[5]屁呸{吐出}
t	[1]堆追[2]锤{用拳头或棒槌、锤子敲打}[5]对队坠{～绳，吊线}
tʰ	[1]梯涕推{～理，～土机}[2]槌{锤子等敲打的工具}锤{秤锤}□{不尖利，秃}[3]腿
l	[2]雷擂{涂抹，蹭到}□{量词，用于肉上长的疙瘩}[3]蕊{量词，用于花、花菜、菇类，也用于眼睛}儡垒[5]累{累积，连累}类泪{蜡烛～，蜡油}
ts	[1]锥[3]水{水这种物质；动量词，洗东西的次数}[5]醉
tsʰ	[1]催崔{姓}吹炊□{勒，拉紧}[5]碎脆喙{嘴}翠粹{纯粹}
s	[1]蓑虽荽{～芫}□{流苏或流苏状的东西；刘海}[2]随{～便；逐，按顺序来}髓谁垂[3]水{风～}嫷{漂亮}[5]隧睡瑞遂穗
k	[1]规龟归□{鸡～，嗉子，原文作“胿”}□{腹肚～，肚腩}闺[2]葵逵[3]鬼傀诡幾{～个}[4]跪[5]季溃桂癸柜贵
kʰ	[1]开亏窥[5]气{敨～，透气}愧
x	[1]非麾飞=妃挥辉徽翡[2]瓷{训读字}□{瓷}[3]匪毁[5]慧惠肺费讳
ɡ	[2]危桅[5]魏
∅	[1]威□{钻，用锥状物穿孔；扎}□{刀及其他坚硬物品用久磨损}[2]围违伪为{作为}维惟遗唯[3]伟萎{气～}委苇{芦～}纬[4]胃[5]位喂为{～什么}畏慰谓猬
#uiʔ	
pʰ	[7a]□{拟声词，吐东西的声音，可用作动词}
k	[7a]刮{尖锐的东西钩、割或划（东西）；刮鼻子}
x	[7a]血
∅	[7a]挖{挖，掘}
#ua	
p	[4]跋{跌倒}□{打牌，赌博；投掷（珓）}[5]簸{簸一簸；簸箕}
pʰ	[5]破{形容词；动词，切开，劈（柴）}
b	[2]磨{磨刀；石磨}[4]沫{泡～，塑料泡沫}
t	[5]大-带-
tʰ	[1]拖[5]汰{用清水漂洗衣服}
l	[4]辣捋{梳理，推、搓}热{天热}[5]赖癞偌{代词，代数词量词或副词，“～钱”表示多少钱，“～个”表示几个，“～大”表示多大}
ts	[1]抓[2]蛇[3]纸[4]□{肌肉筋骨扭伤}□{ka5～，蟑螂}[5]逝{行列，线，痕迹；动量词，趟}
tsʰ	[1]髽[4]□{歪斜不正}□{执拗，横}[5]娶{训读}□{娶}蔡□{不由自主地排泄（大小便）}□{引，带领}
s	[1]沙刷[3]徙耍[5]续{接上，相继，继续，原文作“世”}□{洒落}
k	[1]歌瓜过{蔬菜长老了}羁{停留}[3]剐[5]挂{1挂东西；2～号；3打电话；4戴眼镜}盖{盖子}芥卦
kʰ	[1]夸垮跨[3]可{小～，稍微}[5]□{靠着固定的东西放置}
x	[1]花=[2]华{中～}铧[5]化{～学}华{华山，姓}桦{桦树}划{计～}
ɡ	[3]我[5]外
∅	[1]娃洼蛙挖[3]倚{靠近，依靠；依附}[4]活{死～}[5]倚{扶，靠}
#uaʔ	
p	[7a]钵拨
pʰ	[7a]泼□{扇扇子或纸皮等取风}
b	[7a]抹
t	[7a]□{挨骂或被欺负后赌气}
tʰ	[7a]屉□{（洗手脚或洗澡时）搓}
ts	[7a]□{副词，这么，常写“拙”字}
tsʰ	[7a]掣{抢夺；抽搐；害怕}□{禁不住排出大小便}
s	[7a]煞{结束；罢休；副词，反而，竟然}撒{做饭时放盐等调料}
k	[7a]割葛刮括{1包～；2～号；3量词，群，伙}
kʰ	[7a]阔渴
x	[7a]喝{喊叫，斥责}□{表程度，那么}
#ai	
p	[2]排牌[3]摆{动词；动量词，次}跛[5]拜败
pʰ	[3]否{恶，不好；不容易}[5]派沛
b	[2]埋眉楣[3]□{左手边的}[5]□{用在动词后，表尝试}
t	[1]呆[2]台{天～，～湾}[3]□{臭奶，形容小孩刚学说话说不清楚}[5]代戴贷袋带=大=怠
tʰ	[1]胎抬台{～风}筛{名词，筛子；动词，筛，原文作“𥭘”}[2]治{杀，宰杀；批改时打叉}苔{舌苔，青苔}[3]癞{～哥，麻风病}[4]待[5]太态泰汰{算了，拉到}
l	[2]来梨[4]裏{方位词}[5]利{锋利}
ts	[1]灾栽斋知[2]才{名词}材财裁{～判}脐[3]宰[4]在[5]再载{明仔～，明天；～重；满～}
tsʰ	[1]猜[2]豺[3]彩采{～取，神～}睬[5]菜
s	[1]西{方位}师狮腮鳃筛{～选}[3]屎使{动词，～唆，怂恿，使唤；语气副词，相当于“何必”；粗话，操}[5]赛婿使{大～}姒{同～，妯娌}侍{放，放置}
k	[1]该皆阶秸{麦秸}[3]改=解{讲解，解开}[5]介丐界尬届戒
kʰ	[1]开{按十分之几的比例分开；花钱；～关}揩[3]楷凯[5]慨{慷～，感～}概溉
x	[1]□{大}[2]械孩还{还有}谐[3]海[4]亥骇蟹解{姓}[5]害懈
ɡ	[2]涯崖呆{发呆，不灵活}[5]碍艾
∅	[1]哀埃{尘～}挨{～近}[3]蔼{和蔼}[5]爱艾{～滋病}
#au	
p	[1]包褒袍胞[2]狍[4]佨{包揽，全包}鲍{姓；鲍鱼}
pʰ	[1]抛枹{柚子}[2]刨[3]跑[5]泡{动词，用开水冲或调；量词，冲调的次数}炮
b	[2]茅矛锚[3]卯[5]貌
t	[1]兜蔸{量词，用于植物，相当于“棵、株”}[2]投{投诉，告状}[3]斗{1名词，容器；2借为量词；3词尾，尻川～，喙～}□{动量词，次，回，原文作“捣”}[5]豆罩鬥{1拼合，安装；2相处，前面一般要加“好、否”或者用介词介引相处对象；3副词，都，全部，含有争着抢着的意思}昼{中午和下午}逗
tʰ	[1]偷[2]头[3]敨{展开；透气}[5]透毒{毒害，毒死}
l	[2]楼流刘铙[3]佬{～仔，骗子，人贩子}□{ɡɔ1～，清高，孤僻}老{阴上的“老”意义比较虚，用于老虎、老大、老练、老实等词。阳上的“老”意义比较实，一般用于与年纪大有关的词中，如老侬、老头。去声的“老”只用于“老板”一词}[4]老{～头}[5]漏闹落{拉肚子}老{～板}
ts	[1]遭糟{单字音，红曲，闽南人自家酿红酒时用}[2]巢剿褿{形容词，整齐；副词，全，都}[3]走{跑，对别人说时表示“走开”、“滚开”}蚤澡[5]灶躁
tsʰ	[1]抄操{～作}钞[2]□{移动，推}[3]草[5]臭{香臭}
s	[1]飕{（陶瓷嗓音等）沙哑、不响亮}[5]扫嗽
k	[1]交郊勾-钩沟[2]猴[3]狗搞九-狡[4]厚-够{～礼，礼节周至}□{从一定的高度掉下或摔下}[5]够-教{～育}较窖校{～对}
kʰ	[1]抠{1动词，用手指头挖，用工具刮、削；2人工流产}□{量词，用于纱、毛线等}薅阄[3]口-{1出入通过的地方，出～，门～；2口子，伤～；3词尾，使用情况很有限，“外口”指外面；“看口”指摆出去的情况，前面要加“会”、“𣍐”，表示拿得出手或拿不出手；bə3～，形容人爱漂亮，讲究体面}[5]哭
x	[3]吼{哭；大的响声}[4]後{～生，年轻}[5]孝校{学～}酵效{1～果，仿～；2前加“有、无”表示某事好或不好，令人满意或不满意}
ɡ	[2]淆𠢕{厉害，有本事；善于，容易}肴
∅	[2]喉[3]拗{弄弯，折叠，折断}媪{母亲，面称背称均可}[4]後-[5]沤{木头腐朽}□{差，糟糕，不中用，常组成“～屎”一词}
#auʔ	
l	[7a]落{掉，丢失}
k	[7a]□{量词，用于成叠的东西，原文作“裹”}
#əu	
b	[2]谋
t	[5]鬥{奋～}赵
l	[3]篓[5]陋
ts	[5]奏
tsʰ	[5]凑
k	[1]勾={～当}[3]苟[5]构够=购
kʰ	[3]口={人～}[5]叩洪扣寇
x	[3]否[4]后{皇～}後=厚=[5]候侯
ɡ	[3]偶{配～；～然}藕
∅	[1]欧瓯殴[3]呕{～吐}
#iau	
p	[1]标镖{飞～}[3]表{～妹}婊
pʰ	[1]飘漂{～流}[2]瓢
