#ɿ		
p	①彪 ③表	
pʰ	①飘 ②嫖瓢 ③漂{~白} ⑤票漂{~亮}	
m	②苗貓 ③秒 ⑤庙妙谬	
t	①刁貂雕挑{白} ⑤钓弔调{~动，音~}吊	
tʰ	①挑 ②调{~和}条 ③掉{白} ⑤跳	
n	②聊燎 ③了 ⑤料	
tɕ	①骄教交焦 ③絞 ⑤轿叫教嚼校	
tɕʰ	①敲{文} ②桥 ③巧 ⑤翘窍	
ɕ	①消萧嚣箫 ②肴淆 ③小晓 ⑤校孝笑效酵	
ȵ	③鸟咬 ⑤尿	
Ø	①妖腰 ②摇尧 ③舀 ⑤要	
#əu		
t	①兜 ③斗 ⑤豆鬥	
tʰ	①偷 ②头頭投 ③抖 ⑤透	
n	①篓{口} ②楼 ③缕屡篓 ⑤漏	
ts	①周州 ③走 ⑤奏	
tsʰ	①抽 ②愁绸讎 ③丑醜 ⑤凑臭	
s	①收 ③手守首 ⑤瘦兽寿	
z	②柔揉 ⑤肉{白}	
k	①沟钩 ③狗 ⑤够	
kʰ	③口	
ŋ	①欧 ③藕偶	
x	②侯喉 ⑤候後厚	
#iəu		
m	⑤繆	
t	①丢	
n	①溜 ②流留 ③柳	
tɕ	①糾就{白}灸 ③九久酒 ⑤舅救旧就	
tɕʰ	①秋丘 ②求	
ɕ	①休修 ②囚 ③朽 ⑤袖宿{星~}	
ȵ	②牛 ③紐 ⑤□{动}	
Ø	①优忧 ②由尤猶油 ③有友 ⑤幼又右	
#aⁿ		
t	①当{应~}单丹但{口语，~是}端 ③胆短党 ⑤旦淡但蛋弹{子~}煅段断缎当{上~}荡	
tʰ	①贪汤探 ②团潭谈糖弹{~琴}唐塘棠堂 ③毯躺 ⑤叹炭烫趟	
n	②郎南男难{~易}蓝廊狼囊 ③览卵朗 ⑤乱难{灾~}烂浪	
ts	①张沾章樟 ③斩展长{生~} ⑤暂站赞栈绽占战丈帐账	
tsʰ	①餐昌 ②蚕长{~短}缠 ③惨产厂 ⑤唱	
s	①衫三山伤商上{白} ②蝉常尝偿 ③陕闪伞 ⑤上散扇	
z	②然瓤 ③染酿 ⑤让	
k	①干{~涉，~燥}间{白}甘肝杆{晾衣~} ③感敢杆{笔~}秤{草~}赶 ⑤干{~练，树~}	
kʰ	①看堪勘 ③坎砍 ⑤看	
ŋ	①庵安鞍 ⑤岸暗晏按案	
x	①酣 ②含銜鹹寒 ③喊 ⑤陷漢旱汗	
p	①班搬 ③板 ⑤半伴办扮蚌{白}	
pʰ	①攀潘 ②盘 ⑤盼判叛绊	
m	②蛮瞒 ③满 ⑤慢	
f	①翻 ②凡帆 ③反 ⑤范犯贩饭	
#iaⁿ		
ȵ	①孃{母亲以外的长辈妇女} ②娘 ③仰	
n	②良凉粮粱梁 ③兩 ⑤亮量谅	
tɕ	①江姜浆刚{白} ③讲 ⑤匠浆{俗}将{上~}降{下~}强{倔~}	
tɕʰ	①羌枪腔 ②详墙强{~大}祥翔 ③抢强{勉~} ⑤像{样子像}	
ɕ	①香相{∽伴}乡 ②降{投~} ③想享响 ⑤向像{文：画像}相{~貌}象橡	
Ø	①央秧殃 ②羊洋阳杨扬 ③养痒 ⑤样恙	
#iɛⁿ		
p	①边编 ③貶扁 ⑤辨变便{方~}	
pʰ	①偏 ②便{~宜} ③匾 ⑤片遍骗	
m	②棉 ③免 ⑤面	
t	①颠 ③点典 ⑤店垫电	
tʰ	①天添 ②甜田 ③舔	
n	②廉镰连联怜帘 ③脸 ⑤练炼恋	
tɕ	①监间{文}奸尖肩 ③减剪检茧解{文} ⑤戒渐件见建健剑界介间{~断}械芥疥戒	
tɕʰ	①谦千签牵钻 ②钳前钱 ③浅 ⑤欠	
ɕ	①仙先现{白} ②嫌贤闲 ③险 ⑤限宪现县线解{姓}蟹	
ȵ	①研拈 ②严年阎 ③碾 ⑤验念砚	
Ø	①醃烟炎 ②言延盐 ③眼演 ⑤厌晏	
#uaⁿ		
t	①端 ③短 ⑤断段煅缎	
tʰ	②團团	
n	②鸾 ③暖卵 ⑤乱	
k	①官關鳏觀 ③管 ⑤惯贯	
kʰ	①宽 ③款皖	
x	①欢 ②横{白}还环 ③缓 ⑤换唤幻	
ts	①专砖 ③轉转{~变} ⑤篆传{~记}赚转{~动}	
tsʰ	①川穿 ②船传{~达} ③铲 ⑤串	
s	①删酸 ⑤算閂	
z	③软阮	
Ø	①弯 ②完玩丸顽 ③碗晚 ⑤院万	
#yɛⁿ		
tɕ	①捐 ③捲 ⑤倦	
tɕʰ	①圈 ②全权 ③犬 ⑤劝	
ɕ	①鲜宣軒喧暄掀 ②玄旋{~转}悬弦 ③癬选 ⑤旋{~风}	
Ø	①渊冤 ②元园圆缘原铅沿丸 ③远 ⑤愿院	
#ən		
p	①崩绷 ③本 ⑤笨	
pʰ	②盆彭膨	
m	①们{又}闷{口} ②门们 ⑤闷	
f	①分 ②坟 ③粉 ⑤奋粪	
t	①灯蹲墩敦 ③等蹬{~~鞋} ⑤顿邓凳盾遁	
tʰ	①吞 ②藤屯	
n	②轮能伦仑 ③冷 ⑤嫩论	
k	①跟根耕庚更{打~} ③梗整{俗} ⑤更{~加，~改}	
kʰ	①坑 ③肯懇	
ŋ	①恩樱{白} ⑤硬	
x	①亨 ②恒茎 ③很 ⑤恨杏	
ts	①臻尊遵曾增徵真侦征贞争诊疹 ③整震振 ⑤郑正政阵镇证	
tsʰ	①村撑 ②沉陈存承臣橙成诚层程城 ③惩 ⑤衬趁寸秤慎	
s	①森孙身深申生僧参升声 ②神晨辰乘承{白} ③损笋省{节~，~长，反~}审沈榫 ⑤甚剩	
z	①认{又} ②壬人仍仁任{姓} ③仍忍韧刃 ⑤认任{责~}	
#in		
p	①冰兵 ③禀饼柄 ⑤病	
pʰ	①拼 ②貧平瓶 ③品 ⑤聘	
m	②名民明盟 ③敏 ⑤命	
t	①钉丁 ③顶 ⑤定	
tʰ	①听 ②停 ③挺 ⑤听	
n	②林邻宁陵靈零棱怜 ③領 ⑤令	
tɕ	①今金津巾斤荆经京筋 ③紧井颈 ⑤近进晋静劲镜	
tɕʰ	①亲钦清轻青 ②秦情琴勤 ③請 ⑤侵庆	
ɕ	①星心新欣兴 ②形行{~为，品~得 ③醒省{反~} ⑤幸信姓性杏{文}兴行{品~}	
ȵ	②凝	
Ø	①音因英莺樱{文}蝇 ②银盈寅迎赢 ③隐引影 ⑤映印应	
#uən		
k	③滚 ⑤棍	
kʰ	①昆坤 ②浑{白} ③捆 ⑤困	
x	①昏婚浑 ②横魂 ⑤混	
ts	③准	
tsʰ	①椿春 ③蠢	
s	②纯唇绳 ⑤顺	
z	⑤闰孕	
Ø	①温 ②文蚊闻 ③稳 ⑤问	
#yn		
tɕ	①均君军 ⑤俊	
tɕʰ	①倾 ②群琼裙寻{白，~钱} ③顷	
ɕ	①熏 ②旬寻 ⑤逊	
Ø	②荣营萤云雲匀 ③永允尹咏 ⑤运咏	
#ɤŋ		
p	⑤迸	
pʰ	①喷 ②朋棚蓬篷蓬 ③捧 ⑤碰	
m	②谋蒙萌 ③猛亩某 ⑤梦孟	
f	①风枫疯丰封蜂峰锋 ②冯逢缝{~补} ③否讽 ⑤凤奉缝{裂~}	
#aŋ		
p	①邦幫 ③绑榜 ⑤棒蚌{文}	
pʰ	②旁庞 ⑤胖	
m	②忙芒 ③莽	
f	①方芳坊 ②房防坊 ③纺 ⑤放	
t	①当 ③党 ⑤当	
tʰ	①汤 ②唐堂	
n	②囊郎 ③朗	
k	①剛冈岗钢纲缸 ③港 ⑤虹{白}杠	
kʰ	①糠康 ③䆲{盖，把茶杯~上} ⑤抗亢	
ŋ	②昂	
x	②行{~列}航杭 ⑤巷项	
ts	①张 ③长 ⑤帐丈	
tsʰ	①倉昌 ②长 ⑤唱	
s	①桑商 ②常 ③爽 ⑤上尚	
z	⑤讓	
#iaŋ		
n	②良 ③兩 ⑤亮	
tɕ	①江将姜 ③讲 ⑤强{倔~}	
tɕʰ	①腔匡羌 ②强祥详 ⑤像{白}	
ɕ	①香乡 ③想 ⑤象像	
ȵ	①□{∽kɚ[阴平]：什么} ②娘 ③仰	
Ø	①央 ②羊阳 ③养 ⑤样	
#uaŋ		
k	①光 ③廣 ⑤光{口}	
kʰ	①筐 ②狂 ⑤况曠	
x	①荒慌 ②黃洪{白读:~雅，县名；∽水}红{白} ③谎恍晃{~眼} ⑤晃{~眼，摇~}	
ts	①桩庄装 ⑤状撞{文}壮藏{宝~}	
tsʰ	①窗疮仓苍 ②床藏{隐~} ③闯 ⑤撞葬	
s	①双霜桑	
Ø	①汪 ②王忘 ③枉往网 ⑤望忘旺	
#oŋ		
p	①绷 ②嘣{~噔儿，拟声}	
pʰ	②朋棚蓬	
m	②蒙萌谋 ③猛某亩 ⑤孟梦茂贸	
f	①风封丰 ②冯 ③否 ⑤奉凤	
t	①东冬 ③懂 ⑤动洞冻	
tʰ	①通 ②同铜筒 ③统桶 ⑤痛	
n	①聋弄{白} ②农隆龙笼 ③拢 ⑤弄	
k	①公弓工恭宫供{~不起} ③汞拱巩 ⑤共供{~养}	
kʰ	①空{~虚} ③孔恐 ⑤空{钻~子}控	
x	①轰烘 ②弘宏红洪鸿虹 ③哄	
ts	①宗中{~间}鐘终 ③总种{~类，~田}肿 ⑤皱重粽种{~田}中{~弹}一	
tsʰ	①葱充冲衷 ②崇虫从 ③宠	
s	①松鬆嵩 ③耸 ⑤送宋诵	
z	②绒茸	
Ø	①翁 ⑤瓮	
u	①翁 ⑤壅{引申为淹之义}	
#ioŋ		
tɕ	①躬{白}	
tɕʰ	②穷	
ɕ	①兄胸凶 ②雄熊	
Ø	①雍 ②融容 ③勇拥允 ⑤用	
