			中山石岐話			中山環城話			南蓢白話			珠海唐家話												
	矇		m	ʊŋ	1	m	ʊŋ	1	m	ʊŋ	1	m	ʊŋ	1										
	濛		m	ʊŋ	4	m	ʊŋ	4	m	ʊŋ	4	m	ʊŋ	4										
	朦		m	ʊŋ	4	m	ʊŋ	4	m	ʊŋ	4	m	ʊŋ	4										
	檬		m	ʊŋ	1	m	ʊŋ	1	m	ʊŋ	1	m	ʊŋ	1										
	蒙		m	ʊŋ	4	m	ʊŋ	4	m	ʊŋ	4	m	ʊŋ	4										
	夢		m	ʊŋ	3	m	ʊŋ	3	m	ʊŋ	3	m	ʊŋ	3										
	豐		h	ʊŋ	1	h	ʊŋ	1	h	ʊŋ	1	h	ʊŋ	1										
	窮		kʰ	ʊŋ	4	kʰ	ʊŋ	4	kʰ	ʊŋ	4	kʰ	ʊŋ	4										
	董		t	ʊŋ	2	t	ʊŋ	2	t	ʊŋ	2	t	ʊŋ	2										
	桶		tʰ	ʊŋ	2	tʰ	ʊŋ	2	tʰ	ʊŋ	2	tʰ	ʊŋ	2										
	動		t	ʊŋ	3	t	ʊŋ	3	t	ʊŋ	3	t	ʊŋ	3										
	攏		l	ʊŋ	2	l	ʊŋ	2	l	ʊŋ	2	l	ʊŋ	2										
	總		ts	ʊŋ	2	ts	ʊŋ	2	ts	ʊŋ	2	ts	ʊŋ	2										
	孔		kʰ	ʊŋ	2	kʰ	ʊŋ	2	kʰ	ʊŋ	2	kʰ	ʊŋ	2										
	俸		h	ʊŋ	2	h	ʊŋ	2	h	ʊŋ	2	h	ʊŋ	2										
	懵		m	ʊŋ	2	m	ʊŋ	2	m	ʊŋ	2	m	ʊŋ	2										
	棟		t	ʊŋ	3	t	ʊŋ	3	t	ʊŋ	3	t	ʊŋ	3										
	痛		tʰ	ʊŋ	3	tʰ	ʊŋ	3	tʰ	ʊŋ	3	tʰ	ʊŋ	3										
	弄		l	ʊŋ	3	l	ʊŋ	3	l	ʊŋ	3	l	ʊŋ	3										
	粽		ts	ʊŋ	3	ts	ʊŋ	3	ts	ʊŋ	3	ts	ʊŋ	3										
	送		s	ʊŋ	3	s	ʊŋ	3	s	ʊŋ	3	s	ʊŋ	3										
	仲		ts	ʊŋ	3	ts	ʊŋ	3	ts	ʊŋ	3	ts	ʊŋ	3										
	銃		tsʰ	ʊŋ	3	tsʰ	ʊŋ	3	tsʰ	ʊŋ	3	tsʰ	ʊŋ	3										
	貢		k	ʊŋ	3	k	ʊŋ	3	k	ʊŋ	3	k	ʊŋ	3										
	哄		h	ʊŋ	3	h	ʊŋ	3	h	ʊŋ	3	h	ʊŋ	3										
	甕			ʊŋ	3		ʊŋ	3		ʊŋ	3		ʊŋ	3										
	諷		h	ʊŋ	3	h	ʊŋ	3	h	ʊŋ	3	h	ʊŋ	3										
	鳳		h	ʊŋ	3	h	ʊŋ	3	h	ʊŋ	3	h	ʊŋ	3										
	啄		t	œk	6	t	iɔk	6	t	iɔk	6	t	œk	5										
	啄		t	œŋ	1	t	iɔŋ	1	t	iɔŋ	1	t	œŋ	1										
	竺		ts	ʊk	5	ts	ʊk	5	ts	ʊk	5	ts	ʊk	5										
	禿		tʰ	ʊk	5	tʰ	ʊk	5	tʰ	ʊk	5	tʰ	ʊk	5										
	犢		t	ʊk	6	t	ʊk	6	t	ʊk	6	t	ʊk	6										
	獨		t	ʊk	6	t	ʊk	6	t	ʊk	6	t	ʊk	6										
	瀆		t	ʊk	6	t	ʊk	6	t	ʊk	6	t	ʊk	6										
	讀		t	ʊk	6	t	ʊk	6	t	ʊk	6	t	ʊk	6										
	讀		t	ɐu	3										句讀									
	麓		l	ʊk	5	l	ʊk	5	l	ʊk	5	l	ʊk	5										
	鹿		l	ʊk	6	l	ʊk	6	l	ʊk	6	l	ʊk	6										
	漉		l	ʊk	5	l	ʊk	5	l	ʊk	5	l	ʊk	5										
	碌		l	ʊk	5	l	ʊk	5	l	ʊk	5	l	ʊk	5										
	角		k	ɔk	6	k	ɔk	6	k	ɔk	6	k	ɔk	5										
	祿		l	ʊk	6	l	ʊk	6	l	ʊk	6	l	ʊk	6										
	陸		l	ʊk	6	l	ʊk	6	l	ʊk	6	l	ʊk	6										
	六		l	ʊk	6	l	ʊk	6	l	ʊk	6	l	ʊk	6										
	蹙		tsʰ	ʊk	5	tsʰ	ʊk	5	tsʰ	ʊk	5	tsʰ	ʊk	5										
	簇		tsʰ	ʊk	5	tsʰ	ʊk	5	tsʰ	ʊk	5	tsʰ	ʊk	5										
	蹴		tsʰ	ʊk	5	tsʰ	ʊk	5	tsʰ	ʊk	5	tsʰ	ʊk	5										
	族		ts	ʊk	6	ts	ʊk	6	ts	ʊk	6	ts	ʊk	6										
	鑿		ts	ɔk	6	ts	ɔk	6	ts	ɔk	6	ts	ɔk	6										
	速		tsʰ	ʊk	5	tsʰ	ʊk	5	tsʰ	ʊk	5	tsʰ	ʊk	5										
	肅		s	ʊk	5	s	ʊk	5	s	ʊk	5	s	ʊk	5										
	夙		s	ʊk	5	s	ʊk	5	s	ʊk	5	s	ʊk	5										
	竹		ts	ʊk	5	ts	ʊk	5	ts	ʊk	5	ts	ʊk	5										
	築		ts	ʊk	5	ts	ʊk	5	ts	ʊk	5	ts	ʊk	5										
	逐		ts	ʊk	6	ts	ʊk	6	ts	ʊk	6	ts	ʊk	6										
	軸		ts	ʊk	6	ts	ʊk	6	ts	ʊk	6	ts	ʊk	6										
	筑		ts	ʊk	5	ts	ʊk	5	ts	ʊk	5	ts	ʊk	5										
	矗		tsʰ	ʊk	5	tsʰ	ʊk	5	tsʰ	ʊk	5	tsʰ	ʊk	5										
	縮		s	ʊk	5	s	ʊk	5	s	ʊk	5	s	ʊk	5										
	淑		s	ʊk	6	s	ʊk	6	s	ʊk	6	s	ʊk	6										
	熟		s	ʊk	6	s	ʊk	6	s	ʊk	6	s	ʊk	6										
	塾		s	ʊk	6	s	ʊk	6	s	ʊk	6	s	ʊk	6										
	孰		s	ʊk	6	s	ʊk	6	s	ʊk	6	s	ʊk	6										
	倏		s	ʊk	5	s	ʊk	5	s	ʊk	5	s	ʊk	5										
	叔		s	ʊk	5	s	ʊk	5	s	ʊk	5	s	ʊk	5										
	肉		j	ʊk	6	j	ʊk	6	j	ʊk	6	j	ʊk	6										
	穀		k	ʊk	5	k	ʊk	5	k	ʊk	5	k	ʊk	5										
	谷		k	ʊk	5	k	ʊk	5	k	ʊk	5	k	ʊk	5										
	掬		kʰ	ʊk	5	kʰ	ʊk	5	kʰ	ʊk	5	kʰ	ʊk	5										
	鞠		kʰ	ʊk	5	kʰ	ʊk	5	kʰ	ʊk	5	kʰ	ʊk	5										
	菊		kʰ	ʊk	5	kʰ	ʊk	5	kʰ	ʊk	5	kʰ	ʊk	5										
	哭		h	ʊk	5	h	ʊk	5	h	ʊk	5	h	ʊk	5										
	麴		kʰ	ʊk	5	kʰ	ʊk	5	kʰ	ʊk	5	kʰ	ʊk	5										
	蓄		tsʰ	ʊk	5	tsʰ	ʊk	5	tsʰ	ʊk	5	tsʰ	ʊk	5										
	斛		h	ʊk	6	h	ʊk	6	h	ʊk	6	h	ʊk	6										
	屋			ʊk	5		ʊk	5		ʊk	5		ʊk	5										
	郁		j	ʊk	5	j	ʊk	5	j	ʊk	5	j	ʊk	5										
	粥		ts	ʊk	5	ts	ʊk	5	ts	ʊk	5	ts	ʊk	5										
	鬻		j	ʊk	6	j	ʊk	6	j	ʊk	6	j	ʊk	6										
	育		j	ʊk	6	j	ʊk	6	j	ʊk	6	j	ʊk	6										
	昱		j	ʊk	5	j	ʊk	5	j	ʊk	5	j	ʊk	5										
	蹼		p	ʊk	6	p	ʊk	6	p	ʊk	6	p	ʊk	6										
	卜		p	ʊk	5	p	ʊk	5	p	ʊk	5	p	ʊk	5										
	腹		h	ʊk	5	h	ʊk	5	h	ʊk	5	h	ʊk	5										
	蝠		h	ʊk	5	h	ʊk	5	h	ʊk	5	h	ʊk	5										
	福		h	ʊk	5	h	ʊk	5	h	ʊk	5	h	ʊk	5										
	幅		h	ʊk	5	h	ʊk	5	h	ʊk	5	h	ʊk	5										
	僕		p	ʊk	6	p	ʊk	6	p	ʊk	6	p	ʊk	6										
	服		h	ʊk	6	h	ʊk	6	h	ʊk	6	h	ʊk	6										
	匐		h	ʊk	6	h	ʊk	6	h	ʊk	6	h	ʊk	6										
	馥		h	ʊk	5	h	ʊk	5	h	ʊk	5	h	ʊk	5										
	木		m	ʊk	6	m	ʊk	6	m	ʊk	6	m	ʊk	6										
	沐		m	ʊk	6	m	ʊk	6	m	ʊk	6	m	ʊk	6										
	睦		m	ʊk	6	m	ʊk	6	m	ʊk	6	m	ʊk	6										
	穆		m	ʊk	6	m	ʊk	6	m	ʊk	6	m	ʊk	6										
	目		m	ʊk	6	m	ʊk	6	m	ʊk	6	m	ʊk	6										
	牧		m	ʊk	6	m	ʊk	6	m	ʊk	6	m	ʊk	6										
	撲		pʰ	ɔk	6	pʰ	ɔk	6	pʰ	ɔk	6	pʰ	ɔk	5										
	撲		p	ʊk	6	p	ʊk	6	p	ʊk	6	p	ʊk	6	撲鷄盲									
	冬		t	ʊŋ	1	t	ʊŋ	1	t	ʊŋ	1	t	ʊŋ	1										
	疼		tʰ	ɐŋ	4	tʰ	ɐŋ	4	tʰ	ɐŋ	4	tʰ	ɐŋ	4										
	彤		tʰ	ʊŋ	4	tʰ	ʊŋ	4	tʰ	ʊŋ	4	tʰ	ʊŋ	4										
	鼕		tʰ	ʊŋ	4	tʰ	ʊŋ	4	tʰ	ʊŋ	4	tʰ	ʊŋ	4										
	農		n	ʊŋ	4	n	ʊŋ	4	n	ʊŋ	4	n	ʊŋ	4										
	膿		n	ʊŋ	4	n	ʊŋ	4	n	ʊŋ	4	n	ʊŋ	4										
	宗		ts	ʊŋ	1	ts	ʊŋ	1	ts	ʊŋ	1	ts	ʊŋ	1										
	淙		ts	ʊŋ	1	ts	ʊŋ	1	ts	ʊŋ	1	ts	ʊŋ	1										
	鬃		ts	ʊŋ	1	ts	ʊŋ	1	ts	ʊŋ	1	ts	ʊŋ	1										
	鬆		s	ʊŋ	1	s	ʊŋ	1	s	ʊŋ	1	s	ʊŋ	1										
	統		tʰ	ʊŋ	2	tʰ	ʊŋ	2	tʰ	ʊŋ	2	tʰ	ʊŋ	2										
	綜		ts	ʊŋ	1	ts	ʊŋ	1	ts	ʊŋ	1	ts	ʊŋ	1										
	宋		s	ʊŋ	3	s	ʊŋ	3	s	ʊŋ	3	s	ʊŋ	3										
	篤		t	ʊk	5	t	ʊk	5	t	ʊk	5	t	ʊk	5										
	督		t	ʊk	5	t	ʊk	5	t	ʊk	5	t	ʊk	5										
	毒		t	ʊk	6	t	ʊk	6	t	ʊk	6	t	ʊk	6										
	褥		j	ʊk	6	j	ʊk	6	j	ʊk	6	j	ʊk	6										
	酷		h	ʊk	6	h	ʊk	6	h	ʊk	6	h	ʊk	6										
	酷		k	ʊk	5																			
	沃		j	ʊk	5	j	ʊk	5	j	ʊk	5	j	ʊk	5										
	濃		n	ʊŋ	4	n	ʊŋ	4	n	ʊŋ	4	n	ʊŋ	4										
	龍		l	ʊŋ	4	l	ʊŋ	4	l	ʊŋ	4	l	ʊŋ	4										
	縱		ts	ʊŋ	3	ts	ʊŋ	3	ts	ʊŋ	3	ts	ʊŋ	3										
	蹤		ts	ʊŋ	1	ts	ʊŋ	1	ts	ʊŋ	1	ts	ʊŋ	1										
	樅		ts	ʊŋ	1	ts	ʊŋ	1	ts	ʊŋ	1	ts	ʊŋ	1										
	從		tsʰ	ʊŋ	4	tsʰ	ʊŋ	4	tsʰ	ʊŋ	4	tsʰ	ʊŋ	4	跟從									
	從		tsʰ	ʊŋ	1	tsʰ	ʊŋ	1	tsʰ	ʊŋ	1	tsʰ	ʊŋ	1	從容									
	松		tsʰ	ʊŋ	4	tsʰ	ʊŋ	4	tsʰ	ʊŋ	4	tsʰ	ʊŋ	4										
	訟		ts	ʊŋ	3	ts	ʊŋ	3	ts	ʊŋ	3	ts	ʊŋ	3										
	重		tsʰ	ʊŋ	4	tsʰ	ʊŋ	4	tsʰ	ʊŋ	4	tsʰ	ʊŋ	4	重新									
	重		tsʰ	ʊŋ	2	tsʰ	ʊŋ	2	tsʰ	ʊŋ	2	tsʰ	ʊŋ	2	重量									
	重		ts	ʊŋ	3	ts	ʊŋ	3	ts	ʊŋ	3	ts	ʊŋ	3	重要									
	鐘		ts	ʊŋ	1	ts	ʊŋ	1	ts	ʊŋ	1	ts	ʊŋ	1										
	忪		ts	ʊŋ	1	ts	ʊŋ	1	ts	ʊŋ	1	ts	ʊŋ	1	怔忪									
	忪		s	ʊŋ	1	s	ʊŋ	1	s	ʊŋ	1	s	ʊŋ	1	惺忪									
	鍾		ts	ʊŋ	1	ts	ʊŋ	1	ts	ʊŋ	1	ts	ʊŋ	1										
	憧		tsʰ	ʊŋ	1	tsʰ	ʊŋ	1	tsʰ	ʊŋ	1	tsʰ	ʊŋ	1										
	衝		tsʰ	ʊŋ	1	tsʰ	ʊŋ	1	tsʰ	ʊŋ	1	tsʰ	ʊŋ	1										
	舂		ts	ʊŋ	1	ts	ʊŋ	1	ts	ʊŋ	1	ts	ʊŋ	1										
	茸		j	ʊŋ	4	j	ʊŋ	4	j	ʊŋ	4	j	ʊŋ	4										
	共		k	ʊŋ	3	k	ʊŋ	3	k	ʊŋ	3	k	ʊŋ	3										
	恭		k	ʊŋ	1	k	ʊŋ	1	k	ʊŋ	1	k	ʊŋ	1										
	供		k	ʊŋ	1	k	ʊŋ	1	k	ʊŋ	1	k	ʊŋ	1	提供									
	供		k	ʊŋ	3	k	ʊŋ	3	k	ʊŋ	3	k	ʊŋ	3	供奉									
	凶		h	ʊŋ	1	h	ʊŋ	1	h	ʊŋ	1	h	ʊŋ	1										
	洶		h	ʊŋ	1	h	ʊŋ	1	h	ʊŋ	1	h	ʊŋ	1										
	兇		h	ʊŋ	1	h	ʊŋ	1	h	ʊŋ	1	h	ʊŋ	1										
	匈		h	ʊŋ	1	h	ʊŋ	1	h	ʊŋ	1	h	ʊŋ	1										
	雍		j	ʊŋ	1	j	ʊŋ	1	j	ʊŋ	1	j	ʊŋ	1										
	蓉		j	ʊŋ	4	j	ʊŋ	4	j	ʊŋ	4	j	ʊŋ	4										
	溶		j	ʊŋ	4	j	ʊŋ	4	j	ʊŋ	4	j	ʊŋ	4										
	容		j	ʊŋ	4	j	ʊŋ	4	j	ʊŋ	4	j	ʊŋ	4										
	傭		j	ʊŋ	4	j	ʊŋ	4	j	ʊŋ	4	j	ʊŋ	4										
	鎔		j	ʊŋ	4	j	ʊŋ	4	j	ʊŋ	4	j	ʊŋ	4										
	頌		ts	ʊŋ	3	ts	ʊŋ	3	ts	ʊŋ	3	ts	ʊŋ	3										
	庸		j	ʊŋ	4	j	ʊŋ	4	j	ʊŋ	4	j	ʊŋ	4										
	封		h	ʊŋ	1	h	ʊŋ	1	h	ʊŋ	1	h	ʊŋ	1										
	逢		h	ʊŋ	4	h	ʊŋ	4	h	ʊŋ	4	h	ʊŋ	4										
	縫		h	ʊŋ	4	h	ʊŋ	4	h	ʊŋ	4	h	ʊŋ	4	裁縫									
	縫		h	ʊŋ	3	h	ʊŋ	3	h	ʊŋ	3	h	ʊŋ	3	裂縫									
	鋒		h	ʊŋ	1	h	ʊŋ	1	h	ʊŋ	1	h	ʊŋ	1										
	烽		h	ʊŋ	1	h	ʊŋ	1	h	ʊŋ	1	h	ʊŋ	1										
	丰		h	ʊŋ	1	h	ʊŋ	1	h	ʊŋ	1	h	ʊŋ	1										
	隴		l	ʊŋ	2	l	ʊŋ	2	l	ʊŋ	2	l	ʊŋ	2										
	聳		s	ʊŋ	2	s	ʊŋ	2	s	ʊŋ	2	s	ʊŋ	2										
	悚		s	ʊŋ	2	s	ʊŋ	2	s	ʊŋ	2	s	ʊŋ	2										
	慫		s	ʊŋ	2	s	ʊŋ	2	s	ʊŋ	2	s	ʊŋ	2										
	冢		tsʰ	ʊŋ	2	tsʰ	ʊŋ	2	tsʰ	ʊŋ	2	tsʰ	ʊŋ	2										
	塚		tsʰ	ʊŋ	2	tsʰ	ʊŋ	2	tsʰ	ʊŋ	2	tsʰ	ʊŋ	2										
	寵		tsʰ	ʊŋ	2	tsʰ	ʊŋ	2	tsʰ	ʊŋ	2	tsʰ	ʊŋ	2										
	踵		ts	ʊŋ	2	ts	ʊŋ	2	ts	ʊŋ	2	ts	ʊŋ	2										
	腫		ts	ʊŋ	2	ts	ʊŋ	2	ts	ʊŋ	2	ts	ʊŋ	2										
	種		ts	ʊŋ	2	ts	ʊŋ	2	ts	ʊŋ	2	ts	ʊŋ	2	種子									
	種		ts	ʊŋ	3	ts	ʊŋ	3	ts	ʊŋ	3	ts	ʊŋ	3	種植									
	鞏		k	ʊŋ	2	k	ʊŋ	2	k	ʊŋ	2	k	ʊŋ	2										
	拱		k	ʊŋ	2	k	ʊŋ	2	k	ʊŋ	2	k	ʊŋ	2										
	恐		kʰ	ʊŋ	2	kʰ	ʊŋ	2	kʰ	ʊŋ	2	kʰ	ʊŋ	2										
	擁		j	ʊŋ	2	j	ʊŋ	2	j	ʊŋ	2	j	ʊŋ	2										
	恿		j	ʊŋ	2	j	ʊŋ	2	j	ʊŋ	2	j	ʊŋ	2										
	蛹		j	ʊŋ	2	j	ʊŋ	2	j	ʊŋ	2	j	ʊŋ	2										
	勇		j	ʊŋ	2	j	ʊŋ	2	j	ʊŋ	2	j	ʊŋ	2										
	奉		h	ʊŋ	3	h	ʊŋ	3	h	ʊŋ	3	h	ʊŋ	3										
	捧		p	ʊŋ	2	p	ʊŋ	2	p	ʊŋ	2	p	ʊŋ	2										
	誦		ts	ʊŋ	3	ts	ʊŋ	3	ts	ʊŋ	3	ts	ʊŋ	3										
	用		j	ʊŋ	3	j	ʊŋ	3	j	ʊŋ	3	j	ʊŋ	3										
	綠		l	ʊk	6	l	ʊk	6	l	ʊk	6	l	ʊk	6										
	錄		l	ʊk	6	l	ʊk	6	l	ʊk	6	l	ʊk	6										
	促		tsʰ	ʊk	5	tsʰ	ʊk	5	tsʰ	ʊk	5	tsʰ	ʊk	5										
	粟		s	ʊk	5	s	ʊk	5	s	ʊk	5	s	ʊk	5										
	續		ts	ʊk	6	ts	ʊk	6	ts	ʊk	6	ts	ʊk	6										
	俗		s	ʊk	6	s	ʊk	6	s	ʊk	6	s	ʊk	6										
	燭		ts	ʊk	5	ts	ʊk	5	ts	ʊk	5	ts	ʊk	5										
	囑		ts	ʊk	5	ts	ʊk	5	ts	ʊk	5	ts	ʊk	5										
	矚		ts	ʊk	5	ts	ʊk	5	ts	ʊk	5	ts	ʊk	5										
	屬		s	ʊk	6	s	ʊk	6	s	ʊk	6	s	ʊk	6										
	觸		tsʰ	ʊk	5	tsʰ	ʊk	5	tsʰ	ʊk	5	tsʰ	ʊk	5										
	鐲		ts	ʊk	5	ts	ʊk	5	ts	ʊk	5	ts	ʊk	5										
	蜀		s	ʊk	6	s	ʊk	6	s	ʊk	6	s	ʊk	6										
	蜀		ts	ʊk	5																			
	束		tsʰ	ʊk	5	tsʰ	ʊk	5	tsʰ	ʊk	5	tsʰ	ʊk	5										
	贖		s	ʊk	6	s	ʊk	6	s	ʊk	6	s	ʊk	6										
	贖		ts	ʊk	6																			
	辱		j	ʊk	6	j	ʊk	6	j	ʊk	6	j	ʊk	6										
	曲		kʰ	ʊk	5	kʰ	ʊk	5	kʰ	ʊk	5	kʰ	ʊk	5										
	獄		j	ʊk	6	j	ʊk	6	j	ʊk	6	j	ʊk	6										
	玉		j	ʊk	6	j	ʊk	6	j	ʊk	6	j	ʊk	6										
	旭		j	ʊk	5	j	ʊk	5	j	ʊk	5	j	ʊk	5										
	浴		j	ʊk	6	j	ʊk	6	j	ʊk	6	j	ʊk	6										
	慾		j	ʊk	6	j	ʊk	6	j	ʊk	6	j	ʊk	6										
	欲		j	ʊk	6	j	ʊk	6	j	ʊk	6	j	ʊk	6										
	局		k	ʊk	6	k	ʊk	6	k	ʊk	6	k	ʊk	6										
	樁		ts	ɔŋ	1	ts	ɔŋ	1	ts	ɔŋ	1	ts	ɔŋ	1										
	撞		ts	ɔŋ	3	ts	ɔŋ	3	ts	ɔŋ	3	ts	ɔŋ	3										
