#a
p[1]巴吧疤芭豝蚆笆[3]把[5]耙弝妑欛坝灞霸壩罷爸
kh[1]康[3]慷[5]亢抗
x[1]夯[3]骯[5]吭沆[2]杭航行
tʂ[1]張章樟漳彰璋鄣[3]掌鞝仉[5]帳脹障丈仗痮涨嶂瞕
tʂh[1]昌倡娼猖[3]敞廠倘昶氅[5]唱倡畅怅[2]長萇腸嘗
ʂ[1]商傷[3]賞[5]上尚[2]裳
ʐ[1]嚷[3]壤[5]讓[2]穰攘
∅[1]胦盎[2]昂卬㭿䭹

#au
p[1]包胞褒[3]保堡寶褓鸨[5]抱報暴爆
ph[1]拋[3]跑[5]泡炮[2]鞄庖炰匏麅跑袍炮
m[1]貓[3]卯[5]貌冒帽[2]毛矛
t[1]刀[3]島導倒[5]到道稻盜悼
th[1]叨滔[3]討[5]套[2]陶桃逃濤萄
n[3]腦惱[5]鬧[2]撓鐃
l[3]老[5]澇[2]勞牢
ts[1]糟遭[3]早棗澡[5]躁灶
tsh[1]操[3]草[5]造[2]曹槽
k[1]高膏糕[3]稿[5]告
kh[1]尻[3]考烤[5]靠
x[1]蒿[3]好[5]耗[2]豪毫號
tʂ[1]昭招朝[3]爪找[5]照召趙兆肇
tʂh[1]超[3]炒[5]鈔[2]巢潮朝
ʂ[1]燒梢[3]少[5]少紹[2]韶
ʐ[3]繞[2]饒
ŋ[1]凹鏖熝[3]咬[5]傲奧[2]敖熬

#ən
p[1]奔[3]本[5]笨
ph[5]噴[2]盆
m[5]懣悶[2]門們
n[2]能
k[1]根跟[3]艮
kh[3]懇墾
x[1]痕[3]很狠[5]恨
tʂ[1]真砧斟甄珍[3]枕[5]鎮陣
tʂh[1]嗔[3]陳?[5]趁[2]臣塵陳沉
ʂ[1]森身深申伸紳[3]審沈[5]甚慎腎[2]神
ʐ[3]忍[5]任認韌[2]人仁
ŋ[1]恩
ts[5]怎

#əŋ
p[1]崩[5]迸
ph[1]烹[2]朋蓬棚
m[3]猛[5]孟[2]盟萌
t[1]登燈[3]等[5]鄧凳
th[1]鼟[3]騰[2]藤疼
n[2]能柠狞
l[1]稜棱崚楞[3]冷
ts[1]增憎[3]贈
tsh[2]層曾[5]蹭
k[1]庚羹耕[3]梗耿[5]更
kh[1]坑铿[3]肯啃
x[1]亨[2]衡恒
tʂ[1]爭掙[3]掙[2]掙
tʂh[1]撐[2]澄
ʂ[1]生甥牲笙[3]省[5]聖剩盛
ʐ[2]仍扔艿

#ɛʔ
t[7]得德
th[7]特忒
n[7]訥
l[7]勒肋
k[7]革隔格
kh[7]客刻克
x[7]黑赫嚇
ts[7]則側測賊責窄摘宅
tsh[7]測側拆策
s[7]色塞澀瑟
tʂ[7]折蜇摺
tʂh[7]徹撤澈撤冊
ʂ[7]舌設涉攝
ʐ[7]熱日
m[7]麥脈陌

#ou
t[1]兜[3]斗抖陡[5]鬥豆逗
th[1]偷[5]透[2]頭投
n[3]紐[5]耨
l[3]簍[5]漏陋[2]樓
ts[1]鄒[3]走[5]奏
tsh[5]辏湊[2]愁
k[1]勾钩溝鉤[3]狗[5]垢構購
kh[1]摳[3]口[5]扣寇
x[1]齁[3]吼[5]厚後候[2]侯喉猴
tʂ[1]周週州洲[3]帚[5]晝咒宙驟
tʂh[1]抽[3]丑醜[5]臭[2]愁讎酬
ʂ[1]收[3]手首[5]獸售受授壽
ʐ[2]柔揉
∅[1]區歐甌[3]偶藕嘔[5]漚怄
f[1]否[5]缶[2]浮

#ɛi
p[1]悲杯[3]背[5]貝輩背倍被
ph[1]胚[5]配[2]裴陪賠培
m[3]美每[5]妹昧媚[2]梅眉媒煤
f[1]飞妃非菲霏啡[5]沸狒废吠[3]绯斐翡匪诽[2]肥
n[5]內[3]馁
l[1]勒[5]累類淚[2]雷
ts[3]嘴[5]最罪醉

#i
p[3]比[5]篦
ph[1]批披[3]癖[5]譬屁[2]皮疲
m[3]米[5]謎[2]迷
t[1]低[3]底抵[5]地弟第帝遞
th[1]梯[3]體[5]替涕剃[2]提題啼蹄
n[3]你[2]泥尼
l[3]里理李[5]利例吏[2]黎梨離璃
k[1]基機肌雞姬稽[3]己紀几[5]計繼寄記忌
kh[1]溪欺[3]起杞[5]氣棄器契[2]棋旗期
x[1]希稀熙犧[3]喜[5]戲系係[2]奚攜
∅[1]衣依伊[3]椅矣[5]義議意憶[2]夷姨移
ts[3]擠[5]劑祭際
tsh[1]妻淒[3]齊[5]砌
s[1]西栖犀[3]洗[5]細
tʂ[1]知支枝肢之芝[3]紙指[5]智致置治志

#ʅ
tʂ[1]知蘵蜘之芝支枝肢祗[3]止趾址祉祉紙祗旨指[5]智致緻制製治置滞锥稚蛭姪志誌窒伎[2]值
tʂh[1]癡嗤蚩[3]恥侈[5]熾翅[2]池馳遲持
ʂ[1]尸詩師獅[3]矢屎始史[5]是氏示視事世勢試[2]時
ʐ[2]而兒

#ʅʔ
tʂ[7]直

#ia
∅[1]呀丫[3]雅[5]亞訝[2]牙芽衙
k[1]加家佳[3]假[5]價駕嫁架
kh[3]卡[2]拑
x[1]蝦[3]閕[5]下夏廈嚇[2]霞瑕遐

#iaʔ
∅[7]鴨壓
k[7]甲胛
kh[7]恰
x[7]匣押瞎俠狹峽轄

#iai
∅[2]涯
k[1]皆階街[3]解[5]戒械界介屆
kh[1]揩[3]楷
x[3]蟹駭[5]懈械[2]鞋諧

#iaŋ
∅[1]央殃[3]養癢[5]樣[2]揚陽楊羊洋
k[1]江姜僵疆[3]講[5]降絳
kh[1]羌腔[3]強[5]強
x[1]香鄉[3]享響[5]向巷項
l[3]兩[5]亮諒輛[2]良涼糧梁
n[1]娘[5]釀[2]娘ts[1]將漿[3]獎蔣[5]醬匠
tsh[1]槍錦[3]搶[5]蹌[2]牆戕
s[1]相湘廂[3]想[5]相象像[2]祥詳翔

#iau
∅[1]腰夭妖要邀[3]舀咬[5]要耀[2]搖謠窯姚
p[1]標彪[3]表[5]俵
ph[1]飄[3]瞟[5]票[2]瓢
m[3]渺秒[5]妙廟[2]苗描
t[1]刁雕貂[3]屌[5]弔釣掉
th[1]挑[3]誂[5]跳眺[2]條調
n[5]尿
l[3]了[5]料廖[2]遼僚聊
k[1]交蛟郊膠[3]皎狡攪[5]教窖叫酵較
kh[1]敲[3]巧[5]竅[2]喬橋僑
x[1]虓囂[3]曉[5]孝效校[2]爻肴淆
ts[1]焦蕉椒[3]剿[5]醮
tsh[1]樵瞧[3]悄[5]俏峭[2]樵憔
s[1]消宵逍蕭[3]小[5]笑嘯

#iɛʔ
∅[7]謁臬業葉
t[7]迭跌
th[3]帖[7]帖貼鐵
n[7]捏涅聂鑷
l[7]列烈裂獵鬣
k[7]結劫潔傑竭揭
kh[7]怯挈愜
x[7]歇脅挾叶协
ts[7]節接截捷
tsh[7]切竊妾
s[7]薛燮屑
tʂ[7]哲輒
tʂh[7]徹撤
ʂ[7]設攝
m[7]蔑滅
p[7]別
ph[7]撇瞥

#ian
∅[1]烟焉淹[3]演衍[5]厭宴燕雁[2]言顏鹽炎
p[1]邊鞭編[3]扁匾[5]變遍辨辯
ph[1]偏篇[3]諞[5]片[2]駢
m[3]免勉冕[5]面[2]綿棉眠
t[1]顛巔癲[3]點典[5]店甸殿電奠
th[1]天添[3]忝舔[5]掭[2]田甜填
n[3]碾攆[5]念[2]年黏
l[3]臉[5]練煉[2]連蓮憐簾廉
k[1]肩奸間兼[3]繭柬檢簡[5]見建健劍鑑諫
kh[1]牽愆[3]遣[5]欠[2]鉛虔
x[1]掀軒[3]顯[5]憲獻現限陷[2]賢弦咸銜閑
ts[1]煎尖[3]翦[5]箭薦賤濺
tsh[1]千牽遷[3]淺[5]倩[2]前錢
s[1]先仙鮮[3]洗[5]線羨[2]涎

#iɛ
∅[1]耶[3]也野[5]夜
kh[1]伽茄[2]茄
s[1]些[3]寫[5]謝卸[2]斜邪
t[1]爹
ts[1]嗟[3]姐[5]借
tsh[3]且

#iʔ
∅[7]一壹益溢抑亦奕翼譯憶臆
p[7]筆畢必壁璧畢
ph[7]辟僻劈癖匹
m[7]密蜜覓
t[7]笛敵滌的鏑
th[7]剔惕
n[7]匿溺逆
l[7]力立栗歷曆律
k[7]吉急級極即疾集給
kh[7]乞泣
x[7]吸翕歙
ts[7]即疾嫉集跡績稷
tsh[7]戚七
s[7]昔惜析息媳錫習襲
tʂ[7]質執侄直值植殖織職
tʂh[7]尺赤斥叱
ʂ[7]石舌十失蝕實拾
ʐ[7]日入

#in
∅[1]因姻殷音陰[3]引飲隱[5]印[2]吟銀
p[1]賓彬[3]稟[5]擯
ph[3]牝品[2]貧頻
m[3]閩憫敏[2]民
t[1]丁釘[3]頂鼎[5]訂定錠
th[1]聽廳[3]町挺艇[5]聽[2]廷庭亭停
n[3]您[5]佞
l[3]領嶺[5]令另[2]林臨鄰鱗陵凌靈
k[1]巾斤筋今金[3]錦緊[5]進禁近
kh[1]欽[5]慶[2]禽擒琴勤芹
x[1]欣昕[5]釁[2]形刑
ts[1]津[3]儘[5]盡晉
tsh[1]親侵[3]寢[5]沁[2]秦
s[1]辛新薪[5]信訊[2]尋

#iŋ
∅[1]英瑛嬰櫻缨[3]影穎[5]映硬[2]盈營迎
p[1]冰兵[3]丙餅[5]並併
ph[1]姘稱[5]聘[2]平坪評瓶萍
m[3]茗酩[5]命[2]鳴銘明
t[1]丁釘[3]鼎[5]訂定錠
th[1]聽[3]挺艇[2]廷庭亭
n[3]寧[5]佞[2]凝
l[3]領[5]令另[2]零鈴齡陵
k[1]驚荊京經[3]景警頸[5]敬竟鏡
kh[1]輕傾[3]頃[5]罄[2]擎
x[1]興馨[3]省[5]幸悻[2]形型
ts[1]精睛晶[3]井[5]淨靜
tsh[1]青清[3]請[2]情晴
s[1]星腥[3]醒[5]性姓
tʂ[1]貞偵徵蒸[3]整[5]正政證
tʂh[1]稱[3]逞[5]秤[2]成城誠承程
ʂ[1]升聲[3]省[5]聖盛剩[2]繩

#ioʔ
∅[7]藥約躍嶽
tʂ[7]酌著卓琢
tʂh[7]綽戳
k[7]角腳
kh[7]卻確殼
x[7]學
s[7]削
ts[7]爵嚼
tsh[7]鵲
l[7]略掠
n[7]虐瘧

#iou
∅[1]幽憂優悠[3]有友酉[5]又右佑幼[2]尤由遊油
p[1]彪t[1]丟
n[3]紐狃[5]扭[2]牛
l[3]柳[5]溜[2]留榴琉
k[1]鳩關[3]九久韭[5]救舅舊
kh[1]丘邱[3]糗[2]求裘球
x[1]休[3]朽[5]嗅ts[1]湫[3]酒[5]就
tsh[1]秋[2]囚
s[1]羞脩[3]潚[5]秀繡宿[2]囚泅

#yn
∅[1]冤鴛[3]陨殒[5]怨院愿[2]員圓元園原援袁猿
k[1]君軍均[3]窘[5]郡菌
kh[1]群裙[2]裙
x[1]熏勳[5]訓
ts[1]皴[3]筍[5]俊駿
tsh[1]逡
s[1]荀[3]筍[5]訊迅[2]旬循

#yŋ
∅[1]雍擁[3]勇永[5]詠泳用[2]榮容融茸
k[1]扃
kh[2]穹窮
x[1]兄凶匈[3]詗[2]熊雄
∅[2]容蓉溶

#o
p[1]波菠[3]跛簸[5]播
ph[1]坡[3]頗[5]破[2]婆
m[3]麽[2]磨魔摩模
t[1]多[3]朵垛躲[5]剁舵惰
th[1]拖[3]妥[5]唾[2]陀駝
n[3]娜[5]懦[2]挪
l[3]裸[5]邏[2]羅蘿螺
ts[1]做[3]左[5]佐坐座做
tsh[1]搓[3]瑳[5]錯
s[1]蓑梭唆[3]鎖瑣[5]些
k[1]歌哥柯[3]舸笥[5]箇
kh[1]科蝌[3]可[5]課
x[1]呵[5]賀[2]河何荷
ŋ[3]我[5]餓[2]蛾娥俄哦
∅[1]啊阿婀

#oʔ
p[7]博薄泊箔駁剝北百白帛伯柏
ph[7]潑朴撲樸魄
m[7]莫寞漠幕末抹沒墨默
t[7]奪鐸踱
th[7]脫托託
n[7]諾
l[7]洛落絡酪樂
k[7]閣各革隔胳
kh[7]恪客刻克渴
x[7]喝褐鶴赫黑壑或惑獲
ts[7]作昨鑿
tsh[7]錯削
s[7]索
tʂ[7]酌卓琢著
tʂh[7]綽戳
ʂ[7]芍勺朔爍
ʐ[7]弱若箬偌
f[7]縛
ŋ[7]惡鄂愕額厄噩颚咢

#u
p[1]逋[3]補譜圃[5]布怖部簿
ph[1]鋪[3]普浦[5]鋪[2]蒲葡
m[3]母姆姥[5]慕墓幕募[2]模
t[1]都[3]賭睹肚[5]度渡鍍妒
th[3]土吐[5]兔[2]徒屠途涂圖
n[3]弩努[5]怒[2]奴孥
l[3]鹵虜魯擄[5]路露賂[2]盧蘆爐
k[1]孤辜姑沽[3]古估股鼓[5]故固顧雇
kh[1]枯[3]苦[5]庫褲
x[1]呼[3]虎滸[5]戶扈[2]胡湖葫蝴狐壺
ts[1]租[3]祖組[5]作祚
tsh[1]粗[5]醋措
s[1]蘇酥[5]素訴塑
tʂ[1]朱株珠諸豬[3]主煮[5]住注註著箸
tʂh[1]初[3]楚礎[5]處[2]除儲廚躇
ʂ[1]書舒疏蔬[3]暑鼠[5]樹豎恕署[2]殊
f[1]夫敷[3]府俯撫輔[5]父付附傅富赴負[2]符扶浮
∅[1]烏嗚污[3]五伍午武舞[5]誤悟務霧[2]吳梧無

#uʔ
p[7]不僕仆撲瀑勃
ph[7]仆
m[7]沒目木沐牧穆睦
t[7]突禿獨讀牘毒
th[7]禿突
l[7]六陸錄鹿祿綠
k[7]谷穀骨
kh[7]哭窟酷
x[7]忽惚
ts[7]卒足
tsh[7]促簇
s[7]肅宿粟速
tʂ[7]竹竺祝築燭
tʂh[7]出
ʂ[7]術述束叔熟贖屬
ʐ[7]入辱褥
f[7]福腹復覆服伏
∅[7]屋握渥勿物

#ui
t[1]堆[5]對隊兌
th[1]推[3]腿[5]退
n[5]內
l[5]類淚累
ts[3]嘴[5]最罪醉
tsh[1]催崔摧[5]翠瘁脆
s[1]雖[3]髓[5]歲穗碎[2]隨
tʂ[1]追錐[3]捶[5]綴墜
tʂh[1]吹炊[5]毳[2]垂錘槌
ʂ[3]水[5]睡稅[2]誰
k[1]龜歸[3]鬼[5]貴桂跪
kh[1]魁奎[5]愧
x[1]灰恢揮輝[3]悔毀[5]晦惠[2]回

#un
p[1]奔[3]本[5]笨
ph[5]噴[2]盆
m[5]悶[2]門
t[1]敦[3]盾[5]頓鈍遁
th[1]吞[5]褪[2]屯豚
n[5]嫩
l[5]論[2]倫淪輪
ts[1]尊樽[3]撙[5]俊
tsh[1]村[3]忖[5]寸[2]存
s[1]孫[3]損[5]遜
tʂ[1]諄[3]准[5]稕
tʂh[1]春椿[3]蠢[2]唇純淳
ʂ[3]楯[5]順舜瞬[2]唇
k[1]昆琨[3]滾[5]棍
kh[1]坤[3]捆[5]困
x[1]昏婚[3]混[5]諢[2]渾魂
ʐ[3]蝡[5]潤
∅[1]溫瘟[3]刎吻[5]問[2]文紋蚊聞

#uŋ
p[1]崩[5]迸
ph[1]烹[2]朋蓬
m[3]猛[5]夢[2]蒙濛
t[1]東冬[3]董懂[5]動凍棟
th[1]通[3]桶統[5]痛[2]同銅桐筒童瞳
n[5]弄[2]農濃
l[3]籠隴[5]弄[2]龍隆籠
ts[1]宗棕[3]總[5]縱粽
tsh[1]忽蔥[2]從
s[1]松[3]悚[5]宋送誦訟頌
k[1]公工功攻宮恭[3]拱[5]貢共
kh[1]空[3]孔[5]控
x[1]烘[3]哄[5]鬨[2]紅洪鴻虹
tʂ[1]中忠終鐘[3]種腫[5]重眾
tʂh[1]充沖[3]寵[5]銃[2]蟲崇
ʂ[1]摏
ʐ[2]荣[3]冗
∅[1]翁[3]滃[5]甕

#y
∅[1]於淤迂[3]羽宇與雨[5]御馭芋豫[2]魚漁余予餘
ts[1]疽苴[5]聚
n[3]女
l[3]呂旅[5]慮k[1]居車拘駒[3]舉矩[5]據句巨拒距具俱
kh[1]區驅墟[5]去[2]渠瞿
x[1]虛噓[3]許
tsh[1]趨[3]取娶[5]趣
s[1]需須[5]序絮緒[2]徐
tʂ[1]朱珠
ʐ[2]如儒[3]乳汝

#yɛʔ
∅[7]月越悅曰粵
k[7]決訣蕨厥蹶
kh[7]缺闕
x[7]血穴
l[7]劣
s[7]雪
ts[7]絕

#yan
∅[1]淵冤[3]阮[5]院愿怨[2]員圓元原援袁
k[1]捐娟[3]捲[5]眷倦
kh[1]圈[3]犬[5]券勸[2]權拳
x[1]喧[3]?[5]絢[2]玄懸
l[1]孿[3]戀[2]攣
s[1]宣[3]選[5]旋[2]旋
ts[1]鐫
tsh[1]全[2]全泉

#yɛ
x[1]靴

#yʔ
∅[7]欲慾浴鷸鬱育域
k[7]局跼菊
kh[7]曲屈
s[7]恤旭戌
l[7]律率

#ua
∅[1]哇娃[3]瓦
k[1]瓜[3]寡剮[5]掛
kh[1]夸誇[3]垮[5]跨
x[1]花[3]踝[5]化話[2]華划

#uaʔ
∅[7]挖
k[7]刮括
x[7]滑猾
tʂh[7]刷

#uai
∅[1]歪[5]外
k[1]乖[3]拐[5]怪
kh[1]蒯[3]?[5]快塊
x[3]?[5]壞[2]懷槐淮
tʂh[1]揣[3]揣[5]踹
ʂ[1]衰摔[3]甩[5]帥率

#uan
∅[1]彎灣[3]晚挽[5]萬玩腕[2]頑
t[1]端[3]短[5]斷段緞
th[1]湍[3]疃[5]彖[2]團摶
n[3]暖
l[3]卵[5]亂[2]攣
ts[1]鑽[3]攢[5]賺
tsh[1]躦[5]竄篡[2]攢
s[1]酸[3]匴[5]算蒜
k[1]官棺觀[3]管館[5]貫灌罐
kh[1]寬[3]款
x[1]歡驩[3]緩[5]喚換[2]桓完
ʂ[1]拴[3]涮
ʐ[[3]軟
∅[2]完

#uaŋ
∅[1]汪[3]往枉網[5]旺望[2]王亡忘
k[1]光[3]廣[5]桄
kh[1]匡筐[5]框眶[2]狂
x[1]荒慌[3]晃幌[5]況[2]皇凰蝗黃
tʂ[1]莊裝[3]奘[5]壯狀
tʂh[1]窗[3]?[5]創[2]床
ʂ[1]霜雙[3]爽

#uən
∅[1]溫瘟[3]刎吻[5]問[2]文紋蚊

#uəŋ
∅[1]翁[3]滃[5]甕

#uɛn
tʂ[1]專磚[3]轉[5]傳篆
tʂh[1]川穿[3]喘[5]串[2]船傳

#uɛi
∅[1]威葳偎煨逶[3]委违韦暐洧尾[5]未味位畏胃謂[2]為圍幃違惟維微危桅嵬微薇
k[1]歸龜圭閨規[3]鬼[5]貴桂跪鲑
kh[1]盔魁奎[5]愧[2]馗魁夔奎虁

#uo
∅[1]渦窝蜗倭[5]臥
k[1]戈鍋[3]果裹[5]過
x[3]夥火[5]貨[2]禾和

#uoʔ
∅[7]龌镬蠖
k[7]國郭蝈
kh[7]闊廓扩
x[7]霍獲或惑豁藿
tʂ[7]拙
tʂh[7]啜
ʂ[7]說

#ɚ
∅[5]二貳[2]而兒[3]耳洱饵爾

#ɿ
ts[1]資姿咨茲滋[3]子仔梓紫[5]自字
tsh[1]雌[3]此[5]次刺[2]磁兹茈疵茨瓷慈詞祠辭
s[1]思私絲司[3]死[5]四肆似祀嗣飼
