"#符号说明：-白=文/书*俗?待考"	
"pʰ"	"［7］菩泼婆"
"m"	"［7］魔末沫抹{～煞}没{沉～}莫膜寞漠馍模{劳～}默陌磨{～刀}墨脉"
"v"	"［7］倭龌鹅"
"t"	"［7］夺铎踱掇"
"tʰ"	"［7］驼驮脱托"
"n"	"［7］挪傩娜"
"l"	"［7］罗萝螺锣乐逻摞"
"ts"	"［7］拙着{～凉}酌灼芍作凿昨卓桌琢啄浊镯"
"tsʰ"	"［7］龊锄矗戳绰撮"
"s"	"［7］勺索"
"z"	"［7］若弱疟约{预～}药岳"
"k"	"［7］鸽割葛郭廓各阁搁胳角疙蛤铬个"
"kʰ"	"［7］磕瞌壳咳"
"h"	"［7］荷喝合盒豁活鹤霍菏貉涸褐"
"ŋ"	"［7］蛾俄峨讹腭鄂娥遏"
"#ə"	
"h"	"［1］他-它-"
"#əʔ"	
"z"	"［7］叶{树～}"
"#ɤ"	
"kʰ"	"［1］科蝌［5］去"
"h"	
"Ø"	"［3］尔耳饵恶洱［5］二贰"
"#ɤʔ"	
"t"	"［7］得德"
"tʰ"	"［7］特忒"
"n"	
"l"	"［7］肋勒"
"ts"	"［7］则贼泽择窄"
"tsʰ"	"［7］拆掣"
"s"	"［7］瑟"
"k"	"［7］格革隔"
"kʰ"	"［7］客苛刻克"
"h"	"［7］黑吓{恐～}核{审～}阂赫"
"Ø"	"［7］而额厄扼"
"#i"	
"p"	"［3］蓖比秕彼［5］臂被{棉～}蔽敝弊币毙闭陛庇痹备篦滗毖避"
"pʰ"	"［1］披批纰［5］屁［3］彼痞"
"m"	"［3］米［5］秘泌"
"v"	
"t"	"［1］低的{～确}［3］底抵［5］蒂弟第递地帝的{目～}缔"
"tʰ"	"［1］梯［3］体［5］嚏替涕剃啼剔"
"n"	"［5］腻逆溺"
"l"	"［1］的{我～}［3］吕旅礼李里狸理鲤你妳［5］虑滤例厉励丽隶荔呢腻蜊履利痢吏劣栗律率疬"
"ʨ"	"［1］知蜘踟支枝肢豉妓肌缉［3］藉纸挤济脂旨指止趾址臻［5］智制祭际剂技致稚至矢置痔治志痣炙寂这"
"ʨʰ"	" ［1］痴妻［3］耻齿侈［5］屉砌翅弃炽"
"ɕ"	"［1］西栖牺犀奚兮施匙{钥～}尸诗［3］玺徙洗屎史驶使始［5］世势誓逝细婿是氏示视柿试市恃什式"
"k"	"［1］鸡基机讥饥屐畸箕稽［3］己纪几［5］计继系{～鞋带}寄记忌既季"
"kʰ"	"［1］欺期曲{弯～}［3］启企起曲{歌～}［5］契器气汽弃"
"h"	"［1］虚嘘溪熙希稀嬉［3］许喜［5］系{关～}戏"
"z"	"［1］医矣衣依［3］已以［5］艺蚁义议易冀肄意忆亿翼译抑疫"
"#iʔ"	
"p"	"［7］笔逼鼻碧毕必"
"pʰ"	"［7］譬皮疲脾鄙匹璧壁辟劈霹鐾琵枇"
"m"	"［7］糜弥靡迷谜密蜜觅汨"
"t"	"［7］滴嫡笛敌狄涤荻迪翟"
"tʰ"	"［7］堤题提蹄踢惕"
"n"	"［7］倪霓尼拟妮昵泥"
"l"	"［7］离篱璃离犁黎梨厘立笠粒力历"
"ʨ"	"［7］栀只帜质集蛰执疾质即鲫织直值职殖植戟积迹脊籍藉绩"
"ʨʰ"	"［7］池弛驰差{参～}齐脐匙{汤～}岐歧迟鳍持嗤杞泣七漆膝赤尺戚{亲～}"
"ɕ"	"［7］时鲥辑习袭湿十拾悉蟋实失室息熄媳啬食蚀识饰惜昔席夕适释石锡析"
"k"	"［7］急级及吸桔吉极击激菊鞠局圾"
"kʰ"	"［7］奇骑徛倚祁其棋旗麒岂祈乞吃"
"h"	"［7］"
"z"	"［7］缢宜仪谊椅移夷姨疑沂遗揖日乙一逸益"
"#u"	
"p"	"［3］补鼻哺［5］簸布怖部簿步"
"pʰ"	"［1］铺{～平}［3］谱圃普浦蒲捕甫脯朴瀑［5］铺{店～}埠曝"
"m"	"［3］母拇［5］暮慕墓幕"
"f"	"［1］夫芙肤敷孵麸［3］府腑俯斧釜腐甫辅抚［5］付赋傅咐父附驸富副妇负幅赴阜"
"v"	"［1］乌污坞诬巫［3］五伍午武舞侮鹉［5］募误悟务雾戊"
"t"	"［1］都督［3］堵赌肚{猪～}睹［5］肚{～子}妒杜度渡镀"
"tʰ"	"［1］突［3］土［5］吐"
"n"	"［3］弩［5］怒"
"l"	"［3］鲁橹虏卤汝撸努［5］路赂露鹭碌璐"
"ts"	"［1］诛［3］［5］箸助蛀铸做"
"tsʰ"	"［1］粗［3］储楚础杵［5］处醋"
"s"	"［1］苏酥［3］数{～钱}［5］诉塑素嗉数{～目}竖漱"
"z"	
"k"	"［1］姑孤鸪辜估枯菇咕沽［3］古牯股鼓蛊骨［5］故固锢雇顾"
"kʰ"	"［1］箍窟［3］苦［5］酷"
"h"	"［1］呼乎［3］虎唬［5］戽户沪护互"
"#uʔ"	
"p"	"［7］不北百佰白"
"pʰ"	"［7］脯葡卜扑仆讣"
"m"	"［7］模{～样}麦木目牧睦苜"
"f"	"［7］俘符扶浮佛缚福蝠腹辐覆服伏复沸拂氟涪袱弗"
"v"	"［7］吴蜈吾梧抚无物勿握屋恶"
"t"	"［7］屠独读牍犊笃督毒"
"tʰ"	"［7］徒途涂图秃"
"n"	"［7］"
"l"	"［7］卢炉芦鸬庐鹿禄六陆绿录如-奴驽"
"ts"	"［7］卒族竹=筑逐祝粥足烛嘱"
"tsʰ"	"［7］出畜搐触簇促猝"
"s"	"［7］术速肃宿缩叔熟孰塾粟俗赎束属"
"z"	"［7］儒肉育辱褥欲如=入"
"k"	"［7］骨国谷"
"kʰ"	"［7］哭"
"h"	"［7］浒狐壶胡湖蝴糊瑚葫忽弧"
"#y"	
"ʨ"	"［1］蛛株朱珠猪诸居车{～马炮}拘驹租［3］拄矩煮举主注驻祖组阻［5］俱具惧橘巨据锯渠拒距聚柱住句剧"
"ʨʰ"	"［1］趋雏枢区驱蛆［3］取娶［5］处趣"
"ɕ"	"［1］殊姝枢书纾舒需须［5］树续旭序叙蓄绪絮煦［3］许诩栩"
"n"	"［3］女"
"z"	"［3］语雨宇禹羽芋郁［5］郁狱浴玉"
"#yʔ"	
"ʨʰ"	"［7］瞿除屈厨橱躇滁雏"
"ɕ"	"［7］徐"
"z"	"［7］于圩迂盂淤余与虞寓役"
"#ɿ"	
"ts"	"［1］资姿咨兹滋之芝［3］紫姊子梓秩［5］滞自字牸巳"
"tsʰ"	"［3］此［5］刺赐次"
"s"	"［1］斯厮撕私师狮蛳司丝思饲［3］死使［5］四肆嗜伺似祀寺士仕俟事侍"
"#ɿʔ"	
"ts"	"［7］滓责侄竹-"
"tsʰ"	"［7］雌糍辞词祠嗣侧测厕策册斥疵茨磁瓷慈"
"s"	"［7］涩虱塞{堵～}色"
"#ia"	
"ʨ"	
"ʨʰ"	
"ɕ"	
"k"	"［1］家加痂嘉茄佳 ［3］假{真～}贾［5］架驾嫁稼价假{请～} "
"h"	"［1］虾［3］下夏厦"
"#iaʔ"	
"ʨʰ"	"［7］恰"
"ɕ"	"［7］霞遐暇峡洽侠辖"
"k"	"［7］夹狭挟甲胛匣"
"#ua"	
"ts"	"［1］抓"
"s"	"［3］耍"
"k"	"［1］瓜［3］寡剐［5］挂卦褂"
"kʰ"	"［1］夸［3］垮［5］胯跨"
"h"	"［1］花哗［5］化划画话"
"#uaʔ"	
"ts"	
"s"	"［7］刷"
"k"	"［7］括刮"
"kʰ"	
"h"	"［7］华铧桦滑猾哗"
"#ai"	
"p"	"［3］摆［5］拜败稗"
"pʰ"	"［1］拍［5］派［3］螃-"
"m"	"［3］买［5］卖迈"
"v"	"［1］歪［5］外"
"t"	"［1］呆［3］逮傣歹［5］戴带待怠殆代贷袋岱玳"
"tʰ"	"［1］胎台［5］太泰态钛肽汰［3］奤"
"n"	
"l"	"［5］赖癞濑耐奈［3］乃奶氖廼迺"
"ts"	"［1］灾栽斋摘斋［3］宰载{年～}崽仔窄［5］再载{～重、满～}债寨"
"tsʰ"	"［1］猜钗差{出～}拆［3］采彩睬踩［5］菜蔡"
"s"	"［1］腮鳃筛塞筛［5］赛晒"
"z"	
"ʨ"	"［1］皆"
"k"	"［1］该阶街［3］改解{～放}［5］盖介界芥尬疥届戒械钙"
"kʰ"	"［1］开揩［3］丐凯楷［5］概溉慨{感～}"
"h"	"［3］海［5］亥骇害氦"
"ŋ"	
"Ø"	"［1］哀埃挨{～打}［3］蔼矮［5］碍艾哎爱隘"
"#aiʔ"	
"pʰ"	"［7］排牌"
"m"	"［7］埋"
"tʰ"	"［7］台抬苔薹邰臺擡檯颱"
"tsʰ"	"［7］才材财豺裁柴"
"z"	"［7］涯崖"
"h"	"［7］孩鞋骸"
"ŋ"	"［7］癌"
"Ø"	"［7］椰皑"
"#uai"	
"ts"	"［3］掷拽"
"tsʰ"	"［1］揣"
"s"	"［1］衰摔=［3］甩［5］帅"
"k"	"［1］乖［3］拐［5］怪"
"kʰ"	"［5］块筷快"
"h"	"［5］坏"
"#uaiʔ"	
"k"	"［7］果-"
"h"	"［7］怀槐淮"
"#au"	
"p"	"［1］包胞苞［3］褒保堡宝饱［5］报抱暴菢豹爆鲍曝刨"
"pʰ"	"［1］抛脬剖［5］泡炮鳔"
"m"	"［3］卯藐牡［5］冒帽貌"
"t"	"［1］刀叨［3］祷岛倒{～塌}捣导蹈［5］到倒{～挂}道稻盗悼"
"tʰ"	"［1］滔掏涛［3］讨［5］套"
"n"	"［1］孬［3］脑恼［5］闹"
"l"	"［1］唠捞［3］老姥［5］涝"
"ts"	"［1］遭糟朝{今～}召{号～、～集}昭招［3］皂早枣蚤澡爪找［5］藻灶罩赵兆肇照躁造燥"
"tsʰ"	"［1］操抄钞超糙［3］草炒吵"
"s"	"［1］骚臊搔艘梢筲鞘稍烧［3］扫{～地}嫂少{多～}［5］扫{～把}韶绍邵少{～年}"
"z"	"［1］妖邀腰［3］扰舀［5］要耀绕"
"k"	"［1］高膏篙羔糕皋 ［3］稿搞镐［5］告"
"kʰ"	"［1］敲［3］考烤［5］拷靠犒"
"h"	"［1］薅［3］好{良～}［5］耗号浩好{喜～}"
"ŋ"	
"Ø"	"［3］咬［5］傲袄奥懊澳坳［1］凹"
"#auʔ"	
"p"	"［7］雹"
"pʰ"	"［7］袍跑=刨"
"m"	"［7］毛矛茅猫锚"
"tʰ"	"［7］桃逃淘陶萄"
"n"	"［7］挠嫐"
"l"	"［7］劳牢痨"
"tsʰ"	"［7］曹槽嘲巢朝潮"
"h"	"［7］豪壕毫嚎郝"
"z"	"［7］饶挠摇谣窑姚遥尧"
"Ø"	"［7］熬敖翱"
"#iau"	
"p"	"［1］标彪膘［3］表"
"pʰ"	"［1］膘飘漂{～浮}［3］票"
"m"	"［3］杳秒［3］渺庙妙"
"t"	"［1］刁貂雕碉叼凋［5］钓吊掉调{～查}"
"tʰ"	"［1］挑{单～}［3］挑{～战}［5］跳"
"n"	"［3］鸟嬲［5］尿="
"l"	"［3］了［5］镣瞭{～望}料廖撂"
"ʨ"	"［1］焦蕉椒［3］侥"
"ʨʰ"	"［1］锹缲蹻［5］俏鞘翘"
"ɕ"	"［1］捎消宵霄硝销逍嚣萧箫［3］小［5］笑"
"k"	"［1］交郊胶茭骄娇浇教［3］绞狡搅缴［5］教{～训}校{～对、学～}较酵窖觉矫轿叫"
"kʰ"	"［3］巧［5］窍"
"h"	"［3］肴晓［5］孝效"
"#iauʔ"	
"pʰ"	"［7］瓢嫖"
"m"	"［7］苗描"
"t"	"［7］别-"
"tʰ"	"［7］条调{协～}"
"l"	"［7］聊疗辽撩僚嘹燎"
"ʨʰ"	"［7］樵瞧"
"kʰ"	"［7］乔侨桥"
"h"	"［7］淆"
"#ioʔ"	
"n"	"［7］虐疟"
"l"	"［7］略"
"ʨ"	"［7］爵嚼"
"ʨʰ"	"［7］雀鹊搉"
"ɕ"	
"k"	"［7］脚觉"
"kʰ"	"［7］却"
"h"	"［7］学"
"z"	"［7］钥"
"Ø"	"［7］乐"
"#uo"	
"tʰ"	"［5］唾"
"k"	"［1］锅［3］果=裹馃［5］过"
"kʰ"	"［1］棵蝌［5］课"
"h"	"［1］豁［3］火伙［5］货祸"
"#uoʔ"	
"h"	"［7］禾和河何"
"#əu"	
"m"	"［3］某亩［5］茂贸"
"f"	"［3］否"
"t"	"［1］兜［3］抖陡斗{北～}［5］斗{争～}豆逗痘"
"tʰ"	"［1］偷［5］透"
"l"	"［3］搂篓 ［5］漏陋"
"ts"	"［1］邹周舟州洲［3］走肘［5］奏昼纣宙皱绉骤咒轴"
"tsʰ"	"［1］抽搊［3］丑［5］臭凑"
"s"	"［1］搜飕馊搜收［3］手首守［5］嗽瘦帚兽受寿授售"
"z"	"［1］优忧悠幽［3］有友"
"k"	"［1］勾钩沟［3］狗苟［5］垢够构购"
"kʰ"	"［1］抠［3］口［5］叩扣寇"
"h"	"［3］吼［5］后厚候"
"Ø"	"［1］欧鸥呕殴［3］藕偶［5］沤怄"
"#əuʔ"	
"m"	"［7］谋"
"tʰ"	"［7］头投"
"l"	"［7］楼"
"tsʰ"	"［7］绸稠筹愁仇酬畴踌"
"z"	"［7］柔揉尤邮由油游犹酉"
"h"	"［7］侯喉猴"
"#iəu"	
"m"	"［5］谬"
"t"	"［1］丢"
"n"	
"l"	"［1］溜妞［3］柳纽扭钮［5］没"
"ʨ"	"［1］揪［3］酒灸［5］就"
"ʨʰ"	"［1］秋鳅"
"ɕ"	"［1］修羞［5］秀绣锈袖嗅"
"k"	"［1］鸠纠［3］九久韭［5］救究舅旧臼"
"kʰ"	"［1］阄丘蚯柩"
"h"	"［1］休［3］朽"
"Ø"	"［3］莠［5］又右佑诱柚釉幼"
"#iəuʔ"	
"l"	"［7］流刘留榴硫琉馏牛"
"ʨʰ"	"［7］囚"
"kʰ"	"［7］求球"
"#iɛ"	
"p"	"［3］瘪"
"pʰ"	
"m"	
"t"	"［1］爹"
"tʰ"	
"n"	
"l"	
"ʨ"	"［1］遮［3］姐者［5］借蔗褶"
"ʨʰ"	"［1］车［3］且扯［5］笡翅"
"ɕ"	
"k"	
"kʰ"	"［1］怯"
"h"	
"Ø"	"［1］曰［3］惹也野［5］夜掖液腋"
"#iɛʔ"	
"p"	"［7］别=鳖憋"
"pʰ"	"［7］撇"
"m"	"［7］灭篾"
"t"	"［7］跌碟蝶谍叠迭"
"tʰ"	"［7］帖{妥～}帖{请～}铁"
"n"	"［7］聂镊蹑孽业捏涅"
"l"	"［7］猎业列烈裂"
"ʨ"	"［7］接捷哲蜇辙折浙节疖截绝厥蕨掘倔镢"
"ʨʰ"	"［7］斜妾彻撤澈徹切窃"
"ɕ"	"［7］释"
"k"	"［7］秸劫杰揭竭结洁决诀"
"kʰ"	"［7］瘸缺"
"h"	"［7］血穴胁协歇"
"Ø"	"［7］爷热噎阅亦叶{姓}"
"#yɛ"	
"ɕ"	"［1］靴"
"#yɛʔ"	
"ɕ"	"［7］雪"
"z"	"［7］月越粤"
"#əi"	
"p"	"［1］背碑卑杯悲［5］贝辈背倍佩被{～迫}钡狈惫焙拔不*{～得：不知道}"
"pʰ"	"［1］胚坯［5］沛配"
"m"	"［3］每美寐［5］妹昧媚"
"f"	"［1］非飞妃菲啡［3］匪诽翡［5］废肺痱费吠沸"
"v"	"［1］煨［3］委［5］喂卫为{～了}"
"t"	"［1］堆［5］对队兑"
"tʰ"	"［1］推=［3］腿［5］退蜕"
"l"	"［3］屡累{积～}垒［5］内累{劳～}类泪"
"ts"	"［5］罪赘醉在"
"tsʰ"	"［5］脆翠瘁粹淬"
"s"	"［1］虽尿-［5］碎岁税瑞"
"k"	"［3］给"
"Ø"	"［1］推-"
"#əiʔ"	
"pʰ"	"［7］培陪赔裴"
"m"	"［7］枚玫媒煤梅脢莓眉楣霉没=看-"
"f"	"［7］肥"
"v"	"［7］危伪为{行～}维惟唯微围违桅"
"l"	"［7］雷擂{～鼓}儡来莱"
"ts"	"［7］汁-翟"
"tsʰ"	"［7］才{刚刚、刚才}"
"s"	"［7］席{草～}"
"Ø"	"［7］儿"
"#uəi"	
"tʰ"	
"l"	"［3］驴缕"
"ts"	"［1］缀锥追［3］嘴［5］坠最"
"tsʰ"	"［1］催崔吹炊摧［3］鼠"
"s"	"［1］绥［3］水［5］睡遂隧率蟀"
"k"	"［1］圭闺奎硅规龟归［3］诡轨［5］跪癸柜瑰鬼桂贵"
"kʰ"	"［1］亏［5］库裤溃桧愧"
"h"	"［1］盔恢灰挥辉徽［3］悔毁［5］贿晦汇刽会绘烩彗秽惠慧麾穗讳卉诲"
"#uəiʔ"	
"tʰ"	"［7］颓"
"l"	"［7］蕊□{女儿俗称}"
"tsʰ"	"［7］槌锤垂捶"
"s"	"［7］谁随髓"
"kʰ"	"［7］魁傀逵葵窥"
"h"	"［7］回茴徊蛔"
"#ui"	
"tʰ"	
"n"	
"ts"	"［5］"
"tsʰ"	"［1］［3］"
"s"	
"k"	
"h"	"［1］［5］"
"#uiʔ"	
"s"	"［7］"
"#an"	
"v"	
"n"	
"ts"	"［1］瞻［3］攒［5］占"
"s"	
"z"	
"h"	
"Ø"	
"#anʔ"	
"v"	"［7］顽"
"n"	
"h"	"［7］咸衔"
"#iən"	
"p"	"［1］鞭编边蝙［3］贬扁匾［5］变辨辩辫汴卞便{方～}遍"
"pʰ"	"［1］篇偏［5］骗遍片"
"m"	"［3］免勉娩缅［5］面"
"t"	"［1］颠癫掂滇［3］点典腆碘［5］店电殿奠垫淀靛佃甸掂"
"tʰ"	"［1］添天［3］舔"
"n"	
"l"	"［3］敛辇撵［5］殓练炼楝恋念"
"ʨ"	"［1］监尖沾砧锏煎笺铅［3］鉴柬剪展［5］暂渐涧箭溅浅践贱饯荐"
"ʨʰ"	"［1］歼签纤迁千"
"ɕ"	"［1］仙鲜掀先［3］闪癣［5］陷馅芡限苋线羡善鳝膳扇"
"k"	"［1］掮肩坚绢捐鹃［3］减碱咸检拣茧趼卷{试～}［5］俭剑件建键健见舰倦眷"
"kʰ"	"［1］兼谦牵圈{圆～}［3］遣［5］嵌欠歉劝"
"h"	"［1］跑-［3］险显蚬［5］宪献现县"
"z"	"［1］腌烟燕{～国}淹=阉蔫焉胭［3］掩演衍冉［5］验厌艳焰砚燕{～子}宴谚"
"Ø"	
"#iənʔ"	
"p"	
"pʰ"	"［7］便{～宜}"
"m"	"［7］绵棉眠"
"t"	
"tʰ"	"［7］甜田填"
"n"	
"l"	"［7］年鲶莲廉镰帘连联鲢粘拈"
"ʨ"	
"ʨʰ"	"［7］钱虔前"
"ɕ"	"［7］涎眩"
"k"	
"kʰ"	"［7］乾拳权犬钳="
"h"	"［7］嫌贤弦舷悬"
"z"	"［7］俨炎盐阎檐严延言然燃筵岩="
"Ø"	
"#uən"	
"p"	"［5］伴半拌绊"
"pʰ"	"［5］判"
"m"	"［3］满"
"t"	"［1］端［3］短［5］断段缎锻"
"tʰ"	
"n"	"［3］暖"
"l"	"［3］卵［5］乱"
"ts"	"［1］专砖［3］转{～动、运～}［5］钻{～研、电～}纂撰篆传{～记}圈{猪～}撞赚"
"tsʰ"	"［1］川穿椿春［5］窜篡串蹿［3］喘蠢"
"s"	"［1］轩酸闩栓宣喧［3］选［5］算蒜涮旋{～风}"
"z"	"［1］冤鸳渊［3］远软=［5］院阮愿怨"
"k"	"［1］官棺观{参～、寺～}冠{衣～}鳏关［3］管滚馆［5］棍"
"kʰ"	"［1］宽［3］款"
"h"	"［1］欢［5］唤焕换幻患痪豢［3］缓"
"Ø"	
"#uənʔ"	
"pʰ"	"［7］盘"
"m"	"［7］瞒"
"tʰ"	"［7］团"
"l"	"［7］鸾銮"
"tsʰ"	"［7］全泉船椽传鹑淳"
"s"	"［7］旋{回～}玄悬"
"z"	"［7］圆园员缘沿袁辕援猿元原源垣"
"h"	"［7］还{归～}环桓"
"#eⁱŋ"	
"p"	"［1］宾槟冰兵斌彬濒滨［3］禀丙秉炳柄饼［5］殡鬓病并迸摈"
"pʰ"	"［3］品［5］聘"
"m"	"［3］闽悯敏抿［5］命"
"v"	"［3］稳［5］问"
"t"	"［1］丁钉盯叮［3］顶鼎［5］订锭定"
"tʰ"	"［1］听厅［3］艇挺铤"
"n"	
"l"	"［3］岭领［5］赁吟吝令佞拎另"
"tsʰ"	
"ʨ"	"［1］针斟津珍真晶精睛［3］寝枕诊疹拯井［5］浸进晋镇阵振震静靖净正{～式}"
"ʨʰ"	"［1］清青蜻侵亲［3］擎请［5］沁趁慎磬"
"ɕ"	"［1］心深辛新薪身申伸星腥猩馨［3］沈审婶省醒［5］信讯肾衅性姓"
"k"	"［1］今金襟巾斤筋芹京荆惊鲸经［3］锦紧仅谨窘景警颈［5］禁劲近茎境敬竟镜竞劲径郡"
"kʰ"	"［1］钦卿轻［3］倾顷［5］庆"
"h"	"［1］欣兴{～旺}［5］兴{高～}杏幸"
"s"	
"z"	"［1］音阴荫因咽姻殷应鹰蝇莺鹦樱英婴缨颖［3］饮{～酒}引蚓隐应{响～}影［5］任刃认韧印映"
"#eⁱŋʔ"	
"p"	
"pʰ"	"［7］贫频凭平坪评苹萍瓶屏"
"m"	"［7］民鸣明皿名铭冥螟"
"v"	"［7］闻"
"tʰ"	"［7］亭停廷庭蜓"
"n"	"［7］宁"
"l"	"［7］林淋临檩邻鳞燐磷陵凌菱绫凝灵零铃伶翎龄"
"tsʰ"	"［7］陈沉臣尘忱"
"ʨʰ"	"［7］潜寻秦情晴"
"kʰ"	"［7］琴禽擒勤群裙琼"
"h"	"［7］行{品～}形型刑"
"s"	"［7］辰晨"
"z"	"［7］人仁壬饮淫银寅尹迎赢莹营茔萤盈"
"#un"	
"t"	"［5］盾遁"
"tʰ"	
"ts"	"［3］准"
"tsʰ"	
"s"	"［3］损［5］顺舜训逊驯"
"z"	"［1］晕［3］允［5］润韵运孕"
"k"	"［1］均军君"
"kʰ"	"［1］昆坤［3］捆［5］困睏"
"h"	"［1］昏婚荤［5］混"
"Ø"	"［1］温瘟"
"#unʔ"	
"tʰ"	"［7］臀"
"s"	"［7］荀旬循巡殉纯醇"
"z"	"［7］云耘"
"h"	"［7］魂馄浑"
"#yn"	
"ʨ"	"［1］钧［3］浚菌"
"ɕ"	"［1］熏勋［5］甚"
"k"	"［1］君"
"Ø"	"［1］匀［5］酝闰"
"#aŋ"	
"p"	"［1］班斑颁帮梆邦［3］扳板版榜绑［5］瓣办傍棒扮镑磅谤"
"pʰ"	"［1］攀潘［5］盼叛胖"
"m"	"［3］莽蟒［5］慢馒漫幔蔓曼"
"f"	"［1］帆藩翻番方芳肪［3］反返仿纺［5］泛范饭放贩犯"
"v"	"［1］弯湾剜汪［3］晚往挽网枉［5］万旺忘望"
"t"	"［1］耽担{承～}丹单当{应～}铛裆郸［3］胆党挡掸［5］担{扁～}淡旦当{上～}档荡宕弹{子～}氮但惮诞蛋"
"tʰ"	"［1］贪坍滩摊瘫汤［3］毯坦倘躺趟帑［5］探炭叹烫"
"n"	"［5］难{患～}"
"l"	"［3］览揽榄缆懒朗［5］滥烂浪"
"ts"	"［1］簪錾毡张章樟赃脏{肮～}［3］斩盏长掌［5］站蘸赞濽栈战涨帐账胀涨丈杖仗障瘴葬藏脏{心～}"
"tsʰ"	"［1］参{～加}搀蟾渗餐昌菖仓苍舱沧掺猖［3］惨厂场铲产阐敞［5］忏颤畅唱倡灿"
"s"	"［1］三杉衫珊山删商伤桑裳磉嗓［3］陕伞赏晌［5］散疝禅{～让}上尚丧"
"z"	"［1］央秧殃鸯［3］壤攘仰养痒恙［5］让样"
"k"	"［1］甘柑泔尴肝干{～燥}竿杆艰间奸冈岗刚纲钢{～铁}缸肛［3］感敢橄擀赶简港秆［5］干{骨～}谏杠钢{～筋}赣虹"
"kʰ"	"［1］堪龛勘刊康糠［3］坎砍［5］看慷抗炕"
"h"	"［1］憨酣夯［3］喊［5］撼憾罕汉旱汗焊翰项巷捍悍限"
"ŋ"	"［1］安［5］岸"
"Ø"	"［1］庵鹌鞍氨胺肮淹-［5］暗按案晏［3］眼"
"#aŋʔ"	
"p"	
"pʰ"	"［7］旁螃=膀庞磅"
"m"	"［7］蛮忙芒茫盲虻氓"
"f"	"［7］凡烦繁矾钒坊妨访房防贩樊"
"v"	"［7］玩完王皖豌亡"
"t"	"［7］疸"
"tʰ"	"［7］潭谭坛谈痰檀坛弹堂棠螳唐糖塘弹{～簧}"
"n"	"［7］难{困～}囊"
"l"	"［7］蓝篮兰拦栏郎廊狼螂榔"
"ts"	"［7］绽"
"tsʰ"	"［7］惭谗馋残蝉禅{坐～}长肠蚕缠尝常偿"
"s"	
"z"	"［7］嚷羊洋烊杨阳扬疡"
"k"	
"kʰ"	"［7］侃扛钳-"
"h"	"［7］含函鼾寒韩闲行航杭邯涵"
"ŋ"	"［7］岩-颜"
"Ø"	"［7］昂盎"
"#iaŋ"	
"n"	"［5］酿［3］两俩"
"l"	"［5］亮谅辆量{数～}晾"
"ʨ"	"［1］将{～来}浆桨［3］蒋奖［5］酱将{大～}匠"
"ʨʰ"	"［1］枪羌［3］抢"
"ɕ"	"［1］相{～互}箱厢湘镶襄［3］想享［5］相{长～}象像橡向"
