字	IPA	调值
竭	tɕie	31
穴	ɕie	31
校	ɕiau	13
陳	tʂʰe	31
物	xu	31
緑	lu	31
抓	tʂua	55
商	ʂaŋ	55
椿	tʂʰue	55
婿	ɕi	55
僻	pʰi	31
情	tɕʰi	31
咬	ɕiau	42
帖	tʰie	31
曠	kʰuaŋ	13
事	sɿ	13
少	ʂau	42
恩	xe	55
走	tsəɯ	42
片	pʰiɛ	13
征	tʂe	55
匹	pʰi	55
捏	nie	31
樣	ɕiaŋ	13
藕	xəɯ	42
備	pei	13
貝	pei	13
拉	la	55
囚	tɕʰiəɯ	31
先	ɕiɛ	55
先	tɕʰiɛ	55
點	tiɛ	42
普	pʰu	42
條	tʰiau	31
息	ɕi	31
問	xue	13
寧	li	31
嚴	ɕiɛ	31
雨	ɕi	42
齒	tʂʰʅ	42
都	tu	55
深	ʂe	55
歐	xəɯ	55
撲	pʰu	31
拜	pai	13
兵	pi	55
媳	ɕi	31
春	tʂʰue	55
收	ʂəɯ	55
談	tʰaŋ	31
入	ʐu	31
論	lue	13
巴	pa	55
賣	mai	13
會	xuei	13
血	ɕie	31
醫	ɕi	55
防	faŋ	31
岔	tʂʰa	13
下	ɕia	13
騾	lo	31
糙	tsʰau	13
闊	kʰue	31
閏	ʐue	13
徽	xuei	55
够	kəɯ	13
調	tʰiau	31
遵	tsue	55
逆	ni	31
挾	tɕia	31
辱	ʐu	31
絶	tɕie	31
漸	tɕiɛ	13
罪	tsuei	13
澀	se	31
掃	sau	42
役	ɕi	31
舵	to	13
責	tse	31
暴	pau	13
身	ʂe	55
兑	tuei	13
肴	ɕiau	31
東	toŋ	55
講	tɕiaŋ	42
椅	ɕi	42
歷	li	31
居	tɕi	55
務	xu	13
汝	ʐu	42
縣	ɕiɛ	13
植	tʂʅ	31
邦	paŋ	55
耕	ke	55
炒	tʂʰau	42
範	faŋ	13
品	pʰi	42
隨	suei	31
助	tsu	13
鬥	təɯ	42
狗	kəɯ	42
瓊	tɕʰi	31
况	kʰuaŋ	13
命	mi	13
業	nie	31
業	ɕie	31
卒	tsu	31
疑	ni	31
聚	tɕi	13
静	tɕi	13
富	fu	13
跳	tʰiau	13
關	kuaŋ	55
盗	tau	13
醉	tsuei	13
言	ɕiɛ	31
凍	toŋ	13
徙	ɕi	42
囊	naŋ	31
客	kʰe	31
印	ɕi	13
戊	xu	13
廢	fei	13
敲	kʰau	55
丕	pʰei	42
嗟	tɕia	55
女	ni	42
佩	pʰei	13
秋	tɕʰiəɯ	55
雪	ɕie	31
與	ɕi	42
嵩	soŋ	55
示	ʂʅ	13
希	ɕi	55
派	pʰai	13
辨	piɛ	13
瘦	səɯ	13
各	ko	31
怯	tɕʰio	31
害	xai	13
扇	ʂaŋ	13
轟	xoŋ	55
戌	ɕiu	31
黍	tʂʰu	42
楚	tsʰu	42
招	tʂau	55
巷	xaŋ	13
鋤	tsʰu	31
諧	ɕiɛ	31
仍	ʐe	31
才	tsʰai	31
家	tɕia	55
陣	tʂe	13
反	faŋ	42
勒	le	31
舊	tɕiəɯ	13
寄	tɕi	13
僕	pʰu	31
友	ɕiəɯ	42
出	tʂʰu	31
識	ʂʅ	31
觀	kuaŋ	55
丁	ti	55
凝	ni	31
愛	xai	13
聲	ʂe	55
滯	tʂʅ	13
拘	tɕi	55
誦	soŋ	13
朗	laŋ	42
色	se	31
移	ɕi	31
尤	ɕiəɯ	31
銜	ɕiɛ	31
歇	ɕie	31
環	xuaŋ	31
超	tʂʰau	55
泥	ni	31
舀	ɕiau	42
驢	lu	31
津	tɕi	55
白	pe	31
烏	xu	55
現	ɕiɛ	13
慘	tsʰaŋ	42
萌	moŋ	31
考	kʰau	42
菠	po	55
襯	tsʰe	13
石	ʂʅ	31
水	ʂuei	42
話	xua	13
倫	lue	31
黑	xe	31
曾	tse	55
元	ɕiɛ	31
秩	tʂʰʅ	31
匣	ɕia	31
狂	kʰuaŋ	31
純	ʂue	31
哀	xai	55
鹹	ɕiɛ	31
卧	xo	13
趕	kaŋ	42
統	tʰoŋ	42
瑞	ʂuei	13
柴	tʂʰai	31
亂	luaŋ	13
醋	tsʰu	13
履	li	42
宣	ɕiɛ	55
晏	ɕiɛ	13
罷	pa	13
吾	xu	31
偷	tʰəɯ	55
蝕	ʂʅ	31
腮	sai	55
例	li	13
淵	ɕiɛ	55
閲	ɕie	31
或	xue	31
幫	paŋ	55
脅	ɕie	31
賞	ʂaŋ	42
很	xe	42
五	xu	42
怕	pʰa	13
病	pi	13
再	tsai	13
鄧	te	13
威	xuei	55
師	sɿ	55
旺	xuaŋ	13
政	tʂe	13
狀	tʂuaŋ	13
瞎	ɕia	31
即	tɕi	31
迥	tɕioŋ	42
赫	xe	31
兮	ɕi	55
概	kʰai	13
貞	tʂe	55
莫	mo	31
拍	pʰe	31
閉	pi	13
户	xu	13
殼	kʰo	31
舉	tɕi	42
武	xu	42
供	koŋ	13
供	koŋ	55
蓋	kai	13
裳	ʂaŋ	55
手	ʂəɯ	42
癬	ɕiɛ	42
月	ɕie	31
惡	xo	31
改	kai	42
讀	tu	31
誰	ʂuei	31
塊	kʰuai	42
治	tʂʅ	13
索	so	31
急	tɕi	31
諸	tʂu	55
匙	tʂʰʅ	55
賜	tsʰɿ	13
蕭	ɕiau	55
喧	ɕiɛ	55
答	ta	31
倍	pei	13
粹	tsʰuei	13
每	mei	42
替	tʰi	13
均	tɕi	55
西	ɕi	55
尺	tʂʰʅ	31
站	tʂaŋ	13
他	tʰa	55
圓	ɕiɛ	31
奇	tɕʰi	31
鹿	lu	31
難	naŋ	31
特	tʰe	31
集	tɕi	31
隻	tʂʅ	55
鐘	tʂoŋ	55
玉	ɕiu	31
玉	ɕi	13
含	xaŋ	31
邊	piɛ	55
段	tuaŋ	13
過	ko	13
密	mi	31
撤	tʂʰe	31
告	kau	13
弟	ti	13
碗	xuaŋ	42
賴	lai	13
齊	tɕʰi	31
號	xau	13
詳	tɕʰiaŋ	31
嚼	tɕio	31
笛	ti	31
長	tʂaŋ	42
長	tʂʰaŋ	31
住	tʂu	13
解	kai	42
甲	tɕia	55
甲	tɕia	31
迅	ɕi	13
屬	ʂu	31
吃	tʂʰʅ	31
無	xu	31
呼	xu	55
刀	tau	55
之	tʂʅ	55
男	naŋ	31
秦	tɕʰi	31
激	tɕi	31
奉	foŋ	13
爲	xuei	13
爲	xuei	31
農	noŋ	31
軋	tʂa	31
斧	fu	42
始	ʂʅ	42
士	sɿ	13
念	niɛ	13
惟	xuei	31
彭	pʰoŋ	31
肅	su	31
共	koŋ	13
染	ʐaŋ	42
某	məɯ	42
力	li	31
茅	mau	31
架	tɕia	13
所	so	42
興	ɕi	55
爺	ɕie	55
河	xo	31
木	mu	31
太	tʰai	13
展	tʂaŋ	42
遺	ɕi	31
詩	ʂʅ	55
妥	tʰo	42
資	tsɿ	55
中	tʂoŋ	55
監	tɕiɛ	55
揣	tʂʰuai	42
城	tʂʰe	31
器	tɕʰi	13
麗	li	13
泣	tɕʰi	31
鴨	ɕia	31
伴	paŋ	13
金	tɕi	55
寅	ɕi	31
孽	nie	31
耻	tʂʰʅ	42
食	ʂʅ	31
憶	ɕi	13
暗	xaŋ	13
争	tse	55
時	ʂʅ	31
系	ɕi	13
貫	kuaŋ	13
核	xe	31
甜	tʰiɛ	31
尼	ni	31
樁	tʂuaŋ	55
高	kau	55
叛	pʰaŋ	13
算	suaŋ	13
删	ʂaŋ	55
陵	li	31
符	fu	31
龍	loŋ	31
間	tɕiɛ	55
樂	lo	31
郭	ko	31
席	ɕi	31
而	kʰə	31
應	ɕi	13
給	kə	42
失	ʂʅ	31
鶯	ɕi	55
邪	ɕie	31
堅	tɕiɛ	55
由	ɕiəɯ	31
慢	maŋ	13
蓬	pʰoŋ	31
順	ʂue	13
保	pau	42
戴	tai	13
沿	ɕiɛ	31
街	kai	55
羊	ɕiaŋ	31
鬼	kuei	42
妓	tɕi	13
蔡	tsʰai	13
研	ɕiɛ	31
坤	kʰue	55
脆	tsʰuei	13
得	te	31
離	li	31
新	ɕi	55
麥	me	31
潮	tʂʰau	31
風	foŋ	55
氈	tʂaŋ	55
到	tau	13
你	ni	42
空	kʰoŋ	55
魂	xue	31
等	te	42
茶	tʂʰa	31
赤	tʂʰʅ	31
棲	tɕʰi	55
趙	tʂau	13
要	ɕiau	13
納	na	31
燒	ʂau	55
有	ɕiəɯ	42
用	ɕioŋ	13
奶	nai	42
奶	nai	55
祖	tsu	42
蝦	ɕia	55
青	tɕʰi	55
雄	ɕioŋ	31
儒	ʐu	31
瓜	kua	55
值	tʂʅ	31
哥	ko	55
宏	xoŋ	31
刻	kʰe	31
那	na	13
狹	ɕia	31
盼	pʰaŋ	13
鮮	ɕiɛ	55
剖	pʰəɯ	42
管	kuaŋ	42
驗	ɕiɛ	13
何	xo	31
極	tɕi	31
額	xe	31
假	tɕia	42
假	tɕia	13
牢	lau	31
人	ʐe	31
英	ɕi	55
一	ɕi	31
郎	laŋ	31
柔	ʐəɯ	31
侵	tɕi	55
梅	mei	31
選	ɕiɛ	42
綢	tʂʰəɯ	31
拆	tsʰe	31
矢	ʂʅ	42
信	ɕi	13
岸	xaŋ	13
閑	ɕiɛ	31
醜	tʂʰəɯ	42
我	xo	42
彙	nuei	13
路	lu	13
全	tɕʰiɛ	31
軟	ʐuaŋ	42
跑	pʰau	42
社	ʂe	13
氣	tɕʰi	13
臘	la	31
局	tɕiu	31
句	tɕi	13
吕	luei	42
犬	tɕʰiɛ	42
委	xuei	42
癡	tʂʰʅ	55
右	ɕiəɯ	13
侄	tʂʅ	31
火	xo	42
晋	tɕi	13
縮	so	31
貴	kuei	13
野	ɕie	42
位	xuei	13
惹	ʐe	42
斛	fu	31
術	ʂu	31
兩	liaŋ	42
德	te	31
荆	tɕi	55
皆	kai	55
緣	ɕiɛ	31
山	ʂaŋ	55
逸	ɕi	31
回	xuei	31
轎	tɕiau	13
船	tʂʰuaŋ	31
里	li	42
救	tɕiəɯ	13
辭	tsʰɿ	31
譯	ɕi	31
末	mo	31
肯	kʰe	42
良	liaŋ	31
虧	kʰuei	55
懷	xuai	31
設	ʂe	31
杏	ɕi	13
聽	tʰi	55
七	tɕʰi	31
鳥	niau	42
兒	kʰə	31
虚	ɕi	55
利	li	13
尾	xuei	42
官	kuaŋ	55
鋭	ʐuei	13
鬆	soŋ	55
孝	ɕiau	13
弘	xoŋ	31
多	to	55
馬	ma	42
草	tsʰau	42
配	pʰei	13
名	mi	31
恤	ɕiu	31
襖	xau	42
崩	poŋ	55
僧	se	55
冷	le	42
懸	ɕiɛ	31
似	sɿ	13
餓	xo	13
射	ʂe	13
暑	tʂʰu	42
燈	te	55
耳	kʰə	42
恒	xe	31
書	ʂu	55
綴	tʂue	31
悲	pei	55
彼	pi	42
帶	tai	13
鴿	ko	31
籠	loŋ	42
櫃	kuei	13
辦	paŋ	13
忒	tʰe	31
餘	ɕi	31
牀	tʂʰuaŋ	31
蚊	xue	31
抗	kʰaŋ	13
快	kʰuai	13
債	tʂai	13
計	tɕi	13
减	tɕiɛ	42
觸	tʂu	31
短	tuaŋ	42
至	tʂʅ	13
項	xaŋ	13
鞋	xai	31
皖	xuaŋ	13
勃	pʰu	31
域	ɕiu	31
夜	ɕie	13
輕	tɕʰi	55
潭	tʰaŋ	31
怒	nu	13
亮	liaŋ	13
幻	xuaŋ	13
衫	ʂaŋ	55
健	tɕiɛ	13
冰	pi	55
詞	tsʰɿ	31
施	ʂʅ	55
脱	tʰo	31
聯	liɛ	31
尊	tsue	55
盟	mi	31
酒	tɕiəɯ	42
豬	tʂu	55
提	tʰi	31
説	ʂo	31
夕	ɕi	31
灰	xuei	55
宅	tsʰe	31
紹	ʂau	13
旱	xaŋ	13
做	tso	13
想	ɕiaŋ	42
硯	ɕiɛ	13
孩	xai	31
冒	mau	13
鍘	tʂa	31
像	ɕiaŋ	13
陽	ɕiaŋ	31
戳	tʂʰo	31
斬	tʂaŋ	42
使	ʂʅ	42
翻	faŋ	55
團	tʰuaŋ	31
伺	sɿ	13
榜	paŋ	42
畜	ɕiu	31
袖	ɕiəɯ	13
牽	tɕʰiɛ	55
包	pau	55
徵	tʂe	55
性	ɕi	13
最	tsuei	13
通	tʰoŋ	55
賊	tsuei	31
賊	tse	31
優	ɕiəɯ	55
瓦	xua	42
否	fəɯ	42
傑	tɕie	31
獄	ɕiu	31
半	paŋ	13
腐	fu	42
其	tɕʰi	31
約	ɕio	31
定	ti	13
犀	ɕi	55
九	tɕiəɯ	42
圖	tʰu	31
馮	foŋ	31
酸	suaŋ	55
微	xuei	31
攪	kau	42
策	tsʰe	31
破	pʰo	13
碑	pei	55
撞	tʂuaŋ	13
活	xo	31
麻	ma	31
象	ɕiaŋ	13
袍	pʰau	31
嶽	ɕio	31
許	ɕi	42
摘	tse	31
零	li	31
笑	ɕiau	13
式	ʂʅ	13
謝	ɕie	13
略	lio	31
稻	tau	13
的	ti	55
换	xuaŋ	13
可	kʰo	42
頓	tue	13
帝	ti	13
暮	mo	13
寫	ɕie	42
倉	tsʰaŋ	55
寵	tʂʰoŋ	42
形	ɕi	31
然	ʐaŋ	31
種	tʂoŋ	13
喝	xo	55
看	kʰaŋ	13
缺	tɕʰie	31
寒	xaŋ	31
沙	ʂa	55
扶	fu	31
方	faŋ	55
軒	ɕiɛ	55
翠	tsʰuei	13
偵	tʂe	55
螢	ɕi	31
敝	pi	13
沃	xo	31
巧	tɕʰiau	42
典	tiɛ	42
忙	maŋ	31
倒	tau	42
腦	nau	42
尹	ɕi	42
滅	mie	31
橋	tɕʰiau	31
步	pu	13
服	fu	31
題	tʰi	31
果	ko	42
芝	tʂʅ	55
趣	tɕʰi	13
逼	pi	31
促	tsʰu	31
遲	tʂʰʅ	31
累	luei	42
累	luei	13
讓	ʐaŋ	13
幾	tɕi	42
舅	tɕiəɯ	13
個	ko	13
娶	tɕi	13
傾	tɕʰi	42
簫	ɕiau	55
丑	tʂʰəɯ	42
桓	xuaŋ	31
泊	po	31
鄙	pʰi	42
夷	ɕi	31
辣	la	31
爵	tɕio	31
永	ɕioŋ	42
十	ʂʅ	31
肺	fei	13
蛙	xua	55
林	li	31
悠	ɕiəɯ	55
放	faŋ	13
淚	luei	13
蓮	liɛ	31
望	xuaŋ	13
宿	ɕiəɯ	13
側	tsʰe	31
澤	tsʰe	31
靈	li	31
封	foŋ	55
嫩	nue	13
滑	xua	31
澈	tʂʰe	31
類	luei	13
栗	li	31
怪	kuai	13
芹	tɕʰi	31
戀	liɛ	13
丸	xuaŋ	31
融	ɕioŋ	31
允	ɕi	42
曉	ɕiau	42
成	tʂʰe	31
列	lie	31
菜	tsʰai	13
侍	sɿ	13
執	tʂʅ	31
序	ɕi	13
桶	tʰoŋ	42
近	tɕi	13
娃	xua	31
流	liəɯ	31
雀	tɕʰio	31
疫	ɕiu	31
鉗	tɕʰiɛ	31
昏	xue	55
端	tuaŋ	55
劣	lie	31
遂	suei	13
俊	tɕi	13
主	tʂu	42
饒	ʐau	31
茸	ʐoŋ	31
雜	tsa	31
蟲	tʂʰoŋ	31
歪	xuai	55
刷	ʂua	31
角	ko	31
漢	xaŋ	13
欣	ɕi	55
亥	xai	13
細	ɕi	13
趁	tʂʰe	13
吉	tɕi	31
橙	tsʰe	31
愁	tsʰəɯ	31
貧	pʰi	31
孫	sue	55
上	ʂaŋ	13
鏟	tʂʰaŋ	42
表	piau	42
絨	ʐoŋ	31
篤	tu	31
數	su	42
數	su	13
盈	ɕi	31
星	ɕi	55
祥	tɕʰiaŋ	31
榮	ɕioŋ	31
跌	tie	31
憲	ɕiɛ	13
娘	niaŋ	31
冬	toŋ	55
明	mi	31
繭	tɕiɛ	42
披	pʰi	55
職	tʂʅ	31
整	tʂe	42
薛	ɕie	31
佳	tɕia	55
洛	lo	31
夾	tɕia	31
剥	po	31
接	tɕie	31
附	fu	13
李	li	42
宗	tsoŋ	55
秘	mi	31
惠	xuei	13
飄	pʰiau	55
浮	fəɯ	31
脚	tɕio	31
查	tʂʰa	31
認	ʐe	13
開	kʰai	55
安	xaŋ	55
翁	xoŋ	55
園	ɕiɛ	31
爾	kʰə	42
飽	pau	42
孟	moŋ	13
黄	xuaŋ	31
支	tʂʅ	55
限	ɕiɛ	13
唱	tʂʰaŋ	13
丢	tiəɯ	55
恭	koŋ	55
米	mi	42
罩	tʂau	13
負	fu	13
壽	ʂəɯ	13
習	ɕi	31
禍	xo	13
來	lai	31
却	tɕʰio	31
遍	piɛ	13
單	taŋ	55
藥	ɕio	31
帽	mau	13
險	ɕiɛ	42
舌	ʂe	31
虐	nio	31
淆	ɕiau	31
搭	ta	31
弓	koŋ	55
旗	tɕʰi	31
國	kue	31
庚	ke	55
棚	pʰoŋ	31
妻	tɕʰi	55
完	xuaŋ	31
窮	tɕʰioŋ	31
己	tɕi	42
飾	ʂʅ	13
插	tʂʰa	31
央	ɕiaŋ	55
桌	tʂo	31
求	tɕʰiəɯ	31
初	tsʰu	55
初	tsʰo	55
謙	tɕʰiɛ	55
悴	tsʰuei	13
巢	tsʰau	31
運	ɕi	13
同	tʰoŋ	31
鴉	ɕia	55
擇	tsʰe	31
税	ʂuei	13
思	sɿ	55
倦	tɕiɛ	13
鐵	tʰie	31
歲	suei	13
衛	xuei	13
前	tɕʰiɛ	31
奮	fe	13
六	lu	31
熟	ʂu	31
真	tʂe	55
曰	ɕie	55
鄰	li	31
販	faŋ	13
店	tiɛ	13
廉	liɛ	31
二	kʰə	13
撑	tsʰe	55
頂	ti	42
篆	tʂuaŋ	13
硬	xe	13
凡	faŋ	31
公	koŋ	55
小	ɕiau	42
摇	ɕiau	31
煙	ɕiɛ	55
旁	pʰaŋ	31
賢	ɕiɛ	31
味	xuei	13
字	tsɿ	13
械	kai	13
醃	ɕiɛ	55
仰	niaŋ	42
奴	nu	31
誠	tʂʰe	31
伐	fa	31
婆	pʰo	31
總	tsoŋ	42
裏	li	42
裏	ɕi	42
北	pe	31
波	po	55
作	tso	31
介	kai	13
筆	pi	31
駡	ma	13
紅	xoŋ	31
府	fu	42
恰	tɕʰia	31
拼	pʰi	55
贖	ʂu	31
郁	ɕiu	31
刮	kua	31
比	pi	42
伯	pe	31
黨	taŋ	42
吞	tʰue	55
剪	tɕiɛ	42
育	ɕiu	31
熱	ʐe	31
隔	ke	31
艾	xai	13
休	ɕiəɯ	55
洗	ɕi	42
杜	tʂu	13
杜	tu	13
判	pʰaŋ	13
盤	pʰaŋ	31
第	ti	13
霞	ɕia	31
唐	tʰaŋ	31
年	niɛ	31
鑷	nie	31
革	ke	31
穗	suei	13
樹	ʂu	13
割	ko	31
鰥	kuaŋ	55
陸	lu	31
蠶	tsʰaŋ	31
臻	tse	55
宜	ni	31
乞	tɕʰi	31
忽	fu	31
温	xue	55
臣	tʂʰe	31
能	ne	31
代	tai	13
海	xai	42
則	tse	31
寺	sɿ	13
霍	xo	31
瓶	pʰi	31
今	tɕi	55
就	tɕiəɯ	13
涉	ʂe	31
大	ta	13
埋	mai	31
本	pe	42
桂	kuei	13
動	toŋ	13
區	tɕʰi	55
速	su	31
除	tʂʰu	31
剩	ʂe	13
瘸	tɕʰie	31
晚	xuaŋ	42
在	tsai	13
胡	xu	31
嫌	ɕiɛ	31
知	tʂʅ	55
打	ta	42
千	tɕʰiɛ	55
秃	tʰu	31
不	pu	31
板	paŋ	42
因	ɕi	55
忍	ʐe	42
洞	toŋ	13
緝	tɕi	31
法	fa	31
貳	kʰə	13
台	tʰai	55
劄	tʂa	31
延	ɕiɛ	31
縛	po	31
錢	tɕʰiɛ	31
買	mai	42
繞	ʐau	42
囂	ɕiau	55
靠	kʰau	13
磕	kʰo	31
卜	pʰu	31
翅	tʂʰʅ	13
踢	tʰi	31
貶	piɛ	42
勳	ɕi	55
又	ɕiəɯ	13
敢	kaŋ	42
尋	ɕi	31
仁	ʐe	31
費	fei	13
君	tɕi	55
擲	tʂʅ	31
斯	sɿ	55
莊	tʂuaŋ	55
壁	pi	31
拿	na	31
羽	ɕi	42
效	ɕiau	13
壬	ʐe	31
三	saŋ	55
撇	pʰie	31
江	tɕiaŋ	55
弦	ɕiɛ	31
課	kʰo	13
痛	tʰoŋ	13
嘴	tsuei	42
香	ɕiaŋ	55
正	tʂe	13
子	tsɿ	42
突	tʰu	31
姑	ku	55
殺	ʂa	31
結	tɕie	31
鉛	tɕʰiɛ	55
帳	tʂaŋ	13
爬	pʰa	31
鶴	xo	31
滚	kue	42
協	ɕie	31
犯	faŋ	13
閃	ʂaŋ	42
跟	ke	55
被	pei	13
被	pi	13
睡	ʂuei	13
吊	tiau	13
吊	tiau	13
底	ti	42
賭	tu	42
後	xəɯ	13
質	tʂʅ	31
鷄	tɕi	55
横	xue	31
奚	ɕi	55
姓	ɕi	13
坐	tso	13
玄	ɕiɛ	31
欲	ɕiu	31
熊	ɕioŋ	31
畫	xua	13
天	tʰiɛ	55
挖	xua	55
朵	to	42
地	ti	13
閘	tʂa	31
瀑	pʰu	31
惜	ɕi	31
乘	tʂʰe	31
齋	tʂai	55
敗	pai	13
妖	ɕiau	55
紐	niəɯ	42
切	tɕʰie	31
左	tso	42
漏	ləɯ	13
好	xau	42
昌	tʂʰaŋ	55
懇	kʰe	42
幸	ɕi	13
屋	xu	31
只	tʂʅ	42
分	fe	55
泰	tʰai	13
晨	ʂe	31
也	ɕie	42
桅	xuei	31
直	tʂʅ	31
丘	tɕʰiəɯ	55
捲	tɕiɛ	42
去	kʰə	13
去	tɕʰi	13
垂	tʂʰuei	31
營	ɕi	31
立	li	31
幼	ɕiəɯ	13
及	tɕi	31
原	ɕiɛ	31
强	tɕʰiaŋ	31
廣	kuaŋ	42
生	se	55
視	ʂʅ	13
釣	tiau	13
滿	maŋ	42
阮	ʐuaŋ	42
矣	ɕi	42
堤	tʰi	31
塔	tʰa	31
吸	ɕi	31
季	tɕi	13
酌	tʂo	31
重	tʂoŋ	13
清	tɕʰi	55
鼠	tʂʰu	42
汪	xuaŋ	55
雷	luei	31
道	tau	13
喘	tʂʰuaŋ	42
測	tsʰe	31
恐	kʰoŋ	42
卑	pei	55
佈	pu	13
外	xuai	13
消	ɕiau	55
綻	tʂaŋ	13
專	tʂuaŋ	55
世	ʂʅ	13
仙	ɕiɛ	55
古	ku	42
羅	lo	31
孤	ku	55
斤	tɕi	55
秀	ɕiəɯ	13
飯	faŋ	13
著	tʂo	31
午	xu	42
把	pa	42
危	xuei	55
粗	tsʰu	55
進	tɕi	13
更	ke	13
覺	tɕio	31
桑	saŋ	55
庵	xaŋ	55
若	ʐo	31
朝	tʂau	55
矮	xai	42
枉	xuaŋ	42
繩	ʂe	31
竹	tʂu	31
文	xue	31
八	pa	31
媽	ma	55
部	pu	13
斜	ɕia	31
周	tʂəɯ	55
肉	ʐu	31
非	fei	55
曲	tɕʰiu	31
鵝	xo	31
畝	mu	42
貌	mau	13
連	liɛ	31
拙	tʂue	31
玩	xuaŋ	31
甚	ʂe	13
件	tɕiɛ	13
變	piɛ	13
森	se	55
掘	tɕʰiu	31
民	mi	31
戒	kai	13
梨	li	31
宋	soŋ	13
技	tɕi	13
花	xua	55
歌	ko	55
化	xua	13
門	me	31
苦	kʰu	42
和	xo	31
雲	ɕi	31
雲	ɕi	31
粉	fe	42
蕊	ʐuei	42
肥	fei	31
謀	məɯ	31
奪	to	31
踏	tʰa	31
糾	tɕiəɯ	55
堯	ɕiau	31
素	su	13
死	sɿ	42
圍	xuei	31
造	tsʰau	13
叫	tɕiau	13
哭	kʰu	31
碧	pi	31
苗	miau	31
存	tsʰue	31
送	soŋ	13
殖	tʂʅ	31
歸	kuei	55
産	tʂʰaŋ	42
增	tse	55
些	ɕie	55
炸	tʂa	13
炸	tʂa	31
糟	tsau	55
溺	ni	31
請	tɕʰi	42
聶	nie	31
報	pau	13
次	tsʰɿ	13
匡	kʰuaŋ	55
行	xaŋ	31
行	ɕi	31
謊	xuaŋ	42
杠	kaŋ	13
夫	fu	55
菊	tɕiu	31
審	ʂe	42
薄	po	31
削	ɕio	31
毁	xuei	42
如	ʐu	31
自	tsɿ	13
拔	pa	31
往	xuaŋ	42
暫	tʂaŋ	13
噎	ɕie	31
坡	pʰo	55
徹	tʂʰe	31
獲	xue	31
昂	xaŋ	31
瑟	se	31
故	ku	13
旬	ɕi	31
老	lau	42
梯	tʰi	55
旋	ɕiɛ	31
忘	xuaŋ	31
律	li	31
兄	ɕioŋ	55
貓	mau	55
貓	miau	31
引	ɕi	42
散	saŋ	42
散	saŋ	13
