	注释：-白读；=文读
∅	[1]庵鹌[2]涵{水～}[3]饮-{米汤}[5]暗
#ap	
t	[7]答=褡[8]沓=踏=
tʰ	[7]塌
l	[7]□{凹陷}□{踩}[8]纳腊=
ts	[7]匝[8]杂十-
tsʰ	[7]插=
s	[7]霎{雨～仔}
k	[7]甲=鸽胛=[8]洽-
kʰ	[7]盖{姓}[8]礚
h	[7]呷大口吃[8]合
∅	[7]押=压[8]匣={～仔}
#iam	
t	[1]砧-{刀～}[2]甜[3]点[5]店□{在}[6]簟垫□{安静}
tʰ	[1]添=[3]忝
l	[1]拈[2]黏镰□{原文作“⿱㓁隹”}廉临-[5]□{捻，捏}[6]念
ts	[1]尖占针-赡[2]谮[5]占[6]渐
tsʰ	[1]签[2]橙-[5]僭
s	[1]瞻[2]寻-[3]闪=陕[5]渗[6]暹
dz	[3]染
k	[1]兼缄[2]咸-[3]减检[5]剑
kʰ	[1]谦[2]黔钳=[5]欠[6]俭
h	[2]嫌[3]险
ɡ	[2]严[3]俨[6]验
∅	[1]淹=阉阴-{交～：觉得寒冷}[2]盐=[5]厌[6]炎艳焰
#iap	
t	[7]辄[8]碟=碟=牒谍
tʰ	[7]帖贴=[8]叠=
l	[7]聂捏[8]粒猎
ts	[7]汁-接=[8]捷
tsʰ	[7]妾
s	[7]涩[8]涉
k	[7]夹峡劫侠
h	[7]狭[8]协胁侠
ɡ	[8]业
∅	[7]挹[8]叶
#in	
p	[1]宾彬斌滨[2]贫凭[3]禀[5]鬓髌殡
pʰ	[3]品
b	[2]民岷眠[3]敏闵抿{齿～：牙刷}[6]面-
t	[1]珍徵[2]陈=尘=藤-[3]振-[5]镇[6]阵=
l	[2]怜鳞[3]恁{你们}[6]吝
ts	[1]真珍[2]秦[3]诊振=震[5]晋进[6]尽
tsʰ	[1]亲[5]凊-{冷}秤
s	[1]新身伸=辛申薪[2]辰晨神臣蝇-承-[5]迅讯囟信[6]慎肾剩
dz	[2]人仁[6]认
k	[1]巾根斤跟筋均[3]紧仅谨囝{～仔：孩子}[5]靳绢[6]近
kʰ	[1]轻[2]勤芹
h	[1]兴[2]眩{头～}[5]兴[6]恨
ɡ	[2]银
∅	[1]恩因姻湮[2]寅匀云[3]引蚓允[5]印应[6]孕胤
#it	
p	[7]必笔毕哔弼
pʰ	[7]匹
b	[8]密=蜜
t	[8]侄姪直=值=蛰=
ts	[7]织职脊=[8]疾一{训读}蜀{一}籍{～贯}
tsʰ	[7]七拭-漆=
s	[7]失息熄式膝[8]实=食植-蚀-翼-{翅膀}
dz	[8]日
k	[7]吉[8]□{粥浓}
kʰ	[7]乞
∅	[7]忆乙一
#un	
p	[1]分[2]㖹-{吹}[3]本[5]粪-[6]笨
pʰ	[1]潘-奔[2]盆
b	[2]门=文纹闻媒{～人}[3]吻[6]闷问
t	[1]墩敦屯[2]唇[3]盾转{返}[5]顿=[6]钝
tʰ	[1]吞[2]豚尘-
l	[2]轮仑[3]碾{石～；原文作阳平，应为误记}[6]论闰润
ts	[1]尊遵[2]存前-{～年}船-[3]准[5]圳俊[6]阵
tsʰ	[1]伸春村=[3]蠢[5]寸
s	[1]孙荪飧[2]旬巡纯醇[3]笋损[5]舜逊[6]顺
k	[1]君军[2]裙群拳-𤉙{煮}[3]滚[5]棍[6]郡
#ut	
b	[8]勿物=没
t	[8]突凸
tʰ	[7]秃
l	[8]律率
ts	[7]卒[8]秫{～米}
tsʰ	[7]出
s	[7]戌屑{锯～}[8]术
k	[7]骨[8]滑-猾-掘-
#an	
p	[1]班斑颁癍{原文作“瘫”，应为误记}[2]瓶-便-{～宜}[3]板版坂=阪反-{～过来}[6]办扮瓣范-{做～}
pʰ	[1]攀扳[5]盼襻
b	[2]蛮鳗明{～仔载}[6]慢曼幔
t	[1]丹单=郸殚[2]弹=陈-檀[3]等-[5]旦=诞蛋[6]但
tʰ	[1]摊=滩=蛏-[2]弹=[3]坦毯[5]炭=叹趁-
l	[1]□{趼，原文作“跉”}[2]兰澜拦=栏=难零-{～号}鳞-[3]懒咱{训读，咱们}[6]难膦{男阴，原文作“卵”}
ts	[1]曾{姓}[2]残前{头～}[5]栈赞站-{～岗}[6]赠-{～助}
tsʰ	[1]呻-餐[2]塍{田}[3]产[5]灿
s	[1]山=删珊星-{零～}先-{～去}[3]产散=㾪-{瘦}[5]汕=伞=散=
k	[1]奸肝=竿=乾=肩-[3]柬简赶眼-{龙～}[5]干间谏
kʰ	[1]牵-刊[3]侃肯-{不～}[5]看=
h	[2]寒=韩闲[3]罕喊[5]汉[6]旱=汗=限=
ɡ	[2]言颜[3]眼=[6]岸=谚雁
∅	[1]安鞍垵[2]縆{紧}[5]案晏[6]限-
#at	
p	[7]八=捌=别-[8]别{～人}
b	[8]密-
t	[7]妲[8]达笪{谷～}
tʰ	[7]獭=窒-踢-{～球}
l	[7]辣=栗-力-
ts	[7]札节-[8]实-
tsʰ	[7]察擦漆-{油～}[8]贼-
s	[7]杀虱-{木～}栉{～篦}
k	[7]割=结-葛
kʰ	[7]渴=克-
h	[7]喝=瞎=[8]辖核-乏
∅	[7]遏
#ian	
p	[1]鞭=边=编=[3]扁=蝙贬砭匾[5]遍变=[6]卞便辩辫辨
pʰ	[1]编翩[5]片骗
b	[2]眠=棉=[3]免娩冕[6]面=缅
t	[1]颠[2]缠=填田[3]展典[6]电佃殿甸
tʰ	[1]天=[2]填滇[3]展殄
l	[1]蔫[2]年=连=莲怜=联[3]辇[6]练炼链
ts	[1]煎笺毡[2]前=钱=[3]剪谫践[5]箭=荐战颤=煎[6]贱
tsʰ	[1]千=迁跹[2]延[3]浅[5]茜
s	[1]先=仙鲜=[2]蝉婵涎[3]鲜癣筅=弥[5]线=扇=煽[6]肾{～子：男阴}善膳缮单鳝
dz	[2]然燃=
k	[1]肩=坚[3]茧囝=趼[5]见建[6]健=件=鞬腱
kʰ	[1]愆[2]乾{原文作阴平，应为误记}虔{原文作阴平，应为误记}[3]犬谴遣
h	[1]掀轩[2]贤玄舷悬=[3]显[5]宪献
ɡ	[2]言[3]研
∅	[1]蔫燕烟[2]延[3]演[5]燕[6]院
#iat	
p	[7]别=瘪鳖=[8]别=
pʰ	[7]撇瞥[8]撇=
b	[8]灭篾=蔑
t	[8]跌
tʰ	[7]澈撤彻铁=
l	[8]列裂=冽
ts	[7]节=折浙[8]截
tsʰ	[7]切
s	[7]薛=[8]舌=
dz	[8]热=
k	[7]结=洁吉桔[8]杰桀竭碣揭=剧
kʰ	[7]孑揭=[8]揭=
h	[7]血=[8]穴
ɡ	[8]孽
∅	[7]谒[8]阅悦
#uan	
p	[1]搬=般=[2]盘=[5]半=拌=[6]畔叛伴=
pʰ	[1]潘=[2]磐[5]泮判=
b	[3]瞒满=晚=挽
t	[1]端[2]传=[3]短=[5]断[6]断=传段=
tʰ	[1]湍[2]团[5]篆
l	[2]恋孪銮[3]卵暖[6]乱
ts	[1]专砖=[2]全=泉=[3]转=赚[5]钻=[6]撰馔
tsʰ	[1]川筌穿=村-[3]喘[5]串窜篡
s	[1]酸=宣闩[2]旋镟[3]选[5]蒜算=
dz	[3]软=
k	[1]官=关=棺=娟捐[2]悬-{高}权[3]管=捲=[5]贯=惯灌卷=[6]县-
kʰ	[1]宽=[2]圈环权拳=[3]款[5]劝=
h	[1]欢番翻蕃[2]凡还=烦樊矾环[3]反=返[5]幻唤涣[6]犯患宦范=
ɡ	[2]元原园源[3]阮=[6]愿
∅	[1]弯鸳冤[2]丸圆=员[3]碗=腕䘼=玩婉远=[5]怨[6]援缓
#uat	
p	[7]钵=拨=[8]拔=跋=
pʰ	[7]泼=撇
b	[7]抹=末=[8]袜=
t	[7]掇[8]夺
tʰ	[7]脱=
l	[8]捋
ts	[7]茁拙[8]绝=
s	[7]说=雪=
k	[7]决刮孓
kʰ	[7]阔=缺=
h	[7]法发[8]伐=乏=阀罚
ɡ	[8]月=
∅	[7]斡挖=[8]曰越粤
#ŋ	
p	[1]帮-[3]榜-
m	[2]毛-
t	[1]当-[2]堂-长-肠-塘-唐-[3]涨-{水～}[5]当-[6]丈-
tʰ	[1]汤-[2]糖-[5]烫-褪{脱}[6]杖-
n	[2]郎-{牛～织女}瓤-{瓜～}[6]卵-
ts	[1]庄-装-{原文作阳去，应为误记}赃-{原文作阳去，应为误记}[6]脏-
tsʰ	[1]仓-舱-疮-[2]床-
s	[1]霜-丧-[2]床{笼～：蒸笼}[3]损-爽-
k	[1]缸-扛-[5]钢-
kʰ	[1]康-糠-[5]囥-
∅	[1]央-秧-
#iŋ	
p	[1]冰兵崩[2]朋爿{正～：右边；倒～：左边}平=坪=[3]丙=柄=饼=秉[5]並[6]病=并
pʰ	[1]烹[2]彭=棚=萍评[5]聘
