序号	汉字	注释	兴安堡里	全州磨头	全州竹塘	全州蛟潭	灌阳椅山	灌阳宅塘	资源瓜里	资源大坨	
48	射		ʃuo11	sia325	ʑia212	ʑia33	ʃiᴇ13		za24	za24	
49	爷		jio13				iᴇ22	ie212	ia24	ia24	
50	野		jio41	ʔia53	ia34/ie34	ia214	iᴇ33	ie55	ia53	ia55	
51	夜		jio31	ia212	ia212	ia33	iᴇ41				
52	瓜		kuo35	kua55	kua55	kua55	kua53	kua35	kua55	kua55	
53	瓦	名词	uo41	ʔua53	ua34	ʔua214	ua33	ua55	ua53	ua55	
54	花		huo35	hua55	hua55	hua55	hua53		hua55	fua55	
55	化		huo31		hua212	hua33	hua13		fa325	hua35	
56	华	中～	fuɑ13	ua325	ua34	ua212	hua22		ua24	ua24	
57	谱		pʰu53	pʰu53	pʰu53	pʰu325	pʰu33	pʰu55		pʰu53	
58	布		pu31	pu212	pu212	pu33	pu13	ɓu53	pu325	pu35	
59	铺	动词	pʰu31	pʰu55	pʰu55	pʰu55	pʰu53	pʰu35	pʰu55	pʰu55	
60	簿		puo11			bu33	pʰu41	bu35		bu0	
61	步		pu11	bu212	bu212	bu33	pʰu41	bu33		bu214	
62	赌		tu53	tu35	tu334	tɤ325	tᴇ33	ɗiau33	tu24	tu24	
63	土		tʰu53	tʰu35	tʰu334	tʰɤ325	tʰᴇ33	tʰiau33	tʰu24	tʰu24	
64	图		tu13	du325	du325	dɤ212/du212	tʰu41	dɤu212	du24	du24	
65	杜										
66	奴		nu13			lɤ212	lᴇ22	lɤu212	lu24	lu24	
67	路		lu11	lu212	lu212	lɤ33	liᴇ41	liau33	lu24	lu24	
68	租		tsu35	tsu55	tsu55	tsɤ55	tsᴇ53	tɕiau35	tsu55	tsu55	
69	做		tsu31	tsu212	tsuo212	tsuo33	tsuo13	tsuo53	tu325/tsu325	tsu35	
70	错	对～	tsʰɤu53	tsʰu53	tsʰuo212	tsʰuo33	tsʰɿ35	tsʰɤu55	tsʰuo325	tsʰuo55	
71	箍		ku35	ku55	ku55	ku55	kiᴇ53	ku35	ku55	ku55	
72	古		ku53	ku35	ku53	ku33	kiᴇ33	ku33	ku53	ku53	
73	苦		fu53	kʰu35	kʰu334	fu325/kʰu325	hiᴇ33/kʰiᴇ33	kʰu33	fu24	fu24	
74	裤		kʰu31	kʰu212	kʰɤ212	kʰu33	kʰiᴇ13	kʰu53	kʰu325	kʰu35	
75	吴		ʋu13	u325	u325	u212	u22	u212	u24	u24	
76	五		ŋ41	ŋ53	ŋ34	ŋ214	ɲiᴇ33	õŋ55	u53	ŋ24	
77	虎		fu53			hu325	hiᴇ33	hu33			
78	壶		fu13	u325	u325	vu212	hiᴇ22	hu212	u24	u24	
79	户		fu31	hu212	u212	u214	hu13	hu35	u214	u214	
80	乌		ʋu35			ʔu55		u35		u55	
81	女		ȵiɤu41	liɤu53	ȵiɤu34	liɯ214	liɤu33	lei55	nɛi53	ȵiɤu55	
82	吕		ȵyi41		ȵy53	ly214	ly33	ly55	ly53	ly53	
83	徐		ʃyi13			dʑy212	çy41	ʑy212		zu24	
84	猪		tiɤu35	tiɤu55	tiɤu55	tiɯ55	tiɤu53	ɗei35	tɛi55	tai55	
85	除		tʃyi13	ʑy325	dʑy325	dʑy212	cʰy22	ʑy212		zu24	
86	初		tsʰu35	tsʰɑu55	tsʰau55	tsʰɤ55	tsʰᴇ53	tɕʰiau35	tʰau55	tsʰu55	
87	锄		tʃyi13	zɔu325	dzau325	dzɯ212	tʃʰu22	ʑiau212	dau214	zu214	
88	所		suo53	suo53	suo53		suo33	suo55	suo53	suo53	
89	书		ʃiɤu35	sy55	ɕy55	ɕy55	ʃu53	ɕy35	ɕy55	su55	
90	鼠		ʃiɤu53	su0	su334	su325	çy33	suei33	ɕy0	su0	
91	如		jio13		ʑy325		y22				
92	举		tʃyi53	tsy53	ky53	tɕy325	cy33	tɕy33		tɕy24	
93	锯		tʃiɤu31		ky212	kɯ33/tɕy33	cy13	tɕy53	kɤɛ325	kɤɛ35	
94	去		fu31	hu212		fu33	hiᴇ13		fu325	kʰɤɛ35/hɤɛ35	
95	渠	～道	tʃyi13				cʰy22				
96	鱼		ŋ13	y325	y325	ɯ212	ɲiᴇ22	y212	uei214	ŋɤɛ214	
97	许		ʃyi53				çy33				
98	余	剩～	yi13				y22	y212			
99	府		fu53	hu53	hu53	fu325	hu33	hu55	fu24	fu53	
100	付		fu31	hu212	hu212	fu33	hu13	hu35		fu35	
101	父		fu31								
102	武		ʋu41	ʔu53	u53	vu214	u33	u55	u53	u53	
103	雾		ʋu11	u212	u212	u214	u24	u33	u214	u214	
104	取		tʃʰyi53	tsʰy35			tsʰy33	tɕʰy33/tɕʰy55			
105	柱		tiɤu41	ʑy212	dzu34	tiɯ212	tʰiɤu33	dei55	tɛi0	tɤe24	
106	住		tiɤu11	ʑy212	dzu212	diɯ33	tʰiɤu41	dei33	dei24	dɛi24	
107	数	动词	su53	sɑu35	sau334	sɤ325	ʃu33	ɕiau33	sau24	su24	
108	数	名词	su31	su212	su34	sɤ33/su33	ʃu13	sɤu35	su325	su35	
109	主		tʃyi53	tsy35	tɕy53	tɕy325	tʃu33	tɕy55	tɕy24	tsu24	
110	输		ʃyi35	sy55	ɕy55	ɕy55	çy53	hy35	ɕy55	ɕy55	
111	竖			sy212			ʃu33			dai214	
112	树		ʃiɤu11		dzu212	dzɯ33	ʃu41			zu24	
113	句		tʃiɤu31	tsy212	ky212	tɕy33	ciɤu13	tɕy53		kɤɛ35	
114	区		tʃʰyi35	tsʰy55	tɕʰy55	tɕʰy53	cʰy22	tɕʰy33	tɕʰy55	tɕʰy55	
115	遇		yi11	ʔy212	y212		y13			y24	
116	雨		ʋu41	ʔy53	y325	ʔy214	hiᴇ33	y55	u53	u55	
117	芋		iɤu11	ʔy212	u212	vu35	hiᴇ41	y35	u24	u24	
118	裕		yi13	y212	y212		y13	y35	y214	y214	
119	胎		tʰɑ35	tʰie55	tʰie55	tʰie55	tʰiᴇ53	tʰie35	tʰa55	tʰie55	
120	台	戏～	tɑ13	die325	die325	di212	tʰiᴇ22	die212	da214	die24	
121	袋		tɑ11	die212	die212	die33	tʰiᴇ41	die33	da214	die24	
122	来		lɑ13	la325	lie325	li212	liᴇ33	lie212	lie24/tie24	die24	
123	菜		tsʰɑ31	tsʰa212	tɕʰie212	tsʰie33	tsʰiᴇ13	tɕʰie53/tɕʰie33	tsʰa325	tɕʰie35	
124	财		tsɑ13	za325	dʑie325	zie212	tsʰiᴇ22	ʑie212	za214	dʑie214	
125	该		kɑ35			kei55	ciᴇ53	kai33	kɛi55	kai55	
126	改		kɑ53	tsie35/kai53	kie334	kie325/kɛ325	ciᴇ33	kie33/kai55	kɛi53	kai53	
127	开		hɑ35	huɤ55	huɤ55		cʰiᴇ53	hai35			
128	海		hɑ53	hai53	hai53	hɛ325	çiᴇ33	hai33	hɛi53	hai53	
129	爱		ŋɑ31	ʔai212			iᴇ13				
130	贝		pei31	pɤ212			pᴇ13	ɓei33		pi55/pei35	
131	带		tɑ31	tie212	tie212	tie33	tiᴇ13	ɗie53	ta325	tie35	
132	盖		kɑ31	kuɤ212	kuɤ212	kui33	ciᴇ13	kai53	kuei325	tɕy35	
133	害		hɑ11	ɑu212	uɤ212	ei214	çiᴇ41	hai33	ɛi214	ɛi24	
134	拜		pɑ31	pie212	pie212	pie33	piᴇ13	ɓie53	pie325	pie35	
135	排		pɑ13	bie325	bie325	bi212	pʰiᴇ22	bie212	bɛi24	bie24	
136	埋		pei53				miᴇ22		mie24	mie214	
137	戒		kɑ31	tsie212/kai212	kie212/kai212	tɕie33	ciᴇ13	kie53	kɛi325	kai35	
138	摆		pɑ53	pie35	pie334	pie325	piᴇ33	ɓie33	pie24	pai53	
139	派		pʰɑ31	pʰie212	pʰie212	pʰɛ325	pʰiᴇ35	pʰie53	pʰɛi325	pʰai35	
140	牌		pɑ13	bie325	bie325	bi212	pʰiᴇ22	bie212	bie214	bie24	
141	买		mɑ41	mie53	mie34	mie214	miᴇ33	mie55	mie53	mie55	
142	卖		mɑ11	mie212	mie212	mie33	miᴇ41	mie33	mie214	mie24	
143	柴		tʃɑ13	ʑie325	dʑie325	dʑie212	tʃʰᴇ22	ʑie212	zɤɛ214	zɤɛ214	
144	晒		ʃɑ31	sie212	ɕie212	ɕie33	ʃiᴇ13	ɕie53	sɤɛ325	sɤɛ35	
145	街		kɑ35	tsie55	kie55	tɕie55	ciᴇ53	kie35	tɕie55	tɕie55	
146	解	～开	kɑ53	tsie53	kie35	tɕie325	ciᴇ33	kie33			
147	鞋		hɑ13	hie55	ie325	i212	çiᴇ22	hie212	ie24	ie24	
148	蟹		hɑ41			hɛ33	çiᴇ22	hai55	ɕie214	ɕie214	
149	矮		ŋɑ53	ʔie35	ʔie334	ʔie325	iᴇ33	ie33	ie24	ie24/ŋai53	
150	败		pɑ11	bie212	bie212	bie33	pʰiᴇ41	bie33	pie24	bie24	
151	币		pi11				pi13				
152	制		ki31			tɕi33	tʃi13	tsɿ35	tsɿ325	tsɿ35	
153	世		ʃai31/ʃi31	sie212		ɕi33	ʃi13	sɿ53	sɿ325	sɿ35	
154	艺		i11	ʔi212	i212		ɲiᴇ41	i33	i214	ȵi214	
155	米		mi41	mie53	mĩ34	mi214	mi33	mi55	mi53	mɤe55	
156	低		tai35	ti55		tɯ55	ti53	ɗi35			
157	梯		tʰai35	tʰie55	tʰi55	tʰɯ55	tʰi22	tʰi35	tʰie55	tʰɤe55/tʰi55	
158	剃		tʰai31	tʰie212	tʰie212	tʰɯ33	tʰi13	tʰi55	tʰi325	tʰie35	
159	弟		tai41		die34	dɯ0	tʰi33	di55			
160	递		ti11	die212	die212	dia53	tʰᴇ41	di33		dɤɛ214	
161	泥		nai13	ȵie325	ȵie325	nɯ̃33	ɲi22	li212	ȵi214	ȵɤɛ214	
162	犁		lai13	lɤ325	lɤ325	lɯ212	li22	li212	ti214	lɤɛ214	
163	西		sai35	sɤ55	sɤ55	sɯ55	si53	ɕi35	ɕi55	ɕi55	
164	洗		sai53	sɤ35	sɤ334	sɯ325	si33	ɕi33	ɕi24	sɤe24	
165	鸡		kai35	tsie55	ki55	tɕi55	ci53	tɕi35	tɕi55	tɕi55	
166	溪		ʃi35	sie55			çi22		tɕʰi55	tɕʰi55	
167	契		kʰi31	tsʰia55	kʰie212	tɕʰi33	cʰi13	tɕʰi35	tɕʰi325	tɕʰi35	
168	系	联～	ʃi31	sɿ0	ɕi212	ɕi33	çi13	hi33/hi35	ɕi214	ɕi0	
169	杯		pei35				pᴇ53	ɓei35	pei55	pei55	
170	配		pʰei31	pʰɤ212/pʰei212	pʰɤ212	pʰi33	pʰᴇ13	pʰei53	pʰi325	pʰi35/pʰei35	
171	赔		pei13	bɤ325	bɤ325	bi212	pʰᴇ22	bei212	bi214	bi214	
172	背	名词	pei11	bɤ212	bɤ212	bi33	pʰᴇ41	bei33	bei214	bi214	
173	煤		mei13	mɤ325	mɤ̃325	mĩ212	mᴇ22	mei212	mi214	mi214	
174	妹		mei35	mei212	mei212	mĩ214	mi41	mei35	mi0	mi0	
175	对		tei31	tɤ212	tɤ212	tɯ33	tyᴇ13	ɗuei53	tei325	ty35	
176	雷		lei13	lɤ325	lɤ325	lɯ212	lyᴇ22	luei212	lei24	dy214	
177	罪		tsuei11	zɤ212	dzɤ212	zɯ33	tsʰiᴇ33	zuei55	zei24	zuei214	
178	碎		suei31	sɤ212	sɤ212		syᴇ13	suei53	suei325	ɕy35	
179	灰		fei35	huɤ55	huɤ55/fɤ55	hui55	çyᴇ53	huei35	fei55	ɕy55/fei55	
180	回		kyi35							uei24	
181	外		uai11	ʔuai212	uɤ212	ui33	uei41	uei33		y24	
182	会	开～	fei11	huɤ212	uei212	uei214	huei24	huei33		uei214	
183	怪		kuɑ31	kua212	kye212	kuei33	cyᴇ13	kye53	kuɛi325	kuai35	
184	块		kʰuɑ31		kʰye212	ɕie33	cʰyᴇ13	kʰye53		kʰuɤɛ35	
185	怀		fai13	ʔua325	ye325		huɛ41	huai212		ye214/uɛi24	
186	坏		uɑ11	hua212	ye212	ye33	çyᴇ41	hye35	uɤ24	ye24	
187	拐		kuɑ53	kuai53	kye334	kuei325	cyᴇ33	kye33	kuɛi53	kuai53	
188	挂		kuɑ31	kua212	kua212	kua33	kua13	kua53	kua325	kua35	
189	歪		uɑ35	uai55	ye55	uei55	yᴇ53	ye35	uɛi55	uai55	
190	画		fɑ31	hua212	ua212	ua33	hua13	hua33	ua214	ua214	
191	快		kʰuɑ31	kʰua212	kʰye212	kʰuei33	cʰyᴇ13	kʰye53	kʰuɤɛ325	kʰuɤɛ35	
192	话		huo11	ʔua212	dzai212		hua41	zai33	ua24	ua24	
193	岁		suei31	sɤ212	sɤ212	sɯ33	suei13	suei53	sei325	ɕy35	
194	卫		yi11	ʔuei212	uei212		uᴇ13	uei33	uei214	uei35	
195	肺		fai31	huei212	ɕye212	fi33	huei13	huei53	fei325	ɕy35	
196	桂		kyi31	kuei212	kuei212	tɕye33/kuei33	kuei13	kuei53	kuei325	kuei35	
197	碑		pei35	pei55	pei55	pie53	pᴇ53	ɓei35	pi55	pi55	
198	皮		pi13	bi325	bi325	bi212	pʰᴇ22	bei212	bi214	bi214	
199	被	～子	pi41	bi212	bi34	bie214	pʰᴇ33	bei55	bi53	bi24	
200	紫		tsɿ53		tsɿ334	tsɿ325	tsɿ33	tsʰɿ55	tsɿ53	tsɿ53	
201	刺		tsʰi31	tsɿ212	tɕʰi212	tsʰei33	tsʰɛ13	tsʰuei53	tɕʰi325	tɕʰi35	
202	知		tʃi35	tsɿ55	tɕy55	tɕi55	tʃi53	tsɿ35	tsɿ55	tsɿ55	
203	池		tsi13	zɿ325			tʃʰi22	zɿ212	zɿ214	zɿ24	
204	纸		tʃi53	tsɤ35	tsɿ334	tsɿ325	tʃi33	tsɿ33	tsɿ24	tsɿ24	
205	儿										
206	寄		ki31	tsɿ212	ki212		ci13	tɕi53	tɕi325	tɕi35	
207	骑		ki13		ɡi325	dʑi212	cʰi22	ʑi212		dʑi214	
208	蚁		i0				i13				
209	义		i11	ʔi212	i212	i214	i13	i55/i35	ȵi214	ȵi214	
210	戏		hi31	hi212	hi212	ɕi33	çi13	hi53	ɕi325	ɕi35	
211	移		i13	i325	i325	i212	i22	i212		i214	
212	比		pi53	pi53	pi334	pie325	pᴇ33	ɓei33	pi53	pi53	
213	屁		pʰi31	pʰi212	pʰi212	pʰie33	pʰi13	pʰei53	pʰi325	pʰi35	
214	鼻		pi11	bi212	bĩ212	biẽ214	pʰᴇ41	bei33	bi24	bi24	
215	眉		mi13	mi325	mĩ325		mᴇ22	mi212	mi214	mi214	
216	地		ti11	di212	di212	dei33	tʰɛ41	duei33	di24	di24	
217	梨		li13	li212	li325	lei212	lɛ22	luei212	ti214/li214	li35	
218	资		tsɿ35	tsɿ55	tsɿ55	tsɿ55	tsɿ22	tsɿ33	tsɿ55	tsɿ55	
219	死		si53	sɿ35	ɕi334	sɛ325	sɛ33	suei33	ɕi24	ɕi24	
220	四		si31	sɿ212	ɕi212	sei33	sɛ13	suei53	sɿ325	ɕi35	
221	迟		ti35	di325	di325	dɛ212	tʰɛ22	zɿ212		zɿ214	
222	师		sɿ35	sɤ55/sɿ55	sɿ55	sɿ55	sɿ53	sɿ35/sɿ33	sɿ55	sɿ55	
223	指		tsɿ53	tsɿ53	tsɿ53	tsɿ325	tʃi33	tsɿ55	tsɿ53	tsɿ53	
224	二		ȵi11	lɑu53		ɤ214	nɛ41	ȵiuŋ55	ɤɛ325	ȵi24	
225	饥	～饿	ki35			tɕi55	ci53	tɕi55	tɕi0		
226	器		kʰi31	tsʰɿ212	kʰi212	tɕʰi33	cʰi13	tɕʰi53	tɕʰi325	tɕʰi35	
227	姨		i13			i212	i22		i24	i0	
228	李		li41	li53	li53	lɛ214	lɛ33	luei55	li53	di55/li55	
229	子		tsɑ53								
230	字		tsi11	zɿ212	zɿ212	zɿ33	tsʰɿ41	zɿ33	zɿ214	zɿ214	
231	丝		si35	sɿ55	sɿ55	sɿ55	sɿ53	sɿ35	sɿ55	sɿ55	
232	祠		tsɿ13	zɿ325	zɿ325	zɿ212	tsʰɿ22	zɿ212	zɿ214	zɿ24	
233	寺		tsi11		zɿ212	zɿ214	tsɿ13	zɿ35	zɿ214	zɿ24	
234	治			zɿ212	dʑy212	dʑi214	tʃi13	zai33/zɿ35	zɿ214	zɿ24	
235	柿				zɿ212	zɿ214	ʃi13	sɿ35	zɿ214	zɿ214	
236	事		sɿ11	zai212	dzai212	dzɛ33	tʃʰɛ41	zai33	dei24		
237	使		sɿ53	sai55	sai334		ʃi33	sai33	sɛi55		
238	试		ʃi31	sɤ212	sɿ212	sɿ33	ʃi2	sɿ53	sɿ325	sɿ35	
239	时		ʃi13		zɿ325	zɿ212	ʃi22	sɿ212	zɿ214	zɿ24	
240	市		sɿ35	zɿ212	zɿ212	zɿ214	ʃi13	sɿ35	zɿ214	zɿ214	
241	耳			ɤ53	ɤ̃34	ʔɤ214			ȵie53	ȵie55	
242	记		ki31		ki212	kɯ33	ci13	tɕi53	tɕi325	tɕi35	
243	棋		ki13	zɿ325	ɡi325	dʑi212	cʰi22	ʑi212	dʑi214	dʑi214	
244	喜		hi53	hi55	hi53	ɕi325	çi33	hi33	ɕi53	ɕi53	
245	意		i31	ʔi212	i212	i325	i13	i53	i325	i35	
246	几	～个	ki53	tsɿ35	ki53	tɕi325	ci33	tɕi33	tɕi24	tɕi24	
247	气		kʰi31	tsʰɿ212	kʰi212	tɕʰi33	cʰi13	tɕʰi53	tɕʰi325	tɕʰi35	
248	希		ʃi35			ɕi55	çi53	hi33	ɕi55	ɕi55	
249	衣		i35	i55	i55	ʔi55	i53	i35	i55	i55	
250	嘴		tsɿ53	tsuei35	tɕy334	tɕiɯ33	tsuei33	tsei53		tɕy24	
251	随		tsuei13				tsʰuei22	suei212	zuei214	zuei24	
252	吹		tʃʰyi35	tsʰy55	tɕʰy55	tɕʰye55	cʰy53	tɕʰy35	tɕʰy55	tsʰu55	
253	垂						suei41	suei212			
254	规		kyi35	kuei55	kuei55	kui53	kuei53	kuei35	kuei55	kuei55	
255	亏		kʰyi35	tsʰy55	kʰuei55	kʰui55	kʰuei53	kʰuei35	kʰuei55	kʰuei55	
256	跪		kyi11	ʑy212	ɡy212	dʑye33	kʰuei41	ɡuei33	ɡuei214	dʑy214	
257	危		uei13	uei55	uei325	ui35	uei22	uei212	uei55	uei24	
258	类		lei11	lei212	lei212		lei13	luei35	lei214	luei35	
259	醉		tsɿ31	tsuei212	tɕy212	tsei33	tsuei13	tsuei53	tsuei325	tɕy35	
260	追		tʃyi35	tsy55			cy53	tɕy35		tɕy55	
261	锤		tu13	ʑy325	dʑy325	dʑye212	tʰuei22	ʑy212	dʑy214	zu214	
262	水		fi53	sy35	ɕy334	ɕye325	çy33	suei33	ɕy24	su24	
263	龟		kyi53	kuei55	kuei55	tɕy0	kuei53	kuei33	kuei55	kuei55	
264	季		ki31		ki212	tɕi33	ci13	tɕi35	tɕi325	tɕi35	
265	柜		kyi13	ʑy212	ɡy212	dʑye33	kʰuei41	ɡuei33	ɡuei214	dʑy24	
266	位		yi11	ʔuei212	uei212	uei214	uei41	uei33	uei214	uei35	
267	飞		yi35	hy55	huei55	fi55	huei53	bei35	fei55	ɕy55	
268	费		fei35	huei212	huei212	fi33	huei13	huei35	huei325	fuei35	
269	肥			uei325		vi212	huei22	huei212		y214/uei24	
270	尾		mi41	mi55	mĩ34	mie214	mᴇ33	uei55	mi53	mi55	
271	味		yi11	ʔy212	uei212	vi214	uɛ41	uei33	uei214	uei214	
272	鬼		kyi53	tsy35	ky334	tɕye325	kuei33	kuei33	kuei24	tɕy24	
273	贵		kyi31	tsy212	ky212	tɕye33	kuei13	kuei53	kuei325	tɕy35	
274	围		yi13	y325	y325	ye212	uei22	uei212	uei214	y214/uei24	
275	胃			ʔuei212	uei212		uᴇ13		uei214	uei35	
276	宝		pɤu53	pu35	pu334	pu325	pu33	ɓu33	pu24	pu24	
277	抱		pɤu41	bu212	bu34	bu214	pʰu33	bu55			
278	毛		mɤu13	mu325	mũ325	mũ33	mu22	mu212	mu214	mu214	
279	帽		mɤu11	mɑu212	mũ212	mũ33	mu41	mu33	mau214	mu24	
280	刀		tɤu35	tu55	tu55	tu55	tu53	ɗɤu35	tu55	tu55	
281	讨			tʰu35/tʰɑu53	tʰu35/tʰau53	tʰu325/tʰɑu212	tʰu33	tʰɤu33/tʰau55	tʰu24	tʰu24	
282	桃		tɤu13	du325		du212	tʰu22	dɤu212	du214	du21li35	
283	道		tɤu11	du212/dɑu212	dau212	dɑu214	tʰu41	dau35	dau214	du214/dau214	
284	脑		nɤu41		lau53		lu33	lau55			
285	老		lɤu41	lu53	lu34	lu214	lu33	lɤu55	lu53	lu55	
286	早		tsɤu53	tsu35	tsu334	tsu325	tsɿ33	tsɤu33	tsu24	tsu24	
287	灶		tsɤu31	tsu212	tsu212	tsu33	tsɿ13	tsɤu53	tsu325	tsu35	
288	草		tsʰɤu53	tsʰu35	tsʰu334	tsʰu325	tsʰɿ33	tsʰɤu33	tsʰu24	tsʰu24	
289	糙		tsʰɤu31	tsʰu212	tsʰu212	tsʰu33	tsʰɿ13	tsʰɤu53	tsʰa325		
290	造		tsʰɤu41	zu212	dzu212/dzau212	dzu214/dzɑu214	tsʰau13	zɤu33/zau35		zau214	
291	嫂		sɤu53	sɑu53	su0	su0	sɿ33	sɤu33	sau53	sau53	
292	高		kɤu35	ku55	ku55	ku55	ku53	ku35	ku55	ku55	
293	靠		kʰɤu31	kʰu212	kʰu212	kʰu33	kʰu13	kʰu53	kʰu325	kʰau35	
294	熬		ŋɤu13	u325	u55	ŋɑu53	ŋau22	u212		ŋau24	
295	好	～坏	hɤu53	hu35	hu334	hu325	hu33	hu33	fu24	fu24	
296	号	名词	hɤu11	hɑu212	au212	u214/ɑu214	hau13	hau35	u214/hau214	au214	
297	包		pɑu35	piou55	piɔu55	piɔu55	piau53	ɓiɔu35	puo55	puo55	
298	饱		pɑu53	piou55	piɔu334	piɑu325	piau33	ɓiɔu33	puo24	puo24	
299	炮		pʰɑu31	pʰiou212	pʰiɔu212	pʰiɔu33	pʰiau13	pʰau35	pʰau325	pʰau35	
300	猫		mɑu31	mɔu55	mau55	miẽ55	miɤu13	miɔu212	mau55	mau214	
301	闹		nɑu11	lɑu212	lau212	lɑu214	lau13	lɤu33	lau325	nuo24/lau35	
302	罩		tʃɑu31	tsuo212	tsuɔ212	tsuo33	tʃuo13	tsuo53	tuo325	tsuo35/tsau35	
303	抓		tʃuɑ35	tsua55		tsua55	tʃua53	tsua35	tuo55	tsuo55	
304	找		tʃɑu53	tsuo35			tʃuo33	tsuo33			
305	抄		tsʰɑu35	tsʰuo55	tsʰau55	tsʰuo55	tʃʰuo53	tsʰuo35	tsʰau55	tsʰau55	
306	交		kɑu35/tʃɤu35	tsyo55	kyo55	ʔyõŋ214	cyɔ53	tɕyo35	tɕyo55	tɕiau55	
307	敲		kʰɑu35	tsʰyo55	kʰau55	kʰɑu55	kʰau53	tɕʰyo35	tɕʰyo55	kʰau55	
308	孝		ʃɑu31	hyo212	hiau212	ɕiɑu33	çyɔ13	hiau35	ɕiau325	ɕiau35	
309	校	学～	ʃɑu31	siɑu212	ɕiau212	ɕiɑu33	çiau13	hiau35		iau214	
