tsɿ	1陰平	支枝肢資姿咨滋之芝姕{女陰，俗字}知=癡□{手哩uai3~，手欠}□{~tɕy1，不捨得花錢}
tsɪŋ	1	曾增憎精晶正{~月}征唚{吮}蒸
	2	鄭={官}
	3	枕整□{量詞，(房間)一間}軫{羅~，地名}井={大~頭，地名}震
	5	贈浸{淹没，溺水}甑{把冷菜加热}正{擺~}
tshɪŋ	1	親清={(視野)清晰}稱{~重}郴逞{~兇，形容人脾氣火爆}青={篾~}
	2	塵曾{還冇~，還没}橙情程成={年~}城誠沈埕{小缸}□{u2~，忘本}
	3	懲□{用手撑下巴}請{請神}□{上下攪動}□{慢悠悠地走}
	5	襯鄭{姓~}净{白~}秤稱{匀~}誠={官}□{用木棍頂住門}□{用桶浸下去打水}
sɪŋ	1	心森辛新身申孫=生=牲=笙甥星腥聲=芯針{挑~，麥粒腫}
	2	神成-□{抓撓}晨辰唇承信={迷~}
	3	什{~物，什麼}省醒□{木材腐壞}
	5	信姓鉎{鏽}□{~腸，仔腸}擤
kɪŋ	1	今金跟根巾斤筋更{~換}庚耕京荊{黄~葉，牡荊}驚經莙{~蔸菜，莙薘菜}
	2	更={官。~加}
	3	緊耿□{皮~，二胡}
	5	更{~加}鏡敬逕{~口，地名}禁{~止}□{~水，用藥劑翻新銅器}勁
khɪŋ	1	頃{時~，時候}坑
	2	芹琴勤
	3	肯墾懇啃腎-{雞~，雞肫}
	5	□{匍匐，伸手去夠}
ŋɪŋ	1	眼{~珠}恩岸鷹{岩~，老鷹}
	2	銀{~紙，錢}
	3	眼{~孔}引
	5	硬=
hɪŋ	1	牽-
	2	鹹痕恒衡桁{量詞，一根}
	3	狠
	5	恨横={官}
ɪŋ	1	陰因茵{綠~，十分綠}□{拼接}應{~該}姻{~緣}□{~只，那什麽}蔭{用懷抱庇護}
	2	
	3	飲□{~腳，硌腳，俗字𱴨}
	5	應{答~}潤{洇墨}印飲{使濕潤}
piŋ	1	兵=冰=彬賓檳殯鬓
	2	並={官}
	3	丙=秉禀餅=
	5	
phiŋ	1	拼
	2	聘={官}平={太~}
	3	品=
	5	憑={官}評={官}萍={官}蘋={官}貧={官}頻={官}
miŋ	1	
	2	命={官}
	3	抿=敏=憫=
	5	鳴={官}銘={官}民={官}
tiŋ	1	丁=汀=
	2	定={官}訂={官}
	3	頂=鼎=
	5	
thiŋ	1	廳=聽=
	2	
	3	挺艇
	5	廷={官}庭={官}
liŋ	1	拎
	2	賃={官}吝={官}令={官}另={官}
	3	嶺=領=
	5	迎={官。~春，地名}凌={官}菱={官}磷={官}鈴={官}陵={官}
tɕiŋ	1	針=斟津珍真=偵貞禁{不~}睛莖僅=筋=
	2	進={官}盡={官}陣={官}靜={官}勁={官}晉={官}禁={官。~止}竟={官}竞={官}
	3	疹診拯景警震=振緊=謹=錦境=
	5	
tɕhiŋ	1	侵傾卿欽
	2	慶={官}磬={官}近={官}
	3	寢頃
	5	腎{雞~，又音}腈={官。~綸}尋={官}擒={官}禽={官}秦={官}
ȵiŋ	1	
	2	寧={官。~可}
	3	擰
	5	寧={官。安~}凝={官}
ɕiŋ	1	新伸升興{~旺}
	2	興={官。~趣}杏={官}幸={官}性={官}勝={官}
	3	瀋省{反~}
	5	行={官。有本事}
iŋ	1	嬰櫻殷纓英音鸚鶯
	2	垠{~頭，田埂}贏
	3	癮忍穎隱尹飲=寅
	5	吟={官}淫={官}盈={官}蠅={官}
tuɪŋ	1	蹲飩
	2	盾={官}燉={官}
	3	
	5	噸
thuɪŋ	1	吞=
	2	
	3	
	5	屯={官}豚={官}臀={官}
nuɪŋ	1	
	2	嫩={官}
	3	
	5	
luɪŋ	1	掄
	2	輪{~轂}論={官}
	3	
	5	論侖={官}淪={官}倫={官}
tsuɪŋ	1	尊遵
	2	
	3	準=准=
	5	
tshuɪŋ	1	春=村=椿=
	2	寸={官}
	3	蠢=
	5	存={官}
suɪŋ	1	孫=
	2	順={官}
	3	損=筍=
	5	純={官}淳={官}剩=
kuɪŋ	1	軍-
	2	棍={官}
	3	磙{~礅}滚{岩泉音}
	5	棍{岩泉音}
khuɪŋ	1	葷昆坤崑婚
	2	蜷{身体缩成一團蹲著，伏}
	3	捆
	5	困睏
huɪŋ	1	昏餛
	2	魂混={官}
	3	混
	5	渾={官}混
uɪŋ	1	□{斜眼看}瘟溫
	2	蚊{~香}紋{~身}文{~墨，才華}聞
	3	穩=
	5	紋={官}
tɕyŋ	1	君=軍=鈞均尊遵
	2	俊={官}
	3	準={準確}
	5	俊
tɕhyŋ	1	春
	2	羣裙{岩泉音}
	3	蠢=菌={官}
	5	鶉={官}
ɕyŋ	1	勳熏薰
	2	迅={官}訊={官}唇{又音}逊={官}舜={官}馴={官}剩={官}訓={官}
	3	
	5	巡={官}順{跟随}
yŋ	1	暈
	2	匀雲熨={官}韻={官}
	3	允=永{~州}泳
	5	營={官}運=
pɑŋ	1	帮邦□{(將污漬等)蹭掉}崩{牙崩，山崩}梆{硬~，十分硬}
	2	旁螃龐憑{攙扶}
	3	榜綁膀
	5	謗傍棒□{梯田間的土坡}□{偷看}磅
phɑŋ	1	胮{臭~，十分臭}肨{腫~，十分腫}□{煙~，煙十分嗆}□{~頭鰱魚，大頭鰱}
	2	胖={官}
	3	□{用身體碰}蚌{~~膏，河蚌}
	5	胖□{羣體}
mɑŋ	1	網{動詞}望{擡頭}
	2	忙芒{~種}茫
	3	莽蟒妄{打~話，亂說話}網{名詞}𩛲{~~，小兒語饭}
	5	盲={官}望={盼望}蜢□{一~，一大堆}
fɑŋ	1	方芳坊
	2	房防
	3	仿紡彷訪
	5	肪={官}放妨={官}
tɑŋ	1	当
	2	堂棠螳唐糖塘□{~水，蓄水}
	3	黨擋□{碰}
	5	□{攙扶}蕩□{快~，快}當{~日}
thɑŋ	1	湯
	2	趟={官}
	3	躺盪{涮，用水衝}
	5	燙趟□{扇(耳光)}□{動物分娩}趤{iəu1里ia3~，遊手好閑}
nɑŋ	1	□{糊~，十分坨}
	2	瓤
	3	□{晃}□{窩~，盆地}
	5	䑋{油膩}囊={官}□{得病}
lɑŋ	1	□{稀疏}
	2	狼榔{~頭}郎{~頭崽，女婿}
	3	朗□{歡樂。~滿，歡樂}
	5	崀{高~田，梯田}浪□{~子，横著的小木条，起支撑作用}□{pha3~，拴在牛頭上的繩}廊=榔={官}
tsɑŋ	1	贓髒章樟莊裝=
	2	藏={官}賬={官}障={官}
	3	長漲掌
	5	葬藏賬帳仗杖障狀
tshɑŋ	1	倉=瘡=蒼昌窗
	2	藏長{~沙}場
	3	厰闖
	5	撞
sɑŋ	1	桑商傷上{岩泉音。動詞}雙喪霜
	2	常嚐{岩泉音}償
	3	賞尚□{量詞，一截}倘{如果}爽{米飯水分少}嗓{大聲叫喊，訓斥}磉{墊桌角}□{我~你吃！意即誰讓你吃的}
	5	上{岩泉音。名詞}尚
kɑŋ	1	岡剛綱缸鋼=江豇哽{噎住}崗
	2	□{狗叫聲}
	3	講港梗{甘蔗}
	5	□{腈~，肉十分精瘦}虹杠{橫杠。用杠支撐}
khɑŋ	1	康慷□{頃~，現在}□{門~，門檻}□{精~，吝嗇}
	2	抗={官}
	3	
	5	抗□{撞，磕碰}鄺-□{墓坑}
ŋɑŋ	1	□{磕碰}
	2	□{摩托發動聲}
	3	
	5	
hɑŋ	1	夯
	2	䛭{斥責}行{銀~}
	3	□{發霉的氣味}
	5	杭={官}巷炕{烘干}□{手~，手鐲}
ɑŋ	1	□{~心，内向}□{打一拳}
	2	盎={官}
	3	□{曬乾}影{刺眼}□{目擊}
	5	□{病怏怏}
tiɑŋ	1	
	2	
	3	
	5	脹{又音}
liɑŋ	1	兩{又音}
	2	凉糧梁
	3	兩{重量單位}□{順帶}
	5	亮晾量靚{漂亮}
tsiɑŋ	1	將{~來}漿
	2	
	3	獎
	5	醬
tshiɑŋ	1	槍窗
	2	牆
	3	鏘{~剪刀}
	5	像戕匠
siɑŋ	1	箱湘
	2	
	3	想
	5	相
tɕiɑŋ	1	將{~來}漿疆僵姜繮薑
	2	降={官}醬={官}
	3	蔣獎槳咁{如此，多麽}
	5	醬噉{~嘅，这樣，俗字}糨{~糊}□{搞~，蛇交配}
tɕhiɑŋ	1	槍羌腔窗{光~，窗户}菖{~蒲}
	2	牆强□{撑開(袋子)以便裝東西}
	3	搶=□{臍~帶，臍帶}
	5	詳={官}翔={官}祥={官}像戕{斜，斜著走}嗆匠像□{~頭公，肛門}
ȵiɑŋ	1	仰
	2	娘=
	3	仰=
	5	釀讓
ɕiɑŋ	1	箱厢湘襄鑲香鄉□{篿~}
	2	象={官}像={官}向={官}
	3	想享响
	5	相{看}象向嚮降={官。~伏}□{詈語，…个頭}
iɑŋ	1	縈{繞線團}央{邀請}□{~李，一種水果，似李而小}
	2	楊羊陽□{~嘅，怎麽}揚□{~~眼，眯眯眼}
	3	氧佯養=□{副詞，干脆}
	5	樣螢{~花蟲蟲，螢火蟲}□{雷火~，电閃}揚{招手}
tsuɑŋ	1	莊裝妝
	2	撞={官}状={官}
	3	
	5	壯=狀=
tshuɑŋ	1	瘡=窗=
	2	創={官}
	3	闖
	5	創
suɑŋ	1	霜=孀=雙=
	2	
	3	爽=
	5	
kuɑŋ	1	光
	2	逛={官}□{酸~，十分酸}
	3	广
	5	逛
khuɑŋ	1	哐框筐
	2	狂况={官}曠={官}鄺={官}
	3	哐{關門聲。也作動詞，關門}□{鬆~，十分鬆}□{大口吃}
	5	鑛鄺曠
huɑŋ	1	荒慌
	2	皇磺
	3	謊晃
	5	凰={官}簧={官}
uɑŋ	1	網{又音}嗡{蚊蟲聲}枉
	2	黄王蝗蟥□{~ua5，蠻橫}
	3	網=往
	5	亡={官}忘旺□{抛}
ŋ̍	1	嗯
	2	嗯
	3	唔{不}嗯
	5	嗯
