#i
p [1] 冰- 
z [1] 热{～起子，痱子}
k [1] 革隔 [6] 盖²{圪膝～}
k' [1] 客
ŋ [1] 厄扼

#iɪ
p [1] 憋鳖
p' [1] 撇 [I] 谝
t [1] 跌 [0] 甲{指～}
t' [1] 铁帖 [2] 碟蝶谍牒
tø [1] 接节=
tɕ' [1] 切1{～菜} [2] 钱-
n [1] 疟捏 [H] 蹑{~~地：悄悄地}
ɕ [1] 蝎歇 [4] 鞋= [5] 些=
ø [1] 叶噎椰矣揖 [2] 爷= [H] 也= [5] 燕-

#uɪ
ts [1] 拙
ts4 [1] □{脏里圪～，形容很脏}
s [1] 蝉{～～：一种蝗虫}
k [1] 捆
x [1] 或划{这字几～} [6] 获-

#yɪ
tɑ [1] 决诀
tɕ' [1] 缺圈{老 圆～}阙欄圈{羊~}
ɕ [1] 雪血恤
ø [1] 悦阅月越曰粤 [4] 圆- [8] 院{老}

#ʑ
p [1] 陛裨 [3] 比 [5] 闭 [6] 备=蔽
p' [1] 彼批披辟 [2] 皮啤脾 [5] 痹屁僻 [6] 避庇毙币备-
m [2] 迷谜糜弥靡眉楣觅 [3] 米咪
t [1] 鸡-的¹ [3] 底抵 [5] 继-帝 [6] 瓶
t' [1] 梯 [2] 堤提蹄涕题 [3] 体弃-启- [5] 剃替 [6] 地弟递第嚏
n [1] 衣-医-依-{不~你} [2] 倪宜疑谊泥呢 [3] 椅你 [5] 意-
l [4] 犁黎篱离隶梨厘丽 [3] 礼李里理 [6] 履利痢栗吏例猁{圪~}
tɕ [1] 稽饥肌基姬己机讥鸡= [3] 几矶挤 [5] 际济祭计寄纪冀记季继=给{供~制}妓剂 [0] 去-⁴{回~么}
tɕ' [1] 欺期妻起{~面：面子} [2] 祁其棋旗脐骑歧齐 [3] 岂起{~来}弃=启= [5]气汽器去-¹ [6] 企技忌妓
ɕ [1] 希稀熙牺凄陈西栖痱 [2] 膝肥- [3] 喜嘻嬉洗 [5] 细费-{~人} [6] 系戏
ø [1] 依=已医=衣= [2] 姨移榆-{~树} [3] 以尾1 [5] 易忆=意=亿一=乙= [5] 蚁义仪饴怡艺呓刈缢议异毅

#β
p [3] 捕补堡 [5] 布怖
p' [1] 扑朴 [2] 簿{帐~}菩仆 [3] 普谱 [5] 璞铺 [6] 步部卜胡{萝~}
m [2] 模{~子}谋某 [3] 亩母拇牡 [6]暮慕幕墓牧
t [1] 都 [3] 赌妒督 [5] 堵 [6] 笃
t' [1] 凸 [2] 徒屠途图 [3] 吐 [5] 兔 [6] 肚度渡镀
ts [1] 猪渚株诛蛛朱珠 [3] 煮主注铸 [6] 吊驻往著住=
ts' [1] 吹锥 [2] 除厨殊槌 [6] 处柱住-
s [1] 书=
k [1] 姑辜箍孤轂 [3] 古估股故固雇 [6] 鼓咕{～：烟水声}
k' [1] 枯 [3] 苦 [5] 裤库
x [1] 呼乎 [2] 胡湖糊狐壶核斛 [3]虎 [6] 户互瓠护
ø [1] 悟午乌污圬屋焐 [2] 吴梧吾 [3] 五伍 [6] 误悟

#v̩
f [1] 输书-舒叔 [2] 敷俘浮恕符扶谁-庶 [3] 枢赴讣水-釜鼠斧府腐 [5] 黍薯副俯赋附戍 [6] 树睡-父竖
ø [2] 无如儒病 [3] 武鹉汝女- [6] 抚诬舞侮雾务乳

#ɿ
ts [1] 支枝肢资姿咨脂滋兹梓滓知豉之芝汁蛰 [2] 指1 [3] 紫纸姊仔籽 [5] 旨至止稚秩窒智致趾址志痣滞制刺{圪~} [6] □{如～：称心}
ts' [1] 叱吃1鸱痴 [2] 疵瓷磁慈糕池驰迟[3] 噬此齿 [5] 刺{~刀}翅次伺雌 [6] 自{~家}□{不~：扯布声}
s [1] 斯赐撕施私师示尸矢已饲侍始视司丝似思祀驶眵 [2] 匙辞词祠时 [3] 死屎使史 [5] 四试世势誓式逝 [6] 是氏寺嗣士仕事市恃

#ɯ
p [1] 播-玻帮-菠 [3] 跛簸
p' [1] 波颇坡勃 [2] 婆 [5] 破
m [2] 馍磨摩忙-
f [1] 方-{四~} [2] 房-防-仿-2 [3] 纺- [5] 放-
v [2] 芒- [3] 网- [6] 忘-望-
t [1] 多当-裆 [2] □{这~：这儿} [5] 当-{~铺}挡-
t' [1] 拖 [2] 驮舵堂- [6] 大
n [1] 诺懦 [2] 挪 [6] 糯
l [1] 捞-{河~} [2] 罗锣箩骡狼-萝螺螂-{~蹦蹦：螳螂} [6] 骆浪-
ts [1] 张- [3] 长-{~得高}左佐涨-掌-
ts' [1] 梭苍-{~蝇} [2] 长-场-肠- [5] 唱- [6] 丈-{~人} [0] 着
s [1] 伤-桑-裳-商- [2] 尝- [3] 晌-2 [6] 上-
z [2] 瓤-
k [1] 歌钢- [2] 哥嗝
k' [1] 轲苛糠-2康- [3] 可2{~以} [5] 炕-烤-
ŋ [1] 鳄屙 [2] 蛾-俄鹅鄂讹 [3] 我 [6] 饿
x [2] 河-何行-{~手：内行}合{一~事：一件事} [3] 荷1{拿} [6] 贺行-{一~}巷-

#iɯ
n [2] 娘-

#ər
ø [2] 而耳儿 [3] 饵尔 [6] 二贰

#ɑi
p [1] 伯={大~子} [2] 白= [3] 摆 [5] 拜
p' [2] 排牌 [5] 泊{~池} [2] 派败
m [2] 埋 [2] 买 [2] 卖迈
t [1] 呆待{~一会} [5] 戴带袋=胎{车~}殆贷大{~夫}代{~数}逮
t' [1] 态胎{~盘} [2] 台苔 [H] 忙 [5]太泰袋- [6] 待{对~}
n [1] 挨1{~着哩} [2] 崖挨2{~打} [3] 乃奶 [6] 待{对~}
l [2] 来= [6] 赖癞懒
ts [1] 灾栽斋 [3] 宰 [5] 债载{年~} [6] 寨=在=再
ts' [1] 猜差{出~} [2] 才财裁豺 [3] 彩采 [5] 菜蔡 [6] 在-
s [1] 腮 [2] 柴 [3] 筛 [5] 赛晒 [6] 寨-
z [3] 奶-
k [1] 该 [3] 改 [5] 概盖
k' [1] 开= [3] 凯慨揩
ŋ [1] 哀埃矮霭 [5] 爱 [6] 碍艾
x [1] □{多}咳 [2] 孩1鞋-骇 [3] 海嗨解{~不下：不懂} [6] 害解{姓}
ø [1] 唉

#uɑi
ts [5] 拽
s [1] 衰 [5] 帅率
k [1] 乖 [4] 扔 [5] 怪
k' [5] 快筷会{~计} [9] 块
ø [1] 歪 [4] □ {将小木棍之类折断} [9] 外

#ei
p [1] 碑杯悲北=背动词 [5] 辈背{~部}臂蹦-{~~：一种蝗虫}
p' [1] 胚{~胎}坯培 [2] 陪盆老赔裴棚蓬 [2] □{茅～：茅板} [5] 配佩辔 [9] 倍笨
m [2] 媚梅枚玫媒煤 [3] 每美 [5] □{~~: 奶头} [6] 妹昧寐
f [1] 非飞妃菲 [2] 肥= [5] 废肺吠费=匪
v [2] 薇薇惟维唯 [H] 尾² [6] 味未
t [1] 得
t' [6] □{不～：挣扎}
n [6] 缓内
l [2] 雷来 [3] 冷- [6] 僵累{劳～}□{不～：人受惊动作}类泪笼□{墙塌下来}
ts [1] 蒸-正-{~月}睁-争- [2] 贼 [5] 整-{～理}
ts' [1] 车={汽~}称 [2] □{小孩哭闹} [3] 扯= [5] 秤- [6] □{不～：掉到水里的声响}
s [1] 生-甥-声- [2] □{～服；弄好了，完成了}蛇□{刷洗} [3] 赦摄 [5] 厮 [6] 社=剩-射-
k [3] 给
k' [1] 开-
ŋ [1] 额
x [2] 醒-²{~面}孩² [3] 黑 [6] 杏-

#uei
t [1] 堆 [2] □{太~：指小孩到了走路年令而不会走路} [5] 对 [6] 队
t' [1] 推 [3] 腿 [5] 退颓 [6] 兑
ts [3] 嘴拙 [5] 醉坠最
ts' [1] 催崔吹=炊 [6] 最
s [1] 虽 [2] 随髓绥隧遂 [3] 水={吃汤~} [5] 岁=碎瑞 [6] 穗睡
z [6] 锐
k [1] 圭闺规龟轨归 [3] 鬼 [5] 桂贵魂 [6] 柜=
k' [1] 盔亏诡{~辩} [2] 魁傀奎逵葵 [5] 愧溃窥 [6] 柜-跪
x [1] 灰辉徽 [2] 回 [3] 贿悔麾毁挥 [5] 毁{~灭} [9] 汇晦会绘秽惠慧 [0] 环{戒~}
ø [1] 危巍威违伟畏纬 [2] 为{作~}围苇伪 [2] 委{~托} [6] 卫为{~喽什么呢}魏=慰胃煨谓{无所~}

#ɑo
p [1] 包抱鲍博 [3] 褒保宝饱 [5] 报豹 [6] 爆暴
p' [1] 胞抛刨 [2] 袍跑 [5] 泡炮=
m [1] 旺看 [2] 毛茅猫=矛 [3] 卯 [6] 冒帽貌茂贾
t [1] 刀{~子}叨倒{~眼} [H] 祷得{~他来}导 [5] 倒{~了}到盗悼岛 [6] 道=
t' [1] 掏 [2] 滴桃逃陶萄涛秧 [3] 讨 [5] 套稻 [0] 道=2{知～}
n [1] □{~豌：二号豌} [3] 脑恼 [2] 闹孬
l [2] 劳牢痨捞=涝唠醪 [2] 老姥 [6] 络{~住}烙 [0] 佬
ts [1] 遭糟召昭招沼诏 [3] 早枣蚤爪笊澡找 [5] 躁罩皂=照灶 [9] 赵{~钱孙李}兆肇
ts' [1] 抄钞巢操超翘 [2] 潮槽曹朝 [3] 草炒吵 [5] 躁发脾气 [6] 皂造赵{老～}
s [1] 腺梢捎稍骚烧 [2] 韶绍邵霞 [3] 扫少嫂 [5] 灶{~炉} [6] □人{或牲口往后退}
z [2] 饶 [6] 绕{~线}
k [1] 高膏{雪花~}羔=糕 [5] 膏{~油}稿{~纸}告{~诉}
k' [3] 考烤拷 [5] 靠犒
[2] 熬{～菜：将多样干鲜蔬菜炒后加水而成的菜}肮1 [2] 熬{～米汤} [3] 袄 [6] 傲奥懊
x [1] 蒿□{晒干、凉干} [2] 豪毫耗浩嚎壕 [3] 好 [5] 孝 [6] 号{吹～、～数}

#iɑo
p [1] 膀标彪 [3] 表
p' [1] 飘漂 [2] 瓤 [6] 票漂{~布}
m [2] 苗描瞄 [3] 秒 [5] 妙 [9] 菰渺 庙
t [1] 刁貂雕1交-胶-教-浇- [5] 钓吊掉=觉-{睡~} [6] 调=
t' [1] 挑{~拣}敲跷{高~} [2] 条调{~味} [3] 挑巧- [5] 跳粜翘2 [6] □{怂恿}调-轿-
n [3] 咬鸟 [5] 撬 [6]尿
l [4] 燎疗聊辽撩蓼 [3] 了 [5] 廖 [6] 料{马~}撂
tɕ [1] 交=胶=较{~量}骄娇矫浇=缴焦椒={花~} [2] 纹搅饺= [5] 校{~对}教=
tɕ' [1] 敲= [ī] 乔桥荞樵瞧缘 [3] 巧=悄 [ī] 窍俏 [6] 轿=
ɕ [1] 消霄肖销硝嚣啸箫 [3] 小 [5] 孝=笑晓 [6] 效校{学~}
ø [1] 幺吆天妖邀腰要 [2] 摇姚谣窑 [3] 舀 [5] 杳 [6] 耀跃

#ou
t [3] 斗陡兜=抖 [5] 斗{~争} [6] 豆逗
t' [1] 偷 [ī] 投头 [3] 兜- [5] 透 [6] 豆 [0] 头{词尾}
n [2] 奴 [3] 努 [6] 怒
[2] 楼炉芦卢噜 [3] 篓=搂陋囟虏 [6]漏路赂露 [0] 喽
ts [1] 租组撮粥周舟州洲做=1咱 [2] 轴 [3] 走祖 [5] 邹绉骤咒肘昼皱做=2 [6]阻宙纣揍
ts' [1] 粗初猝抽 [2] 愁卒族绸稠筹仇酬 [3] 楚瞅丑 [5] 凑醋臭售 [6]奏助
s [1] 苏酥塑梳疏蔬搜收 [2] 锄 [3] 嗪漱数 动词、名词首手守擞1{抖～} [5] 素诉嗽瘦兽 [6] 寿授撒2
z [1] 肉= [2] 柔揉辱= [6] □{来回摇摆物体}
k [1] 勾钩沟垢构购 [H] 苟 [T] 够 [6] 狗
k' [1] 抠扣 [3] 口 [5] 叩
ŋ [1] 欧□深闭眼睛以事示人 [3] 藕偶呕殴 [5] 汲怄
x [2]侯喉猴□{~~：木偶戏} [3]吼[6]后厚

#iou
t [1] 丢结{没~果}雕2 [2] 𠇍{当地人名俗字}
t' [2] □{提：~篮子}
n [2] 牛 [3] 纽扭谬 [4] 拗右-
l [1] 六= [2] 流刘留榴硫琉 [6] 溜纲
tɕ [1] 揪鸠柩纠 [3] 灸酒久九韭 [5] 究救 [6] 蹴{圪~下}
tɕ' [1] 秋楸 [2] 求球 [6] 旧舅就蹴{别～到这里。}
ɕ [1] 休修羞宿{星~} [5] 秀绣锈朽 [6] 袖
ø [1] 忧优尤邮悠幽 [2] 由油游犹 [3] 有又诱幼友酉 [6] 右=佑

#ɑ̃
p [1] 般搬班斑颁扳帮邦 [3] 板版扮榜谤绑 [5] 半绊 [6] 伴=瓣辨棒
p' [1] 拼{~命}攀=袢 [2] 盘潘滂旁傍庞 [5] 盼判叛胖 [6] 办伴-拌
m [2] 馒蛮盲忙=茫芒=瞒 [3] 满莽 [6] 慢慢
f [1] 反翻番方=芳 [2] 潘烦繁凡帆妨肪房=防=坊仿= [3] 彆纺= [5] 贩泛放= [6] 饭犯范梵
v [1] 枉 [2] □{痰}亡 [3] 晚挽软-网=妄 [6] 万蔓忘=望=
t [1] 耽担丹单当= [3] 胆党谠{~故：猜谜} [5] 担石诞荡挡=档当= [6] 但旦弹=蛋=
t' [1] 贪滩摊瘫汤=倘 [2] 潭谭谈痰檀坛弹{~弓}螳=堂=唐糖塘 [3] 坦毯 [5] 探叹炭烫趟 [9] 淡蛋-弹-
n [1] 囊嚷艤 [2] 南男难 [6] 难{患~}
l [2] 蓝兰栏郎廊狼=螂= [3] 懒 [6]览揽拦滥烂乱朗浪=
ts [1] 簪脏臧瞻张=章樟毡 [3] 斩盏栈长=1 掌=障 [5] 蘸涨2{肚子~}占战葬帐账胀仗 [6] 暂站藏脏{心~}杖
ts' [1] 餐参昌苍= [2] 残蚕缠藏=长=肠=场=常=尝= [3] 铲产惭厂畅倡敞氅 [5] 灿唱= [6] 丈=
s [1] 三杉衫山珊扇{动词}桑=商=伤=裳= [2] 禅蝉谗赏 [3] 闪扇名词擅膳伞删疝嗓丧偿 [5] 散赡陕 [6] 善尚=上=
z [2] 然燃瓤{形容人弱}粘 [6] 让
k [1] 甘柑手肝竿冈岗刚纲缸肛钢=沿 [3] 感敢杆秆擀赶 [5] 干杠港
k' [1] 看照料东西康=糠=慷堪勘侃 [3] 坎 [5] 看刊炕=
ŋ [1] 鞍安昂肮² [5] 暗案按 [6] 岸
x [1] 涎憨 [2] 含函咸-寒韩邯行-航杭 [2] 喊坎{门~子} [5] 汉 [6] 馅旱汗酣罕巷=行={一~}

#iɑ̃
p [1] 鞭边编 [3] 匾 [5] 变扁 [6] 辨辩汴便{方~}
p' [1] 篇偏 [2] 便{~宣} [5] 骗片 [6] 辫
m [2] 缔棉眠 [4] 免勉 [6] 面缅
t [1] 颠肩-间-2{当～：当中}秸惦 [3] 点典碱-间-3{~苗}拣 [5] 店见 [6] 电殿奠
t' [1] 天添 [2] 甜田填 [4] 稀 [6] 簧佃垫
n [1] 淹腌蔫 [2] 拮颜-年言-娘= [3] 挥捻词动撵 [5] 堰 [6] 念捻{~子}
l [2] 连怜莲恋联良凉=量=粮=梁=梁= [3] 两=俩= [9] 练炼亮谅
tɕ [1] 监尖兼艰奸煎肩=坚间=将蒋僵姜=江犍 [3] 减检渐俭简束荐拣谏剪茧奖讲 [5] 剑箭溅建腱键见=浆=酱=将降{~落}绛 [6] 践=贱=
tɕ' [2] 签歼谦歉虔铅牵迁遣千杆阡枪腔 [2] 钱=乾前钳羌强=墙= [3] 潜浅欠抢= [6] 匠=强{脾气~}件践-贱-呛=
ɕ [1] 仙掀先香=乡相箱=厢=裹镶 [2] 鲜咸=衔嫌贤闲详祥降{投～} [3] 陷癖宪显享=响=想= [5] 线羡献向像相 [6] 险限现县象项
ø [1] 烟央秧=殃 [2] 延严盐阎俨谚言=芜沿缘岩颜=羊=洋杨=扬=阳= [3] 晏养=痒恙仰 [5] 咽燕=宴艳厌砚 [6] 验炎掩演焰雁样=

#uɑ̃
t [1] 端 [3] 短 [6] 断=锻段=
t' [2] 团赚{~人：骗人} [6] 断缎段{姓}
n [3] 暖
l [2] 恋 [4] 卵
ts [1] 钻专砖庄=装= [5] 转壮= [6] 传篆状
ts' [1] 窜川穿串窗=疮= [2] 传船床椽 [3] 喘创撞 [5] 篡纂 [6] 串
s [1] 酸拴摔闩霜=双= [2] 漏爽 [5] 算蒜
z [3] 软=
k [1] 官观冠关光= [3] 管馆广 [5] 贯灌罐惯 [6] 迭
k' [1] 宽匡筐 [2] 狂 [4] 款 [5] 况矿旷
x [1] 欢荒慌=谎 [2] 桓还环黄=皇蝗 [3] 缓幻焕患宦忱 [5] 唤 [8] 换
ø [1] 豌弯湾枉= [2] 完丸皖玩顽王= [3] 碗腕宛婉往 [6] 旺汪

#yɑ̃
l [2] 联
tɕ [1] 捐 [3] 涓券□{~人：骂人}卷 [5] 绢倦 [6] 葬
tɕ' [1] 圈青 [2] 权拳痊全泉 [3] 劝 [6] 圈{牛~}犬
ɕ [1] □{用力往前推较大较重物体} [2] 宣旋喧玄悬眩 [3] 选 [5] 植 [9] 旋{用刀具削取转动的加工品}
ø [1] 冤 [2] 圆员园袁元原源阮 [5] 怨 [6] 院{青}

#əŋ
p [1] 崩绷锛 [3] 奔本 [5] 迸蹦=泵 [6] 笨=
p' [1] 喷 [2] 盆青朋烹彭膨棚=蓬=篷捧 [2] 喷吐人声 [5] 碰 [2] 笨=
m [2] 门萌蒙 [3] 猛 [6] 闷焖梦孟
f [1] 分芬纷风疯蜂讽丰封 [2] 坟冯峰焚逢缝唇 [3] 粉 [5] 粪 [6] 份顺舜凤缝{一条~}俸瞬奋愤忿
v [2] 绒-茸-纹 [6] 润-闰-
t [1] 蹬灯登 [3] 等戥 [5] 凳瞪澄镫 [6] 邓
t' [1] 腾藤 [2] 疼
n [2] 能农 [6] 嫩
l [2] 龙=陇垅聋拢笼=棱 [3] 隆冷= [6] 楞弄
ts [1] 珍贞臻真诊针斟增憎曾赠争=筝睁=蒸=证正={~月}征{中~指指头} [2] 这2 [5] 振震枕侦症拯整政正{~书记}贞 [6] 镇阵=郑=
ts' [1] 撑称= [2] 曾层丞承程城成诚陈尘忱臣沉辰晨橙 [2] 岑 [5] 衬趁秤=忖 [6] 郑-{姓}阵-
s [1] 森申甚深身僧生=牲糁笙甥=升=声=绅呻 [2] 神绳 [3] 参{人~}审婶沈伸省{反~} [5] 沉盛圣胜渗肾慎 [6] 什剩=甚 [0] 瘆
z [2] □{将颗粒状碾成粉状}人仁壬妊任姓仍 [3] 忍□{表示头疼的声音} [6] 认韧任{~务}刃纫衽
k [1] 跟根庚耕更{打~}耿羹埂梗哽 [5] □{水果之类食物发硬}更{~加}
k' [1] 坑吭 [3] 悬垦肯
ŋ [5] 摁恩
x [1] 亨哼 [2] 恒衡 [3] 痕很恨哼{叹词}狠 [6] 横=1

#iəŋ
p [1] 彬宾槟鬓兵丙冰= [3] 秉柄饼并 [5] 殡 [6] 病=
p' [1] □{用刀或锹平削物体} [2] 贫凭平=评瓶屏萍 [3] 品频拼={~命}
m [2] 民冥螟明=鸣名=铭 [3] 闽悯敏泯皿抿 [6] 命=
t [1] 丁钉疗鼎叮盯= [3] 紧顶= [5] 劲=钉={动词} [6] 定=锭=订
t' [1] 听=厅= [2] 庭亭停=廷艇蜓 [3] 挺=
n [1] 阴-荫- [2] 银拧宁 [3] 饮□{让硬物垫了一下的感觉}窨 [6] 硬=
l [2] 邻鳞磷林淋1临灵铃=零=陵=菱玲凌= [4] 吝领=岭檩 [6] 淋令赁蔺淋2
tɕ [1] 津市今=金襟锦斤筋兢茎京荆=惊=警颈精=竞睛径经鲸 [3] 紧=仅谨境景晶井镜{~子} [5] 禁劲进晋敬 [6] 近-尽-静净={形容词}
tɕ' [1] 亲青=蜻轻=清= [2] 琴擒秦勤芹浸晴= [3] 请 [5] 侵寝钦倾顷卿庆亲{～家} [6] 近-尽-净={副词}
ɕ [2] 心辛新薪欣甚{桑~}兴星=腥= [2] 寻晨行形型刑 [3] 衅 [5] 信讯性姓醒= [6] 兴杏=幸
ø [1] 音阴=荫=因姻鹰应{~该}鹦莺樱英缨婴 [2] 蝇=盈赢=营萤迎 [3] 淫引殷隐寅吟影= [5] 印饮应{答~} [6] 引{大树根长出小树苗}

#uəŋ
t [1] 墩冬东蹲 [3] 董懂 [5] 顿冻敦吨炖栋 [6] 动=洞=
t‘ [1] 通统 [2] 屯豚钝臀铜桐童同瞳洞{洪～} [3] 筒桶捅 [5] 痛 [6] 围洞-{~子}动-
n [2] 浓脓
ts [1] 尊遵鬃宗纵中{当~}钟盅忠仲终 [3] 准肿总 [5] 中{射~}种众 [6] 重
ts' [1] 村葱春椿=聪匆卤丛冲 [2] 重{~啦}蠢纯虫淳崇从存唇 [5] 寸 [6] 重-
s [1] 孙松嵩 [2] 𪨊精液 [5] 宋送 [6] 诵颂讼
z [2] 绒=茸= [6] 润=闰=
k [1] 工公功弓躬宫恭拱 [3] 滚攻供 [5] 棍贡巩共汞
k' [1] 空 [3] 昆捆困坤恐孔控啃
x [1] 昏婚浑荤烘轰 [2] 魂馄混红洪鸿虹宏 [5] 混哄 [6] 横=2
ø [1] 温瘟翁 [2] 兀2 [3] 稳 [5] 瓮

#yəŋ
1 [2] 伦轮仑龙- [6] 论
tɕ [1] 均钩君军 [5] 峻俊骏郡粽菌
tɕ' [2] 群裙穷穹琼
