#參考文獻 《興化方言地理語言學研究》《興化方言志》	
#調值	陰平陽去21 陽平35 上213 陰去443 陰入3 陽入45
#ɿ	
tɕ	[1]追=錐=[3]嘴[5]最=罪=贅=墜=
tɕʰ	[1]崔=催=吹=炊=[2]槌捶=錘=隨=隋=[5]翠=脆=
ɕ	[1]雖=[2]隨=垂=[3]水=[5]歲=睡=稅=碎=
0	[1]銳鋭睿[3]蕊
#ə	
m	[1]媽
0	[0]兒{茄～}家{我～，樊～莊}
#iɪ̃	
p	[1]煸邊鞭鯿[3]匾扁[5]便=變
pʰ	[1]便-偏篇辮卞[2]便=[5]片騙
m	[1]面麪[2]棉=綿[3]免勉娩
t	[1]癲顛掂[3]點典[5]店踮殿電奠
tʰ	[1]墊天添[2]填甜田[3]舔[5]㐁{蛇舌}掭㮇
n	[1]念唸楝練戀[2]簾年憐聯蓮連鰱鐮黏[3]捻臉斂
ts	[1]佔占沾詹瞻[3]展搌[5]戰顫占
tsʰ	[1]纏{～事}[2]纏禪蟬
s	[1]扇搧苫煽[3]閃陝[5]善扇苫騸
z	[2]然燃[3]染
tɕ	[1]堅尖兼搛煎肩[3]儉剪檢繭[5]劍箭漸薦毽見鍵
tɕʰ	[1]千遷件牽籤賤踐[2]鉗前錢[3]淺[5]欠芡歉
ɕ	[1]仙先掀鍁鮮縣[2]嫌弦賢[3]顯蜆險䘆[5]憲獻現線
0	[1]咽堰煙胭醃驗腌硯[2]嚴檐沿炎鹽芫言研延[3]厴掩魘[5]䞁宴焰燕厭
#ɛ̃	
p	[1]扳斑爿班般[3]板版[5]瓣絆辦扮
pʰ	[1]辦拚攀[2]𨂝[5]盼爿
m	[1]慢曼蠻{～好}[2]蠻[5]漫={浪～}
f	[1]幡犯-番翻范飯-[2]凡礬煩繁樊[3]反返[5]㽹泛犯=範販
v	[1]萬彎灣[2]玩頑[3]挽晚[5]畈
t	[1]丹單擔耽[3]撣膽[5]旦但誕彈擔
tʰ	[1]坍攤淡灘蛋貪[2]檀談痰彈壇[3]啖毯坦[5]嘆探=炭
n	[1]濫爛難臘[2]蘭男=南=嵐攔漤籃難[3]兩+懶覽攬纜罱[5]難
k	[1]尷監-乾=甘=間-干{天～}[3]揀感敢杆=稈襉[5]幹間戒{～指}
kʰ	[1]刊鉛鵮[3]坎=檻艦砍=[5]嵌看=
x	[1]憨旱=粯莧限-陷-餡[2]含=鹹銜函寒=[3]喊[5]漢喊憾
ts	[1]劗[3]㜺嶄斬[5]贊棧暫=湛站蘸
tsʰ	[1]䱗攙摻暫-[2]殘慚[3]產鏟[5]孱懺燦
s	[1]三山衫杉[2]饞[3]傘散饊[5]散
0	[1]安=胺鞍淹雁 [2]䶠啽㘖{小口喫}顏-[3]眼-[5]晏暗=案=
#iɛ̃	
tɕ	[1]奸監=間=[3]減鹼簡柬[5]鑑監{～控}
tɕʰ	[5]塹
ɕ	[1]陷=限[2]閒閑嫺嫻[5]限=陷=
#uɛ̃	
k	[1]關[5]慣
kʰ	[1]摜[2]環鐶蜷
x	[2]還[5]患幻
#yɛ̃	
tɕ	[1]㔍跧{彎腰}[5]撰賺
tɕʰ	[5]𢺟{插入}
ɕ	[1]刪赸{追}𧾎{追}[5]涮
#ʊ̃	
p	[1]搬[5]半
pʰ	[1]伴拌拚{～命}[2]盤[5]判叛
m	[1]漫[2]瞞鞔饅[3]滿
t	[1]瓭端耑[3]短[5]斷=段=籪鍛
tʰ	[1]斷-段-[2]團糰罈[5]毻{～毛}
n	[1]亂[2]南-男-鸞[3]卵暖
k	[1]倌冠官棺乾-甘-肝觀[3]杆竿擀-管趕館[5]灌罐貫鸛
kʰ	[1]寬看龕[3]冚坎-款砍-□{打～：打瞌睡}[5]看-
x	[1]歡換旱-汗-獾蚶[2]含-寒-涵[5]熯{～飯}瘓喚
ts	[1]專磚簪鑽[3]轉[5]轉鑽篆
tsʰ	[1]川汆穿[2]傳椽船蠶[3]喘穇{～子}[5]串竄
s	[1]酸[5]算蒜
z	[3]軟阮
0	[1]安-岸庵豌[2]丸完[3]唵揞碗緩[5]暗-案-諳腕
#yʊ̃	
tɕ	[1]捐娟鵑[3]卷捲[5]眷絹券
tɕʰ	[1]圈[2]全拳權泉顴[3]犬[5]勸
ɕ	[1]宣揎秈萱軒[2]玄懸[3]選癬[5]暄楦諼
0	[1]冤院願鴛[2]元原園員圓緣櫞袁[3]遠[5]怨
#aŋ	
p	[1]邦幫浜[3]榜綁膀[5]傍磅
pʰ	[1]乓棒-稖[2]旁螃膀[3]髈[5]胖
m	[2]忙盲芒茫氓[3]莽蟒
f	[1]坊妨芳方犯{～法}[2]房防[3]仿紡訪[5]放
t	[1]當襠[2]噹[3]黨擋檔[5]當檔蕩=
tʰ	[1]𢴳湯蕩-盪[2]堂棠唐塘搪溏糖膛[3]淌躺[5]燙趟[0]嘡
n	[1]㫰浪[2]囊廊榔狼瓤螂躴郎[3]攮朗[5]齉
k	[1]岡剛江-綱缸豇鋼𠵹項{頸～}肛[3]崗港講[5]槓焵虹
kʰ	[1]康糠躿[2]扛[5]抗囥炕
x	[1]夯巷[2]杭絎行[5]沆項
ts	[1]張獐章樟髒蟑贓[3]掌漲長[5]仗帳杖脹臟賬葬障
tsʰ	[1]丈倉蒼艙昌菖鯧[2]場常腸長[3]廠場敞[5]唱倡磢
s	[1]上-喪傷商墒桑裳[2]嘗償[3]嗓搡賞[5]尚
z	[1]讓肏[2]瓤穰[3]嚷壤
0	[1]䱀骯[2]昂[3]炴{～煙}
#iaŋ	
n	[1]亮孃諒𪳄[2]涼娘梁粱量糧良[3]兩{單位}輛仰[5]釀量{膽~}
tɕ	[1]僵姜將江=漿疆繮礓薑[3]獎蔣槳礓講[5]將{大～}犟=糨醬降謽
tɕʰ	[1]像匠嗆槍犟-腔謽[2]牆強祥詳降[3]搶強{勉～}[5]弶戧蹌
ɕ	[1]鄉廂湘相箱香[3]響餉享想[5]像=向相象項=
0	[1]央樣鴦烊秧殃漾[2]烊佯揚楊洋羊陽煬[3]養癢[5]漾
#uaŋ	
k	[1]光胱[3]廣[5]光桄逛𤗶
kʰ	[1]匡框眶筐誆桄{一～線}[2]狂[5]曠礦
x	[1]慌荒[2]簧凰皇隍蝗黃=蟥[3]幌晃謊[5]晃
0	[1]忘望-枉汪[2]亡王簧黃-𪏙{蛋～子}[3]往網枉[5]旺妄
#yaŋ	
tɕ	[1]妝莊樁裝[3]奘𢪾{理齊}[5]壯狀=
tɕʰ	[1]撞狀-瘡窗[2]噇牀[3]撞闖[5]創
ɕ	[1]雙霜[3]漺爽
#ən	
