
ʦɿ[1]支枝肢栀姿咨资脂兹滋之芝
ɕy[1]虽-树-书舒虚嘘须需枢输殊绥{~宁}
ɕy[2]薯
ɕy[3]暑鼠黍许与署水-髓
ɕy[4]竖-{~屋：建房子}
ɕy[5]序叙绪絮庶恕竖=戍树=岁-税-睡-术述续戌恤塞
ɕy[7]□{~仔：口哨}
y[1]淤迂□{使弯曲}
y[2]如-儒-鱼渔于盂余愚虞娱吁{唤马停下的语气词}榆逾愉儒
y[3]汝-乳-与雨宇语禹羽女=□{小~：小便}
y[5]御誉预鲁豫遇寓芋喻裕疫役喂{又uɛ44}玉狱愈
y[7]入域
pa[1]粑巴芭疤爸八-□{沾染}
pa[3]把{量词：~握，一~，又pa42}㞎{~~：大便}

pa[5]霸把{柄，又pa313}坝{堤}
pa[7]八=
pʰa[1]趴脱-拍-{又pha35}
pʰa[2]杷{枇~}爬=琶耙扒
pʰa[5]白-怕帕
pʰa[7]拔拍{球~子，又pha44}罢
ta[1]搭
ta[3]打
ta[7]答达
la[1]拉腊-蜡-喇
la[2]□{~噶哩：把东西遗忘在某处了}
la[3]哪=
la[5]辣那
la[7]纳捺腊=蜡=
ʦa[1]楂渣扎{①往上卷：~袖子、~裤脚，又tsa313②系：~裤}摘
ʦa[3]扎{~头发，又tsa44}□{~肉：一种用猪油密封保存的肉}
ʦa[5]炸诈榨
ʦa[7]杂闸铡
ʦʰa[1]搽{涂抹：~粉}叉杈差{又tshai44}擦拆㿭{皮肤坼裂}
ʦʰa[2]茶查茬
ʦʰa[5]岔择-乍
ʦʰa[7]察插
sa[1]沙莎痧杀-纱杉撒萨
sa[5]厦{又ɕia42}
sa[7]刹杀=□{量词：一~西瓜，即一块西瓜}
ka[1]家-甲-痂夹-裌{~衣：棉衣}
ka[2]嘎
ka[3]□{~~：对猪肉的一种叫法，一般只有小孩才使用这种叫法。}
ka[5]架-嫁-□{婴儿车}
kʰa[1]掐客-揢{卡住}
kʰa[3]卡
kʰa[5]胯
ha[1]他虾-吓-瞎-哈塌
ha[4]下-□{傻}
ha[5]狭={窄}踏沓夏-□{全，都}
ha[7]塔
a[1]鸭-丫{张开，又ia44}阿{又o44}
a[2]啊
a[3]哑-
pia[1]壁-
pʰia[1]劈-
tia[1]□{~~：爷爷}□{~得：牵着}
tia[5]滴-
tʰia[1]踢-
tʰia[2]提-
lia[1]□{荆棘}
lia[3]□{舔}
lia[5]栗-□{欺骗}
ʨia[1]家=加嘉佳
ʨia[3]姐-假贾
ʨia[5]价借架=驾稼嫁=
ʨia[7]甲=夹=
ʨʰia[1]吃-
ʨʰia[2]茄-斜邪
ʨʰia[5]跨拃{量词，一~：张开大拇指和食指或中指的距离}
ʨʰia[7]瘸恰洽
ɕia[1]靴虾=瞎=胁-虱锡涩
ɕia[2]霞瑕暇
ɕia[3]写-
ɕia[5]下=吓=夏=厦{~门，又sa42}泻-卸
ɕia[7]狭=峡匣辖
kʰia[5]□{挤}
ia[1]鸦丫{又a44}
ia[2]牙=芽=衙爷-{父亲}涯
ia[3]雅野=哑=搲{①动词：用手抓握②量词：一~米，一把米}
ia[4]也
ia[5]亚夜-□{扔掉}
ia[7]压押鸭=轧=□{抓挠}
lua[1]□{啃}
lua[2]爬-
lua[5]捋{~胡子}
ʦua[1]抓眨
ʦua[5]啄□{依照}
sua[1]刷
sua[3]傻耍
kua[1]瓜佮{相合、结交}
kua[3]寡剐□{鸡果~噶哩：鸡蛋坏了}
kua[5]挂卦
kua[7]刮括
kʰua[1]夸磕瞌
kʰua[3]垮

kʰua[7]□{树枝}
xua[1]花发-{~工资}
xua[2]华{中~，又xua42}划{~算，又xua42}
xua[5]化华{~山，又xua24}桦画话=划{~烂，又xua24}罚
xua[7]法乏滑=猾=发={~展}发{理~}伐筏
ua[1]蛙洼挖
ua[2]娃
ua[3]瓦
ua[5]话-滑-猾-
ua[7]袜
ʨya[1]只-{量词，又tsɿ42}炙{烤}遮
ʨya[5]蔗
ʨʰya[1]赤-尺-车-{又ʨy44}□{~颈：上吊}
ʨʰya[3]扯-
ɕya[1]赊-
ɕya[2]蛇-
ɕya[3]舍-{~得，又ɕiɛ42}
ɕya[5]射-石-
pɛ[1]杯碑卑悲憋鳖背{拉：~犁，又pɛ42、pɛ35、phɛ31}
pɛ[5]贝辈背{后~，又pɛ44、pɛ35、phɛ31}褙{贴：~膏药}
pɛ[7]北背{驮，又pɛ42、phɛ31、pɛ44}百柏伯白=别=
pʰɛ[1]胚坯呸推-
pʰɛ[2]培陪赔裴
pʰɛ[4]背{~书，又pɛ42、pɛ35、pɛ44}
pʰɛ[5]辔沛倍配佩退队蜕别-
pʰɛ[7]撇拍=迫魄
mɛ[1]妹-越-□{(1)木头等因受潮而腐烂（2）食物煮得很烂}
mɛ[2]眉=梅枚媒煤霉{倒~，又mɛ35}
m{ɛ}[3]每美
mɛ[5]妹=昧媚寐
mɛ[7]霉{起~：食品、衣物等因受潮而长霉菌，又mɛ24}灭脉阅悦粤月=越=曰没墨默麦=
tɛ[1]得-
tɛ[7]叠跌牒蝶谍德得=
lɛ[2]来
lɛ[5]□{表示复数，相当于“们”}
lɛ[7]猎列烈裂劣肋勒
ʦɛ[5]仔{表示物体小的名词后缀：鸡~、猪~}

kɛ[1]折-{折叠，又ɕiɛ42}揭结-{植物长果实，又kɛ35}
kɛ[2]□{脾气犟，不听劝}
kɛ[3]给
kɛ[7]格革隔结={~婚}蛤{~子：蛤蜊，又}ʰ{ã24}哲浙
kʰɛ[2]咳=
kʰɛ[7]刻克客=
hɛ[1]黑-铁-贴-
hɛ[5]碟
hɛ[7]帖贴-核忒特铁-黑-
ɛ[2]儿而
ɛ[3]尔耳饵
ɛ[5]二
ɛ[7]额=诶{表疑问的语气词}乙
ʨiɛ[1]接节-
ʨiɛ[3]者姐=
ʨiɛ[5]借=
ʨiɛ[7]杰洁节=劫责截折={存~，又ɕiɛ42}
ʨʰiɛ[1]切车=
ʨʰiɛ[2]茄=
ʨʰiɛ[3]且扯=
ʨʰiɛ[5]贼
ʨʰiɛ[7]厕妾捷怯彻撤辙则测侧泽择=策册
ɕiɛ[1]些歇蝎雪-奢赊=楔携谐
ɕiɛ[2]佘蛇=鞋=
ɕiɛ[3]写=舍=
ɕiɛ[5]泻=谢赦舍{宿~，又ɕya313}折{~本，又kɛ44}舌-懈蟹=泄社射=麝屑
ɕiɛ[7]摄涉胁=协薛雪=舌=设色瑟啬
iɛ[1]椰耶瘪
iɛ[2]爷=
iɛ[3]野=
iɛ[5]夜=液腋叶
iɛ[7]热=
tuɛ[1]堆
tuɛ[5]对兑tʰuɛ[1]推=luɛ[2]雷
luɛ[3]摞{把东西重叠摆放}儡累{积~，又luɛ42}蕊垒屡luɛ[5]内累{~人，又luɛ313}类虐泪
ʦuɛ[1]栽追锥□{发~：牲畜得瘟疫}

ʦuɛ[3]嘴=
ʦuɛ[5]最缀赘醉=坠□{上~：值得，应受}
ʦuɛ[7]□{扛}
ʦʰuɛ[1]催崔吹=炊
ʦʰuɛ[2]垂裁锤=槌=捶=
ʦʰuɛ[5]罪脆菜翠粹□{~雨：淋雨}
suɛ[1]腮鳃虽=
suɛ[2]谁随=
suɛ[3]水=
suɛ[5]瑞碎蓑{~衣}岁=税=睡=遂隧穗□{小}蟀率{~领，又liəu35}
kuɛ[1]骨-
kuɛ[5]盖
xuɛ[1]恢灰挥辉徽
xuɛ[2]回={~信}茴
xuɛ[3]悔毁㽹{呕吐}贿
xuɛ[5]晦汇会{开~，不~，又kuai42}绘惠慧讳
uɛ[1]煨{（1）用小火烤食物：~糍粑（2）在带火的灰里烧东西：～红薯}喂{疑问语气词，又y42}
uɛ[2]回-{~来}
uɛ[5]外
ʨyɛ[1]蕨
ʨyɛ[7]掘倔崛诀决
ʨʰyɛ[1]缺-
ʨʰyɛ[5]绝-
ʨʰyɛ[7]缺=绝=
ɕyɛ[1]血-
ɕyɛ[7]血=穴
po[1]波菠玻剥
po[3]跛
po[7]钵拨钹勃博薄=泊驳帛啵{吻}驳{借}
pʰo[1]坡泼
pʰo[2]婆=
pʰo[5]破=薄-
mo[7]木=目牧穆
to[1]多桌-脚{包括脚和腿}
to[3]躲
to[5]剁垛舵惰堕
to[7]夺觉{自~，又kau42}朵角{一~钱}
lo[1]烙
lo[2]挪罗锣骡螺脶{圆形的手指纹}捼{揉搓}
lo[3]裸{~石}
lo[5]落-诺骆络酪
lo[7]洛落=箩乐{又iə35}
ʦo[1]捉
ʦo[3]左走=
ʦo[5]佐奏
ʦo[7]桌=卓酌作琢着{睡~}
ʦʰo[1]搓撮{~箕}
ʦʰo[4]坐
ʦʰo[5]座锉措昨凿戳浊绰□{丢失}□{~棍棍：拄拐杖}
ʦʰo[7]错=镯
so[1]梭唆嗦{~粉}缩-
so[3]锁琐所
so[5]勺芍嗽
so[7]学=说索缩=塑朔
ko[1]郭歌锅戈搁胳角-{~落}□{从此容器倒入彼容器：~水}
ko[3]果{又ko35}裹
ko[5]个过=
ko[7]哥鸽割{收~机}葛各=阁郭果{蛋，又ko313}角={直~板}
kʰo[1]科窠{窝}壳-
kʰo[3]可渴棵颗
kʰo[5]课
kʰo[7]阔壳=
xo[1]喝{又xo42}□{~人：毛绒物品扎皮肤}
xo[2]河何荷和{~气}和{~面}禾={~苗}
xo[3]火伙
xo[5]喝{又xo44}贺货祸学-{~舌：学别人腔调说话}获霍藿鹤
xo[7]合盒豁活
ho[1]拖
ho[2]驼驮坨={~粉：红薯淀粉}
ho[3]妥椭
ho[5]唾
ho[7]砣坨=脱=托
o[1]阿{~胶，又a44}倭踒{~了脚：扭伤了脚}窝莴蜗屙
o[2]蛾鹅俄讹
o[5]卧镬{菜锅}
o[7]恶{又u42}鄂

pai[1]□{跛}
pai[3]摆
pai[5]拜
pʰai[1]稗
pʰai[2]排牌
pʰai[5]派败
mai[2]埋
mai[3]买
mai[5]卖迈
tai[2]呆
tai[3]歹
tai[5]戴带
lai[2]□{踩}
lai[5]耐奈癞赖㸊{烫}
ʦai[1]灾斋
ʦai[3]崽宰载{又tsai42}
ʦai[5]再载{又tsai313}债
ʦʰai[1]猜钗差{出~，又tsha44}在-
ʦʰai[2]才财豺材柴
ʦʰai[3]彩睬采踩
ʦʰai[5]在=蔡寨宅
sai[1]筛
sai[3]洒
sai[5]赛晒
kai[1]该皆街阶
kai[3]改解
kai[5]丐介界届戒械□{追}
kʰai[1]开揩
kʰai[3]凯慨楷
kʰai[5]概溉
hai[1]胎咍{玩}
hai[4]袋
hai[5]大待怠态贷太泰代亥害蟹-
ai[1]哀埃挨
ai[2]崖捱{拖延}岩
ai[3]蔼矮
ai[5]碍艾爱隘
suai[1]衰摔
suai[3]甩
suai[5]帅
kuai[1]乖
kuai[3]拐{~弯，又kuai35}
kuai[5]怪
kuai[7]国拐{扭来扭去，又kuai313}
kʰuai[3]块-傀
kʰuai[5]块=会{~计，又xuɛ42}刽桧快筷
xuai[2]怀=槐淮
xuai[5]坏
xuai[7]或惑
uai[1]歪
uai[2]怀-
uai[3]抈{折断}崴
pau[1]褒包胞
pau[3]保堡宝饱
pau[5]报豹爆鲍龅
pʰau[1]泡{泡沫，又phau35、phau42}抛□{树莓}雹
pʰau[2]袍刨{~皮}狍浮-
pʰau[3]跑
pʰau[5]抱暴菢{~鸡仔：孵小鸡}泡{~茶，又phau35、phau44、phau35}炮
pʰau[7]泡{水~，又phau44、phau42}
mau[1]猫冇
mau[2]毛矛茅锚
mau[3]卯□{动词，没有牙齿的老人或小孩用牙龈咀嚼食物}
mau[5]冒帽貌
tau[1]刀叨
tau[3]祷岛倒{又tau42}
tau[5]到倒{~水，又tau313}
lau[1]□{臊}
lau[2]劳捞唠牢痨挠饶=
lau[3]脑恼老扰=绕=
lau[5]闹涝□{~死：下药毒死}
lau[7]垴{山头}□{①人疲乏无力②植物枯萎}
ʦau[1]遭糟㷮{又干又脆}
ʦau[3]早枣蚤澡找爪
ʦau[5]灶罩
ʦʰau[1]操抄钞
ʦʰau[2]曹槽巢嘈
ʦʰau[3]草炒吵

ʦʰau[5]躁燥噪糙皂造错-
sau[1]骚捎稍
sau[3]嫂
sau[5]扫潲哨莦{非圆形的手指纹}
sau[7]梢{树枝}
kau[1]高膏羔糕交-{~春}茭-{~笋}篙跤-
kau[2]搞
kau[3]稿
kau[5]告校{~对，又ɕiə42}窖-教-觉-{困~，又to35}叫{~花子，又kiə42}
kʰau[1]敲-
kʰau[3]考烤
kʰau[5]靠犒铐
hau[1]滔掏涛蒿道-
hau[2]逃桃=淘陶萄绹{用来牵制牲畜大德绳索}薅{除草}豪壕毫
hau[3]讨好{~人，又}ʰ{au42}郝
hau[5]套道=稻盗导好{~干净，又}ʰ{au313}耗浩号孝-
hau[7]桃-
au[2]熬
au[3]袄咬-
au[5]傲懊奥坳扷{丈量}
piə[1]标彪猋{飞快地跑}
piə[3]表婊裱
pʰiə[1]飘漂{又phiə313、phiə42}
pʰiə[2]瓢嫖
pʰiə[3]剖漂{~白粉，又phiə42、phiə44}否
pʰiə[5]漂{~亮，又phiə313、phiə44}票
miə[2]苗瞄描谋□{淘气}
miə[3]藐渺秒某亩牡眇{瞅}
miə[5]庙妙谬茂贸
tiə[1]刁貂雕兜蔸逗朝-{打三~，又ʨhiə24}
tiə[3]斗{一~米，~笠，又tiə42}抖陡
tiə[5]钓掉调{~动，又thiə24}斗{~架，又tiə313}吊
tiə[7]鸟-屌{自大}□{男性的生殖器}
tʰiə[1]挑偷
tʰiə[2]条调{~料，又tiə42}头=投吼侯喉猴
tʰiə[3]斢{换}
tʰiə[4]后-厚-豆-痘
tʰiə[5]跳透后=厚=豆=候
tʰiə[7]头-
liə[1]撩{用棍子、针等细长物体挑}
liə[2]燎疗聊辽撩潦寥楼娄□{软}
liə[3]搂篓
liə[4]了
liə[5]瞭料漏陋廖
liə[7]略掠
ʨiə[1]交={~钱}茭=跤=郊胶焦蕉椒朝={~阳，又ʨhiə24}昭招=沼骄娇浇
ʨiə[3]绞狡铰饺=搅剿矫缴侥走-{跑}
ʨiə[5]窖=教=觉=较酵照=叫=皱
ʨiə[7]爵
ʨʰiə[1]悄超敲-
ʨʰiə[2]樵瞧朝{~代，又ʨiə44}愁
ʨʰiə[3]巧
ʨʰiə[5]俏鞘赵兆召窍骤凑嚼雀鹊撬
ʨʰiə[7]确却
ɕiə[1]肖消宵霄硝销削烧嚣搜馊萧箫
ɕiə[2]韶饶-
ɕiə[3]小少{又ɕiə42}晓淆
ɕiə[5]孝=哮效校{学~，又kau42}笑少{又ɕiə313}绍邵瘦
kiə[1]勾沟钩招-
kiə[3]狗苟饺-
kiə[5]购够构□{结~：结冰}照-叫-{又kau42}
kʰiə[1]抠
kʰiə[2]乔侨桥荞潮
kʰiə[3]口
kʰiə[5]轿叩扣寇翘
iə[1]欧殴妖邀腰要{~求，又iə42}幺吆□{阻拦}
iə[2]肴摇谣遥瑶窑姚尧饶-
iə[3]呕藕偶咬=扰-绕-{围~，又iə42}舀杳鸟=
iə[5]绕{~圆圈，又iə313}要{又iə44}耀药沤怄
iə[7]若弱约钥跃岳乐{音~，又lo35}
kui[1]圭奎闺规龟归
kui[3]诡轨癸鬼
kui[5]鳜桂贵
kʰui[1]盔魁亏窥
kʰui[2]逵葵
kʰui[3]跪
kʰui[5]愧柜溃
ui[1]薇威
ui[2]微危桅为{作~，又ui42}维唯惟违围
ui[3]伪苇纬委
ui[4]尾=伟萎

ui[5]卫胃喂=为{~什么，又ui24}位未味魏畏谓
tiəu[1]丢竹-
liəu[1]溜绿-
liəu[2]流硫琉刘留榴瘤
liəu[3]缕
liəu[4]履柳旅吕铝
liəu[5]六
liəu[7]律率{概~，又suɛ42}
ʨiəu[1]周舟州洲鸠阄纠粥
ʨiəu[3]酒九久韭灸肘
ʨiəu[5]咒救究臼咎柩昼锯揫{拧}
ʨiəu[7]竹=筑祝蜀烛嘱触
ʨʰiəu[1]秋丘邱抽
ʨʰiəu[2]囚绸稠筹仇{姓，又ɕiəu24}酬求球
ʨʰiəu[3]丑
ʨʰiəu[4]舅-
ʨʰiəu[5]就臭旧纣宙舅=
ʨʰiəu[7]畜逐轴曲束藠{~仔：蕌头}
ɕiəu[1]修羞收休秫粟
ɕiəu[2]仇{又ʨhiəu24}柔-揉-
ɕiəu[3]手首守朽
ɕiəu[5]秀绣锈袖兽寿授售受熟-赎宿{星~，又su35}
ɕiəu[7]叔属淑熟=蓄肉=褥辱-
iəu[1]优忧幽悠
iəu[2]尤邮由油游犹鱿柔=揉=
iəu[3]有友莠酉纽扭
iəu[5]又右佑诱柚鼬釉幼□{用清水漂洗衣服}
iəu[7]郁育浴欲
pən[5]蹦{又phən24}泵
pən[7]□{抱}
pʰən[1]蜂-□{蓬松}
pʰən[2]棚=篷蓬蹦{~河：跳河，又pən42}
pʰən[3]捧
pʰən[5]喷{~香，又phin44}碰
mən[1]木-
mən[2]蒙檬
mən[4]猛=懵
mən[5]孟梦
mən[7]□{~~：舅妈}
tən[1]冬东中-{~间，又ʨyn42}
tən[3]董懂
tən[5]冻栋
tən[7]□{抖}
lən[1]聋
lən[2]农脓隆浓龙
lən[3]拢陇垄
lən[5]弄齈{鼻~：鼻涕}
lən[7]笼{鸡~}
ʦən[1]宗棕综踪
ʦən[3]总怎
ʦən[5]粽纵
ʦʰən[1]聪匆葱囱
ʦʰən[2]从枞丛崇
ʦʰən[5]炝{将青菜放在沸水略煮即捞出}呛
sən[1]松嵩生=
sən[2]□{傻}
sən[3]怂搡{推}
sən[5]送宋诵颂讼
kən[1]公蚣工功攻弓躬宫恭供{又kən42}
kən[3]汞拱巩
kən[5]更=贡供{又kən44}
kʰən[1]空{又khən42}倾-{倒：~水}
kʰən[3]孔恐
kʰən[5]控空{有~，又khən44}共
xən[1]轰烘
xən[2]虹弘宏红洪鸿
xən[3]哄
hən[1]通
hən[2]同铜桐筒童瞳
hən[3]桶捅统
hən[4]动-
hən[5]痛疼洞动=
pin[1]彬宾槟滨缤奔冰兵绷
pin[3]禀本丙秉柄饼=
pin[5]鬓殡笨并迸
pʰin[1]姘拼乒喷{~水，又phən42}烹
pʰin[2]贫频盆湓{水溢出}凭平-坪-评瓶屏萍朋
pʰin[3]品
pʰin[5]病=聘
min[1]眯{~眼：闭着眼睛}蚊-
min[2]眉-民门萌鸣=明=名=铭迷={~信}弥
min[3]米-{打~}闽悯敏皿
min[5]蜜-密-闷命=
min[7]谜-{~仔：谜语}
tʰin[2]屯饨臀豚亭停廷庭蜓
tʰin[3]艇挺
tʰin[5]定
lin[2]泥-林淋临邻鳞磷仑伦沦轮陵凌菱宁零=灵铃伶龄
lin[3]檩
lin[4]冷=领=岭=
lin[5]另赁吝论嫩令
ʨin[1]针斟今金禁{~不起，又ʨin42}襟津珍榛臻真巾斤筋尊遵征蒸京荆惊鲸精=晶睛贞侦经
ʨin[3]枕锦诊=疹紧谨拯境景警井=颈=整尽{尽得吃：无节制地吃，又ʨhin42}
ʨin[5]浸禁{~止，又ʨin44}进晋镇振震劲证症敬竟镜竞靖正{又ʨi44}政髻
ʨʰin[1]侵钦亲{~疏，又ʨhin42}村称{称~，又ʨhin42}卿清=轻=青=蜻倾=撑抻{笔直，平整：把衣服扯~}参{~差}
ʨʰin[2]寻沉岑琴禽擒秦陈尘辰晨臣勤芹存惩澄橙乘承丞情晴=呈程成城诚
ʨʰin[3]寝揿{按}请=逞
ʨʰin[4]近-
ʨʰin[5]尽{~力，又ʨin313}亲{~家，又ʨhin44}趁阵衬寸仅澄{让液体里的杂质沉下去}渗称{对~，ʨhin44}秤庆静净{~是，又ʨhi42}磬近=郑
ʨʰin[7]肫{鸡胗}
ɕin[1]心深辛新薪身申伸娠欣孙升兴{流行，又ɕin42}声=星=腥=猩馨
ɕin[5]葚甚信讯迅认-肾慎剩胜兴{高~，又ɕin44}幸性姓圣盛焮{~饭：把饭加热}
in[1]音阴荫因姻殷鹰莺鹦樱英婴缨仍扔
in[2]霓淫人=仁=壬=银寅迎盈赢=萤=蝇泥=凝
in[3]饮引隐瘾影=颖尹忍=
in[5]认-任纫刃韧印应映硬-义议
in[7]□{挠痒痒}
luən[1]雍庸
luən[2]容蓉戎绒融熔茸
luən[3]拥甬勇涌
luən[5]用
kuən[3]滚
kuən[5]棍
kʰuən[1]昆坤
kʰuən[2]裙
kʰuən[3]捆菌顷
kʰuən[5]困
xuən[1]昏婚分芬纷荤风枫疯丰封峰锋蜂=
xuən[2]魂坟浑焚横冯逢缝{缝纫，又xuən42}馄
xuən[3]粉讽
xuən[5]混粪奋愤忿份凤奉俸缝{缝隙，又xuən24}
uən[1]温瘟晕
uən[2]匀文纹蚊=闻云炆{炖}荣营
uən[3]稳允吻刎永泳咏
uən[5]问熨韵运孕揾{浸入水中}瓮润闰
ʨyn[1]均钧君军中={~央，又ʨyn42}忠衷终钟盅
ʨyn[3]准窘冢种{~子，又ʨyn42}肿
ʨyn[5]俊中{~奖，又tən44}众纵种{~树，ʨyn313}圳
ʨʰyn[1]春椿舂充冲{又ʨhyn42}
ʨʰyn[2]唇纯醇琼穷重{~新，又ʨhyn31}群虫=
ʨʰyn[3]蠢宠
ʨʰyn[4]重-{轻~，又ʨhyn24}
ʨʰyn[5]仲铳冲{脾气~，又ʨhyn44}重={~点}郡
ʨʰyn[7]虫-
ɕyn[1]熏薰勋兄胸凶
ɕyn[2]荀旬循巡熊雄
ɕyn[5]殉顺舜训嗅
pã[1]班斑颁扳
pã[3]板=版
pã[5]扮绊
pã[7]板-
pʰã[1]攀潘
pʰã[5]盼办襻{纽襻}瓣=
mã[1]妈抹
