来源：	本地方言调查；山佳木 整理录入
tsʰ	［1］猜差钗搋{～糕}［3］采彩睬［2］才材财裁柴豺［5］菜蔡
s	［1］腮鳃筛［5］塞=赛晒
v	［1］歪［5］外
Ø	［1］哀挨埃［3］矮蔼［5］艾爱碍隘
#iai	
tɕ	［1］秸{～子}街阶皆［3］解{讲～}［5］疥戒芥械界介届
tɕʰ	［1］揩{擦：～眉眼}
ɕ	［2］谐鞋=［5］蟹
Ø	［5］液腋
#uai	
x	［2］怀淮槐［5］坏
kʰ	［3］块-［5］刽会块=快筷
k	［1］乖［3］拐［5］怪
ʂ	［1］衰摔［3］甩［5］帅率
tʂ	［5］拽
tʂʰ	［3］揣［5］踹
#ei	
p	［1］卑杯悲碑背{～书包}［5］贝背={脊～}倍焙辈鐾蔔{萝～}
pʰ	［1］胚［3］培［2］陪赔裴［5］沛佩配辔
m	［1］枚玫梅媒埋煤迷-{藏～搂搂：捉迷藏}［3］每美镁［5］妹昧寐墨={～斗子}
f	［1］飞妃非匪［3］翡绯［2］肥［5］吠废肺费痱
v	［1］危=威微={～小}［3］煨违桅伟伪尾=纬苇委=萎［2］微-{稍～}为围唯惟维危-{~房}［5］为卫未位味畏胃谓猬慰魏
#uei	
t	［1］堆=［5］队对兑碓
tʰ	［1］推［3］腿［2］颓［5］退蜕
l	［3］垒儡累［2］雷［5］累泪类滤-
k	［1］归圭龟规闺硅［3］轨诡鬼［5］柜贵桂鳜
kʰ	［1］癸亏盔窥奎逵葵=魁傀［5］跪愧䙌{～～疙瘩：一种用绳子打的结}溃馈匮
x	［1］灰恢挥辉麾毁［3］悔［2］回茴［5］汇会绘桧贿晦秽惠慧讳
ts	［1］堆-{一圪～：一堆}［3］嘴咀［2］贼-［5］最罪醉
tsʰ	［1］崔催［3］璀［5］脆粹翠
s	［1］虽绥{～德：陕西地名}［3］髓［2］随=隋={～朝}穗-{下垂物}［5］岁遂碎隧穗=
tʂ	［1］追锥［5］坠赘
tʂʰ	［1］吹炊［2］垂槌锤
ʂ	［3］水［2］谁［5］税睡说{～客}
ʐ	［3］蕊［5］芮锐瑞
#au	
p	［1］包［3］褒宝饱保胞［5］报抱=豹鲍疱暴爆{～炸}
pʰ	［1］抛剖［3］跑［2］胞刨袍［5］抛{掉落}炮泡
m	［3］牡{～丹}铆卯峁眊［2］猫毛［5］茂冒贸帽貌
t	［1］兜［3］斗抖陡［5］豆斗痘
tʰ	［1］偷［2］头投［5］透
n	［3］努［2］奴挠{挖~}［5］闹怒
l	［3］搂篓卤虏鲁橹［2］搂{~柴}楼耧搂卢庐芦炉鸬［5］陋漏露赂路鹭
k	［1］勾沟钩［3］狗苟［5］构购够
kʰ	［1］抠眍［3］口［5］叩扣寇
x	［1］侯喉猴瘊［3］吼［5］后厚候
ts	［1］掫邹走［3］爪-{~子；鬼~子}走找-{~钱}［5］皱骤奏罩笊就-{~是}
tsʰ	［1］抄钞［3］瞅炒吵［2］愁［5］凑=
s	［1］捜稍捎［3］馊飕叟［5］瘦嗽哨
tʂ	［1］州舟周洲粥［3］肘碡［2］轴［5］纣咒宙昼
tʂʰ	［1］抽{~水}［3］丑［2］仇绸稠筹酬［5］臭
ʂ	［1］收［3］手守首［2］熟{煮～了}［5］寿受售授兽
ʐ	［3］扭-{一~一~}［2］柔揉［5］肉
Ø	［1］欧殴瓯［3］呕偶藕［5］怄沤
#iau	
t	［1］丢{~盹}
n	［3］扭=纽［2］牛
l	［1］溜{出～；顺手偷东西：～东西}［3］柳［2］刘流留琉硫馏榴［5］六碌溜{~上走}
tɕ	［1］鬏纠究鸠阉揪蹴{圪～：蹲}交-{~涉；～作业}胶教-{~书}［3］九久灸韭酒饺搅［5］旧臼咎柩救就=舅窖
tɕʰ	［1］丘秋鳅［3］恘{背～转：手背过去}巧敲［2］仇囚=求球
