tɕʰe			且							
ɕe			舍(宿~)	社=(~区)						
ke	勾钩沟		狗枸苟给	够构购垢媾彀						
kʰe	扣抠眶		口	扣(~押)寇叩						
ŋe	呕欧鸥殴讴瓯	牛	藕偶	沤怄						
xe	齁	侯猴喉瘊	吼	鲎(虹)厚后候後						
ɻe		柔揉蹂								
kue	归规皈龟圭硅闺		鬼癸轨诡	桂贵鳜瑰刽桧						
kʰue	亏岿窥魁盔	葵睽揆奎馗逵		餽匮溃刽(又读)柜跪匮馈						
xue	灰诙恢麾挥辉珲晖徽	回蛔茴	毁悔诲	贿荟晦讳秽彗会(~面)烩绘卉汇诲惠慧喙						
ɻue			蕊	锐芮睿						
tɕyei	隹椎锥追			最醉=缀坠赘						
tɕʰyei	吹炊崔催摧	随隋(老派)垂锤陲捶(~打)槌	璀	脆翠啐悴粹淬萃罪						
ɕyei	虽绥	谁隋遂	水	睡碎税瑞祟睢隧						
ɚ		儿	而耳洱饵迩尔	二贰						
pɐ̃	扳掰斑班般=颁攀(~亲)		板版坂钣瓣	扮(~演)绊						
pʰɐ̃	攀	爿攀(~山)		昐襻(纽~)办						
mɐ̃	蛮(很)	蛮(粗野：~理)		曼慢漫谩蔓						
fɐ̃	番蕃翻幡帆藩	凡矾梵烦繁樊藩(旧读)	反返	贩汳瀿(~水)泛犯范饭						
tɐ̃	丹担(~负)单眈耽		胆疸掸撢	诞担(~子)旦石(一~米)						
tʰɐ̃	坍摊滩瘫	谈痰弹(~簧)覃谭潭檀坛(论~)昙	毯坦忐袒	炭叹蛋弹(子~)淡氮但						
nɐ̃		难(困~)		难(灾~)						
lɐ̃		岚篮蓝兰拦(~网)栏婪阑	览揽榄缆懒	烂褴滥						
tsɐ̃	沾劗(~肉)		赞-(好)斩崭怎-	站战=沾蘸赞=錾盏						
tsʰɐ̃	参(~加)掺餐搀	馋谗涎残惭	铲产(生~)惨=	粲璨孱(~头)灿忏暂栈赚绽						
sɐ̃	三杉山赸(追)疝闩珊删=		伞馓散(~文)产(~妇)陕=	删-(~稻草)散(~伙)涮(~衣裳)疝=						
kɐ̃	间(房~)监(~牢)尴		碱拣橄	干(~渠)监(~工)□(~屁股)						
kʰɐ̃	铅嗛(啄)	钳-(蟹~子)龛(纳~子：诅人夭折)	舰槛(门~)	嵌						
ŋɐ̃	淹	岩颜	眼	晏(晚，迟)雁						
xɐ̃		咸衔	喊(给)	喊粯(~子)苋陷-馅限-						
kuɐ̃	关鳏		管莞	惯						
kʰuɐ̃		环寰		掼						
xuɐ̃		还		患幻宦						
uɐ̃	弯湾	还-玩顽	晚挽	绾(~个结)腕(手~)万						
pɛ̃	奔锛栟(~茶：地名)畚(~灰)贲		本苯	奔(~头)						
pʰɛ̃	喷(~壶)	盆朋-		喷(~香；吃~：遭斥责)笨						
mɛ̃		门扪=们		闷焖扪-懑						
fɛ̃	分(~开)芬纷吩氛	坟焚汾	粉	粪畚(~箕)奋愤分(本~)份忿						
vɛ̃	温瘟	蚊纹文汶雯闻吻-(~香)	稳紊吻=(亲~)	问						
tɛ̃	灯登噔蹬瞪敦墩敦蹲扽吨		等戥	凳顿炖抻						
tʰɛ̃	吞	屯藤腾滕疼誊臀豚	氽	褪-(~裤子)囤钝盹盾遁邓						
nɛ̃	恁(轻声，们)	能		嫩						
lɛ̃		棱抡轮伦仑沦论(~语)	冷	愣论(议~)						
tsɛ̃	增争睁筝蒸曾(姓)憎狰峥诤正(~月)征针砧斟珍胗诊臻榛祯桢真贞侦箴饤(冷~)		怎=枕疹缜震-振整拯	镇甑正(~确)政证怔症□(用力)圳赈震=(新派)						
tsʰɛ̃	撑称(~重量)蛏嗔瞋瞠参(~差)郴档橕(椅~儿)	岑臣辰晨尘忱沉陈层曾=(~经)成城诚乘呈程惩澄橙承丞塍	逞骋碜(菜~的不好吃)	秤称(~心)衬趁剩蹭阵郑掷凊(~人)						
sɛ̃	森申呻伸绅身深娠(担~)僧莘=生笙牲声升参(人~)甥孙(姓)狲荪	神盛-绳什(~么)	沈省(~俭)审婶	甚=渗盛(兴~)胜圣抻(~步)						
kɛ̃	根跟更(~新)庚羹耕赓		埂哽梗粳耿	更(~加)亘						
kʰɛ̃	坑吭铿	拫(推)	肯啃恳垦	悭掯(按)垽(污垢)						
ŋɛ̃	恩			硬						
xɛ̃	哼亨□(削皮)	痕衡蘅姮恒行-(~嫁)桁	狠很	艮(食物坚韧不烂)横(凶)恨						
ɻɛ̃		仁人任(姓)壬	忍仍纫饪扔	任认仞妊刃赁韧闰润						
kuɛ̃	滚衮磙绲辊			棍						
kʰuɛ̃	昆崑鲲坤		捆綑	困睏						
xuɛ̃	荤(~菜)昏婚惛	魂浑馄		混荤(五~)溷						
tɕyɛ̃	尊遵谆肫		准							
tɕʰyɛ̃	村春椿皴	存淳鹑	蠢	寸						
ɕyɛ̃	孙	驯唇纯醇	损	顺舜瞬慎肾						
põ	邦帮梆浜磅-		绑膀榜	谤磅=						
pʰõ	乓	旁螃螃傍磅滂庞		胖棒						
mõ		芒茫盲氓忙虻	莽蟒							
fõ	坊芳方枋	房防妨肪	仿访纺	放						
tõ	当(~局)裆		党挡档	当(~真)						
tʰõ	汤	塘搪唐糖棠堂膛螳	躺淌倘傥	趟耥烫荡宕						
nõ		囊瓤馕	攮							
lõ		郎廊榔螂琅=狼踉	朗琅-阆	浪㫰(~衣裳)						
tsõ	脏(~兮兮)赃张章獐樟臧	长(生~)涨(~潮)掌		葬仗帐胀账涨(~红了脸)障瘴						
tsʰõ	仓苍沧舱昌菖鲳猖娼阊	藏长(~短)常尝=裳=偿=肠场	厂敞氅	唱倡畅伥怅藏脏丈杖						
sõ	桑商墒丧(~事)伤	尝裳偿	嗓搡磉赏偿-(旧读)	丧(~失)上尚绱						
kõ	冈刚纲岗钢肛缸豇江-光胱咣		港讲-广犷	焵杠降-(霜~)逛						
kʰõ	康糠慷羌-(姓)桄匡框哐筐眶诓	抗吭-(呼唤)狂		抗炕亢囥(藏)况矿旷圹						
ŋõ	肮	昂卬								
xõ	夯荒慌肓	吭=航杭绗行(竹~)黄=皇惶徨隍蝗凰蟥潢璜磺簧	吭-(喘气)谎恍幌	项巷晃						
ɻõ		瓤	壤嚷攘	让蘘(~荷)						
uõ	汪	王黄-亡	网辋惘往枉	妄望妄忘旺						
tɕyõ	桩庄装妆		奘(粗)	壮						
tɕʰyõ	疮窗	床(新派)	闯	创怆撞幢状						
ɕyõ	霜孀双	床	爽							
niẽ	孃(~~：姑姑)	娘	仰	酿						
liẽ		良凉量(~尺寸)粮梁粱	两俩辆	量(份~)亮谅晾						
tɕiẽ	间=(时~)奸艰=将(~来)浆糨僵疆缰姜江=(~滩)监=(太~)		讲=蒋奖=桨简柬减	酱奖-将(大~)降=(~落)监=(~督)间=(~隔)谏犟=鉴=绛						
tɕʰiẽ	枪呛腔羌=	强墙祥详翔降-(投~)	抢	戗(支撑：~门)象像橡犟匠						
ɕiẽ	香相(~对)厢湘箱襄镶乡	降=闲=(~话)娴=	响饷想鲞享	向相(丞~)限=陷=						
iẽ	央秧殃鸯炀-	羊洋蛘烊扬炀=杨疡飏阳	养痒	样恙烊						
