nɛ̽ʔ						捏				
lɛ̽ʔ						勒肋				
tsɛ̽ʔ					仄啧蜇谪这摘只职贽则责汁织执质					
tsʰɛ̽ʔ					尺赤拆恻掣宅泽择侧测涉策册厕=(~所)释-秩	殖植直値贼掷				
sɛ̽ʔ					穑樯塞瑟拭轼饰涩色啬湿虱失识式适释=	十拾实食蚀室石射				
kɛ̽ʔ					格隔革胳嗝					
kʰɛ̽ʔ					克刻咳客咯	隔				
ŋɛ̽ʔ					额杌扼轭					
xɛ̽ʔ					吓黑赫	核				
ɻɛ̽ʔ						入				
kuɛ̽ʔ					骨					
kʰuɛ̽ʔ						窟				
xuɛ̽ʔ					忽					
tɕʰyɛ̽ʔ					出					
ɕyɛ̽ʔ						术述沭秫率(~领)蟀				
poʔ					百伯柏北搏博驳剥缚-卜					
pʰoʔ					迫扑朴仆拍粕泊珀魄璞蹼濮帛	白铂薄雹				
moʔ						木沐牧目麦脉穆睦莫漠寞摸募末沫茉默				
foʔ					褔幅辐复腹袱蝠缚=蝮馥覆	伏服腹匐				
toʔ					督笃					
tʰoʔ					托秃拓庹	犊读牍渎毒碡独踱				
noʔ						诺				
loʔ						陆录绿六烙酪铬骆络赂碌禄鹿漉辘麓氯落乐戮				
tsoʔ					作足竹筑烛嘱祝着粥卒竺桌卓捉拙菊鞠掬					
tsʰoʔ					畜促撮绰戳曲	凿浊族俗着触轴妯啄酌镞逐续昨镯局				
soʔ					缩索束速宿蓿肃啸粟僳夙畜蓄旭	嘱属赎勺熟塾孰芍蜀				
koʔ					各阁谷国角搁觉					
kʰoʔ					确-壳哭酷阔					
ŋoʔ					恶	鳄愕鄂谔腭				
xoʔ					霍=攉藿嚄郝	学-鹤获或惑斛				
ɻoʔ						肉褥辱若弱				
ioʔ					郁育域狱役疫毓	欲浴				
kuoʔ					郭廓					
kʰuoʔ					扩廓					
xuoʔ					豁					
uoʔ					握沃屋	霍-(~闪)卧				
piɪʔ					蹩鳖逼笔必臂毕壁璧瘪憋愎弼碧					
pʰiɪʔ					撇匹劈辟瞥霹癖	别鼻荸枇				
miɪʔ					灭密蜜觅蔑篾					
tiɪʔ					跌滴的嫡碟摘-					
tʰiɪʔ					碟贴帖铁踢惕剔蝶谍牒	狄籴迭翟(姓)荻迪涤敌笛				
niɪʔ						捏逆聂镊孽溺镍匿				
liɪʔ						力历沥砺律猎列烈裂劣立粒笠栗溧				
tɕiɪʔ					级急劫瘠吉即揭积脊给拮髻结洁诘疖鲫节亟岌接迹绩激击寂哲折浙					
tɕʰiɪʔ					切窃妾讫彻澈辙撤	席竭辑捷婕睫桀藉杰截协集及疾极籍缉寂习				
ɕiɪʔ					摄设歇泄吸袭息熄惜析锡慑夕螅汐隙昔胁揭雪-	舌折(~本)				
iɪʔ					一乙噎益溢译亦壹驿绎缢邑挹佚轶昳奕弋抑逸揖	热日业叶邺页易				
tsʰəʔ					七柒漆吃迄					
pʊʔ					钵拨					
pʰʊʔ					泼					
kʊʔ					鸽割葛括合-(~算)蛤					
kʰʊʔ					渴阔嗑磕					
xʊʔ					喝褐	活=合盒涸阖				
ʊʔ					屋握沃	活				
tiyʔ					掇					
tʰiyʔ					脱	夺叠-				
tɕiyʔ					决诀抉玦					
tɕʰiyʔ					倔缺	绝				
ɕiyʔ					血说					
iyʔ						悦越月阅刖樾钺粤				
