// HSD Syllabary Data Partition
// 地区：甘肅省-平涼市-靜寧縣-城川鎮
// 来源：呂超榮《甘肅靜寧（城川）方言語音研究》
// 规范：HSD v1.0 (Strict-Typed)

@LOC	甘肅省-平涼市-靜寧縣-城川鎮
@SRC	呂超榮《甘肅靜寧（城川）方言語音研究》

@INI	p	pʰ	m	f	v	t	tʰ	n	l	ts	tsʰ	s	tʂ	tʂʰ	ʂ	ʐ	k	kʰ	ŋ	x
@FIN	aɣ̃
@TON	平聲	213
@TON	上聲	52
@TON	去聲	44

// Initial	Final	Tone	CharList (Space separated)
p	ei	去聲	貝 倍 輩 背{后~} 餔{用火烘烤五穀之類：~豆豆兒}
pʰ	ei	平聲	培 陪 賠 倍 焙{培~} 拍{拍~手} 披{~衣服}
pʰ	ei	上聲	丕
pʰ	ei	去聲	沛{公~} 配 佩
m	ei	平聲	梅 枚 煤 媒
m	ei	上聲	每 美
m	ei	去聲	妹 魅 寐 媚 味
f	ei	平聲	非 飛 肥 妃
f	ei	上聲	匪 翡
f	ei	去聲	痱 費 廢 沸{~水} 吠 肺
v	ei	平聲	桅 危 為{作~} 維 唯 帷 微 威{~戎：地名} 韋 幃 違 圍 葦{~蘆} 緯 猥 蝟 □{坐著挪動身子}
v	ei	上聲	委 萎 偽 痿 逶 倭 尾{~巴} 偉 煨{~炕，~火}
v	ei	去聲	衛 為{~什麼} 位 未 味 魏 畏 慰 胃 謂 渭 尉{上~} 喂 蔚 蝟 外{~奶：外婆}
t	ei	平聲	跌{~倒} 咥 滴 掉{~下去}
t	ei	上聲	嘚{農夫驅趕牲畜的吆喝聲}
ts	ei	平聲	賊
s	ei	平聲	誰
tʂ	ei	平聲	遮 蔗 褶 哲{~學} 轍 折 浙 蟄{驚~} 摭{打~：收拾}
tʂ	ei	上聲	者 這{表近指：~個}
tʂ	ei	去聲	哲 蜇{~人：蠍子等咬人} □{不順手，不習慣：左手寫字~很}
tʂʰ	ei	平聲	車 徹
tʂʰ	ei	上聲	扯{~布} 徹 撤
tʂʰ	ei	去聲	扯{形容物體放置歪斜或衣冠不整：牆泥~了}
ʂ	ei	平聲	蛇 攝 奢 賒 涉 舌 設 折{弄斷}
ʂ	ei	上聲	舍{~棄} 捨 赦
ʂ	ei	去聲	射 庫{姓} 社 余{姓} 麝{~香} 舍{宿~} 懾
ʐ	ei	平聲	熱
ʐ	ei	上聲	惹
k	ei	去聲	給{介詞：~你}
x	ei	平聲	黑
x	ei	上聲	嘿{擬聲詞}
// HSD Syllabary Data Partition
// 地区：甘肅省-平涼市-靜寧縣-城川鎮
// 来源：呂超榮《甘肅靜寧（城川）方言語音研究》
// 规范：HSD v1.0 (Strict-Typed)

@LOC	甘肅省-平涼市-靜寧縣-城川鎮
@SRC	呂超榮《甘肅靜寧（城川）方言語音研究》

@INI	p	pʰ	m	t	tʰ	n	l	tʃ	tʃʰ	ʃ	ʒ	ȵ	∅
@FIN	i
@TON	平聲	213
@TON	上聲	52
@TON	去聲	44

// Initial	Final	Tone	CharList (Space separated)
p	i	平聲	碑 蓖 俾 逼 卑 婢 臂{手~} 鄙 篦 筆 畢 必 弼 碧 壁 璧
p	i	上聲	彼 比 秕{~穀} 潷{使液體從固態物質中分離出來}
p	i	去聲	弊 敝 斃 幣 箅{~子} 陸 閉 被 備 鐾{~刀}
pʰ	i	平聲	批 裴{姓} 皮 疲 脾 鼻 琵 枇 痹{麻~} 屄{女陰}
pʰ	i	上聲	蔽 避 譬 轡{馬籠頭} 底 匹 辟 僻 劈
pʰ	i	去聲	屁 蚍{~蜉螞：螞蟻的俗稱}
m	i	平聲	迷 糜 彌 獼 眉 楣 祕 泌 密 蜜 覓 □{竹篾}
m	i	上聲	女 呂{姓} 米
m	i	去聲	謎 眯 □{填充物體表面的隙縫：~牆縫}
t	i	平聲	低 笛 敵 狄 迪 羝{~羊：公羊} 嫡 的 滴
t	i	上聲	底 抵
t	i	去聲	第 弟 帝 遞 地 諦 嘀{擬聲詞，形容鐘表、喇叭等的聲音}
tʰ	i	平聲	提 題 梯 堤 蹄 啼 屜{抽~} 踢
tʰ	i	上聲	體
tʰ	i	去聲	替 剃 剔 屜
n	i	上聲	你{面稱}
l	i	平聲	黎 離{~別，~開半寸} 犁 麗 隸 籬 璃 荔 梨 厘 釐 狸{~貓：野貓} 驪 立 笠 粒 力 歷
l	i	上聲	李 理 里{~子裏} 禮 栗 鯉 鋰 娌
l	i	去聲	例 厲 勵 履{~行} 利 痢 吏 俐 莉 劙{①刺破，割破：用刀~個口子；②把肉等切成小塊：~肉}
tʃ	i	平聲	豬 儲 諸 誅 珠 蛛 株 朱 硃 鑄 雞 稽 肌 飢 几{茶~} 基 杞{枸~} 機 譏 帚{笤~} 急 集 輯 緝{~通} 級 給{供~} 及 疾 吉 術{白~} 即 鯽 極 戟 屐{泥屐：舊時農村人雨雪天綁在腳下的一種木製鞋具，形似小板凳，高約兩三寸，用來走泥濘的土路} 積 跡 躋 脊 籍 藉{狼~} 擊 激 績 寂 溺{~水} 祝 燭 囑 觸 墼{胡~：土坯}
tʃ	i	上聲	煮 主 擠 濟{~南} 拄 己 几{~個，~乎} 蟣{~子：蝨子的卵} □{~~：詞綴，多指食物不合口味或某物看不順眼，如“甜不~~、酸不~~”} □{iaɤ²¹³~：委托辦理}
tʃ	i	去聲	著 箸{~籠罐：放筷子的廚具} 柱{~頂石：柱子底下的石頭} 助 注 住 駐 蛀 註 祭 際 薺{~~菜} 濟{~公} 劑 計 繼 繫{~鞋帶} 髻 寄 技 妓 冀 記 紀 忌 既
tʃʰ	i	平聲	除 初 鋤 廚 妻 淒 齊 臍 奇 騎 歧 畜{~生} 祁{姓} 雏{鵓鴿~} 欺 其 棲{~遑} 棋 期 旗 祈 緝{~鞋口} 七 漆 膝{~蓋} 出 搐 處{~理}
tʃʰ	i	上聲	褚{姓} 楚 礎 處{相~} 磉{柱下石} 杵 鼠{老~} 啟 起 乞 訖 迄{~今} 黝{黑~~：形容天黑} 舒{~坦：舒服}
tʃʰ	i	去聲	去 契 砌 器 棄 氣 汽 泣 戚
ʃ	i	平聲	梳 疏{~遠，注~} 蔬 書 舒 樞 輸 戌 西 犧 棲{~涼} 犀 樨 溪 蹊 鼷 希 稀 習 吸 悉 蟋 息 熄 媳 惜 昔 席 夕 錫 析 叔 熟 淑 贖 束{量詞：一~} 秫{~~：一種農作物，類似於高粱} □{介詞，朝，向：~東走}
ʃ	i	上聲	暑 鼠 黍 薯 署 數{~數，動詞} 洗 徙{~：遷~} 喜 禧 嬉 蟢{~子} 豈 漱{~口} 襲 蜀
ʃ	i	去聲	術{藝~} 樹 數{名詞} 豎 細 系{聯~} 係 戲 述
ʒ	i	平聲	如 入 褥
ʒ	i	上聲	汝 儒 乳 辱
ʒ	i	去聲	孺
ȵ	i	平聲	泥 尼 倪 你{此音現在基本不用} 擬{~人} 匿 逆 疑{懷~}
ȵ	i	去聲	膩{~人} 溺
∅	i	平聲	一 宜 誼 倚{立} 移 伊 矣 夷 姨 肄{~業} 疑 擬{~稿} 醫 飴{高粱~} 毅 沂{~蒙山，地名} 依 遺 揖{作~} 乙 逸 抑 溢 益 亦 譯 液{~體} 腋{~窩：胳肢窩} 衣 □{因長時間保持某種姿勢或持有某物體而手腳乏力的狀態：手~很，快拿不住了}
∅	i	上聲	蟻 椅 已 以 尾{~巴} 倚{手扶在某物上}
∅	i	去聲	藝 刈{~草} 懿 儀 義 意 益 又 縊 易 議 異 胰{~子：肥皂} 憶 億 翼 疫 役 羿{后~}
// HSD Syllabary Data Partition
// 地区：甘肅省-平涼市-靜寧縣-城川鎮
// 来源：呂超榮《甘肅靜寧（城川）方言語音研究》
// 规范：HSD v1.0 (Strict-Typed)

@LOC	甘肅省-平涼市-靜寧縣-城川鎮
@SRC	呂超榮《甘肅靜寧（城川）方言語音研究》

@INI	p	pʰ	l	tɕ	tɕʰ	ȵ	ɕ	∅
@FIN	iaɣ̃
@TON	平聲	213
@TON	上聲	52
@TON	去聲	44

// Initial	Final	Tone	CharList (Space separated)
p	iaɣ̃	上聲	□{擬聲詞：巴掌聲}
pʰ	iaɣ̃	上聲	□{擬聲詞}
l	iaɣ̃	平聲	良 糧 梁 梁 量{往進買糧食：~麥子}
l	iaɣ̃	上聲	兩 輛
l	iaɣ̃	去聲	涼 亮 諒 晾 量{~長短}
tɕ	iaɣ̃	平聲	將{~來} 江 豇{~豆} 漿 疆 僵 薑 殭 羌{~族} 姜 繮 剛{~~：剛才}
tɕ	iaɣ̃	上聲	獎 講 槳 蔣
tɕ	iaɣ̃	去聲	醬 彈 將{~領} 匠 虹{天上的彩虹} 糨{~子：糨糊} 降{下~}
tɕʰ	iaɣ̃	平聲	藏 槍 墻 強 降{投~} 腔{口~} □ □{~臉風：逆風}
tɕʰ	iaɣ̃	上聲	嗆 搶 槍 強{勉~} □{安~：恰好}
tɕʰ	iaɣ̃	去聲	羌
ȵ	iaɣ̃	平聲	娘{母親的面稱，也用於稱呼大伯的配偶}
ȵ	iaɣ̃	上聲	仰{~板睡：仰面躺著睡覺}
ȵ	iaɣ̃	去聲	釀
ɕ	iaɣ̃	平聲	相 箱 廂 湘 鑲 襄 詳 祥 香 鄉 翔 隆
ɕ	iaɣ̃	上聲	想 享 響 餉
ɕ	iaɣ̃	去聲	象 像 橡 相 向 巷 項
∅	iaɣ̃	平聲	陽 楊 羊 洋 佯 揚 央 秧 殃 殃 烊{打~} 癆 鴦 □{~ tɕi⁵²：委託辦理}
∅	iaɣ̃	上聲	養 癢 仰{~視}
∅	iaɣ̃	去聲	樣 漾 恙 □{倉皇逃跑：看到我，賊娃子趕緊~了}
// HSD Syllabary Data Partition
// 地区：甘肅省-平涼市-靜寧縣-城川鎮
// 来源：呂超榮《甘肅靜寧（城川）方言語音研究》
// 规范：HSD v1.0 (Strict-Typed)

@LOC	甘肅省-平涼市-靜寧縣-城川鎮
@SRC	呂超榮《甘肅靜寧（城川）方言語音研究》

@INI	p	pʰ	m	t	tʰ	l	tɕ	tɕʰ	ȵ	ɕ	∅
@FIN	iæ̃
@TON	平聲	213
@TON	上聲	52
@TON	去聲	44
@TON	輕聲	21

// Initial	Final	Tone	CharList (Space separated)
p	iæ̃	平聲	邊 編 鞭
p	iæ̃	上聲	貶 扁 匾 蝙{~蝠} 綆{①卷起褲腿或袖子；②縫貼邊時的折痕：先把鞋口~好再縫}
p	iæ̃	去聲	辨 變 辯 便{方~} 辮{~子} 遍
pʰ	iæ̃	平聲	偏 便{~宜}
pʰ	iæ̃	上聲	片 篇 諞{~閑傳：聊天} 刷{用刀猛削}
pʰ	iæ̃	去聲	騙 辯 變{~工：互換勞動力}
m	iæ̃	平聲	棉 眠 綿 靦{~腆}
m	iæ̃	上聲	免 勉 娩 緬{~甸} 澠{~池}
m	iæ̃	去聲	面 麵
t	iæ̃	平聲	顛 掂 玷{~輕拍重} 癲{~癇}
t	iæ̃	上聲	點 典 腆
t	iæ̃	去聲	店 惦 電 殿 奠 簟{席子} 佃 墊 踮
tʰ	iæ̃	平聲	天 田 甜 填 添 舔{~筆}
tʰ	iæ̃	上聲	舔{以舌取物} 靦{~~}
l	iæ̃	平聲	廉 連 帘 聯 怜 蓮 鐮 簾 鰱
l	iæ̃	上聲	斂 殮{收~：使死人入棺}
l	iæ̃	去聲	練 鏈 煉 戀{留~}
l	iæ̃	輕聲	□{苴~}
tɕ	iæ̃	平聲	尖 兼 監{~視} 艱 間{~斷} 奸 殲 煎 肩 堅 箋 犍{~牛：公牛} 掮 搛{用筷子夾取食物：~菜} □{“今天”的合音}
tɕ	iæ̃	上聲	剪 減 鹹{洋~：肥皂，又稱胰子} 撿 檢 儉 劍 揀 簡 柬 諫 澗 襇 踐 茧 趼 囝 □{量詞，多指捆綁好待打碾的莊稼，如一~~麥子} □{將食物等從一個容器移到另外一個容器：~飯、~水}
tɕ	iæ̃	去聲	見 監{國子~} 艦 鍵 銅件 漸 戔 賤 建 鍵 健 腱 箭 鑒 間{~菜：把長得稠的菜拔稀} □{靠，倚：~在墻上}
tɕʰ	iæ̃	平聲	嵌 簽 潛 鉗 謙 遷 錢 乾{~坤} 虔 千 前 鉛 牽 殲 叉
tɕʰ	iæ̃	上聲	歉 淺 譴 遣 □{~窪：大腿根部}
tɕʰ	iæ̃	去聲	欠 倩 芡{勾~}
ȵ	iæ̃	平聲	年 黏 又 粘 鮎 蔫{植物因缺水而萎縮：花~了} 嚴{沒有縫隙：把門閉~}
ȵ	iæ̃	上聲	臉{傷~：丟人} 眼 撵 辇 捻 撚{用手指揉碎} 碾{名詞：~子}
ȵ	iæ̃	去聲	念 碾{動詞：~麥子}
ɕ	iæ̃	平聲	閑 咸 衔 仙 先 賢 嫌 弦 掀 嫻 鍁 癇{~癲} 掀{農具，一般是木制的，揚場時用}
ɕ	iæ̃	上聲	險 顯 洗{姓} 鮮{新~} 癬
ɕ	iæ̃	去聲	羡 現 憲 線 獻 縣 陷 腺 限 峴{雙~：地名}
∅	iæ̃	平聲	炎 淹 盐 閻 研 妍 閆 言 儼 嚴{~肅} 彦 顏 岩 烟 延 筵 涎{垂~~三尺} 閹 檐 腌 焉{心不在~} 沿 蜒{蚰~} 芫{~荽} 湮{~沒}
∅	iæ̃	上聲	掩 演 奄 埯 堰{~子} 悲 庵 衍{液體因太滿而從容器中溢出來} □{~~：竹篾等編成的，用於提東西的器具} □{用於恐嚇、威脅某人：“你~著！……”相當於“你小心著！……”}
∅	iæ̃	去聲	驗 厭 艷 燕 嚥 雁 焰 堰 硯 晏 諺 宴 咽
// HSD Syllabary Data Partition
// 地区：甘肅省-平涼市-靜寧縣-城川鎮
// 来源：呂超榮《甘肅靜寧（城川）方言語音研究》
// 规范：HSD v1.0 (Strict-Typed)

@LOC	甘肅省-平涼市-靜寧縣-城川鎮
@SRC	呂超榮《甘肅靜寧（城川）方言語音研究》

@INI	p	pʰ	m	l	tʃ	tʃʰ	ȵ	ʃ	∅
@FIN	iɑ
@TON	平聲	213
@TON	上聲	52
@TON	去聲	44
@TON	輕聲	21

// Initial	Final	Tone	CharList (Space separated)
p	iɑ	平聲	□{動詞：①把某物粘在另一物體上：把畫~在牆上；②指人慵懶地躺在床上}
p	iɑ	上聲	□{擬聲詞，物體掉落在地上的聲音}
pʰ	iɑ	平聲	□{擬聲詞} □{~iɑ⁵² iɑ²¹³：指液體的東西盛得太滿，接近容器邊沿的狀態}
pʰ	iɑ	上聲	□{擬聲詞} □{動詞，指兩腿分開的動作：~開}
m	iɑ	上聲	喵{~嗚：貓叫的聲音}
l	iɑ	平聲	兩{口語常用} 倆
tʃ	iɑ	平聲	家 加 痂 迦 枷 袈{~裟} 嘉 傢{~具} 稼 佳 夾 挾{~菜} 夾{~衣} 甲 鉀 胛 疥 頰 莢 浹 圿{垢~：污垢}
tʃ	iɑ	上聲	假{真~，放~} 賈{姓}
tʃ	iɑ	去聲	架 駕 嫁 價 □{動詞，把物體置於桌子等上}
tʃʰ	iɑ	平聲	掐
tʃʰ	iɑ	上聲	恰 洽{接~} 卡{~住，~子} □{量詞，一~~蒜：一瓣蒜}
tʃʰ	iɑ	去聲	□{竭力節省，使其剩下}
tʃʰ	iɑ	輕聲	□{“去啊”的合音：你走呀搭~？（你去哪呢？）}
ȵ	iɑ	平聲	押 娘{母親的背稱，多表不親切}
ȵ	iɑ	去聲	壓 軋
ʃ	iɑ	平聲	霞 暇 遐 瑕 轄{管~} 蝦 蝦 峽 狹 匣 洽
ʃ	iɑ	去聲	夏 廈{~門} 下{~課}
∅	iɑ	平聲	牙 芽 哪{表疑問：~個、~搭} 呀 哎{~：表示驚嘆} 衙 蚜 鴉 椏{枝~} 涯 鴨 押 □{piɑ²¹³ iɑ⁵²~：指液體的東西盛得太滿，接近容器邊沿的狀態}
∅	iɑ	上聲	雅 啞 也{助詞：你去我~去呢} □{piɑ²¹³~iɑ²¹³：指液體的東西盛得太滿，接近容器邊沿的狀態}
∅	iɑ	去聲	亞 壓
// HSD Syllabary Data Partition
// 地区：甘肅省-平涼市-靜寧縣-城川鎮
// 来源：呂超榮《甘肅靜寧（城川）方言語音研究》
// 规范：HSD v1.0 (Strict-Typed)

@LOC	甘肅省-平涼市-靜寧縣-城川鎮
@SRC	呂超榮《甘肅靜寧（城川）方言語音研究》

@INI	p	pʰ	m	t	tʰ	l	tʃ	tʃʰ	ȵ	ɕ	∅
@FIN	iɔu
@TON	平聲	213
@TON	上聲	52
@TON	去聲	44

// Initial	Final	Tone	CharList (Space separated)
p	iɔu	平聲	標 膘 彪 飆 嫑{~不要：合音}
p	iɔu	上聲	表 裱 錶 婊{~子：罵人的話，指女人風騷，不檢點}
pʰ	iɔu	平聲	飄 嫖 票 鰾 漂{~起來} 朴{姓}
pʰ	iɔu	上聲	漂{~亮} 膘
pʰ	iɔu	去聲	票 漂{~白}
m	iɔu	平聲	苗 描 瞄 喵 矛{~子：一種金屬製成的尖頭器物，走夜路時拄著用於自身防衛}
m	iɔu	上聲	秒 渺 藐 淼
m	iɔu	去聲	妙 廟
t	iɔu	平聲	叼 刁 雕 貂 稠{~堡} 凋
t	iɔu	去聲	釣 吊 調{音~} 掉 調{~換}
tʰ	iɔu	平聲	條 窕 跳{~動} 苕 調{~和；調料} 笤{~帚} 挑{~擔子}
tʰ	iɔu	上聲	挑{~柴：動詞}
tʰ	iɔu	去聲	跳{~繩} 糶{~糧食：往出賣} 調{~換}
l	iɔu	平聲	燎{星火~原} 療 聊 瞭 寥 廖{姓} 遼 撩{~襟} 敹{~衣服：敹縫}
l	iɔu	上聲	了{表示完結} 燎{火~}
l	iɔu	去聲	料 尥{馬~蹶子} 僚
tʃ	iɔu	平聲	交 郊 膠 教{~書} 焦 蕉 椒 澆 繳 礁
tʃ	iɔu	上聲	僥 絞 剿 皎 驕 矯 嬌 攪 狡 鉸{剪}
tʃ	iɔu	去聲	叫 窖 跤 教{~育} 覺{睡~} 較 轎 酵{~子：少量發酵好的麵團，用於使麵再次發酵} □{牛倒~窩} □{時間長：麥黃六月的天氣~得很}
tʃʰ	iɔu	平聲	敲 繰{~邊：縫衣邊} 樵 瞧 憔 悄 僑 橋 喬 蕎
tʃʰ	iɔu	上聲	巧 鳥 雀 鵲
tʃʰ	iɔu	去聲	竅 俏 峭 鍬 撬 翹{~~板} □{①形容路面比較泥濘；②在泥裏踩的動作}
ȵ	iɔu	上聲	咬 鳥 □{~人：身上發癢}
ȵ	iɔu	去聲	尿
ɕ	iɔu	平聲	肖 淆 消 銷 逍 宵 霄 蕭 簫 器 硝 瀟 枵 屑{木~} 梟{~雄} □{指人十分小氣} □{指衣服等單薄，不結實} □{指腳離開地面或沒有踩實：~著走}
ɕ	iɔu	上聲	小 曉
ɕ	iɔu	去聲	校 哮 笑 效 酵{發~} 鞘{刀~} 孝
∅	iɔu	平聲	要{~求} 腰 妖 窈{~窕} 搖 遙 謠 瑤 窯 姚{姓} 邀 堯 肴 吆{~喝} □{~馬：趕牲畜} □{~東走：往，朝}
∅	iɔu	上聲	舀 杳{~無音訊}
∅	iɔu	去聲	要{重~} 耀{榮~} 躍{跳~} 鷂{~鷹} 葽{捆紮東西的草繩子：~麥子}
// HSD Syllabary Data Partition
// 地区：甘肅省-平涼市-靜寧縣-城川鎮
// 来源：呂超榮《甘肅靜寧（城川）方言語音研究》
// 规范：HSD v1.0 (Strict-Typed)

@LOC	甘肅省-平涼市-靜寧縣-城川鎮
@SRC	呂超榮《甘肅靜寧（城川）方言語音研究》

@INI	p	pʰ	t	l	tɕ	tɕʰ	ȵ	ɕ	∅
@FIN	iəu
@TON	平聲	213
@TON	上聲	52
@TON	去聲	44

// Initial	Final	Tone	CharList (Space separated)
p	iəu	上聲	□{擬聲詞}
pʰ	iəu	上聲	□{擬聲詞，扔東西時發出的聲音}
t	iəu	平聲	丟 留{刻意使某物剩餘}
l	iəu	平聲	六 流 劉 硫 留 榴 溜 琉 餾 瀏 瑠 瘤 綠{~顏色}
l	iəu	上聲	柳 □{~娃子：小偷}
l	iəu	去聲	溜 綹{量詞，多用於指長條狀的物體}
tɕ	iəu	平聲	糾 鳩 鬮 歸 柩 糾 揪 蹴{圪~~（兒）：蹲下} 攀{抓住：一把~住}
tɕ	iəu	上聲	酒 久 灸 韭 九 啾
tɕ	iəu	去聲	就{~位} 廄 舅 救 舊 究 咎 蹴{蹲，坐}
tɕʰ	iəu	平聲	秋 求 球 丘 囚 邱 裘 酋 仇{姓} 蚯 鞦 尿{男陰}
tɕʰ	iəu	去聲	就{~是}
ȵ	iəu	平聲	牛
ȵ	iəu	上聲	扭 鈕 紐 拗 謬 謬{~論}
ȵ	iəu	去聲	謬
ɕ	iəu	平聲	休 修 羞 泅 □{~人：指幹某事費時費力}
ɕ	iəu	上聲	朽 嗅{用鼻子聞}
ɕ	iəu	去聲	秀 銹 繡 袖 宿{星~} 嗅 莠{麥稈上的黑點、碗上的疤等：麥稈上~滿著呢，要趕緊打藥呢}
∅	iəu	平聲	尤 優 猶 憂 郵 由 油 游 鼬{黃~} 幽 悠 釉 蚰{~蜒} 魷 莜{~麥} 莠{雜草：谷~子}
∅	iəu	上聲	有 酉
∅	iəu	去聲	右 又 友 誘 佑 幼 祐 柚
// HSD Syllabary Data Partition
// 地区：甘肅省-平涼市-靜寧縣-城川鎮
// 来源：呂超榮《甘肅靜寧（城川）方言語音研究》
// 规范：HSD v1.0 (Strict-Typed)

@LOC	甘肅省-平涼市-靜寧縣-城川鎮
@SRC	呂超榮《甘肅靜寧（城川）方言語音研究》

@INI	p	pʰ	m	t	tʰ	l	tʃ	tʃʰ	ȵ	ɕ	∅
@FIN	iɛ
@TON	平聲	213
@TON	上聲	52
@TON	去聲	44

// Initial	Final	Tone	CharList (Space separated)
p	iɛ	平聲	別{~人} 憋 鼈 幅{①大口大口地吃東西；②吃飽後腹部發脹：肚子吃得~很}
p	iɛ	上聲	愊{~嘴：因不高興而撅著嘴}
p	iɛ	去聲	迸{豆子等體積較小的圓形物體彈起來}
