							#調值 [1]213 [2]45 [3]24 [5]53 [7]55
2126	鋤	tsʰ	uɤ	45	陽平		
2152	徐	ɕ	y	45	陽平		
2161	豬	ts	u	213	陰平		
2162	䐗	ts	u	213	陰平		
2163	猪	ts	u	213	陰平		
2191	除	tsʰ	u	45	陽平		
2204	如	z	u	45	陽平		
2378	須	ɕ	y	213	陰平		
2833	蘇	s	u	213	陰平		
2888	麁	tsʰ	u	213	陰平		
2893	粗	tsʰ	u	213	陰平		
2935	犂	l	i	45	陽平		
2936	𤛿	l	i	45	陽平		
2955	妻	tɕ	i	213	陰平		
3066	雞	tɕ	i	213	陰平		
3067	鷄	tɕ	i	213	陰平		
3146	梯	tʰ	i	213	陰平		
3191	泥	n	i	45	陽平		
3192	埿	n	i	45	陽平		
3264	街	tɕ	iɛ	213	陰平		
3268	鞵	ɕ	iɛ	45	陽平		
3269	鞋	ɕ	iɛ	45	陽平		
3273	牌	pʰ	ai	45	陽平		
3295	柴	tsʰ	ai	45	陽平		
3355	街	tɕ	iɛ	213	陰平		
3368	鞋	ɕ	iɛ	45	陽平		
3370	排	pʰ	ai	45	陽平		
3373	牌	pʰ	ai	45	陽平		
3408	齋	ts	ai	213	陰平		
3432	灰	x	uei	213	陰平		
3495	雷	l	ei	45	陽平		
3496	𩂩	l	ei	45	陽平		
3598	開	kʰ	ai	213	陰平		
3654	來	l	ai	45	陽平		
3733	真	ts	ə̃	213	陰平		
3753	因	∅	iɪ̃	213	陰平		
3776	新	ɕ	iɪ̃	213	陰平		
3794	人	z	ə̃	45	陽平		
3831	鄰	n	iɪ̃	45	陽平		
3860	陳	tsʰ	ə̃	45	陽平		
3861	敶	tsʰ	ə̃	45	陽平		
3958	貧	pʰ	iɪ̃	45	陽平		
3959	𡧋	pʰ	iɪ̃	45	陽平		
4070	春	tsʰ	uə̃	213	陰平		
4072	勻	∅	yɪ̃	45	陽平		
4078	循	ɕ	yɪ̃	45	陽平		
4092	均	tɕ	yɪ̃	213	陰平		
4141	蟁	β	ə̃	45	陽平		
4142	蚊	β	ə̃	45	陽平		
4143	䘇	β	ə̃	45	陽平		
4183	墳	x	uə̃	45	陽平		
4219	分	x	uə̃	213	陰平	分開。	
4242	君	tɕ	yɪ̃	213	陰平		
4282	斤	tɕ	iɪ̃	213	陰平		
4299	原	∅	yɛ̃	45	陽平		
4422	言	∅	iɛ̃	45	陽平		
4515	門	m	ə̃	45	陽平		
4558	屯	tʰ	ə̃	45	陽平		
4580	村	tsʰ	ə̃	213	陰平		
4606	婚	x	uə̃	213	陰平		
4623	恩	ɣ	ə̃	213	陰平		
4626	吞	tʰ	ə̃	213	陰平		
4630	寒	x	ã	45	陽平		
4648	丹	t	ã	213	陰平		
4660	難	n	ã	45	陽平	困難。	
4661	𪅀	n	ã	45	陽平	困難。	
4662	𩁢	n	ã	45	陽平	困難。	
4663	𩁚	n	ã	45	陽平	困難。	
4708	肝	k	ã	213	陰平		
4720	蘭	l	ã	45	陽平	蘭花。	
4808	酸	s	uã	213	陰平		
4834	官	k	uã	213	陰平		
4871	寬	kʰ	uã	213	陰平		
4879	槃	pʰ	ã	45	陽平		
4880	盤	pʰ	ã	45	陽平		
4881	鎜	pʰ	ã	45	陽平		
4882	柈	pʰ	ã	45	陽平		
4941	關	k	uã	213	陰平		
4942	関	k	uã	213	陰平		
4947	彎	β	ã	213	陰平		
4952	𣠯	s	uã	213	陰平		
4973	班	p	ã	213	陰平		
4995	姦	tɕ	iɛ̃	213	陰平		
5009	山	s	ã	213	陰平		
5015	閒	tɕ	iɛ̃	213	陰平	中間。	
5074	先	ɕ	yɛ̃	213	陰平		
5119	肩	tɕ	iɛ̃	213	陰平		
5131	賢	ɕ	iɛ̃	45	陽平		
5132	臤	ɕ	iɛ̃	45	陽平		
5189	秊	n	iɛ̃	45	陽平		
5190	年	n	iɛ̃	45	陽平		
5309	錢	tɕʰ	iɛ̃	45	陽平		
5323	然	z	ã	45	陽平		
5434	棉	m	iɛ̃	45	陽平		
5451	泉	tɕʰ	yɛ̃	45	陽平		
5456	宣	ɕ	yɛ̃	213	陰平		
5524	船	tsʰ	uã	45	陽平		
5525	舩	tsʰ	uã	45	陽平		
5526	鞭	p	iɛ̃	213	陰平		
5554	甎	ts	uã	213	陰平		
5574	圜	∅	yɛ̃	45	陽平		
5575	圓	∅	yɛ̃	45	陽平		
5604	權	tɕʰ	yɛ̃	45	陽平		
5628	傳	tsʰ	uã	45	陽平	宣傳。	
5700	條	tʰ	iɔ	45	陽平		
5814	超	tsʰ	ɔ	213	陰平		
5853	驕	tɕ	iɔ	213	陰平		
5862	焦	tɕ	iɔ	213	陰平		
5863	𤓪	tɕ	iɔ	213	陰平		
5885	燒	s	ɔ	213	陰平		
5901	搖	∅	iɔ	45	陽平		
5936	招	ts	ɔ	213	陰平		
5990	橋	tɕʰ	iɔ	45	陽平		
6035	飄	pʰ	iɔ	213	陰平		
6100	巢	tsʰ	ɔ	45	陽平		
6173	敲	tɕʰ	iɔ	213	陰平		
6191	抓	ts	ua	213	陰平		
6251	高	k	ɔ	213	陰平		
6339	刀	t	ɔ	213	陰平		
6460	歌	k	uɤ	213	陰平		
6461	謌	k	uɤ	213	陰平		
6478	多	t	uɤ	213	陰平		
6560	鑼	l	uɤ	45	陽平		
6572	河	x	uɤ	45	陽平		
6624	婆	pʰ	ɤ	45	陽平		
6666	騾	l	uɤ	45	陽平		
6667	驘	l	uɤ	45	陽平		
6701	科	kʰ	uɤ	213	陰平		
6722	鞾	ɕ	yɛ	213	陰平		
6723	靴	ɕ	yɛ	213	陰平		
6731	茄	tɕʰ	yɛ	45	陽平	茄子。	
6744	麻	m	a	45	陽平		
6752	車	tʂʰ	ʌ	213	陰平		
6786	蛇	s	ʌ	45	陽平		
6787	虵	s	ʌ	45	陽平		
6799	瓜	k	ua	213	陰平		
6806	華	x	ua	213	陰平		
6807	花	x	ua	213	陰平		
6828	家	tɕ	ia	213	陰平		
6898	沙	s	a	213	陰平		
6899	砂	s	a	213	陰平		
6930	𣘻	tsʰ	a	45	陽平		
6931	茶	tsʰ	a	45	陽平		
6953	蛙	β	a	213	陰平		
6961	爬	pʰ	a	45	陽平		
7005	羊	∅	iɑ̃	45	陽平		
7038	良	l	iɑ̃	45	陽平		
7080	房	x	uɑ̃	45	陽平		
7137	張	ts	ɑ̃	213	陰平		
7156	瓤	z	ɑ̃	45	陽平		
7158	方	x	uɑ̃	213	陰平		
7206	娘	n	iɑ̃	45	陽平		
7209	牀	tsʰ	uɑ̃	45	陽平		
7210	床	tsʰ	uɑ̃	45	陽平		
7246	槍	tɕʰ	iɑ̃	213	陰平		
7269	王	β	ɑ̃	45	陽平		
7282	強	tɕʰ	iɑ̃	45	陽平	強壯。	
7292	狂	kʰ	uɑ̃	45	陽平		
7297	唐	tʰ	ɑ̃	45	陽平		
7298	啺	tʰ	ɑ̃	45	陽平		
7299	𥏬	tʰ	ɑ̃	45	陽平		
7391	鋼	k	ɑ̃	213	陰平		
7401	桑	s	ɑ̃	213	陰平		
7402	桒	s	ɑ̃	213	陰平		
7467	光	k	uɑ̃	213	陰平		
7468	灮	k	uɑ̃	213	陰平		
7499	汪	β	ɑ̃	213	陰平		
7526	杭	x	ɑ̃	45	陽平		
7537	恾	m	ɑ̃	45	陽平		
7538	忙	m	ɑ̃	45	陽平		
7577	幫	p	ɑ̃	213	陰平		
7578	縍	p	ɑ̃	213	陰平		
7594	阬	kʰ	ə̃	213	陰平		
7595	坑	kʰ	ə̃	213	陰平		
7596	硎	kʰ	ə̃	213	陰平		
7641	彭	pʰ	oŋ	45	陽平		
7718	榮	∅	yoŋ	45	陽平		
7724	兵	p	iɪ̃	213	陰平		
7725	兄	ɕ	yoŋ	213	陰平		
7727	生	s	ə̃	213	陰平		
7748	迎	∅	iɪ̃	45	陽平		
7764	𧃱	k	ə̃	213	陰平		
7795	宏	x	oŋ	45	陽平		
7896	棚	pʰ	oŋ	45	陽平		
7909	清	tɕʰ	iɪ̃	213	陰平		
7981	程	tsʰ	ə̃	45	陽平		
7987	聲	s	ə̃	213	陰平		
7995	正	ts	ə̃	213	陰平	正月。	
8001	輕	tɕʰ	iɪ̃	213	陰平		
8051	經	tɕ	iɪ̃	213	陰平		
8104	星	ɕ	iɪ̃	213	陰平		
8105	曐	ɕ	iɪ̃	213	陰平		
8124	靈	l	iɪ̃	45	陽平		
8125	霛	l	iɪ̃	45	陽平		
8126	𩆈	l	iɪ̃	45	陽平		
8224	聽	tʰ	iɪ̃	213	陰平	聽見。	
8249	瓶	pʰ	iɪ̃	45	陽平		
8250	缾	pʰ	iɪ̃	45	陽平		
8278	蒸	ts	ə̃	213	陰平		
8279	䒱	ts	ə̃	213	陰平		
8280	烝	ts	ə̃	213	陰平		
8299	蔆	l	iɪ̃	45	陽平		
8300	菱	l	iɪ̃	45	陽平		
8301	䔖	l	iɪ̃	45	陽平		
8314	鷹	∅	iɪ̃	213	陰平		
8317	憑	pʰ	iɪ̃	45	陽平		
8320	冫	p	iɪ̃	213	陰平		
8321	冰	p	iɪ̃	213	陰平		
8336	升	s	ə̃	213	陰平		
8337	昇	s	ə̃	213	陰平		
8395	增	ts	ə̃	213	陰平		
8414	朋	pʰ	oŋ	45	陽平		
8430	能	n	ə̃	45	陽平		
8545	油	∅	iəu	45	陽平		
8618	抽	tsʰ	əu	213	陰平		
8619	𢭆	tsʰ	əu	213	陰平		
8620	㨨	tsʰ	əu	213	陰平		
8631	周	ts	əu	213	陰平		
8736	愁	tsʰ	əu	45	陽平		
8738	休	ɕ	iəu	213	陰平		
9061	彪	p	iɔ	213	陰平		
9107	林	l	iɪ̃	45	陽平		
9123	針	ts	ə̃	213	陰平		
9124	鍼	ts	ə̃	213	陰平		
9131	沈	tsʰ	ə̃	45	陽平		
9132	沉	tsʰ	ə̃	45	陽平		
9159	深	tsʰ	ə̃	213	陰平		
9176	心	ɕ	iɪ̃	213	陰平		
9245	金	tɕ	iɪ̃	213	陰平		
9255	音	∅	iɪ̃	213	陰平		
9315	參	tsʰ	ã	213	陰平	參加。	
9320	南	n	ã	45	陽平		
9339	含	x	ã	45	陽平		
9381	貪	tʰ	ã	213	陰平		
9421	談	tʰ	ã	45	陽平		
9444	三	s	ã	213	陰平		
9445	參	s	ã	213	陰平		
9446	弎	s	ã	213	陰平		
9449	藍	l	ã	45	陽平		
9510	簾	l	iɛ̃	45	陽平		
9603	尖	tɕ	iɛ̃	213	陰平		
9670	甜	tʰ	iɛ̃	45	陽平		
9691	嫌	ɕ	iɛ̃	45	陽平		
9703	咸	ɕ	iɛ̃	45	陽平		
9777	銜	ɕ	iɛ̃	45	陽平		
9792	衫	s	ã	213	陰平		
9800	監	tɕ	iɛ̃	213	陰平	監牢。	
9818	凡	x	ã	45	陽平		
9895	動	t	oŋ	53	去聲		
9896	𨔝	t	oŋ	53	去聲		
10007	講	tɕ	iɑ̃	24	上聲		
10022	項	ɕ	iɑ̃	53	去聲		
10069	毀	x	uei	24	上聲		
10124	椅	∅	i	24	上聲		
10162	觜	ts	ei	24	上聲		
10163	㭰	ts	ei	24	上聲		
10262	紫	ts	ɿ	24	上聲		
10312	跪	k	uei	53	去聲		
10335	美	m	ei	24	上聲		
10365	比	p	i	24	上聲		
10390	𦳊	s	ɿ	24	上聲		
10391	屎	s	ɿ	24	上聲		
10395	死	s	ɿ	24	上聲		
10398	水	s	ei	24	上聲		
10484	喜	ɕ	i	24	上聲		
10514	使	s	ɿ	24	上聲		
10514	使	s	ʌ	24	上聲		
10517	耳	∅	ʌ	24	上聲		
10526	李	l	i	24	上聲		
10598	伱	n	i	24	上聲		
10600	尾	β	ei	24	上聲		
10600	尾	∅	i	24	上聲		
10638	偉	β	ei	24	上聲		
10648	鬼	k	uei	24	上聲		
10681	呂	l	y	24	上聲		
10682	膂	l	y	24	上聲		
10710	䰞	ts	u	24	上聲		
10711	煑	ts	u	24	上聲		
10748	女	n	y	24	上聲		
10837	雨	∅	y	24	上聲		
10854	斧	ɸ	u	24	上聲		
10872	武	β	u	24	上聲		
10896	父	ɸ	u	53	去聲		
10924	柱	ts	u	53	去聲		
10939	豎	s	u	53	去聲		
10940	竪	s	u	53	去聲		
10955	主	ts	u	24	上聲		
10975	數	s	u	24	上聲	數一遍。	
11012	土	tʰ	u	24	上聲		
11055	古	k	u	24	上聲		
11094	虎	x	u	24	上聲		
11111	苦	kʰ	u	24	上聲		
11197	弟	t	i	53	去聲		
11217	洗	ɕ	i	24	上聲		
11218	洒	ɕ	i	24	上聲		
11245	米	m	i	24	上聲		
11277	買	m	ai	24	上聲		
11296	矮	ɣ	ai	24	上聲		
11301	解	tɕ	iɛ	24	上聲	解開。	
11371	辠	ts	ei	53	去聲		
11372	罪	ts	ei	53	去聲		
11380	骽	tʰ	ei	24	上聲		
11381	腿	tʰ	ei	24	上聲		
11437	海	x	ai	24	上聲		
11467	改	k	ai	24	上聲		
11486	在	ts	ai	53	去聲		
11551	緊	tɕ	iɪ̃	24	上聲		
11747	近	tɕ	iɪ̃	53	去聲		
11755	遠	∅	yɛ̃	24	上聲		
11794	反	x	uã	24	上聲		
11863	本	p	ə̃	24	上聲		
11961	傘	s	ã	24	上聲		
12019	短	t	uã	24	上聲		
12020	𢭃	t	uã	24	上聲		
12023	椀	β	ã	24	上聲		
12024	盌	β	ã	24	上聲		
12055	煗	n	uã	24	上聲		
12056	㬉	n	uã	24	上聲		
12057	暖	n	uã	24	上聲		
12058	煖	n	uã	24	上聲		
12073	滿	m	ã	24	上聲		
12129	產	tsʰ	ã	24	上聲		
12166	眼	∅	iɛ̃	24	上聲		
12200	典	t	iɛ̃	24	上聲		
12261	扁	p	iɛ̃	24	上聲		
12285	辮	p	iɛ̃	53	去聲		
12292	犬	tɕʰ	yɛ̃	213	陰平		
12328	展	ts	ã	24	上聲		
12329	㞡	ts	ã	24	上聲		
12387	善	s	ã	53	去聲		
12388	譱	s	ã	53	去聲		
12434	件	tɕ	iɛ̃	53	去聲		
12492	輭	z	uã	24	上聲		
12493	軟	z	uã	24	上聲		
12624	曉	ɕ	iɔ	24	上聲		
12671	小	ɕ	iɔ	24	上聲		
12677	趙	ts	ɔ	53	去聲		
12698	繞	z	ɔ	24	上聲	繞圈。	
12881	老	l	ɔ	24	上聲		
12898	道	t	ɔ	53	去聲		
12899	衟	t	ɔ	53	去聲		
12900	𡬹	t	ɔ	53	去聲		
12905	堖	n	ɔ	24	上聲		
12906	腦	n	ɔ	24	上聲		
12907	𠜶	n	ɔ	24	上聲		
12914	㛮	s	ɔ	24	上聲		
12915	嫂	s	ɔ	24	上聲		
12916	㛐	s	ɔ	24	上聲		
12932	草	tsʰ	ɔ	24	上聲		
12933	艸	tsʰ	ɔ	24	上聲		
12966	好	x	ɔ	24	上聲	好壞。	
12974	保	p	ɔ	24	上聲		
12975	𣎼	p	ɔ	24	上聲		
12987	襖	ɣ	ɔ	24	上聲		
13094	朵	t	uɤ	24	上聲		
13095	朶	t	uɤ	24	上聲		
13143	坐	ts	uɤ	53	去聲		
13144	𡋲	ts	uɤ	53	去聲		
13176	火	x	uɤ	24	上聲		
13216	啞	∅	ia	24	上聲		
13217	瘂	∅	ia	24	上聲		
13218	𤺘	∅	ia	24	上聲		
13226	寫	ɕ	yɛ	24	上聲		
13226	寫	ɕ	iɛ	24	上聲		
13236	社	s	ʌ	53	去聲		
13271	瓦	β	a	24	上聲		
13302	傻	s	a	24	上聲		
13312	像	ɕ	iɑ̃	53	去聲		
13389	廠	tsʰ	ɑ̃	24	上聲		
13397	丈	ts	ɑ̃	53	去聲		
13423	网	β	ɑ̃	24	上聲		
13424	網	β	ɑ̃	24	上聲		
13637	猛	m	oŋ	24	上聲		
13658	打	t	a	24	上聲		
13659	冷	l	ə̃	24	上聲		
13680	靜	tɕ	iɪ̃	53	去聲		
13705	領	l	iɪ̃	24	上聲		
13712	餅	p	iɪ̃	24	上聲		
13717	頃	tɕʰ	iɪ̃	24	上聲		
13718	𩓏	tɕʰ	iɪ̃	24	上聲		
13848	等	t	ə̃	24	上聲		
13851	肯	kʰ	ə̃	24	上聲		
13852	肎	kʰ	ə̃	24	上聲		
13863	柳	l	iəu	24	上聲		
13878	紐	n	iəu	24	上聲		
13899	九	tɕ	iəu	24	上聲		
13916	婦	ɸ	u	53	去聲		
14000	酒	tɕ	iəu	24	上聲		
14017	厚	x	əu	53	去聲		
14018	垕	x	əu	53	去聲		
14029	𠭇	m	u	24	上聲		
14030	畮	m	u	24	上聲		
14031	畞	m	u	24	上聲		
14067	狗	k	əu	24	上聲		
14136	走	ts	əu	24	上聲		
14137	口	kʰ	əu	24	上聲		
14258	品	p	iɪ̃	24	上聲		
14266	感	k	ã	24	上聲		
14339	坎	kʰ	ã	24	上聲		
14384	敢	k	ã	24	上聲		
14385	𠭖	k	ã	24	上聲		
14386	𣪏	k	ã	24	上聲		
14387	𢽤	k	ã	24	上聲		
14407	膽	t	ã	24	上聲		
14429	喊	x	ã	24	上聲		
14430	嚂	x	ã	24	上聲		
14505	閃	ʂ	ã	24	上聲		
14553	點	t	iɛ̃	24	上聲		
14609	減	tɕ	iɛ̃	24	上聲		
14616	斬	ts	ã	24	上聲		
14619	闞	k	ə̃	213	陰平		
14651	范	ɸ	ã	53	去聲		
14669	鳳	x	oŋ	53	去聲		
14670	𠤈	x	oŋ	53	去聲		
14778	用	∅	yoŋ	53	去聲		
14787	共	k	oŋ	53	去聲		
14910	刺	tsʰ	ɿ	53	去聲		
14911	刾	tsʰ	ɿ	53	去聲		
14997	睡	s	ei	53	去聲		
15035	位	β	ei	53	去聲		
15070	醉	ts	ei	53	去聲		
15082	淚	l	ei	53	去聲		
15244	二	∅	ʌ	53	去聲		
15245	弍	∅	ʌ	53	去聲		
15311	地	t	i	53	去聲		
15312	墬	t	i	53	去聲		
15364	治	ts	ɿ	53	去聲		
15367	寺	s	ɿ	53	去聲		
15392	字	ts	ɿ	53	去聲		
15439	事	s	ɿ	53	去聲		
15583	氣	tɕʰ	i	53	去聲		
15584	炁	tɕʰ	i	53	去聲		
15639	去	tɕʰ	y	53	去聲		
15731	遇	∅	y	53	去聲		
15778	句	tɕ	y	53	去聲		
15860	趣	tɕʰ	y	53	去聲		
15883	墓	m	u	53	去聲		
15891	路	l	u	53	去聲		
15989	怒	n	u	53	去聲		
15990	布	p	u	53	去聲		
16019	步	p	u	53	去聲		
16164	系	ɕ	i	53	去聲	聯系。	
16165	𦃟	ɕ	i	53	去聲	聯系。	
16192	瞖	∅	i	53	去聲	目翳。	
16204	閉	p	i	53	去聲		
16205	閇	p	i	53	去聲		
16209	慧	x	uei	53	去聲		
16222	桂	k	uei	53	去聲		
16223	昋	k	uei	53	去聲		
16224	炅	k	uei	53	去聲		
16225	炔	k	uei	53	去聲		
16288	祭	tɕ	i	53	去聲		
16325	脃	tsʰ	ei	53	去聲		
16326	膬	tsʰ	ei	53	去聲		
16327	脆	tsʰ	ei	53	去聲		
16335	銳	z	uei	53	去聲		
16352	稅	s	uei	53	去聲		
16363	幣	p	i	53	去聲		
16384	鱖	k	ua	53	去聲		
16401	制	ts	ɿ	53	去聲		
16402	𠛐	ts	ɿ	53	去聲		
16466	藝	∅	i	53	去聲		
16512	世	s	ɿ	53	去聲		
16550	太	tʰ	ai	53	去聲		
16552	蓋	k	ai	53	去聲		
16581	害	x	ai	53	去聲		
16592	貝	p	ei	53	去聲		
16635	會	x	uei	53	去聲		
16639	最	ts	ei	53	去聲		
16683	蔡	tsʰ	ai	53	去聲		
16684	𣞖	tsʰ	ai	53	去聲		
16716	挂	k	ua	53	去聲		
16717	掛	k	ua	53	去聲		
16736	畫	x	ua	53	去聲		
16780	怪	k	uai	53	去聲		
16781	恠	k	uai	53	去聲		
16784	𣀩	x	uai	53	去聲		
16785	壞	x	uai	53	去聲		
16795	界	tɕ	iɛ	53	去聲		
16850	𢷎	p	ai	53	去聲		
16851	拜	p	ai	53	去聲		
16855	壞	x	uai	53	去聲		
16856	𡎯	x	uai	53	去聲		
16890	快	kʰ	uai	53	去聲		
16899	話	x	ua	53	去聲		
16900	敗	p	ai	53	去聲		
16901	𣀕	p	ai	53	去聲		
16954	妹	m	ei	53	去聲		
17029	塊	kʰ	uai	53	去聲		
17030	凷	kʰ	uai	53	去聲		
17032	碎	s	ei	53	去聲		
17106	愛	ɣ	ai	53	去聲		
17157	肺	ɸ	ei	53	去聲		
17294	進	tɕ	iɪ̃	53	去聲		
17320	襯	tsʰ	ə̃	53	去聲		
17364	儁	tɕ	yɪ̃	53	去聲		
17365	俊	tɕ	yɪ̃	53	去聲		
17384	閏	∅	yɪ̃	53	去聲		
17387	順	s	uə̃	53	去聲		
17400	運	∅	yɪ̃	53	去聲		
17416	訓	ɕ	yɪ̃	53	去聲		
17501	飯	x	uã	53	去聲		
17502	𩚳	x	uã	53	去聲		
17517	建	tɕ	iɛ̃	53	去聲		
17598	論	l	ə̃	53	去聲	討論。	
17850	胖	pʰ	ɑ̃	53	去聲		
17870	鴈	∅	iɛ̃	53	去聲		
17871	鳫	∅	iɛ̃	53	去聲		
17872	雁	∅	iɛ̃	53	去聲		
17891	慢	m	ã	53	去聲		
17941	辦	p	ã	53	去聲		
17983	縣	ɕ	iɛ̃	53	去聲		
17984	寰	ɕ	iɛ̃	53	去聲		
18112	線	ɕ	iɛ̃	53	去聲		
18113	綫	ɕ	iɛ̃	53	去聲		
18315	釣	t	iɔ	53	去聲		
18319	叫	tɕ	iɔ	53	去聲		
18331	尿	n	iɔ	53	去聲	名詞。	
18332	㞙	n	iɔ	53	去聲	名詞。	
18345	料	l	iɔ	53	去聲		
18453	廟	m	iɔ	53	去聲		
18454	庿	m	iɔ	53	去聲		
18515	炮	pʰ	ɔ	53	去聲		
18534	𠆴	n	ɔ	53	去聲		
18535	鬧	n	ɔ	53	去聲		
18707	餓	∅	uɤ	53	去聲		
18709	大	t	a	53	去聲		
18759	破	pʰ	ɤ	53	去聲		
18763	臥	∅	uɤ	53	去聲		
18859	謝	ɕ	iɛ	53	去聲		
18870	下	ɕ	ia	53	去聲	下面。	
18877	夜	∅	iɛ	53	去聲		
18895	借	tɕ	iɛ	53	去聲	借用。	
19103	浪	n	ɑ̃	53	去聲		
19180	鏡	tɕ	iɪ̃	53	去聲		
19193	病	p	iɪ̃	53	去聲		
19203	橫	x	oŋ	53	去聲	横竪。	
19246	鞕	ɣ	ə̃	53	去聲		
19247	硬	ɣ	ə̃	53	去聲		
19374	興	ɕ	iɪ̃	53	去聲	高興。	
19485	袖	ɕ	iəu	53	去聲		
19516	富	ɸ	u	53	去聲		
19626	貿	m	ɔ	53	去聲		
19645	豆	t	əu	53	去聲		
19723	漏	n	əu	53	去聲		
19751	幼	∅	iəu	53	去聲		
19767	任	z	ə̃	53	去聲	任務。	
19931	驗	∅	iɛ̃	53	去聲		
19970	念	n	iɛ̃	53	去聲		
20015	歉	tɕʰ	iɛ̃	53	去聲		
20069	劔	tɕ	iɛ̃	53	去聲		
20080	屋	∅	u	55	入聲		
20081	𡲃	∅	u	55	入聲		
20082	𦤼	∅	u	55	入聲		
20148	哭	kʰ	u	55	入聲		
20189	鹿	l	u	55	入聲		
20290	木	m	u	55	入聲		
20303	福	x	u	55	入聲		
20366	六	l	u	55	入聲		
20366	綠	l	u	55	入聲		
20400	菊	tɕ	y	55	入聲		
20438	熟	s	u	55	入聲		
20451	育	∅	y	55	入聲		
20491	肉	z	əu	53	去聲		
20522	竹	ts	u	55	入聲		
20638	沃	l	u	55	入聲		
20645	毒	t	u	55	入聲		
20646	𡹆	t	u	55	入聲		
20717	燭	ts	uɤ	55	入聲		
20751	局	tɕ	y	55	入聲		
20786	浴	∅	y	55	入聲		
20840	俗	s	u	55	入聲		
20841	族	tsʰ	u	55	入聲		
20896	捉	ts	uɤ	55	入聲		
20922	桌	ts	uɤ	55	入聲		
20934	剝	p	ɤ	55	入聲		
20997	確	tɕʰ	yɤ	55	入聲		
20998	碻	tɕʰ	yɤ	55	入聲		
21102	日	z	ɿ	55	入聲		
21129	一	∅	i	55	入聲		
21130	弌	∅	i	55	入聲		
21132	七	tɕʰ	i	55	入聲		
21232	失	s	ɿ	55	入聲		
21353	筆	p	i	55	入聲		
21378	橘	tɕ	y	55	入聲	橘子。	
21431	律	l	y	55	入聲		
21458	出	tsʰ	u	55	入聲		
21588	吃	tsʰ	ɿ	55	入聲		
21603	月	∅	yɛ	55	入聲		
21628	越	∅	yɛ	55	入聲		
21687	發	x	ua	55	入聲	發達。	
21690	韤	β	a	55	入聲		
21691	韈	β	a	55	入聲		
21692	襪	β	a	55	入聲		
21706	歇	ɕ	iɛ	55	入聲		
21732	骨	k	u	55	入聲		
