#ɿ
tθʰ[33]次
ʃ[5]湿虱[213]煠
k[52]夹{~板}夹{~衣}甲挟
ŋ[31]崖
x[52]轻[5]吃
∅[52]鸭押压轧[213]狭

#iɛ
p[5]憋逼
pʰ[5]撇{~开}撇{~捺}僻劈
t[5]滴
tʰ[52]舔[5]帖贴铁切踢戚{亲~}
n[31]聂严业[433]蹑[24]酽
l[52]苶[31]烈[213]裂
tθ[5]接浙节截脊
tʃ[52]遮[433]且者[323]蔗[33]镇振震证症郑正{公~}政[5]折{~叠}褶折{~断}只{量词}[213]值
tʃʰ[52]车{马~}[433]扯[323]侧{~面}[33]秤[5]撤赤尺{工~}尺{~寸}顷
ʃ[52]赊声[31]蛇承成城[433]舍{~弃}[33]社顺胜盛[24]射舍{宿~}蛰舌折{~本}侄失室食射
５色
k[5]集急级杰揭结{~实}结{打~}吉极[21]洁
kʰ[52]揿
ŋ[433]惹
x[5]歇
∅[52]爷[31]然[33]也野[24]夜叶页[5]腌{~肉}乙一益

#uɛ
k[5]骨
∅[52]挖[33]尹[24]核{果~}[213]滑猾袜

#yɛ
tʃʰ[323]啄
k[21]决
kʰ[5]诀缺
x[5]血
∅[31]阎缘铅元原源怨袁园猿

#ᴀ
p[52]摆[31]排牌簰[323]拜[213]稗败
pʰ[52]批[323]派
m[31]埋[213]卖
f[323]快
t[52]低堤[31]屉题提蹄啼[433]底抵[323]戴带[33]帝蒂弟[24]第递[213]大
tʰ[52]梯妻凄[433]体[323]态太泰[33]替剃
n[31]泥{~土}尼呢[24]泥{~墙}腻
1[52]拉[31]犁黎[323]癞[213]攋
tθ[33]致
θ[52]西犀[31]齐脐[433]洗[33]细婿
tʃ[52]斋
tʃʰ[52]猜
ʃ[52]筛[31]柴[323]赛晒[213]寨
k[52]改阶街解{~开}解{了~}鸡[323]界芥疥届戒械涧[33]髻
kʰ[323]概[24]慨
ŋ[52]挨{~近}[31]硙挨{~打}研[33]蚁
∅[52]矮[31]鞋还{~是}

#uᴀ
k[52]龟归[31]葵[433]诡轨鬼[323]怪[33]乖鳜桂癸贵[24]跪柜
kʰ[52]拐规亏[323]会{~计}刽块筷[33]盔
∅[52]歪危[31]桅回茴为{作~}维唯围违[433]委[33]喂{~养}[24]卫{为~么}位慰谓[213]坏话

#ə
t[33]做
n[5]捏
l[24]捋勒{~紧}[5]肋
θ3[5]习薛雪戌息惜
∅[31]而

#ɔ
p[52]包胞苞饱[323]暴豹爆[213]刨{~瓜皮}刨{~刀}
pʰ[52]泡{不实}抛脬跑[323]炮泡{浸~}雹
m[31]茅[323]卯亩
t[52]兜[31]头投[433]斗{升~}抖陡[33]斗{争~}逗[24]豆痘就
tʰ[52]偷秋{~天}秋{~千}鳅[433]讨[33]透凑
n[33]粒[24]闹
l[52]搂{~钱}[31]捞楼流刘留榴硫琉[323]篓[33]柳[24]漏陋
tθ3[52]走[433]酒
θ[52]修削{~皮}[33]嗽秀绣锈[24]袖赎
tʃ[52]爪找肘周舟州洲[323]罩赵[33]咒
tʃʰ[52]抄炒吵抽[433]丑{子~}丑{~恶}[323]超{~过}[33]臭超{高~}
ʃ[52]臊馊收[31]绸愁仇酬[433]手首守[323]消[33]瘦[24]受寿授
k[52]膏交郊胶茭搞勾钩沟鸠阉[433]稿狗[323]教{~书}窖觉{睡~}臼[33]苟够购
kʰ[52]考烤拷敲抠[323]靠[33]扣柚
ŋ[52]欧[31]牛[433]偶[323]傲咬[33]藕
x[52]吼[433]口[323]孝效校{学~}
∅[52]嚎[31]侯喉猴[33]厚沤怄[24]后候

#iɔ
n[52]挠
ʃ[33]稍
k[31]求球[433]九久[33]韭救究舅[24]旧
kʰ[52]丘
x[5][52]休[433]朽
∅[52]饶扰由油游犹悠[31]邮[33]要{~求}有友酉[24]又右祐诱

#o
p[52]跛拨博剥驳[31]玻婆薄{~荷}袍[433]保堡宝[323]簸{~一~}簸{~箕}[33]波菠报抱[24]播范[213]薄{厚~}帛
pʰ[52]坡□{茼蒿}[323]破[33]颇
m[52]摩摸[31]磨{~刀}毛矛膜[33]魔[24]冒帽貌[213]磨{石~}莫
f[433]火[33]伙{~伴}伙{~计}
t[52]朵刀[31]驼桃逃淘萄夺[433]岛倒{~塌}导[323]左佐剁[33]到倒{~水}道[213]舵
tʰ[52]拖搓妥椭托{委~，~付}堂[433]草[323]锉错[33]套躁操糙燥
n[31]糯[323]挪[33]脑恼
l[52]箩啰[31]罗锣萝螺脶牢痨落骆洛络乐{音~}[33]老[213]涝烙乐{快~}
tθ[52]糟邹[433]早枣蚤[33]灶兆
θ[52]蓑唆锁所骚索朔[31]曹槽嘲[433]嫂[323]坐座[33]扫{~地}扫{~把}[24]傻[213]凿
tʃ[52]作卓桌捉
ʃ[52]属[21]削{剥~}
k[52]歌锅高蒿糕割葛各角国[433]果裹餜[323]哥[33]过{~去}告
kʰ[52]可科[33]课
ŋ[52]熬{~菜}[31]蛾鹅俄卧熬{~药、~夜}摇[33]我[213]饿
x[52]渴壳[433]货好{~坏}[323]荷{薄~}[33]贺祸
∅[52]凹恶{~心}恶{善~}[31]河何荷{~花}和禾豪合[433]袄[33]莴[24]号[213]学

#io
kʰ[21]觉{~得}
n[213]弱
0[31]岳{~父}

#yo
n[24]肉
∅[5]若约

#iu
p[52]膘标[31]瓢嫖[433]表錶
pʰ[52]飘漂{~浮}[33]漂{~亮}票漂{~白}
m[31]苗描[433]秒[24]庙妙
t[52]刁貂雕丢[31]条调[433]鸟{屌}鸟[33]钓吊调
tʰ[52]锹[33]俏跳
n[433]扭钮[33]尿
l[52]撩溜[31]燎聊瞭镣[433]了[24]料廖
tθ[52]焦蕉椒[33]醮
θ[52]消宵销逍[433]小[33]笑
tʃ[52]朝召昭招[33]照
ʃ[52]烧[31]朝潮[433]少{多~}[33]少{~年}绍
k[52]娇[31]乔桥[433]绞铰搅剿缴纠饺[33]叫[24]轿
kʰ[433]巧[33]窍
x[52]器[433]晓
∅[52]妖腰优忧[31]如谣窑姚遥尧
32要{想~，重~}留[24]鹞

#ɛi
p[52]八[31]贫凭{~据}凭{~靠}平坪评苹瓶屏萍[433]丙秉饼[33]伯柄[24]病
pʰ[433]品[33]拼{~命}并拼{~凑}
m[31]民蜜明名[33]抿[24]命
f[52]法发{头~}发{~现}
t[52]答{~应}答{回~}搭溺达砸[31]亭停廷庭[433]顶鼎[24]跌叠碟蝶淀跌订定
tʰ[52]塔遏擦亲{~家}清厅青[433]请艇挺铤[33]听{~见}听{~从}
n[24]奶
l[31]灵零铃伶龄[33]岭领[24]力令另历{日~，皇~}
tθ[52]津晶精睛[433]井[33]借藉[24]谢
θ[52]洒煞星腥[31]情[433]写[33]晴静姓[24]净席
tʃ[52]扎{包~}眨闸扎{~紧}铡
tʃʰ[52]插
ʃ[52]杀[24]自十拾实着{~凉}识
k[52]京惊经[31]茄蟹琴[433]颈[33]镜
kʰ[52]掐钦
x[52]瞎兴
∅[52]英[31]研赢形型刑[433]演引影映[33]应{响~}

#ei
p[33]卑
m[24]媚
f[33]非

#øi
p[52]杯碑[31]培陪赔[33]贝辈背{~脊}焙[24]倍背{~诵}
pʰ[52]坯[33]沛配佩
t[52]堆[31]台{戏~}苔抬颓[33]对碓队兑端[213]贷待代袋
tʰ[52]胎推[433]腿[323]菜蔡[33]退脆翠
n[24]内[213]耐奈
l[31]来厉雷擂[433]累{积~}垒[33]累{连~}[24]累{困，劳累}类泪
tθ[433]嘴[323]再最[33]罪醉
θ[52]鳃[31]才材财裁豺随[33]在碎岁穗帅
tʃ[52]追锥
tʃʰ[52]吹
ʃ[52]衰[31]槌锤[433]水[33]税[24]睡[213]刷
k[52]该[323]盖介
ŋ[213]艾
x[52]开海
∅[323]亥[213]害

#ui
m[31]梅玫媒煤脢莓霉[33]每美[24]妹
f[52]灰[433]悔毁匪[33]去[5]阔
k[5]鸽击[52]煨[24]汇外会{开~}味胃盒活

#uei
ʃ[33]虽[24]隧
x[33]恢[24]惠慧[52]伟[24]汇{聚集，集合}

#uən
x[24]混

#aŋ
f[33]芳
t[33]铛

#uaŋ
x[33]汪

#uɛŋ
∅[31]横{~竖}

#ɤŋ
prn[52]帮榜邦绑[31]盘奔盆旁螃肪房[33]半伴[24]笨
pʰ[33]喷
m[31]搬瞒门忙芒茫莽忘[323]网{鱼~}[33]母拇满[213]望梦
f[31]防[433]欢[33]芬
t[52]墩当{应~}党挡档[31]团{~结}团{~屯}臀唐糖塘藏[433]短[323]当{典~}[33]断{决~}断{~绝}[24]锻段缎[213]荡
tʰ[52]汆村汤躺趟[323]烫[33]□{脱}
n[31]奴瓤[33]暖[24]嫩
1[31]郎廊狼[433]朗[33]卵[24]乱[213]浪
tθ[52]钻{~洞}[33]钻{~子}
tθʰ[33]衬寸
θ[52]酸算蒜孙[433]选[24]旋{~转}[213]状
tʃ[52]庄装妆桩[323]葬壮
tsʰ[52]仓舱疮窗[323]闯创{~伤}创{~造}撞
ʃ[52]霜爽双[31]床
k[52]甘柑泔干{~燥}官棺观钢缸江讲[31]狂[433]管馆款[323]杠[33]贯灌罐
kʰ[323]抗炕况矿

#ã
p[52]崩[33]棒[24]傍
t[52]灯[433]等[33]凳[24]盾钝棠邓
tʰ[33]称{相~}
n[31]能
tθ[52]曾罾筝
θ[31]层
tʃ[52]蒸
tʃʰ[52]称{~呼}逞
ʃ[24]剩盛
∅[31]恒横{蛮~}

#iã
tʰ[433]抢[33]枪
n[52]娘{新~}[31]娘{爹~}[24]酿
l[31]良凉量{~度，~米}粮梁粱[433]俩[323]冷[33]两{~片}两{斤~}[24]亮谅量{容~，度~}
tθ[52]将{~来}浆[433]蒋奖桨[33]酱将{~帅}
θ[52]箱厢湘镶[31]墙详祥[433]想[33]相象像橡赠[24]匠
tʃ[52]张章樟争[433]长{生~}涨掌[33]帐账胀涨仗瘴
tʃʰ[52]苍昌菖撑[433]厂[323]蹭掌[33]唱
ʃ[52]森参{人~}商伤僧生牲甥[31]长{~短}肠场常尝[433]赏[33]丈上{~山}[24]尚上{~面}
k[52]金襟巾斤筋疆姜{生~}姜{姓}庚羹梗耕荆[31]勤芹强{~大}[433]紧景[33]劲{有~}近[24]降{下~}
kʰ[52]铛[433]强{勉~}
ŋ[24]让
x[52]香乡[433]享响[33]向幸
∅[52]央秧殃鸯[31]羊洋杨阳扬降{投~}行{~为}[33]养[24]样

#æ̃
n[31]男南

#ɛ̃
p[52]班斑颁扳板版般分[31]坟[433]本[33]□{玩}粪[213]扮办拌饭
pʰ[52]攀襟潘[323]判叛[33]喷
m[31]蛮馒蚊[24]闷问[213]慢
f[52]反返翻番昏婚浑荤[31]凡烦矾[433]粉[323]范犯贩[24]奋份
t[52]担{~任}胆丹单疽[31]潭谭谈坛弹{~琴}[323]担{~子}淡[213]旦但弹{子~}蛋
tʰ[52]贪坍毯滩摊瘫坦餐吞亲{~戚}[323]探炭[33]浸沁
n[31]难{~易}[433]蚓[213]难{灾~}
l[52]篮榄缆[31]蓝林淋临兰拦栏邻鳞轮棱陵菱绫[323]懒[24]论[213]烂
tθ[52]簪斩攒
θ[52]三心残辛新薪[31]蚕痰[433]损笋桦省[323]散{松~}伞散{解~}[33]信[24]逊[213]灒
tʃ[52]宰参{~加}惨针枕盏珍真增[31]征[433]展诊准{批~}准{标~}整[323]站蘸赞栈战[33]砧阵[24]渐
tʃʰ[52]铲产椿春[433]蠢
ʃ[52]衫深山身申伸升[31]蟾沉秦陈尘神辰存唇橙乘程[433]沈审婶[323]疝[33]肾[24]讯焮训
k[52]感敢橄减间姦跟根[433]恳啃耿[323]干{~部}[33]更{~加}
kʰ[52]堪砍刊[433]肯
ŋ[31]癌岩眼银[433]饮[323]按[33]隐
x[52]憨[433]很[24]汉
∅[31]含函咸{~鱼}寒韩苋[433]痒[323]限晏[24]痕恨[213]焊

#iɛ̃
p[52]鞭边扁[31]便{~宜}[33]编变辫[24]便{方~}
pʰ[52]篇偏[33]遍{~地}遍{一~}片
m[31]棉灭[33]免[24]面{~部}面{~粉}蔑
t[52]点癫典[31]甜田填[24]店电殿奠垫靛
tʰ[52]签{~字}添迁浅天
n[31]年[433]碾{~碎}碾{水~}撚撵[24]验艳念孽砚
l[52]蔫{物不鲜}蔫{花蔫}[31]廉镰帘连联鲢怜莲[323]楝[24]练炼
tθ[52]尖煎[433]剪[33]箭
tθʰ[52]签{竹~}千{秋~}千{~万}
∅[52]仙鲜先[31]钱前[433]癣[33]线[24]贱
tʃ[52]正{~月}[33]颤粳
tʃʰ[33]侵
ʃ[52]搧[323]闪[33]扇善鳝
k[52]兼[31]钳[433]碱检简茧笕[33]剑件建键见
kʰ[33]欠歉
ŋ[31]燃人仁[33]染忍[24]炎入热认日
x[52]牵[433]陕险显[52]阉音阴荫烟因印
∅[31]厌盐檐嫌闲颜延言鸳寅匀[433]掩[33]淹焰任{姓}任{责~}燕{~子}应{~当}[24]壬现县

#uɛ̃
k[52]关刮均钧君军[31]群裙[433]滚[323]观惯[33]棍菌
kʰ[52]坤[433]捆[33]困
∅[52]腕弯湾温瘟[31]顽还{~原}魂文纹闻云耘营[433]稳[24]润闰韵运[213]万

#yɛ̃
n[33]软[24]阅愿月
tʃ[52]专砖[33]转{~运}转{轮子~}
tʃʰ[52]川穿[33]窜串
ʃ[31]全泉传船绳[33]宣
k[52]捐[31]乾绢拳权[433]捲卷
kʰ[52]圈[433]犬[33]劝
∅[31]冤越[33]远[24]院阮

#õ
p[31]朋彭膨棚冯篷[33]放
pʰ[433]捧[33]碰
m[31]蒙[433]猛[33]懵
f[52]荒慌方风疯丰封峰蜂锋[31]逢缝[24]凤奉
t[52]东冬[31]同铜桐童[433]董懂[33]冻栋动[24]筒洞
tʰ[52]聪葱囱[433]桶捅统[33]通痛
n[31]农脓[33]齈
l[52]聋窿[31]攘笼龙[433]拢垄[33]弄
tθ[52]棕鬃宗[33]粽
θ[52]松{~紧}松{~树}[31]丛从重{~做}[433]怂[33]送宋
tʃ[52]中{当~}忠衷钟{~表}盅[433]总种{~类}肿[33]中{射~}纵种{~植}
tʃʰ[52]匆冲{~茶}冲{横~直撞}揰[33]终众
ʃ[31]虫[33]重{轻~}
k[52]光郭公蚣工功弓躬宫恭[433]广港汞龚拱巩[33]供{~养}[24]逛共
kʰ[433]孔恐[33]控
x[52]空{盒子~了}烘[433]哄[33]空{有~}
∅[31]黄簧皇凰隍王红洪虹[433]轰{~出去}[33]枉往瓮[24]旺

#iõ
k[31]穷
x[52]胸凶{吉~}凶{~恶}[31]熊雄
∅[52]痈[31]荣绒融氄容蓉榕熔[433]允拥勇涌恿踊[33]永[24]用

#n̩
∅ [31]咽

#ŋ̍
x [52]糠哼[323]看{~守}看{~见}
∅[52]安鞍[31]吾行{银~}杭[433]碗[323]暗陷旱案[33]五伍午武舞[24]换[213]岸汗
