cid	cʰaracter	initian	final	tone	note
660	近	tɕ	in	24	
661	隐	∅	in	42	
662	本	p	oŋ	42	
663	盆	pʰ	oŋ	21	
664	门	m	oŋ	21	
665	墩	t	ən	45	
666	嫩	n	ən	24	
667	村	tsʰ	ən	45	
668	寸	tsʰ	oŋ	24	
669	蹲	t	ən	45	
670	孙	s	ən	45	
671	滚	k	oŋ	42	
672	困	kʰ	oŋ	24	
673	婚	x	oŋ	45	
674	魂	x	oŋ	21	
675	温	∅	oŋ	45	
676	卒	tɕ	yi	33	
677	骨	k	uᶹ	33	
678	轮	n	ən	21	
679	俊	tɕ	ioŋ	24	
680	笋	s	ən	42	
681	准	ts	oŋ	42	
682	春	tsʰ	oŋ	45	
683	唇	s	oŋ	21	
684	顺	s	oŋ	24	
685	纯	s	oŋ	21	
686	闰	z	oŋ	24	
687	均	tɕ	ioŋ	45	
688	匀	∅	ioŋ	21	
689	律	n	uᶹ	33	
690	出	tsʰ	uᶹ	33	
691	橘	tɕ	yi	33	
692	分	f	oŋ	45	
693	粉	f	oŋ	42	
694	粪	f	oŋ	24	
695	坟	f	oŋ	21	
696	蚊	∅	oŋ	21	
697	问	∅	oŋ	24	
698	军	tɕ	ioŋ	45	
699	裙	tɕʰ	ioŋ	21	
700	熏	ɕ	ioŋ	45	
701	云	∅	ioŋ	21	
702	运	∅	ioŋ	24	
703	佛	f	uᶹ	33	
704	物	v	uᶹ	33	
705	帮	p	an	45	
706	忙	m	an	21	
707	党	t	an	42	
708	汤	tʰ	an	45	
709	糖	tʰ	an	21	
710	浪	n	an	24	
711	仓	tsʰ	an	45	
712	钢	k	an	45	
713	糠	kʰ	an	45	
714	薄	p	o	33	
715	摸	m	o	45	
716	托	tʰ	o	33	
717	落	n	o	33	
718	作	ts	o	33	
719	索	s	o	33	
720	各	k	o	33	
721	鹤	x	o	33	
722	恶	∅	o	33	
723	娘	n	ian	21	
724	两	n	ian	42	
725	亮	n	ian	24	
726	浆	tɕ	ian	45	豆～
726	浆	tɕ	ian	24	米～～
727	抢	tɕʰ	ian	42	
728	匠	tɕ	ian	24	
729	想	ɕ	ian	42	
730	像	tɕʰ	ian	24	
731	张	ts	an	45	
732	长	tsʰ	an	21	
733	装	ts	uan	45	
734	壮	ts	uan	24	
735	疮	tsʰ	uan	45	
736	床	tsʰ	uan	21	
737	霜	s	uan	45	
738	章	ts	an	45	
739	厂	tsʰ	an	42	
740	唱	tsʰ	an	24	
741	伤	s	an	45	
742	尝	s	an	21	
743	上	s	an	24	
744	让	z	an	24	
745	姜	tɕ	ian	45	
746	响	ɕ	ian	42	
747	向	ɕ	ian	24	
748	秧	∅	ian	45	
749	痒	∅	ian	42	
750	样	∅	ian	24	
751	雀	tɕʰ	io	33	
752	削	ɕ	yæ̞	33	
753	着	ts	o	33	
754	勺	s	ᴀu	21	文读
755	弱	z	o	33	
756	脚	tɕ	io	33	
757	约	∅	io	33	
758	药	∅	io	33	
759	光	k	uan	45	
760	慌	x	uan	45	
761	黄	x	uan	21	
762	郭	k	o	33	
763	霍	x	o	33	
764	方	f	an	45	
765	放	f	an	24	
766	纺	f	an	42	
767	房	f	an	21	
768	防	f	an	21	
769	网	∅	uan	42	
770	筐	kʰ	uan	45	
771	狂	kʰ	uan	21	
772	王	∅	uan	21	
773	旺	∅	uan	24	
774	缚	f	uᶹ	24	
775	绑	p	an	42	
776	胖	pʰ	an	24	
777	棒	p	an	24	
778	桩	ts	uan	45	
779	撞	tsʰ	uan	42	白
779	撞	ts	uan	24	文
780	窗	tsʰ	an	45	
781	双	s	uan	45	
782	江	tɕ	ian	45	
783	讲	tɕ	ian	42	
784	降	ɕ	ian	21	
785	项	x	an	24	
786	剥	p	o	33	
787	桌	ts	o	33	
788	镯	ts	o	33	
789	角	k	o	33	
790	壳	kʰ	o	33	
791	学	ɕ	io	33	
792	握	∅	o	33	
793	朋	pʰ	oŋ	21	
794	灯	t	ən	45	
795	等	t	ən	42	
796	凳	t	ən	24	
797	藤	tʰ	ən	21	
798	能	n	ən	21	
799	层	tsʰ	ən	21	
800	僧	s	ən	45	
801	肯	kʰ	ən	42	
802	北	p	e	33	
803	墨	m	æ̞	33	白
803	墨	m	e	33	文
804	得	t	e	33	
805	特	tʰ	e	33	
806	贼	ts	e	33	
807	塞	s	e	33	
808	刻	kʰ	e	33	
809	黑	x	e	33	
810	冰	p	in	45	
811	证	ts	ən	24	
812	秤	tsʰ	ən	24	
813	绳	s	oŋ	21	
814	剩	s	ən	24	
815	升	s	ən	45	
816	兴	ɕ	in	24	
817	蝇	∅	in	45	
818	逼	p	i	33	
819	力	n	i	33	
820	息	ɕ	i	33	
821	直	ts	ɿ	33	
822	侧	ts	e	33	
823	测	tsʰ	e	33	
824	色	s	e	33	
825	织	ts	ɿ	33	
826	食	s	ɿ	33	
827	式	s	ɿ	24	
828	极	tɕ	i	33	
829	国	k	uæ̞	33	白
829	国	k	ue	33	文
830	或	x	uæ̞	33	白
830	或	x	ue	33	文
831	猛	m	oŋ	42	
832	打	t	ᴀ	42	
833	冷	n	ən	42	
834	生	s	ən	45	
835	省	s	ən	42	
836	更	k	ən	45	
837	梗	k	ən	42	
838	坑	kʰ	ən	45	
839	硬	ŋ	ən	24	
840	行	ɕ	in	21	
841	百	p	e	33	
842	拍	pʰ	e	33	
843	白	p	æ̞	33	白
843	白	p	e	33	文
844	拆	tsʰ	e	33	
845	择	tsʰ	e	33	
846	窄	ts	e	33	
847	格	k	e	33	
848	客	kʰ	e	33	
849	额	ŋ	e	33	
850	棚	pʰ	oŋ	21	
851	争	ts	ən	45	
852	耕	k	ən	45	
853	麦	m	æ̞	33	白
853	麦	m	e	33	文
854	摘	ts	e	33	
855	策	tsʰ	e	33	
856	隔	k	e	33	
857	兵	p	in	45	
858	柄	p	in	42	
859	平	pʰ	in	21	
860	病	p	in	24	
861	明	m	in	21	
862	命	m	in	24	
863	镜	tɕ	in	24	
864	庆	tɕʰ	in	24	
865	迎	∅	in	21	
866	影	∅	in	42	
867	剧	tɕ	yi	24	
868	饼	p	in	42	
869	名	m	in	21	
870	领	n	in	42	
871	井	tɕ	in	42	
872	清	tɕʰ	in	45	
873	静	tɕ	in	24	
874	姓	ɕ	in	24	
875	贞	ts	ən	45	
876	程	tsʰ	ən	21	
877	整	ts	ən	42	
878	正	ts	ən	24	
879	声	s	ən	45	
880	城	tsʰ	ən	21	
881	轻	tɕʰ	in	45	
882	赢	∅	in	21	
883	积	tɕ	i	33	
884	惜	ɕ	i	33	
885	席	ɕ	i	33	
886	尺	tsʰ	ɿ	33	
887	石	s	ɿ	33	
888	益	∅	i	33	
889	瓶	pʰ	in	21	
890	钉	t	in	45	
891	顶	t	in	42	
892	厅	tʰ	in	45	
893	听	tʰ	in	24	
894	停	tʰ	in	21	
895	挺	tʰ	in	42	
896	定	t	in	24	
897	零	n	in	21	
898	青	tɕʰ	in	45	
899	星	ɕ	in	45	
900	经	tɕ	in	45	
901	形	ɕ	in	21	
902	壁	p	i	33	
903	劈	pʰ	i	33	
904	踢	tʰ	i	33	
905	笛	t	i	33	
906	历	n	i	33	
907	锡	ɕ	i	33	
908	击	tɕ	i	33	
