V1	V2	V2	
ȶæu	3	13	九
ȶʰæu	2	11	綢球
ȵæu	2	11	牛
læu	2	11	螺奴
tæu	6	34	杜
tʰæu	3	13	土讀毒
tsæu	1	33	租
sæu	7	24	宿縮
tsʰæu	7	24	族
ȶæu	7	24	竹粥燭
ȶʰæu	7	24	畜曲
læu	7	24	鹿六綠
tsæu	5	45	做
sæu	5	45	數
tsʰæu	1	33	初
ȶæu	1	33	州
ȶʰæu	1	33	抽
læu	6	34	路
ȶæu	6	34	舅舊
ȶʰæu	5	45	臭
pɑ	3	13	把
pʰɑ	2	11	爬
fɑ	2	11	華
tɑ	3	13	打
tʰɑ	3	13	達
tsɑ	3	13	紮
sɑ	7	24	殺刷
tsʰɑ	2	11	茶
ȶɑ	3	13	假
ȶʰɑ	7	24	尺吃
kɑ	7	24	夾隔
kʰɑ	7	24	客
xɑ	7	24	瞎
mɑ	3	13	馬
ŋɑ	2	11	牙
lɑ	2	11	爬
Ǿɑ	3	13	啞
pɑ	7	24	八
pʰɑ	3	13	白
fɑ	3	13	罰
tɑ	7	24	搭
tʰɑ	7	24	踏塔
tsɑ	7	24	閘紮摘
sɑ	1	33	沙杉
tsʰɑ	3	13	雜
ȶɑ	7	24	甲
ȶʰɑ	1	33	車
kɑ	5	45	嫁
xɑ	1	33	蝦
mɑ	6	34	罵
ŋɑ	7	24	額
lɑ	3	13	辣
Ǿɑ	7	24	鴨
pʰɑ	7	24	拍
fɑ	7	24	法發
tsʰɑ	7	24	插擦
ȶɑ	5	45	嫁
xɑ	6	34	下
lɑ	7	24	蠟
fɑ	1	33	花
lɑ	1	33	拉
fɑ	6	34	畫話劃
fɑ	5	45	化
kʰɯ	5	45	去
Ǿɯ	2	11	兒
Ǿɯ	3	13	耳
Ǿɯ	6	34	二
tsɿ	3	13	紫紙指子
sɿ	2	11	時
tsʰɿ	2	11	祠
tsɿ	1	33	資
sɿ	3	13	死使
tsʰɿ	5	45	刺
tsɿ	6	34	字
sɿ	1	33	師絲
sɿ	6	34	寺柿事市
sɿ	5	45	四試式
ɕia	7	24	瞎
pie	1	33	憋
pʰie	3	13	別
tie	7	24	跌列
tʰie	3	13	碟
tɕie	3	13	姐走
ɕie	3	13	寫舌
tɕʰie	2	11	愁
mie	2	11	棉
ȵie	零	零	業
Ǿie	2	11	爺
tʰie	7	24	貼鐵
tɕie	7	24	接折節截結
ɕie	7	24	協設歇雪
tɕʰie	3	13	絕賊
mie	3	13	篾
Ǿie	3	13	野葉
tɕie	5	45	借
ɕie	6	34	謝射
tɕʰie	7	24	撤傑切
mie	7	24	滅
Ǿie	6	34	夜
ɕie	5	45	瘦
tɕʰie	1	33	車
tɕʰie	5	45	湊
ɕio	3	13	勺學
tɕʰio	7	24	雀
Ǿio	7	24	約藥
ɕio	7	24	削
piou	3	13	表
pʰiou	5	45	票
tiou	3	13	鳥
tʰiou	2	11	條
tɕiou	1	33	焦
ɕiou	3	13	小
tɕʰiou	1	33	敲
miou	6	34	廟
liou	6	34	料
Ǿiou	2	11	搖
tiou	5	45	釣
ɕiou	1	33	燒簫
tɕʰiou	5	45	雀
Ǿiou	3	13	繞
ɕiou	6	34	校
Ǿiou	1	33	腰
ɕiou	5	45	孝笑
Ǿiou	5	45	要
tiæ	7	24	跌列
tʰiæ	3	13	碟
tɕiæ	7	24	接折節截結
ɕiæ	3	13	舌
tɕʰiæ	3	13	絕
miæ	3	13	篾
Ǿiæ	3	13	葉
tʰiæ	7	24	貼鐵
ɕiæ	7	24	設歇雪
tɕʰiæ	7	24	撤傑切
miæ	7	24	滅
tiæu	2	11	流
tɕiæu	3	13	酒
ɕiæu	3	13	手熟
liæu	7	24	綠
Ǿiæu	2	11	油
tiæu	1	33	丟
tɕiæu	6	34	袖
ɕiæu	7	24	叔贖屬
Ǿiæu	3	13	有
ɕiæu	1	33	修休
Ǿiæu	7	24	肉育浴
ɕiæu	6	34	袖壽
Ǿiæu	1	33	優
Ǿiæu	6	34	右
Ǿiæu	5	45	幼
piɑ	7	24	壁
pʰiɑ	7	24	劈
tɕiɑ	3	13	姐
ɕiɑ	2	11	蛇
tɕʰiɑ	2	11	斜
Ǿiɑ	2	11	爺
tɕiɑ	6	34	謝
ɕiɑ	3	13	寫石錫
tɕʰiɑ	3	13	席
Ǿiɑ	3	13	啞野
tɕiɑ	5	45	借
ɕiɑ	6	34	下夏射
Ǿiɑ	6	34	夜
kuei	3	13	鬼
kʰuei	1	33	虧
Ǿuei	2	11	危圍
kuei	7	24	骨
Ǿuei	3	13	尾
kuei	1	33	規龜
Ǿuei	6	34	外衛位味胃
kuei	6	34	跪櫃
kuei	5	45	桂貴
kuæ	3	13	拐
kʰuæ	3	13	塊
Ǿuæ	3	13	歪
kuæ	7	24	割國
kʰuæ	5	45	塊快
Ǿuæ	6	34	外
kuæ	5	45	怪
kuɑ	7	24	刮
Ǿuɑ	3	13	瓦滑
kuɑ	1	33	瓜
Ǿuɑ	7	24	挖襪
kuɑ	5	45	掛
Ǿuɑ	6	34	話
tɕyæ	7	24	決
ɕyæ	7	24	血
tɕʰyæ	7	24	缺
Ǿyæ	3	13	月
Ǿyæ	7	24	月越
tɕyɑ	1	33	抓
ɕyɑ	1	33	靴
tɕʰyɑ	2	11	茄
pʰən	2	11	朋棚蓬
fən	2	11	魂墳橫
tən	3	13	懂
tʰən	2	11	銅
tsən	5	45	俊粽
sən	3	13	筍
tsʰən	2	11	松
ȶən	3	13	緊整
ȶʰən	2	11	沉琴陳勤程城
kən	1	33	公宮恭
kʰən	3	13	孔
xən	2	11	紅
mən	3	13	猛
ȵən	2	11	人銀迎
lən	2	11	輪膿濃龍
pʰən	1	33	蜂
fən	3	13	粉
tən	1	33	墩蹲東冬
tʰən	3	13	桶統
sən	1	33	孫松
tsʰən	1	33	村蔥
ȶən	1	33	針金筋貞經
ȶʰən	1	33	輕
kən	6	34	共
mən	6	34	夢
ȵən	6	34	認
lən	1	33	聾
fən	1	33	分風豐封蜂
tən	6	34	動洞
tʰən	1	33	通
sən	5	45	送宋
tsʰən	5	45	寸
ȶən	6	34	近
ȶʰən	5	45	秤
lən	6	34	嫩弄
fən	6	34	鳳縫
tən	5	45	凍
tʰən	5	45	痛
ȶən	5	45	鎮震勁證鏡正
lən	5	45	動
fən	5	45	糞
piən	3	13	本柄餅
pʰiən	2	11	貧盆平瓶
tiən	2	11	林沉鄰零
tʰiən	2	11	停
ȶʰiən	5	45	慶
tɕiən	3	13	井
ɕiən	2	11	神辰唇繩行形
tɕʰiən	2	11	尋
miən	2	11	民門明名
Ǿiən	2	11	蠅贏
piən	1	33	冰兵
pʰiən	3	13	品
tiən	3	13	領頂
tʰiən	3	13	挺
tɕiən	6	34	靜
ɕiən	1	33	心深新身升聲星
tɕʰiən	1	33	親清青
miən	1	33	蚊
Ǿiən	3	13	引隱影
piən	6	34	病
tiən	6	34	定
tʰiən	1	33	廳
tɕiən	5	45	浸進
ɕiən	6	34	剩
tɕʰiən	5	45	浸
miən	6	34	命
Ǿiən	1	33	音
tʰiən	5	45	聽
ɕiən	5	45	興姓
Ǿiən	6	34	任
Ǿiən	5	45	印
kuən	3	13	滾
kʰuən	2	11	裙
Ǿuən	2	11	蚊
kʰuən	1	33	婚
Ǿuən	1	33	溫翁
kʰuən	5	45	困
Ǿuən	6	34	問
tɕyən	3	13	准腫
ɕyən	2	11	純熊雄
tɕʰyən	2	11	唇蟲窮
Ǿyən	2	11	勻雲榮營容
tɕyən	1	33	均軍中終
ɕyən	1	33	兄兇
tɕʰyən	1	33	春熏充沖
Ǿyən	3	13	永擁
tɕyən	6	34	重
ɕyən	6	34	順
Ǿyən	6	34	閏運用
tɕyən	5	45	種
poŋ	3	13	綁
pʰoŋ	5	45	胖
toŋ	3	13	黨
tʰoŋ	2	11	糖
tsoŋ	1	33	裝樁
soŋ	1	33	霜雙
tsʰoŋ	2	11	床
ȶoŋ	3	13	講
ȶʰoŋ	2	11	長
koŋ	3	13	講
kʰoŋ	1	33	糠筐坑
xoŋ	2	11	黃房防狂
moŋ	2	11	忙
ȵoŋ	2	11	娘
loŋ	6	34	浪
Ǿoŋ	2	11	黃王
poŋ	1	33	幫
tʰoŋ	1	33	湯
tsoŋ	5	45	壯
tsʰoŋ	3	13	撞
ȶoŋ	1	33	張章薑江
ȶʰoŋ	3	13	廠
koŋ	1	33	鋼光江
xoŋ	3	13	紡
moŋ	3	13	網
ȵoŋ	6	34	讓
Ǿoŋ	3	13	網
poŋ	5	45	棒
tsʰoŋ	1	33	倉瘡窗
ȶʰoŋ	5	45	唱
xoŋ	1	33	糠慌方烘
Ǿoŋ	6	34	旺
xoŋ	6	34	項
xoŋ	5	45	放烘
tioŋ	3	13	兩
tɕioŋ	1	33	漿
ɕioŋ	2	11	嘗降
tɕʰioŋ	3	13	搶
Ǿioŋ	3	13	癢
tioŋ	6	34	亮
tɕioŋ	6	34	匠像
ɕioŋ	3	13	想響
Ǿioŋ	1	33	秧
ɕioŋ	1	33	傷兄
Ǿioŋ	6	34	讓樣
ɕioŋ	6	34	上項
ɕioŋ	5	45	像向
pĩ	3	13	扁
pʰĩ	5	45	騙片
tĩ	2	11	連蓮
tʰĩ	2	11	甜田
tɕĩ	3	13	剪
ɕĩ	2	11	嫌
tɕʰĩ	2	11	鉗錢前全
mĩ	2	11	眉棉
nĩ	2	11	泥黏嚴言年
Ǿĩ	2	11	炎鹽延
pĩ	6	34	便
tĩ	3	13	點典
tʰĩ	1	33	添天
tɕĩ	1	33	尖肩
ɕĩ	3	13	險顯選
tɕʰĩ	3	13	淺
mĩ	3	13	米
nĩ	7	24	日
Ǿĩ	3	13	染
pĩ	5	45	變
tĩ	6	34	墊
tɕĩ	6	34	件健
ɕĩ	1	33	鮮先
tɕʰĩ	1	33	簽牽鉛
mĩ	6	34	面
nĩ	6	34	藝義驗念
Ǿĩ	1	33	煙
tĩ	5	45	店
tɕĩ	5	45	占劍戰建見
ɕĩ	6	34	善現縣
tɕʰĩ	5	45	欠
mĩ	5	45	尾
nĩ	5	45	蟻
Ǿĩ	5	45	厭
ɕĩ	5	45	線扇
peĩ	1	33	搬
pʰeĩ	2	11	盤
feĩ	2	11	含
teĩ	3	13	短等
tʰeĩ	2	11	藤
tseĩ	1	33	僧爭
seĩ	3	13	省
tsʰeĩ	2	11	層
keĩ	1	33	根更耕
kʰeĩ	3	13	肯
xeĩ	6	34	恨
meĩ	3	13	滿
ŋeĩ	1	33	恩
leĩ	2	11	能
peĩ	5	45	半
pʰeĩ	5	45	判
feĩ	6	34	汗換
teĩ	1	33	端燈
tʰeĩ	1	33	吞
seĩ	1	33	參酸生
ŋeĩ	6	34	硬
leĩ	3	13	暖
teĩ	6	34	斷
seĩ	5	45	算
leĩ	6	34	亂
teĩ	5	45	凳
pã	3	13	板
fã	2	11	還
tã	3	13	膽
tʰã	2	11	潭彈
tsã	1	33	爭
sã	3	13	傘
tsʰã	2	11	蠶纏
ȶã	5	45	鏡
ȶʰã	1	33	輕
kã	3	13	感敢減梗
kʰã	5	45	看
xã	2	11	含鹹
mã	3	13	晚
ŋã	2	11	顏
lã	2	11	南藍難蘭
pã	1	33	班
fã	3	13	反
tã	1	33	單
tʰã	3	13	毯
tsã	6	34	賺
sã	1	33	三衫山閂生
tsʰã	3	13	鏟產
kã	1	33	甘肝間奸
xã	3	13	喊
mã	6	34	慢
ŋã	3	13	眼
lã	3	13	懶冷
pã	6	34	扮辦
fã	1	33	翻
tã	6	34	淡
tʰã	1	33	貪
kã	5	45	監
xã	6	34	汗限
ŋã	1	33	安
lã	6	34	爛
fã	6	34	犯飯
tʰã	5	45	炭
xã	5	45	漢
ŋã	6	34	岸
ŋã	5	45	暗
piã	3	13	餅
pʰiã	2	11	平
tiã	2	11	零
tʰiã	5	45	聽
tɕiã	3	13	井
ɕiã	1	33	聲星
tɕʰiã	1	33	清青
miã	2	11	明名
Ǿiã	2	11	贏
piã	6	34	病
tiã	3	13	領
miã	6	34	命
Ǿiã	3	13	影
tiã	1	33	釘
kueĩ	1	33	肝官
kʰueĩ	1	33	寬歡
Ǿueĩ	3	13	碗
kuã	1	33	關
kʰuã	1	33	關
Ǿuã	2	11	完頑還
kuã	5	45	慣
Ǿuã	3	13	晚
Ǿuã	1	33	彎
Ǿuã	6	34	萬
tɕyeĩ	3	13	轉卷
tɕʰyeĩ	2	11	傳船權
ȵyeĩ	3	13	軟
Ǿyeĩ	2	11	完圓鉛原園
tɕyeĩ	1	33	磚
tɕʰyeĩ	1	33	圈
Ǿyeĩ	3	13	遠
tɕyeĩ	6	34	傳
tɕʰyeĩ	5	45	勸
Ǿyeĩ	1	33	冤
Ǿyeĩ	6	34	院
