汉字	音标	注释
顾	ku⁵³	
枯	kʰu³³	
苦	fu²¹⁴	味~
苦	kʰu²¹⁴	辛~
库	kʰu⁵³	
裤	kʰu⁵³	
吴	m̩¹¹	
五	m̩⁵³	
误	ŋu³¹	
呼	fu³³	
虎	fu²¹⁴	
戽	fu⁵³	
胡	fu¹¹	姓~
湖	fu¹¹	
胡	vu¹¹	~须
户	fu³¹	
互	fu³¹	
护	fu³¹	
乌	vu³³	
女	nuoi³	崽~
女	nuoi¹²	孙~
吕	luoi⁵³	
旅	lai²¹⁴	
徐	tsʰai¹¹	
序	tsʰuoi³¹	
猪	tsu³³	
著	tsu⁵³	
除	tsʰu¹¹	
苎	tsʰu⁵³	
阻	tsu²¹⁴	
初	tsʰɛu³³	
楚	tsʰu²¹⁴	
锄	tsʰɛu¹¹	
助	tsʰu³¹	
梳	sɛu³³	动词
梳	sɛu¹²	名词
蔬	sɛu³³	
所	sɛu²¹⁴	
诸	tsu³³	
煮	tsu²¹⁴	
处	tsʰu²¹⁴	~所，不符合古今语音演变的对应规律
书	su³³	
舒	su³³	
鼠	su²¹⁴	
薯	su³¹	红~
如	i¹¹	
居	ki³³	
车	ki³³	~马炮
举	ki²¹⁴	
锯	ki⁵³	动词
锯	ki¹²	名词
去	siɛ¹¹	话音，不符合古今语音演变的对应规律
去	kʰi⁵³	字音
渠	kʰi¹¹	
巨	kʰi³¹	
距	kʰi⁵³	
鱼	m̩³	
语	ŋi⁵³	
虚	hi³³	
许	hi²¹⁴	
余	i¹¹	
预	i³¹	
肤	fu³³	
府	fu²¹⁴	
斧	pu²¹⁴	
傅	fu³¹	不符合古今语音演变的对应规律
符	fu¹¹	
扶	pʰu¹¹	话音
扶	fu¹¹	字音
腐	fu³¹	
辅	pʰu²¹⁴	
附	fu³¹	
无	vu¹¹	
舞	mu⁵³	~龙
舞	vu²¹⁴	跳~
武	vu²¹⁴	
务	mu³¹	
雾	mu³¹	
屡	luoi⁵³	不符合古今语音演变的对应规律
取	tsʰuoi²¹⁴	
娶	tsʰuoi²¹⁴	
趣	tsʰuoi³	
聚	tsʰuoi³	
须	suoi³³	胡~
需	suoi³³	
株	tsu³³	
驻	tsu⁵³	
厨	tsʰu¹¹	
柱	tsʰu¹²	
住	tsʰu³¹	
数	su¹²	名词
朱	tsu³³	
珠	tsu³³	
主	tsu²¹⁴	
注	tsu⁵³	
输	su³³	
殊	su¹¹	
竖	su⁵³	
树	su³¹	
儒	i¹¹	
拘	kʰi³³	不符合古今语音演变的对应规律
句	ki⁵³	
区	kʰi³³	
具	kʰi³¹	
愚	i¹¹	
娱	i¹¹	
遇	i³¹	
雨	i⁵³	
羽	i⁵³	
芋	i³¹	
愉	i¹¹	
裕	i³¹	
戴	tɔ⁵³	
胎	tʰoi³³	
态	tʰa⁵³	
贷	tʰa⁵³	
台	tʰoi¹¹	
待	tʰoi³¹	
代	tʰoi³¹	
袋	tʰoi³¹	
耐	nɔ³¹	
来	lai¹¹	
灾	tsa³³	
栽	tsoi³³	
宰	tsai²¹⁴	
再	tsoi⁵³	
彩	tsʰoi²¹⁴	
菜	tsʰoi⁵³	青~
菜	tsʰoi¹²	韭~
财	tsʰoi¹¹	
裁	tsʰoi¹¹	
在	tsʰoi³³	
在	tsʰoi³¹	
鳃	suoi³³	不符合古今语音演变的对应规律
赛	sa⁵³	
该	koi³³	
改	koi²¹⁴	
概	kʰai²¹⁴	不符合古今语音演变的对应规律
开	hoi³³	
碍	ŋoi³¹	
海	hoi²¹⁴	
亥	hoi³¹	
哀	oi³³	
爱	oi⁵³	
贝	poi⁵³	
带	tɔ⁵³	动词
带	tɔ¹²	名词
太	tʰa⁵³	
泰	tʰa⁵³	
大	tʰa³¹	~夫
赖	lɔ³¹	
蔡	tsʰa⁵³	
盖	koi⁵³	动词
盖	koi¹²	名词
艾	ŋiɛ⁵³	不符合古今语音演变的对应规律
害	hoi³¹	
拜	pa⁵³	
排	pʰa¹¹	
排	pʰa³	竹~
埋	ma¹¹	
斋	tsa³³	
豺	tsʰa¹¹	
阶	kia³³	
介	kia⁵³	
界	kia⁵³	
戒	kia⁵³	
楷	kʰai²¹⁴	
械	hai³¹	
挨	a³³	~着
摆	pa²¹⁴	
派	pʰa⁵³	
牌	pʰa³	
稗	pʰa³¹	
买	ma⁵³	
卖	ma³¹	
奶	niaŋ³	不符合古今语音演变的对应规律
债	tsa⁵³	
差	tsʰa³³	出~
柴	tsʰa¹¹	
筛	siɛ³³	动词，不符合古今语音演变的对应规律
筛	siɛ¹²	名词，不符合古今语音演变的对应规律
洒	sa²¹⁴	
晒	sa⁵³	
佳	kia³³	
街	kia³³	
解	kia²¹⁴	
鞋	ha¹¹	
蟹	kʰa²¹⁴	不符合古今语音演变的对应规律
矮	a²¹⁴	
败	pʰa³¹	
寨	tsʰa³¹	
币	pʰai³¹	
毙	pa⁵³	不符合古今语音演变的对应规律
例	lai³¹	
际	tsai⁵³	
祭	tsai⁵³	
制	tsai⁵³	
世	sɿ⁵³	
势	siɛ⁵³	
誓	sɿ³¹	
艺	ŋai³¹	
闭	pai⁵³	
批	pʰa³³	
迷	mai¹¹	
米	ma⁵³	
低	ta³³	
堤	tʰai¹¹	不符合古今语音演变的对应规律
底	ta²¹⁴	~下
底	ta¹²	上~
帝	tai⁵³	
梯	tʰa³³	
体	tʰai²¹⁴	
替	tʰa⁵³	
剃	tʰa⁵³	
题	tʰai¹¹	
提	tʰia¹¹	话音，不符合古今语音演变的对应规律
提	tʰai¹¹	字音
弟	tʰa¹²	老~
弟	tʰai³	徒~
第	tʰai³¹	
泥	na¹¹	
犁	la¹¹	
礼	lai⁵³	
丽	lai³¹	
挤	tsai³³	不符合古今语音演变的对应规律
济	tsai⁵³	
妻	tsʰai³³	
齐	tsʰiɛ¹¹	
脐	tsʰai³	
西	siɛ³³	~瓜
西	siɛ¹²	东~
洗	sa²¹⁴	
细	sa⁵³	
鸡	kiɛ³³	
计	kiɛ⁵³	
继	kiɛ⁵³	
启	kʰiɛ²¹⁴	
系	hai³¹	~统
杯	pai³³	
背	poi⁵³	瓦~
背	poi¹²	驼~佬
配	pʰai⁵³	
陪	pʰoi¹¹	
赔	pʰoi¹¹	
倍	pʰoi⁵³	
背	pʰoi³¹	~诵
佩	pʰoi⁵³	
梅	moi¹¹	~花
梅	moi³	~哩
煤	moi¹¹	
妹	moi³¹妹仔哩	
妹	moi³	姊~
堆	tuoi³³	
对	tuoi⁵³	形容词
对	tuoi¹²	名词
推	tʰuoi³³	
腿	tʰuoi²¹⁴	
退	tʰuoi⁵³	
队	tuoi¹²	
内	nuoi³¹	
雷	luoi¹¹	
累	luoi³¹	劳~
催	tsʰuoi³³	
罪	tsʰuoi³¹	
碎	suoi⁵³	
恢	foi³³	
灰	foi³³	
悔	fai⁵³	不符合古今语音演变的对应规律
回	fai¹¹	
汇	fai³¹	
兑	tʰoi³¹	
最	tsoi⁵³	
会	fai³¹	~计，不符合古今语音演变的对应规律
外	ŋoi³¹	
会	fai³³	~议
会	voi³¹	不~
乖	koi³³	
怪	koi⁵³	
块	kʰoi²¹⁴	不符合古今语音演变的对应规律
怀	fai¹¹	
坏	foi³¹	
拐	kuai²¹⁴	
挂	kua⁵³	
歪	vai³³	
画	fɔ³¹	
快	kʰoi⁵³	
筷	kʰoi⁵³	
话	vɔ³¹	
脆	tsʰuoi⁵³	
岁	suoi⁵³	
税	suoi⁵³	
卫	vai³¹	
废	fai⁵³	
肺	fai⁵³	
桂	kuoi⁵³	
惠	fai³¹	
慧	fai³¹	
碑	pai³³	
彼	pʰai²¹⁴	不符合古今语音演变的对应规律
披	pʰai³³	
皮	pʰai¹¹	
皮	pʰai³	信~
脾	pʰai¹¹	
被	pʰai⁵³	~子
避	pʰai³¹	
弥	mai¹¹	~补
离	lai¹¹	
篱	lai¹¹	
荔	lai³¹	
紫	tsɿ²¹⁴	
此	tsʰɿ²¹⁴	
刺	tsʰɿ⁵³	
斯	sɿ³³	
赐	sɿ⁵³	
知	tai³³	
智	tsɿ⁵³	
池	tsʰɿ¹¹	
支	tsɿ³³	
枝	tsɿ³³	
纸	tsɿ²¹⁴	
只	tsɿ²¹⁴	~有
舐	siɛ⁵³	舔
施	sɿ³³	
是	sɿ³¹	
氏	sɿ³¹	
儿	i¹¹	
寄	ki⁵³	
企	kʰi⁵³	~业，不符合古今语音演变的对应规律
奇	kʰi¹¹	
骑	kʰi¹¹	
技	kʰi³¹	
徛	kʰi⁵³	站立
宜	ŋi¹¹	
宜	i¹¹	
蚁	ŋi¹²	
义	ŋi³¹	
议	ŋi⁵³	不符合古今语音演变的对应规律
牺	hi³³	
戏	hi⁵³	
椅	i¹²	
移	i¹¹	
易	i³¹	难~
悲	pai³³	
比	pai²¹⁴	
秘	pai⁵³	~书
屁	pʰai⁵³	
备	pʰai³¹	
鼻	pʰai³¹	
眉	mai¹¹	
美	mai⁵³	
地	tʰai³¹	
尼	na¹¹	不符合古今语音演变的对应规律
梨	lai¹¹	字音
梨	lai³	话音
利	lai³¹	
资	tsɿ³³	
次	tsʰɿ⁵³	
瓷	tsʰɿ¹¹	
餈	tsʰai¹¹	粽~
餈	tsʰai³	水~
自	sɿ³¹	不符合古今语音演变的对应规律
私	sɿ³³	
死	sai²¹⁴	
四	sɿ⁵³	
致	tsɿ⁵³	
迟	tsʰɿ¹¹	
师	sɿ³³	
脂	tsɿ³³	
指	tsɿ²¹⁴	
指	tsɿ¹²	手~
至	tsɿ⁵³	
示	sɿ⁵³	不符合古今语音演变的对应规律
尸	sɿ³³	
屎	sɿ²¹⁴	
视	sɿ⁵³	不符合古今语音演变的对应规律
二	ŋi³¹	
饥	ki³³	
器	hi⁵³	
夷	i¹¹	
姨	i¹¹	
你	nɛi³³	
李	lai⁵³姓氏	
李	lai¹²水果	
里	lai⁵³	
里	lai¹²	~子
理	lai⁵³	
子	tsɿ²¹⁴	
子	tsɿ¹²	顶~
慈	tsʰɿ¹¹	
字	sɿ³	不符合古今语音演变的对应规律
司	sɿ³³	
思	sɿ³³	
辞	tsʰɿ¹¹	
祠	tsʰɿ¹¹	
寺	sɿ¹²	
饲	tsʰɿ¹¹	不符合古今语音演变的对应规律
置	tsɿ⁵³	
耻	tsʰɿ²¹⁴	
持	tsʰɿ¹¹	
痔	tsɿ⁵³	不符合古今语音演变的对应规律
治	tsʰɿ³¹	
士	sɿ³¹	
柿	sɿ¹²	
事	sɿ³¹	
使	sɿ²¹⁴	
史	sɿ²¹⁴	
之	tsɿ³³	
止	tsɿ²¹⁴	
志	tsɿ⁵³	
痣	tsɿ⁵³	
齿	tsɿ²¹⁴	话音，不符合古今语音演变的对应规律
齿	tsʰɿ²¹⁴	字音
诗	sɿ³³	
始	tsʰɿ²¹⁴	不符合古今语音演变的对应规律
试	sɿ⁵³	
时	sɿ¹¹	
市	sɿ⁵³	
耳	ŋi⁵³	
耳	ŋi¹²	扣~
基	ki³³	
己	ki²¹⁴	
记	ki⁵³	
欺	kʰi³³	
起	hi²¹⁴	
其	kʰi¹¹	
棋	kʰi³	
旗	kʰi¹¹	
疑	ŋi¹¹	
喜	hi²¹⁴	
医	i³³	
意	i⁵³	
以	i²¹⁴	
异	i³¹	
机	ki³³	
几	ki²¹⁴	~个
气	hi⁵³	
汽	hi⁵³	
毅	ŋai³¹	
希	hi³³	
衣	i³³	
衣	i¹²	胞~
依	i³³	
累	luoi¹¹	积~，不符合古今语音演变的对应规律
嘴	tsuoi²¹⁴	
随	suoi¹¹	
吹	tsʰuoi³³	
炊	tsʰuoi³³	
垂	suoi¹¹	
瑞	suoi³¹	祥~
规	kʰuoi³³	不符合古今语音演变的对应规律
亏	kʰuoi³³	
跪	kʰuoi³¹	
危	ŋuoi¹¹	
毁	fai²¹⁴	
委	vai²¹⁴	
为	vai¹¹	作~
为	vai³¹	~了
类	luoi³¹	
泪	luoi³¹	
泪	lai³	眼~
醉	tsuoi⁵³	
虽	suoi³³	
隧	suoi³¹	
追	tsuoi³³	
锤	tsʰuoi¹¹	动词
锤	tsʰuoi³	名词
衰	suoi³³	
帅	sa⁵³	
水	suoi²¹⁴	
龟	kuoi³³	
轨	kuoi²¹⁴	
季	kuoi⁵³	
葵	kʰuoi¹¹	
柜	kʰuoi³	
位	vai³	
唯	vai¹¹	不符合古今语音演变的对应规律
遗	vai¹¹	不符合古今语音演变的对应规律
非	fai³³	
飞	fai³³	
匪	fai²¹⁴	
费	fai⁵³	
肥	fai¹¹	
微	mai¹¹	
尾	mai¹²	
未	mai³¹	
味	mai³¹	
归	kuoi³³	
鬼	kuoi²¹⁴	
贵	kuoi⁵³	
魏	ŋuoi³¹	
挥	fai³³	
威	vai³³	
慰	vai³¹	
违	vai¹¹	
围	vai¹¹	
伟	vai²¹⁴	
胃	vai³¹	
谓	vai³¹	
保	pau²¹⁴	
宝	pau²¹⁴	
报	pau⁵³	
袍	pʰau¹¹	
抱	pʰau²¹⁴	不符合古今语音演变的对应规律
暴	pʰau⁵³	不符合古今语音演变的对应规律
菢	pʰau⁵³	孵，赖~鸡婆
菢	pu³³	孵，~鸡仔，不符合古今语音演变的对应规律
毛	mau¹¹姓氏	
毛	mau³³	松~，不符合古今语音演变的对应规律
毛	mau¹²	孩~仔
冒	mau³¹	
帽	mau³	
刀	tau³³	
岛	tau²¹⁴	
到	tau⁵³	
倒	tau²¹⁴	~水，不符合古今语音演变的对应规律
讨	tʰau²¹⁴	
套	tʰau⁵³	
桃	tʰau¹¹	~花
桃	tʰau³	
逃	tʰau¹¹	
陶	tʰau¹¹	
道	tʰau³¹	
稻	tʰau³¹	
导	tʰau³¹	
脑	nau⁵³	
劳	lau¹¹	
牢	lau¹¹	
老	lau⁵³	
老	lau²¹⁴	
捞	lau¹¹	
糟	tsau³³	
早	tsau²¹⁴	
枣	tsau¹²	
灶	tsau⁵³	
操	tsʰau³³	体~
草	tsʰau²¹⁴	
曹	tsʰau¹¹	
皂	tsau⁵³	不符合古今语音演变的对应规律
造	tsʰau³¹	
臊	sau³³	~气
扫	sau⁵³	~地，不符合古今语音演变的对应规律
嫂	sau²¹⁴	姊~
嫂	sau¹²	
扫	sau⁵³	~帚
高	kau³³	
糕	kau³³	
稿	kau²¹⁴	
告	kau⁵³	
考	kʰau²¹⁴	
靠	kʰau⁵³	
熬	ŋau¹¹	
蒿	kʰau³³	
好	hau²¹⁴	~坏
好	hau⁵³	喜~
毫	hau¹¹	
号	hau³¹	~码
袄	au²¹⁴	
奥	au⁵³	
包	pau³³	
饱	pau²¹⁴	
豹	pau⁵³	
爆	pʰau⁵³	
泡	pʰau¹²	
炮	pʰau⁵³	
跑	pʰau²¹⁴	
猫	miau³	不符合古今语音演变的对应规律
貌	mau³¹	
闹	nau³¹	
罩	tsau⁵³	
爪	tsau²¹⁴	~子
抄	tsʰau³³	
炒	tsʰau²¹⁴	
吵	tsʰau¹¹	不符合古今语音演变的对应规律
巢	tsʰau¹¹	
稍	siau³³	不符合古今语音演变的对应规律
交	kau³³	
胶	kau³³	~布
搅	kau²¹⁴	
搞	kau²¹⁴	
教	kau⁵³	~育
觉	kia⁵³	睡~
巧	kʰiau²¹⁴	
咬	ŋia⁵³	
孝	hau⁵³	
效	hau³¹	
校	kau¹²	学~，不符合古今语音演变的对应规律
标	piau³³	
表	piau³³	手~，不符合古今语音演变的对应规律
表	piau²¹⁴	~格
飘	pʰiau³³	
票	pʰiau¹²	车~
薸	pʰiau³	浮萍
苗	miau¹¹	
秒	miau²¹⁴	
庙	miau³¹	
妙	miau³¹	
疗	liau¹¹	不符合古今语音演变的对应规律
焦	tsiau³³	
椒	tsiau³³	
噍	tsʰiau³¹	嚼
消	siau³³	
小	siau²¹⁴	
笑	siau⁵³	
朝	tsau³³	今~
超	tsʰau³³	
朝	tsʰau¹¹	~代
潮	tsʰau¹¹	
赵	tsʰau³¹	
召	tsau³³	不符合古今语音演变的对应规律
昭	tsau³³	
招	tsau³³	
照	tsau⁵³	
烧	sau³³	
少	sau²¹⁴	多~
少	sau⁵³	~年
绍	sau⁵³	
饶	ŋiau¹¹	
骄	kiau³³	
桥	kʰiau¹¹	
轿	kʰiau³	
嚣	siau³³	
妖	iau³³	
要	iau³³	~求
要	iau⁵³	重~
摇	iau¹¹	
窑	iau¹¹	
舀	iau²¹⁴	
耀	iau³¹	
鹞	iau³	
刁	tiau³³	
鸟	tiau²¹⁴交合	
鸟	tiau¹²动物	
钓	tiau⁵³	
挑	tʰiau³³	
跳	tʰiau⁵³	
粜	tʰiau⁵³	卖出
条	tʰiau¹¹	
条	tʰiau³	雪~
调	tʰiau³¹	~动
尿	ŋiau³¹	
聊	liau¹¹	
了	liau⁵³	~解
料	liau³¹	
萧	siau³³	
缴	kiau²¹⁴	
叫	kiau⁵³	
尧	iau¹¹	
晓	siau²¹⁴	
某	mia²¹⁴	
亩	mia²¹⁴	
牡	mia³¹	不符合古今语音演变的对应规律
母	mu⁵³	
贸	mia³¹	
兜	tia³³	
斗	tia²¹⁴	
斗	tia¹²	跟~
陡	tia²¹⁴	
斗	tia⁵³	~争
偷	tʰia³³	
敨	tʰia²¹⁴	
透	tʰia⁵³	
头	tʰia¹¹	
头	tʰia³	热~
豆	tʰia³¹	~角
豆	tʰia³	黄~
逗	tʰia³	
楼	lia¹¹	
漏	lia³¹	
走	tsia²¹⁴	
奏	tsia⁵³	
凑	tsʰia⁵³	
勾	kia³³	
钩	kia³³	动词
钩	kia¹²	名词
沟	kia³³	
狗	kia²¹⁴	
够	kia⁵³	
构	kia⁵³	
口	hia²¹⁴	
扣	kʰia⁵³	
藕	ŋia²¹⁴	
偶	ŋia²¹⁴	配~
侯	hia¹¹	
喉	hia¹¹	
猴	hia¹¹	~哥
猴	hia³	~仔
后	hia⁵³	~年
后	hia³¹	~世
厚	hia⁵³	
候	hia³¹	
欧	ʔia³³	
呕	ʔia²¹⁴	
沤	ʔia⁵³	~肥
否	fia²¹⁴	
富	fu⁵³	
副	fu⁵³	
浮	fia¹¹	
妇	fu³¹	~女
妇	pu¹²	新~，不符合古今语音演变的对应规律
负	fu³¹	
谋	mia¹¹	
矛	mau¹¹	
纽	ŋiu²¹⁴	
流	liu¹¹	
刘	liu¹¹	
留	liu¹¹	
柳	ŋiu²¹⁴	~笔，不符合古今语音演变的对应规律
柳	liu¹²	
酒	tsiu²¹⁴	
秋	tsʰiu³³	
就	tsʰiu³³	
修	siu³³	
秀	siu⁵³	
绣	siu⁵³	
袖	tsʰiu³¹	
昼	tsiu⁵³	上~
昼	tsau⁵³	~夜
抽	tsʰiu³³	
丑	tsʰiu²¹⁴	
绸	tsʰiu¹¹	
宙	tsʰiu³¹	
邹	tsia³³	
皱	tsiu⁵³	
愁	tsʰiu¹¹	
搜	sia³³	
馊	sia³³	
瘦	sia⁵³	
周	tsiu³³	
州	tsiu³³	
咒	tsiu⁵³	
臭	tsʰiu⁵³	
收	siu³³	
手	siu²¹⁴	
守	siu²¹⁴	
兽	tsʰiu⁵³	
仇	siu¹¹	报~
受	siu³¹	
寿	siu³¹	
售	tsʰiu¹¹	不符合古今语音演变的对应规律
柔	iu¹¹	
阄	kia¹²	掂~
九	kiu²¹⁴	
久	kiu²¹⁴	
救	kiu⁵³	
丘	kʰiu³³	
求	kʰiu¹¹	
球	kʰiu¹¹	
舅	kʰiu⁵³	~娘
舅	kʰiu¹²	~哩
旧	kʰiu³¹	
牛	ŋiu¹¹	
休	siu³³	
优	iu³³	
尤	iu¹¹	
邮	iu¹¹	
有	iu⁵³	
友	iu²¹⁴	
又	iu³¹	
右	iu³¹	
由	iu¹¹	
油	iu¹¹	
酉	iu⁵³	
柚	iu¹²	
彪	piau³³	
谬	miau³¹	
幼	iu⁵³	
耽	toŋ³³	
答	tɔ⁵	
搭	tɔ⁵	
贪	tʰoŋ³³	
探	tʰoŋ⁵³	~亲
踏	tʰɔ³	不符合古今语音演变的对应规律
潭	tʰoŋ¹¹	
南	noŋ¹¹	
男	noŋ¹¹	
纳	nɔ³	
参	tsʰoŋ³³	~加
惨	tsʰoŋ²¹⁴	
蚕	tsʰoŋ¹¹	
杂	tsʰɔ³	
感	kiaŋ²¹⁴	
鸽	kia⁵	字音
鸽	kau¹²	白~哩
含	hiaŋ¹¹	
合	hoi³	
庵	oŋ¹²	佛寺
暗	oŋ⁵³	
暗	ʔiaŋ⁵³	年三十~晡
担	toŋ³³	~任
胆	toŋ²¹⁴	
担	toŋ⁵³	
毯	tʰoŋ²¹⁴	
塔	tʰɔ¹²	
塌	tʰɔ⁵	
谈	tʰoŋ¹¹	
痰	tʰoŋ¹¹	
淡	tʰoŋ⁵³	
蓝	loŋ¹¹	
篮	loŋ¹¹	~球
篮	loŋ³	竹~
览	loŋ²¹⁴	
腊	lɔ³	
蜡	lɔ³	
暂	tsʰoŋ³¹	
三	soŋ³³	
甘	koŋ³³	
柑	koŋ¹²	
敢	koŋ²¹⁴	
喊	hiaŋ⁵³	不符合古今语音演变的对应规律
站	tsʰoŋ³¹	车~
赚	tsʰoŋ³¹	
斩	tsiaŋ²¹⁴	
插	tsʰa⁵	
闸	tsʰa⁵	不符合古今语音演变的对应规律
杉	sɔ³³	不符合古今语音演变的对应规律
减	kiaŋ²¹⁴	
夹	kia³	
恰	hia⁵	
咸	hiaŋ¹¹	
陷	hiaŋ³¹	
馅	hoŋ¹²	
狭	ha³	
峡	ha³	
衫	siaŋ³³	
监	kiaŋ⁵³	~狱，不符合古今语音演变的对应规律
甲	kia⁵	
岩	ŋoŋ¹¹	
癌	ŋoŋ¹¹	
衔	hiaŋ¹¹	
舰	loŋ³¹	不符合古今语音演变的对应规律
鸭	ɔ¹²	
压	ɔ⁵	
贬	piŋ²¹⁴	
聂	ŋi⁵	不符合古今语音演变的对应规律
廉	liŋ¹¹	
镰	liŋ¹¹	~刀
镰	liŋ³	禾~仔
猎	lia³	
尖	tsiŋ³³	
接	tsi⁵	
签	tsʰiŋ³³	
妾	tsʰi⁵	
潜	tsʰoŋ¹¹	不符合古今语音演变的对应规律
渐	tsʰiŋ³¹	
捷	tsi⁵	不符合古今语音演变的对应规律
沾	tsiŋ³³	
占	tsiŋ⁵³	~领
折	tsi⁵	~叠
陕	siŋ²¹⁴	
闪	siŋ²¹⁴	
摄	si⁵	
涉	si⁵	不符合古今语音演变的对应规律
染	ŋiŋ⁵³	
检	kiŋ²¹⁴	
钳	kʰiŋ¹¹	
验	ŋiŋ³¹	
险	siŋ²¹⁴	
厌	iŋ⁵³	
盐	iŋ¹¹	
