	富阳街道	柳家龙岩	古城秀山	莲山水寨	朝东水谷	城北马山	福利毛家	麦岭街道	朝东街道	朝东茶山	白沙黄板桥	石家街道	石家龙湾	葛坡老塘面寨	新华街道	江永桃川	富川保庆话	富川七都话	富川八都话	富川客家话	富川梧州话
靴	ɕye44	ɕye44	ɕyẽ44	ɕye44	ɕye44	ɕye33	ɕye44	ɕiɪ33	ɕye44	ɕiɛ31	ɕyɛ21	ɕyɛ31	ɕye31	ɕie31	ɕiẽ224	ɕye44	ʃye33	ʃy33	ʃiɤ33	ɕye31	hyø51
把(量)	pᴀ53	pɑ53	pɑ51	pʰɑ53	pɑ553	pɑ453	pɑ53	pɑ45	pɑ55	pɑ51	pɑ55	pɑ55	pɑ55	pɑ53	pa553	pɑ45	pɑ31	pu24	pu33	ta31	pɑ44
爬	pᴀ31	pɑ31	pɑ21	pɑ31	pɑ31	pʰɑ31	pʰɑ31/pɑ31	pʰɑ31	pʰɑ31	pʰɑ31	pʰɑ21	pɑ31	pʰɑ31	pʰɑ31	pʰa22	pʰɑ31	pɑ213	pa22	piu31	pʰa12	pɑ231
马	mᴀ53	mɑ53	mɑ51	mɑ53	mɑ553	mɑ453	mɑ53	mɑ45	mɑ55	mɑ51	mɑ55	mɑ55	mɑ55	mɑ53	ma553	mɑ45	mɑ31	mu42	mu33	ma24	mɑ231
骂	mᴀ35	mɑ35	mɑ35	mɑ35	mɑ35	mɑ24	mɑ35	mɑ13	mɑ24	mɑ24	mɑ24	mɑ35	mɑ24	mɑ24	ma224	mɑ13	mɑ33	ma35	tsʰu42	ma51	hɑ503
茶	tsᴀ31/tsʰᴀ31	tsɑ31	tsɑ21	tsɑ31	tsɑ31	tsʰɑ31	tsʰɑ31	tsʰɑ31	tsʰɑ31	tsʰɑ31	tsʰɑ21	tsʰɑ31	tsʰɑ31	tsʰɑ31	tsʰa22	tsʰɑ31	sɑ213/tsʰa31	tsu22	tsu31/tsʰa31	tʃa12	sɑ231
沙	sᴀ44	sɑ44	sɑ44	sɑ44	sɑ44	sɑ33	sɑ44	sɑ33	sɑ44	sɑ33	sɑ33	sɑ44	sɑ33	sɑ33	sa44	sɑ44	sɑ33	su52	su52	sia24	sɑ51
假(真~)	kiᴀ53	kiɑ53	kiɑ51	kiɑ53	kiɑ553	ʨiɑ453	kiɑ53	ʨiɑ45	ʨiɑ55	ʨiɑ51	kiɑ55	kiɑ55	kiɑ55	kiɑ53	kia553	ʨiɑ45	tʃiɑ31	ku24	ku211	ka31	kɑ44
嫁	kiᴀ35	kiɑ35	kiɑ35	kiɑ35	kiɑ35	ʨiɑ24	kiɑ35	ʨiɑ13	ʨiɑ24	ʨiɑ24	kiɑ24	kiɑ35	kiɑ24	kiɑ24	kia224	ʨiɑ13	kɑ45	ku33	ku33	ka51	kɑ503
牙	iᴀ31	iɑ31	iɑ21	iɑ31	iɑ31	iɑ31	iɑ31	iɑ31	iɑ31	iɑ31	iɑ21	iɑ31	iɑ31	iɑ31	ia22	iɑ31	ŋɑ213	ŋ22	ŋu42	ŋa12	ŋɑ231
虾	ɕiᴀ44	xɑ44	ɕiɑ44	xɑ44	xiɑ44	ɕiɑ33	ɕiɑ44	ɕiɑ33	ɕiɑ44	ɕiɑ31	ɕiɑ33	ɕiɑ44	ɕiɑ33	ɕiɑ33	ɕia44	ɕiɑ44	xɑ33	fu55	fu52	ha12	hɑ51
下(方位)	ɕiᴀ35	xiɑ35	xiɑ35	xiɑ35	xiɑ35	ɕiɑ24	ɕiɑ35	ɕiɑ13	ɕiɑ24	ɕiɑ24	iɑ24	ɕiɑ35	ɕiɑ24	ɕiɑ24	ɕia224	ɕiɑ13	xɑ31	fu42	fu33	ha24	iɑ231
夏(春～)	ɕiᴀ35	xiɑ35	ɕiɑ35	xiɑ35	xiɑ35	ɕiɑ24	ɕiɑ35	ɕiɑ13	ɕiɑ24	ɕiɑ24	ɕiɑ24	ɕiɑ35	ɕiɑ24	ɕiɑ24	ɕia224	ɕiɑ13	ʃiɑ45	fu35	fu45	ha24	ɦɑ203
哑	iᴀ53	iɑ53	iɑ51	iɑ53	iɑ553	iɑ453	iɑ53	iɑ45	iɑ55	iɑ51	iɑ55	iɑ55	iɑ55	iɑ53	ia553	iɑ45	ŋɑ31	u35	ia52	a31	ɑ44
姐	tɕie53	tɕie53	tɕie51	tɕie53	tɕiɛ553	tɕie453	tɕie53	tɕie45	tɕie55	tɕiɛ51	tɕiɛ55	tɕiɛ55	tɕie55	tɕie53	tɕie553	tɕie45	tʃiɑ31	tʃie52	tsɑ211	tʃia31	ti44
借	tɕie35	tɕie35	tɕie35	tɕie35	tɕiɛ35	tɕie24	tɕie35	tɕie13	tɕie24	tɕiɛ24	tɕiɛ24	tɕiɛ35	tɕie24	tɕie24	tɕie224	tɕie13	tʃiɑ45	tsu33	tsiu33	tʃia51	tiɛ503
写	ɕie53	ɕie53	ɕie51	ɕie53	ɕiɛ553	ɕie453	ɕie53	ɕie45	ɕie55	ɕiɛ51	ɕiɛ55	ɕiɛ55	ɕie55	ɕie53	ɕie553	ɕie45	ʃiɑ31	su24	ʃio112	sia31	siɛ44
斜	tɕʰie35	ɕie213	tɕʰie35	ɕie35	tɕʰiɛ35	tɕie31	ɕie31	tɕʰie13	tɕʰie24	ɕiɛ31	ɕiɛ21	ɕiɛ31	ɕie31	ɕie31	ɕie224	ɕie31	tʃʰiɑ14	tʃʰu22	tʃʰu22	sia12	tʰiɛ503
谢	ɕie35	ɕie35	ɕie35	ɕie35	ɕiɛ35	ɕie24	ɕie35	ɕie13	ɕie24	ɕiɛ24	ɕiɛ24	ɕiɛ35	ɕie24	ɕie24	ɕie224	ɕie13	ʃie45	ʃi35	tsiu45	tʃʰia51	siɛ203
车(~辆)	tɕʰie44	tɕʰie44	tɕʰie44	tɕʰie44	tɕʰiɛ44	tɕʰie33	tɕʰie44	tɕʰie33	tɕʰie44	tɕʰiɛ33	tsʰə33	tɕʰiɛ44	tsʰɤ33	tɕʰie33	tɕʰie44	tɕʰie44	tʃʰyɑ33	tʃʰu52	tʰu42	tʃʰa24	tʃʰiɛ51
蛇	ɕie31	ɕie31	ɕie21	ɕie31	ɕiɛ31	ɕie31	ɕie31	ɕie31	ɕie31	ɕiɛ31	ɕiɛ21	ɕiɛ31	ɕie31	ɕie31	ɕie21	ɕie31	ʃyɑ213	su22	ʃu31	ʃa12	siɛ231
谢	ɕie35	ɕie35	ɕie35	ɕie35	ɕiɛ35	ɕie24	ɕie35	ɕie13	ɕie24	ɕiɛ24	ɕiɛ24	ɕiɛ35	ɕie24	ɕie24	ɕie224	ɕie13	ʃie45	su35	ʃu45	sia51	siɛ203
爷	ie31	ie31	ie44	ie31	iɛ31	ie31	ie31	ie31	ie31	iɛ31	iɛ21	iɛ31	ie31	ie31	ie22	ie31	iɑ213	ie22	iu31	ia12	iɛ51
野	ie53	ie53	ie51	ie53	iɛ553	ie453	ie53	ie45	ie55	iɛ51	iɛ55	iɛ55	ie55	ie53	ie553	ie45	iɑ31	iu42	iu33	ia24	iɛ231
夜	ie35	ie35	ie35	ie35	iɛ35	ie24	ie35	ie13	ie24	iɛ24	iɛ24	iɛ35	ie24	ie24	ie224	ie13	iɑ33	iu35	iu241	ia51	iɛ203
瓜	kua44	kuɑ44	kuɑ44	kuɑ44	kuɑ44	kuɑ33	kuɑ44	kuɑ33	kuɑ44	kuɑ33	kuɑ33	kuɑ44	kuɑ33	kuɑ33	kua44	kuɑ44	kuɑ33	ku52	ku52	ka24	kuɑ51
瓦(名)	ua53	uɑ53	uɑ51	uɑ53	uɑ553	uɑ453	uɑ53	uɑ45	uɑ55	uɑ51	uɑ55	uɑ55	uɑ55	uɑ53	ua553	uɑ45	uɑ31	ŋ42	mu33	ŋa31	ŋɑ231
花	xua44	xuɑ44	fɑ44	fɑ44	xuɑ44	fɑ33	xuɑ44	fɑ33	xuɑ44	fuɑ33	xuɑ33	fɑ44	xuɑ33	xuɑ33	xua44	xuɑ44	fɑ33	fu52	fu52	fa24	fɑ51
化	xua35	fɑ35	fɑ35	fɑ35	xuɑ35	fɑ24	xuɑ35	fɑ13	xuɑ24	fuɑ24	xuɑ24	fɑ35	xuɑ24	xuɑ24	xua224	xuɑ13	fɑ45	fu35	fu45	fa51	fɑ51
华(中～)	xua35	fɑ31	fɑ21	fɑ213	xuɑ31	fɑ31	xuɑ31	fɑ31	fɑ24	fuɑ31	xuɑ21	fɑ31	xuɑ31	xuɑ31	xua22	xuɑ31	xuɑ213	fa22	fa112	fa12	vɑ231
谱(家～)	pʰu53	pʰu53	pu51	pʰu53	pʰu553	pʰu453	pʰu53	pʰu45	pʰu55	pʰu51	pʰu55	pʰu55	pʰu55	pʰu53	pʰu553	pʰu45	pʰu31	pʰu52	pʰu211	pʰu31	pʰu44
布	pu35	pu35	pu35	pu35	pu35	pu24	pu35	pu13	pu24	pu24	pu24	pu35	pu24	pu24	pu224	pu13	pu45	pɑu33	pu33	pu51	pu503
铺(动)	pʰu44	pʰu44	pʰu44	pʰu44	pʰu35	pʰu33	pʰu44	pʰu33	pʰu44	pʰu33	pʰu33	pʰu44	pʰu33	pʰu33	pʰu44	pʰu44	pʰu33	pʰɑu33	pʰu33	pʰu31	pʰu44
簿	pu35	pu35	pu35	pu35	pu35	pu24	pu35	pu13	pu24	pu24	pu24	pu35	pu24	pu24	pu224	pu13	pu14	pu35	pʰu33	pʰu24	pu231
步	pu35	pu35	pu35	pu35	pu35	pu24	pu35	pu13	pu24	pu24	pu24	pu35	pu24	pu24	pu224	pu13	pu14	pɤ35	pu241	pʰu51	pu203
赌	tu53	tu53	tu51	tu53	tu553	tu453	tu53	tu45	tu55	tu51	tu55	tu55	tu55	tu53	tu553	tu45	tu31	ɗɑu24	lɑu211	tu31	lu44
土	tʰu53	tʰu53	tʰu51	tʰu53	tʰu553	tʰu453	tʰu53	tʰu45	tʰu55	tʰu51	tʰu55	tʰu55	tʰu55	tʰu53	tʰu553	tʰu45	tʰu31	tʰɑu24	tʰɑu211	tʰu31	tʰu44
图	tu31	tu31	tu21	tu31	tu31	tʰu31	tʰu31	tʰu31	tʰu31	tʰu31	tʰu21	tʰu31	tʰu31	tʰu31	tʰu22	tʰu31	tu213	tʰu22	tɑu31	tʰu12	tu231
杜	tu35	tu35	tu35	tu35	tu35	tu24	tu35	tu13	tu24	tu24	tu24	tu35	tu24	tu24	tu224	tu13	tu45	ɗɑu35	tɑu33	tʰu51	tu203
奴	nu31	nu31	nu21	nu31	nu31	nu31	nu31	nu31	nu31	lu31	nu21	nu31	nu31	nu31	nu22	lu31	ndu213	nɑu22	nɑu42	nu12	nu231
路	lu35	lu35	lu35	lu35	lu35	lu24	lu35	lu13	lu24	lu24	lu24	lu35	lu24	lu24	lu224	ndu13	ndu33	lɑu35	lɑu45	lu51	lu203
租	tsu44	tsu44	tsu44	tsu44	tsu44	tsu33	tsu44	tsu33	tsu44	tsu33	tsu33	tsu44	tsu33	tsu33	tsu44	tsu44	tsu33	tsɑu52	tsɑu42	tʃu24	tu51
做	tsuo35	tsɵu35	tsu35	tsuo35	tsɔ35	tsuo24	tsuo35	tsuo13	tsuo24	tsuo24	tsuo24	tsuo35	tso24	tsuo24	tsuo224	tso13	tsu45	tsu35	tsɤɯ33	tʃɔ51	tu503
错(对~)	tsʰuo35	tsʰuo35	tsʰuo35	tsʰuo35	tsʰuo35	tsʰuo24	tsʰuo35	tsʰuo13	tsʰuo24	tsʰuo24	tsʰuo24	tsʰuo35	tsʰo24	tsʰuo24	tsʰuo224	tsʰo13	tsʰuo14	tsʰɤ33	tsʰɤɯ24	tʃʰɔ51	tʰiɑ503
箍(～桶)	ku44	ku44	ku44	ku44	ku44	ku33	ku44	ku33	ku44	ku33	ku33	ku44	ku33	ku33	ku44	ku44	ku33	kʰu33	lɑu52	kʰu24	ku44
古	ku53	ku53	ku51	ku53	ku553	ku453	ku53	ku45	ku55	ku51	ku55	ku55	ku55	ku53	ku553	ku45	ku31	kɑu24	kɑu112	ku31	ku44
苦	kʰu53	kʰu53	kʰu51	kʰu53	kʰu553	kʰu453	kʰu53	kʰu45	kʰu55	fu51	kʰu55	kʰu55	kʰu55	kʰu53	kʰu553	kʰu45	kʰu31	kʰɑu24/hɑu24	hɑu112	kʰu31	fu44
裤	kʰu35	kʰu35	kʰu35	kʰu35	kʰu35	kʰu24	kʰu35	kʰu13	kʰu24	kʰu24	kʰu24	kʰu35	kʰu24	kʰu24	kʰu224	kʰu13	kʰu14	hɑu33	hɑu33	fu51	fu503
吴	u31	u31	u21	u31	u31	u31	u31	u31	u31	u31	u21	u31	u31	u31	u22	u31	u213	u22	ŋɑu42	ŋ12	u231
五	u53	u53	u51	u53	u553	u453	u53	u45	u55	u51	u55	u55	u55	u53	u553	u45	u31	ŋɑu42	ŋɑu33	ŋ31	ŋu24
虎	fu53	fu53	fu51	fu53	fu553	fu453	xu53	fu45	fu55	fu51	xu55	fu55	xu55	fu53	fu553	fu45	ɸu31	hɑu24	hɑu211	fu31	fu44
壶	fu31	fu35	fu21	fu31	fu31	fu31	fu31	fu31	fu31	fu31	xu21	fu31	xu31	fu31	fu224	fu31	ɸu213	hɑu22	hɑu42	fu12	vu231
户	fu35	xu35	fu35	fu35	fu35	fu24	fu35	fu13	fu24	fu24	xu24	fu35	xu24	fu24	fu224	fu13	ɸu14	fu35	hɑu33	fu51	vu231
乌	u44	u44	u44	u44	u44	u33	u44	u33	u44	u33	u33	u44	u33	u33	u44	u44	u33	ɑu52	ɑu52	vu24	vu44
女	ny53	ŋy53	ȵy51	ȵy53	ȵy553	ȵy453	ny53	nyɪ45	ny55	ny51	ȵy55	ȵy55	ny55	ny53	ny553	ndy45	ȵy31	ȵi52	ŋɑ33	ni31	ny231
吕	ly53	ly53	ly51	ly53	ly553	ly453	ly53	lyɪ45	ly55	ly51	ly55	ly55	ly55	ly53	ly553	lui45	ndy31	ny52	lɑ33	ly24	ly231
徐	tɕy31	tɕʰy31	tɕy21	ɕy31	tɕy31	tɕy31	tɕʰy31	tɕʰyɪ31	tɕʰy31	tɕʰy31	tɕʰy21	tɕʰy31	tɕʰy31	tɕʰy31	ɕy22	tɕʰy31	ʃy213	tʃʰy22	tʃiɑ31	tʃʰi12	sy231
猪	tɕy44	tɕy44	tɕy44	tɕy44	tɕy44	ʨy33	tsu44	tɕyɪ33	tɕy44	tɕy33	tɕy33	tɕy44	tɕy33	tsu33	tɕy44	tɕy44	tʃy33	ɗi52	liɑ52	tʃu24	tʃy51
除	tɕy31	tɕʰy31	tɕy21	ɕy31	tɕy31	tɕʰy31	tɕʰy31	tɕʰyɪ31	tɕʰy31	tɕʰy31	tɕʰy21	tsʰu31	tɕʰy31	tɕʰy31	tɕʰy22	tsʰu31	ʃy213	tʃʰy22	tʃiɑ31	tʃʰu12	ʃy231
初	tsʰu44	tsʰu44	tsʰu44	tsʰu44	tsʰu44	tsʰu33	tsʰu44	tsʰu33	tsʰu44	tsʰu33	tsʰu33	tsʰu44	tsʰu33	tsʰu33	tsʰu44	tsʰu44	tsʰu33	tsʰɑu52	tsʰɑu52	tʃʰɔ24	tʃʰyø51
锄	tsu31	tsu31	tsu21	tsʰu31	tsu31	tsʰu31	tsʰu31	tsʰu31	tsu31	tsʰu31	tsʰu21	tsʰu31	tsʰu31	tsʰu31	tsʰu22	tsʰu31	su213	tsɑu22	tsɑu31	tʃʰɔ12	ʃyø231
所	suo53	suo53	suo51	suo53	suo553	suo453	suo53	suo45	suo55	suo51	suo55	suo55	so55	suo53	suo553	so45	suo31	su52	sɤɯ211	sɔ31	syø44
书	ɕy44	ɕy44	ɕy44	ɕy44	ɕy44	ɕy33	ɕy44	ɕyɪ33	ɕy44	ɕy33	ɕy33	ɕy44	ɕy33	ɕy33	ɕy44	ɕy44	ʃy33	ʃi52	ʃiɑ52	ʃu24	ʃy51
鼠	ɕy53	ɕy53	ɕy51	ɕy53	ɕy553	ɕy453	ɕy53	ɕyɪ45	ɕy55	ɕy51	ɕy55	ɕy55	ɕy55	ɕy53	ɕy553	ɕy45	ʃy45	ʃi24	ʃiɑ211	ʃu31	ʃy44
如	y31	y31	y21	y31	y31	y31	y31	yɪ31	ju31	y31	y21	ju31	y31	y31	y22	ju31	y213	y22	ŋɑu42	iu12	y231
举	ky53	ky53	ky51	ky53	ky553	tɕy453	ky53	tɕyɪ45	tɕy55	tɕy51	ky55	tɕy55	ky55	tɕy53	ky553	tɕy45	tʃy31		tʃy211	ki31	ky44
锯(名)	ky35	ky35	ky35	ky35	ky35	ʨy24	ky35	tɕyɪ13	tɕy24	tɕy24	ky24	tɕy35	ky24	ʨy24	ky224	tɕy13	tʃy45	ki33	sɑ52	ki51	ky503
去	kʰɤ35/kʰy35	kʰɤ35	kʰɤ35	kʰy35	kʰɤɐ35	kʰy24	kʰy35	kʰə13/tɕʰyɪ13	tɕʰy24	tɕy24	kʰə24	kʰy35	kʰɤ24	ʨʰy24	kʰy224	kʰɤ13	tʃʰʅ14/kʰy35	hɑu33	hɑu33//kʰy35	ʃi51	hy503
渠(~道)	ky35	ky213	ky35	ky213	ky35	ʨy24	ky35	tɕyɪ31	tɕʰy31	tɕy31	kʰy21	tɕʰy31	kʰy24	ʨy31	ky213	tɕʰy31	ʃy213	tʃy22	tʃy33	kʰyt2	ky231
鱼	y31	y31	y21	y31	y31	y31	y31	yɪ31	y31	y31	y21	y31	y31	y31	y22	y31	y213	ŋɑu22	ŋɑu31	ŋ12	ɲy231
许	ɕy53	xy53	ɕy51	xy53	xy553	ɕy453	ɕy53	ɕyɪ45	ɕy55	ɕy51	ɕy55	ɕy55	ɕy55	ɕy53	ɕy553	ɕy45	ʃy31	ʃy52	ʃiɑ31	ʃy31	ʃy231
余(剩~，多~)	y31	y31	y21	y31	y31	y31	y31	yɪ31	y31	y31	y21	y31	y31	y31	y22	y31	y213	ʃi35	i42	i12	y231
府	fu53	fu53	fu51	fu53	fu553	fu453	fu53	fu45	fu55	fu51	xu55	fu55	xu55	fu53	fu553	fu45	ɸu31	fu52	fu24	fu51	fu44
付	fu35	fu35	fu35	fu35	fu35	fu24	fu35	fu13	fu24	fu24	xu24	fu35	xu24	fu24	fu224	fu13	ɸu45	fu35	fu33	fu51	fu503
父	fu35	fu35	fu35	fu35	fu35	fu24	fu35	fu13	fu24	fu24	xu24	fu35	xu24	fu24	fu224	fu13	ɸu45	fu35	fu24	fu51	fu503
武	u53	u53	u51	u53	u553	u453	u53	u45	u55	u51	u55	u55	u55	u53	u553	u45	u31	u52	u33	vu24	mu24
雾	u35	u35	u35	u35	u35	u24	u35	u13	u24	u24	u24	u35	u24	u24	u224	u13	u14	u35	u45	vu51	vu503
取	tɕʰy53	tɕʰy53	tɕʰy51	tɕʰy53	tɕʰy553	tɕʰy453	tɕʰy53	tɕʰyɪ45	tɕʰy55	tɕʰy51	tɕʰy55	tɕʰy55	tɕʰy55	tɕʰy53	tɕʰy553	tɕʰy45	tʃʰy31	tʃʰy24	tʃʰy112	tʃʰi31	tʃʰy44
柱	tɕy35	tɕy35	tɕy35	tɕy35	tɕy35	tɕy24	tɕy35	tɕyɪ13	tsu24	tɕy24	tɕy24	tɕy35	tɕy24	tɕy24	tɕy224	tɕy13	ʃy14	tsi42	tʃiɑ33	tʃʰu24	ʃy231
住	tɕy35	tɕy35	tɕy35	tɕy35	tɕy35	tɕy24	tɕy35	tɕyɪ13	tɕy24	tɕy24	tɕy24	tɕy35	tɕy24	tɕy24	tɕy224	tɕy13	ʃy14	tsi35	tʃiɑ45	tʃʰu51	ʃy203
数(动词)	su53	su53	su51	su53	su553	su453	su53	su45	su55	su51	su55	su55	su55	su53	su553	su45	su45	sɑu24	sɑu211	su51	ʃy44
数(名词)	su35	su35	su35/ɕy35	su35	su35	su24	su35	su13	su24	su24	su24	su35	su24	su24	su224	su13	su45	sɑu33	sɑu33	su51	ʃy503
主	tɕy53	tɕy53	tɕy51	tɕy53	tɕy553	tɕy453	tɕy53	tɕyɪ45	tɕy55	tɕy51	tɕy55	tɕy55	tɕy55	tɕy53	tɕy553	tɕy45	tʃy31	tʃi24	ȶɑ211	tʃu31	tʃy44
输	ɕy44	ɕy44	ɕy44	ɕy44	ɕy44	ɕy33	ɕy44	ɕyɪ33	ɕy44	ɕy33	ɕy33	ɕy44	ɕy33	ɕy33	ɕy44	ɕy44	ʃy33	hi52	ʃiɑ52	ʃu24	ʃy51
竖	ɕy35	ɕy35	ɕy35	ɕy35	ɕy35	ɕy24	su35	ɕyɪ13	ɕy24	ɕy24	ɕy24	ɕy35	ɕy24	ɕy24	ɕy224	ɕy13	su45	ʃi33	ʃiɑ33	ʃu51	ʃy231
树	ɕy35	ɕy35	ɕy35	ɕy35	ɕy35	ɕy24	ɕy35	ɕyɪ13	ɕy24	ɕy24	ɕy24	ɕy35	ɕy24	ɕy24	ɕy224	ɕy13	ʃy14	ʃi35	ʃiɑ45	ʃu51	ʃy503
句	ky35	ky35	ky35	ky35	ky35	ʨy24	ky35	ʨyɪ13	tɕy24	ʨy24	ky24	ky35	ky24	ʨy24	ky224	tɕy13	tʃy45	ki33	ȶɑ33	ki51	ky503
