	注释：-白读，=文读
∅	[3]□{差，不好}椰耶
#iɛu	
p	[1]标膘镖彪□{跑}[3]表裱婊
pʰ	[1]飘漂缥[2]瓢嫖[5]票鳔
m	[2]锚猫苗描瞄[3]渺秒杳藐=[6]庙妙
t	[1]刁貂雕凋碉[3]鸟{交合}屌{交合}[5]钓吊
tʰ	[1]挑[2]跳条调{～和}[5]粜[6]掉调{音～，～动}
n	[3]鸟{小～}[6]尿
l	[1]撩-[2]聊撩=瞭燎疗辽寥[3]了[6]廖{姓}料□{玩耍}
ts	[1]焦蕉昭招朝{今～}椒[3]剿沼[5]照诏醮{打～}[6]□{～眼，眼痛，视力不佳}
tsʰ	[1]锹缲超钊[2]朝{～代}潮[3]俏诮[6]赵兆召噍{嚼}
s	[1]消宵霄硝销逍萧箫烧[2]韶[3]小少{多～}[5]笑少{～年}[6]绍邵肇□{料～，本事}
k	[1]骄娇[3]缴矫[5]叫
kʰ	[1]荞[2]乔侨桥[3]巧[5]窍[6]轿
ȵ	[1]□{弱小}[2]饶桡尧浇[3]绕扰[5]要{想～，重～}
h	[1]嚣侥枭[3]晓[5]翘
∅	[1]妖邀腰要{～求}幺{～二三}吆{～喝}[2]摇谣窑遥瑶姚[3]舀[6]耀鹞{～鹰}
#iɛm	
t	[1]掂[3]点[5]店踮
tʰ	[1]添[2]甜[6]掂{妥}
n	[1]拈粘[2]鲇严阎[5]染[6]念
l	[2]廉镰帘[5]□{舔}[6]敛殓
ts	[1]尖沾瞻[3]蘸[5]占
tsʰ	[1]签歼迁[2]潜[6]渐暂
s	[2]禅蝉蟾{～酥}[3]陕{～西}闪
k	[1]兼[3]检捡[5]剑
kʰ	[2]钳[6]俭
ȵ	[5]俨[6]验
h	[1]谦[2]嫌[3]险[5]欠歉{～收}
∅	[1]淹阉[2]盐炎檐[3]奄掩[5]厌[6]艳焰
#iɛn	
p	[1]边辫鞭[3]蝙扁贬[5]变
pʰ	[1]编篇偏[2]便{～宜}[3]匾[5]遍骗汴片[6]辨辩便{方～}
m	[2]绵棉眠[3]缅湎[5]勉免娩[6]面
t	[1]颠巅癫[3]典腆碘[5]垫
tʰ	[1]天[2]田填[6]电殿奠佃
n	[2]年[3]撚{以指撚碎}[6]□{乳房}
l	[1]□{搬}[2]怜莲连联[3]脸[6]练炼楝
ts	[1]煎笺毡[3]剪振展碾[5]饯践溅荐箭战颤
tsʰ	[1]千纤[2]钱前缠=[3]浅[6]贱缠-
s	[1]仙鲜{新～}先[3]鲜{～少}癣冼[5]线扇[6]善膳鳝单{姓}
k	[1]跟根艰肩坚[5]见
kʰ	[3]恳垦[6]件
ȵ	[2]研银[6]砚彦谚
h	[1]牵掀[2]痕贤[3]遣谴显很{2}[6]现苋{～菜}恨
∅	[1]焉嫣燕{～京}[2]延筵涎然燃[5]演堰燕嚥宴
#iɛp	
t	[7]贴{1}
tʰ	[7]贴{2}帖[8]叠碟蝶牒谍
n	[7]聂锻蹑摄[8]孽捏
l	[7]□{裂缝}[8]猎
ts	[7]接褶
tsʰ	[7]妾窃[8]捷
s	[7]𤗈{塞入}[8]涉
k	[7]劫
kʰ	[8]箧
ȵ	[8]业
h	[7]歉{道～}怯[8]挟狭峡协
∅	[7]腌[8]叶页
#iɛt	
p	[7]鳖憋屄{tsi33～，女阴}
pʰ	[7]撇瞥[8]别
m	[7]□{～屑，吝啬}[8]灭蔑
t	[7]跌
tʰ	[7]铁
l	[8]列烈裂趔
ts	[7]节折浙哲蛰
tsʰ	[7]切砌彻撤辙澈□{疼爱}[8]截侄
s	[7]屑设虱瑟薛泄[8]舌蚀-
k	[7]结洁□{嘴～～，能说会道}
kʰ	[7]揭咳[8]杰
ȵ	[8]热
h	[7]歇
#yɛ	
l	[2]骡螺{田～}脶{手指纹}
s	[1]衰[5]税帅□{舔}[6]睡
kʰ	[2]瘸{～脚}茄[6]□{累，疲倦}
ȵ	[1]捼{揉搓}[3]□{酸痛，～手酸}
h	[1]靴
∅	[3]□{有～，有伴}[6]锐睿芮
#yɛn	
l	[2]联{缝，补}[3]□{弯曲，刀～口}[6]恋
ts	[1]专砖[3]转
tsʰ	[1]川穿[2]传{～达}全泉[3]喘窜篡[5]串[6]传{～记}
s	[1]宣喧渲萱[2]旋漩璇船[3]选[6]羡篆
k	[1]捐娟绢[3]卷[5]建眷
kʰ	[2]拳权颧乾虔[3]犬[6]键健腱倦
ȵ	[2]言元{～旦}[3]阮[5]软[6]愿
h	[1]圈轩掀{1}[2]玄眩弦悬[5]宪献劝
∅	[1]渊冤[2]圆员沿铅缘椽袁辕援园元{～角分}[3]院苑宛[5]远怨[6]县
#yɛt	
t	[7]缀掇
l	[7]捋{～袖}[8]劣
ts	[7]拙倔{牌气～}
tsʰ	[7]撮{一～米}[8]绝
s	[7]雪说
k	[7]决诀
kʰ	[7]缺鳜{～鱼}厥
ȵ	[8]月
h	[7]血[8]穴
∅	[7]乙[8]悦阅越粤曰拽
#ən	
p	[1]兵槟冰[3]丙=炳秉[5]姘迸并
pʰ	[2]平评坪=苹屏频凭=[5]聘拼[6]病=
m	[2]名=铭=鸣明酩[6]命=
v	[3]泳咏[5]永[6]颖
t	[1]丁汀叮酊[3]顶鼎[5]订=
tʰ	[2]亭停廷庭蜓{蜻～}[3]挺[5]听=[6]定锭
n	[2]宁叮{～嘱}[3]拧[6]佞吝{～啬}
l	[2]陵凌菱零=龄灵=玲铃=羚伶=拎=翎=[5]领=[6]另=令
ts	[1]征蒸精晶[3]拯整[5]正政证症
tsʰ	[1]清称{～呼}[2]呈程澄=惩情[3]逞{～能}请=[5]称{相～，称重量}秤[6]静靖净=
s	[1]升胜{～任}星=惺腥=猩声=[2]承丞绳乘成=诚=[3]省{反～}醒=[5]性=姓=圣胜{～败}[6]剩盛
z	[2]营莹萤荥荣盈赢=蝇迎[3]影=
k	[1]京荆惊=经[3]景警[5]劲竞境竟敬
kʰ	[1]倾轻=[2]琼鲸凝[3]顷
ȵ	[2]仍[6]认
h	[1]兴{～旺}卿兄馨[2]形型刑邢[3]兴{高兴}[5]庆磬{钟～}兴{高～}衅{挑～}
∅	[1]应{～当}鹰婴缨鹦{～鹉}樱{～桃}英[5]应{～对，响～}
#əŋ	
p	[5]捧
pʰ	[1]碰-[2]篷蓬缝{～衣}[5]碰=
m	[2]蒙朦[3]懵檬[6]梦
t	[1]冬东[3]董懂[6]□{捅}
tʰ	[1]通[2]同铜桐筒童瞳[3]统桶捅[5]痛{疼}[6]洞动
n	[1]燶{饭焦}[2]脓-[3]□{～屎，使劲大便}
l	[1]窿[2]龙笼隆[5]拢陇垄[6]弄
ts	[1]宗棕鬃综中{当～}忠终钟盅舂{～米}[3]总种{～类}肿宠-[5]中{射～}仲种{～树}粽众纵[6]□{～落去，碰上去}
tsʰ	[1]充冲聪匆葱囱[2]从丛松{～树}锃重{～复}虫[3]宠=冢[5]重{轻～}[6]重{注～}撞=诵颂讼□{更}
s	[1]双嵩鬆{放～}从{～容}[2]崇□{～头耷脑，无精打采}[3]怂{～恿}耸[5]送宋
z	[2]容蓉溶熊融庸[6]用
k	[1]公蚣{蜈～}工功攻弓躬宫供恭龚[3]拱巩□{这样}[5]贡[6]□{～起来，冒起来，突出来}
kʰ	[2]穷[3]孔恐□{翘起屁股}[6]共
ȵ	[2]戎绒茸浓农侬脓=[3]甬勇涌冗□{水流缓慢}
h	[2]红虹鸿洪冯逢雄缝{裁～}[3]哄讽[5]控□{闻，嗅}[6]凤奉俸
∅	[1]雍壅{～肥}翁[3]拥[5]瓮
#ət	
p	[7]逼碧璧迫
pʰ	[7]辟僻癖
t	[7]嫡滴=的[8]滴-
tʰ	[7]迪惕剔[8]敌狄
n	[7]□{拿}[8]匿溺
l	[8]力历栗
ts	[7]绩积织职脊即鲫=迹
tsʰ	[7]斥寂戚[8]直值植殖席{主～}夕藉籍
s	[7]悉饬息熄媳式饰识昔惜析晰适释锡{人名}[8]食蚀=
z	[7]益域液腋[8]疫役逸翼亦译易{交～}佚轶
k	[7]戟虢{虞～}击激檄
kʰ	[8]极
ȵ	[7]抑[8]逆=
∅	[7]忆亿
#ək	
p	[7]卜[8]□{疙瘩}
pʰ	[8]仆
m	[7]□{水肿状}[8]木目穆牧睦
t	[7]督笃□{尾～，尾巴}[8]□{扎，刺}
tʰ	[7]秃[8]毒独读
l	[7]□{柚子}□{一～蔗，一根甘蔗}[8]录绿禄鹿六陆熝{～白菜，开水烫白菜}
ts	[7]捉竹筑粥足祝嘱烛镯
tsʰ	[7]束触促畜{～牧}蓄{储～}速[8]浊俗逐牍续族簇轴
s	[7]粟叔淑缩宿夙{～愿}肃[8]属蜀赎熟塾
z	[7]郁育煜[8]辱狱欲浴
k	[7]谷菊[8]□{想}□{拱起}
kʰ	[7]麯{酒～}曲[8]酷局焗
ȵ	[7]□{动}[8]玉肉褥
h	[7]辐福幅蝠{蝙～}复腹馥哭[8]服伏复{～兴}斛{十升为一～}
∅	[7]屋{一～}[8]□{打～，打嗝}
#i	
p	[1]悲卑碑脾{肝～}蓖{～麻}[3]畀俾髀比匕彼[5]臂婢庇痹{麻～}辔背{～东西}秘泌
pʰ	[1]披胚[2]皮疲脾{～气}琵{～琶}枇{～杷}[3]丕鄙疕{柴～，柴皮}[5]被{～子}屁譬{～喻}[6]被{～打}避篦备鼻{鼻子；鼻涕}
m	[1]眯[2]微眉媚靡[5]尾美[6]未味沕{～水，潜水}
f	[1]非飞妃[2]肥匪翡{～翠}
t	[1]知[5]蒂[6]□{好～～，好端端}
n	[2]尼{孔仲～}妮呢[3]□{你们}[5]尔你[6]腻
l	[2]离篱璃{玻～}梨狸厘[3]李裏{～面}[5]里{公～}理鲤浬[6]利痢吏
ts	[1]之芝脂蜘{～蛛}支枝肢栀{～子花}膣{～屄，女阴}[3]姊止趾址旨指纸只{～有}[5]至智置志痣蛰雉[6]□{～～条，漏气或漏水的样子或响声}
tsʰ	[1]痴嗤{～笑}[2]脐匙{汤～}瓷辞词祠慈磁迟池驰持[3]始耻侈矢齿[5]刺次似翅豕稚俟厕[6]自-字牸{牛～，母牛}祀寺嗣饲伺治痔侍恃
s	[1]司丝思私斯-撕-尸诗施[2]时鲥匙{钥～}[3]死屎[5]四肆市嗜试誓逝[6]□{牙～～，形容呲牙咧嘴}视是氏
k	[1]幾{～乎}几{茶～}讥饥机肌基[3]杞己纪幾{～个}[5]既记寄
kʰ	[2]祈其棋旗期祁鳍奇骑岐[5]徛{站立}企冀骥[6]忌技妓
ȵ	[2]倪儿谊宜仪而疑[3]蚁耳饵[5]议拟[6]义二
h	[1]嬉熙欺希稀奚兮牺[3]岂喜起[5]气汽戏器弃
∅	[2]移夷姨饴{高梁～}怡颐[5]已以[6]易{容～}异肄{～业}
ʔ	[1]衣依医伊[3]倚椅[5]意
#iu	
t	[1]丢
n	[3]扭
l	[1]溜[2]留馏榴{石～}硫{～磺}琉{～璃}流刘[5]柳
ts	[1]周舟州洲[3]酒肘帚□{～住，抓住}[5]昼咒
tsʰ	[1]揪秋抽[2]囚泅凋稠筹酬售[3]丑[5]臭嗅兽[6]就袖宙纣
s	[1]修羞收[2]仇[3]手首守□{抽}[5]秀绣锈{铁～}[6]受寿授绶
k	[1]纠{2}赳[3]九久韭[5]灸救究疚咎
kʰ	[2]求球仇{姓}[5]舅臼[6]旧柩
h	[1]休丘[3]朽
∅	[2]柔揉悠尤犹邮由油游釉[3]诱酉[5]有友[6]幼又右祐
ʔ	[1]优忧幽
#im	
n	[5]冉芮{姓}□{～住，忍住}
l	[2]林淋琳霖临
ts	[1]针斟[3]枕[5]浸□{蜇}
tsʰ	[1]侵[2]寻沉[3]寝
s	[1]心深[3]沁沈审婶[6]慎肾甚葚{桑～}
k	[1]金今=[3]锦[5]禁
kʰ	[1]襟[2]岑琴禽擒噙[5]妗[6]揿{用手或手指头按；压}
ȵ	[2]吟壬任{姓}妊[6]任{责～}赁{租～}
h	[1]掀{2}欣钦[3]□{用石头砸人}
∅	[2]淫
ʔ	[1]音阴荫{～影}喑愔[3]饮{～汤；米汤}[5]荫{福～}
#in	
p	[1]彬宾槟{～榔}滨缤斌[3]禀□{挣扎}[5]殡鬓
pʰ	[1]□{小飞虫}[2]贫[3]品
m	[2]民[3]吻刎皿[5]悯敏抿闽
v	[2]晕[6]□{甩}
l	[2]邻鳞燐[3]膦{男生殖器}
ts	[1]津珍真榛臻贞侦[3]诊疹镇{～压}[5]进晋震
tsʰ	[1]亲[2]秦陈尘[5]衬趁[6]尽阵
s	[1]辛新薪身申伸娠[2]神辰晨臣[5]迅讯信
k	[1]巾筋今-[3]紧仅谨瑾
kʰ	[2]勤芹[5]近{接近}肾{鸡～，鸡胗}[6]近{最近}
ȵ	[2]人仁[3]忍
∅	[2]寅[5]引[6]孕刃纫
ʔ	[2]□{～ɔŋ22，牛蛙}[1]因姻[3]隐[5]印
#ip	
n	[7]靥{酒～}□{凹进去}
l	[7]笠粒泣莅[8]立
ts	[7]执汁
tsʰ	[7]缉{～鞋口}辑袭[8]疾习集
s	[7]湿[8]十拾什{2，～物}
k	[7]急给{供～}
kʰ	[7]吸级[8]及
h	[7]熻{天～，天闷}
∅	[7]揖{作～}[8]入
#it	
p	[7]笔毕必[8]□{迸，溜}
pʰ	[7]匹[8]弼
m	[7]□{掐}[8]密蜜觅
f	[7]□{甩}
ts	[7]膝-质秩
tsʰ	[7]七漆膝=
s	[7]失室
k	[7]吉桔
kʰ	[8]□{疙瘩}
ȵ	[7]日
h	[7]乞讫吃
ʔ	[7]一
#ɔ	
p	[1]波菠{～菜}玻{～璃}坡簸[5]播[6]□{lɔ31～，臃肿}
pʰ	[1]□{一～树，一棵树}[2]婆[3]颇叵[5]破
m	[1]摸=魔摩馍[2]磨{～刀}蘑[3]摸-[6]磨{石～}
f	[1]科蝌[3]火伙[5]货
v	[1]倭窝[2]和{～气；～面}禾[6]祸和{～声，学}
t	[1]多[3]朵躲剁
tʰ	[1]拖[2]驼驮[3]妥椭[5]舵[6]唾惰
n	[2]挪娜[6]懦糯
l	[2]罗锣萝螺{田～}[3]裸[5]攞{讨}[6]□{～pɔ31，臃肿}
ts	[3]左阻[5]佐
tsʰ	[1]初搓磋[2]锄[3]楚础[5]错{～误}措{～置}坐[6]座助
s	[1]梳疏蔬蓑梭唆[2]傻[3]所锁
k	[1]哥歌戈[3]果裹[5]过个
kʰ	[1]颗棵[3]颗[5]课
ŋ	[2]蛾鹅俄讹[5]我=[6]卧饿
h	[2]河何荷[3]可[6]贺
∅	[1]屙
#ɔi	
p	[1]杯[5]贝背{～东西}簸{～箕}
pʰ	[1]坯{土～}[2]培陪赔裴[5]沛辈佩倍配[6]背{～诵}吠-
m	[1]霉-[2]霉=梅枚媒煤[5]每[6]妹昧寐
f	[1]灰恢诙[2]回茴{～香}[3]贿[5]悔晦[6]会{开～；～计}桧{秦～}桧{乔木}刽绘汇
v	[5]秽
t	[1]堆[5]兑对
tʰ	[1]推胎[2]台苔{青～}抬[3]腿[5]蜕{～皮}退褪[6]待殆代袋贷队怠
n	[6]内
l	[2]来莱[5]□{狗～，狗洞}
ts	[1]栽灾[3]宰载{年～}滓[5]再载{～重}最
