#a
p[1]包疤爸拍{~工：打工}[3]阿饱百伯把拍
ts[1]珠□{~□tsuə3：笨蛋}[3]主
tsh[5]厝
s[1]输[3]吮
k[1]躯佝{蹲}[3]久[4]舅[5]句旧
kh[1]区窠[3]韭[4]臼
g[2]牛[4]遇
h[1]灰[2]服[3]腐府[4]父霍{~元甲}[5]付富傅副妇
∅[4]有物{动~园}握=

#ai
p[2]排牌[3]摆[5]拜败
ph[5]派[3]否{坏}
b[2]埋
t[2]台
th[2]刣{宰杀}
l[2]来梨-{削~}[4]里[5]利内
ts[2]才材财脐[5]再在
tsh[5]菜
s[1]西师-[3]使屎[5]事
k[1]该[3]改=解
Kh[1]开=
h[2]颏{下~：下巴}骸[3]海[5]害
∅[1]埃=[5]爱

#au
p[1]包苞
ph[1]㯱{柚子}[5]炮泡
b[3]母
t[2]头-{~□un3：脖子}[3]抖斗[5]豆昼斗
th[1]偷[2]头[3]敨{解开}
l[2]楼流[3]老佬[4]痨[5]闹
ts[3]找走蚤[5]灶皱
tsh[1]抄糙搓-{~麻将}[3]草[5]凑臭
s[3]扫[5]嗽
k[1]交钩沟勾[2]猴[3]狗九[5]构够厚
kh[3]口[5]扣
h[3]吼呺{哭}[5]孝
∅[2]喉[5]后

#ia
p[3]壁
T[1]爹
Th[3]拆
L[2]掠
ts[1]遮[2]食-[3]脊姐-[5]蔗
tsh[3]雀拆只[5]鹊
s[3]写削锡[5]谢射泄舍
k[2]骑□{扛}[5]寄
Kh[4]徛{站}[5]□{陡}
g[2]鹅额䗁{撬开}
h[1]桸{蒲~：瓢}[4]瓦[5]蚁
∅[2]勺弱爷□{~□po2：蝴蝶}[3]也约野埃-[5]夜{老鼠~婆：蝙蝠}

#ie
p[1]憋[2]别[3]逼笔
ph[3]匹劈
b[2]灭蜜
t[1]跌[2]菊叠杰侄直[3]笛得竹
th[3]贴帖□{~迌：玩}
l[1]了[2]立列律历绿
ts[2]集[3]接折织积一-蜀烛[5]这
tsh[3]切七侧畜粟擦
s[2]习实食=席赎熟拾[3]息失设吸色式惜
dz[2]入热=日
k[2]及剧属-[3]急结吉橘极击□{疑似“居一”合音，~年：今年}
kh[2]曲[3]刻
g[2]业玉□{~水瓶：暖水瓶}
h[2]肉育[3]吸[5]翼
∅[3]一益

#iau
p[3]表=
t[2]朝-条[5]钓
th[4]柱
l[2]聊[5]料
ts[1]焦[2]朝=[3]鸟爪-
Dz[2]挠
s[1]靴箫萧潇休□{精液}[3]小=[5]数-
kh[5]翘{~躯：佝偻，驼背}
H[3]晓
∅[1]腰□{仍然}

#iəu
p[3]表-
ph[1]飘漂[2]嫖[5]票漂
b[5]庙
t[1]丢睭{目~：眼睛}[2]绸着[4]粙
th[1]抽挑
l[1]溜[2]流[3]纽柳
ts[1]州[2]石[3]借小-酒絮尿[5]照
tsh[3]手席-{~子}尺帚须[3]丑[5]树笑袖
s[1]烧修收[2]属=[3]小惜-[5]寿
k[2]茄桥球□{躲}[5]轿叫
Kh[3]□{捡}
h[2]叶[3]歇
∅[1]优腰[2]摇油药浴[3]友有=[5]要右幼

#ua
P[2]□{摔}[3]簸
ph[1]泼[5]破
b[2]磨
t[5]大-带
th[1]拖-[3]屉
l[2]辣箩
ts[2]蛇[3]纸[5]□{一趟}
tsh[2]斜[3]□{~□tshi3：闪电}[5]□{迎娶}
s[1]沙杀
z[2]热-若
k[1]歌刮[3]割[5]挂盖
kh[3]阔[5]课
h[2]华划□{跨越}[5]化
∅[2]活[3]我[5]外

#uə
p[2]佛
ts[2]绝[3]□{□tsu1~：笨蛋}
k[2]绝[3]鸽骨
h[2]罚[3]或法发
∅[2]越[3]□{淹没}

#ue
p[1]杯碑[2]拔□{暗~：青蛙}[3]八[5]贝背辈
ph[5]配
b[3]买[5]卖[5]袂{不会}
t[3]底[5]地
ts[2]截[3]节[5]做
tsh[1]初
s[1]疏[3]洗[5]碎岁=细
l[2]犁
k[1]瓜街鸡夹[2]夹
kh[1]开溪亏[5]块
h[1]花[2]茴回[4]蟹[5]会
∅[2]鞋滑狭□{臭~：失聪}[3]挖矮[5]话

#ui
p[2]肥
ph[5]屁吠
t[2]垂棰锤[5]对碓
th[1]推[2]提[3]腿[5]替
l[2]雷犁[3]蕾蕊
ts[1]追[3]水[5]醉
tsh[3]喙
s[2]随
k[1]规龟[3]拐柺鬼几[5]桂贵季柜
kh[1]亏[3]□{眨}[5]跪
h[1]灰[2]回[3]血悔[5]坏肺费蟹
g[2]危
∅[2]围[5]画卫位胃

#uai
k[5]怪
kh[5]快
h[2]怀
∅[1]歪

#ã
m[3]嫲{祖母}□{老~：妻子，原资料为“老马”}[4]骂[5]明-{~日}
t[1]担□{~方：中间}[3]胆[5]赚{错}蛋
N[1]妳{母亲，疑似瓯语借词}
s[1]三衫
k[1]更[3]囝

#ɔ̃
m[1]嬷{伯母，疑似瓯语借词}[2]毛=[3]往[5]望
n[2]奴

#ẽ
m[1]娒{小孩，瓯语借词}[2]眉
n[2]泥

#ĩ
p[1]边-[2]平[3]鳖扁-[5]柄病辫
m[2]棉暝{半~：半夜}瞑{青~：失明}[5]面
t[1]甜
th[1]天-添-
n[2]孽年捏泥拟拧□{田~：蜻蜓}[3]染耳
ts[1]睁争-[2]晴钱[3]井[5]将
tsh[1]青星-清
s[1]厢-{边~：旁边，瓯语借词}生-[5]扇姓
k[1]更耕[2]钳[3]梗哽埂[5]见
kh[1]坑
h[2]行
∅[2]圆[5]院

#ãĩ
m[1]糜{饭}[3]尾
t[5]店
ts[2]前
s[1]先
k[1]肩监间-[3]拣[5]戒
kh[1]铅[5]嵌
∅[2]闲

#ũĩ
m[2]煤梅媒
k[1]关[2]悬[5]县
h[2]横

#ãũ
m[2]毛-{~主席}□{坏，疑似瓯语借词}[5]貌
n[3]脑[5]闹
ŋ[3]藕

#iã
p[3]饼
Ph[1]□{摔碎}
m[2]名明[5]命
t[3]鼎[5]定
th[1]厅听天-[5]痛
n[3]领
ts[1]正精-{~肉：瘦肉}[3]䭕{味淡}[5]整正
s[1]声□{什么}[2]城
k[1]今惊[4]件镜
h[1]兄
∅[2]营赢[3]影

#iũ
t[1]张[3]丈[5]帐
n[2]娘[3]两扭[4]想[5]像
ts[2]洋[4]痒[5]酱浆
tsh[3]抢厂[5]唱上-{~山}
dz[5]让
s[3]响-想[5]向尚
k[1]姜[4]犟
h[1]乡香商-
∅[5]样

#iãũ
ŋ[1]猫[3]鸟

#uã
p[1]搬[2]盘[5]半
ph[5]判
m[3]满
t[1]单端[2]弹[4]懒
th[3]铲[5]炭
n[2]兰-腊-{~月}澜{口~水：口水}[3]挼{揉}[5]懒烂
s[1]山[5]伞线
k[1]干甘-肝官棺[3]赶-{~市：赶集}感敢-[4]掼{提}
kh[1]看{~牛}[5]看汗
h[1]欢番-{~茄}[5]岸
∅[3]碗[4]晚[5]换旱晏{晚}

#an
p[1]班[2]瓶板[5]扮办
b[3]挽[5]慢万□{谜语}
t[1]钉-{~婚}丹[2]陈
th[1]贪[2]潭[3]毯
l[2]难南蓝兰=淋鳞粼男[3]㑑{我们}
ts[1]针贞[5]赞劗{剁}
tsh[1]掺[2]缠[3]产[5]塍{田}
s[1]杉[3]擤㾪{瘦}
k[1]奸甘=间=[2]寒含□{~□hun3：蚯蚓}[3]敢=
kh[1]牵[2]含[5]嵌
g[2]岩银颜[3]眼
h[2]还[5]汉限
∅[1]安[2]□{紧}[5]暗按□{~pue2：青蛙}

#ən
th[1]吞
tsh[2]蚕
k[1]根筋巾[5]近
kh[2]勤芹
h[5]恨
∅[1]恩

#in
p[1]边[3]扁=
b[5]面
t[2]沉
th[2]藤□{斟酒}
l[1]啉{喝}□{扔}[2]人=林轮[5]恁{你们}
ts[3]婶[5]进震浸饺{瓯语借词，为“饺儿”合音}
tsh[1]亲深称[5]凊{凉}秤
s[1]身心参新[2]神蝇[5]剩信
dz[2]人[5]任认
k[1]金[3]紧[4]妗{舅母}
kh[1]轻[2]琴[5]困
∅[1]阴音孕[3]引隐□{他们}[5]印

#un
p[1]分[3]畚[5]粪{~扫：垃圾}
b[2]馒
t[1]墩蹲
th[1]钝[2]唇饨
l[5]闰
ts[2]船[3]准[5]俊
tsh[1]村春
s[1]孙[3]笋[5]顺匀
k[1]均军君[2]拳裙群[3]滚[5]灌
Kh[3]捆[5]困睏{睡觉}
h[1]婚熏荤番{~薯}薰[2]云魂混浑馄[3]粉□{□kan2~：蚯蚓}[5]粪份
∅[1]温□{头~：脖子}[3]㐾{我们}[5]运

#ian
p[1]鞭编[5]变便
ph[5]骗片
b[3]免
t[1]颠巅癫[2]条[3]点典[5]垫
th[1]添=天=
l[2]黏连莲[5]念练捻
ts[1]尖[3]剪毽[5]战占
tsh[1]签[3]浅
s[1]鲜[3]险癣[4]善显
k[2]咸[3]减[5]匠剑健建□{浓稠}
kh[3]肯[5]欠
h[2]嫌弦[3]险显{程度副词，瓯语借词}[4]现
g[2]严言[5]验
∅[1]烟蔫阉[2]炎盐延[5]厌

#uan
t[2]传[5]传
l[5]乱
ts[2]全[3]转
s[3]选
k[1]观[2]权[5]惯
kh[1]宽圈
g[2]圆{团~}原
h[1]翻[2]环烦[3]反[4]犯
∅[1]弯冤[2]原圆=完顽玩[3]远

#aŋ
p[1]帮芳{香}冰□{~雾}[2]房螃[3]绑[5]放棒
ph[1]蜂芳[2]纺□{端着}[5]缝
b[2]蚊暝{~边：傍晚}氓[3]网[5]梦
t[1]东冬[2]铜[4]动[5]冻
th[1]窗[2]虫[3]桶
l[1]樱{金~：石榴，瓯语借词}[2]人-浓能聋脓侬能棱[5]弄
ts[1]装脏[5]证粽
tsh[1]葱[5]秤
s[1]双松-[5]送
k[1]江工公-[3]港[5]降
h[1]烘[5]项巷
∅[2]红{~薯：山药}[5]瓮

#ɔŋ
p[2]朋棚捧[4]□{煎炸}
ph[2]蓬篷[5]碰
b[2]忙
t[3]党董懂[5]洞
th[1]通[3]统
l[2]荣狼郎[3]窿朗[5]浪
dz[2]绒
s[1]松=[5]宋
k[1]公=恭[3]讲
kh[3]孔
G[5]戆{呆傻}
h[1]丰封方=[2]狂[3]哄[5]凤
∅[1]翁[2]黄王[5]旺

#iŋ
p[1]兵冰宾殡[2]朋平=苹贫[3]品
b[2]民明={照~}[3]猛
t[1]灯[2]层[3]等顶
th[2]停[3]挺
l[2]邻龙零笼咙灵[3]冷
ts[1]争=蒸[3]种肿井
tsh[1]清青[2]程[5]铳□{着衣}
s[1]松僧升星=生=甥[2]蝇[3]省
k[1]宫经[2]穷[5]劲
kh[4]虹[5]庆
h[1]兴[2]形
∅[1]应坱{~埃：灰尘，原资料为“英烟”}[2]永迎={~亲}[5]用

#iɔŋ
t[1]中[2]长=
l[5]亮
ts[1]钟桩终□{~食师傅：厨师}[5]壮
tsh[1]充冲
s[1]伤凶相=[2]熊尝[3]响={~声}[5]上={~下}
k[1]张{姓}章[5]共
∅[1]阳拥[2]容雄

#uaŋ
h[1]风

#ŋ
p[3]本
m[2]毛门[5]问
t[2]长塘[4]断[5]顿段
th[1]汤[2]堂糖[5]烫□{脱衣}
n[3]软卵
ts[1]砖钻装□{~人囝：手指}[5]旋
tsh[1]仓疮窗伸[2]床
s[1]拴闩酸霜[5]算
k[1]公{月~：月亮}钢光扛缸[3]卷
kh[1]糠筐[5]劝囥{放置}
h[1]昏慌方[4]远-{永~}
∅[1]秧[2]黄[3]□{对家族成员的背称，但不排除借瓯语“我”}

#m
∅[3]䘼{袖~：袖子}[3]姆呣母-{丈~姐：岳母}[4]唔
