漢字	聲部	韻部	調類	聲-值	韻-值	調-值	釋義
肩	見	先	陰平	k	in	1	膊肩
胭	以	先	陰平	j	in	1	胭脂
臙	以	先	陰平	j	in	1	同上(胭脂)
艑	滂	先	陰平	pʰ	in	1	艑艖舟名也
芊	清	先	陰平	tsʰ	in	1	草盛貌
蔫	以	先	陰平	j	in	1	物不鮮也
蝙	幫	先	陰平	p	in	1	蝙蝠
褰	曉	先	陰平	h	in	1	揭衣曰褰
褼	心	先	陰平	s	in	1	褊褼衣貌
諐	曉	先	陰平	h	in	1	同上(過失也)
諓	精	先	陰平	ts	in	1	巧言也
豜	見	先	陰平	k	in	1	三歳豕
蹎	端	先	陰平	t	in	1	跋也
躚	清	先	陰平	tsʰ	in	1	蹁躚
軒	曉	先	陰平	h	in	1	廂也窓也又車之前後也
辮	幫	先	陰平	p	in	1	辮髮
迁	清	先	陰平	tsʰ	in	1	同上(移徙)
遷	清	先	陰平	tsʰ	in	1	移徙
邅	照	先	陰平	tʃ	in	1	迍邅
邊	幫	先	陰平	p	in	1	旁邊
鄢	以	先	陰平	j	in	1	姓
鈃	見	先	陰平	k	in	1	似鐘而頸長
阡	清	先	陰平	tsʰ	in	1	田箕也南北曰阡東西曰陌
靝	透	先	陰平	tʰ	in	1	古文天字
鞭	幫	先	陰平	p	in	1	馬鞭
韆	清	先	陰平	tsʰ	in	1	鞦韆
顛	端	先	陰平	t	in	1	顛狂顛仆
顫	照	先	陰平	tʃ	in	1	四肢奏掉曰顫
飦	照	先	陰平	tʃ	in	1	同上(粥也)
饘	照	先	陰平	tʃ	in	1	粥也
騫	曉	先	陰平	h	in	1	姓
驙	照	先	陰平	tʃ	in	1	馬載貌
鮮	心	先	陰平	s	in	1	新鮮
鮮	心	先	陰上	s	in	3	少也
鱣	照	先	陰平	tʃ	in	1	魚名
鵳	見	先	陰平	k	in	1	雁也
鸇	照	先	陰平	tʃ	in	1	食雀之鳥
𥑻	心	先	陰平	s	in	1	玉次石
𩥄	端	先	陰平	t	in	1	馬白額
𩽲	幫	先	陰平	p	in	1	魚名
䀽	以	先	陽平	j	in	2	視也
乾	溪	先	陽平	kʰ	in	2	卦名又乾惕
乾	溪	兼	陽平	kʰ	im	2	乾坤又卦名
乾	見	干	陰平	k	ɔn	1	乾濕乾燥
便	滂	先	陽平	pʰ	in	2	蒲綿切便便辯之詳也
便	幫	先	陽去	p	in	6	方便安也利也
前	清	先	陽平	tsʰ	in	2	前後
單	審	先	陽平	ʃ	in	2	單于匈奴號也
單	審	先	陽上	ʃ	in	4	姓
單	端	翻	陰平	t	an	1	孤單又薄也又音善
埏	以	先	陽平	j	in	2	八埏地之八際也
妍	日	先	陽平	ɲ	in	2	美貌曰姸
嬋	審	先	陽平	ʃ	in	2	嬋娟美好貌
年	泥	先	陽平	n	in	2	年歲
廛	穿	先	陽平	tʃʰ	in	2	市宅
延	以	先	陽平	j	in	2	延長延緩又延請
弦	以	先	陽平	j	in	2	弓弦
怜	來	先	陽平	l	in	2	同上(憐恤)
憐	來	先	陽平	l	in	2	憐恤
揵	溪	先	陽平	kʰ	in	2	舉也
撚	日	先	陽平	ɲ	in	2	以手析物
梴	以	先	陽平	j	in	2	木名
涎	心	先	陽平	s	in	2	秀延切口中液也
漣	來	先	陽平	l	in	2	詩泣涕漣漣
澶	審	先	陽平	ʃ	in	2	澶淵又音憚
然	日	先	陽平	ɲ	in	2	是也又轉語詞
燃	日	先	陽平	ɲ	in	2	火燒物曰燃
田	透	先	陽平	tʰ	in	2	土已耕曰田
畋	透	先	陽平	tʰ	in	2	畋獵
眠	明	先	陽平	m	in	2	睡也
研	日	先	陽平	ɲ	in	2	究也磨也
磌	透	先	陽平	tʰ	in	2	石落貌
禪	審	先	陽平	ʃ	in	2	禪師
秊	泥	先	陽平	n	in	2	同上(年歲)
筵	以	先	陽平	j	in	2	几席也
絃	以	先	陽平	j	in	2	琴絃
綿	明	先	陽平	m	in	2	作布者精曰綿粗曰絮
緜	明	先	陽平	m	in	2	古緜字
緡	明	先	陽平	m	in	2	緡蠻鳥聲又音分錢貫也
緡	非	賓	陰平	f	ɐn	1	錢貫
纏	穿	先	陽平	tʃʰ	in	2	牽纏
舷	以	先	陽平	j	in	2	舟名
蓮	來	先	陽平	l	in	2	蓮花
虔	溪	先	陽平	kʰ	in	2	虔誠
蚿	以	先	陽平	j	in	2	蟲名
蟬	審	先	陽平	ʃ	in	2	蟲名沙蟲
言	日	先	陽平	ɲ	in	2	說話也
賢	以	先	陽平	j	in	2	有德之稱
趼	日	先	陽平	ɲ	in	2	平也
躔	穿	先	陽平	tʃʰ	in	2	踐蹈也又星辰躔度
連	來	先	陽平	l	in	2	接續也又合也
郔	以	先	陽平	j	in	2	鄭國地名
鈿	透	先	陽平	tʰ	in	2	金首飾
鉉	以	先	陽平	j	in	2	鼎耳
錢	清	先	陽平	tsʰ	in	2	錢十分爲錢
闐	透	先	陽平	tʰ	in	2	盛貌又鼓聲
騝	溪	先	陽平	kʰ	in	2	馬之黃脊者
鰱	來	先	陽平	l	in	2	魚名
𡭔	清	先	陽平	tsʰ	in	2	同上(錢十分爲錢)
俴	清	先	陰上	tsʰ	in	3	淺也詩小戎俴收
偃	以	先	陰上	j	in	3	竹也偃息偃蹇
兖	以	先	陰上	j	in	3	州名
典	端	先	陰上	t	in	3	法也又經典
剪	精	先	陰上	ts	in	3	裁也又較剪
堰	以	先	陰上	j	in	3	壅水
尠	心	先	陰上	s	in	3	少也
展	照	先	陰上	tʃ	in	3	舒展
廯	心	先	陰上	s	in	3	倉廪也
惼	幫	先	陰上	p	in	3	急也
戬	精	先	陰上	ts	in	3	盡也
搌	照	先	陰上	tʃ	in	3	束㣫也
毨	心	先	陰上	s	in	3	毛落更生
洗	心	先	陰上	s	in	3	人姓
洗	心	威	陰上	s	ɐi	3	洗浴又音冼
淺	清	先	陰上	tsʰ	in	3	不深也
演	以	先	陰上	j	in	3	布也又長也
燹	心	先	陰上	s	in	3	兵火曰燹
癬	心	先	陰上	s	in	3	瘡也
碾	照	先	陰上	tʃ	in	3	轢也又音研
窆	幫	先	陰上	p	in	3	窀窆下棺也
繭	見	先	陰上	k	in	3	蚕繭
繾	曉	先	陰上	h	in	3	繾綣
翦	精	先	陰上	ts	in	3	齊也截以殺也
蘚	心	先	陰上	s	in	3	苔蘚
蜆	曉	先	陰上	h	in	3	蠕蜆
蝘	以	先	陰上	j	in	3	蝘蜓又蝘鼠
蠒	見	先	陰上	k	in	3	同上(蚕繭)
衍	以	先	陰上	j	in	3	延也寬也
褊	幫	先	陰上	p	in	3	小也
謭	精	先	陰上	ts	in	3	謭劣粗也陋也
譴	曉	先	陰上	h	in	3	怒也責也
貶	幫	先	陰上	p	in	3	降官曰貶謫也損也
跣	心	先	陰上	s	in	3	跣足
蹇	見	先	陰上	k	in	3	卦名屯蹇難也
輾	照	先	陰上	tʃ	in	3	轉之半曰輾
遣	曉	先	陰上	h	in	3	逐也發也使也
銑	心	先	陰上	s	in	3	金之有光澤者
闡	照	先	陰上	tʃ	in	3	發也
顯	曉	先	陰上	h	in	3	明也揚也
鰋	以	先	陰上	j	in	3	魚名
鶠	以	先	陰上	j	in	3	鳥名
㝃	明	先	陽上	m	in	4	分㝃臨產謂之分㝃
㥏	透	先	陽上	tʰ	in	4	心愧也又面慙也
俛	明	先	陽上	m	in	4	俯也又與俯仰之俯同
俛	非	孤	陰上	f	u	3	同上又音免(底頭也又音跳)
免	明	先	陽上	m	in	4	罷也
冕	明	先	陽上	m	in	4	冠也
勉	明	先	陽上	m	in	4	勉力黽勉
勔	明	先	陽上	m	in	4	勸勔
唁	日	先	陽上	ɲ	in	4	弔也弔失國曰唁
娩	明	先	陽上	m	in	4	同上(分㝃臨產謂之分㝃)
娩	云	翻	陽上	w	an	4	婉娩媚也又音免婦人產也
愐	明	先	陽上	m	in	4	思想貌
摙	來	先	陽上	l	in	4	搬運也
殄	透	先	陽上	tʰ	in	4	絕也
沔	明	先	陽上	m	in	4	水溝也
淟	透	先	陽上	tʰ	in	4	淟忍垢濁也
湎	明	先	陽上	m	in	4	沉湎於酒
璉	來	先	陽上	l	in	4	瑚璉宗廟盛黍稷之器
眄	明	先	陽上	m	in	4	邪視
腆	透	先	陽上	tʰ	in	4	厚也
臠	泥	先	陽上	n	in	4	奴典切一片肉塊也
蟮	審	先	陽上	ʃ	in	4	白蟮
覥	透	先	陽上	tʰ	in	4	面慙貌
靦	透	先	陽上	tʰ	in	4	同上(面慙貌)
餮	透	先	陽上	tʰ	in	4	饕餮貪食也貪財曰饕貪食曰餮
鱔	審	先	陽上	ʃ	in	4	同上(白蟮)
俔	以	先	陰去	j	in	5	譬喻也詩俔天之妹
变	幫	先	陰去	p	in	5	同上(更也亂也化也)
巚	曉	先	陰去	h	in	5	山嶺
建	見	先	陰去	k	in	5	建立
徧	滂	先	陰去	pʰ	in	5	週也廣也
憲	曉	先	陰去	h	in	5	法度也又作顯
戰	照	先	陰去	tʃ	in	5	鬪戰又恐懼貌
扇	審	先	陰去	ʃ	in	5	紙扇又搖也
搧	審	先	陰去	ʃ	in	5	動也
洊	精	先	陰去	ts	in	5	重復也
濺	精	先	陰去	ts	in	5	水激酒也
煽	審	先	陰去	ʃ	in	5	熾也盛也
片	滂	先	陰去	pʰ	in	5	塊也又半也
牮	精	先	陰去	ts	in	5	屋釗用牮
献	曉	先	陰去	h	in	5	同上(進也又文賢也)
獻	曉	先	陰去	h	in	5	進也又文賢也
箭	精	先	陰去	ts	in	5	弓箭
線	心	先	陰去	s	in	5	針線
荐	精	先	陰去	ts	in	5	荐
薦	精	先	陰去	ts	in	5	舉薦祭亦曰薦
見	見	先	陰去	k	in	5	聞見
諞	審	先	陰去	ʃ	in	5	以言語惑人也
變	幫	先	陰去	p	in	5	更也亂也化也
讌	以	先	陰去	j	in	5	同上(合飲也與燕同)
讞	曉	先	陰去	h	in	5	議獄曰讞獄
遍	滂	先	陰去	pʰ	in	5	同上(週也廣也)
醼	以	先	陰去	j	in	5	合飲也與燕同
鏾	心	先	陰去	s	in	5	閲也割也
霰	心	先	陰去	s	in	5	雪之初凝也
餞	精	先	陰去	ts	in	5	以酒食送行曰餞
騙	滂	先	陰去	pʰ	in	5	誑騙
㷽	審	先	陽去	ʃ	in	6	乾也炙也又焆也
件	見	先	陽去	k	in	6	物件
佃	端	先	陽去	t	in	6	治田也
倩	心	先	陽去	s	in	6	美男子又好口輔
健	見	先	陽去	k	in	6	同上(強徤)
卞	幫	先	陽去	p	in	6	姓
善	審	先	陽去	ʃ	in	6	良善
墡	審	先	陽去	ʃ	in	6	白墡上泥
奠	端	先	陽去	t	in	6	安也又置酒也
弁	幫	先	陽去	p	in	6	冠也又音盤
弁	滂	官	陽平	pʰ	un	2	詩弁弁又音便
彦	日	先	陽去	ɲ	in	6	美士
徤	見	先	陽去	k	in	6	強徤
忭	幫	先	陽去	p	in	6	欣喜也
擅	審	先	陽去	ʃ	in	6	專也
晛	以	先	陽去	j	in	6	日氣也
殿	端	先	陽去	t	in	6	天子之宮又軍後曰殿
汴	幫	先	陽去	p	in	6	地名
煉	來	先	陽去	l	in	6	煅煉
現	以	先	陽去	j	in	6	現在
甸	端	先	陽去	t	in	6	王者之都郊外曰甸
硯	日	先	陽去	ɲ	in	6	墨硯
練	來	先	陽去	l	in	6	練習又白色
繕	審	先	陽去	ʃ	in	6	治也修也
羡	心	先	陽去	s	in	6	餘也又貪也又稱羡
膳	審	先	陽去	ʃ	in	6	具食
茜	心	先	陽去	s	in	6	草名可染紅者俗音僭茜
莧	以	先	陽去	j	in	6	菜名
蒨	心	先	陽去	s	in	6	草盛也
蕈	端	先	陽去	t	in	6	竹席
諺	日	先	陽去	ɲ	in	6	俗語
賤	精	先	陽去	ts	in	6	卑下也
辨	幫	先	陽去	p	in	6	分別也
辯	幫	先	陽去	p	in	6	以言語辯白也
鍊	來	先	陽去	l	in	6	鎖鍊又治金曰鍊
電	端	先	陽去	t	in	6	雷電
靛	端	先	陽去	t	in	6	染藍布用靛
面	明	先	陽去	m	in	6	頭面
饍	審	先	陽去	ʃ	in	6	食也
麵	明	先	陽去	m	in	6	麥麵
麺	明	先	陽去	m	in	6	同上(麥麵)
偈	溪	先入	陰入	kʰ	it	7	疾驅貌
偈	見	威	陽去	k	ɐi	6	公滯切佛偈
切	清	先入	陰入	tsʰ	it	7	近也要也
切	清	威	陰去	tsʰ	ɐi	5	齊也衆也
咽	以	先入	陰入	j	it	7	吞也又哽咽
哲	照	先入	陰入	tʃ	it	7	明哲
喆	照	先入	陰入	tʃ	it	7	同上(明哲)
噎	以	先入	陰入	j	it	7	食氣噎塞不通也
契	心	先入	陰入	s	it	7	舜臣名又闊也
契	溪	威	陰去	kʰ	ɐi	5	合也又音竊
孑	溪	先入	陰入	kʰ	it	7	獨立曰孑
屑	心	先入	陰入	s	it	7	輕也潔也瑣碎也小也
徹	穿	先入	陰入	tʃʰ	it	7	通明也透也
必	幫	先入	陰入	p	it	7	決也定也
折	照	先入	陰入	tʃ	it	7	損也耗也
挈	溪	先入	陰入	kʰ	it	7	提挈
揭	溪	先入	陰入	kʰ	it	7	借也又提揭又姓
揭	見	威	陽去	k	ɐi	6	高舉也又褰衣涉水曰揭
撆	滂	先入	陰入	pʰ	it	7	同上(篇八聲小擊也略也引也)
撇	滂	先入	陰入	pʰ	it	7	篇八聲小擊也略也引也
撤	穿	先入	陰入	tʃʰ	it	7	抽除也握也
暬	心	先入	陰入	s	it	7	侍御
朅	溪	先入	陰入	kʰ	it	7	武壯貌
櫛	精	先入	陰入	ts	it	7	櫛風沐雨
歇	曉	先入	陰入	h	it	7	休息也安也消報
泄	心	先入	陰入	s	it	7	狎也又音曳
泄	以	威	陽去	j	ɐi	6	怠玩不理事
洩	心	先入	陰入	s	it	7	漏也滲也
浙	照	先入	陰入	tʃ	it	7	浙江
潔	見	先入	陰入	k	it	7	潔淨
燮	心	先入	陰入	s	it	7	調和也理陰陽
爇	心	先入	陰入	s	it	7	燒焚也
癤	精	先入	陰入	ts	it	7	小瘡
瞥	滂	先入	陰入	pʰ	it	7	過目也瞥然暫見也
碣	溪	先入	陰入	kʰ	it	7	碣石
竊	心	先入	陰入	s	it	7	竊盜又私也
竭	溪	先入	陰入	kʰ	it	7	盡也
節	精	先入	陰入	ts	it	7	制也儉也符節時節
紲	心	先入	陰入	s	it	7	束縛也
絏	心	先入	陰入	s	it	7	縲絏繫也以黑索抱繫罪人
結	見	先入	陰入	k	it	7	結也又完也
絜	見	先入	陰入	k	it	7	度也
节	精	先入	陰入	ts	it	7	同上(制也儉也符節時節)
薛	心	先入	陰入	s	it	7	國名又姓
蜇	照	先入	陰入	tʃ	it	7	海蜇水母足
蝎	曉	先入	陰入	h	it	7	蟲名
袺	見	先入	陰入	k	it	7	以衣貯物而執其袵也
褻	心	先入	陰入	s	it	7	私狎也慢也瀆也
襭	溪	先入	陰入	kʰ	it	7	以衣貯物執其袵也
訐	溪	先入	陰入	kʰ	it	7	攻訐
設	穿	先入	陰入	tʃʰ	it	7	置主也陳設也
詰	溪	先入	陰入	kʰ	it	7	盤詰
謁	以	先入	陰入	j	it	7	見也訪也
跌	端	先入	陰入	t	it	7	失足曰跌
蹩	滂	先入	陰入	pʰ	it	7	跛也
轍	穿	先入	陰入	tʃʰ	it	7	車輪
鉄	透	先入	陰入	tʰ	it	7	同上(銅鐵)
鐵	透	先入	陰入	tʰ	it	7	銅鐵
頡	溪	先入	陰入	kʰ	it	7	頡頏飛而上曰頡
鱉	幫	先入	陰入	p	it	7	介魚
鼈	幫	先入	陰入	p	it	7	同上(介魚)
𧥑	幫	先入	陰入	p	it	7	風寒也又名笳羌人所吹以驚馬者
傑	見	先入	陽入	k	it	8	豪傑才過萬人謂之傑
冽	來	先入	陽入	l	it	8	寒也潔也
列	來	先入	陽入	l	it	8	分布也行次也位序也
别	幫	先入	陽入	p	it	8	離別辨別
囓	我	先入	陽入	ŋ	it	8	同上銀別切(去噬水也)
垤	端	先入	陽入	t	it	8	邱垤又蟻封
孼	日	先入	陽入	ɲ	it	8	庶出之子曰孼子
帙	端	先入	陽入	t	it	8	書衣也又書卷編次
截	精	先入	陽入	ts	it	8	斷也止也
捷	精	先入	陽入	ts	it	8	勝也敏疾也報勝曰捷報
捷	精	兼入	陰入	ts	ip	7	勝也
杰	見	先入	陽入	k	it	8	盛也與傑同
桀	見	先入	陽入	k	it	8	夏王名又才過人之稱
櫱	日	先入	陽入	ɲ	it	8	木伐而抿再生芽曰櫱
滅	明	先入	陽入	m	it	8	息也盡也絶也沒也
烈	來	先入	陽入	l	it	8	火猛也又節烈俠烈
烕	明	先入	陽入	m	it	8	同上(息也盡也絶也沒也)
热	日	先入	陽入	ɲ	it	8	同上(炎熱)
熱	日	先入	陽入	ɲ	it	8	炎熱
瓞	端	先入	陽入	t	it	8	小瓜詩綿綿瓜瓞
秩	端	先入	陽入	t	it	8	職也爵也序也
篾	明	先入	陽入	m	it	8	竹皮
絰	端	先入	陽入	t	it	8	喪服麻在首在腰皆曰絰
耋	端	先入	陽入	t	it	8	八十曰耋
臬	日	先入	陽入	ɲ	it	8	門橛也又臬司
臲	日	先入	陽入	ɲ	it	8	臲卼不安貌
舌	審	先入	陽入	ʃ	it	8	口舌
蔑	明	先入	陽入	m	it	8	無也微也削也輕易也
袠	端	先入	陽入	t	it	8	簡袠
裂	來	先入	陽入	l	it	8	破也
軼	端	先入	陽入	t	it	8	侵也突也車相出也又音逸
迭	端	先入	陽入	t	it	8	更也互也遞也代也
闑	日	先入	陽入	ɲ	it	8	同上(門橛也又臬司)
齧	我	先入	陽入	ŋ	it	8	去噬水也
𪀾	見	先入	陽入	k	it	8	𪀾鷔惡鳥
㧗	滂	威	陰平	pʰ	ɐi	1	同上(判也示也)
㱕	古	威	陰平	kʷ	ɐi	1	同上(還也止也服也)
低	端	威	陰平	t	ɐi	1	卑也高低
凄	清	威	陰平	tsʰ	ɐi	1	寒也又凄凉
刲	古	威	陰平	kʷ	ɐi	1	剌也割也
劑	精	威	陰平	ts	ɐi	1	調劑又劑量
嘶	心	威	陰平	s	ɐi	1	馬鳴
圭	古	威	陰平	kʷ	ɐi	1	上員下方封國則以爲信
堤	端	威	陰平	t	ɐi	1	塞也滯也
奎	古	威	陰平	kʷ	ɐi	1	宿名
妻	清	威	陰平	tsʰ	ɐi	1	夫妻
妻	清	威	陰去	tsʰ	ɐi	5	以女嫁人曰妻
威	云	威	陰平	w	ɐi	1	威儀又嚴也
嬀	古	威	陰平	kʷ	ɐi	1	水名又姓
嵇	溪	威	陰平	kʰ	ɐi	1	山名又姓
徽	非	威	陰平	f	ɐi	1	美也
恓	清	威	陰平	tsʰ	ɐi	1	惶懼也
悽	清	威	陰平	tsʰ	ɐi	1	悲也
批	滂	威	陰平	pʰ	ɐi	1	判也示也
揮	非	威	陰平	f	ɐi	1	指揮發揮又揮霍
撕	心	威	陰平	s	ɐi	1	提撕
撝	非	威	陰平	f	ɐi	1	指也又發揮
擠	精	威	陰平	ts	ɐi	1	排也推也
暉	非	威	陰平	f	ɐi	1	日光
栖	清	威	陰平	tsʰ	ɐi	1	依也宿也
梯	透	威	陰平	tʰ	ɐi	1	階梯
棲	清	威	陰平	tsʰ	ɐi	1	棲息又牀也
樨	心	威	陰平	s	ɐi	1	木樨花
歸	古	威	陰平	kʷ	ɐi	1	還也止也服也
氐	端	威	陰平	t	ɐi	1	宿名
溪	溪	威	陰平	kʰ	ɐi	1	河也水澗
潙	古	威	陰平	kʷ	ɐi	1	同上(水名又姓)
煇	非	威	陰平	f	ɐi	1	火光也
犀	心	威	陰平	s	ɐi	1	犀牛
珪	古	威	陰平	kʷ	ɐi	1	美玉
皈	古	威	陰平	kʷ	ɐi	1	皈依
盔	困	威	陰平	kʷʰ	ɐi	1	戰士頭所戴者
砒	滂	威	陰平	pʰ	ɐi	1	砒霜
稊	透	威	陰平	tʰ	ɐi	1	木之更生也
稽	溪	威	陰平	kʰ	ɐi	1	稽考又下拜首至地
穧	精	威	陰平	ts	ɐi	1	刈禾把數也束也
窺	困	威	陰平	kʷʰ	ɐi	1	竊視也
笄	見	威	陰平	k	ɐi	1	簪也女子年十五而笄
篦	幫	威	陰平	p	ɐi	1	竹篦北揮切
篦	幫	幾	陽去	p	i	6	梳蓖去頭髮垢者
篩	審	威	陰平	ʃ	ɐi	1	篩箕
粞	心	威	陰平	s	ɐi	1	碎米
緀	清	威	陰平	tsʰ	ɐi	1	緀裴文章相錯貌
羝	端	威	陰平	t	ɐi	1	牝羊
翬	非	威	陰平	f	ɐi	1	雉也
荽	心	威	陰平	s	ɐi	1	芫荽
萋	清	威	陰平	tsʰ	ɐi	1	草盛
葳	云	威	陰平	w	ɐi	1	葳蕤謂草木葳結而生
虧	非	威	陰平	f	ɐi	1	欠缺也
西	心	威	陰平	s	ɐi	1	東西
規	困	威	陰平	kʷʰ	ɐi	1	規矩爲員之器也
谿	溪	威	陰平	kʰ	ɐi	1	川水
賷	精	威	陰平	ts	ɐi	1	持送曰賷詔是也
跛	幫	威	陰平	p	ɐi	1	足偏廢行不正也
跛	滂	科	陰上	pʰ	ɔ	3	足偏任也
蹊	溪	威	陰平	kʰ	ɐi	1	小路
躋	精	威	陰平	ts	ɐi	1	登也升也
輝	非	威	陰平	f	ɐi	1	光輝
鎞	幫	威	陰平	p	ɐi	1	釵鎞
閨	古	威	陰平	kʷ	ɐi	1	宮中門也
闚	困	威	陰平	kʷʰ	ɐi	1	傾頭門邪視也
隄	端	威	陰平	t	ɐi	1	岸也水防也
隮	精	威	陰平	ts	ɐi	1	惡氣上升也
隳	非	威	陰平	f	ɐi	1	敗也
雞	見	威	陰平	k	ɐi	1	禽名
鞮	端	威	陰平	t	ɐi	1	革履也又音提
鷄	見	威	陰平	k	ɐi	1	同上(禽名)
麾	非	威	陰平	f	ɐi	1	驅也旌旗所以指揮
齎	精	威	陰平	ts	ɐi	1	送也行道所用也
龜	古	威	陰平	kʷ	ɐi	1	所以卜也
龟	古	威	陰平	kʷ	ɐi	1	同上(所以卜也)
𧆌	精	威	陰平	ts	ɐi	1	薑蒜爲之又碎也和也
䨑	透	威	陽平	tʰ	ɐi	2	䨑霽
倪	我	威	陽平	ŋ	ɐi	2	端倪頭緒也又姓
兮	曉	威	陽平	h	ɐi	2	語詞
危	我	威	陽平	ŋ	ɐi	2	險也懼也又宿名
唯	云	威	陽平	w	ɐi	2	獨也又音委
唯	云	威	陰上	w	ɐi	3	應之速也
啼	透	威	陽平	tʰ	ɐi	2	啼哭
圍	云	威	陽平	w	ɐi	2	環也又範圍又九圍
坭	泥	威	陽平	n	ɐi	2	泥土
埋	明	威	陽平	m	ɐi	2	藏也瘞也
壝	云	威	陽平	w	ɐi	2	壇壝
奚	曉	威	陽平	h	ɐi	2	何也
嵬	我	威	陽平	ŋ	ɐi	2	同上(高大貌)
巍	我	威	陽平	ŋ	ɐi	2	高大貌
帷	云	威	陽平	w	ɐi	2	帳幔也
幃	云	威	陽平	w	ɐi	2	同上(帳幔也)
徯	曉	威	陽平	h	ɐi	2	待也
惟	云	威	陽平	w	ɐi	2	獨也謀也思也
提	透	威	陽平	tʰ	ɐi	2	挈也抱也舉也
携	困	威	陽平	kʷʰ	ɐi	2	與攜同
攜	困	威	陽平	kʷʰ	ɐi	2	攜手
桅	云	威	陽平	w	ɐi	2	桅行
泥	泥	威	陽平	n	ɐi	2	同上(泥土)
泥	泥	幾	陽去	n	i	6	拘泥不通
濰	云	威	陽平	w	ɐi	2	水名又姓
爲	云	威	陽平	w	ɐi	2	作事曰爲
犁	來	威	陽平	l	ɐi	2	同上(耕田之器)
犂	來	威	陽平	l	ɐi	2	耕田之器
瑅	透	威	陽平	tʰ	ɐi	2	玉名
畦	困	威	陽平	kʷʰ	ɐi	2	治田
睼	透	威	陽平	tʰ	ɐi	2	迎視也
綈	透	威	陽平	tʰ	ɐi	2	綈也
維	云	威	陽平	w	ɐi	2	係也又四維方隅也
緹	透	威	陽平	tʰ	ɐi	2	白赤色
荑	透	威	陽平	tʰ	ɐi	2	茅之始生曰荑
葵	困	威	陽平	kʷʰ	ɐi	2	葵花
藜	來	威	陽平	l	ɐi	2	蒺藜
蠐	清	威	陽平	tsʰ	ɐi	2	螬蠐蟲名
褆	透	威	陽平	tʰ	ɐi	2	衣厚也
觿	困	威	陽平	kʷʰ	ɐi	2	角銳可解結者詩童子佩觿
蹄	透	威	陽平	tʰ	ɐi	2	獸足曰蹄
輗	我	威	陽平	ŋ	ɐi	2	轅端橫木大車所用
迷	明	威	陽平	m	ɐi	2	昏迷又亂也
違	云	威	陽平	w	ɐi	2	背也避也
遺	云	威	陽平	w	ɐi	2	忘也失也又餘也又餽贈
闈	云	威	陽平	w	ɐi	2	宮闈又試塲
霓	我	威	陽平	ŋ	ɐi	2	虹霓
霾	明	威	陽平	m	ɐi	2	雨土蒙霧也
韋	云	威	陽平	w	ɐi	2	柔革也性急則佩韋
題	透	威	陽平	tʰ	ɐi	2	品題又琁題又額也
