漢字	石橋	注釋
堵	tu51	
賭	tu51	
肚	tu51	陰上
土	tʰu51	
吐	tʰu21	
兔	tʰu21	
徒	tu13	
屠	/	
涂	tʰu13	
圖	tʰu13	
渡	tu21	
奴	lu13	
努	/	
爐	lu13	
鹵	/	
路	lu21	
露	lu21	
租	tsu55	
祖	tsu51	
做	tsu21	
粗	tsʰu55	
醋	tsʰu21	
錯	tsʰəu21	陰入
酥	/	
素	/	
訴	sɿ51	陰上
姑	ku55	
孤	ku55	
箍	ku55	
古	ku13	存疑，陽平
鼓	ku13	存疑，陽平
顧	/	
枯	kʰu55	
苦	kʰu51	
褲	kʰu21	
吳	/	
蜈	/	
梧	/	
五	ŋ31	陽上
伍		
午	ŋ31	陽上
誤	u21	
呼	fu55	
虎	xu51	
湖	xu13	
狐	xu13	
壺	xu13	
鬍	vu13	
互	/	
烏	/	
惡	ŋo21	
女	lu31	陽上
驢	/	
蛆	tɕʰi55	
豬	tsu55	
除	/	
苧	tsu13	陽平
箸	/	
阻	/	
初	tsʰu55	
楚	tsʰu51	
鋤	tsʰu13	
助	fu13	存疑
梳	su55	
所	so51	
諸	tsu55	
煮	tsu51	
杵	tɕy51	
書	su55	
舒	su55	
鼠	ɕy51	
薯	ɕy21	去聲，或借官，紅~
如	y13	
車	tsu55	~馬炮
舉	tɕy51	
鋸	tɕy21	~子
鋸	kɛ21	~樹
墟	ɕy55	
去	fu21	
魚	ŋ13	
虛	ɕy55	
許	su51	
夫	fu55	
斧	fu51	
傅	fu21	
敷	fu55	
符	fu13	
扶	fu13	
腐	fu31	陽上
巫	/	
武	vu31	
舞	vu31	
霧	vu31	
取	tɕʰi51	
趣	tɕʰi21	
須	ɕi55	
續	ɕye21	或借官
廚		
柱	tsu51	陰上
住	tsu21	
數	su51	~數
數	su21	數~
主	tɕy51	
輸	ɕy55	~錢
豎	su21	
樹	su21	
矩	tɕy51	
句	tɕy21	
雨	vu51	
羽	/	
芋	uo21	
貝	/	
戴	to21	
帶	to21	
胎	tʰo55	
太	tʰo21	
台	to13	
抬	to13	
待	to31	陽上
代	to21	
袋	to21	
耐	no21	
奈	no21	
來	lai13	
賴	lie21	
癩	lie21	
災	/	
栽	tso55	
宰	/	
再	tsai21	
猜	tsʰo55	
彩	/	
菜	tsʰo21	
才	tsʰo13	
財	tsʰo13	
裁	tsʰo13	
在	xai31	陽上
在	tsai31	實~
腮	/	
鰓	tsʰo55	
該	kai55	
改	kɛ51	
蓋	ko21	
開	xo55	
咳	kʰɛ21	
礙	/	
艾	/	
海	xai51	
害	xai21	
愛	o21	
拜	pie21	
排	pie13	
埋	mie13	
齋	kɛ55	
豺	/	
階	/	
稭	/	
界	kai13	陽平，或借官
戒	kɛ21	
擺	pie51	
派	pʰai21	
牌	pie13	
稗	pie21	
買	mie31	陽上
賣	mie21	
奶	lie13	
差	/	出~
篩	ɕie55	
灑	sa51	
曬	ɕie21	
街	kɛ55	
解	kɛ51	
鞋	xɛ13	
矮	ɛ51	
隘	ie51	
敗	pie21	
厲	li21	
祭	tɕia21	
世	ɕi21	
藝	ȵi21	
蓖	pi55	
閉	pi21	
批	pʰi55	
迷	mi13	
米	mi31	陽上
謎	mi21	，或借官
低	ti55	
底	ti51	
帝	ti21	
梯	tʰi55	
體	tɕi51	
替	tʰi51	
涕	/	
剃	ti21	
題	ti13	
提	tia13	
蹄	ti13	
弟	ti31	陽上
第	ti21	
泥	li13	
犁	li13	
禮	li31	陽上
擠	tɕi51	
砌	tsʰɿ21	
齊	tɕi13	
臍	tsʰɿ55	陰平
薺	tsʰɿ31	
西	ɕi55	
洗	ɕi51	
細	ɕi21	
雞	tɕi55	
繼	tɕi21	
系	kɛ51	
髻	kɛ21	
杯	pei55	
輩	pei21	
背	pei21	~脊
坯	pʰei55	
配	pʰei21	
陪	pei13	
賠	pei13	
背	pei21	~誦
媒	mei13	
每	mei31	~人
妹	mei31	
堆	tuei55	
對	tuei21	
碓	tuei21	
推	/	
腿	/	
退	tʰei21	
隊	/	
內	/	
雷	luei13	
催	tsʰuei55	
罪	tsuei21	去聲
碎	suei21	
塊	kʰuɛ21	
灰	xuei55	
悔	xuei51	
回	xuei13	
煨	uei55	
蛻	tʰei31	
兌	/	
最	tsuei21	
外	uei21	
會	xuei21	~不~
乖	/	
怪	kuɛ21	
懷	uai13	
壞	xuai21	
掛	kua21	
卦	kua21	
畫	xua21	
快	kʰuɛ21	
筷	kʰuɛ21	
歪	uai55	
話	xua21	說~
脆	tɕʰi21	
歲	ɕi21	
稅	ɕy21	
鱖	/	
廢	fei51	疑普
肺	fi21	
桂	kuei21	
碑	pi55	
彼	/	
臂	pie21	
披	pʰi55	
皮	pie13	
脾	pie13	
被	/	~子
婢	/	
被	/	~打
避	/	
離	li13	
紫	tsɿ51	
刺	tsɿ51	
斯	/	
撕	sɿ24	聲調存疑
知	tɕi55	
池	tsʰɿ13	
支	/	
枝	tɕi55	
桅	/	
紙	tɕi51	
只	tsɿ51	~有
舐	lia31	陽上
翅	tsʰɿ21	去聲
匙	ɕi13	
是	ɕi31	陽上
豉	ɕi21	
寄	tɕi21	
奇	tɕi13	
騎	tɕi13	
徛	tɕi31	
宜	ȵie13	便~
蟻	ȵie31	陽上
義	/	
戲	tɕʰi21	演~
戲	ɕi33	~臺
椅	/	
移	/	
易	i21	容~
比	pi51	
秕	/	
屁	pʰi21	
枇	pi13	
鼻	pi21	
篦	pi21	~子
眉	mi13	
地	ti21	
尼	li13	
膩	ie21	
梨	li13	
利	li21	
痢	li21	
姿	/	
姊	tsɿ51	
次	/	
瓷	tsʰɿ13	
餈	tsʰɿ13	
自	tsɿ21	
私	sɿ55	
死	sɿ51	
四	sɿ21	
遲	tɕi13	
師	sɿ55	
獅	sɿ55	
脂	tɕi55	
指	tsɿ51	
屍	sɿ55	
屎	sɿ51	
飢	/	
器	tɕʰi21	
祁	tɕi13	~陽
姨	i13	
你	ŋ31	陽上
貍	li13	
李	li13	陽平，存疑
里	li13	陽平，存疑，公~
里	li13	陽平，~外
理	li13	陽平
子	tsɿ51	
梓	/	
字	tsɿ21	
司	/	
絲	sɿ55	
思	/	
祠	/	
似	/	
伺	sɿ21	
寺	tsʰɿ21	
置	/	
治	/	
柿	sɿ31	
事	sɿ21	
趾	tsɿ51	
痣	tɕi21	
齒	tɕʰie51	
詩	sɿ55	
始	ɕi51	
試	sɿ21	
時	sɿ13	
耳	ɛ51	陰上
基	/	
記	tɕi21	
欺	tɕʰiom55	訓讀
起	tɕʰi51	
棋	tɕʰi13	
旗	tɕʰi13	
疑	ȵi13	
喜	ɕi51	
意	i21	
以	i51	陰上
幾	tɕi51	~個
氣	tɕʰi21	
汽	tɕʰi21	
稀	ɕi55	
衣	i55	
依	i55	
嘴	tɕi51	
髓	sən51	
隨	suei13	
吹	tɕy55	
睡	ɕie21	
規	kuei55	
虧	kʰuei55	
跪	tɕy31	
爲	uei21	
淚	/	
醉	tɕi21	
穗	ɕie21	
追	/	
槌	tɕʰy13	
錘	tɕʰy13	
錐	tɕy55	
水	ɕy51	
龜	/	
季	/	
葵	/	
櫃	tɕy21	
位	uei21	
飛	fi55	
痱	fi21	
費	/	
肥	fi13	~肉
尾	mie31	陽上
味	y21	
歸	tɕy21	去聲
鬼	kuei51	
貴	tɕy21	
揮	/	
威	uei55	
圍	y13	
保	pau51	
堡	pau51	
寶	pau51	
報	pau21	
袍	pau13	
抱	pau55	陰平
菢	pu21	
毛	mei13	
帽	mei21	
刀	təu55	
倒	təu51	打~
到	təu21	
倒	təu51	~水
掏	/	
討	tʰəu51	
套	tʰəu21	
桃	tie13	
逃	təu13	
淘	/	
道	tʰəu51	
盜	tie21	
腦	nəu31	陽上
惱	nau31	陽上
勞	ləu13	
撈	lau13	
牢	lau13	
老	ləu31	
糟	tsau55	
早	tsəu51	
棗	tsəu51	
蚤	tsəu51	
躁	tsʰəu21	
灶	tsəu21	
草	tsʰəu51	
糙	tsʰəu21	
槽	tsʰəu13	
皂	tsəu31	陽上
臊	səu55	
掃	səu51	陰上，~地
嫂	səu51	
掃	səu51	陰上，~地
高	kəu55	
膏	kəu55	
篙	xau55	
羔	kəu55	
告	kəu21	
考	kʰau51	
烤	kʰau13	
靠	kʰəu21	
蒿	xəu55	
薅	xəu55	
好	xəu51	~壞
好	xəu51	喜~
毫	/	
號	/	
包	pau55	
胞	pau55	
飽	pau21	
豹	pau21	
泡	pʰau13	水~
拋	/	
炮	pau21	
泡	pau21	~水
跑	/	
刨	/	
茅	mei13	
貓	mau55	陰平
貌	mau21	
鬧	nau21	
罩	tsau21	
抓	tsua55	
爪	tsau51	
抄	tsʰau55	
炒	tsʰau51	
吵	tsʰau51	
潲	sau21	
交	/	
教	kau21	~書
絞	kau51	
攪	kau51	
搞	kau51	
窖	kau21	
覺	kau21	
敲	kʰau21	去聲
巧	tɕʰiau51	
咬	ŋau31	陽上
孝	ɕiau13	借官
校	tɕʰiau51	
坳	/	
膘	/	
標	piau55	
表	piau51	
錶	piəu51	
飄	pʰiəu55	
票	pʰiəu21	
漂	/	~亮
瓢	piəu13	
苗	miəu13	
廟	miəu21	
焦	tɕiau55	
蕉	tɕiəu55	
椒	tɕiəu55	
繰	tɕʰiəu55	
樵	tɕiəu13	
消	/	
宵	/	
硝	/	
銷	/	
小	ɕiau51	
笑	ɕiəu21	
超	tɕʰiau55	
朝	tɕiəu13	~代
兆	/	
招	kau55	疑硬讀
照	tɕiəu21	
燒	ɕiəu55	
少	səu51	多~
嬌	/	
橋	tɕiəu13	
蕎	tɕiəu14	
轎	kuɛ21	
妖	iəu55	
腰	iəu55	
要	/	~求
要	iəu21	想~
搖	iəu13	
窯	iəu13	
搲	/	
刁	tiəu55	
雕	tiəu55	
鳥	tie51	
釣	tʰiəu21	
挑	tɕʰiəu55	
跳	tʰiəu21	
條	tiəu21	
調	tiəu13	~羹
掉	tʰiəu21	
調	tiəu21	~動
尿	niəu21	
了	liau51	陰上，~不起
料	liəu21	
叫	au51	訓讀
竅	tɕʰiau21	
曉	ɕiəu51	
畝	məu31	陽上
兜	tau55	
斗	tau51	
抖	təu51	
陡	tau51	
鬥	tau21	
偷	tʰau55	
敨	tʰau51	
透	tʰau21	
頭	tʰau13	
投	tʰau13	
豆	tei21	
逗	tsʰo21	訓讀
樓	lau13	
漏	lau21	
走	tsau51	
湊	tsʰau21	
嗽	sau21	
勾	kau55	
鉤	kau55	
溝	kau55	
狗	kau51	
彀	kau51	陰上
夠	kau51	陰上
摳	/	
口	kʰau51	
叩	/	
扣	/	
藕	au31	陽上
喉	xau13	
猴	xau13	
後	xau51	陰上
厚	/	
後	xau13	陽平，~代
候	xau21	
嘔	au51	
漚	au21	
慪	au21	
副	fu21	
浮	pei13	
婦	pei31	陽上
扭	niəu31	陽上
流	liəu13	
劉	liəu13	
留	liəu13	
榴	liəu13	
硫	liəu13	
柳	liəu31	陽上
溜	liəu31	陽上
酒	tɕiəu51	
秋	tɕʰiəu55	
就	tɕiəu21	
修	ɕiəu55	
秀	ɕiəu21	
繡	ɕiəu21	
鏽	sai21	鉎訓讀
袖	tɕʰiəu21	
肘	tɕiəu51	
晝	tau21	
抽	tɕʰiəu55	
丑	/	~角
綢	tɕiəu13	
皺	tsau21	
縐	tsau21	
搊	tsʰau55	
愁	tsəu13	
搜	sau55	
餿	sau55	
瘦	sau21	
漱	sau21	
周	tsəu55	
州	tɕiəu55	
洲	/	
醜	tɕʰiəu51	
臭	tɕʰiəu21	
收	ɕiəu55	
手	ɕiəu51	
守	ɕiəu51	
仇	tɕiəu13	
受	ɕiəu31	陽上
壽	ɕiəu21	
鳩	/	
九	tɕiəu51	
久	tɕiəu51	
韭	tɕiəu51	
灸	tɕiəu51	
救	tɕiəu21	
求	tɕiəu13	
球	tɕiəu13	
舅	tɕiəu31	陽上
舊	tɕiəu21	去聲
牛	niəu13	
休	/	
嗅	ɕyn55	
憂	iəu55	
有	xau51	陰上
友	iəu13	陰平
又	iəu51	
右	iəu21	
佑	iəu21	
油	iəu13	
游	iəu13	
丟	tiəu21	去聲
耽	tom55	
答	tie21	
搭	tie21	
貪	tʰan55	疑普
探	tʰom21	
踏	/	
潭	tom13	
沓	tə13	
南	lom13	
男	lom13	
納	/	
拉	la51	
簪	tso55	
慘	/	
雑	tsa13	
合	xɛ21	
鴿	ko21	借官
砍	tɕie51	
喝	/	
含	xaŋ13	
合	xɛ21	~起來
盒	xo21	
庵	om55	
暗	om21	
擔	tom55	~任
膽	tom51	
擔	tom21	挑~
毯	tʰom51	
塔	tʰɛ21	
塌	tʰɛ21	
談	tom13	
淡	tom13	陽平
藍	lom13	
臘	lɛ13	
蠟	lɛ13	
慚	/	
三	so55	
甘	kom55	
柑	kom55	
敢	kom51	
賺	tɕye21	
眨	/	
插	tsʰɛ21	
炸（煠）	tsɛ21	
杉	sa55	
甲	kɛ21	
嵌	kʰom55	
岩	/	
鴨	a55	
押	tɕia55	存疑
壓	a55	
鐮	lai13	
尖	tsai55	
接	tɕie21	
簽	ɕie55	
沾	tsai55	~光
占	/	~卜
佔	tsai21	
折	tɕie21	~疊
閃	/	
染	lai31	陽上
鉗	kai13	
淹	ai55	
閹	tən51	
厭	/	
鹽	ai13	聲調存疑
閻	ai33	
檐	/	
葉	iəu13	箬訓讀
欠	kʰai21	
業	nie21	借官
醃	ai55	
腌	ai55	
點	tai51	
店	/	
跌	/	
添	tʰai55	
舔	tia51	訓讀
㮇	tai21	
帖	tie21	
貼	tie21	
甜	tai13	
鲇	/	
念	lai21	
挾	kɛ21	
嫌	xai21	
法	/	
凡	fie13	
犯	/	
品	pʰin51	
淋	tɕye51	訓讀
笠	/	
粒	la21	
心	ɕin55	
尋	tɕin21	
浸	tɕin21	
習	/	
沉	tɕin13	
蟄	tɕi13	驚~
參	ɕie55	人~
澀	tɕia21	
針	tɕin55	
斟	tɕin55	
枕	tɕin51	
汁	/	
深	ɕin55	
濕	ɕiə21	
十	ɕiə21	
入	ȵie21	
今	tɕin55	
金	tɕin55	
急	tɕiə21	
給	kɛ21	
琴	tɕin13	
及	tɕʰiə13	
音	in55	
陰	in55	
單	tom55	
旦	/	
灘	tʰom55	
攤	tʰom55	
坦	tʰom51	
炭	tʰom21	
歎	tʰom21	
彈	tom13	~琴
彈	tom21	子~
難	lom13	~易
攔	lom21	
欄	lom21	
懶	lom51	陰上
爛	lie31	
辣	lɛ21	
癩	lie21	
餐	/	
擦	tsʰɛ21	
散	/	~開
傘	som51	
散	som21	分~
薩	sa21	
肝	kom55	
乾	kom55	~濕
桿	kom51	
趕	kom51	
趕	kuai51	
稈	/	
割	kɛ21	
看	/	
岸	om13	
鼾	/	
漢	xom13	
寒	xom51	
旱	xom13	
汗	xom13	出~
安	om55	
按	tɕie55	訓讀
案	om21	
扮	pie21	
八	pə21	
抹	ma13	
盞	/	
鏟	tɕiəu21	訓讀
山	ɕie55	
產	/	
殺	sɛ21	
間	kɛ55	
眼	nie51	陰上
莧	xuən21	
軋	a21	
班	pie55	
扳	pie55	
板	pie51	
蠻	man13	
慢	mie21	
顏	/	
瞎	xɛ21	
鞭	pian55	
變	pai21	
鱉	pie21	
篇	/	
偏	pʰai55	~心
騙	pʰai21	
便	pai13	~宜
便	pai13	方~
棉	mai13	
面	mai21	
連	lai13	
裂	/	
煎	tsai55	
箭	ʦuai21	
淺	tsʰuai51	
錢	tsai13	
賤	tsuai21	
仙	sai55	
鮮	sai55	
癬	suai51	
線	sai21	
蜇	/	~人
纏	/	
戰	/	
折	/	
舌	lia13	
扇	sai21	
燃	nai13	
熱	ie21	
孽	nie21	
揭	/	
邊	pie55	
扁	piaŋ53	或借官
匾	/	
憋	pi31	
片	pie21	
撇	/	
辮	pai51	
麵	mai21	~粉
蔑	mie13	
天	tʰai55	
鐵	tʰie31	
田	tai13	
電	/	
佃	/	
墊	tai21	
年	lai13	
撚	lai51	陰上
憐	lian13	
蓮	lian13	
楝	lia21	苦~樹
節	tɕie21	
千	tsʰai55	
切	tɕʰie21	
前	tsai13	
先	sai55	
肩	kɛ55	
見	/	
結	tɕie21	
牽	xaŋ55	
現	ɕiaŋ31	~飯
煙	ai55	
燕	/	
噎	a51	
般	/	
搬	paŋ55	
半	pən21	
鉢	pei21	
拔	po21	
拼	pʰin55	
潑	pʰə31	
盤	pən13	
伴	pən13	
滿	mən31	陽上
末	mie51	
抹	ma31	
端	tom55	~午
短	tom51	
團	tom13	
斷	tom13	
脫	tʰɛ31	
段	tom13	
緞	tom13	
奪	/	
暖	lom13	陽平，存疑
卵	lom21	去聲
亂	lom21	
捋	/	
鑽	/	
撮	tso21	一~米
酸	som55	
算	som21	
蒜	som21	
官	kom55	
管	kuan51	借官
灌	kuan21	
罐	kuan21	
觀	kuan21	寺~
寬	kʰuan55	
闊	kʰue21	
玩	/	
歡	xom55	
完	uai13	
丸	uai13	
換	/	
活	xue13	
豌	/	
碗	om51	
挖	ue55	
閂	suaŋ55	
刷	sua21	
關	kue55	
慣	kue21	
颳	kue21	
還	ue13	~錢
還	xai21	借官，~有
彎	ue55	
全	tsai13	
泉	tsai13	
絕	tɕye13	
選	suai51	
雪	ɕye21	
鏇	/	
轉	ʦuai51	
傳	tɕyai13	~達
椽	/	
專	tsuai55	
磚	tsuai55	
穿	/	
串	tɕyai21	
船	suai13	
軟	uai31	陽上
捲	kuai51	
圈	kʰue55	
拳	kuai13	
權	kuai13	
圓	uai13	
院	/	
緣	uai13	
捐	tsuai13	
反	fie51	
發	fɛ21	
翻	fie55	
煩	fie21	
飯	fie21	
罰	fə21	
襪	ue13	
勸	kʰuai21	
元	uai13	
原	uai13	
願	uai21	
月	nie13	
冤	uai55	
怨	/	
園	uai13	
遠	uai31	陽上
越	ye21	
缺	kʰai21/tɕye21	
縣	xuai21	
血	ɕye21	
吞	ku55	訓讀
跟	kaŋ55	
根	kaŋ56	
很	/	
恨	xən21	
恩	ŋən13	
筆	pie21	
必	/	
匹	/	
密	mɛ13	
蜜	/	
鄰	lin13	
鱗	lin13	
磷	lin13	
栗	li13	
親	tɕʰin55	~戚
親	tɕʰin55	~家
七	tɕiə21	
漆	tɕie21	
盡	tɕʰin21	去聲
辛	ɕin55	
新	ɕin55	
信	ɕin21	
膝	tɕʰie21	
珍	/	
鎮	/	
陳	tɕin13	
塵	tɕin13	
陣	/	
侄	tɕiə13	
虱	sə21	
真	tɕin55	
質	tɕie	
神	ɕin13	
實	sə13	
身	ɕin55	
伸	ɕin55	
晨	ɕin13	
腎	/	
人	nie13	
仁	nie13	
忍	in31	陽上
日	nie13	
巾	/	
緊	tɕin51	
吉	tɕin21	疑誤
銀	nie13	
因	/	
印	in21	
一	ie21	
斤	tɕin55	
筋	tɕin55	
勁	tɕin21	
芹	tɕin13	
近	tɕin31	陽上
殷	/	
隱	/	
本	pən51	
不	mə21	訓讀
噴	fən21	~水
噴	pʰaŋ21	~香
盆	pən13	
笨	/	
門	mən21	調存疑
悶	mən21	
沒	mau21	
墩	/	
頓	tən21	
褪	tʰei21	
蠢	tɕʰyn51	
鈍	o13	訓讀
嫩	lən21	
論	/	議~
尊	/	
村	/	
寸	tsʰən21	
存	tsʰən13	
蹲	ku13	訓讀
孫	sən55	
滾	lei51/kuən51	
棍	kuən21	
骨	kue21	
綑	kʰuən51	
昏	xuən55	
魂	xuən13	
混	xuən31	
溫	uən55	
瘟	uən55	
穩	uən55	
輪	lən13	
筍	sən51	
榫	sən51	
椿	tɕʰyn55	~樹
肫	tɕin55	
準	tɕyn51	
春	tɕʰyn55	
蠢	tɕʰyn51	
出	tɕʰye21	
唇	ɕyn13	
順	ɕyn21	
術	ɕye13	
純	ɕyn13	
閏	yn21	
均	/	
菌	tɕʰyn31	
勻	/	
分	fən55	
粉	fən55	
糞	fən21	
墳	fən13	
份	fən21	
佛	fɛ21	
文	uən13	
蚊	mən13	
聞	tʰei51	訓讀
問	uən21	
物	u21	
軍	tɕyn55	
裙	tɕyn13	
熏	ɕyn55	
葷	/	
雲	yn13	
運	yn21	
暈	xuən51	
幫	pən55	
榜	paŋ51	
旁	paŋ31	
薄	pei21	
忙	man13	
摸	mo55	
當	lom55	應~
擋	tom51	
當	tom21	~作
湯	tʰom55	
燙	tʰom	
托	tʰə31	
堂	tom13	
糖	tom13	
塘	tom13	
諾	ia51	
郎	lom13	
狼	lom13	
浪	lom31	
落	lau13	
葬	tsom21	
倉	tsʰom35	
錯	tsʰəu21	
藏	/	隱~
昨	tso13	
桑	/	
䘮	som55	婚~
索	/	繩~
鋼	kom55	
缸	kom55	
各	kʰɛ13	
擱	kai21	
糠	xom55	
蠚	/	
行	xom13	銀~
惡	ŋo21	
娘	ȵiom13	
釀	iom21	
良	/	
涼	liom13	
量	liom13	~長短
梁	liom13	
粱	liom13	
糧	liom13	
兩	liom31	陽上，~個
兩	liom31	陽上，兒~
亮	liom21	
輛	lən21	韻例外
漿	tɕiom55	
槳	tɕiom51	
醬	tɕiom21	
槍	tɕʰiom55	
搶	tɕʰiom51	
鵲	/	
墻	tɕiom13	
匠	tɕiom21	
嚼	tɕiəu13	
箱	ɕiom55	
相	ɕiom55	~互
湘	/	
想	ɕiom51	
相	ɕiom21	~貌
削	ɕiəu21	
詳	ɕiom13	
像	tɕiom31	
張	tɕiom55	
長	tɕiom51	~生
漲	tɕiom51	
帳	tɕiom21	
賬	tɕiom21	
脹	tɕiom21	
着	tɕiəu21	~衣
長	tɕiom13	~短
腸	tɕiom13	
丈	tɕiom51	陰上
杖	/	
着	tsu13	
裝	tsuai13	
壯	tɕiom21	
瘡	ɕiom55	
床	tɕiom13	
狀	tɕiom21	
霜	ɕiom55	
樟	tsom55	
掌	tɕiom51	
菖	/	~蒲
唱	tɕʰiom21	
商	som55	~量
傷	ɕiom55	
賞	som51	
餉	som51	
常	tɕiom13	
嘗	tɕiom13	
裳	/	
上	ɕiom31	~山
尚	som21	和~
上	ɕiom21	~面
勺	ɕio13	
讓	iom21	
薑	tɕiom55	
腳	tɕiəu21	
強	tɕiom13	
香	ɕiom55	
鄉	ɕiom55	
享	ɕiom51	
響	ɕiom51	
向	ɕiom21	
秧	iom55	
羊	iom13	
洋	iom13	
楊	iom13	
陽	iom13	
養	iom31	陽上
癢	iom31	陽上
樣	iom21	
藥	iəu13	
光	kom55	
廣	kom51	
郭	/	
荒	/	
慌	xom55	
黃	xom55	
皇	xom13	
方	fən55	
放	m21	存疑
紡	/	
房	/	
防	/	
芒	/	
網	mən31	陽上
枉	uaŋ51	
王	uaŋ13	
剝	pau21	
胖	pʰaŋ21	
蚌	paŋ51	陰上
雹	po13	
樁	ɕyn55	
桌	tɕye51	
啄	/	
撞	tsʰom51	
濁	tɕye13	
窗	/	
雙	/	
江	/	
講	kom55	調存疑
虹	kom21	
角	kɛ21	牛~
腔	/	
確	tɕʰio21	
㩁	/	~蒜
殼	kuei21	
岳	ye13	~丈
夯	/	
巷	/	
學	xau21	
崩	/	
北	pə21	
朋	pən13	
墨	mɛ21	
默	mɛ21	
燈	taŋ55	
等	taŋ51	
凳	taŋ21	
得	tə21	
德	/	
謄	/	
藤	taŋ13	
鄧	/	
澄	tɕin13	~清
能	lən13	
肋	/	
曾	tsaŋ55	姓
增	tsaŋ55	
層	tsaŋ13	
塞	sɛ21	
肯	xaŋ51	
刻	/	時~
刻	kʰɛ21	用刀~
克	kʰɛ21	
黑	xɛ21	
冰	pai55	
逼	pie13	
菱	lin13	~角
力	lɛ13	
鯽	tɕie21	
熄	ɕie21	
媳	ɕie21	
瞪	tən21	
直	tɕie13	
值	/	
側	tɕia21	
色	sɛ21	
蒸	tɕin24	
證	tɕin21	
織	tɕie21	
稱	tɕʰin55	~呼
稱	/	相~
秤	tɕʰin21	
繩	ɕin13	
塍	in13	
剩	ɕin21	
食	ɕie13	
升	ɕin55	
勝	/	
識	ɕie21	
興	/	~旺
興	ɕin21	調例外，高~
應	in55	~當
應	aŋ21	響~
國	kue21	
百	pa21	
柏	pa21	
伯	pa21	
拍	pʰə21	
魄	/	
彭	/	
白	pa21	存疑
打	ta51	
冷	lie51	陰上
撐	tsʰən55	
牚	tɕie51	
拆	tsʰa21	
㿭	tsʰa21	
擇	tsa13	
窄	/	
生	ɕie55	
牲	ɕie55	
省	sən51	~長
省	sən51	節~
更	/	五~
羹	kaŋ55	
梗	kaŋ51	
更	kən21	~加
格	kɛ21	
客	kʰa21	
硬	ŋɛ51	
額	ka13	
嚇	xa51	
棚	pən21	
麥	ma13	
脈	mɛ13	
摘	/	
橙	tɕin13	
爭	tɕie55	
革	/	
隔	ka21	
軛	ka21	
兵	pai55	
柄	/	
碧	/	
平	pai13	
坪	pai13	
病	pie21	
明	mai13	
命	mai21	
驚	kai55	
敬	/	
鏡	tɕin21	
慶	/	
屐	tɕia13	
影	in51	
餅	pin51	
聘	pʰin21	
僻	pʰia21	
名	mai13	
領	lai31	陽上
嶺	lai31	陽上
精	tsai55	
睛	/	
井	tsai51	
積	tɕie21	
脊	tɕie21	
清	tsʰai55	
請	tsʰai51	
情	tɕin13	
淨	tsai21	
性	sai21	
姓	sai21	
惜	ɕia21	
席	tɕia13	
貞	/	
正	tsuai55	~月
整	tɕin51	
正	tsai21	~面
隻	tɕia21	
炙	tɕia21	~火
