#ɿ
p[31]屄{女阴}[213]比彼鄙妣[35]毙闭秘泌敝弊憋匕
x[31]躺[44]侯喉猴[213]后{前~}厚[35]□{烙}[22]后{皇~}后{以~}候

#u
p[213]补[35]布怖
pʰ[31]铺{~床}[44]菩脯萄[213]普谱甫捕浦埔圃蒲簿□{香烟上长白毛}[35]铺{店~}[22]步部埠伏{孵}
f[31]夫肤扶乎呼[44]胡{姓}湖糊{~涂}壶孚俘浮符{~合}芙抚[213]府俯腑虎斧辅浒阜妇{新~：媳妇}[35]负付附咐驸妇{~女}互戽扈副富赋讣[22]父腐傅户沪护
v[31]乌污[44]吴无芜巫狐胡{~须}瓠{~芦}[213]五伍午坞武鹉舞[35]焐恶{可~}诬侮[22]务雾婺误妇{祖母}糊{面~：糨糊}
t[31]都{首~}[213]堵赌睹[35]妒杜蠹
tʰ[44]徒图屠涂途荼[213]肚土[35]吐兔[22]度渡镀
n[44]炉庐卢芦颅奴[213]努鲁橹虏掳卤[35]□{露出}[22]路露怒
ts[31]租[213]组阻祖
tsʰ[31]粗初[44]□{燃烧；熄灭}[213]楚础[35]醋[22]助
s[31]苏酥梳疏蔬[213]数{~一~}竖擞[35]数{~量}素嗉诉塑庶墅
k[31]姑孤[44]姑[213]古估牯股鼓[35]固顾雇故
kʰ[31]箍枯糊{动词，粘}[213]苦[35]库裤

#y
tɕ[31]猪诸朱株诛蛛珠居裾车{~马炮}拘驹[213]主举煮矩嘴[35]句巨拒著据锯注驻蛀铸醉苣剧
tɕʰ[31]吹炊区驱躯岖蛆趋[44]除滁徐1厨橱瞿渠{~道}锤[213]取娶柱杵鼠苎[35]去{文读}处趣脆{面~：一种面食}翠[22]具惧俱拒距住箸聚
ȵ[31]□{拧}[4]女{女儿}驴鱼渔[213]女{妇~}吕旅语屡[35]□{歪歪扭扭地缝}[22]虑滤遇1
ɕ[31]书舒输枢须需虚墟嘘尿[44]锄垂殊徐2[213]水许暑署薯黍髓[35]婿胥絮恕岁{三~}税[22]树序绪叙
∅[31]迁[44]如茹于盂余淤儒虞娱俞榆愉逾[213]雨羽乳汝宇禹与友1愈[35]□{动词，喂}[22]芋寓遇2喻裕预豫誉

#a
p[31]杯[35]辈背{脊背}贝狈
pʰ[31]坯胚[44]培赔陪裴[35]配柿佩沛[22]倍焙背{背诵}
m[35]□{婴儿}[22]妹
f[31]灰恢[44]回徊茴[35]悔[22]会{开~}汇
v[31]煨[44]□{吵架}[22]会{不~}
t[31]堆呆[35]对队兑戴碓
tʰ[31]推梯淌胎台{天~}[44]台抬苔[213]腿[35]退蜕褪[22]代袋待贷怠殆
n[31]□{胡乱地塞}[44]来莱雷擂镭[213]哪儡[22]内
ts[31]灾栽哉斋[213]载{一年半~}宰滓□{疖子}[35]再载{~重}寨1
tsʰ[31]崔催摧猜[44]才材财裁□{“起来”的合音}[213]采彩踩睬在{白读}[35]菜蔡[22]罪在{文读}□{趔趄}
s[31]腮鳃[213]洒□{整理}[35]帅寨2赛碎□{鸡~：鸡笼}率{~领}
k[31]该[213]改[35]概溉盖丐
kʰ[31]开[213]凯慨徛{站立}[22]隑{竖放}
ŋ[31]埃哀[44]呆[213]蔼[35]爱[22]碍
x[44]孩[213]海亥[35]□{尝，试}[22]害

#ia
∅[213]也

#ua
k[35]会1{~计}绘□{撒，晃}
kʰ[31]奎魁盔[213]傀[35]块刽桧会2{~计}

#o
p[31]巴疤芭[213]把[35]坝霸
pʰ[44]爬琶杷[35]怕[22]耙稗
m[31]□{抓小颗粒物}[44]麻蟆[213]马码[22]骂
v[31]蛙洼□{挖，掘}[35]□{往上~：往上够}[22]画
n[31]□{疤痕}[22]喏{语气词，表提醒}
ts[31]抓渣查{姓}楂[213]□{捞}[35]炸榨诈
tsʰ[31]叉杈差车{旧}[44]茶查{检~}[35]岔
s[31]沙纱砂赊傻[44]蛇[213]社{~庙}[35]舍{茅草棚}晒
k[31]家{大~}加痂嘉瓜枷{连~}[213]假{真~}贾{姓~}[35]架价驾嫁
kʰ[31]剐[44]枷{木头~}蛤{~蟆}[213]□{大拇指和食指张开的距离}[35]胯跨
ŋ[31]桠鸦阿{~胶}[44]牙芽衙[213]哑瓦[35]□{使劲地填塞}
x[31]花虾[213]下{底~}[35]化下{~棋}[22]夏下{一~}哈{语气词，表请求}
∅[35]哦{语气词，表惊讶}[22]哦{叹词，表应答}

#io
tɕ[31]家{国~}[213]假{放~}[35]稼□{好，出色}
ɕ[44]霞遐瑕
∅[213]雅[35]亚哟{语气词，表惊讶}

#ɔ
p[31]班斑扳颁般搬[213]板版摆[35]拜扮绊伯2
pʰ[31]攀[44]排牌[213]伴2拌2[35]派判叛[22]败
m[44]埋哞{牛叫声}□{踩}蛮[213]买晚{~娘：继母}[35]迈[22]卖慢曼漫蔓幔
f[31]番翻藩帆欢[44]凡矾烦怀淮槐繁桓环{~节}华铧哗[213]反返缓[35]贩1焕泛幻乏[22]饭贩2坏{破~}话{电~}唤患范犯宦
v[31]弯湾{台~}歪豌[44]还丸完顽环{门~}[213]宛碗挽晚皖[35]湾{方家~：地名}[22]换万坏{~日子：坏人}
t[31]担{拿}端{~正}丹耽单[213]打胆掸[35]但带担{挑~}旦
tʰ[31]贪摊瘫滩[44]谈痰坛谭潭团弹{~棉花}檀[213]淡毯坦{平~}□{浇，泼}[35]叹炭太态泰探[22]大{~学生}弹{子~}蛋坦{晒场}
n[31]拉[44]兰栏拦蓝篮男南难{困~}銮[213]懒奶{文读}览榄揽缆[35]奶{乳房，乳汁}[22]烂乱那难{灾~}赖癞滥
ts[31]簪□{掷}[213]斩崭盏□{蹦}[35]钻赞
tsʰ[31]参掺餐搀[44]惭谗馋残□{刺儿}[213]产{~量}铲惨赚錾[35]灿铲[22]站暂□{颗粒饱满}
s[31]三山杉衫删珊闩栓拴[44]□{口~：口水}[213]伞散{~漫}产{~妇}[35]散{分~}
k[31]干{~燥}肝竿甘柑泔间{房~}街奸艰监尴[213]敢橄赶杆感减碱拣简柬解{~鞋带}裥[35]干{~革命}介界疥芥尬戒间{~苗}解{锯开}解{~押}
kʰ[31]揩刊堪龛铅□{坛子}[213]卡砍槛楷[35]看瞰
ŋ[31]安鞍按[44]岩癌颜崖[213]矮眼[35]晏[22]岸雁
x[31]憨酣[44]寒鞋闲含韩函涵咸[213]喊蟹□{蹦跳}旱[35]汉[22]汗憾撼馅陷限
∅[213]我{白读}

#iɔ
tɕ[31]阶遮皆佳[213]姐者解{~放}[35]借蔗械届债诫□{产妇~：生孩子时亲友送的礼}
tɕʰ[31]车{汽~}[44]茄邪[213]扯且[35]斜[22]谢{感~}□{一~风：一阵风}
ȵ[213]惹[35]□{裂开}[22]□{嚼}
ɕ[31]筛佘奢靴[44]谐偕柴[213]写舍{~不得}[35]卸泻舍{宿~}泄懈[22]射社{公~}谢{姓}麝
∅[31]□{歪斜}[44]爷耶[213]野[22]夜

#uɔ
k[31]关官棺观{~察}乖冠{鸡~}鳏[213]管馆拐[35]怪惯贯罐灌观{道~}冠{~军}
kʰ[31]宽[44]环{~刀：半月形的刀}[213]掼款[35]快筷[22]□{提}

#ɵ
p[31]波坡1玻菠[35]簸
pʰ[31]坡2[44]婆[35]破
m[31]□{抚摸}[44]模磨{~刀}蘑谟魔摹摩馍[213]母拇亩牡□{估量}[22]磨{~豆腐}磨{名词}
t[31]多都{~去}[213]朵躲[35]剁
tʰ[31]拖[44]驼驮[213]舵妥椭惰[22]大{~姐}
n[44]罗箩萝锣挪骡螺揉[213]裸[35]□{小孩称狗，当地俗写为“门”字里加“犬”字}[22]糯
ts[213]左佐[35]做喌{唤鸡声}
tsʰ[31]搓[44]锉[213]坐座[35]错措锉
s[31]搜梭唆蓑[213]锁琐所
k[31]哥歌锅戈过{~期}[213]果裹馃{菜饼}[35]过{经~}个
kʰ[31]棵颗科窠[213]可[35]课
ŋ[44]俄鹅蛾讹[213]我{文读}[22]饿卧
x[31]□{唤鸡狗等}[44]和禾何荷河[213]火伙[35]货[22]贺祸
∅[31]屙[213]□{伙同，簇拥}}[35]□{起哄}[22]话{讲~}□{掺}

#iɵ
tɕ[31]纠鸠[213]九久灸
∅[31]尤优忧[44]由邮油游犹悠[213]友2[22]又右佑

#ɤ
p[31]包胞抱苞[213]宝饱保堡[35]豹报□{反弹}
pʰ[31]抛脬[44]跑袍[35]炮泡{动词}[22]暴爆
m[31]猫[44]毛茅矛[213]卯铆[35]□{食物烂熟}□{三斤~：只有三斤}[22]冒帽貌
t[31]刀叨[213]倒{打~}岛捣[35]到倒{~水}
tʰ[31]掏[44]桃逃滔涛萄陶淘焘[213]讨稻[35]套[22]盗道导
n[31]捞[44]劳痨牢唠[213]老佬脑恼耳{~朵}[22]闹涝
ts[31]糟遭笊[213]早枣蚤澡爪找[35]灶罩
tsʰ[31]抄钞操{做~}□{锯：~树；~胡琴：拉二胡}[44]曹槽剿1巢嘈[213]吵炒草皂[35]糙燥1躁操{曹~}□{手乱动}□{撬}[22]造
s[31]骚搔臊[213]嫂[35]扫嗽燥2叔2
k[31]高篙膏羔糕交{~椅}铰1茭[213]搞稿[35]告窖教{~书}酵觉{困~：睡觉}
kʰ[31]敲□{煮}[213]考烤拷[35]靠犒[22]□{十字~：十字架}
ŋ[31]铰2[44]熬[213]咬袄[35]奥澳坳[22]傲
x[31]喝蒿[44]豪毫嚎壕[213]好{~坏}[35]好{爱~}耗孝{戴~}[22]号浩

#ie
p[31]标彪膘□{瞥}[213]表婊裱[35]嫑{“不要”的合音}
pʰ[31]飘漂{漂浮}[44]瓢嫖[213]漂{~白}[35]票漂{~亮}俵{分发：~糖}
m[44]苗描[213]秒杪渺藐[35]□{用水浇}[22]庙妙
t[31]刁叼凋雕碉貂□{砍：~树桠}[213]鸟{男阴}[35]吊调{~动}钓
tʰ[31]挑[44]条调{~和}调{~查}□{瘸}[213]条{一~烟}□{舒服地躺着}[35]跳[22]铫调{音~}
tɕ[31]交郊胶焦蕉召招昭骄娇浇朝{今~}[213]绞狡搅剿2沼矫缴侥较[35]叫教{~育}校{~对}照诏□{哨子}
tɕʰ[31]超锹[44]朝{~向}朝{祖父}潮乔桥荞侨樵瞧小{学生~：学生}[213]巧[35]翘窍俏[22]赵邵轿
ȵ[44]辽疗燎撩聊寥饶桡了{知~}[213]了{不得~}鸟绕扰[22]料
ɕ[31]肖消销捎稍梢硝嚣烧枵霄宵萧箫[44]韶小{~家：男孩}[213]小{大~}少{多~}晓筱淆[35]笑孝鞘少{~年}[22]绍效校{学~}
∅[31]腰邀妖幺{~二三}[44]姚摇谣窑舀肴[213]有杳[35]要[22]跃耀鹞

#ui
k[31]龟规归硅闺[213]鬼诡轨[35]桂贵瑰
kʰ[31]亏窥[44]逵葵癸魁[213]跪[35]愧溃[22]柜

#ɑ̃
p[31]奔畚[44]□{“不曾”的合音}[213]本[35]半
pʰ[44]盘盆朋棚蓬篷彭膨澎烹[213]捧伴2拌2[35]碰喷□{闻，嗅}[22]笨
m[44]门们蒙蚊{~虫：蚊子}朦潆萌明{~朝：明天}馒瞒[213]满猛懵[35]□{小孩说睡}[22]闷孟梦
f[31]风枫疯分芬纷荤封峰锋蜂丰昏婚浑[44]红鸿焚坟洪馄魂{灵~}冯逢缝{~衣服}弘虹[213]粉讽[35]粪奋忿愤□{嗅}[22]份混奉俸缝{一条~}
v[31]温瘟翁[44]文纹蚊{~蝇}闻魂[213]稳吻刎[22]问
t[31]东登灯敦墩驐{阉割}冬[213]董懂短等1{~一下}[35]邓吨顿炖栋钝冻
tʰ[31]吞通□{火~：烘篮}[44]同铜桐筒屯饨沌盹臀囤腾童曈[213]桶动断捅统[35]痛疼褫[22]段锻缎洞盾遁
n[44]龙聋农浓侬伦轮沦能隆窿[213]暖拢陇垅卵[35]□{软弱无能}[22]弄脓
ts[31]中{当~}衷宗踪棕忠终鬃争筝睁曾{姓}增憎赠尊樽舂[213]总肿冢蹲种{~子}[35]种{~田}粽纵众中{打~}
tsʰ[31]冲匆葱充村聪薤囱[44]松{~树}虫从丛存重{~复}层崇曾{~经}[213]重{~量}忖宠[35]寸铳肘仲1□{往里推}[22]仲2
s[31]生牲{牺~}松{放~}森参{人~}嵩僧笙孙酸[44]㞞{精液}[213]损搡怂省{~长}[35]送诵颂讼宋算蒜曾{不~：未}
k[31]根跟[213]耿粳梗{桔~}□{口儿朝下覆盖}[35]更{~加}
kʰ[213]肯垦恳[35]坎
ŋ[31]恩掩[213]音[35]暗
x[44]恒衡痕衔[213]很狠[35]□{给}[22]恨
∅[44]□{语气词，表询问}[22]□{叹词，表应答}

#iɑ̃
p[31]兵宾槟滨冰彬斌[213]饼丙秉禀[35]柄并
pʰ[31]拚拼[44]平苹萍评坪凭贫频[213]品[35]聘[22]病
m[44]民名铭鸣明{光~}[213]敏皿闵闽悯□{强咽}[22]命璺
t[31]丁钉疗叮[213]顶鼎等2{~一下}[35]订淀凳
tʰ[31]厅[44]亭停婷廷庭蜓誊藤[213]挺艇[35]听[22]定
tɕ[31]斤京鲸惊今巾津筋荆晶精睛腈茎经征径金襟正{~月}真煎针臻珍榛斟[213]紧仅井阱枕锦疹诊谨景警整颈拯□{渗}[35]进竟境镜正{端~}政振震敬浸劲镇晋禁证症
tɕʰ[31]称{动词}亲侵轻皴青清蜻卿[44]寻芹勤陈承丞呈程逞成城诚尘晴情乘{加减~除}秦琴岑晨臣沉禽擒擒[213]请近蕈[35]庆称{对~}秤磬衬趁[22]尽阵郑净静
ȵ[31]拎[44]零铃玲伶邻瓴翎吟灵宁鳞林淋琳仍银迎临陵凌菱凝人{新~：新娘}龄[213]领岭忍{白读}[22]认另令
ɕ[31]辛新薪心深身申伸{文读}娠欣升兴{复~}些声馨星腥[44]行{~不~,品~}辰{时~}神绳形刑型塍[213]醒笋榫省{反~}审婶[35]信圣幸胜盛渗兴{高~}擤□{长，高}
∅[31]阴荫音殷因姻英婴樱缨鹦□{凹}应{~该}鹰莺[44]人{~民}仁任{姓}赢赢瀛蝇寅壬萤荧荥盈[213]影隐瘾引饮尹颖颍淫忍{~耐}[35]印应{答~}[22]孕1任{责~}

#uɑ̃
k[31]工公{夫之父}蚣恭功攻弓躬宫供{养：~猪}跟{~斗：跟头}[44]公{老年男子}[213]滚巩拱[35]棍贡供{~应}
kʰ[31]空昆坤[213]恐孔捆[35]困空{亏~}控[22]共

#yɑ̃
tɕ[31]军君均钧盹[213]准窘迥炯[35]峻俊
tɕʰ[31]春椿伸{白读}[44]穷琼唇纯{文读}群裙醇[213]蠢郡菌顷倾苘喘{气~}[35]□{拱：猪~门}拳
ȵ[35]□{脱臼}
ɕ[31]兄凶汹勋熏薰胸[44]雄旬荀熊纯{白读}巡循驯[35]训舜瞬讯[22]顺
∅[44]云芸荣容溶熔蓉榕戎绒融嵘庸茸匀营耘[213]允永泳咏甬涌拥恿踊俑勇冗[35]闰润熨韵[22]运用晕孕2

#õ
p[31]邦帮梆[213]榜绑膀浜蒡[35]棒谤蚌傍泵磅
pʰ[44]旁滂螃膀庞彷[35]胖[22]塝{田边土坡}
m[44]亡忙芒茫忘盲[213]网[22]望妄
t[31]当{~兵}裆铛[213]党挡□{坑，当地俗写为土字旁加“党”}[35]当{~铺}档□{搀扶}
tʰ[31]汤[44]堂膛棠螳唐糖塘搪[213]倘躺傥盪{洗}[35]烫趟[22]荡
n[44]狼郎廊榔螂囊[213]朗[22]浪晾
ts[31]庄桩装章樟彰蟑獐妆赃脏[35]障瘴壮葬藏{宝~}
tsʰ[31]仓沧苍疮窗舱[44]藏{西~}□{撞}[213]闯□{摞}[35]创□{试}[22]状撞脏{心~}
s[31]双霜孀桑丧{嚎~：哭丧}[44]床[213]爽嗓磉[35]丧{~失}
k[31]光江冈刚{~强}钢纲岗{井~山}缸肛[213]讲广港[35]杠降1{~低}岗{山岭}虹
kʰ[31]康糠慷匡眶筐框[35]抗囥{放，藏}况旷矿
ŋ[44]昂
x[31]方芳肪荒慌坊肓[44]房防肪杭航行{银~}黄{~山}皇{~帝}磺潢凰[213]纺访妨仿谎[35]放[22]项巷笐{~竿：晒衣服用的竹竿}
∅[31]汪[44]王黄{~色}皇{蜂~浆}簧蟆[213]往枉晃[35]瓮[22]旺

#iõ
tɕ[31]张浆将{~来}疆僵磕缰姜刚{~好}[213]长{生~}涨奖桨蒋掌[35]降2{~低}酱将{大~}帐账胀仗杖
tɕʰ[31]昌枪羌腔[44]强墙长{~短}场肠祥详1{~细}常嫦尝{文读}偿蔷樯[213]厂抢丈强{勉~}像[35]唱倡畅[22]象{大~}像橡匠犟
ȵ[44]良娘{母亲}粮量{测~}梁粱凉穰{草~：稻草}[213]两辆俩嚷攘壤仰[35]娘{老年妇女}[22]亮谅让酿量{数~}
ɕ[31]香相{互~}箱厢湘乡襄镶商墒伤[44]裳尝{白读}详2{~细}[213]想上{~山}响饷晌享赏[35]向相{照~}尚{高~}[22]上{~头}
∅[31]央秧殃[44]羊洋烊阳杨扬疡瓤[213]养痒[35]映[22]样□{~牛：放牛}

#ẽ
∅[44]儿{~童}[213]而尔耳[22]二贰

#ẽi
p[31]边鞭编□{跌，摔}[213]扁匾贬[35]变遍
pʰ[31]偏篇[44]便1{~宜}[213]辫辨辩[35]骗片[22]便{方~}汴□{牛以角抵人}
m[44]棉绵眠[213]免勉娩冕缅渑美2□{捻}[35]□{小，弱}[22]面
f[44]宏
v[44]横[35]□{抠}[22]□{两头不平衡}
t[31]颠巅□{跺}[213]点典[35]店钝{猛拉}
tʰ[31]天添填[44]田甜恬[213]簟[35]踮添[22]电垫佃殿奠
n[31]□{舔}[44]连莲联怜廉镰鲇鲢[213]脸冷敛[22]炼练殓楝
ts[31]争{相~：争吵}尖[213]展剪
tsʰ[31]千迁撑[44]前钱[213]浅践潜[35]□{戗，支撑}[22]贱渐
s[31]生{学~}先仙甥鲜{新~}[213]省{节~}[35]线
k[31]耕更{打~}庚羹□{钻，窜}[213]哽
kʰ[31]坑[213]□{揍}
ŋ[213]蚁□{揍}[22]硬
x[31]亨[44]行{走}[213]杏

#iẽi
tɕ[31]煎□{掀，撕}歼兼肩坚[213]笕趼检俭[35]剑建键键见荐
tɕʰ[31]谦签牵[44]钳乾虔[35]欠歉[22]件健腱
ȵ[44]年粘□{碰}严俨言{白读}然{不~}[213]碾染研[22]念验
ɕ[31]掀[44]贤嫌舷{边~：旁边}[213]险显癣[35]献宪[22]县现
∅[31]烟淹阉□{撒灰等覆盖}[44]沿盐炎延檐燃然{突~}言{文读}[213]演靥[35]厌燕堰[22]砚艳焰谚彦

#uẽi
k[213]梗

#yẽi
tɕ[31]专砖沾绢捐涓鹃镌娟瞻[213]卷{~尺}转{~弯}[35]券占转{旋~}战眷卷{考~}倦
tɕʰ[31]川穿圈[44]全痊诠权泉船传{宣~}拳椽颧蝉□{押韵}[213]犬喘□{胡搅蛮缠}[35]劝串[22]转{散步，踱步}旋{头发~}传{~记}篆
ȵ[213]软
ɕ[31]宜喧擅轩鲜{味美}[44]旋{凯~}镟玄弦悬[213]选吮鳝[35]扇楦[22]善膳
∅[31]渊冤鸳[44]元园圆员原源袁辕猿援媛缘[213]远[35]怨苑[22]院愿

#iaʔ
p[32]鳖瘪
pʰ[32]别撇劈1
m[32]灭蔑篾
t[32]跌迭叠
tʰ[32]铁贴帖蝶碟谍牒
tɕ[32]接结洁节捷劫责浙1揭截
tɕʰ[32]杰切坼{缝儿}泽择妾彻拆撤辙宅策册
ȵ[32]热捏聂猎镊蹑列烈裂劣业孽
ɕ[32]雪歇蝎楔塞摄涉协设色
∅[32]叶页靥□{~鱼：杀鱼}

#yaʔ
tɕ[32]决绝1哲浙2折
tɕʰ[32]诀缺舌绝2

#oʔ
p[32]钵拨剥博驳
pʰ[32]泼朴□{严厉}璞勃薄泊雹
m[32]没{沉~}末抹沫莫摸寞
t[32]拓{淋雨}□{放}□{一~痰：一口痰}
tʰ[32]托铎
n[32]落洛络烙诺乐□{按压}
ts[32]斫捉桌卓浊作琢啄
tsʰ[32]戮凿昨镯触
s[32]索勺芍
k[32]角各阁搁郭
kʰ[32]确壳榷{敲}廓扩
ŋ[32]恶岳
x[32]获学{中~}鹤霍□{捆}□{呛}

#yoʔ
tɕ[32]脚着{穿}雀1
tɕʰ[32]着{助词}灼绰鹊雀2
ȵ[32]略掠弱
ɕ[32]学{化~}削
∅[32]药约若乐

#ɔʔ
p[32]八百伯1柏叭
pʰ[32]白拔
m[32]袜□{掰}
f[32]发法罚伐筏
v[32]活挖握滑猾
t[32]答搭□{摔，扔}
tʰ[32]达沓踏塌榻漏塔脱{用于动词后表结果}□{槛~：窗户}
n[32]辣纳腊蜡捺□{捋}
ts[32]扎札铡闸摘
tsʰ[32]杂察擦插獭
s[32]杀撒煞萨刷煠{~饭：泡饭}
k[32]革格隔割眨夹甲轧葛{~藤}
kʰ[32]客恰掐□{压}
ŋ[32]鸭押压额扼轭
x[32]吓盒狭峡匣瞎辖

#uɔʔ
k[32]刮
kʰ[32]括阔

#ɤʔ
p[32]不北
pʰ[32]卜扑朴1
m[32]木物{~事：东西}目没墨牧穆
f[32]佛拂1伏{埋~}服福忽幅蝠复腹覆
v[32]物{事~}屋拂2
t[32]得德督笃□{底}□{轻击}□{用缝纫机缝}
tʰ[32]毒独突脱{~鞋}读犊夺特{奇~}秃凸
n[32]六录禄绿陆鹿碌□{碾压}
ts[32]竹粥祝筑足卒烛嘱□{吮吸}
tsʰ[32]贼出茁族簇撮畜逐促
s[32]宿缩叔1菽淑粟熟孰束速肃属俗续赎蜀
k[32]鸽葛{姓}□{合伙}
kʰ[32]克刻磕嗑瞌叩渴
ŋ[32]□{摇}□{沤}拗{折断}
x[32]黑喝{文读}合核□{量词，粒}

#uɤʔ
k[32]国谷骨
kʰ[32]哭窿酷

#ieʔ
p[32]逼笔必毕弼碧璧壁笔
pʰ[32]匹僻辟劈2匹{女阴}
m[32]密蜜默
t[32]的滴嫡狄
tʰ[32]踢剔笛敌特{~务}
tɕ[32]只织积帜职急级迹绩吉桔{~梗}执汁即鲫寂籍藉脊瘠给{供~}击戟激侧{~过来}
tɕʰ[32]吃七极及吸柒直值殖植缉辑习集湿泣漆侄席赤尺戚
ȵ[32]日力立粒笠历沥栗溧律逆
ɕ[32]十什夕锡适释石拾失息熄媳虱实析袭悉膝识饰式昔惜
∅[32]一壹益溢揖入亦抑弋逸译驿绎液腋乙

#yeʔ
tɕ[32]菊桔{~子}
tɕʰ[32]曲屈局
ȵ[32]肉
ɕ[32]术述蓄
∅[32]育域辱

#m̩
∅[44]母{母亲}[213]母{公~}

#n̩
∅[44]儿[213]尔{你}耳{~朵}[22]尔{这}二贰
