id	ini	fn	pt	单字	IPA	注释、
174	tʃʰ	ei	213	車	tʃʰei213	火车
175	tʃʰ	ei	35	扯	tʃʰei35	拉扯
176	ʃ	ei	21	蛇	ʃei21	毒蛇
177	ʃ	ei	22	射	ʃei22	发射
178	ʃ	ei	22	麝	ʃei22	麝香
179	ʃ	ei	213	奢	ʃei213	奢侈
180	tʃʰ	ei	213	賒	tʃʰei213	赊帐
181	ʃ	ei	35	捨	ʃei35	舍得，舍弃
182	ʃ	ei	33	赦	ʃei33	赦免
183	ʃ	ei	33	舍	ʃei33	宿舍
185	ʃ	ei	33	社	ʃei33	公社
186		iei	35	惹	iei35	招惹
187		iei	21	耶	iei21	耶酥
188		iei	21	爺	iei21	爷爷
189		iei	21	椰	iei21	椰子
190		ia	33	也	ia33	也是
191		iei	213	野	iei213	野兔
192		iei	22	夜	iei22	夜晚
193	ʃ	ɔ	22	傻	ʃɔ22	傻瓜
194	ʃ	a	35	耍	ʃa35	玩耍
195	k	ua	213	瓜	kua213	西瓜
196		uɔ	213	蝸	uɔ213	蜗牛
197	k	ua	35	寡	kua35	寡妇
198	k	ua	35	剮	kua35	千刀万剐
199	kʰ	ua	213	誇	kʰua213	夸奖；夸张
200	kʰ	ua	213	垮	kʰua213	垮台
201	kʰ	ua	213	跨	kʰua213	跨度
202	ŋ	a	33	瓦	ŋa33	瓦片
203	f	a	213	花	fa213	开花
204	f	a	33	化	fa33	变化
205		ua	21	華	ua21	华山
206		uat	022	劃	uat2	划船
207		ua	21	華	ua21	中华
208		ua	213	蛙	ua213	青蛙
209		ua	213	窪	ua213	低洼
210	p	u	35	補	pu35	补衣服
211	pʰ	u	35	譜	pʰu35	族谱
212	p	u	33	布	pu33	布匹，一块布
213	p	u	33	佈	pu33	布置；公布
214	pʰ	u	213	鋪	pʰu213	铺设
215	pʰ	u	35	普	pʰu35	普通
216	pʰ	u	35	浦	pʰu35	浦江
217	pʰ	u	33	鋪	pʰu33	店铺
218	p	u	33	怖	pu33	恐怖
219	pʰ	u	21	蒲	pʰu21	蒲团
220	pʰ	u	21	菩	pʰu21	菩萨
222	pʰ	u	21	葡	pʰu21	葡萄
223	p	u	22	部	pu22	部队
224	p	u	22	簿	pu22	帐簿
225	p	u	22	步	pu22	跑步
226	p	u	22	捕	pu22	捕捉；捕快
227	f	ɐu	22	埠	fɐu22	埠头
228	m	ɔ	21	模	mɔ21	模范
229	m	ɔ	21	模	mɔ21	模型
230	m	ɔ	21	摹	mɔ21	摹仿
231	m	u	22	墓	mu22	坟墓
232	m	u	22	暮	mu22	日暮
233	m	u	22	慕	mu22	羡慕
234	m	u	22	募	mu22	募捐
235	t	ɐu	213	都	tɐu213	都是
236	t	ɐu	213	都	tɐu213	首都
237	t	ɐu	35	堵	tɐu35	堵车
238	t	ɐu	35	賭	tɐu35	赌博
239	t	ɐu	35	肚	tɐu35	猪肚（胃），鱼肚
240	t	ɐu	22	妒	tɐu22	妒忌
241	tʰ	ɐu	35	土	tʰɐu35	土地
242	tʰ	ɐu	33	吐	tʰɐu33	呕吐
243	tʰ	ɐu	33	吐	tʰɐu33	吐痰
244	tʰ	ɐu	33	兔	tʰɐu33	兔子
245	tʰ	ɐu	21	徒	tʰɐu21	徒弟
246	tʰ	ɐu	21	屠	tʰɐu21	屠杀
247	tʰ	ɐu	21	途	tʰɐu21	前途
248	tʰ	ɐu	21	塗	tʰɐu21	泥涂，涂改
249	tʰ	ɐu	21	圖	tʰɐu21	地图
250	t	ɐu	22	杜	tɐu22	杜仲；姓
251	t	ɐu	35	肚	tɐu35	肚子，肚脐
252	t	ɐu	22	度	tɐu22	忖度，度长
253	t	ɐu	22	渡	tɐu22	偷渡
254	t	ɐu	22	鍍	tɐu22	电镀
255	l	ɐu	21	奴	lɐu21	奴隶
256	l	ɐu	35	努	lɐu35	努力
257	l	ɐu	213	怒	lɐu213	发怒
258	l	ɐu	21	盧	lɐu21	姓卢
259	l	ɐu	21	爐	lɐu21	炉子
260	l	ɐu	21	蘆	lɐu21	芦苇
261	l	ɐu	35	魯	lɐu35	鲁迅
262	l	ɐu	35	櫓	lɐu35	摇船的工具
264	l	ɐu	35	滷	lɐu35	卤水
265	l	ɐu	22	路	lɐu22	马路
266	l	œk	022	賂	lœk2	贿赂
267	l	ɐu	22	露	lɐu22	露水
268	l	ɐu	22	鷺	lɐu22	白鹭
269	tʃ	ɐu	213	租	tʃɐu213	房租
270	tʃ	ɐu	35	祖	tʃɐu35	祖国
271	tʃ	ɐu	35	組	tʃɐu35	组长
272	tʃ	ɐu	22	做	tʃɐu22	做饭
273	tʃʰ	ɐu	213	粗	tʃʰɐu213	粗心
274	tʃʰ	ɐu	33	醋	tʃʰɐu33	吃醋
275	tʃʰ	ɐu	33	措	tʃʰɐu33	措施
276	tʃʰ	ɔ	33	錯	tʃʰɔ33	错误
277	ʃ	ɐu	213	蘇	ʃɐu213	苏州
278	ʃ	ɐu	213	酥	ʃɐu213	酥油，酥饼
279	ʃ	ɐu	33	素	ʃɐu33	吃素；朴素
280	ʃ	ɐu	33	訴	ʃɐu33	告诉
281	ʃ	œk	033	塑	ʃœk3	塑像
282	k	u	213	姑	ku213	姑娘
283	k	u	213	孤	ku213	孤独
284	kʰ	u	213	箍	kʰu213	紧箍咒
285	k	u	213	辜	ku213	无辜，辜负
286	k	u	35	古	ku35	古代
287	k	u	35	估	ku35	估计
288	k	u	35	牯	ku35	牛牯
289	k	u	35	股	ku35	股票
290	k	u	35	鼓	ku35	鼓励
291	k	u	35	蠱	ku35	蛊惑；整蛊
292	k	u	33	故	ku33	故事
293	k	u	33	固	ku33	固定
294	k	u	33	雇	ku33	雇主
295	k	u	33	顧	ku33	照顾
296	k	u	213	枯	ku213	枯萎
297	f	u	35	苦	fu35	吃苦
298	f	u	33	庫	fu33	水库
299	f	u	33	褲	fu33	裤子
300		m̩	21	吴	m̩21	姓
301		m̩	21	蜈	m̩21	蜈蚣
302		m̩	21	梧	m̩21	梧桐
303		m̩	35	五	m̩35	第五
304		m̩	35	伍	m̩35	队伍
305		m̩	33	午	m̩33	中午
306		m̩	22	誤	m̩22	错误
307		m̩	21	悟	m̩21	孙悟空
308	f	u	213	呼	fu213	呼吸
309	f	u	35	虎	fu35	老虎
310	f	u	35	滸	fu35	水浒传
311	f	ui	33	戽	fui33	戽水
312		u	21	胡	u21	二胡；姓
313		u	21	湖	u21	太湖
314		u	21	狐	u21	狐狸
315		u	21	壺	u21	水壶
316	f	u	21	乎	fu21	在乎
317		u	21	鬍	u21	胡须
318		u	21	葫	u21	葫芦
319		u	21	糊	u21	糊涂
320		u	21	蝴	u21	蝴蝶
321		u	22	户	u22	户口
322		u	21	滬	u21	上海简称
323		u	22	互	u22	互相
324		u	22	護	u22	保护
325		u	213	烏	u213	乌鸦
326		u	213	污	u213	污染
327		u	213	塢	u213	船坞
328		œk	033	惡	œk3	可恶
329	l	ɔy	33	女	lɔy33	女儿
330	l	ou	21	廬	lou21	庐山
331	l	ɔy	21	驢	lɔy21	毛驴
332	l	ɔy	33	吕	lɔy33	姓
333	l	ɔy	33	旅	lɔy33	旅游
334	l	ɔy	22	慮	lɔy22	考虑
335	l	ɔy	22	濾	lɔy22	过滤
338	tʃʰ	ɔy	21	徐	tʃʰɔy21	姓
339	tʃ	ɔy	22	序	tʃɔy22	秩序
340	tʃ	ɔy	22	叙	tʃɔy22	叙述
341	tʃ	ɔy	22	緒	tʃɔy22	情绪；光绪
342	tʃ	y	213	豬	tʃy213	猪肉
343	tʃ	y	33	著	tʃy33	著名
344	tʃʰ	ɔy	21	除	tʃʰɔy21	除法
345	tʃʰ	y	33	儲	tʃʰy33	储蓄
346	tʃ	y	33	苧	tʃy33	苎麻
348	tʃ	ɔ	35	阻	tʃɔ35	阻力
349	tʃʰ	ɔ	213	初	tʃʰɔ213	初中
350	tʃʰ	ɔ	35	楚	tʃʰɔ35	清楚
351	tʃʰ	ɔ	35	礎	tʃʰɔ35	基础
352	tʃʰ	ɔ	21	鋤	tʃʰɔ21	锄头
353	tʃ	ɔ	22	助	tʃɔ22	帮助
354	ʃ	ɔ	213	梳	ʃɔ213	梳头
355	ʃ	ɔ	213	疏	ʃɔ213	疏远
356	ʃ	ɔ	213	蔬	ʃɔ213	蔬菜
357	ʃ	ɔ	35	所	ʃɔ35	所以
358	ʃ	ɔ	213	疏	ʃɔ213	注疏
359	tʃ	y	213	諸	tʃy213	诸葛亮
360	tʃ	y	35	煮	tʃy35	煮饭
361	tʃʰ	y	33	處	tʃʰy33	处理
362	tʃʰ	y	33	處	tʃʰy33	处所
363	ʃ	y	213	書	ʃy213	书本
364	ʃ	y	213	舒	ʃy213	舒服
365	ʃ	y	35	暑	ʃy35	暑假
366	ʃ	y	35	鼠	ʃy35	老鼠
367	ʃ	y	33	庶	ʃy33	庶民
368	ʃ	y	33	恕	ʃy33	饶恕
369	ʃ	ɔy	22	墅	ʃɔy22	别墅
370	ʃ	y	35	署	ʃy35	署名；专署
371	ʃ	y	21	薯	ʃy21	番薯
372		y	21	如	y21	如果
373	k	ɔy	213	居	kɔy213	居民
374	k	ɔy	213	車	kɔy213	车马炮
375	k	ɔy	35	舉	kɔy35	举报
376	k	ɔy	33	據	kɔy33	收据
377	k	œy	33	鋸	kœy33	电锯
378	h	ɔy	213	墟	hɔy213	废墟
379	h	ɔy	33	去	hɔy33	来去
380	kʰ	ɔy	21	渠	kʰɔy21	水渠
381	k	y	33	佢	ky33	他；她；它
382	k	ɔy	22	巨	kɔy22	巨大
383	kʰ	ɔy	33	拒	kʰɔy33	拒绝
384	kʰ	ɔy	33	距	kʰɔy33	距离
385		y	21	魚	y21	金鱼
386		y	21	漁	y21	渔业；渔场
387		y	33	語	y33	语文
388		y	22	御	y22	御用
389		y	22	禦	y22	驾御，防御
390	h	ɔy	213	虚	hɔy213	虚心
391	h	ɔy	213	嘘	hɔy213	吹嘘
392	h	ɔy	35	許	hɔy35	许多
393		y	213	於	y213	在于
394		y	213	淤	y213	淤泥
395		y	21	余	y21	姓
396		y	21	餘	y21	多余
397		y	22	與	y22	给与；参与
398		y	22	譽	y22	荣誉
399		y	22	預	y22	预备
400		y	21	豫	y21	犹豫
401	f	u	213	夫	fu213	夫妻
402	f	u	213	膚	fu213	皮肤
403	f	u	35	府	fu35	广府
404	f	u	35	腑	fu35	五脏六腑
405	f	u	35	俯	fu35	俯视
406	pʰ	u	35	甫	pʰu35	杜甫
407	pʰ	u	35	脯	pʰu35	杏脯
408	f	u	35	斧	fu35	斧头
409	f	u	22	付	fu22	应付
410	f	u	22	賦	fu22	天赋
411	f	u	22	傅	fu22	姓
412	f	u	22	咐	fu22	吩咐
413	f	u	213	敷	fu213	敷药
414	f	u	35	俘	fu35	俘虏
415	p	u	22	孵	pu22	孵小鸡
416	f	u	213	麩	fu213	麦麸
417	f	u	35	撫	fu35	抚养
418	f	u	22	赴	fu22	奔赴；赴汤蹈火
419	f	u	21	符	fu21	符合
420	f	u	21	扶	fu21	扶手
421	f	u	22	芙	fu22	芙蓉
422	f	u	22	父	fu22	父亲
423	f	u	22	腐	fu22	豆腐
424	f	u	22	輔	fu22	辅助
425	f	u	22	附	fu22	附近
426	m	ou	21	無	mou21	没有；无中生有
427		u	213	巫	u213	巫婆
428		u	213	誣	u213	诬告
429	m	u	33	武	mu33	武力
430	m	u	33	舞	mu33	跳舞
431	m	u	33	侮	mu33	侮辱
432	m	u	33	鵡	mu33	鹦鹉
433	m	u	22	務	mu22	任务
434	m	u	22	霧	mu22	大雾
435	l	ɔy	33	屢	lɔy33	屡教不改
436	tʃʰ	ɔy	213	趨	tʃʰɔy213	趋势
437	tʃʰ	ɔy	35	取	tʃʰɔy35	取得
438	tʃʰ	ɔy	35	娶	tʃʰɔy35	嫁娶
439	tʃʰ	ɔy	33	趣	tʃʰɔy33	兴趣
440	tʃ	ɔy	22	聚	tʃɔy22	聚会
441	ʃ	ɔy	213	須	ʃɔy213	必须
442	ʃ	ɐu	213	鬚	ʃɐu213	胡须
443	ʃ	ɔy	213	需	ʃɔy213	需要
444	tʃ	ok	022	續	tʃok2	继续
445	tʃ	y	213	誅	tʃy213	天诛地灭
446	tʃ	y	213	蛛	tʃy213	蜘蛛
447	tʃ	y	213	株	tʃy213	守株待兔
448	tʃ	y	33	駐	tʃy33	驻扎
449	tʃ	y	33	註	tʃy33	注释
450	tʃʰ	y	21	厨	tʃʰy21	厨房
451	tʃ	y	33	柱	tʃy33	柱子
452	tʃ	y	22	住	tʃy22	住宿
454	ʃ	ɐu	35	數	ʃɐu35	数星星
455	ʃ	ɐu	33	數	ʃɐu33	数学
456	tʃ	y	213	朱	tʃy213	姓
457	tʃ	y	213	硃	tʃy213	朱砂
458	tʃ	y	213	珠	tʃy213	珍珠
459	tʃ	y	35	主	tʃy35	主人
460	tʃ	y	33	注	tʃy33	注意
461	tʃ	y	33	蛀	tʃy33	虫蛀
462	tʃ	y	33	鑄	tʃy33	铸铁
464	ʃ	y	213	輸	ʃy213	输赢
465	ʃ	y	213	輸	ʃy213	运输
466	ʃ	y	21	殊	ʃy21	特殊
467	ʃ	y	22	豎	ʃy22	横竖
468	ʃ	y	22	樹	ʃy22	树木
469		y	21	儒	y21	儒家
470		y	33	乳	y33	乳房
471	kʰ	ɔy	213	拘	kʰɔy213	拘留
472	kʰ	ɔy	213	俱	kʰɔy213	俱乐部
473	k	ɔy	35	矩	kɔy35	规矩
474	k	ɔy	33	句	kɔy33	句子
475	kʰ	ɔy	213	區	kʰɔy213	地区
476	kʰ	ɔy	213	驅	kʰɔy213	驱动；先驱
477	k	ɔy	22	具	kɔy22	具体；家具
478	k	ɔy	22	懼	kɔy22	恐惧
479		y	21	愚	y21	愚蠢
480		y	21	娱	y21	娱乐
481		y	22	遇	y22	遇见
482		y	22	寓	y22	寓言
483		y	213	迂	y213	迂回
484		y	213	于	y213	姓
485		y	33	雨	y33	下雨
486		y	33	宇	y33	宇宙
487		y	21	禹	y21	大禹
488		y	33	羽	y33	羽毛
489		u	22	芋	u22	芋头
490		y	21	愉	y21	愉快
491		y	22	愈	y22	愈加；病愈
492		y	21	喻	y21	比喻
493		y	22	裕	y22	富裕
494	ŋ	ɔy	21	獃	ŋɔy21	发呆
495	t	ai	33	戴	tai33	戴帽
496	tʰ	ɔy	213	胎	tʰɔy213	双胞胎
497	tʰ	ai	33	態	tʰai33	态度
498	tʰ	ai	33	貸	tʰai33	贷款
499	tʰ	ɔy	21	臺	tʰɔy21	台湾
500	tʰ	ɔy	21	苔	tʰɔy21	青苔
501	tʰ	ɔy	21	抬	tʰɔy21	担抬，两个人抬
502	t	ɔy	22	待	tɔy22	等待
503	t	ɔy	22	怠	tɔy22	怠慢
504	t	ɔy	22	代	tɔy22	代表
505	t	ɔy	22	袋	tɔy22	口袋
506	l	ai	213	乃	lai213	人名用字
507	l	ɔy	22	耐	lɔy22	耐心
508	l	ɔy	21	來	lɔy21	过来
509	tʃ	ɔy	213	災	tʃɔy213	水灾
510	tʃ	ɔy	33	栽	tʃɔy33	栽种
511	tʃ	ɔy	35	宰	tʃɔy35	宰相
512	tʃ	ɔy	33	載	tʃɔy33	满载
513	tʃ	ɔy	33	再	tʃɔy33	再来
514	tʃ	ɔy	33	載	tʃɔy33	年载
515	tʃʰ	ai	213	猜	tʃʰai213	猜谜
516	tʃʰ	ai	35	踩	tʃʰai35	踩死
517	tʃʰ	ɔy	35	彩	tʃʰɔy35	彩色
518	tʃʰ	ɔy	35	採	tʃʰɔy35	采摘；采集
519	tʃʰ	ɔy	35	睬	tʃʰɔy35	理睬
520	tʃʰ	ɔy	33	菜	tʃʰɔy33	青菜
521	tʃʰ	ɔy	21	才	tʃʰɔy21	天才；才气
522	tʃʰ	ɔy	21	材	tʃʰɔy21	材料
523	tʃʰ	ɔy	21	財	tʃʰɔy21	发财
524	tʃʰ	ɔy	21	裁	tʃʰɔy21	裁缝
525	tʃʰ	ɔy	21	纔	tʃʰɔy21	刚才
526	tʃ	ɔy	22	在	tʃɔy22	现在
527	tʃ	ɔy	33	載	tʃɔy33	载重
528	ʃ	ɔy	213	腮	ʃɔy213	腮红
529	ʃ	ɔy	213	鰓	ʃɔy213	鱼鳃
530	ʃ	ɔy	33	賽	ʃɔy33	比赛
531	k	ɔy	213	該	kɔy213	应该
532	k	ɔy	35	改	kɔy35	修改
533	kʰ	ɔy	33	概	kʰɔy33	大概
534	k	ɔy	33	溉	kɔy33	灌溉
535	h	ɔy	213	開	hɔy213	开门
536	h	ɔy	35	凱	hɔy35	凯旋
537	kʰ	ɔy	33	慨	kʰɔy33	感慨
538	kʰ	ɐt	055	咳	kʰɐt5	咳嗽
539	ŋ	ɔy	22	礙	ŋɔy22	妨碍
540	h	ɔy	35	海	hɔy35	大海
541	h	ai	21	孩	hai21	孩子
542	h	ɔy	22	亥	hɔy22	辛亥革命
543		ɔy	213	哀	ɔy213	悲哀
544		ɔy	213	埃	ɔy213	尘埃
545		ɔy	33	愛	ɔy33	喜爱
546	p	ui	33	貝	pui33	宝贝
547	pʰ	ui	33	沛	pʰui33	充沛
548	t	ai	33	帶	tai33	鞋带
549	tʰ	ai	33	太	tʰai33	太阳
550	tʰ	ai	33	泰	tʰai33	泰山
551	t	ai	22	大	tai22	大小
552	l	ɔy	22	奈	lɔy22	无奈
553	l	ai	22	賴	lai22	无赖
554	l	ai	33	癩	lai33	癞头
555	tʃʰ	ɔy	33	蔡	tʃʰɔy33	姓
556	k	ɔy	33	蓋	kɔy33	盖子
557	kʰ	ɔy	33	丐	kʰɔy33	乞丐
558	ŋ	ai	22	艾	ŋai22	艾草
559	h	ɔy	22	害	hɔy22	害人
560		ɔy	35	藹	ɔy35	和蔼
561	p	ai	33	拜	pai33	礼拜；拜佛
562	pʰ	ai	21	排	pʰai21	排队
563	m	ai	21	埋	mai21	埋葬
564	tʃ	ai	213	齋	tʃai213	吃斋
565	tʃʰ	ai	21	豺	tʃʰai21	豺狼
566	k	ai	213	皆	kai213	皆大欢喜
567	k	ai	213	階	kai213	台阶
568	k	ai	33	介	kai33	介绍
569	k	ai	33	界	kai33	世界
570	k	ai	33	芥	kai33	芥菜
571	k	ai	33	尬	kai33	尴尬
572	k	ai	33	疥	kai33	疥疮
573	k	ai	33	届	kai33	应届
574	k	ai	33	戒	kai33	戒指
575	h	ai	213	揩	hai213	揩油
576	kʰ	ai	213	楷	kʰai213	楷书
577	h	ai	21	諧	hai21	和谐
579	h	ai	22	械	hai22	机械
580		ai	213	挨	ai213	挨近
581	p	ai	35	擺	pai35	摇摆
582	pʰ	ai	33	派	pʰai33	派出所
583	pʰ	ai	21	牌	pʰai21	牌坊
584	pʰ	ai	21	箄	pʰai21	竹排
585	p	a	22	罷	pa22	罢工
586	p	ai	213	稗	pai213	稗子
587	m	ai	33	買	mai33	买进
588	m	ai	22	賣	mai22	卖掉
589	l	ai	33	奶	lai33	奶奶
590	tʃ	ai	33	債	tʃai33	还债
591	tʃʰ	a	213	釵	tʃʰa213	宝钗；钗子
592	tʃʰ	ai	213	差	tʃʰai213	出差
593	tʃʰ	ai	21	柴	tʃʰai21	火柴
594	ʃ	ai	213	篩	ʃai213	米筛
595	ʃ	a	35	灑	ʃa35	洒水
596	ʃ	ai	33	曬	ʃai33	晒谷
597	k	ai	213	佳	kai213	佳节
598	k	ai	213	街	kai213	大街
599	k	ai	35	解	kai35	讲解
600	h	ai	22	懈	hai22	松懈
601	ŋ	ai	21	涯	ŋai21	天涯
