"来源："	"高晓慧 2019《山西中阳方言语音研究》；Skanda, Hynuza 整理录入"
"l"	"［2］□{~~地，拟声词，哭的~~的}□{脖子~，指脖子斜}［3］冷-{天~了}［5］□{~塔，指闲聊}落{~在后面了}"
"tɕ"	"［1］耕-{~地}家加嘉佳痂［2］角{牛~}［3］假{~的}姐-{呼称}贾［5］嫁借-{~东西}假{放~}架驾价"
"tɕʰ"	"［1］揢坑-{单念}［2］茄-{~子}［3］卡{鱼刺~住了}［5］□{用两手卡住脖子}"
"ɕ"	"［1］虾［2］侠峡斜-霞邪-［3］写-{~字}些-{这~}［5］夏-{~天}厦{~门}卸-{~下来}下={~水}谢-{~土}"
"Ø"	"［2］爷-{~~}衙涯{天~}丫衙［3］野-{~的}雅也-{~是}［5］夜-{~来}亚={~运会}压={~强}"
"#uᴀ"	""
"tʂ"	"［1］抓{用手~牌}髽{~髻，梳在头顶两旁的发髻}［2］□{拟声词，水滴的~~的}"
"tʂʰ"	"［2］欻{拟声词，走得~~的，形容步伐矫健}"
"ʂ"	"［3］耍"
"k"	"［1］瓜剐刮{~下来}［3］寡剐［5］卦掛□{左~子，左撇子}"
"kʰ"	"［1］夸［3］胯［5］跨垮"
"x"	"［1］花华［2］划{~点一下}铧{农具}［3］滑猾［5］化话华{~山}桦{~树}画"
"Ø"	"［1］挖蛙洼搲{~抓}［2］□{~上一把}［3］瓦［5］忘-□{一~，指特别多}□{~在家里不出门，带有感情色彩}"
"#yᴀ"	""
"tɕ"	"［1］僵-{硬~~的，指僵硬的感觉}"
"tɕʰ"	"［2］瘸-{~腿}□{~~的，拟声词，咳嗽咳的~~的}"
"ɕ"	"［1］靴-{~子}□{~住我了，指赖上了}［2］横-{~放}［5］□{~住不走}"
"#ɤ"	""
"p"	"［1］搬-{~家}菠{~菜}玻{~璃}［3］簸{~一~}跛{~子}［5］半-{一~}簸{~箕}拚{~命}伴-{作~}拌-{~起来}"
"pʰ"	"［1］坡［2］婆盘-{~子}庞-{~家会，地名}［3］□{~上这条命}［5］破判-{~刑}"
"m"	"［2］磨{动词}忙-{~的}魔摩馍蔓{~菁}［3］满-{~了}抹{~油油}［5］磨{名词}漫-{水把路面都漫了}"
"t"	"［2］□{拟声词，形容一个人话多，如这个人~~的}"
"tʰ"	"［5］忑"
"n"	"［3］我{小孩子指称我，当地人称这种现象为咬舌}"
"l"	"［5］乐{名字}"
"tʂ"	"［1］知-{~识}蜘沾遮=粘张-{一~纸}蒸-{~馍馍}［3］长-{~大}涨-{~价}者蔗［5］制-{~造}治-{~病}战-{~斗}占-{~住}致-置-丈-{一~}仗-{打~}账-{算~}胀-{肚~}帐-{~子}智-{~力}正-{~好}"
"tʂʰ"	"［1］称-{~一下}车=［2］池-{~子}持-{支~}肠-{~~}缠-{~线线}长-{~的}［3］厂-{~子}耻-{可~}扯=［5］唱-{~戏}"
"ʂ"	"［1］伤-{受~}声-{嚎上一~}奢腥-{~气}羶{羊~味}［2］蛇=尝-{~一下}绳-{~~}裳-{衣~}窚{~着了，没做的}［5］社=世-{~界}上-{~面}射={~键}麝{~香}势-{~力}赦善-{普~，地名}誓-{发~}扇-{~子}"
"ʐ"	"［2］粘{~牙}瓤-{~~}［3］染-{~颜色}碾惹="
"k"	"［1］歌［3］葛［5］个={~体户}"
"kʰ"	"［1］糠-{~~}［3］可={~以}［5］渴炕-{上~}"
"ŋ"	"［1］屙{~屎}［2］鹅俄［3］我［5］饿"
"x"	"［1］□{指瞎说，如你~了吧}［2］河何荷饸{~饹}［5］鹤"
"Ø"	"［2］鹅={天~}［5］饿={~了吧}"
"#uɤ"	""
"t"	"［1］端-{~午}［3］躲短-{~的}朵［5］断-{~了}惰堕刴锻-{~练}段-{一~}缎-{~子}□{赶走}"
"tʰ"	"［2］团-{~~}砣-{车~，车轮子}陀［3］妥椭{~圆}［5］唾{~沫}砣{铁~}"
"n"	"［3］暖-{~天}［5］糯"
"l"	"［2］骡螺罗啰恋［3］裸［5］乱-{~遭遭}摞-{一~书}"
"tʂ"	"［1］砖-{~头}钻-{~里去}专-{~门}［3］转-{~眼}［5］坐座传-{自~}转-{~圈圈}钻-{~石}撰-{~写}"
"tʂʰ"	"［1］矬穿-{~衣裳}［2］传-{~下来}船-{轮~}［3］喘-{~的不能}［5］错={~过}篡-{~改}串-{一~}窜-{~门子}"
"ʂ"	"［1］酸-{~了}蓑梭［3］所锁琐{~碎}［5］算-{~一下}蒜-"
"ʐ"	"［3］软-{~硬}"
"k"	"［1］官-{当~}锅棺-{~木}光-{~溜溜的}［3］果裹管-{~一下}馆-{~子}馃［5］过灌-{~水}罐-{瓦~}"
"kʰ"	"［1］宽-{~窄}棵颗［5］课嗑{~瓜子}"
"x"	"［1］欢-{~天喜地}［2］黄-{~的}和{~气，~面}簧-{双~}［3］火伙［5］货祸霍换-{~一下}和{~子饭}豁"
