#参考资料	《安徽庐江方言音系》 周元琳
#调值	[1]陰平55 [2]陽平31 [3]上聲213 [5]去聲35 [7]陰入5 [8]陽入3 [0]輕聲
#ɹ̩	
l	[1]撈嘮孬 [2]勞癆{~病鬼}牢□{飲食差；苦：~死之} [3]腦惱{~火}瑙{珍珠瑪~}老{~人；~是；~後朝：大後天} [5]澇閙{吵~；玩：來~~} [0]老{孤~}囉{語氣詞|買糖喫~！}
ts	[1]遭{~罪}糟{~踏} [3]早棗澡 [5]躁譟燥竈皂造{~船；~反}
tsʰ	[1]操{出~；打~：幹粗活} [2]曹槽嘈{聲音大之：~死人}𤵥{山芋喫多之~人} [3]草騲{~狗} [5]造{~事：故意找麻煩}糙
s	[1]騷臊{~氣} [3]掃{~地}嫂 [5]掃{~天星}潲{~雨}趮{快：跑好~} [0]索{白|利~}
tʂ	[1]朝{~三暮四}召招詔 [3]爪{手~子；鷄腳~子}找 [5]罩趙兆照{~亮}著{行：不~}
tʂʰ	[1]抄鈔{~票}超 [2]巢{~湖}朝{~代}潮{受~}嘲{~笑}晁{姓} [3]炒吵 [5]鈔{小~}耖{一種農具}□{把鍋裏菜~個子}
ʂ	[1]稍{~微}燒{~火；講話~人} [3]少{~之兩個} [5]紹少{~年}邵{姓}哨{吹~子}
ʐ	[2]饒 [3]擾{打~} [5]繞{~缐；草~子}
k	[1]高{~矮}膏篙糕{方片~}跤{跌之一~} [3]稿搞{~好；打~：（孩子）打架} [5]告{~狀}窖{山芋~子}覺{白|睡~}叫{~化子：乞丐}較{白|~秤}茭{~瓜} [0]高{方位詞|桌子~}
kʰ	[1]敲{白|把頭~碎得}□{紅燒（魚）：~魚；挖苦：別~人} [3]攷烤拷{~打}[5]靠犒銬
x	[1]蒿薅嚆{嘆詞|表示驚奇：~~，好大！}□{豬油鹹肉等變質變味} [2]豪壕嚎{鬼哭狼~}毫號{乾~} [3]好{~壞} [5]好{~喫佬}耗{消~}號{~碼：名字：你~什□（mia˥)；把位子~（占）之}
ŋ	[1]懊{~躁} [2]熬 [3]襖齩{蚊子~人} [5]傲奧懊{~悔}
Ø	[1]哦{嘆詞|表示醒悟、應答、驚奇等：~，是的；~嚆！} [2]兒而哦{嘆詞|表示醒悟、應答、驚奇等：~，是的} [3]惹耳餌{魚~子} [5]二{一~；~個：以後}貳 [0]噢{語氣詞|走~！}
#iɔ	
p	[1]膘標彪熛{火直~}𨄏{快跑：跑就麽直~}鏢瀌{水直~} [3]表婊裱□{“不、曉”的合音：~好多} [5]摽{在旁邊~之他}嫑{~講}
pʰ	[1]飄漂{~走之}瓢嫖□{小孩欲哭貌：嘴巴~啊~的} [3]漂{~白}瞟 [5]票漂{~亮}
m	[1]喵{喚貓聲} [2]苗描瞄棉{白|~花} [3]秒□{略微表示：~~心意}□{嫩梢：把~子掐得} [5]廟妙
t	[1]刁{~壞；~嘴：挑食}叼貂雕碉{~堡} [3]鳥{男性生殖器：~東西} [5]釣弔掉{~下來；~得之：遺失了}調{~子；~動}銚{~罐}□{灰~~子：積久而成串的灰塵} [0]□{語氣詞|“的、噢”的合音：是~}
tʰ	[1]挑{~擔子；~子：勺子} [2]條調{~和：舒服}迢笤{~帚} [3]挑{~撥}調{換：~個場子} [5]跳{~起來；顯眼：色氣~得很}調{~皮}
l	[1]䩍{白~~的}□{女子輕浮好動：~~子} [2]燎{火燒火~}療聊撩僚潦鐐 [3]鳥{九頭~}了{不得~；喫之~了}瞭{~解} [5]料撂{~得得；扔掉} [0]□{“了、噢”的合音：天黑之□}
tɕ	[1]交郊膠鉸教{~書}焦蕉椒澆礁 [3]絞狡攪勦餃□{不乖、不老實：小伢子~得很} [5]教{~育}校{白|學~}較{文|~勁}轎叫{雞~}嚼□{“只、要”的合音}
tɕʰ	[1]敲{文|~鑼打鼓}鍬繰{~邊}巧{小~~的}蹺{腿~之}□{生氣不理人：動不動就~之} [2]瞧{~病}喬橋蕎翹{竹木等因乾而不平：扁擔~得之} [3]巧{來得~；便宜：肉賣~得很} [5]俏竅撬翹{頭~起來}
ɕ	[1]消宵硝銷囂逍枵澆{薄：板好~}□{喫刁~}□{騙：~豬匠} [3]小曉{~得} [5]孝效{~勞}校{文|上~}笑
Ø	[1]妖邀腰要{~求}喲{嘆詞|表驚奇、遺憾等} [2]搖謠窯姚堯遙夭{無果而終：搞半天還搞~得之} [3]舀{~水}杳 [5]要{~東西}躍{大~進}
#a	
p	[1]巴{嘴~；粘貼：~在一塊}芭疤粑{糯米~~}杷琶扒{~家：顧家}趴笆{搞~斗~}叭{喇~} [3]把{~持；~人家；~屎；一~刀；兜~子}靶㞎{屙~~}巴{鍋~} [5]霸把{刀~子}壩{大~}爸耙罷 [0]吧{語氣詞}
pʰ	[2]爬扒{~手}筢{~子} [5]怕
m	[1]蟆{蛤~}媽摸{~貓：捉迷藏}馬{~虎} [2]麻{~子；發~} [3]馬{騎~}碼{~子：~起來}螞{~蜂；~蟥；蠅子：螞蟻}瑪{~瑙} [5]駡{~~咧咧的}
v	[1]哇{老~：烏鴉}挖{~個洞} [2]娃 [3]瓦{~屋}搲{~米} [5]瓦{~匠}窪{山~}搲{夠取：太高之，~不到} [0]哇{語氣詞|好苦~}
t	[1]大{~~：父親} [3]打{~人；一~火柴} [5]大{~小}
tʰ	[1]他她它
l	[1]拉 [2]拏{~走} [3]哪{~個}喇{~叭} [5]那 [0]啦{語氣詞“了、啊”的合音：你走~？}
s	[3]灑撒{~化肥}
tʂ	[1]查{姓~；山~}喳{~哇子：有口無心之人張開嘴：嘴巴~之}砟{土不~子；煤~子}渣揸{手~之老大的}拃{搞手~；一~長} [3]奓{吹牛：~不流星的}鮓{~~黃；~肉：粉蒸肉} [5]詐榨灹{~彈}乍柵{~欄；搞東西~之}□{濺：水~之一身的} [0]喳{語氣詞|“之、啊”的合音：病瞧好~}
tʂʰ	[1]叉{打~；~得}汊杈{搞~揚~}差{~勁；~他兩塊錢}碴{鬍子拉~的}□{胡亂走動} [2]茶搽{~粉}茬查{~賬} [3]蹅{踩：鞋~怕死之} [5]衩{開~}岔杈{樹~}□{~夥：合夥}
ʂ	[1]沙紗砂{~紙}杉{~木}痧{起~子}廈{白|披~} [2]□{斜：眼睛~之} [3]傻{~不隆咚的} 灑{飯~得之}
k	[1]家{白|到~了}□{戴：~圍領子} [3]噶{吹牛：箇人~得很；漂亮：衣裳好~}□{~肉，兒語：吃~} [5]架{~起來}□{現在：~就走}
kʰ	[1]揢{拿在手上：~之}喀{~嚓一聲}掐{用一隻或兩隻手掐：~死你} [2]跨{~過去} [3]卡{魚刺：老是~我}咯{~血}咔{~嘰佈} [5]胯{襠：胯下}
x	[1]哈{~欠；~癢；~~大笑；點頭~腰} [3]□{差，弱；箇布~得很；身体好~} [5]下{~昼；~來；一~子}
ŋ	[1]丫{~頭}□{擠進：往裏頭~} [2]伢{小~們} [3]啞{喉嚨~之：~巴子} [5]軋{給汽車~死之；~棉花}□{量詞|切之一~~的}
Ø	[1]啊{~爺：爸爸}啊{嘆詞|表示感嘆：~，一句話！} [0]啊{語氣詞|找他~？}
#ia	
p	[1]啪
pʰ	[1]啪 [3]□{瘸：~子}
m	[1]□{“什麽家夥”的合音：那~呢？}喵{~嗚：貓叫聲}
t	[3]嗲 [0]□{語氣詞|“的、啊”的合音：真~？}
tɕ	[1]家{文|沒~教；~俱}加佳 [3]假{真~；放~}賈{姓} [5]架{打~；~子} [0]家{親母；“計、啊”的合音字，男子閒昵稱：夥~}稼{莊~}
tɕʰ	[3]□{銅鈸：打~~子}
ɕ	[1]蝦𨉣{彎：腰~之} [2]霞{常用於任命：~不子} [5]下{~人；卸：把車子高頭東西~下來}夏{姓~；春~}廈{高樓大~}
Ø	[1]鵶呀{嘆詞|表示驚奇醒悟遺憾等}丫{腳~不子：腳丫}挜{强迫別人或自己喫：喫不下去，別~了} [2]牙{~子}芽衙{~門}蚜{~蟲} [3]雅{文~} [5]亞{~軍} [0]呀{語氣詞|是你~？}
#ua	
tʂ	[1]抓 [3]爪{鷄~子} [5]□{（眉頭）皺：眉頭~之}
ʂ	[3]耍{~猴子；~花招}
k	[1]瓜{西~}呱{~~叫} [3]寡{~婦；~飯；~~手}呱{拉~} [5]挂卦褂{小~子} [0]瓜{拉~：穿著等不整潔}
kʰ	[1]夸 [3]侉{老~子；講話~得很}剮{搞刀~}垮{~臺}胯{大~子} [5]挎{~包}
x	[1]花劃{鷄~命} [2]華{中~}鏵譁划{~船}劃{~拳} [5]化{~凍}畫話劃{計~} [0]化{叫~子}
#eɪ	
p	[1]杯碑卑背{~起來}悲 [5]輩背{~後；~書}被{絮~}臂避備焙蓖{搞~子~}幣{人民~}
pʰ	[2]培{栽~}陪賠裴{姓~} [5]配佩
m	[1]沒{副詞|~喫} [2]梅媒煤眉霉{倒~；批評：給老師~之一頓} [3]每沒{動詞|飯~之}美 [5]妹昧{冒~；~之良心}
f	[1]非{除~；~要來}飛妃{~子}肥{合~} [2]肥{~豬；手~} [3]匪{土~}翡{珍珠~翠} [5]廢{作~}肺痱費 [0]廢{殘~人}
v	[1]煨威萎{精神萎靡：~得之}蝟{刺~}□{一種水草，可作豬食} [2]危桅微違圍爲{都~你}圩維 [3]尾偉緯委{~屈；~托；~員} [5]衛{~從：維護}爲{特~}位未{~必}味魏{姓}慰{安~}胃{~口}謂{無所~}餵{~飯} [0]爲{難~}
t	[1]堆 [3]□{抵消} [5]對{~子；頭~頭；~牌}碓{~窩}兌隊
tʰ	[1]推梯{~子} [3]腿 [5]退{~婚；~還}褪{~色}
l	[1]□{催促：~他}□{鑽：一頭~到水裏去之} [2]雷擂{~頭：抵頭游戲} [3]纍{長年~月}壘 [5]利{~索}内累{~得很}類淚
ts	[2]賊 [3]嘴咀{地名用字：張家~；毛家~} [5]罪最醉
tsʰ	[1]催崔{姓}摧{移動：往那邊~點個子}炊{水壺：~子；用水壺燒：~壺水} [2]隨{白|聽任：~便} [5]脆翠淬{~火}
s	[1]雖尿{撒~；小氣：~得很} [2]隨{文|~從}髓{骨~}遂{半身不~} [5]碎歲隧穗{抽~}
tʂ	[1]蜘{~蛛}遮□{~囉：知了}
tʂʰ	[1]車{騎~；用水車抽：~水} [3]扯{~筋；~布}逞{白|~能}
ʂ	[1]賒{~賬} [2]蛇佘{姓} [3]捨{文|四~五入} [5]社舍{宿~}
#ueɪ	
tʂ	[1]追{~查}錐{~子}蜇{蜂子~人}椎{腰~} [5]贅{纍~}墜{往下~}縋
tʂʰ	[1]吹炊{~事員} [2]垂槌錘{搞~子~}捶{~□ləʏ꜊拳頭；把你~死得} [3]水 [5]稅睡瑞
ʐ	
k	[1]閨{~房}規龜歸{縂~} [3]詭{~計}軌{~道}癸{~丑年}鬼{見~；箇小伢~得很} [5]桂跪櫃{櫥~}貴鱖{~魚}
kʰ	[1]盔虧{~本；~心}魁{~膀：魁梧} [2]逵{李~}葵 [3]□{用膝蓋抵壓以便綳緊物體} [5]愧
x	[1]恢灰{~袋子}揮輝徽 [2]回{~門；~嘴；一~}茴{~香}蛔 [3]悔毀 [5]賄{主動送：~之他}匯會{開~；~喫}燴惠{賢~}諱{直言不~} [0]諱{忌~}
#əʏ	
t	[1]都{首~；~走}兜{~把子：小孩用的肚兜兒} [3]堵賭肚{~子疼}斗{搞~量：一~米}抖陡 [5]杜{姓}度渡{輪~}鍍{~金}鬥{好~得很}肚{桌~的}豆逗□{遞：把茶壺~把我}
tʰ	[1]偷 [2]徒{~弟}途涂圖頭{~腦}投{~票} [3]土吐{~面痰}㪗{使繩子等散開：把繩子~開得} [5]吐{他暈車，上車就~}唾{~沫星子}兔透 [0]頭{木~}
l	[1]溜{光~~} [2]盧爐蘆{~粟子：高粱}樓流劉留瘤硫牛 [3]魯艪滷摟簍扭柳 [5]路露漏陋溜{從大人懷抱中快速滑下：直~下去之} [0]榴{石~}
ts	[1]租鄒{姓}謅{瞎~} [3]祖組走{~走；從：~大路走}阻 [5]助奏揍皺縐{文~~的}
tsʰ	[1]粗初 [2]愁 [3]楚瞅 [5]凑醋
s	[1]蘇酥疏搜餿颼 [5]素嗉{~袋子}數{名詞}瘦
tʂ	[1]周舟州洲 [3]扭{擰：~斷得}□{調皮倔强} [5]晝{日~夜}咒 [0]晝{上~}
tʂʰ	[1]抽 [2]籌仇{~人}醻{報~} [3]丑醜 [5]臭
ʂ	[1]收 [3]捨{白|~不得}手首守□{好~：節儉} [5]獸受壽{陽~}售{~票員}
ʐ	[1]□{理會：不~他} [2]柔揉 [5]肉{文|~頭：不精明}
#iʏ	
tɕ	[1]揪{~住；緊縮：心就麽直~}糾{~纏；~正}灸{鍼~} [3]酒九久韭 [5]就救究臼舅舊
tɕʰ	[1]秋{立~}鬮{抓~子}丘鰍𨟽{~黑之}□{~子：女陰}□{斜眼輕蔑地看} [2]囚求球仇{姓}裘□{折磨：小伢子好~人} [3]□{使勁揪住對方不放} [0]秋{悠~}
ɕ	[1]修休羞 [3]朽 [5]秀繡鏽袖嗅 [0]削{剝~}
k	[1]勾鉤溝 [3]狗苟垢{~夾：身上搓出的污垢} [5]夠構購
kʰ	[1]摳瞘{~鼻子凹眼睛} [2]佝{腰~之} [3]口 [5]扣
x	[1]齁{~癆病；鹹之~人} [2]侯喉猴瘊□{翻眼不滿地看：~人} [3]候{等候：我~你} [5]後{~頭}后{皇~}厚{~書；~粥}
ŋ	[1]漚 [3]藕偶{~爾} [5]慪
Ø	[1]憂優悠{慢~~的} [2]尤郵由油游䢟 [3]有{~人；也：他~來}友酉{申~戌亥} [5]又右祐{保~}釉黝{臉高長之~了}幼
#eɪ̃	
tʂ	[1]氊{羊毛~子}霑{~光}粘{粘貼：~在一塊} [3]展□{指桑駡槐：~之訣（罵）人} [5]顫{凍之直~}
tʂʰ	[1]纏{~人}
ʂ	[1]膻{~人}扇{~風}煽{~風點火} [2]□{竹子等編制的存糧農具：搞~子把~起來} [3]閃{打~；~之腰；流產：~之一胎} [5]善扇{~子}鱔{黃~}
#ĩ	
p	[1]鞭編煸邊鯿{~魚} [3]貶{~低}扁匾 [5]辨別辯辮便{順~}變遍{講幾~了} [0]貶{褒~}便{方~}
pʰ	[1]篇{老三~}偏{~心} [2]便{~宜} [5]騙遍{~場：到處}片{尿~；丫頭片子：對女孩的貶稱}
m	[2]緜{海~；因受潮而變軟：山芋糖~得之}棉{文|~產區} [3]免{~費}勉{~強} [5]面{~子；在表面撒：~一層土}麵{米~；食物澱粉含量高：山芋好~}
t	[1]掂{~量}踮癲顛 [3]點{~個子：一點兒；~燈}典{~當} [5]簟{~子}店電殿奠佃墊{~錢}□{~~：輕手輕腳}
tʰ	[1]添{加：~點個子；生（孩子）：~之一個姑娘}天 [2]甜{糖~；嘴巴~}田填 [3]舔掭 [5]□{向石磨裏添加要磨的東西：~磨}
n	[1]拈{撿、拾}□{什~之：怎麽了} [2]鐮簾連{~在一塊；縫：搞鍼~個子}聯年憐蓮 [3]斂臉鮎攆{趕走：~出去；追趕：~不上他}捻 [5]殮{入~}念練戀楝{~樹}
tɕ	[1]尖{刀~子；愛占小便宜：那個人好~}兼搛{~菜}煎肩{~膀}堅{~決} [3]檢儉剪趼{老~}繭{蠶~}撿{~糞} [5]漸劒箭踐賤{下~}餞{蜜~}犍{~豬}件建鍵健{~康}腱薦見{~面}
tɕʰ	[1]簽{竹~子；~名}謙遷千先{白|~來的}牽釺{鋼~}扦 [2]鉗錢乾{~坤}前{~頭}嫌{~怕}潛{~山} [3]淺遣潛{~水} [5]歉 [0]前{鍋~：廚房}欠{哈~}
ɕ	[1]杴{木製農具，用來撮稻穀等}先{文|教書~生} [2]嫌{~貧愛富}賢{~良} [3]險顯 [5]憲獻現{~世；~飯：剩飯}縣缐
k	[1]乾{水~之}疳{~積}肝{豬~} [3]趕{~鴨}埂{田~；塘~}梗{菜~子}擀{~麵湯}
kʰ	[1]看{~瓜} [3]坎檻𠖫{倒扣：把碗~之} [5]看{好~得很}
x	[5]漢{~狀：個子}汗 [2]涵{白|淌~子：埋於隄下的水道} [0]寒{脾~：瘧疾}
ŋ	[1]安{~一盞燈}□{~豆：豌豆}
