□	丨(囗) 一
㒓	亻 達
㒔	亻 蜀
㒕	亻 雍
㒖	亻 萬
㒗	亻 至
㒘	亻 竪
㒙	亻 綿
㒚	亻 急
㒛	亻 翟
㒜	亻 與
㒝	亻 蔑
㒞	亻 雋(嶲)
㒟	亻 馬(褭)
㒠	亻 韭(韰)
㒡	亻 系
㒢	亻 龠
㒣	亻 應
㒤	亻 聶
㒥	亻 豐
㒦	亻 壘
㒧	亻 離
㒨	亻 巳
㒩	亻 虫(蠡)
㒪	人 豕
㒫	一 儿
㒬	元 王
㒭	兄 兄
㒮	元 豕
㒯	光 華
㒰	入 工
㒱	入 夕
㒲	入 日
㒳	冂 入
㒴	入 出
㒵	白 八
㒶	八 白
㒷	冂 八
㒸	八 豕
㒹	真 真
㒺	冂 人
㒻	日 見
㒼	廿 入
㒽	日 卷
㒾	日 施
㒿	日 離
㓀	冖 卜
㓁	冖 八
㓂	冖 女
㓃	冖 乇(託)
㓄	參 冘
㓅	冫 丁
㓆	冫 仑
㓇	冫 夭
㓈	冫 石
㓉	冫 舌
㓊	冫 同
㓋	冫 共
㓌	冫 全
㓍	冫 充
㓎	冫 侵(𠬶)
㓏	冫 冏
㓐	冫 坴
㓑	冫 幸
㓒	冫 心(⺗)
㓓	冫 南
㓔	冫 射
㓕	冫 灭
㓖	冫 畢
㓗	冫 糸
㓘	夙 玉
㓙	文 凵
㓚	工 刂
㓛	工 刀
㓜	幺 刀
㓝	井 刂
㓞	丰 刀
㓟	皮 刂
㓠	占 刂
㓡	缶 刂
㓢	各 刂
㓣	合 刂
㓤	吉 刂
㓥	当 刂
㓦	百 刂
㓧	含 刂
㓨	夾 刂
㓩	角 刂
㓪	良 刀
㓫	大 刂
㓬	券 刂
㓭	曷 刂
㓮	周 刂
㓯	巛(甾) 刂
㓰	画 刂
㓱	俞 刂
㓲	扁 刂
㓳	是 刂
㓴	而 刂
㓵	咢 刂
㓶	契 刂
㓷	臬 刂
㓸	亞 刂
㓹	厂 刂
㓺	虔 刂
㓻	四 刂
㓼	木 刂
㓽	崇 刂
㓾	犀 刂
㓿	黍 刂
㔀	景 刂
㔁	登 刂
㔂	粦 刂
㔃	絶 刀
㔄	粟 刂
㔅	肅 刂
㔆	旡(朁) 刂
㔇	發 刂
㔈	菲 刂
㔉	属 刂
㔊	亶 刂
㔋	監 刂
㔌	聚 刂
㔍	算 刂
㔎	薛(辥) 刀
㔏	磊 刂
㔐	竹 刂
㔑	薛 刀
㔒	崔(巂) 刂
㔓	千 力
㔔	加 乙
㔕	气 力
㔖	加 乙
㔗	弗 力
㔘	出 力
㔙	并 力
㔚	舌 力
㔛	吉 力
㔜	孚 力
㔝	兩 力
㔞	乖 力
㔟	生 力
㔠	曷 力
㔡	囟 力
㔢	絶 力
㔣	田(畾) 力
㔤	審 力
㔥	罷 力
㔦	養 力
㔧	盧 力
㔨	勹 背
㔩	勹 盍
㔪	勹 鹵
㔫	一 匕
㔬	匕 早
㔭	匕 是
㔮	堇 能
㔯	匚 口
㔰	匚 外
㔱	匚 臾
㔲	匚 九
㔳	匚 几
㔴	匚 異
㔵	匚 巽
㔶	匚 贛
㔷	匚 丙
㔸	匚 虎
㔹	十 力
㔺	十 乙
㔻	不 十
㔼	推 十
㔽	占 口
㔾	乙 乙
㔿	一 丩
㕀	由 犯(㔾)
㕁	乂 卩
㕂	厂 今
㕃	厂 开
㕄	厂 幺
㕅	厂 甲
㕆	厂 古
㕇	厂 立
㕈	厂 衣
㕉	厂 合
㕊	厂 甫
㕋	厂 金
㕌	厂 得(㝵)
㕍	厂 隹
㕎	厂 盍
㕏	厂 斗
㕐	厂 灬
㕑	厂 寸
㕒	厂 義
㕓	厂 墨
㕔	厂 聽
㕕	厶 厶
㕖	厶(厽) 木
㕗	羊 厶
㕘	厶(𠫯) 小
㕙	夋 兔
㕚	叉 丶
㕛	又 又
㕜	中 又
㕝	古 又
㕞	尸 又
㕟	卜 又
㕠	准 又
㕡	卜 又
㕢	卜 又
㕣	八 口
㕤	口 九
㕥	口 人
㕦	口 大
㕧	口 尸
㕨	口 凡
㕩	口 丰
㕪	口 冘
㕫	口 方
㕬	口 公
㕭	口 夭
㕮	口 父
㕯	内 口
㕰	口 毛
㕱	口 尤
㕲	口 木
㕳	口 凶
㕴	口 冗
㕵	口 王
㕶	口 五
㕷	口 白
㕸	口 立
㕹	口 犮
㕺	口(吅) 丂
㕻	丶 否
㕼	口 匈
㕽	口 以
㕾	小 叱
㕿	禾 口
㖀	口 聿
㖁	口 厷
㖂	口 曳
㖃	口 后
㖄	口 州
㖅	口 戌
㖆	口 曲
㖇	口 而
㖈	老 口
㖉	口 企
㖊	口 寻
㖋	介 叱
㖌	仇 叱
㖍	斗 叱
㖎	叱 介
㖏	口 土
㖐	口 尹
㖑	口 戒
㖒	口 弟
㖓	口 夆
㖔	口 吞
㖕	口 辛
㖖	辛 口
㖗	口 今(岑)
㖘	口 辰
㖙	加 叱
㖚	付 叱
㖛	古 叱
㖜	亠 叱
㖝	未 叱
㖞	口 呙
㖟	口 受
㖠	口 奈
㖡	口 夜
㖢	口 此
㖣	口 咅
㖤	口 函
㖥	口 囷
㖦	口 東
㖧	口 昏
㖨	口 录
㖩	口 取
㖪	口 或
㖫	口 夌
㖬	口 又
㖭	口 忝
㖮	口 侖
㖯	同 叱
㖰	叱 同
㖱	夜 口
㖲	如 叱
㖳	汝 叱
㖴	口 勿
㖵	口 具
㖶	口 土(垔)
㖷	口 是
㖸	口 虐
㖹	口 盆
㖺	口 春
㖻	口 柔
㖼	口 某
㖽	口 頁
㖾	口 屰
㖿	口 耶
㗀	口 幽
㗁	口 咢
㗂	口 省
㗃	口 日
㗄	口 方
㗅	口 胡
㗆	口 革
㗇	口 叚
㗈	口 勇
㗉	丰 各
㗊	吕 吕
㗋	口 矦
㗌	口 室
㗍	口 香
㗎	口 架
㗏	口 歪
㗐	口 皿
㗑	口 拜
㗒	口 哀
㗓	口 追
㗔	口 虔
㗕	口 冓
㗖	口 舀
㗗	另 卑
㗘	口 尃
㗙	口 芻
㗚	口 栗
㗛	口 笑
㗜	口 畜
㗝	口 羔
㗞	口 破
㗟	注 叱
㗠	始 叱
㗡	艹 叱
㗢	口 動
㗣	口 帶
㗤	戚 口
㗥	口 郭
㗦	口 聊
㗧	口 至
㗨	医(殹) 口
㗩	口 習
㗪	口 紫
㗫	口 祭
㗬	尚 多
㗭	口 悉
㗮	名 庚
㗯	者 叱
㗰	口 從
㗱	口 集
㗲	口 畫
㗳	口 答
㗴	口 月(閒)
㗵	口 欠
㗶	口 發
㗷	口 赛
㗸	口 御
㗹	唯 心
㗺	口 非
㗻	口 過
㗼	口 業
㗽	鄉 口
㗾	口 靴
㗿	口 可
㘀	口 米
㘁	口 幸
㘂	口 慈
㘃	口 惹
㘄	口 方
㘅	口 銜
㘆	口 臺
㘇	口 榮
㘈	口 疑
㘉	口 節
㘊	口 言
㘋	口 賢
㘌	口 劇
㘍	口 戈
㘎	口 敢
㘏	道 叱
㘐	口 交
㘑	口 隶
㘒	種 叱
㘓	口 闌
㘔	口 賽
㘕	口 藍
㘖	口 顔
㘗	口 瞿
㘘	孌(䜌) 口
㘙	口 嚴
㘚	口 敢
㘛	口 龍(龕)
㘜	言 口
㘝	囗 又
㘞	囗 力
㘟	囗 廾
㘠	囗 必
㘡	囗 甲
㘢	囗 光
㘣	囗 肙
㘤	囗 淵
㘥	囗 系
㘦	土 力
㘧	土 予
㘨	土 内
㘩	土 比
㘪	土 毛
㘫	土 井
㘬	土 勾
㘭	土 幻
㘮	土 尺
㘯	土 力
㘰	土 斗
㘱	土 冉
㘲	土 九
㘳	北 土
㘴	口 土
㘵	土 布
㘶	舛 土
㘷	土 艾
㘸	死 土
㘹	此 土
㘺	土 伐
㘻	土 因
㘼	土 考
㘽	栽(𢦏) 土
㘾	土 宇
㘿	土 土
㙀	土 究
㙁	土 每
㙂	土 兑
㙃	土 兵
㙄	土 土
㙅	土 呆
㙆	土 宏
㙇	土 豕
㙈	土 虎
㙉	土 典
㙊	土 長
㙋	土 其
㙌	土 肃
㙍	土 叕
㙎	土 威
㙏	土 复
㙐	土 耑
㙑	禹 土
㙒	田(𤰩) 土
㙓	土 土
㙔	土 韋
㙕	土 胃
㙖	土 禹
㙗	土 畏
㙘	土 要
㙙	氵 土
㙚	土 牛
㙛	土 尃
㙜	高 土
㙝	土 脅
㙞	土 臬
㙟	土 朗
㙠	医(殹) 土
㙡	土 從
㙢	土 滿(㒼)
㙣	土 張
㙤	土 乎
㙥	土 袞(衮)
㙦	斜 土
㙧	土 留(畱)
㙨	土 幾
㙩	土 尞
㙪	土 壹
㙫	土 集
㙬	來 土
㙭	土 厥
㙮	土 答
㙯	坴(埶) 云
㙰	解 土
㙱	號 土
㙲	土 雍
㙳	土 感
㙴	土 詹
㙵	土 土
㙶	亠 堂
㙷	土 絲(㬎)
㙸	土 僕
㙹	土 夢
㙺	土 匱
㙻	土 土
㙼	土 田
㙽	土 百(奭)
㙾	土 學
㙿	土 羲
㚀	土 戲
㚁	堯 堯
㚂	土 囊
㚃	士 一
㚄	士 疋
㚅	夂 生
㚆	亠 夂
㚇	凶 夂
㚈	夕 十
㚉	乃 多
㚊	多 亥
㚋	多 周
㚌	多 果
㚍	多 貴
㚎	大 凵
㚏	大 廾
㚐	大 大
㚑	彑(彐) 大
㚒	大 入
㚓	大 木
㚔	大 干
㚕	大 弗
㚖	白 大
㚗	大 且
㚘	夫 夫
㚙	加 大
㚚	大 名
㚛	大 旨
㚜	大 或
㚝	大 佳
㚞	大 林
㚟	刀 大
㚠	大 羔
㚡	奇 奇
㚢	亻 女
㚣	女 女
㚤	女 弋
㚥	女 于
㚦	女 丌
㚧	女 广
㚨	女 卂
㚩	女 冄
㚪	女 毛
㚫	女 及
㚬	女 匀
㚭	女 尤
㚮	女 冗
㚯	女 风
㚰	女 丕
㚱	女 丘
㚲	女 占
㚳	女 加
㚴	女 布
㚵	女 冬
㚶	女 耜(㠯)
㚷	女 小(尒)
㚸	女 司
㚹	女 卯
㚺	女 孕
㚻	田 女
㚼	女 田
㚽	巧 女
㚾	女 兄
㚿	女 包
㛀	女 刍
㛁	女 平
㛂	女 巴
㛃	丰 女
㛄	女 衣
㛅	女 耳
㛆	女 朵(朶)
㛇	女 庄
㛈	女 考
㛉	女 西
㛊	女 朵
㛋	女 心(⺗)
㛌	女 牟
㛍	女 夾
㛎	女 吕
㛏	女 求
㛐	女 更
㛑	歺(𣦼) 女
㛒	女 豆
㛓	女 希
㛔	女 夆
㛕	女 邑
㛖	女 夋
㛗	女 坐
㛘	女 孛
㛙	女 辛
㛚	女 甬
㛛	女 身
㛜	攸 女
㛝	女 貝
㛞	女 弄
㛟	女 奂
㛠	女 间
㛡	女 完
㛢	女 秀
㛣	女 员
㛤	女 丽
㛥	女 沓
㛦	女 林
㛧	女 岩
㛨	女 羌
㛩	女 育
㛪	女 奄
㛫	女 易
㛬	女 坴
㛭	女 昔
㛮	女 又
㛯	女 勉
㛰	女 日
㛱	女 畏
㛲	女 頁
㛳	帝 女
㛴	女 腦(𡿺)
㛵	女 冉
㛶	女 炭
㛷	禾 女
㛸	女 壴
㛹	女 便
㛺	女 音
㛻	女 奎
㛼	女 臿
㛽	女 米
㛾	女 咸
㛿	女 带
㜀	女 相
㜁	女 查
㜂	封 女
㜃	女 信
㜄	女 風
㜅	女 畜
㜆	女 迷
㜇	女 心(恚)
㜈	務 女
㜉	女 邕
㜊	女 展
㜋	女 益
㜌	殼(㱿) 女
㜍	女 唐
㜎	女 奚
㜏	女 員
㜐	女 豈
㜑	浦 女
㜒	女 廾
㜓	女 荅
㜔	女 竞
㜕	女 連
㜖	女 曹
㜗	女 參
㜘	女 且
㜙	女 鹿
㜚	女 宿
㜛	女 軟
㜜	女 敖
㜝	女 酉
㜞	斬 女
㜟	女 敢
㜠	女 崔
㜡	女 從
㜢	女 婁
㜣	女 然
㜤	女 覃
㜥	女 買
㜦	女 尋
㜧	女 厥
㜨	女 犀
㜩	女 奥
㜪	新 女
㜫	女 微
㜬	女 詹
㜭	女 當
㜮	女 監
㜯	女 熙
㜰	女 樂
㜱	女 質
㜲	女 嬴
㜳	女 褱
㜴	女 瞢
㜵	女 馬(褭)
㜶	女 兔(毚)
㜷	彌 女
㜸	薛 女
㜹	女 瞿
㜺	女 贊
㜻	女 戀
㜼	女 疊
㜽	巛 子
㜾	子 介
㜿	子 予
㝀	母 子
㝁	旬 子
㝂	子 折
㝃	子 免
㝄	享 屯
㝅	殼(㱿) 子
㝆	子 喜
㝇	享 享
㝈	孌(䜌) 子(孖)
㝉	宀 一
㝊	宀 又
㝋	宀 了
㝌	宀 久
㝍	宀 与
㝎	宀 之
㝏	宀 介
㝐	宀 公
㝑	宀 方
㝒	宀 古
㝓	宀 合
㝔	宀 交
㝕	宀(𫲽) 又
㝖	宀 多
㝗	宀 良
㝘	宀 言
㝙	宀 八
㝚	宀 延
㝛	宀 口(𠈇)
㝜	宀 昔
㝝	宀 林
㝞	宀 亞
㝟	宀 見
㝠	宀 六
㝡	宀 取
㝢	宀 禹
㝣	宀 契
㝤	宀 冓
㝥	宀 米
㝦	宀 隽
㝧	安 坐
㝨	宀 袁
㝩	宀 康
㝪	宀 執
㝫	宀 隆
㝬	害 夫
㝭	宀 惺
㝮	宀 又
㝯	宀 喬
㝰	宀 方
㝱	宀 夢
㝲	宀 帚
㝳	木(一) 丶
㝴	元 寸
㝵	旦 寸
㝶	四 寸
㝷	彑(彐) 寸
㝸	小 皃
㝹	少 兔
㝺	兼 少
㝻	堇 少
㝼	尢 于
㝽	尢 水
㝾	尢 左
㝿	尢 皮
㞀	尢 灰
㞁	尢 匕
㞂	尢 妥
㞃	谷 尤
㞄	尢 奄
㞅	尢 果
㞆	尢 奇
㞇	尢 畏
㞈	尢 扁
㞉	尢 差
㞊	祟 尢
㞋	尸 又
㞌	尸 子
㞍	尸 丸
㞎	尸 巴
㞏	尸 乏
㞐	尸 立
㞑	尸 乙
㞒	尸 自
㞓	尸 旨
㞔	尸 多
㞕	尸 月
㞖	尸 朿
㞗	尸 求
㞘	尸 豕
㞙	尾 水
㞚	尸 臿
㞛	尸 旨
㞜	尸 委
㞝	戚 尸
㞞	尸 從
㞟	尸 奠
㞠	尸 尞
㞡	尸 衣
㞢	屮 一
㞣	屮 分
㞤	山 人
㞥	山 入
㞦	山 几
㞧	山 乃
㞨	山 子
㞩	山 凡
㞪	彑(彐) 山
㞫	山 之
㞬	山 工
㞭	大 山
㞮	山 丶
㞯	己 山
㞰	山 午
㞱	山 日
㞲	山 中
㞳	山 斗
㞴	山 氏
㞵	山 文
㞶	山 文
㞷	屮 王
㞸	山 不
㞹	山 可
㞺	山 矢
㞻	山 号
㞼	氶 山
㞽	山 戉
㞾	山 尼
㞿	山 乂
㟀	禾 山
㟁	山 干
㟂	山 母
㟃	山 司
㟄	山 羊
㟅	山 兇
㟆	山 华
㟇	山 坐
㟈	山 求
㟉	山 牢
㟊	山 孚
㟋	山 兑
㟌	山 龙
㟍	山 良
㟎	山 妥
㟏	山 含
㟐	山 芒
㟑	山 孛
㟒	山 君
㟓	山 希
㟔	山 含
㟕	山 斗
㟖	山 弄
㟗	山 分
㟘	山 周
㟙	山 昔
㟚	枝 山
㟛	艹 甘
㟜	山 弥
㟝	山 咅
㟞	山 戔
㟟	山 巷
㟠	山 岡
㟡	山 卷
㟢	山 奇
㟣	山 松
㟤	山 录
㟥	山 参
㟦	山 軍
㟧	山 咢
㟨	山 耑
㟩	民 山
㟪	山 畏
㟫	山 泉
㟬	山 叟
㟭	山 昬
㟮	山 突
㟯	山 客
㟰	山 冥
㟱	山 羔
㟲	山 原
㟳	山 栗
㟴	山 鬼
㟵	山 正
㟶	山 原
㟷	山 荅
㟸	山 本
㟹	山 聊
㟺	山 婁
㟻	斬 山
㟼	山 敖
㟽	山 票
㟾	山 庸
㟿	山 莽
㠀	鳥 山
㠁	山 參
㠂	山 敖
㠃	山 啇
㠄	山 習
㠅	山 复
㠆	山 單
㠇	山 就
㠈	山 閏
㠉	山 童
㠊	山 虚
㠋	山 亏
㠌	山 欺
㠍	山 集
㠎	山 集
㠏	山 華
㠐	山 喬
㠑	山 罪
㠒	山 剽
㠓	山 蒙
㠔	山 辟
㠕	山 鬼
㠖	山 義
㠗	山 奥
㠘	山 與
㠙	山 豪
㠚	山 對
㠛	山 蒦
㠜	山 疑
㠝	山 贊(賛)
㠞	徵 山
㠟	山 黎
㠠	山 盧
㠡	山 馬(褭)
㠢	山 衣
㠣	山 歷
㠤	山 襄
㠥	山 壘
㠦	山 豐
㠧	山 靡
㠨	山 寸
㠩	人 川
㠪	一 上
㠫	巩 夫
㠬	工 夫
㠭	工 工
㠮	普 工
㠯	尸 丨
㠰	加 己
㠱	己 其
㠲	巾 匕
㠳	入 巾
㠴	巾 刃
㠵	亡 巾
㠶	巾 几(凢)
㠷	巾 及
㠸	巾 夫
㠹	巾 介
㠺	巾 少
㠻	土 巾
㠼	巾 斤
㠽	巾 冬
㠾	夗 巾
㠿	此 巾
㡀	巾 八
㡁	巾 夸
㡂	列 巾
㡃	巾 川
㡄	巾 旬
㡅	巾 多
㡆	巾 巟
㡇	巾 耳
㡈	巾 免
㡉	巾 弦
㡊	巾 臽
㡋	巾 奄
㡌	巾 月
㡍	白 巾
㡎	巾 参
㡏	巾 俞
㡐	巾 前
㡑	秋 巾
㡒	巾 盾
㡓	巾 軍
㡔	矛(敄) 巾
㡕	巾 英
㡖	巾 重
㡗	巾 虎
㡘	巾 兼
㡙	巾 比
㡚	巾 冓
㡛	巾 荒
㡜	巾 祭
㡝	巾 逢
㡞	巾 婁
㡟	巾 曹
㡠	巾 登
㡡	巾 厨
㡢	巾 万(㬅)
㡣	帝 三
㡤	巾 業
㡥	巾 急
㡦	巾 賓
㡧	巾 登
㡨	巾 韭(韱)
㡩	孌(䜌) 巾
㡪	巾 夂
㡫	幺 曷
㡬	幺 戈
㡭	幺 乙
㡮	幾 气
㡯	广 乇
㡰	广 于
㡱	广 久
㡲	广 戈
㡳	广 氏
㡴	广 立
㡵	广 令
㡶	广 只
㡷	广 本
㡸	广 乍
㡹	广 且
㡺	广 旦
㡻	广 卯
㡼	广 曳
㡽	广 聿
㡾	广 艮
㡿	广 屰
㢀	广 朿
㢁	广 多
㢂	广 追(𠂤)
㢃	广 良
㢄	广 豆
㢅	广 弄
㢆	广 里
㢇	广 言
㢈	广 隹
㢉	广 乇
㢊	广 奇
㢋	广 侈
㢌	广 阿
㢍	广 英
㢎	广 臿
㢏	广 俞
㢐	广 咼
㢑	广 隼
㢒	广 且
㢓	广 章
㢔	广 從
㢕	广 维
㢖	广 番
㢗	广 喬
㢘	广 灬
㢙	广 勤
㢚	广 虜
㢛	广 僉
㢜	广 思
㢝	广 穌
㢞	广 翼
㢟	廴 止
㢠	廴 冋
㢡	將 廾
㢢	敞 廾
㢣	敬 廾
㢤	弋(土) 万(乙)
㢥	同 弋
㢦	哥 弋
㢧	弓 一
㢨	弓 干
㢩	弓 勺
㢪	弓 亏
㢫	弓 山
㢬	弓 厷
㢭	弓 攴
㢮	弓 也
㢯	弓 民
㢰	弓 皮
㢱	弓 小(厼)
㢲	弓 八
㢳	弓 氏(𠂢)
㢴	弓 丶
㢵	弓 合
㢶	弓 百
㢷	弓 岁
㢸	弓 攵
㢹	弓 辛
㢺	弓 妾
㢻	弓 委
㢼	弓 敝(㡀)
㢽	弓 耳
㢾	弓 土
㢿	弓 侯
㣀	弓 真
㣁	弓 用
㣂	弓 鬲
㣃	弓 育
㣄	弓 渠
㣅	弓 日
㣆	弓 玉
㣇	彐(彑) 巾
㣈	彐(彑) 巾
㣉	工 彡
㣊	夂 彡
㣋	井 彡
㣌	占 彡
㣍	台 彡
㣎	白 彡
㣏	大 彡
㣐	泉 彡
㣑	庸 彡
㣒	曾 彡
㣓	粲 彡
㣔	彳 丁
㣕	彳 大
㣖	彳 太
㣗	彳 户
㣘	彳 句
㣙	彳 由
㣚	彳 同
㣛	彳 合
㣜	彳 刑
㣝	彳 戎
㣞	彳 允
㣟	彳 吉
㣠	彳 冬
㣡	彳 仲
㣢	彳 弟
㣣	彳 夾(夾)
㣤	彳 戔
㣥	彳 侍
㣦	彳 委
㣧	彳 乙
㣨	彳 姑
㣩	彳 林
㣪	彳 爰
㣫	彳 重
㣬	彳 咠
㣭	彳 夂(㚇)
㣮	彳 南
㣯	彳 屑
㣰	彳 悉
㣱	彳 責
㣲	微 口
㣳	彳 無
㣴	彳 黄
㣵	彳 達
㣶	彳 旦(亶)
㣷	彳 寧
㣸	彳 生
㣹	彳 應
㣺	忄 丶
㣻	乂 心
㣼	忄 刃
㣽	女 心
㣾	忄 叉
㣿	忄 勺
㤀	入 心
㤁	天 心
㤂	及 心
㤃	忄 方
㤄	忄 巿
㤅	旡 心
㤆	忄 反
㤇	忄 夭
㤈	忄 心
㤉	忄 牙
㤊	忄 爻
㤋	忄 分
㤌	忄 甘
㤍	巧 心
㤎	加 心
㤏	忄 冬
㤐	占 心
㤑	忄 右
㤒	忄 十(夲)
㤓	忄 本
㤔	忄 付
㤕	忄 出
㤖	忄 宁
㤗	春(𡗗) 心(⺗)
㤘	忄 刍
㤙	囗(囙) 心
㤚	忄 行
㤛	忄 任
㤜	忄 戍
㤝	忄 充
㤞	忄 宅
㤟	曲 心
㤠	列 心
㤡	忄 列
㤢	忄 有
㤣	并 心
㤤	忄 史
㤥	忄 亥
㤦	忄 吏
㤧	忄 后
㤨	忄 共
㤩	各 心
㤪	一 怨
㤫	有 心
㤬	忄 圭
㤭	忄 乔
㤮	狂 心
㤯	忄 冏
㤰	作 心
㤱	忄 豆
㤲	夾 心
㤳	忄 否
㤴	忄 耳
㤵	孜 心
㤶	忄 龙
㤷	忄 含
㤸	忄 赤
㤹	忄 求
㤺	忄 巟
㤻	卵 心
㤼	忄 劫
㤽	忄 寿
㤾	忄 罙
㤿	忄 奄
㥀	忄 直
㥁	十 心
㥂	忄 得(㝵)
㥃	忄 門
㥄	忄 夌
㥅	忄 受
㥆	忄 隶
㥇	忄 戔
㥈	帖 心
㥉	忄 咅
㥊	忄 朋
㥋	依 心
㥌	忄 匊
㥍	忄 其
㥎	利(𥝢) 心
㥏	忄 典
㥐	命 心
㥑	一 心
㥒	忄 采
㥓	忄 奇
㥔	忄 育
㥕	炎 心
㥖	丹 心(忩)
㥗	忄 文
㥘	忄 刃
㥙	忄 忠
㥚	忄 臾
㥛	忄 亟
㥜	忄 胃
㥝	忄 耳
㥞	忄 遂(㒸)
㥟	忄 彖
㥠	忄 胥
㥡	忄 木
㥢	忄 酋
㥣	奎 心
㥤	矛(矜) 心
㥥	忄 禺
㥦	夾(匧) 心
㥧	忄 頁
㥨	娃 心
㥩	忄 者
㥪	忄 娄
㥫	忄 日(亯)
㥬	忄 旁
㥭	忄 泰
㥮	忄 芻
㥯	爪 心
㥰	忄 叟
㥱	忄 匪
㥲	真 心
㥳	忄 原
㥴	忄 虎
㥵	忄 豕(圂)
㥶	宀(𡨄) 心
㥷	广 心(㤲)
㥸	民 思
㥹	粉 心
㥺	忄 盍
㥻	戊 心
㥼	忄 焉
㥽	忄 責
㥾	忄 匿
㥿	敖 心
㦀	忄 逢
㦁	連 心
㦂	常 心
㦃	忄 産
㦄	麻 心
㦅	忄 帶
㦆	忄 乎
㦇	忄 鹿
㦈	忄 盖
㦉	忄 壹
㦊	忄 華
㦋	忄 奢
㦌	毛 心
㦍	忄 屰
㦎	忄 畫
㦏	忄 巽
㦐	忄 貳
㦑	忄 敢
㦒	忄 言
㦓	忄 然
㦔	日 心
㦕	忄 隆
㦖	忄 悶
㦗	忄 禁
㦘	白(敫) 心
㦙	忄 愚
㦚	辛 心
㦛	與 心
㦜	忄 蒦
㦝	貌 心
㦞	壽 心
㦟	狸(貍) 心
㦠	忄 對
㦡	忄 樂
㦢	忄 節
㦣	衛 心
㦤	壹 心
㦥	忄 憲
㦦	忄 兒(䦧)
㦧	忄 日
㦨	忄 闌
㦩	忄 隱
㦪	忄 燮
㦫	忄 贊
㦬	忄 羅
㦭	忄 靈
㦮	二 戈
㦯	戈 一
㦰	从 戈
㦱	戈 土
㦲	栽(𢦏) 万
㦳	栽(𢦏) 土
㦴	戈 各
㦵	朱 戈
㦶	戈 至
㦷	甬 戈
㦸	卓 戈
㦹	昜 戈
㦺	辱 戈
㦻	習 戈
㦼	舂 戈
㦽	有 巛
㦾	户 也
㦿	户 木
㧀	户 及
㧁	户 去
㧂	户 田
㧃	扌 丩
㧄	扌 凵
㧅	扌 刀
㧆	扌 巾
㧇	扌 一
㧈	扌 弓
㧉	扌 气
㧊	扌 巿
㧋	扌 犬
㧌	扌 毛
㧍	扌 方
㧎	扌 牙
㧏	扌 冈
㧐	扌 双
㧑	扌 为
㧒	扌 穴
㧓	扌 瓜
㧔	扌 戊
