單字	(沙塘)聲母	(沙塘)韻母	(沙塘)聲調	備註	(IPA)聲母	(IPA)韻母	(IPA)聲調												
廢	f	ui	1		f	ui	33												
沸	f	ui	1		f	ui	33												
肺	f	ui	1		f	ui	33												
芾	f	ui	1		f	ui	33												
費	f	ui	1		f	ui	33												
徽	f	ui	1		f	ui	33												
揮	f	ui	1		f	ui	33												
暉	f	ui	1		f	ui	33												
輝	f	ui	1		f	ui	33												
菲	f	ui	2	菲薄	f	ui	55												
匪	f	ui	2		f	ui	55												
悱	f	ui	2		f	ui	55												
斐	f	ui	2		f	ui	55												
翡	f	ui	2		f	ui	55												
毀	f	ui	2		f	ui	55												
卉	f	ui	2		f	ui	55												
伏	f	uk	6		f	ʊk	32												
匐	f	uk	6		f	ʊk	32												
服	f	uk	6		f	ʊk	32												
袱	f	uk	6		f	ʊk	32												
復	f	uk	6	復原	f	ʊk	32												
斛	f	uk	6		f	ʊk	32												
幅	f	uk	2		f	ʊk	55												
福	f	uk	2		f	ʊk	55												
蝠	f	uk	2		f	ʊk	55												
輻	f	uk	2		f	ʊk	55												
復	f	uk	2	回復	f	ʊk	55												
腹	f	uk	2		f	ʊk	55												
複	f	uk	2		f	ʊk	55												
覆	f	uk	2		f	ʊk	55												
馥	f	uk	2		f	ʊk	55												
墳	f	un	4		f	un	22												
焚	f	un	4		f	un	22												
桓	f	un	4		f	un	22												
分	f	un	6		f	un	32												
份	f	un	6		f	un	32												
忿	f	un	6		f	un	32												
分	f	un	1		f	un	33												
氛	f	un	1		f	un	33												
紛	f	un	1		f	un	33												
芬	f	un	1		f	un	33												
婚	f	un	1		f	un	33												
昏	f	un	1		f	un	33												
勛	f	un	1		f	un	33												
燻	f	un	1		f	un	33												
薰	f	un	1		f	un	33												
醺	f	un	1		f	un	33												
訓	f	un	1		f	un	33												
吩	f	un	1		f	un	33												
粉	f	un	2		f	un	55												
縫	f	ung	4		f	ʊŋ	22												
逢	f	ung	4		f	ʊŋ	22												
馮	f	ung	4	姓馮	f	ʊŋ	22												
篷	f	ung	4		f	ʊŋ	22												
蓬	f	ung	4		f	ʊŋ	22												
奉	f	ung	6		f	ʊŋ	32												
鳳	f	ung	6		f	ʊŋ	32												
丰	f	ung	1		f	ʊŋ	33												
封	f	ung	1		f	ʊŋ	33												
峯	f	ung	1		f	ʊŋ	33												
楓	f	ung	1		f	ʊŋ	33												
烽	f	ung	1		f	ʊŋ	33												
蜂	f	ung	1		f	ʊŋ	33												
豐	f	ung	1		f	ʊŋ	33												
鋒	f	ung	1		f	ʊŋ	33												
風	f	ung	1		f	ʊŋ	33												
瘋	f	ung	1		f	ʊŋ	33												
諷	f	ung	2		f	ʊŋ	55												
俸	f	ung	2		f	ʊŋ	55												
捧	f	ung	2		f	ʊŋ	55												
奮	f	ut	5		f	ut	21												
憤	f	ut	5		f	ut	21												
糞	f	ut	5		f	ut	21												
佛	f	ut	6		f	ut	32												
弗	f	ut	6		f	ut	32												
拂	f	ut	6		f	ut	32												
芾	f	ut	2		f	ut	55												
佛	f	ut	2		f	ut	55												
彿	f	ut	2		f	ut	55												
忽	f	ut	2		f	ut	55												
惚	f	ut	2		f	ut	55												
囫	f	ut	2		f	ut	55												
窟	f	ut	2		f	ut	55												
蝦	h	aa	5		h	a	21												
下	h	aa	5	下塘村	h	a	21												
扒	h	aa	4		h	a	22												
瑕	h	aa	4		h	a	22												
遐	h	aa	4		h	a	22												
霞	h	aa	4		h	a	22												
廈	h	aa	6		h	a	32												
暇	h	aa	6		h	a	32												
下	h	aa	6		h	a	32												
夏	h	aa	6		h	a	32												
趴	h	aa	1		h	a	33												
怕	h	aa	1		h	a	33												
他	h	aa	1		h	a	33												
她	h	aa	1		h	a	33												
它	h	aa	1		h	a	33												
牠	h	aa	1		h	a	33												
祂	h	aa	1		h	a	33												
哈	h	aa	2		h	a	55												
蛤	h	aa	2	蛤蟆	h	a	55												
蝦	h	aa	2	蝦蟆	h	a	55												
懈	h	aai	5		h	ai	21												
堤	h	aai	4		h	ai	22												
孩	h	aai	4		h	ai	22												
骸	h	aai	4		h	ai	22												
排	h	aai	4		h	ai	22												
牌	h	aai	4		h	ai	22												
啼	h	aai	4		h	ai	22												
提	h	aai	4		h	ai	22												
蹄	h	aai	4		h	ai	22												
題	h	aai	4		h	ai	22												
諧	h	aai	4		h	ai	22												
鞋	h	aai	4		h	ai	22												
解	h	aai	6		h	ai	32												
係	h	aai	6		h	ai	32												
系	h	aai	6		h	ai	32												
繫	h	aai	6		h	ai	32												
械	h	aai	6		h	ai	32												
邂	h	aai	6		h	ai	32												
貸	h	aai	1		h	ai	33												
批	h	aai	1		h	ai	33												
太	h	aai	1		h	ai	33												
態	h	aai	1		h	ai	33												
汰	h	aai	1		h	ai	33												
泰	h	aai	1		h	ai	33												
梯	h	aai	1		h	ai	33												
剃	h	aai	1		h	ai	33												
替	h	aai	1		h	ai	33												
兮	h	aai	1		h	ai	33												
涕	h	aai	1		h	ai	33												
屜	h	aai	1		h	ai	33												
嗨	h	aai	1		h	ai	33												
體	h	aai	2		h	ai	55												
蟹	h	aai	2		h	ai	55												
俳	h	aai	2		h	ai	55												
棒	h	aak	5		h	ak	21												
賀	h	aak	6		h	ak	32												
客	h	aak	1		h	ak	33												
嚇	h	aak	1		h	ak	33												
赫	h	aak	2		h	ak	55												
嘿	h	aak	2	欬也	h	ak	55												
黑	h	aak	2		h	ak	55												
喀	h	aak	2		h	ak	55												
可	h	aak	2		h	ak	55												
克	h	aak	2		h	ak	55												
刻	h	aak	2		h	ak	55												
剋	h	aak	2		h	ak	55												
客	h	aak	2		h	ak	55												
咯	h	aak	2		h	ak	55												
函	h	aam	4		h	am	22												
含	h	aam	4		h	am	22												
涵	h	aam	4		h	am	22												
潭	h	aam	4		h	am	22												
痰	h	aam	4		h	am	22												
罈	h	aam	4		h	am	22												
談	h	aam	4		h	am	22												
譚	h	aam	4	同“谈”	h	am	22												
咸	h	aam	4		h	am	22												
銜	h	aam	4		h	am	22												
鹹	h	aam	4		h	am	22												
陷	h	aam	6		h	am	32												
餡	h	aam	6		h	am	32												
嵌	h	aam	6		h	am	32												
撼	h	aam	6		h	am	32												
憾	h	aam	6		h	am	32												
喊	h	aam	1		h	am	33												
勘	h	aam	1		h	am	33												
堪	h	aam	1		h	am	33												
坎	h	aam	1		h	am	33												
崁	h	aam	1		h	am	33												
瞰	h	aam	1		h	am	33												
貪	h	aam	1		h	am	33												
探	h	aam	1		h	am	33												
龕	h	aam	1		h	am	33												
酣	h	aam	1		h	am	33												
憨	h	aam	1		h	am	33												
砍	h	aam	2		h	am	55												
壇	h	aan	4		h	an	22												
檀	h	aan	4		h	an	22												
嫻	h	aan	4		h	an	22												
閒	h	aan	4		h	an	22												
恨	h	aan	6		h	an	32												
限	h	aan	6		h	an	32												
攤	h	aan	1		h	an	33												
灘	h	aan	1		h	an	33												
癱	h	aan	1		h	an	33												
嘆	h	aan	1		h	an	33												
歎	h	aan	1		h	an	33												
炭	h	aan	1		h	an	33												
盼	h	aan	1		h	an	33												
碳	h	aan	1		h	an	33												
很	h	aan	2		h	an	55												
狠	h	aan	2		h	an	55												
刊	h	aan	2		h	an	55												
墾	h	aan	2		h	an	55												
灘	h	aan	2		h	an	55												
坦	h	aan	2		h	an	55												
毯	h	aan	2		h	an	55												
袒	h	aan	2		h	an	55												
忐	h	aan	2		h	an	55												
懇	h	aan	2		h	an	55												
馮	h	aang	4		h	aŋ	22												
恆	h	aang	4		h	aŋ	22												
衡	h	aang	4		h	aŋ	22												
朋	h	aang	4		h	aŋ	22												
疼	h	aang	4		h	aŋ	22												
籐	h	aang	4		h	aŋ	22												
藤	h	aang	4		h	aŋ	22												
騰	h	aang	4		h	aŋ	22												
行	h	aang	4		h	aŋ	22												
行	h	aang	6		h	aŋ	32												
倖	h	aang	6		h	aŋ	32												
幸	h	aang	6		h	aŋ	32												
杏	h	aang	6		h	aŋ	32												
哼	h	aang	1		h	aŋ	33												
坑	h	aang	1		h	aŋ	33												
鏗	h	aang	1		h	aŋ	33												
炕	h	aang	1		h	aŋ	33												
肯	h	aang	2		h	aŋ	55												
啃	h	aang	2		h	aŋ	55												
亨	h	aang	2		h	aŋ	55												
烹	h	aang	2		h	aŋ	55												
盒	h	aap	5		h	ap	21												
潭	h	aap	5		h	ap	21												
譚	h	aap	4	譚姓	h	ap	22												
合	h	aap	6		h	ap	32												
閤	h	aap	6	通“闔”	h	ap	32												
闔	h	aap	6		h	ap	32												
嗑	h	aap	6		h	ap	32												
匣	h	aap	6		h	ap	32												
瞌	h	aap	2		h	ap	55												
磕	h	aap	2		h	ap	55												
恰	h	aap	2		h	ap	55												
塔	h	aap	2		h	ap	55												
掐	h	aap	2		h	ap	55												
拓	h	aap	2		h	ap	55												
榻	h	aap	2		h	ap	55												
塌	h	aap	2		h	ap	55												
痕	h	aat	5		h	at	21												
壇	h	aat	5	社壇	h	at	21												
劾	h	aat	6		h	at	32												
核	h	aat	6		h	at	32												
轄	h	aat	6		h	at	32												
黠	h	aat	6		h	at	32												
瞎	h	aat	6		h	at	32												
駭	h	aat	6		h	at	32												
乞	h	aat	2		h	at	55												
吃	h	aat	2		h	at	55												
訖	h	aat	2		h	at	55												
扢	h	aat	2		h	at	55												
暨	h	aat	2		h	at	55												
䰴	h	aat	2		h	at	55												
迄	h	aat	2		h	at	55												
兀	h	aat	2		h	at	55												
屹	h	aat	2		h	at	55												
厚	h	aau	5		h	au	21												
後	h	aau	5	後日	h	au	21												
頭	h	aau	5	詞末變調	h	au	21												
侯	h	aau	4		h	au	22												
喉	h	aau	4		h	au	22												
猴	h	aau	4		h	au	22												
投	h	aau	4		h	au	22												
頭	h	aau	4		h	au	22												
晧	h	aau	6		h	au	32												
暤	h	aau	6		h	au	32												
皓	h	aau	6	白讀	h	au	32												
候	h	aau	6		h	au	32												
后	h	aau	6		h	au	32												
後	h	aau	6		h	au	32												
孝	h	aau	6		h	au	32												
效	h	aau	6		h	au	32												
校	h	aau	6		h	au	32												
逅	h	aau	6		h	au	32												
鮜	h	aau	6		h	au	32												
鄇	h	aau	6		h	au	32												
訽	h	aau	6		h	au	32												
睺	h	aau	6		h	au	32												
堠	h	aau	6		h	au	32												
鱟	h	aau	6		h	au	32												
鍭	h	aau	6		h	au	32												
䞧	h	aau	6		h	au	32												
䞀	h	aau	6		h	au	32												
𥀃	h	aau	6		h	au	32												
酵	h	aau	1		h	au	33												
拋	h	aau	1		h	au	33												
泡	h	aau	1		h	au	33												
泡	h	aau	1		h	au	33												
炮	h	aau	1		h	au	33												
砲	h	aau	1		h	au	33												
偷	h	aau	1		h	au	33												
透	h	aau	1		h	au	33												
哮	h	aau	1	哮喘	h	au	33												
刨	h	aau	1		h	au	33												
皰	h	aau	1		h	au	33												
烤	h	aau	2		h	au	55												
考	h	aau	2		h	au	55												
口	h	aau	2		h	au	55												
跑	h	aau	2		h	au	55												
剖	h	aau	2		h	au	55												
吼	h	aau	2	老派音讀/huŋ⁴⁵/疑爲訓讀『嗵』	h	au	55												
哮	h	aau	2	咆哮	h	au	55												
拷	h	aau	2		h	au	55												
抱	h	o	5		h	ɔ	21												
皓	h	o	5	文讀	h	ɔ	21												
泡	h	o	5		h	ɔ	21												
嚎	h	o	4		h	ɔ	22												
毫	h	o	4		h	ɔ	22												
蠔	h	o	4		h	ɔ	22												
豪	h	o	4		h	ɔ	22												
號	h	o	4		h	ɔ	22												
袍	h	o	4		h	ɔ	22												
掏	h	o	4		h	ɔ	22												
啕	h	o	4		h	ɔ	22												
桃	h	o	4		h	ɔ	22												
淘	h	o	4		h	ɔ	22												
萄	h	o	4		h	ɔ	22												
逃	h	o	4		h	ɔ	22												
陶	h	o	4		h	ɔ	22												
浩	h	o	5		h	ɔ	21												
號	h	o	6		h	ɔ	32												
好	h	o	1		h	ɔ	33												
耗	h	o	1		h	ɔ	33												
滔	h	o	1		h	ɔ	33												
濤	h	o	1		h	ɔ	33												
套	h	o	1		h	ɔ	33												
叨	h	o	1		h	ɔ	33												
蒿	h	o	1		h	ɔ	33												
絛	h	o	1		h	ɔ	33												
挑	h	o	1		h	ɔ	33												
好	h	o	2		h	ɔ	55												
可	h	o	2		h	ɔ	55												
討	h	o	2		h	ɔ	55												
禱	h	o	2		h	ɔ	55												
蚌	h	ok	5		h	ɔk	21												
幢	h	ok	5		h	ɔk	21												
殼	h	ok	5		h	ɔk	21												
塘	h	ok	5	沙塘鎮	h	ɔk	21												
鶴	h	ok	6		h	ɔk	32												
學	h	ok	6		h	ɔk	32												
托	h	ok	1		h	ɔk	33												
託	h	ok	1		h	ɔk	33												
泡	h	ok	2		h	ɔk	55												
膀	h	ong	4	膀胱	h	ɔŋ	22												
杭	h	ong	4		h	ɔŋ	22												
航	h	ong	4		h	ɔŋ	22												
降	h	ong	4		h	ɔŋ	22												
旁	h	ong	4		h	ɔŋ	22												
唐	h	ong	4		h	ɔŋ	22												
堂	h	ong	4		h	ɔŋ	22												
塘	h	ong	4		h	ɔŋ	22												
棠	h	ong	4		h	ɔŋ	22												
糖	h	ong	4		h	ɔŋ	22												
螳	h	ong	4		h	ɔŋ	22												
行	h	ong	4		h	ɔŋ	22												
膛	h	ong	4		h	ɔŋ	22												
巷	h	ong	6		h	ɔŋ	32												
項	h	ong	6		h	ɔŋ	32												
康	h	ong	1		h	ɔŋ	33												
腔	h	ong	1		h	ɔŋ	33												
湯	h	ong	1		h	ɔŋ	33												
燙	h	ong	1		h	ɔŋ	33												
吭	h	ong	1		h	ɔŋ	33												
骯	h	ong	1		h	ɔŋ	33												
躺	h	ong	2		h	ɔŋ	55												
趟	h	ong	2		h	ɔŋ	55												
倘	h	ong	2		h	ɔŋ	55												
淌	h	ong	2		h	ɔŋ	55												
被	h	eai	5		h	əi	21												
疲	h	eai	5		h	əi	21												
婢	h	eai	5		h	əi	21												
皮	h	eai	4		h	əi	22												
脾	h	eai	4		h	əi	22												
陂	h	eai	4	黃陂	h	əi	22												
邳	h	eai	4		h	əi	22												
釐	h	eai	1		h	əi	33												
披	h	eai	1		h	əi	33												
屁	h	eai	1		h	əi	33												
譬	h	eai	1		h	əi	33												
欺	h	eai	1		h	əi	33												
器	h	eai	1		h	əi	33												
憩	h	eai	1		h	əi	33												
棄	h	eai	1		h	əi	33												
氣	h	eai	1		h	əi	33												
汽	h	eai	1		h	əi	33												
嘻	h	eai	1		h	əi	33												
嬉	h	eai	1		h	əi	33												
希	h	eai	1		h	əi	33												
曦	h	eai	1		h	əi	33												
烯	h	eai	1		h	əi	33												
熙	h	eai	1		h	əi	33												
熹	h	eai	1		h	əi	33												
犧	h	eai	1		h	əi	33												
稀	h	eai	1		h	əi	33												
羲	h	eai	1		h	əi	33												
禧	h	eai	1		h	əi	33												
戲	h	eai	1		h	əi	33												
鄙	h	eai	2		h	əi	55												
嘿	h	eai	2		h	əi	55												
豈	h	eai	2		h	əi	55												
起	h	eai	2		h	əi	55												
喜	h	eai	2		h	əi	55												
圮	h	eai	2		h	əi	55												
否	h	eai	2	否極泰來	h	əi	55												
坏	h	eai	2		h	əi	55												
胚	h	eai	2		h	əi	55												
剔	h	eak	2		h	ək	55												
惕	h	eak	2		h	ək	55												
忑	h	eak	2		h	ək	55												
欠	h	eam	1		h	əm	33												
芡	h	eam	1		h	əm	33												
欽	h	eam	1		h	əm	33												
瀕	h	ean	4	白讀	h	ən	22												
貧	h	ean	4		h	ən	22												
欣	h	ean	1		h	ən	33												
蘋	h	eang	4		h	əŋ	22												
坪	h	eang	4	沙坪鎮	h	əŋ	22												
平	h	eang	4	文讀	h	əŋ	22												
萍	h	eang	4		h	əŋ	22												
評	h	eang	4		h	əŋ	22												
亭	h	eang	4		h	əŋ	22												
停	h	eang	4		h	əŋ	22												
婷	h	eang	4		h	əŋ	22												
庭	h	eang	4		h	əŋ	22												
廷	h	eang	4		h	əŋ	22												
蜓	h	eang	4		h	əŋ	22												
霆	h	eang	4		h	əŋ	22												
胼	h	eang	4		h	əŋ	22												
烴	h	eang	1		h	əŋ	33												
拚	h	eang	1		h	əŋ	33												
拼	h	eang	1		h	əŋ	33												
氫	h	eang	1		h	əŋ	33												
輕	h	eang	1	文讀	h	əŋ	33												
慶	h	eang	1		h	əŋ	33												
挺	h	eang	1		h	əŋ	33												
興	h	eang	1		h	əŋ	33												
兄	h	eang	1		h	əŋ	33												
汀	h	eang	1		h	əŋ	33												
馨	h	eang	1		h	əŋ	33												
罄	h	eang	1		h	əŋ	33												
貼	h	eap	2	又讀	h	əp	55												
丘	h	eau	1		h	əu	33												
蚯	h	eau	1		h	əu	33												
邱	h	eau	1		h	əu	33												
休	h	eau	1		h	əu	33												
咻	h	eau	1		h	əu	33												
朽	h	eau	2		h	əu	55												
坪	h	iaak	5	坪頂村	h	iak	21												
羥	h	iaak	5		h	iak	21												
艇	h	iaak	5		h	iak	21												
喫	h	iaak	1		h	iak	33												
燩	h	iaak	1		h	iak	33												
𢶡	h	iaak	1		h	iak	33												
𣪠	h	iaak	1		h	iak	33												
𠿊	h	iaak	1		h	iak	33												
𥍰	h	iaak	1		h	iak	33												
𢿣	h	iaak	1		h	iak	33												
𢞒	h	iaak	1		h	iak	33												
䍊	h	iaak	1		h	iak	33												
踢	h	iaak	1		h	iak	33												
平	h	iaang	4	白讀	h	iaŋ	22												
輕	h	iaang	1	白讀	h	iaŋ	33												
廳	h	iaang	1		h	iaŋ	33												
聽	h	iaang	1		h	iaŋ	33												
聽	h	iaang	1		h	iaŋ	33												
鄉	h	iaang	1		h	iaŋ	33												
香	h	iaang	1		h	iaŋ	33												
向	h	iaang	1		h	iaŋ	33												
嚮	h	iaang	1		h	iaŋ	33												
卿	h	iaang	1		h	iaŋ	33												
晌	h	iaang	2		h	iaŋ	55												
享	h	iaang	2		h	iaŋ	55												
響	h	iaang	2		h	iaŋ	55												
饗	h	iaang	2		h	iaŋ	55												
嚮	h	iaang	2		h	iaŋ	55												
甜	h	im	4		h	im	22												
謙	h	im	1		h	im	33												
添	h	im	1		h	im	33												
險	h	im	2		h	im	55												
填	h	in	4		h	in	22												
田	h	in	4		h	in	22												
闐	h	in	4		h	in	22												
片	h	in	1		h	in	33												
牽	h	in	1		h	in	33												
縴	h	in	1		h	in	33												
勸	h	in	1		h	in	33												
天	h	in	1		h	in	33												
掀	h	in	1		h	in	33												
憲	h	in	1		h	in	33												
獻	h	in	1		h	in	33												
騫	h	in	1		h	in	33												
軒	h	in	1		h	in	33												
鶱	h	in	1		h	in	33												
䡣	h	in	1		h	in	33												
蓒	h	in	1		h	in	33												
䞿	h	in	1		h	in	33												
譴	h	in	2		h	in	55												
遣	h	in	2		h	in	55												
圈	h	in	2		h	in	55												
犬	h	in	2		h	in	55												
券	h	in	2		h	in	55												
顯	h	in	2		h	in	55												
俠	h	ip	6		h	ip	32												
峽	h	ip	6		h	ip	32												
狹	h	ip	6		h	ip	32												
協	h	ip	6		h	ip	32												
挾	h	ip	6		h	ip	32												
脅	h	ip	6		h	ip	32												
姭	h	ip	6		h	ip	32												
𢂐	h	ip	6		h	ip	32												
𤙒	h	ip	6		h	ip	32												
𠗉	h	ip	6		h	ip	32												
綊	h	ip	6		h	ip	32												
叶	h	ip	6	同『協』	h	ip	32												
劦	h	ip	6		h	ip	32												
勰	h	ip	6		h	ip	32												
貼	h	ip	1		h	ip	33												
歉	h	ip	2		h	ip	55												
帖	h	ip	2		h	ip	55												
怯	h	ip	2		h	ip	55												
愜	h	ip	2		h	ip	55												
瞥	h	it	1		h	it	33												
鐵	h	it	1		h	it	33												
血	h	it	1		h	it	33												
票	h	iu	5		h	iu	21												
調	h	iu	4		h	iu	22												
條	h	iu	4		h	iu	22												
跳	h	iu	4		h	iu	22												
迢	h	iu	4		h	iu	22												
挑	h	iu	1		h	iu	33												
跳	h	iu	1		h	iu	33												
眺	h	iu	1		h	iu	33												
蹺	h	iu	1		h	iu	33												
竅	h	iu	1		h	iu	33												
囂	h	iu	1		h	iu	33												
曉	h	iu	2		h	iu	55												
哼	h	m		白讀	h	m													
哼	h	ng		文讀	h	ŋ													
婆	h	u	5	老婆乸	h	u	21												
妥	h	u	5		h	u	21												
橢	h	u	5		h	u	21												
唾	h	u	5		h	u	21												
何	h	u	4		h	u	22												
河	h	u	4		h	u	22												
荷	h	u	4		h	u	22												
婆	h	u	4		h	u	22												
匍	h	u	4		h	u	22												
菩	h	u	4		h	u	22												
葡	h	u	4		h	u	22												
圖	h	u	4		h	u	22												
屠	h	u	4		h	u	22												
徒	h	u	4		h	u	22												
途	h	u	4		h	u	22												
佗	h	u	4		h	u	22												
沱	h	u	4		h	u	22												
跎	h	u	4		h	u	22												
陀	h	u	4		h	u	22												
馱	h	u	4		h	u	22												
駝	h	u	4		h	u	22												
鴕	h	u	4		h	u	22												
舵	h	u	4		h	u	22												
荼	h	u	4		h	u	22												
荷	h	u	6		h	u	32												
頗	h	u	1		h	u	33												
破	h	u	1		h	u	33												
鋪	h	u	1		h	u	33												
鋪	h	u	1		h	u	33												
吐	h	u	1		h	u	33												
兔	h	u	1		h	u	33												
菟	h	u	1		h	u	33												
拖	h	u	1		h	u	33												
普	h	u	2		h	u	55												
譜	h	u	2		h	u	55												
討	h	u	2		h	u	55												
土	h	u	2		h	u	55												
倍	h	uoi	5		h	uɔi	21												
培	h	uoi	4		h	uɔi	22												
賠	h	uoi	4		h	uɔi	22												
陪	h	uoi	4		h	uɔi	22												
台	h	uoi	4		h	uɔi	22												
抬	h	uoi	4		h	uɔi	22												
檯	h	uoi	4		h	uɔi	22												
臺	h	uoi	4		h	uɔi	22												
苔	h	uoi	4		h	uɔi	22												
颱	h	uoi	4		h	uɔi	22												
蓓	h	uoi	4		h	uɔi	22												
亥	h	uoi	6		h	uɔi	32												
害	h	uoi	6		h	uɔi	32												
開	h	uoi	1		h	uɔi	33												
佩	h	uoi	1		h	uɔi	33												
沛	h	uoi	1		h	uɔi	33												
珮	h	uoi	1		h	uɔi	33												
配	h	uoi	1		h	uɔi	33												
胎	h	uoi	1		h	uɔi	33												
海	h	uoi	2		h	uɔi	55												
賄	h	uoi	2		h	uɔi	55												
凱	h	uoi	2		h	uɔi	55												
皚	h	uoi	2		h	uɔi	55												
侃	h	uon	2		h	uɔn	55												
鼾	h	uon	4		h	uɔn	22												
寒	h	uon	4		h	uɔn	22												
韓	h	uon	4		h	uɔn	22												
汗	h	uon	4		h	uɔn	22												
翰	h	uon	4		h	uɔn	22												
蹣	h	uon	4		h	uɔn	22												
盤	h	uon	4		h	uɔn	22												
蟠	h	uon	4		h	uɔn	22												
團	h	uon	4		h	uɔn	22												
糰	h	uon	4		h	uɔn	22												
