序号	例字	注释	古晋	揭西
202	捕		pʰu31	pʰu31
203	埠		pʰu44	pʰu44
204	模		mo24	mou24
205	模		mo24	mou24
206	暮		mu52	mu52
207	墓		mu52	mu52
208	募		mu52	mu52
209	都		to44	tu44
210	都		to44	tou44
211	堵		tu31	tu31
212	賭		tu31	tu31
213	肚		tu31	tu31
214	土		tʰu31	tʰu31
215	吐		tʰu31	tʰu31
216	吐		tʰu52	tʰu52
217	兔		tʰu52	tʰu52
218	途		tʰu24	tʰu24
219	屠		tʰu24	tʰu24
220	徒		tʰu24	tʰu24
221	塗		tʰu24	tʰu24
222	圖		tʰu24	tʰu24
223	杜		tʰu31	tʰu31
224	肚		tʰu31	tu31
225	度		tʰu31	tʰu31
226	渡		tʰu31	tʰu31
227	鍍		tʰu31	tʰu31
228	奴		nu24	nu24
229	盧		lu24	lu24
230	爐		lu24	lu24
231	蘆		lu24	lu24
232	魯		lu31	lu44
233	滷		lu44	lu44
234	路		lu31	lu31
235	賂		lu52	lok5
236	露		lu52	lu52
237	鷺		lu52	lu52
238	租		ʦɿ44	ʦɿ44
239	祖		ʦu31	ʦu31
240	組		ʦɿ44	ʦɿ44
241	做		ʦo52	ʦou52
242	粗		ʦʰu44	ʦʰu44
243	醋		ʦʰɿ52	ʦʰɿ52
244	措			ʦʰou52
245	錯		ʦʰo52	ʦʰou52
246	蘇		su44	sɿ44
247	酥		sɿ44	sɿ44
248	素		sɿ52	sɿ52
249	訴		sɿ52	sɿ52
250	塑		sok5	sok2
251	姑		ku44	ku44
252	孤		ku44	ku44
253	箍		kʰieu44	ku44
254	辜		ku44	ku44
255	古		ku31	ku31
256	估		ku44	ku44
257	牯		ku31	ku31
258	股		ku31	ku31
259	鼓		ku31	ku31
260	故		ku52	ku52
261	固		ku52	ku52
262	雇		ku52	ku52
263	顧		ku52	ku52
264	枯		kʰu44	kʰu44
265	苦		kʰu31	kʰu31
266	庫		kʰu52	kʰu52
267	褲		kʰu52	kʰu52
268	吴		ŋ24	ŋ24
269	蜈		ŋ24	ŋ24
270	梧		ŋ24	ŋ24
271	五		ŋ31	ŋ31
272	伍		ŋ31	ŋ31
273	午		ŋ31	ŋ31
274	誤		ŋ31	ŋ31
275	悟		bu24	ŋu24
276	呼		fu44	fu44
277	虎		fu31	fu31
278	戽		fu52	fu52
279	胡		fu24	fu24
280	湖		fu24	fu24
281	糊		fu24	fu24
282	狐		fu24	fu24
283	壺		fu24	fu24
284	葫		fu24	fu24
285	蝴		fu24	fu24
286	鬍		fu24	fu24
287	户		fu31	fu31
288	互		fu44	fu44
289	護		fu31	fu31
290	烏		bu44	vu44
291	污		bu44	vu44
292	惡		ok2	ok2
293	廬		lu24	lu24
294	吕		li44	li44
295	旅		li31	li44
296	慮		li31	li31
297	濾		li52	li52
298	豬		ʧu44	ʧu44
299	著			ʧu52
300	除		ʧʰu24	ʧʰu24
301	儲		ʧʰu31	ʧʰu31
302	箸		ʧʰu31	ʧʰu31
303	阻		ʦu31	ʦu31
304	初		ʦʰɿ44	ʦʰɿ44
305	楚		ʦʰɿ31	ʦʰɿ31
306	礎			ʦʰɿ31
307	鋤		ʦʰu24	ʦʰu24
308	助		ʦʰɿ31	ʦʰɿ31
309	梳		sɿ44	sɿ44
310	疏		so44	sɿ44
311	所		so31	sou31
312	煮		ʧu31	ʧu31
313	處		ʧʰu52	ʧʰu52
314	杵			ʧʰuŋ44
315	書		ʃu44	ʃu44
316	舒		ʃu44	ʃu44
317	鼠		ʃu31	ʃu31
318	暑		ʃu31	ʃu31
319	黍		ʃu31	ʃu31
320	薯		ʃu24	ʃu24
321	如			ʒi24
322	居		ki44	ki44
323	車		ki44	ki44
324	舉		ki31	ki31
325	據		ki31	ki31
326	鋸		ki52	ki52
327	墟		hi44	hi44
328	去		kʰi52	kʰi52
329	佢		ki24	ki24
330	拒		ki44	kʰi44
331	距		ki44	kʰi44
332	魚		ŋ24	ŋ24
333	漁		ŋ24	ŋ24
334	語		ŋi44	ŋi44
335	虚		hi44	hi44
336	許		hi31	hi31
337	於		ʒi24	ʒi44
338	淤		ʒi24	ʒi24
339	余		ʒi24	ʒi24
340	餘		ʒi24	ʒi24
341	譽		ŋi24	ʒi31
342	預		ʒi31	ʒi31
343	夫		fu44	fu44
344	膚		fu44	fu44
345	府		fu31	fu31
346	腑		fu31	fu31
347	俯		fu44	fu31
348	甫			fu31
349	脯		pʰu31	pʰu31
350	斧		fu31	fu31
351	付		fu52	fu52
352	賦		fu52	fu52
353	傅		fu52	fu52
354	敷		fu44	fu44
355	孵		pʰu31	pʰu31
356	撫		fu31	fu31
357	符		fu24	fu24
358	扶		pʰu24	fu24
359	芙		fu24	fu24
360	腐		fu31	fu31
361	輔		fu31	fu31
362	附		fu52	fu52
363	無		mo24	mou24
364	巫		bu44	vu44
365	武		bu31	vu31
366	舞		bu31	vu31
367	侮		bu31	vu31
368	鵡		bu31	vu31
369	務		bu52	vu52
370	霧		bu52	vu52
371	聚		ʦʰip5	ʦʰi52
372	鬚		si44	si44
373	需		hi44	si44
374	續		siuk5	siuk5
375	誅		ti44	ti44
376	蛛		tu44	tu44
377	註		ʧu52	ʧu52
378	厨		ʧʰu24	ʧʰu24
379	柱		ʧʰu44	ʧʰu44
380	住		ʧʰu31	ʧʰu31
381	數			sɔn52
382	數		sɿ52	sɿ52
383	朱		ʧu44	ʧu44
384	硃		ʧu44	ʧu44
385	珠		ʧu44	ʧu44
386	主		ʧu31	ʧu31
387	注		ʧu52	ʧu52
388	蛀		ʧu52	ʧu52
389	輸		ʃu44	ʃu44
390	輸		ʃu44	ʃu44
391	樹		ʃu31	ʃu31
392	乳		nen52	nen52
393	矩		ki31	ki31
394	句		ki52	ki52
395	區		kʰi44	kʰi44
396	軀		kʰi44	kʰi44
397	愚		ŋa52	ŋa52
398	娱		ʒi24	ʒi24
399	遇		ŋi31	ŋi31
400	雨		ʃui31	ʃui31
401	羽		ʒi31	ʒi31
402	芋		bu31	vu31
403	愈		ʒu52	
404	喻		ŋi52	ʒi31
405	裕		ʒi31	ʒi31
406	戴		tai52	tai52
407	胎		tʰoi44	tʰoi44
408	台		tʰoi24	tʰoi24
409	態		tʰai52	tʰai52
410	貸		toi52	toi31
411	臺		tʰoi24	tʰoi24
412	苔		tʰoi24	tʰoi24
413	抬		tʰoi24	tʰoi24
414	待		tʰoi31	
415	代		tʰoi31	tʰoi31
416	袋		tʰoi31	tʰoi31
417	耐		nai52	nai31
418	來		loi24	loi24
419	災		ʦai44	ʦai44
420	栽		ʦai44	ʦai44
421	宰		ʦai31	ʦai31
422	載		ʦai52	ʦai31
423	再		ʦai52	ʦai52
424	載		ʦai52	ʦai52
425	猜		ʦʰai44	ʦʰai44
426	彩		ʦʰai31	ʦʰai31
427	採		ʦʰai31	ʦʰai31
428	踩		ʦʰai31	ʦʰai31
429	睬		ʦʰoi31	ʦʰoi31
430	菜		ʦʰoi52	ʦʰoi52
431	纔		ʦʰoi24	ʦʰoi24
432	才		ʦʰoi24	ʦʰoi24
433	材		ʦʰoi24	ʦʰoi24
434	財		ʦʰoi24	ʦʰoi24
435	裁		ʦʰoi24	ʦʰoi24
436	載			ʦʰai52
437	腮			sai44
438	鰓		soi44	soi44
439	賽		soi52	soi52
440	該		koi44	koi44
441	改		koi31	koi31
442	概		koi52	kʰai31
443	開		kʰoi44	kʰoi44
444	慨		kʰoi31	kʰoi31
445	磑		ŋai24	ŋai24
446	海		hoi31	hoi31
447	孩		hoi24	hoi24
448	哀		oi44	oi44
449	埃		oi44	oi44
450	唉		ai44	ai44
451	愛		oi52	oi52
452	貝		poi52	pui52
453	沛			pʰui52
454	帶		tai52	tai52
455	太		tʰai52	tʰai52
456	泰		tʰai52	tʰai52
457	大		tʰai31	tʰai31
458	奈		nai31	noi31
459	賴		lai31	lai31
460	癩			lai31
461	蔡		ʦʰai52	ʦʰai52
462	蓋		koi52	koi52
463	丐		koi52	koi52
464	艾		ŋie52	ŋiei52
465	害		hoi31	hoi31
466	蔼		ŋoi31	ŋoi31
467	拜		pai52	pai52
468	排		pʰai24	pʰai24
469	埋		mai24	mai24
470	齋		ʦʰai44	ʦai44
471	豺		ʦʰoi24	ʦʰai24
472	階		kai44	kai44
473	介		kai52	kai52
474	界		kai52	kai52
475	芥		kai52	kai52
476	疥		kai52	kai52
477	届		kai52	kai52
478	戒		kai52	kai52
479	楷		kʰai31	kʰai31
480	駭			hai52
481	械		hai31	hai31
482	挨		ŋai24	ŋai24
483	擺		pai31	pai31
484	派		pʰai52	pʰai52
485	簰		pʰai24	pʰai24
486	牌		pʰai24	pʰai24
487	罷		pa52	pa52
488	買		mai44	mai44
489	賣		mai31	mai31
490	奶		nen52	nen52
491	債		ʦai52	ʦai52
492	差		ʦʰai44	ʦʰai44
493	柴		ʦʰiau24	ʦʰiau24
494	曬		sai52	sai52
495	佳		ka44	ka44
496	街		kai44	kai44
497	解		kai31	kai31
498	涯		ŋa24	ŋai24
499	崖			ŋai24
500	捱			ŋai24
501	鞋		hai24	hei24
502	解		kai31	kai31
503	蟹		hai31	hai31
504	矮		ai31	ai31
505	敗		pʰai31	pʰai31
506	寨		ʦai52	ʦʰai52
507	弊		pi52	pi52
508	幣		pi52	pi52
509	斃		pi52	pi52
510	厲		li31	li31
511	勵		li52	li31
512	際		ʦi52	ʦi52
513	制		ʧi52	ʧi52
514	世		ʃei52	ʃei52
515	勢		ʃei52	ʃei52
516	誓		ʃi31	ʃi31
517	藝		ŋi31	ŋi31
518	蓖		pi44	pi24
519	閉		pi52	pi52
520	批		pʰi44	pʰei44
521	迷		mi24	mi24
522	米		mi31	mi31
523	謎		mi24	mi24
524	低		te44	tei44
525	底		te31	te31
526	抵		te31	ti31
527	帝		ti52	ti52
528	梯		tʰoi44	tʰoi44
529	體		tʰi31	tʰi31
530	替		tʰe52	tʰei52
531	剃		tʰe52	tʰei52
532	題		tʰi24	tʰi24
533	提		tʰi24	tʰi24
534	蹄		tʰe24	tʰei24
535	弟		tʰe44	tʰei44
536	第		tʰi31	tʰi31
537	泥		ne24	nei24
538	犂		le24	lei24
539	禮		li44	li44
540	麗		li31	li31
541	隷		li52	li52
542	莉		li52	li31
543	濟		ʦi52	ʦi52
544	齊		ʦʰe24	ʦʰei24
545	劑		tsi52	tsi52
546	西		si44	si44
547	犀		si44	si44
548	洗		se31	sei31
549	細		se52	sei52
550	婿		se52	sei52
551	鷄		kie44	kiei44
552	計		kie52	kiei52
553	溪		kʰie44	kʰiei44
554	啓		kʰi31	kʰi31
555	契		kʰie52	kʰiei52
556	系		he52	hi52
557	杯		pui44	pui44
558	輩		pui52	pʰui31
559	背		poi52	poi52
560	配		pʰui52	pʰui52
561	培		pʰoi24	pʰoi24
562	陪		pʰoi24	pʰoi24
563	賠		pʰoi24	pʰoi24
564	倍		pʰoi24	pʰoi24
565	佩		pʰui52	pʰui52
566	背		pʰoi31	pʰoi31
567	焙		pen44	pen44
568	梅		moi24	moi24
569	枚			moi24
570	媒		moi24	moi24
571	煤		moi24	moi24
572	玫		moi24	moi24
573	莓		moi24	moi24
574	每		moi44	mui44
575	妹		moi52	moi52
576	堆		toi44	toi44
577	對		tui52	tui52
578	推		suŋ31	suŋ31
579	腿		tʰui31	tʰui31
580	退		tʰui52	tʰui52
581	隊		tʰui31	tʰui31
582	内		nui31	nui31
583	雷		lui24	lui24
584	儡		ui	lui31
585	累		lui31	hot2
586	擂		lui24	lui24
587	催		ʦʰui44	ʦʰui44
588	崔		ʦʰui44	ʦʰui44
589	罪		ʦʰui31	ʦʰui31
590	碎		sui52	sui52
591	瑰		kui52	kui52
592	盔			kʰui44
593	魁			kʰui24
594	恢		fui44	fui44
595	詼		foi44	foi44
596	傀			kʰui24
597	塊		kʰuai52	kʰuai52
598	灰		foi44	foi44
599	悔		fui31	fui31
600	回		fui24	fui24
601	迴			fui24
602	匯		fui52	fui31
603	潰			kʰui52
604	煨		boi44	voi44
605	蜕			tʰui52
606	兑			tui52
607	最		ʦui52	ʦui52
608	會		kʰuai52	kʰuai52
609	劊			kʰuai52
610	外		ŋuai31	ŋuai31
611	會		fui31	fui31
612	會			voi31
613	繪		fui31	fui31
614	乖		kuai44	kuai44
615	怪		kuai52	kuai52
616	塊		kʰuai52	kʰuai52
617	淮			fai24
618	壞		fai31	fai31
619	柺		kuai31	kuai31
620	掛		kua52	kua52
621	卦		kua52	kua52
622	褂		kua52	kua52
623	畫		fa31	fa31
624	蛙		kuai31	kuai31
625	快		kʰuai52	kʰuai52
626	筷		ʧʰu31	ʧʰu31
627	話		fa31	fa31
628	脆		ʦʰui52	ʦʰui52
629	歲		soi52	sei52
630	贅			ʧui52
631	税		ʃoi52	ʃoi52
632	鱖			kui52
633	衛		bui31	vui31
634	廢		fui52	fui52
635	肺		pʰui52	pʰui52
636	吠		pʰui31	pʰui31
637	桂		kui52	kui52
638	奎		kʰui24	kʰui24
639	畦		liuŋ44	liuŋ44
640	惠		fui31	fui31
641	慧		fui31	fui31
642	碑		pi44	pi44
643	臂		pi31	pi31
644	皮		pʰi24	pʰi24
645	脾		pʰi24	pʰi24
646	被		pʰi44	pʰi44
647	婢			pi52
648	被		pʰi44	pʰi44
649	避		pʰi31	pʰi31
650	糜		moi24	moi24
651	彌		mi44	mi44
652	靡		mi24	mi24
653	離		li24	li24
654	籬		li24	li24
655	璃		li24	li24
656	荔		li31	lai52
657	離		li24	li24
658	紫		ʦɿ31	ʦɿ31
659	雌		ʦʰɿ24	ʦʰɿ24
660	刺		ʦʰi52	ʦʰi52
661	斯		sɿ44	sɿ44
662	璽			hi31
663	賜			ʦʰɿ52
664	知		ti44	ti44
665	蜘		ti44	ti44
666	池		ʧʰi24	ʧʰi24
667	馳			ʧʰi24
668	篩		ʦʰe44	sai44
669	支		ki44	ki44
670	枝		ki44	ki44
671	肢		ki44	ki44
672	紙		ʧi31	ʧi31
673	只		ʧi31	ʧi31
674	翅		ʧʰi52	ʧʰi52
675	匙		ʃi24	ʃi24
676	是		he52	hei52
677	氏		ʃi31	ʃi31
678	豉		ʃi31	ʃi31
679	兒		ʒi24	ʒi24
680	寄		ki52	ki52
681	企		kʰi31	kʰi44
682	奇		kʰi24	kʰi24
683	騎		kʰi24	kʰi24
684	徛		kʰi44	kʰi44
685	技		ki44	ki44
686	妓		ki52	kai52
687	奇		kʰi24	kʰi24
688	宜		ŋi24	ŋi24
689	儀		ʒi24	ŋi24
690	蟻		ŋie52	ŋiei52
691	誼		ʒi24	ʒi24
692	義		ŋi31	ŋi31
693	議		ŋi31	ŋi31
694	犧		hi44	hi44
695	戲		hi52	hi52
696	椅		ʒi31	ʒi31
697	倚		ʒi44	ʒi44
698	移		ʒi24	ʒi24
699	易		ʒi31	ʒi31
700	悲		pui44	pui44
701	比		pi31	pi31
702	秘		pi52	pi52
703	庇		pi52	pi52
704	痹		pi52	pi52
705	屁		pʰi52	pʰi52
706	琵		pʰi24	pʰi24
707	枇		pʰi24	pʰi24
708	備		pʰi31	pʰi31
709	鼻		pʰi31	pʰi31
710	眉		mi24	mi24
711	黴			moi24
712	美		mui44	mui44
713	地		tʰi31	tʰi31
714	尼		ni24	ni24
715	膩		ni52	ni52
716	梨		li24	li24
717	利		li52	li31
718	資		ʦɿ44	ʦɿ44
719	姿		ʦɿ44	ʦɿ44
720	咨		ʦɿ44	ʦɿ44
721	姊		ʦi31	ʦi31
722	次			ʦʰɿ52
723	瓷		ʦʰi24	ʦʰi24
724	餈			ʦʰɿ24
725	自		ʦi31	ʦi31
726	私		sɿ44	sɿ44
727	死		si31	si31
728	四		si52	si52
729	遲		ʧʰi24	ʧʰi24
730	稚		ʧʰi44	ʧʰi44
731	師		sɿ44	sɿ44
732	獅		sɿ44	sɿ44
733	螄		ʧi44	sɿ44
734	脂		ʧi31	ʧi44
735	指		ʧi31	ʧi31
736	旨		ʧi31	ʧi31
737	至		ʧi52	ʧi52
738	示		ʃi52	ʃi31
739	尸		ʃi44	ʃi44
740	屍		ʃi44	ʃi44
741	屎		ʃi31	ʃi31
742	矢		ʃi	ʃi
743	視		ʃi31	ʃi31
744	二		ŋi31	ŋi31
745	肌		ki44	ki44
746	几		ki31	ki44
747	冀			ki44
748	器		kʰi52	kʰi52
749	棄		kʰi52	kʰi52
750	祁			kʰi24
751	姨		ʒi24	ʒi24
752	你		ŋi24	ŋi24
753	釐		li24	li24
754	貍		li24	li24
755	李		li31	li31
756	里		li31	li44
757	理		li44	li44
758	鯉		li31	li44
759	滋		ʦɿ44	ʦɿ44
760	子		ʦɿ31	ʦɿ31
761	慈		ʦʰɿ24	ʦʰɿ24
762	磁		ʦʰɿ24	ʦʰɿ24
763	字		ʦʰɿ31	ʦʰɿ31
764	思		sɿ44	sɿ44
765	絲		sɿ44	sɿ44
766	司		sɿ44	sɿ44
767	思		sɿ44	sɿ44
768	辭		ʦʰɿ24	ʦʰɿ24
769	祠		ʦʰɿ24	ʦʰɿ24
770	詞		ʦʰɿ24	ʦʰɿ24
771	巳		ʦʰɿ31	ʦʰɿ31
772	寺		sɿ52	sɿ31
773	置		ʧi52	ʧi52
774	癡		ʧʰi44	ʧʰi44
775	耻		ʧʰi31	ʧʰi31
776	持		ʧʰi24	ʧʰi24
777	痔		ʧʰi31	ʧʰ52
778	治		ʧʰi31	ʧʰi52
779	厠		ʦʰa52	ʦʰa52
780	士		sɿ52	sɿ52
781	柿		sai31	sai31
782	事		sɿ31	sɿ31
783	史		sɿ31	sɿ31
784	使		sɿ31	sɿ31
785	駛		sɿ31	sɿ31
786	之			ʦɿ44
787	芝		ʦɿ44	ʦɿ44
788	止		ʧi31	ʧi31
789	址		ʧi31	ʧi31
790	趾		ʧi31	ʧi31
791	志		ʧi52	ʧi52
792	痣		ʧi52	ʧi52
793	誌		ʧi52	ʧi52
794	齒		ʧʰi31	ʧʰi31
795	詩		ʃi44	ʃi44
796	始		ʃi31	ʃi31
797	試		ʃi52	ʧʰi52
798	時		ʃi24	ʃi24
799	市		ʃi31	ʃi31
800	而			lu24
801	耳		ŋi31	ŋi31
802	餌			ŋi31
803	基		ki44	ki44
804	萁			ki44
805	箕		ki44	ki44
806	紀		ki52	ki52
807	記		ki52	ki52
808	欺		kʰi44	kʰi44
809	起		kʰi31	kʰi31
810	杞		ki31	ki31
811	棋		kʰi24	kʰi24
812	旗		kʰi24	kʰi24
813	其		kʰi24	kʰi24
814	期		kʰi24	kʰi24
815	疑		ŋi24	ŋi24
816	熙		hi44	hi44
817	嘻		hi44	hi44
818	禧		hi31	hi31
819	喜		hi31	hi31
820	醫		ʒi44	ʒi44
821	意		ʒi52	ʒi52
822	以		ʒi44	ʒi44
823	已		ʒi31	ʒi31
824	機		ki44	ki44
825	譏		ki44	ki44
826	幾		ki44	ki44
827	幾		ki31	
828	既			ki52
829	豈			kʰi31
830	氣		kʰi52	kʰi52
831	汽		kʰi52	kʰi52
832	祈		kʰi31	kʰi31
833	希		hi44	hi44
834	稀		hi44	hi44
835	衣		ʒi44	sam44
836	依			ʒi44
837	累		lui31	lui31
838	累		lui31	lui52
839	嘴		ʧoi52	ʧoi52
840	髓		sui31	sui24
841	隨		sui24	sui24
842	吹		ʧʰui44	ʧʰoi44
843	垂		ʧʰui24	ʧʰui24
844	睡		ʃoi52	ʃoi31
845	蕊		lui24	lui24
846	規		kui44	kui44
847	虧		kʰui44	kʰui44
848	跪		kʰui31	kʰui31
849	危		bui44	ŋui24
850	僞		bui31	bui31
851	毁		fui31	fui31
852	萎		bui31	vui31
853	委		bui31	vui31
854	爲		bui24	vui24
855	爲		bui52	vui52
856	壘		lui31	lui31
857	類		lui31	lui31
858	醉		ʦui52	ʦui52
859	翠		ʦʰui52	ʦʰui52
860	悴		ʦʰui52	ʦʰui52
861	雖		sui44	sui44
862	遂		sui52	sui52
863	隧			sui31
864	穗			sui31
865	追		tui44	ʧui44
866	錘		ʧʰui24	ʧʰui24
867	槌		ʧʰui24	ʧʰui24
868	衰		soi44	soi44
869	錐		ʧui44	ʧui44
870	水		ʃui31	ʃui31
871	龜		kui44	kui44
872	癸		kʰui24	
873	軌		kui31	kui31
874	愧		kʰui52	kʰui52
875	季			kui52
876	逵		kʰui24	kʰui24
877	葵		kʰui24	kʰui24
878	櫃		kʰui31	kʰui31
879	位		bui31	vui31
880	帷			vui24
881	維		bui24	vui24
882	惟		bui24	vui24
883	唯		bui24	vui24
884	飛		pui44	pui44
885	非		fui44	fui44
886	匪		fui44	fui44
887	妃		fui44	fui44
888	菲		fui44	fui44
889	費		fui52	fui52
890	肥		pʰui24	pʰui24
891	翡		fui31	fui31
892	微		bui44	mi24
893	尾		mui44	mui44
894	味		mui31	mui31
895	歸		kui44	kui44
896	鬼		kui31	kui31
897	貴		kui52	kui52
898	魏		ŋui31	vui31
899	揮		fui44	fui44
900	輝		fui44	fui44
901	徽		fui44	fui44
902	威		bui44	vui44
903	畏		bui52	kiaŋ44
904	慰		bui31	vui31
905	圍		bui24	vui24
906	違		bui24	vui24
907	偉		bui31	vui31
908	葦		bui31	vui31
909	緯		bui31	vui31
910	胃		bui31	vui31
911	謂		bui52	vui31
912	蝟			vui31
913	彙		fui31	fui31
914	褒			pou44
915	保		po31	pou31
916	寶		po31	pou31
917	堡		po31	pou31
918	報		po52	pou52
919	袍		pʰau24	pʰau24
920	暴		pʰau52	pʰau52
921	菢		pʰui31	pʰui31
922	毛		mo44	mou44
923	冒		mau31	mau31
924	帽		mo31	mou31
925	刀		to44	tou44
926	叨		tau44	tau44
927	倒		to31	tou31
928	島		to31	tou31
929	禱			tou31
930	搗		to31	tou31
931	倒		to52	tou31
932	到		teu52	tou52
933	滔			tʰau44
934	掏			tʰau44
935	討		tʰo31	tʰou31
936	套		tʰau52	tʰau52
937	桃		tʰo24	tʰou24
938	逃		tʰo24	tʰau24
