#a
p[1]巴疤粑扒[2]八拔捌[3]把靶㞎{大便}[5]吧罢霸坝
tʰ[1]掏滔[2]逃桃淘陶[3]讨[5]套
n[1]捞唠[2]牢劳涝[3]老佬脑恼[5]闹
ts [1]召招遭糟[2]着[3]找爪早枣澡蚤[5]照罩兆赵灶皂 
tsʰ[1]抄超钞操糙[2]曹嘈朝潮嘲[3]草炒
s[1]烧捎梢搔骚稍[3]少扫嫂[5]臊哨绍
k[1] 高膏羔糕[3]搞稿[5]告
kʰ [1]拷[3]考烤[5]靠铐
x[1]蒿[2]嚎壕毫[3]好[5]号浩耗

#əu
t[1]都逗兜[3]陡[5]斗豆
t[1]偷[2]头投[3]□{打 }[5] 透 
n[2]楼[3]搂篓[5]漏陋
ts [1]周洲州舟邹[3]走[5]皱昼咒揍奏 
tsʰ [1]抽[2]愁仇稠凑[3]丑[5]臭
s[1]收艘搜[3]手首守[5]瘦兽售寿 
z[2]揉柔蹂
k[1]沟勾[3]狗苟[5]够购构 
kʰ[1]抠[3]口[5]扣叩寇
x[2]喉侯猴[3]吼[5]后厚候

#iəu
t[1]丢
n[1]瘤溜遛妞[2]牛流留刘硫[3]柳扭纽钮[5]□{动} 
tɕ [1]揪纠[2]揪{白，抓住}[3]九酒久[5]就舅旧救究   
tɕʰ[1]秋丘邱[2]求球囚[5]□{去}
ɕ [1]修休羞[2]□{看上}[3]朽[5]锈绣袖秀

#ia
n[1]□ {娇气}
tɕ [1]家加嘉稼佳[2]甲夹[3]假[5]架嫁驾 
tɕʰ [1]□{吃}[2]恰掐
ɕ [1]虾[2]峡瞎狭侠霞[5]下夏

#io
n[2]略掠
tɕ [2]脚角觉
tɕʰ [1]□{男性生殖器} [2]确却雀鹊
ɕ [2]学
Ø [2]药约乐岳钥

#iᴇ
p[1]憋[2]别
m[2]灭
t [1]爹[2]跌叠碟蝶
tʰ[2]铁贴帖
n[2]列裂猎劣烈业
tɕ [2]接节结揭[3]姐[5]借
tɕʰ [2]切窃妾[3]且
ɕ [1]些[2]歇邪协[3]写[5]谢卸泻泄

#iʌɤ
p [1]滮{指液体从小孔中射出}[3]表[5]□{指物体的地面或表面很滑} 
pʰ [1] 飘[2]瓢嫖[3]瞟[5]票漂
m[2]苗描瞄[3]秒邈缈渺淼[5]庙妙
t[1]叼雕刁凋貂[2][3][5]掉钓吊
tʰ[1]挑[2]调迢条[3]□{调}[5]跳
n[1][2]撩聊疗辽[3]鸟了[5]料廖尿
tɕ[1]交教娇浇焦骄胶[3]缴[5]叫觉
tɕʰ[1]敲翘悄[2]桥瞧乔侨[3]巧[5]撬俏窍
ɕ [1]宵肖销霄消[3]小晓[5]笑效孝

#ua
s[2]刷[3]耍
z[2]挼{揉} 
k[1]瓜[2]刮[3]寡剐[5]挂褂卦
kʰ[1]夸[3]垮[5]跨胯
x[1]花[2]华滑划猾[5]话化画
Ø [1]挖蛙洼[2]娃袜[3]瓦[5]凹

#uᴇ
k[2]国

#uae
ts[2]拙[3]拽
tsʰ[5]踹
s[1]摔衰[3]摔甩[5]率帅
k[1]乖[3]拐[5]怪
k [2]阔扩[3]块[5]快会
x[2] 怀淮槐或惑获[5]坏
Ø [1]歪[3]崴[5]外

#ueɪ
t[1]堆[5]对队
tʰ[1]推[3]腿[5]退
n[2]雷[5]泪内类
ts[1]追锥椎[3]嘴[5]坠缀赘最醉罪
tsʰ[1]催摧崔吹炊[2]垂锤捶[5]翠
s[2]随隋谁[3]水[5]岁碎穗隧睡税
z[5]锐
k[1]归规龟闺[3]鬼轨诡[5]贵跪桂柜瑰
kʰ[1]亏[5]愧溃
x[1]灰挥辉[2]回[3]毁悔[5]会绘惠慧
Ø [1]□{精神委靡}[2]围微危违唯维[3]伟委纬尾[5]为位未喂胃味卫魏

#yᴇ
tɕ[1]绢[2]决绝
tɕʰ[2]却缺 
ɕ[2]薛血削雪
Ø [2]月越阅悦[3]□{掰} 

#aⁿ
p[1]班搬斑扳[3]板版[5]半办伴扮瓣
pʰ[1]攀潘[2]盘[5]盼判叛
m[2]瞒蛮馒[3]满螨[5]慢漫蔓曼
f[1]翻[2]凡帆繁烦樊[3]反返[5]饭犯范
t[1]单丹耽[3]胆[5]蛋弹淡旦但
tʰ[1]滩摊贪[2]谈弹潭坛痰谭[3]毯[5]碳炭叹
n[2]南男难蓝兰拦篮栏[3]懒览[5]烂滥
ts[1]沾粘毡詹[3]盏展斩暂攒[5]站占战赞
tsʰ[1]参掺搀[2]蚕残缠馋[3]惨产[5]灿忏
s[1] 三山衫杉煽[2]□{颤}[3]伞闪[5]善扇
z[2] 燃然[3]染
k[1]干竿甘肝柑杆[3]赶感敢[5]干
kʰ[1]刊[3]砍坎[5]看
x[1]憨[2]含寒韩涵函[3]喊[5]汗汉焊罕撼憾

#ein
p[1]奔[3]本[5]笨
pʰ[2]盆彭[5]□{靠}
m[1]们焖[2]门[5]闷
f[1] 分纷芬[2]坟[3]粉[5]奋愤粪氛
t[1] 灯登蹬[2][3]等[5]凳瞪
tʰ[1]吞 [2]腾藤[5]□{打}
n[2]能[3]冷[5]楞嫩
ts[1]真针珍诊睁争挣蒸增曾[3]枕整拯[5]赠憎阵镇正证政症 
tsʰ[1] 称撑村[2]臣尘沉陈成称城程呈诚承丞层[3]惩逞[5]趁蹭秤寸
s[1]森僧身伸深申声生升[2]神晨[3]省婶审沈损笋[5]剩盛胜肾
z[1]扔[2]人任仁[3]仍忍刃韧[5]任认
k[1]跟根耕羹[3]哽埂[5]更
k[1]坑吭[3]肯恳[5]□{污垢}
x[1]哼亨[2]衡恒痕[3]狠[5]恨

#ɑᵑ
t[1]当裆[2]□{神经不正常}[3]党挡档[5]荡
tʰ[1]汤[2]堂糖塘唐棠膛[3]躺淌[5]烫
n[2]狼郎囊[3]朗[5]浪
ts[1]张章脏赃[3]掌涨长[5]葬帐仗丈胀
tsʰ[1]娼昌猖仓舱苍[2]长场肠藏[3]厂敞[5]唱倡
s[1]桑伤商丧[2]尝[3]赏嗓[5]上尚
z[3] 嚷[5]让
k[1] 刚钢纲缸冈肛
kʰ[1]糠康慷[2]扛[3]䆲{盖}[5]抗炕
x[2] 行航杭[5]巷项

#oŋ
p[1]帮邦[3]绑榜[5]棒
p[2] 旁庞螃朋鹏棚[3]捧膀碰[5]胖
m[1]䏵{胖}[2]蒙忙芒盲茫[3]莽猛[5]梦孟
f[1] 风封蜂丰枫疯峰锋烽芳方[2]房防缝冯[3]讽访纺仿[5]放凤奉
t[1] 东冬[3]懂董[5]动洞冻栋
tʰ[1]通捅[2]同童[3]桶统[5]痛
n[1]聋[2]龙农笼脓浓隆[3]拢[5]弄
ts[1]中钟忠宗棕综踪装庄[3]种肿总[5]粽重种众壮状
tsʰ[1]冲充舂葱聪囱窗[2]虫崇重床从丛[3]闯宠[5]□{得意的样子} 
s[1]松双霜[3]耸怂爽[5]送宋诵
z[2]绒茸
k[1]工公功弓攻宫恭躬光[3]拱广[5]贡共
kʰ[1]空[3]孔恐[5]控矿
x[1] 轰烘[2]红虹洪鸿[3]哄
Ø [1]翁汪[2]王亡[3]往网枉[5]望忘旺

#iɛⁿ
p[1] 边编鞭[3]扁贬[5]变辩辨辫
pʰ[1]偏篇[2]便[3][5]骗片
m[2] 棉绵[3]免勉[5]面
t[3]点碘典[5]电店殿垫惦
tʰ[1]天添[2]田填甜[3]舔
n[1]研[2]年连联莲怜帘严[3]撵脸[5]练恋炼链念验砚
tɕ[1]尖间肩煎监奸[3]减检剪拣捡[5]见件贱建健剑渐
tɕʰ[1]牵签铅迁[2]黔钱前[3]浅[5]欠倩
ɕ[1] 先仙[2]闲嫌贤[3]显险[5]县现献陷
Ø [1]烟咽炎[2]盐言延[3]眼演掩[5]厌宴艳燕雁

#in
p[1]宾冰斌[3]饼[5]并病
pʰ[1]乒拼[2]贫频平凭瓶评屏萍苹坪[3]品[5]凭
m[2]民名明鸣[3]敏[5]命
t[1]叮丁[3]顶鼎[5]定订钉
tʰ[1]听厅[2]停亭庭蜓[3]挺艇
n[2]林临淋邻磷鳞琳零玲灵龄铃凌陵菱羚[3]领岭[5]另令
tɕ[1]今金斤巾经京精晶[3]井景警境颈紧仅[5]尽进竟静镜净敬 
tɕʰ[1] 亲侵轻清青[2]情晴琴秦芹禽[3]请[5]庆
ɕ[1]新心欣辛星兴猩[2]行形型刑[3]醒[5]信性姓杏幸
Ø  [1]鹰英因音阴荫[2]银赢盈[3]引饮隐影[5]印应 

#iɑᵑ
n[1]嬢[2]凉粮梁量良娘粱[3]两辆俩仰[5]亮晾谅酿
tɕ [1]江浆僵姜疆[3]讲奖蒋[5]降酱匠
tɕʰ[1]枪腔[2]墙[3]抢[5]呛
ɕ[1] 香乡箱湘镶厢相[2]降[3]想响享[5]向象像
Ø [1]央殃秧[2]羊洋扬杨阳[3]养恙[5]样漾

#ioŋ
tɕʰ [2]穷
ɕ [1] 胸凶兄[2]雄熊
Ø [1]雍[2]溶熔容融[3]涌勇踊恿俑拥[5]用佣

#uaⁿ
t[1]端[3]短[5]段断锻缎
tʰ[2]团[3]抟
n[2]孪[3]卵暖[5]乱
ts [1]专砖[3]转[5]纂赚传钻 
tsʰ[1]穿 川[2]船传[3]喘[5]串
s [1] 拴闩酸[2][3][5]酸蒜涮
z[3] 软阮
k[1]关官观棺冠[2][3]管馆[5]惯罐灌 
kʰ[1]宽[3]款
x[1]欢[2]还环[3]缓[5]换唤患幻焕
Ø [1]弯湾[2]完玩丸[3]晚挽碗腕婉[5]万

#uein
ts [3]准
tsʰ[1]春[3]蠢 
s[2]纯醇[5]顺
z[5]润闰 
k[3]滚[5]棍
kʰ[1]昆坤[2]浑{白，整个}[3]捆[5]困 
x[1]昏婚[2]浑魂[5]混
Ø [1]温瘟[2]文闻蚊纹汶[3]稳吻[5]问

#yn
tɕ  [1]军君均[5]菌俊竣骏郡 
tɕʰ [1]倾[2]群裙
ɕ  [1]熏勋[2]寻巡旬[5]讯训殉迅驯逊 
Ø  [1]晕[2]云芸纭耘[3]允[5]运韵

#yɛⁿ
tɕ [1]鹃娟[3]卷[5]圈倦
tɕʰ [1]圈[2]全权泉[3]犬[5]劝
ɕ[1] 宣喧[2]悬玄[3]选[5]旋
Ø  [1]冤渊鸳[2]员元原圆园猿源缘袁[3]远[5]愿怨苑
