
ɿ
n	爊（~肉）挠（抓）	熬	脑恼袄-（棉~）	傲=闹弄-
l	捞唠	劳牢	老	涝落（日头~了）烙 酪络-（~~儿）
ʦ	遭糟蚤昭招	凿	早枣澡爪（凤~）找 沼	躁罩笊（~篱）皂造 赵兆召照诏焯（食 物过热水）
ʦʰ	操糙抄钞超	曹槽巢朝潮	草炒吵	肏
s	骚梢捎稍烧	韶勺芍	扫（~地）嫂少（多 ~）	扫（~帚，扫地用） 臊潲（~地，洒水） 少（~爷）绍邵
z		饶	扰	绕
k	高篙糕羔		稿搞膏	告膏-（~油）
kʰ			考烤	靠犒铐
x	蒿薅	豪毫嚎壕号（~叫）	好（~坏）	好（喜~）耗浩号（~ 码）
Ǿ	嗷			奥澳
iɔu
阴平42	阳平 413	上声 53	去声 24
p	膘標彪标镖	□（不要的合音词）	表裱
pʰ	漂（~浮）飘	瓢嫖	瞟	票漂（~亮）
m	喵瞄	苗描	藐渺秒	庙妙
t	刁叼貂雕		屌=	钓吊掉调（~头）
tʰ	挑（~选）	条调（~味品）笤（~ 帚，扫院子用）	挑（~担子）	跳眺
n		□（臭美）	鸟	尿
l		疗聊撩	□（粗略地缝） 缭 了（~结）燎	瞭料尥（~蹶子）廖
ʨ	交郊胶教（~书）焦 蕉椒骄娇浇	嚼	绞饺狡铰搅剿矫缴 角侥	教（~室）校（~对） 较窖觉（睡~）轿叫
ʨʰ	敲锹悄	樵瞧乔桥荞侨憔	巧	俏偢鞘窍翘撬
ɕ	消宵霄硝销嚣箫萧	学-（上~）	小晓	孝效校（学~）笑
Ǿ	妖邀腰要（~求）吆	肴摇谣窑姚	咬舀杳	要耀跃靿（袜~）钥
ɤu
阴平42	阳平 413	上声 53	去声 24
t	兜		斗（一~）抖陡	斗（~争）豆逗痘
tʰ	偷	头投		透
n			偶藕	沤（腐烂）
l		卢炉庐楼耧	鲁虏搂篓	路露漏陋
ʦ	诌邹周舟州洲粥	轴妯	走肘	奏纣宙骤咒昼皱
ʦʰ	抽	绸稠筹愁仇酬	丑瞅	凑臭
s	搜飕馊收艘叔-	熟	手首守	嗽瘦兽受寿授售
z		柔揉糅		肉
k	勾钩沟		狗苟	够构购
kʰ	抠		口	叩扣寇
x		猴喉瘊（~子）	吼	后候侯厚
iɤu
阴平42	阳平 413	上声 53	去声 24
p	□（象声词，打枪 打中的声音）
pʰ	□（象声词，小孩 玩游戏的打枪声）
m				谬缪
t	丢
n	妞	牛	扭纽钮	拗
l	溜□（~沟子，奉承 他人）	流刘留硫琉馏浏	柳绺	六遛□ （~ 了一石 头，扔） □（~水）
ʨ	揪鸠纠阄究臼咎		酒九久韭灸	就救舅柩旧
ʨʰ	秋丘蚯鳅	囚求球仇（姓）
ɕ	修羞休		朽	秀宿（星~）绣袖锈
Ǿ	忧优悠幽	尤邮由油游犹	有友酉	又右佑诱柚釉幼
æ
阴平42	阳平 413	上声 53	去声 24
p	班斑颁扳般搬		板版	扮瓣办伴拌半绊
pʰ	攀潘	盘		盼判叛
m	□（小羊的叫声）	蛮瞒馒	满	慢漫幔□（~地板）
f	帆藩翻番	凡烦矾繁	反	泛范犯贩饭
v	豌剜弯湾	完丸玩顽	皖晚挽宛碗	腕万蔓
t	耽担丹单		胆掸=	担（~杖）弹（子~） 诞旦但蛋
tʰ	贪坍摊滩	潭谭谈痰檀弹（ ~ 性）	毯坦	探炭叹碳
n	庵安鞍鹌	南男难	暖-（~壶）	暗岸按案揞（~住）
l	□（ ~~ ，没完没了 地说话）	蓝篮兰拦栏□ （ ~ 算，理会义）孪	缆览揽懒卵	滥烂乱
ʦ	簪粘瞻毡		斩盏展攒眨-（忽~）	暂站蘸沾占赞栈战
ʦʰ	参搀餐	蚕惭谗馋蟾残缠蝉 禅	惨铲产	璨颤灿
s	三衫山删杉膻扇（~ 风）		陕闪伞	散疝扇（~子）善膳 禅单（姓）赡
z		然燃	染冉
k	甘柑泔尴干肝竿杆		感敢橄秆擀赶	干（~活）赣
kʰ	堪龛勘看（~守）刊		坎砍	看（~见）
x	憨酣鼾	含函寒韩还（~有）	喊罕	撼憾旱汉汗焊翰
iɛ
阴平42	阳平 413	上声 53	去声 24
