#ɿ
ts[1]之兹咨姿滋知脂芝蜘资[3]址姊子指旨止紫趾[5]志痣置致
d[2]驮驼[4]舵[6]大{白}
n[2]努奴[6]怒
l[2]箩罗螺{~蛳}锣[4]橹虏鲁
ts[3]佐左组阻[5]做[7]祝竹筑粥菊
tsʰ[1]初[3]楚础[7]促蹙
s[1]梭疏蔬[3]数{动}琐锁[5]数[7]叔宿缩肃蓄速
z[2]锄[6]助[8]族熟褥辱
k[1]哥姑孤戈歌裹锅[3]古果股裹{动}鼓[5]固故过雇顾[7]谷
kʰ[1]估枯棵科窠颗[3]苦[5]库裤课[7]哭酷
ŋ[2]俄吴蛾鱼{白}鹅[4]五伍午我[6]卧悟误饿
Ø[1]乌污[7]屋握
#y
f[1]嘘挥虚辉[3]毁许[5]纬讳
t[1]都[3]堵肚{猪~}赌[5]妒
tʰ[3]吐{~痰}土[5]兔吐{呕~}
d[2]图屠徒涂途[4]杜肚{~腹}[6]度渡镀
l[2]卢庐{~山}炉芦{~苇}驴[4]卤吕屡旅[6]滤虑路露鹭
s[1]书庶绥舒苏虽输酥需须[3]水许{又}[5]塑岁恕暑税絮诉黍
z[2]儒垂如谁遂随[4]叙序殊汝瑞竖緖{又}署{又}聚[6]树
tɕ[1]居拘朱株珠租蛛规{~划}诛诸车{车马炮}轨追龟[3]主举嘴矩{规~}祖诡鬼{白}[5]句季拄据桂注着{显~}蛀贵醉{白}铸锯驻
tɕʰ[1]吹趋粗区炊驱[3]娶取[5]去处趣醋
dʑ[2]储厨巨柜渠瞿葵距逵锤除[4]拒柱矩緖署跪{白}[6]住具惧
ȵ[2]伪危寓愚渔虞鱼{文}[4]女语[6]御遇
ɦ[2]为{行~}余唯围愈愉楡盂维豫违逾遗预[4]宇禹雨[6]为{因~}位卫喩惠慧胃芋裕誉谓
Ø[1]于威淤畏迂
#a
p[7]伯柏百
pʰ[1]烹[7]拍擘{用手~开}魄
b[2]彭膨[3]白
m[2]盲虻{牛~}[4]孟猛[8]脉陌麦
v[8]佛划或活滑物猾获
t[3]打
l[4]冷
ts[1]睁筝[7]卒{兵~}摘札汁责质
tsʰ[1]搓{~麻将}撑[7]七拆漆
s[1]牲生甥笙[3]省[7]失室撒湿率{~领}虱[8]宅择泽
z[8]习什入十实拾日{文}疾袭集
k[1]庚更粳{~米}羹耕[3]梗耿[7]格隔
kʰ[7]客
ŋ[6]硬
h[1]亨
ɦ[2]行[4]杏
Ø[1]阿{~哥}
#ia
tɕ[1]争[7]吉急级
dʑ[8]及
ɦ[8]药跃钥{~匙}
Ø[7]一乙壹约
#ɛ
p[1]褒{~奖}[3]保堡宝[5]报
pʰ[1]剖
b[2]袍[4]抱[6]暴
m[2]毛谋[6]冒帽茂贸
v[2]浮
t[1]刀[3]倒{打~}岛[5]倒{~水}到
tʰ[3]讨[5]套
d[2]桃涛淘{~米}萄{葡~}逃陶[4]稻道[6]导盗
n[4]恼脑
l[2]劳牢[4]老
ts[1]糟遭[3]早枣蚤[5]澡
tsʰ[1]操[3]草[5]糙{~米}
s[1]骚[3]嫂[5]扫燥
z[2]曹[4]皂造
k[1]糕羔膏髙[3]稿[5]吿
kʰ[1]拷烤[3]考[5]靠
ŋ[2]放熬鳌[6]傲
h[3]好[5]耗
ɦ[2]壕毫豪[4]浩[6]号
Ø[3]袄[5]奥岙{山~}懊{~悔}
#iɛ
t[3]点[5]店
tʰ[1]添[3]舔[7]帖贴
d[2]塡甜[6]垫[8]迭碟蝶谍
l[2]凉梁粮粱良量{~长短}[4]两{几~几钱}辆[6]亮谅量{数~}[8]列律烈裂
tɕ[1]僵姜将{~军}张樟疆章缰[3]奖掌桨涨蒋长{生~}[5]仗将{大~}帐浆胀酱[7]击劫即哲接洁激结节蜇
tɕʰ[1]昌枪腔[3]厂抢[5]倡唱畅[7]切妾
dʑ[2]场强肠长{~短}[4]丈杖
ɕ[1]乡伤厢商湘相{互~}箱襄轩镶香[3]响想赏鲞[5]向相{~貌}[7]削设
ʑ[2]偿墙尝祥裳详[4]上{~去}像橡象[6]上{~下}匠尙{和~}[8]勺嚼弱若
ȵ[2]严谚[4]仰[6]念让
ɦ[2]垟{田~}扬杨洋烊{融化}羊阳[4]痒
Ø[1]央殃秧[3]养[5]样
#e
p[7]北笔
m[7]密[8]墨蜜默
t[5]戴[7]得德
tʰ[1]胎[5]态贷
d[1]待[2]台抬潭[6]代袋[8]特
n[2]力南[6]耐[8]纳
l[2]来[8]劣勒栗率{效~}立胁
ts[1]栽灾[5]再[7]则
tsʰ[3]彩睬采[5]菜[7]侧测
s[7]塞色
z[2]才材裁财[4]在[8]杂贼
k[1]柑泔{~水}该[3]改敢[5]溉盖[7]鸽
kʰ[1]开[3]凯[7]克刻磕
ŋ[2]呆
h[3]海[7]黑
ɦ[4]亥孩核{市~}[6]害[8]合核{~桃}盒
Ø[1]哀庵[5]暗爱
#ie
p[1]彪标编蝙边鞭[3]匾扁表贬[5]变遍[7]憋鳖
pʰ[1]漂{~流}篇编{又}飘[3]漂{~白}[5]片票骗[7]匹撇
b[2]嫖瓢鳔[4]辨辩辫[6]便[8]别
m[2]描棉眠绵苗[4]免勉渺秒[6]妙庙面[8]蔑
t[1]顚[7]跌
tʰ[1]天[7]铁
d[2]田钱[6]奠殿电
l[2]帘廉怜联莲连镰[4]敛脸[6]炼练
tɕ[1]兼坚尖煎肩[3]剪展茧[5]剑建战溅箭荐见
tɕʰ[1]千廉牵签迁[3]歉浅遗[5]欠[7]揭
dʑ[2]缠钱{文}钳[4]件俭[8]杰
ɕ[1]仙先鲜[3]显险[5]宪扇献线[7]歇胁
ʑ[2]前潜然燃蝉[4]贱践[6]善渐[8]捷涉舌
ȵ[1]硏[2]年[6]验[8]业热
j[2]延弦炎盐筵贤[4]演[6]焰现艳[8]协叶
Ø[1]烟蔫{食物不新鲜}[3]掩燕野[5]厌[7]噎页
#ø
p[5]半[7]拨
pʰ[1]潘[5]判[7]泼
b[2]搬盆盘般[4]伴拌[6]叛绊[8]勃脖钹雹{龙~、冰~}
m[2]瞒馒{~头}鳗[4]满[8]末没{沉~}沫
t[1]墩敦端[3]短[5]断{决~}锻{~练}
tʰ[1]吞贪[7]脱
d[2]团臀[4]断{~绝}[6]段缎遁钝[8]夺突
n[4]暖{文}[6]嫩
l[6]乱论
ts[1]尊钻
tsʰ[1]参{~加}村氽{~芥菜}[3]惨[5]寸窜
s[1]孙酸闩[3]损[5]算蒜逊[7]刷
z[2]存
k[1]甘
h[1]憨{痴}
ɦ[2]含寒翰韩[4]旱
Ø[1]安温{~度}鞍[5]按案
#yø
f[1]婚昏欢荤[5]唤涣焕[7]恤血
tɕ[1]专娇招捐昭朝{~阳}椒沼{~气}浇焦砖绢蕉骄[3]卷{动}缴转[5]卷{试~}叫照眷[7]决蕨诀
tɕʰ[1]圈川穿[3]犬[5]券劝[7]出缺
dʑ[2]乔传侨拳朝{~代}权桥椽潮颧{~骨}[4]兆篆赵[6]倦召轿
ɕ[1]喧宣宵消烧硝肖销[3]小少选[5]笑[7]雪
ʑ[2]全泉[4]扰[6]旋绍邵
ȵ[2]元原源[4]软[6]愿绕[8]月
ɦ[2]丸员园圆姚援摇窑缘谣[4]缓远[6]县院[8]悦穴粤越阅
Ø[1]冤妖怨渊温{~州}瘟腰邀[3]碗稳腕
#ɔ
p[1]扳斑班颁[3]摆板版[5]扮拜
pʰ[1]攀[5]派盼破{白}
b[2]排丬牌筏[6]办败
m[2]埋蛮[4]买[6]万{白}卖慢漫骂
f[1]番翻蕃[3]反[5]泛贩
v[2]凡坏帆怀淮烦矾繁还[4]犯范[6]万饭
t[1]丹单担耽[3]弹胆[5]带戴旦[7]搭
tʰ[1]他{文}坍塌摊滩[3]坦{~白}毯[5]叹太泰炭[7]塔榻
d[2]坛弹{~琴}檀痰谈谭[4]淡[6]但大{文}弹{子~}蛋[8]达
n[2]难[8]捺
l[2]上拦栏澜篮蓝[4]懒揽榄{撤~}览[6]滥烂[8]腊蜡辣
ts[3]斩盏[5]债蘸赞
tsʰ[1]餐[3]铲[5]蔡[7]册察插擦策
s[1]三删山杉珊衫[3]产伞散[5]晒[7]杀煞萨
z[2]惭暂{短~}残
k[1]关奸监艰间[3]减拣碱简襉[5]介届怪戒界谏鉴[7]夹甲胛{肩~}
kʰ[1]垮夸宽夸跨[5]嵌快[7]恰掐阔
ɡ[2]衔
ŋ[2]岩崖颜[4]眼[6]外雁
h[3]喊[7]喝
ɦ[2]函嫌涵鞋[4]限[8]匣
Ø[3]矮[7]压押鸭
#o
p[1]巴疤芭[3]把{~握}[5]坝霸[7]驳
pʰ[5]怕[7]朴
b[2]杷{枇~}爬琶{琵~}[6]耙{犁~}[8]薄
m[2]蟆{蛤~}麻[4]码鸟[7]摸膜[8]寞幕莫
t[1]当[3]党朵
tʰ[1]汤[3]躺[5]烫
d[2]唐堂塘棠糖[4]宕[6]荡
l[2]廊狼郞[4]朗[6]浪[8]乐{快~}洛络落
ts[1]庄渣脏装[5]榨炸葬[7]作
tsʰ[1]仓叉差{~不多}搓{又}疮苍车{文，汽~}[5]创岔[7]曲错
dz[2]搽查茶
s[1]丧桑沙纱蓑[3]所爽{~快}[7]索{绳~}
z[2]藏[4]坐[6]昨座[8]凿
k[1]伽佳傢{~具}加嘉家瓜袈[3]假[5]卦挂教[7]各廓搁觉角郭阁
kʰ[3]可[7]壳确
ŋ[2]牙芽衙[4]瓦雅[8]岳鄂鹤
h[1]慌花荒虾[5]化
ɦ[2]华杭皇航蝗行{银~}霞黄[4]下[6]厦夏巷旺[8]学峃镬{锅}
Ø[1]骯{~脏}蛙鸦[3]亚哑[7]恶
#uɔ
p[1]包帮胞邦雹[3]榜绑饱[5]豹[7]八
pʰ[1]抛[3]跑[5]泡炮
b[2]傍旁螃{~蟹}[4]庞鲍[6]刨[8]拔
m[1]猫[2]矛芒茅茫[4]网莽蟒[6]貌
f[1]妨方肪芳[3]仿纺访[5]放[7]发法
v[2]亡忘房防[6]望[8]乏伐罚
t[1]刁貂雕[3]鸟{白}[5]吊钓
tʰ[1]挑[5]粜跳
d[2]条调{~料}[6]掉调{音~}
l[2]寥廖聊辽[6]料[8]录绿
k[1]光冈刚岗扛江纲缸钢[3]广港讲[5]杠降
kʰ[1]康糠[5]囥{藏}扩抗旷矿
#yɔ
tɕ[1]供恭钟[3]种{~子}肿[5]种{~树}
tɕʰ[3]恐闯
dʑ[4]重[6]共
ɕ[1]凶双胸
ȵ[8]肉
ʑ[2]从[6]讼诵颂
ɦ[8]欲浴
#ieu
l[1]溜{~走}[2]刘流留[4]柳榴{石~}
tɕ[1]周州洲舟[3]帚酒[5]咒
tɕʰ[1]抽秋[3]丑[5]臭
dʑ[2]仇囚稠筹绸酬
ɕ[1]修收[3]守手首[5]兽秀绣锈
ʑ[2]揉柔泅[4]受授[6]寿就袖
Ø[7]育郁
#ai
p[1]悲杯碑[5]背辈
pʰ[5]配
b[2]培裴赔陪[4]倍[6]佩焙{~干}背{~诵}
m[2]枚楣{倒~}
f[1]徽挥{又}灰辉{又}[3]悔贿
v[2]回茴{~香}[6]会汇
t[1]堆[5]对碓{水~}
tʰ[1]推[3]腿[5]唾{~液}蜕{~皮}退
d[6]兑队
n[6]内
l[2]脶{手指纹}雷[4]垒累{积~}[6]泪
ts[5]最醉{文}
tsʰ[1]催崔{姓}猜[3]脆[5]翠
s[3]碎
z[4]罪[6]睡粹{纯~}
k[1]归[5]个会{~计}桧
kʰ[1]亏恢盔魁[5]刽块
ŋ[6]饿{白}魏
#au
t[1]兜[3]抖斗[5]斗{战~}
tʰ[1]偷[3]般{~开}[5]透
d[2]投骰{~子，赌具}
n[4]冇{没有}
l[2]楼[4]篓[6]漏陋
ts[1]邹[3]久九走[5]奏救皱究
s[1]休搜[3]朽瘦[5]嗽{咳~}
z[2]愁
k[1]勾沟钩[3]狗苟[5]够构购
kʰ[3]口[5]寇扣
ɡ[4]厚
ŋ[2]牛[4]偶藕
ɦ[2]侯喉猴[4]后[6]候
Ø[1]呕欧殴瓯
#iau
tɕʰ[1]丘[5]凑
dʑ[2]求球[4]臼舅[6]宙旧骤
ɦ[2]尤油游犹由邮[4]友有[6]佑右佑诱
Ø[1]优幼幽忧
#aŋ
p[1]奔崩[3]本
pʰ[1]喷
b[2]坌{~尘，灰尘飞扬}[6]笨
m[2]蚊{白}门[6]问{白}闷
f[1]分纷芬[3]粉[5]奋粪
v[2]坟文纹蚊{文}闻[4]刎吻忿愤焚[6]份问
t[1]灯登[3]等[5]凳顿
tʰ[5]氽{浮在水面}
d[2]腾藤誉饨{馄~}[4]断{白}[6]邓
n[2]人能[4]暖
l[2]伦沦轮
ts[1]增曾{姓}榛津珍眞臻[3]枕[5]振晋浸{又}进鎭震
tsʰ[1]侵[3]乘{~车}寝衬
dz[2]尘沉臣陈[6]阵
s[1]伸僧兴{~盛}参{人~}新欣申薪身辛[3]审沈[5]信兴{高~}渗
z[2]人{文}仁层晨秦辰[4]尽肾[6]任{责~}愼赠
k[1]关{~门}跟[3]亘
h[3]很狠
ɦ[2]恒[6]恨
#iaŋ
tɕ[1]京今巾斤筋经茎荆襟金[3]景紧颈[5]劲{~头}敬禁警镜
tɕʰ[1]亲卿轻钦[5]庆
dʑ[2]勤擎琴禽竞芹[4]妗{舅母}近[6]仅
ȵ[2]迎银[4]忍[6]任{姓}认
ɦ[2]刑型形盈郉颖[4]引
Ø[1]因姻婴应{~当}殷缨英阴音[3]影隐飮{米汤}[5]印赢
#eŋ
p[1]兵冰宾彬斌槟殡滨鬓[3]丙秉餠[5]幷{合~}柄
pʰ[1]姸{~头}拼[3]品聘
b[2]凭坪屛平甁萍评贫[6]病
m[2]名明民鸣[4]悯抿敏皿铭[6]命
t[1]丁钉{铁~}[3]顶鼎[5]订钉{~住}
tʰ[1]厅听汀[3]挺艇
d[2]亭停庭廷蜓{蜻~}[6]定
l[1]扔拎[2]临伶凌林淋灵菱邻铃陵零鳞[4]岭领[6]令另吝{~啬}
ts[1]征晶睛精蒸贞针[3]井拯{~救}整[5]政正{~好}浸症证
tsʰ[1]淸称蜻{~蜓}靑[3]请[5]秤
dz[2]呈澄程[6]剩郑
s[1]升声心星腥[3]醒[5]圣姓性胜
z[2]丞乘{~法}仍城情成承晴绳诚[4]靖静[6]净盛{兴~}
#əŋ
v[2]云匀[6]孕运韵
z[2]唇巡循旬纯[6]润顺
k[3]滚[5]棍
kʰ[1]坤[3]捆[5]困
#yəŋ
tɕ[1]军君均肫{鸡~}钧[3]准遵
tɕʰ[1]春
dʑ[2]羣裙[4]盾{矛~}虹{挂~}[6]郡
ɕ[1]勋
#oŋ
pʰ[3]捧
b[2]朋棚篷蓬
m[2]懵{~懂}蒙[6]梦
f[1]丰封峯枫疯蜂锋风
v[2]逢[4]奉[6]凤缝
t[1]东冬[3]懂董[5]冻栋
tʰ[1]通[3]统[5]痛
d[2]同桐童筒铜[4]动桶[6]洞
n[2]农[5]糯{~米饭}
l[2]垄笼聋隆[4]拢[6]弄
ts[1]中宗忠棕终鬃[3]总[5]糉
tsʰ[1]充冲匆囱{烟~}聪葱[3]宠[5]铳{打~}
s[1]兄松[3]怂[5]宋送
z[2]丛崇戎绒
k[1]公功工攻蚣{娱~}[5]贡
kʰ[1]空{~气}[3]孔[5]空{亏~}
h[1]哄{闹~~}烘[3]哄{~骗}
ɦ[2]冯宏洪红虹{文}鸿
Ø[1]瓮翁
tɕ[1]宫弓[5]众
dʑ[2]琼穷虫
ɦ[2]容熊荣营蓉融雄
Ø[1]拥雍[3]咏永泳
#ŋ̍
Ø[2]儿[4]我耳[6]二
