tsɿ[1]支枝资[3]紫纸指子[5]志痣
kuɑ[1]乖[3]蛙拐[5]挂卦
kʰuɑ[1]夸[5]快块
pɔ[1]包胞[3]保宝饱[5]报豹
pʰɔ[1]泡{名词}抛[2]刨袍[3]暴爆[5]炮泡{动词}
mɔ[1]毛[2]茅[3]帽貌
tɔ[1]刀[3]倒到{拿得~}
tʰɔ[1]滔涛[2]桃陶萄[3]道稻盗[5]导
nɔ[3]脑闹
lɔ[1]捞[2]牢[3]老□{稀疏}
tɕɔ[1]燥召朝{~晨}[3]早枣找[5]罩照
tɕʰɔ[1]操抄[2]吵朝潮[3]炒草[5]造躁
ɕ3[1]躁烧[2]绍[3]嫂少[5]扫邵
kɔ[1]高交教[3]稿搞校
kʰɔ[3]考巧[5]靠
xɔ[2]毫豪[3]好{形容词}效[5]好{动词}浩孝
ŋɔ[1]咬[2]熬[3]□{汆}□{仰起头}
ɔ[3]袄[5]坳
piɔ[1]□{跳}[3]表
pʰiɔ[1]标飘[2]嫖[5]漂票
miɔ[2]苗描[3]藐秒庙妙[5]猫
tiɔ[1]刁鸟[5]钓吊调{~动}
tʰiɔ[2]条[3]调{~换}[5]跳
tɕiɔ[1]焦蕉椒[3]剿缴[5]醮{打~}
tɕʰiɔ[1]悄[2]桥乔樵[3]嚼轿[5]翘
ɕiɔ[1]消硝[3]小[5]笑鞘{刀~}
iɔ[1]妖邀腰[2]摇窟[3]舀耀[5]要
po[1]玻波[5]簸{~一~；~箕}
pʰo[1]坡[2]婆[5]破
mo[1]摸[2]磨{~刀}无[3]磨{~石}
fo[2]和[3]火伙[5]货
vo[1]窝[2]禾[3]□{哭}
to[1]多[3]朵躲
tʰo[1]拖[2]驼[3]妥
no[2]挪[3]糯
lo[2]罗螺[3]□{称}
ko[1]歌哥[3]果[5]过
kʰo[1]科[3]可颗[5]课
xo[2]河何
tiu[1]丢[2]刘留
liu[2]流[3]柳[5]溜
tɕiu[1]周舟州纠[3]酒九韭[5]救究昼宙
tɕʰiu[1]丘抽秋臼舅[2]求仇酬绸稠[3]旧售就[5]臭兽
ɕiu[1]休收修[3]手首守授寿朽袖[5]秀
iu[1]幽忧有[2]由油游[3]右又[5]幼
pɛ̃[1]奔分{~开}[3]本[5]笨粪
pʰɛ̃[1]盆[5]喷
mɛ̃[1]蚊[2]门[3]闷[5]问
fɛ̃[1]纷芬分{~钱}婚[2]魂昏[3]混份[5]愤
vɛ̃[1]温瘟[2]文纹浑[3]稳
tɛ̃[1]登灯墩钉订[3]顿等顶[5]凳
tʰɛ̃[1]听厅汀吞[2]腾藤[3]邓盾
nɛ̃[2]能宁[3]嫩[5]奶
lɛ̃[1]冷[2]伦轮[3]论
tsɛ̃[1]曾争尊遵[5]战增
tsʰɛ̃[1]村[2]存层[3]赠[5]寸
sɛ̃[1]孙生参星[2]森[3]损善[5]扇
kɛ̃[1]巾斤筋耕跟根[3]更哽
kʰɛ̃[1]近[3]肯
xɛ̃[2]□{你}[3]恨
ŋɛ̃[2]银
ɛ̃[1]恩[5]应{~人}
piɛ̃[1]鞭编边[3]扁[5]变
pʰiɛ̃[1]篇偏[2]便{~宜}[3]片[5]骗
miɛ̃[2]棉[3]面{线~}[5]面{洗~}
viɛ̃[1]冤[2]丸圆员园[3]远县[5]院
tiɛ̃[1]癫
tʰiɛ̃[1]天[2]田填[3]电佃垫
liɛ̃[2]连莲[3]恋
tɕiɛ̃[1]奸煎绢[3]剪卷[5]建见箭剑
tɕʰiɛ̃[1]千牵[2]前全泉权铅[3]浅践件健旋{头那~}[5]劝
ɕiɛ̃[1]仙鲜先[2]旋悬玄[3]现选[5]线献
ȵiɛ̃[1]软研[2]言年研{~磨}元源[3]愿
iɛ̃[1]烟[2]延沿缘[5]燕
pʰuɛ̃[3]饭
xuɛ̃[3]换
uɛ̃[3]碗
tuɛ̃[3]短[5]断{果~；门~}
tʰuɛ̃[1]断{~别哩}
nuɛ̃[1]暖
luɛ̃[3]乱卵
tsuɛ̃[1]钻{~山洞}砖[3]转[5]钻{~个窟窿}
tsʰuɛ̃[1]川[2]传[5]穿串
suɛ̃[1]酸闩拴[2]船[5]算蒜
kuɛ̃[1]干{萝卜~}官肝[3]管滚[5]干部贯
kʰuɛ̃[1]宽昆[3]捆困[5]看
xuɛ̃[1]旱[2]寒[3]汗[5]汉
uɛ̃[1]安{~装，平~}[5]案
pæ̃[1]搬[3]板板[5]半瓣
pʰæ̃[1]潘[3]办伴
mæ̃[1]满[2]蛮[3]慢
fæ̃[1]翻[2]凡帆环[3]反犯[5]泛范幻
væ̃[1]弯[2]完还[3]万[5]挽
tæ̃[1]担单[3]胆[5]旦诞绽{~被}
tʰæ̃[1]贪淡滩摊[2]潭谈痰弹{~棉骨}[3]弹{子~}[5]探炭
næ̃[2]南难
læ̃[1]懒[2]蓝栏燃[3]烂
tsæ̃[3]站斩盏[5]占
tsʰæ̃[2]蚕残缠[3]铲[5]渗{~水}
sæ̃[1]三衫[2]蝉[3]闪伞产[5]散
kæ̃[1]甘间{时~}[3]感敢减[5]监间{~隔}
xæ̃[2]含咸闲{~不住}[3]陷限
ŋæ̃[3]眼雁{~鹅}
æ̃[5]庵暗
tiæ̃[3]点[5]店
tʰiæ̃[1]添[2]甜
liæ̃[2]镰廉联
tɕiæ̃[1]尖兼[3]检拣[5]□{拥挤；挤}
tɕʰiæ̃[1]签谦[2]钳[3]渐俭[5]欠
ɕiæ̃[2]嫌[3]险
ȵiæ̃[2]粘严[3]染验念
iæ̃[2]炎盐[3]掩[5]怨
uæ̃韵
kuæ̃[1]关观[5]贯惯
ŋuæ̃[2]顽
ŋ̍[3]五□{想}
piŋ[1]鬓兵宾[3]秉[5]并{合~}
pʰiŋ[1]拼[2]贫[3]品
miŋ[1]敏[2]民
fiŋ[1]□{痕迹}
viŋ[2]云[3]润闰允运
tiŋ[1]鳞[2]林{姓}淋
tʰiŋ[2]停亭
liŋ[2]林{树~}临邻
tsiŋ[1]真针珍[3]枕镇振准[5]圳
tsʰiŋ[1]春[2]沉陈尘纯醇成{~功}[3]阵趁
siŋ[1]深身伸[2]神承[3]沈肾顺
tɕiŋ[1]金军精[3]锦紧[5]浸进
tɕʰiŋ[1]亲清[2]裙寻勤群[3]尽[5]侵
ɕiŋ[1]新心熏[2]巡行动[3]幸旬笋[5]训
ȵiŋ[1]忍[2]人[3]认
iŋ[1]音阴晕[2]仁[3]任引隐饮{汤汤~~}[5]印
pɑŋ[1]□{拉，~~操操}
pʰɑŋ[1]□{吹}[2]彭棚[3]□{坛子}[5]□{讲~：说假话；吹牛}
mɑŋ[1]蒙{~鼓皮}[2]□{还没}[5]□{蛮横，莽撞}
vɑŋ[2]横[3]□{站不住，倒下}
kɑŋ[1]庚更{半夜三~}羹[3]哽[5]降{下~}
xɑŋ[1]坑[2]行{~路}
ŋɑŋ[3]硬
tsɑŋ[1]争正{~月}
tsʰɑŋ[2]成{几多~}程{~度}[3]郑
sɑŋ[1]声[2]城[3]省{节省}
ɑŋ[1]罂{坛子：瓶子}
piɑŋ[3]丙饼[5]柄
pʰiɑŋ[2]平坪[3]病
miɑŋ[2]名明[3]命
tiɑŋ[1]岭衫领
liɑŋ[1]领{~导}
tɕiɑŋ[1]惊精{~猪肉}[3]井
iɑŋ[2]赢营[3]影
kuɑŋ[1]杆{桌~}
kʰuɑŋ[5]□{~锣子}
pɔŋ[1]帮邦[3]榜绑[5]□{磨，擦：刀拿缸沿上~两下}
pʰɔŋ[2]旁[3]傍{依靠}
mɔŋ[1]忙[2]茫[3]望
fɔŋ[1]荒方[2]皇房防[3]纺
vɔŋ[2]黄王[3]枉往
tɔŋ[1]当{~官}[3]党[5]当{~得}
tʰɔŋ[1]汤[3]堂唐[3]躺趟[5]烫
nɔŋ[1]瓤
lɔŋ[2]郎狼[5]浪
kɔŋ[1]缸光江扛[3]广讲港[5]钢杠
kʰɔŋ[1]康[2]狂[5]抗
xɔŋ[1]糠[2]行{银~，行当}[3]项巷
tsɔŋ[1]张章庄[3]长掌涨[5]葬帐壮
tsʰɔŋ[1]仓疮昌[2]长肠常[3]丈撞[5]畅唱
sɔŋ[1]桑霜伤上{~坎}[2]床[3]丧爽赏上{上面，~背}
piɔŋ[1]坊[5]放
miɔŋ[2]芒[3]网
tiɔŋ[1]两{斤~}[2]凉量{~米}[3]两{~个}
liɔŋ[2]良[3]量{~度}
tɕiɔŋ[1]浆姜[3]桨
tɕʰiɔŋ[1]枪腔[2]墙[3]抢匠象{~晤~}
ɕiɔŋ[1]箱相香乡□{分~}[2]详细[3]想[5]相向
ȵ[2]酿[3]让
iɔŋ[1]央秧[2]羊详扬杨[3]养样
pʰəŋ[2]冯蓬蜂[3]缝{开哩~}
məŋ[2]蒙朦
fəŋ[1]风丰封[2]红洪缝{~补}[3]奉凤
vəŋ[1]翁
təŋ[1]东冬[5]冻栋
tʰəŋ[1]通动[2]同铜桐[3]桶洞[5]统
nəŋ[2]农浓
ləŋ[1]笼[2]龙窿{一个~}[3]弄[5]窿{窟~}
kəŋ[1]公工宫[3]拱{~背}
kʰəŋ[1]空[3]孔共[5]贡{~献}空{有无~}
xəŋ[5]轰
tsəŋ[1]中终钟[3]种{~子}肿[5]众种
tsʰəŋ[1]葱冲窗[2]虫重{几多~}[3]重{~要}[5]铳
səŋ[1]舂双[3]搡[5]送
tɕiəŋ[1]弓宫{姓}龚{姓}[3]拱桥[5]供{生，养}
tɕʰiəŋ[2]松{~树}穷从[3]共{~下}
ɕiəŋ[1]胸凶松{~紧}[2]雄熊[3]诵颂
iəŋ[2]容荣[3]勇用
piʔ[7]笔碧逼
pʰiʔ[7]僻辟避
fiʔ[7]□{扔}
tiʔ[7]滴笠[8]力粟
tʰiʔ[8]特敌
liʔ[7]粒[8]立历
tsiʔ[7]织汁执
tsʰiʔ[7]出[8]直值植侄
siʔ[7]式室适释[8]食术
tɕiʔ[7]积迹击急级[8]集
tɕʰiʔ[7]七漆戚膝[8]及极疾
ɕiʔ[7]息{消~}惜析[8]习袭席{主~}
ȵiʔ[7]日
iʔ[7]一益[8]翼译
pɛʔ[7]北
pʰɛʔ[7]迫拍渤
mɛʔ[8]墨密蜜没
fɛʔ[8]佛忽或
vɛʔ[7]物
tɛʔ[7]得德
tʰɛʔ[7]踢[8]籴笛突凸
nɛʔ[7]□{捏，摘，~韭菜}
lɛʔ[7]刺[8]肋勒
tsɛʔ[7]撮卒则责侧{~旁}
tsʰɛʔ[7]策斥[8]贼撤择
sɛʔ[7]塞色涩[8]十舌折{~本}
kɛʔ[7]革格{合~}
kʰɛʔ[7]刻克
xɛʔ[7]黑{~板}
pʰiɛʔ[7]撇[8]别
miɛʔ[8]蔑篾灭
fiɛʔ[7]血[8]穴
viɛʔ[7]挖乙[8]悦越
tiɛʔ[7]跌
tʰiɛʔ[7]铁忒
tɕiɛʔ[7]揭节结决诀
tɕiɛʔ[7]切缺[8]杰绝
ɕiɛʔ[7]歇雪薛
ȵiɛʔ[8]热月
puɛʔ[7]发{头~；~癫}
tʰuɛʔ[7]脱[8]夺
luɛʔ[8]捋
tsuɛʔ([7]□{爱显耀、爱出风头的意思}
suɛʔ[7]刷设
kuɛʔ[7]骨割国
kʰuɛʔ[8]窟核掘
xuɛʔ[7]渴喝
æʔ韵
pæʔ[7]八钵
pʰæʔ[7]泼拔
mæʔ[7]抹袜[8]末{~子}
fæʔ[7]法发{~展}[8]活伐罚
væʔ[8]滑猾
tæʔ[7]答搭遢{邋~}
tʰæʔ[7]塔塌[8]踏达
næʔ[8]纳
læʔ[7]蜡邋{~遢}[8]辣漉{~湿}
tsæʔ[7]扎铡砸摺
tsʰæʔ[7]插擦察[8]杂
sæʔ[7]杀萨煞
kæʔ[7]甲胛{肩~}合{一~米}鸽[8]夹
kʰæʔ[7]恰
xæʔ[7]瞎[8]合盒狭
æʔ[7]鸭押
tiæʔ[7]贴{~画子}
tʰiæʔ[7]帖贴{~补}[8]碟叠
liæʔ[8]猎裂列烈劣
tɕiæʔ[7]接劫{打~}
tɕʰiæʔ[8]夹{脚~里，~子}
ɕiæʔ[8]协侠
ȵiæʔ[7]孽捏聂[8]业入
iæʔ[7]魇{酒~(笑~)}叶页
kuæʔ[7]刮括
kʰuæʔ[7]阔
pɑʔ[7]百伯
pʰɑʔ[8]白
mɑʔ[7]脉[8]□{敲打}麦
fɑʔ[7]划{把火堆扒拉一下，使火烧得更旺}
vɑʔ[8]划{计划}
lɑʔ[8]剌
tsɑʔ[7]摘只
tsʰɑʔ[7]拆册赤尺
sɑʔ[8]不
kɑʔ[7]格{~子}隔
kʰɑʔ[7]客□{用手握}
xɑʔ[7]吓
ɑʔ[7]压
piɑʔ[7]壁
pʰiɑʔ[7]劈
tɕiɑʔ[7]借
tɕʰiɑʔ[8]屐席
ɕiɑʔ[7]锡鹊
ȵiɑʔ[7]额
iɑʔ[7]役
pɔʔ[7]剥驳膊
pʰɔʔ[7]扑拍{~手}[8]薄雹
mɔʔ[8]膜幕
fɔʔ[8]获
vɔʔ[7]握[8]镬
tʰɔʔ[7]托
lɔʔ[8]落乐
tsɔʔ[7]筑祝斫作着{~衫}桌捉
tsʰɔʔ[7]着{~棋子}[8]凿着{睡~哩}戳
sɔʔ[7]索[8]勺
kɔʔ[7]各郭觉角葛{~瓜}
kʰɔʔ[7]廓扩壳确
xɔʔ[8]学
ŋɔʔ[8]岳
ɔʔ[7]恶
tɕiɔʔ[7]脚
tɕʰiɔʔ[7]雀
ɕiɔʔ[7]削
ȵiɔʔ[7]虐[8]弱
iɔʔ[7]约[8]药
pəʔ[7]腹{~脐}
məʔ[7]目木[8]牧穆
fəʔ[7]福复[8]服伏
vəʔ[7]屋沃{~菜}
təʔ[7]六啄督
tʰəʔ[8]独读毒
tsəʔ[7]竹粥烛
tsʰəʔ[7]促触[8]族轴
səʔ[7]缩宿叔速肃[8]熟赎属
ləʔ[7]禄[8]鹿碌陆
kəʔ[7]谷
kʰəʔ[7]酷
tiəʔ[8]绿
liəʔ[8]略
tɕiəʔ[7]逐足
tɕʰiəʔ[7]菊曲蓄[8]局
ɕiəʔ[7]宿粟[8]俗续
ȵiəʔ[7]肉[8]玉
iəʔ[7]育[8]浴
