汉字	音标	注释
袋	tai33	
耐	nai33	
奈	nai33	
来	lei13	
赖	lai33	
癞	lai33	~子
灾	tsa55	
栽	tsa55	
再	tsai33	
猜	tsʰai55	
彩	tsʰa21	
菜	tsʰei33	
才	tsʰai13	
财	tsʰai13	
裁	tsʰai13	
在	tsʰa33	
鳃	sa55	
该	kai55	
改	kai21	
盖	kuei33	
开	kʰuei55	
碍	ŋai21	调例外，阴上
海	xai21	
害	xai33	
爱	uei33	
拜	pai33	
排	pʰai13	
埋	mai13	
斋	tsai55	
豺	tsʰai13	
界	kai33	
届	kai33	
戒	kai33	
揩	kʰai55	
摆	pai21	
派	pʰai33	
牌	pʰai13	
簰	pʰai13	
稗	pai33	
买	mai21	
卖	mai33	
奶	nai35	吃~，调例外
差	tsʰai55	出~
筛	sai55	~子
晒	sa33	
街	kai55	
解	kai21	~开
鞋	xai13	
矮	ai21	
败	pai33	
寨	tsai33	
厉	li33	
祭	tɕi33	
制	/	
世	ɕi33	
势	ɕi33	
艺	i33	
闭	pi33	
批	pʰi55	
米	mi21	
低	tei55	
底	tei21	
抵	tei21	
帝	ti33	
梯	tʰei55	
体	tʰi21	
替	tʰei33	
剃	tʰei33	
题	tʰi13	
蹄	tei13	声例外，不送气
弟	tei33	
第	ti55	调例外，阴平
泥	nei13	
犁	lei13	
礼	li33	
挤	tɕi21	
砌	tsʰɿ33	
齐	tsʰei13	
西	sei55	
洗	sei21	
细	sei33	
鸡	tɕi55	
计	tɕi33	
继	tɕi33	
启	tɕʰi21	
契	tɕʰi33	~约
杯	pei55	
辈	pei33	
背	pei33	~脊
坯	pʰei55	土~
配	pʰei33	
陪	pʰei13	
赔	pʰei13	
倍	pei33	
背	pei33	~诵
焙	pei33	~干
梅	mei13	
媒	mei13	
煤	mei13	
妹	mei33	
堆	tuei55	
对	tei33	
碓	tei33	名词
推	tʰuei55	
退	tʰei33	
队	tʰei33	
雷	lei13	
催	tɕʰy55	
罪	tsei33	
碎	sei33	
塊	kʰuai33	
灰	fei55	
悔	fei21	
回	fei13	
外	uai33	
会	fei33	开~
会	fei33	不~
乖	kuai55	
怪	kuai33	
坏	fuai33	
拐	kua21	~杖
挂	kua33	
画	fa33	
快	kʰuai33	
筷	kʰuai33	
话	sei33	名词，事训读
话	ua33	动词
脆	tɕʰi35	
岁	ɕi33	
税	ɕy33	
废	fi33	
肺	fi33	
桂	ky33	
碑	pei55	
披	pʰi55	
皮	pʰi13	
脾	pʰi13	
被	pi33	~子
避	pei33	
糜	mi13	粥
离	li33	~别，调例外，阴去
紫	tsɿ21	
刺	tsʰɿ33	
斯	sɿ55	
撕	sɿ55	
赐	tsʰɿ33	
知	tsɿ55	
池	tsʰɿ13	
筛	sai55	~子
支	tɕi55	
纸	tsɿ21	
匙	su55	钥~，调例外，阴平
是	sɿ33	
寄	tɕi33	
骑	tɕʰi13	
徛	tɕi33	立
宜	nie13	
戏	ɕi33	
移	i13	
易	i33	
比	pi21	~较
屁	pʰi33	
枇	pi13	~杷，声例外，不送气
鼻	pi33	
蓖	pi33	
眉	mi13	
地	ti33	
梨	li13	
利	li33	
姊	tsɿ21	
次	tsʰɿ33	
自	tsɿ21	
私	sɿ55	
死	sɿ21	
四	sɿ33	
迟	tsʰɿ13	
师	sɿ55	
狮	sɿ55	
指	tsɿ21	
至	tsɿ33	
屍	sɿ55	~体
屎	sɿ21	
二	ni33	
饥	tɕi55	~饿
祁	tsɿ13	
姨	i13	
你	ni21	
厘	li13	
李	li21	姓
里	li33	
理	li33	
子	tsɿ21	
字	tsɿ33	
司	sɿ55	
丝	sɿ55	
辞	tsɿ13	
祠	tsɿ13	
置	tsɿ33	
耻	tsʰɿ21	
痔	tsɿ33	
滓	tsɿ21	
事	sɿ33	
止	tsɿ21	
趾	tsɿ55	调例外，阴平
志	tsɿ33	
痣	tsɿ33	
齿	tsʰɿ21	
诗	sɿ55	
始	sɿ21	
试	sɿ33	
时	sɿ13	
耳	ny21	
纪	tɕi21	年~
记	tɕi33	
欺	tɕʰi33	
起	tɕʰi21	
棋	tɕʰi13	
旗	tɕʰi13	
疑	ni13	
喜	ɕi21	
意	i33	
几	tɕi21	~个
气	tɕʰi33	和~
汽	tɕʰi33	
衣	i55	
嘴	tɕy21	
吹	tɕʰy55	
规	kuei55	
亏	kʰy55	
跪	ky21	
毁	fei21	
泪	lei33	
醉	tɕi33	
追	tɕy55	
锤	tɕʰy13	
锥	tɕy55	
水	ɕy21	
季	tɕi33	
柜	ky33	
位	uei33	
飞	fi55	
肥	fy13	
尾	mei33	
味	y33	
归	ky55	
鬼	ky21	
贵	ky33	
围	y13	
违	uei13	
保	pau21	
宝	pau21	
报	pau33	
袍	pʰau13	
抱	/	
菢	pau33	~鸡
毛	mau13	
帽	mau33	
刀	tau55	
到	tau33	
倒	tau21	颠~
倒	tau21	~水
讨	tʰau21	
套	tʰau33	
桃	tau35	调例外
逃	tʰau13	
淘	tʰau13	~米
道	tau33	
脑	nau21	
劳	lau13	
捞	lau13	
牢	lau13	
早	tsau21	
枣	tsau21	
蚤	tsau21	
灶	tsau33	
草	tsʰau21	
糙	tsʰau33	~米
曹	tsʰau13	
造	tsʰau33	建~
骚	sau55	
嫂	sau21	
扫	sau33	~帚
高	kau55	
膏	kau55	
告	kau33	
考	kʰau21	
靠	kʰau33	
薅	xau55	~草
好	xau21	~坏
毫	xau13	
包	pau55	
饱	pau21	
豹	pau33	
爆	pau33	
炮	pʰau33	枪~
泡	pʰau33	
茅	mau13	
猫	mau55	~狗
闹	nau33	
抄	tsʰau55	~写
炒	tsʰau21	
潲	sau33	猪食
交	kau55	
胶	kau55	
教	kau55	~书
绞	tɕiau21	
搞	kau21	
窖	kau33	
敲	kʰau33	调例外，去声
巧	kʰau21	
咬	ŋɛ33	韵例外
孝	xau33	
标	piau55	
表	piau21	
票	pʰiau33	车~
瓢	pʰiau13	
苗	miau13	
庙	miau33	
焦	tɕiau55	
椒	tɕiau55	
锹	tɕʰiau55	
缲	tɕʰiau55	~边
消	ɕiau55	
硝	ɕiau55	
小	ɕiau21	
笑	ɕiau33	
朝	tsau55	
潮	tsʰau13	
招	tsau55	
照	tsau33	
烧	sau55	
少	sau21	多~
少	sau33	~年
娇	tɕiau55	
桥	tɕʰiau13	
荞	tɕʰiau13	
轿	tɕiau33	
妖	iau55	
腰	iau55	
窑	iau13	
刁	tiau55	
鸟	tiau35	
钓	tiau33	
吊	tiau33	
跳	tʰiau33	~皮
条	tʰiau13	
调	tʰiau13	~和
调	tiau33	音~
尿	niau33	
料	liau33	
箫	ɕiau55	
缴	tɕiau21	上~
晓	ɕiau21	
亩	mu33	
兜	tei55	
斗	tei21	一~
陡	tei21	
鬥	tai33	~争
偷	tʰei55	
敨	tʰei21	~气
透	tʰei33	
头	tʰei13	
投	tʰəu13	
豆	tei33	
逗	tei55	调例外，阴平
楼	lei13	
漏	lei33	
走	tsei21	
凑	tsʰei33	
嗽	sei33	咳~
鉤	kei55	
狗	kei21	
够	kei33	
构	kei33	
抠	kʰei33	调例外，阴平
口	kʰei21	
扣	kʰei33	~住
藕	ŋei33	
喉	xei13	
猴	xei13	
後	xei33	
沤	ei33	
怄	ei33	~气
富	fu33	
副	fu33	
浮	pei13	
妇	pei33	
流	liəu13	
刘	liəu13	
留	liəu13	
柳	liəu33	
酒	tɕiəu21	
秋	tɕʰiəu55	~天
就	tɕʰiəu33	
修	ɕiəu55	
袖	tɕiəu33	
抽	tsʰəu55	
丑	tsʰəu21	子~
皱	tsei33	
搊	tsʰəu55	~起
搜	sei55	
馊	sei55	饭~
瘦	səu33	
周	tsəu55	
州	tsəu55	
醜	tsʰəu21	~陋
臭	tsʰəu33	香~
收	səu55	
手	səu21	
守	səu21	
仇	tsʰəu13	
阄	kəu55	拈~
九	tɕiəu21	
久	tɕiəu21	
韭	tɕiəu21	
救	tɕiəu33	
丘	kʰi55	韵例外
求	tɕʰiəu13	
舅	tɕiəu33	
旧	ky33	
牛	ŋei13	
忧	iəu55	
有	iəu33	
友	iəu33	
又	iəu33	
右	iəu33	
油	iəu13	
幼	iəu33	
答	tɛ53	
搭	tɛ53	
探	tʰia33	
潭	tʰo13	
谭	tʰo13	
男	nia13	
南	nia13	
杂	tsʰɛ33	
含	xaŋ13	
合	xɛ33	~起
盒	xɛ33	烟~
庵	oŋ21	
担	tei21	~任
胆	tia21	
担	tia33	~子
毯	tʰia21	
塔	tʰɛ53	
谈	tʰia13	
痰	tʰia13	
淡	tia33	
蓝	lia13	
腊	lɛ53	调例外，阴入
蜡	lɛ53	调例外，阴入
三	ɕia55	
甘	ko55	
敢	ko21	
赚	tso33	
眨	tsa53	~眼，阴入
插	tsʰɛ53	
炸	tsʰɛ33	油~
杉	sa55	
减	kyɛ21	
夹	kɛ53	
掐	kʰɛ53	
鹹	ɕia13	~淡
衫	sa55	
甲	kɛ53	
鸭	a53	
压	ɛ53	
镰	lie13	
尖	tɕie55	
接	tɕiɛ53	
签	tɕʰie55	
佔	tɕiɛ33	
染	niɛ21	
盐	iɛ13	
阎	iɛ13	
葉	iɛ33	树~
欠	tɕʰiɛ33	
点	tiɛ21	
添	tʰiɛ55	
帖	tʰiɛ53	请~
甜	tʰiɛ13	
簟	tiɛ33	
念	niaŋ33	
挟	kɛ53	~菜
嫌	ɕiɛ13	
法	fɛ53	~子
淋	lin13	~湿
立	liɛ33	
粒	lɛ53	
心	ɕin55	
寻	tʰiɛ33	训读
沉	tsʰən13	
针	tsən55	
斟	tsən55	
深	sən55	
湿	sɛ53	
十	sɛ33	
入	nie33	
今	tɕin55	
金	tɕin55	
禁	tɕin33	~止
急	tɕiɛ53	
琴	tɕʰin13	
及	tɕiɛ53	
音	in55	
阴	in55	
单	tia55	~独
滩	tʰia55	
摊	tʰia55	
炭	tʰia33	
弹	tʰia33	~琴，调例外，去声
难	nia13	~易
难	nia33	患~
拦	lia13	
栏	lia13	
懒	lia33	
烂	lia33	
辣	lɛ33	
擦	tsʰa53	
散	ɕia33	分~
伞	ɕia21	
撒	sa55	~种
萨	sa55	
肝	ko55	
乾	ko55	~湿
稈	kyɛ21	稻~
赶	kyɛ21	
割	ku53	
岸	ŋo33	
汉	xo33	
寒	xo13	
汗	xo33	
安	ŋo55	
八	pɛ53	
抹	ma53	~桌
盏	tɕia21	灯~
铲	tɕʰia21	
山	ɕia55	
杀	sɛ53	
间	tɕia55	中~
间	ka33	~断
眼	nia21	
闲	ɕiɛ13	
苋	ɕiɛ33	~菜
班	pia55	
扳	pia55	
板	pia21	
襻	pʰia33	纽~
蛮	mia13	
慢	mia33	
瞎	xɛ53	
鞭	piɛ55	
变	piɛ33	
别	piɛ53	区~
鳖	piɛ53	
偏	pʰiɛ55	
便	pʰiɛ13	~宜
便	piɛ33	方~
棉	miɛ13	
免	miɛ33	
面	miɛ33	脸~
碾	niɛ21	
连	liɛ13	
煎	tɕiɛ55	
剪	tɕiɛ21	
箭	tɕiɛ33	
迁	tɕʰiɛ55	
浅	tɕʰiɛ21	
钱	tɕʰiɛ13	
贱	tɕiɛ33	
仙	ɕiɛ55	
鲜	ɕiɛ55	新~
癣	ɕiɛ21	
线	ɕiɛ33	
扇	sɛ33	
燃	niɛ13	
热	niɛ33	天~
揭	tɕiɛ53	
歇	ɕiɛ53	
边	piɛ55	
匾	piɛ21	
憋	piɛ53	
片	pʰiɛ33	
撇	pʰiɛ53	~开
眠	miɛ13	
麵	miɛ33	~条
篾	miɛ33	竹~
颠	tiɛ55	
典	tiɛ21	
天	tʰiɛ55	
铁	tʰiɛ53	
田	tʰiɛ13	
填	tʰiɛ13	
垫	tiɛ33	~钱
年	niɛ13	
撚	niɛ21	~碎
怜	liɛ13	
莲	liɛ13	
节	tɕiɛ53	
千	tɕʰiɛ55	
切	tɕʰiɛ53	
前	tɕʰiɛ13	
先	ɕiɛ55	
见	tɕiɛ33	
结	tɕiɛ53	
牵	to33	训读
贤	ɕiɛ13	
现	ɕiɛ33	
烟	iɛ55	
搬	pia55	
半	po33	
钵	pu53	
拨	pu53	
泼	pʰu53	
盘	pʰo13	
伴	po33	
瞒	mo13	
满	mo33	
端	to55	
短	tu21	
脱	tʰo53	
团	tʰo13	
断	tu33	~绝
段	tu33	
暖	nu33	
卵	lu33	
乱	lia33	
酸	su55	
算	su33	
蒜	su33	
官	ko55	
管	ko21	
灌	ko33	
宽	xo55	
阔	kʰue53	
欢	xo55	
完	/	
活	fɛ33	
碗	o21	
滑	uɛ33	
挖	uɛ53	
闩	san55	
关	kya55	
惯	kya33	
刮	kyɛ53	
还	ya13	~原
还	xai13	~有
弯	ya55	
全	tɕʰiɛ13	
绝	tɕiɛ53	调例外，阴入
选	ɕiɛ21	
雪	ɕiɛ53	
旋	tsɛ33	
转	tsɛ21	~送
转	tsɛ33	~圈
传	tsʰɛ13	~达
专	tsɛ55	
砖	tsɛ55	
穿	tsʰɛ55	
串	tsʰɛ33	
船	sɛ13	
软	yɛ33	
捲	kyɛ21	~起
圈	kʰyɛ55	圆~
拳	kʰyɛ13	
权	kʰyɛ13	
圆	lu13	圝训读
缘	yɛ13	
捐	kyɛ55	
反	fya21	
發	fɛ53	~财
翻	fya55	
烦	fya13	
饭	fya33	
罚	fɛ33	
晚	mya33	
万	ya33	
袜	uai53	调例外，阴入
劝	kʰyɛ33	
元	yɛ13	
源	yɛ13	
愿	nyɛ33	
月	nyɛ33	
冤	yɛ55	
园	yɛ13	
远	yɛ13	调例外，阳平
越	nyɛ33	
缺	kʰyɛ53	
血	kʰyɛ53	
县	ɕyɛ33	
跟	kən55	
根	kən55	
恩	ŋən55	
笔	piɛ53	
匹	pi13	一~
贫	pʰin13	
密	miɛ33	
鳞	lin13	
栗	li33	
儘	tɕin21	~前
亲	tɕʰin55	
七	tɕʰiɛ53	
漆	tɕʰiɛ53	
尽	tɕin33	
疾	tɕiɛ53	调例外，阴入
辛	ɕin55	
新	ɕin55	
信	ɕin33	
膝	tɕʰiɛ53	
镇	tin33	
陈	tsʰən13	
尘	tsʰən13	
阵	tsən33	
蝨	sɛ33	~子，调例外，阳入
真	tsən55	
神	sən13	
实	sɛ33	
身	sən55	
伸	sən55	
失	sɛ53	
晨	sən13	
人	ni13	
忍	in21	
认	in33	
巾	tɕin55	
紧	tɕin21	
银	in13	
印	in33	
一	iɛ53	
引	in21	
斤	tɕin55	
筋	tɕin55	
芹	tɕʰin13	
近	tɕin33	
本	pin21	
不	ɛ53	
喷	pʰən33	~香
盆	pʰin13	
门	min13	
闷	/	
没	/	~有
顿	tin33	
嫩	nən33	
论	lən33	议~
寸	tɕʰin33	
存	tsʰən13	
孙	ɕin55	
损	sən21	
滚	kuen21	
棍	kuen33	
骨	kuɛ53	~头
綑	kʰuən21	~起
昏	fən55	
魂	fən13	
温	yn55	
瘟	yn55	
稳	uən21	
笋	ɕin21	
榫	ɕin21	~头
椿	tsʰoŋ55	~树
准	tsən21	
春	tsʰuən55	
蠢	tsʰuən21	
出	tsʰɛ53	
顺	sən33	
润	yn33	
闰	yn33	
菌	tɕyn33	
匀	yn13	
分	fyn55	~开
粉	fyn21	
坟	fən13	
份	fyn33	一~
文	uən13	
闻	min13	
问	min33	
裙	kʰyn13	
薰	ɕyn55	
雲	yn13	白~
运	yn33	
帮	po55	
榜	pia21	
旁	pʰo13	
薄	pʰu33	
芒	mo13	
当	tia55	~时
挡	tia21	阻~
当	to33	~作
汤	tʰo55	
堂	tʰo13	
唐	tʰo13	
糖	tʰo13	
塘	tʰo13	
郎	lo13	
狼	lia13	
落	lɛ33	
葬	tso33	
仓	tsʰo55	
凿	tso33	
桑	so55	
丧	so55	婚~
索	/	绳~
岗	ko55	
钢	ko55	
缸	ko55	
钢	ko33	动词
各	kʰɛ53	
糠	kʰo55	
行	xo13	~列
恶	o53	善~
娘	niu13	
酿	niu21	
凉	liu13	
量	liu13	丈~
梁	liu13	
粱	liu13	
两	lio21	~个
亮	liu33	
辆	liu33	
将	tɕiu55	~就
浆	tɕiu55	
蒋	tɕiɛ21	
酱	tɕiu33	
枪	tɕʰiu55	
抢	tɕʰiu21	
墙	tɕʰiu13	
匠	tɕiu33	
箱	ɕiu55	
厢	ɕiu55	
想	ɕiu21	
相	ɕiu33	~貌
削	ɕiəu53	
象	ɕiu33	大~
张	tsu55	
长	tsu21	生~
涨	tsu21	~水
帐	tsu33	
胀	tsu33	
着	tsu53	~衣
长	tsʰu13	~短
肠	tsʰu13	
场	tsʰu13	~地
丈	tsu33	
庄	tso55	
装	tsu55	
壮	tso33	
疮	tsʰo55	
床	tsʰo13	~铺
状	tso33	
霜	so55	
樟	tsu55	
掌	tsu21	
厂	tsʰu21	
唱	tsʰu33	
商	so55	
伤	su55	
尝	su13	
上	su33	~山
上	su33	~面
让	iu33	
薑	tɕiu55	生~
脚	tɕio53	
强	tɕʰiu13	~大
香	ɕiu55	
乡	ɕiu55	
响	ɕiu21	
向	ɕiu33	
秧	iu55	
约	io53	
羊	iu13	
杨	iu13	
阳	iu13	
养	iu21	
痒	iu21	
样	iu33	
药	iu33	
光	ko55	
广	ko21	
荒	xo55	
慌	xo55	
黄	o13	
皇	xo13	
方	xo55	
放	po33	
妨	xo55	~害，疑读半边
纺	pʰo21	
房	xo13	
防	xo13	
网	mo21	
王	o13	
剥	pu53	~开
雹	pʰau33	
啄	tsɛ53	
双	so55	一~
江	ko55	~边
讲	ko21	
降	tɕiɛ33	下~
虹	ko33	彩~
角	tɕiu53	一~
壳	kʰɛ53	蛋~
降	ɕiɛ13	投~
巷	xoŋ21	
学	xɛ33	上~
崩	poŋ55	
北	pɛ53	
朋	pɤ13	
墨	mɛ33	
灯	tən55	
等	tən21	
凳	tin33	
得	tɛ53	
德	tɛ53	
藤	tʰin13	
邓	tən33	
能	nən13	
曾	tɕin55	姓
层	tɕʰin13	
塞	sɛ53	闭~
肯	kʰən21	
刻	kʰɛ53	时~
克	kʰɛ53	
黑	xɛ53	
冰	pin55	~糖
逼	piɛ53	
凭	pʰio13	
力	liɛ33	
鲫	tɕiɛ33	
熄	ɕiəu53	
橙	tsʰən13	~色
直	tsʰɛ33	
色	sɛ53	
蒸	tsən55	
织	tsɛ53	
称	tsʰən55	~重
秤	tsʰən33	~杆
剩	sən33	
升	sən55	
识	sɛ53	
兴	ɕin33	高~
应	in33	~对
国	kuɛ53	
百	pu53	
柏	pu53	
伯	pa53	~父
拍	pʰɛ53	
彭	pʰoŋ13	
白	pʰu33	
打	ta21	
冷	lio33	
牚	tsʰo33	~儿
拆	tsʰɛ53	~开
铛	tsʰo55	
生	so55	
甥	so55	
省	sən21	~长
更	kən55	五~
梗	kən21	~子
格	kɛ53	
客	kʰɛ53	
硬	ŋo33	
嚇	xo53	恐~
行	xo13	~为
棚	pʰoŋ13	
麦	mu33	
脉	mɛ33	
摘	tsɛ53	
橙	tsʰən13	~子
争	tso55	
责	tsɛ53	
策	tsʰɛ53	
隔	kɛ53	
轭	a53	
兵	pin55	
平	pʰio13	
坪	pʰio13	
病	pio33	
明	min13	
命	mio33	
惊	tɕin55	
敬	tɕin33	
镜	tɕin33	
影	io35	调例外
映	in33	
饼	pio21	
名	mio13	
岭	lio33	
领	lin33	
精	tɕio55	
睛	tɕio55	眼~
井	tɕio53	
清	tɕʰio55	
请	tɕʰio21	
情	tɕʰin13	
晴	tɕʰio13	
静	tɕio33	恬~
净	tɕio33	
性	ɕin51	调例外
姓	ɕin51	调例外
惜	ɕiɛ53	
席	ɕiɛ33	
正	tso55	~月
整	tso21	齐~
正	tsən33	端~
隻	tsɛ53	一~
炙	tsɛ53	
赤	tsʰɛ53	
尺	tsʰɛ53	
射	sa33	
声	so55	
成	so13	
城	tsʰən13	
盛	tsɛ55	~满，训读
石	sɛ33	
颈	tɕio21	
轻	tɕʰio55	~重
赢	io13	
壁	piɛ53	
劈	pʰi53	
瓶	误	
钉	tin55	铁~
疔	tin55	
顶	tin21	
钉	tio33	~住
滴	tio53	
听	tʰio33	~见
听	tʰio33	~任
踢	tʰiɛ33	
亭	tin13	
停	tin13	
定	tin33	
笛	tia33	
宁	nin13	安~
灵	lin13	
零	lio13	
铃	lio13	
另	lin13	
曆	lio33	
青	tɕʰio55	
星	ɕio55	
腥	ɕio55	
锡	ɕiɛ53	
经	tɕin21	念~
吃	tɕʰiɛ53	~亏
形	ɕin13	
橫	o13	~直
划	fa33	
兄	ɕioŋ21	
永	yn33	
卜	pu33	
扑	pʰu53	
蓬	pʰoŋ13	
篷	pʰoŋ13	
蒙	moŋ13	
木	mu53	
东	toŋ55	
懂	toŋ21	
冻	toŋ33	
通	tʰoŋ55	
桶	tʰoŋ21	
同	tʰoŋ13	
铜	tʰoŋ13	
桐	tʰoŋ13	
筒	tʰoŋ13	
洞	toŋ33	
独	təu33	
读	təu33	
笼	loŋ13	
聋	loŋ55	调例外，阴平
棕	tsoŋ55	
总	tsoŋ21	
粽	tsoŋ33	
聪	tsʰoŋ55	
葱	tsʰoŋ55	
送	soŋ33	
公	koŋ55	
工	koŋ56	
功	koŋ57	
穀	ku53	稻~
空	kʰoŋ55	~虚
空	kʰoŋ33	~缺
哭	kʰu53	
烘	xo33	~干，韵例外
哄	xoŋ21	~骗
红	xoŋ13	
屋	u53	
冬	toŋ55	
统	tʰoŋ33	保留去声存疑
毒	təu33	
农	noŋ13	
鬆	soŋ55	~紧
宋	soŋ33	
风	xoŋ55	
枫	xoŋ55	
福	fu53	
冯	xoŋ13	
凤	xoŋ33	
服	fu33	
伏	fu33	
梦	moŋ33	
六	liəu33	
陆	liəu33	
宿	səu53	
中	tsoŋ55	当~
中	tsoŋ33	射~
竹	tsəu53	
畜	tɕʰəu53	~牲
虫	tsoŋ13	
缩	su53	
终	tsoŋ55	
众	tsoŋ33	
充	tsʰoŋ55	
铳	tsʰoŋ33	鸟~
叔	səu53	
熟	səu33	煮~
肉	u21	训读
穷	tɕʰioŋ13	
雄	ɕioŋ13	
融	ioŋ13	
封	xoŋ55	
蜂	pʰoŋ55	
锋	xoŋ55	
捧	pʰoŋ21	
逢	xoŋ13	
奉	xoŋ33	
缝	xoŋ33	裂~
浓	nioŋ13	
龙	loŋ13	
绿	liəu53	调例外，阴入
松	tɕʰin13	~树
续	səu33	
重	tsʰoŋ13	~复
重	tsoŋ33	~量
鐘	tsoŋ55	打~
种	tsoŋ21	~类
肿	tsoŋ21	
烛	tsəu53	
冲	tsʰoŋ55	
赎	səu33	
供	koŋ55	~给
拱	koŋ21	~手
恐	ɕioŋ21	
局	tɕiəu53	
玉	y33	
胸	ɕioŋ55	
兇	ɕioŋ55	~恶
容	ioŋ13	
镕	ioŋ13	
勇	ioŋ21	
涌	ioŋ21	
用	ioŋ33	
