ã31 杏
ʥi31 齐祁鳍其棋
ʥiã131 强
ʥiɔ131 乔侨荞桥
ʥin131 擎鲸
ʥin213 近荆竞
ʥiɤ213 囚
ʥy213拒距厨聚拄柱竖乳树荠柜倦
ʥy31 瞿
ʥy44 渠注蛀铸
ʥyəʔ12 倔掘
e213 暗
ɛ213 念晏
e31 庵案
ɛ31 哀埯
ɛ324 爱蔼
əl31 儿饵
əl44 尔而
ən31 恩
əʔ12 隘
fɑ̃31 方肪脂肪芳
fɑ̃324 放
fɑ̃44 妨仿纺访
fæʔ5 发
fɛ31 翻番
fɛ324 贩
fɛ44 反
fən31 昏婚分芬纷
fən324 粪
fən44 粉奋
fəʔ12 佛物
fəʔ5 忽勿
fi213 费
fi31 灰麾非飞妃匪榧尾翡
fi44 辉徽
foŋ31 风枫疯讽封峰蜂锋
foʔ5 复福幅蝠复腹覆
fu213 跗
fu31 呼敷俘孵麸
fu324货虎夫肤府腑俯斧付赋傅赴讣富副
fu44 火浒
fɤ44 否
ɡa213 轧
ɡoŋ213 共
ɡoŋ44 汞
ɡuɑ̃131 狂
ɡue213 葵
ɡue31 愧
ɡui213 溃
hɑ̃131 航杭
ɦã131 行
ɦã213 行
ɦɑ̃213 项巷
ha31 哈
hã31 夯亨
ɦa31 鞋
ha44 蟹
hæʔ5 喝瞎辖
ɦaʔ12 匣
haʔ5 嚇赫嚇
ɦɔ213下夏暇豪壕毫号浩号
hɔ31 蒿薅耗
hɔ44 好好枵
hɔʔ5 郝藿
he131 含
ɦɛ131 咸衔闲
ɦe213 陷
ɦɛ213 亥害限
ɦɛ31 孩骇
he324 憾
hɛ324 喊
hɛ44 海
hən131 恒
ɦən131 痕衡
ɦən213 恨
hən31 很
həʔ12 合合
həʔ5 黑
ɦi131 弦
ɦi213蚁椅易肄异沂遗堰现燕咽宴沿逸忆亿
ɦi31 倚伊夷姨
ɦia131 耶爷
ɦia213 野夜
ɦiɔ213 效校
ɦin131 营茔
ɦin213 引尹幸影盈形型刑
ɦioŋ131雲云荣泳咏萤荥绒熊雄融
ɦioŋ213 运颖
ɦioŋ44 永
ɦo131 华划铧
ɦø131 寒韩
ɦø213 罕旱汉汗焊翰
ho31 花
hø31 虾蚶酣
ho324 化
hoŋ131 弘冯
ɦoŋ131 宏红洪鸿虹
hoŋ213 嗅
hoŋ31 轰轰烘哄丰
hoʔ12 或惑获
ɦoʔ12 斛
hoʔ5 霍
ɦu131和和胡湖狐壶乎葫胡鹉
ɦu213贺祸户沪符扶芙无腐辅武舞务雾
ɦu31 荷河何侮
ɦuɑ̃131 黄簧皇蝗
hua31 歪
huɑ̃31 荒慌
huɑ̃324 谎
huɑ̃44 晃
hue213 会
ɦue213 换
hue31 欢
hue324 贿毁
hue44 缓唤焕幻
ɦue44 宛
huən31 荤
hui324 晦
ɦy131 圆员袁辕玄悬
ɦy213宇禹羽愈寓芋喻裕院悦阅援县眩
ɦy31冤园
ɦy44 渊
ɦyəʔ12 月越曰粤穴厚
hɤ213 吼
ɦɤ53 喉
ȵi1 炎盐延筵年耳{白读}艺系系畦仪义议二
i213贰耳意毅染验厌焰靥腌俨酽腌雁涎演谚言贤捻趼砚
i31泥倪奚宜移谊腻疑医饴你拟矣已以衣依黏淹掩拈嫌研烟撵湮
iã131 娘瓤穰羊洋杨阳疡
iã213 烊壤养痒让样
ia31 涯
iã31 央秧殃王
ia44 霞瑕遐鸦雅亚耶
ȵiã44 扬攘嚷仰酿
iaʔ12 峡协虐药钥跃乐学
iaʔ5 约
iɔ131 饶桡摇谣窑姚尧
iɔ213 肴淆校绕舀耀鹞杳
iɔ31 坳妖邀腰幺吆
iɔ324 要
ȵiɔ44 鸟
iɪʔ12聂叶业热疟匿翼译易液腋
iɪʔ131 严
iɪʔ5 谐捏噎乙一抑益亦
in131淫饮人仁仁赢
ȵin213壬吟饮妗银忍认韧闰仍凝迎宁佞
in31音荫因姻寅殷凝鹰蝇莺樱英映婴缨
in324 印
in44 隐
ŋ131 吴吾梧鱼
ȵioŋ131 浓蓉熔绒
ioŋ213 容用
ioŋ31 韵晕拥涌壅
ioŋ44 熨孕雍痈庸甬勇
ioʔ12域疫役肉育玉欲欲浴
ioʔ5 郁
iɤ213 由有诱右柚
iɤ31 忧尤幽幼
ka131 茄
ka31 家加痂嘉
kã31 粳庚羹哽埂梗更
kɑ̃31 刚钢缸杠江扛豇
ka324 架界械
ka44假架驾嫁稼价介解解
kã44 抗耿
kɑ̃44 冈岗纲讲港降
kæʔ5 隔
kaʔ5 夹格
kɔ213 搞
kɔ31 高膏篙羔糕
kɔ324 告绞
kɔ44 稿
kɔʔ5 觉各阁搁觉角饺
kɛ31 该尴奸铅
kɛ324 改
kə324 个
ke44 感
kɛ44概慨盖堪敢减舰裥拣
kən31 跟根恳耕
kəʔ5 夹葛胳革
kʰa31 揩
kʰã31 坑
kʰɑ̃31 康糠慷炕
kʰa44 楷
kʰaʔ5 客
kʰɔ213 烤
kʰɔ31 敲
kʰɔ324 靠犒
kʰɔ44 可考
kʰɔʔ5 壳酷
kʰɛ31 开凯
kʰɛ324 嵌
kʰe44 坎
kʰən31 垦啃
kʰən44 肯
kʰəʔ5 咳磕渴喝刻刻克
kʰo324 夸垮跨
kʰø324 看刊看
kʰoŋ31 空空
kʰoŋ324 孔
kʰoŋ44 控恐
kʰoʔ5 廓哭
kʰu31 窝倭枯库裤
kʰu31 科窠棵颗
kʰu324 课
kʰu44 苦
kʰuɑ213 快话
kʰuɑ̃44 旷匡筐眶况
kʰuɑʔ5 阔扩
kʰue31 亏窥宽
kʰue324 块款
kʰue44 傀
kʰuən31 昆昆坤
kʰuən324 困
kʰuən44 捆
kʰui324 块
kʰɤ213 扣
kʰɤ44 口
kʰɤ31 抠
ko213 挂
ko31 瓜蜗
kø31 竿干干肝
ko324 寡
kø44 杆秆擀赶
koŋ31公蚣工功攻弓躬宫恭供拱
koŋ44 巩
koʔ5 窟郭国谷谷
ku131 盬
ku31 姑孤箍雇
ku31 哥
ku324 过果过故固锢顾
ku44 古估牯股鼓
kua213 怪
kua31 乖
kuɑ̃31 光
kuɑ̃324 逛
kua44 拐
kuɑ̃44 广桄
kuɑ5 刮
kuɑʔ5 割钹括聒
kue213 桂
kuɛ213 惯
kue31 奎规癸官棺关
kue324 逵贵灌罐观冠
kue44圭闺诡轨鬼观冠管馆
kuɛ44 贯
kuən44 滚棍
kɤ213 够
kɤ44 狗
kɤ31 勾
l i n131 伶铃
lɑ̃131 郎廊狼螂朗浪
la213 赖
lã213 冷
la31 拉
læʔ12 辣瘌
laʔ12 腊
lɔ213 老
lɔ31 劳捞牢唠涝
lɔʔ12 落烙骆酪洛络乐
lɛ131 蓝兰
le213 累累类
lɛ213 览揽榄滥猎懒烂
le31 垒
lɛ31 来
lən131 轮
lən213 论仑论伦沦楞
lən31 扔
ləʔ12 拦栏擦捋肋勒
li131 雷燎廉连联怜莲
li213例礼丽利厘狸李里里理鲤吏泪敛敛练炼楝恋
li31黎儡离篱璃离梨履痢
liã131 良凉粮梁粱
liã213 量两两亮谅辆量
liaʔ12 略掠
liɔ131 燎疗聊辽寥箫
liɔ213 了料了{了结}
liɔ31 撩
liɪʔ12荔立列烈裂劣栗律率力
lin131林邻鳞磷吝陵凌菱岭灵零拎翎
lin213 檩赁领令另
liɤ131 流柳
liɤ31 溜
lø213 卵乱
loŋ131 笼聋拢隆龙陇垅
loŋ213 弄
loŋ31 弄
loʔ12 鹿禄六陆绿录
lu131罗锣箩螺骡腡裸卢炉芦鸬鲁虏卤驴
lu213 路露鹭
lu324 橹赂
ly131 瘰
ly213 吕稆旅虑滤
ly31 缕
ly44 屡
lɤ121 楼篓
mɑ̃131 忙芒茫
ma213 买
mã213 盲虻猛孟梦
mɑ̃213莽蟒亡芒网辋忘妄望
ma31 [妈]埋
mæʔ12 袜
maʔ12 卖
maʔ5 陌麦脉
mɔ 爪
mɔ131 茅猫锚铙
mɔ213 冒帽卯貌猫矛
mɛ131 蔓
me213 满漫幔
mɛ213 慢
me31 每
mɛ31 迈蛮
mən131 门蚊萌盟
mən213 闻
mən31 闷
məʔ12 末沫抹墨默
mi131迷梅眉楣霉媚寐绵棉
mi213米妹味描免勉娩缅渑面眠面
mi31 糜糜弥籋靡尾
mi44 美抿
miɔ131 秒
miɔ213 苗庙妙
miɔ44 藐渺
miɪʔ12 灭蔑密蜜觅
miɪʔ5 秘泌
min131 民明铭
min213 悯命
min31 名
min44 闽敏鸣皿
miɤ44 谬
mø131 瞒馒
moŋ131 蒙懵蠓
moʔ12 莫膜寞摸木目穆牧
mu12 幕
mu131魔摩馍磨麻蟆模模摹
mu213 马骂暮慕墓募
mu31 母
mɤ13 某谋
mɤ213 茂
nɑ̃131 囊曩
na213 拿奶
nɑ̃213 攮
na31 哪那
na44 奶
næʔ12 捺奈
naʔ5 纳钠
nɔ213 闹
nɔ324 脑恼
nɔʔ12 挪诺
nɛ131 南难难
ne213 内
nɛ213 乃耐
nən131 能
nən213 嫩
ni31 尼碾辇
niɔ213 绕
niɪʔ12 孽
niɤ213 纽
nø213 暖
no31 拿
nø31 囝
noŋ131 农脓侬
nu131 努
nu213 糯怒
ȵiɤ131 牛
ȵy131 元
ȵy213 软阮远愿怨女语御誉预豫愚于盂榆逾愉雨遇
ŋa131 牙芽衙伢砑
ŋa213 外
ŋã213 硬
ŋaʔ12 额
ŋɔ131 熬
ŋɔ213 瓦傲鏊咬
ŋɔʔ12 昂鄂鹤岳岳
ŋɛ131 岩颜
ŋɛ213 眼
ŋɛ31 呆呆艾
ŋə324 讹
ŋɛ44 碍
ŋəʔ12 核核核扼轭
ŋo213 瓦
ŋø213 岸
ŋu131 鹅蛾俄
ŋu213 饿卧戽互瓠
ŋu31 我
ŋu324 误悟护
ŋɤ13 藕
ŋɤ213 偶
o31 蛙
ø31 安鞍按案
o44 哑
oŋ31 翁瓮
oʔ5 握屋
pã131 彭膨
pɑ̃131 傍
pa213 拜
pa31 牌
pã31 浜
pɑ̃31 帮滂邦
pa44 摆
pɑ̃44 榜谤绑
pæʔ5 八泊
paʔ12 拔抹
paʔ5 伯
pɔ31 袍毛包胞狍
pɔ324 饱豹爆
pɔ44 保堡宝报
pɛ131 爬琶杷
pe213 伴
pɛ213 扮
pe31 贝培碑卑彼悲
pɛ31 瓣班斑颁扳扳般
pe324 半
pɛ44 板版
pən131 盆
pən31 奔锛奔崩迸
pən44 本
pəʔ5 鼻钵拨不
pʰã131 朋
pʰa324 派
pʰɑ̃324 胖
pʰã44 烹
pʰæʔ5 泊
pʰaʔ5 迫拍魄
pʰɔ213 泡
pʰɔ31 抛
pʰɔ324 炮泡
pʰe213 拌
pʰɛ213 盼襻
pʰe324 判
pʰən31 喷
pʰəʔ5 泼
pʰi213 篇
pʰi31 批胚披丕偏遍
pʰi324 配庇屁骗片
pʰi44 遍
pʰiɔ31 飘瓢漂鳔
pʰiɔ324 票漂
pʰiɪʔ5 匹擘僻辟劈
pʰin31 拼姘
pʰin324 品
pʰin44 聘
pʰø31 潘
pʰoŋ44 捧
pʰoʔ5 朴朴卜扑
pʰu131 婆脯
pʰu31 坡颇玻
pʰu324 破怕铺脯剖
pʰu44 谱普浦
pi213 背避贬
pi31 杯鄙鞭编边
pi324 蔽弊蓖篦变
pi44 闭臂譬比蝙扁匾
piɔ31 膘标彪
piɔ44 表表
piɪʔ12 别
piɪʔ5枇鳖笔毕必逼碧璧壁
pin131 贫频平坪评
pin31 彬宾槟殡鬓冰兵
pin324 柄
pin44 禀丙秉饼并并
pø31 搬
poŋ131 篷蓬
poʔ12 薄薄缚
poʔ5 膞博剥驳北
pu131 蒲菩布佈
pu31 菠波簸
pu31 玻簸
pu324 怖
pu44 补
sɑ̃213 嗓搡
sa31 筛
sã31 生笙甥
sɑ̃31 桑霜孀商伤双双
sã324 省省
sɑ̃324 丧掌
sa44 洒
sã44 省
sɑ̃44 丧磉爽赏
sæʔ5 萨
saʔ5 眨湿闩拴
sɔ31 骚臊梢捎稍潲潲烧
sɔ324 少
sɔ44 扫嫂扫
sɔʔ5 缩
sɛ31腮衰摔杉衫钐珊山删疝膻
se324 碎
sɛ324 赛陕伞扇扇
sɛ44 散山
sən31参森深渗身申伸孙逊僧升牲声圣
sən324 葚准胜胜
sən44 沈损笋榫舜
səʔ5涩刷说瑟虱失室率蟀塞色啬织职识式饰塞栅适释
si131 羡
si31 西鲜鲜藓先
si324 线
si44 宣
siɔ131 剿
siɪʔ5 屑屑雪惜
sin31 心辛新薪星腥
sin324 信讯荀旬迅殉性姓
sin44 醒
sø31 酸
so324 晒
sø324 隋算蒜
soŋ31 松嵩松茸怂
soŋ324 送贡宋笃诵颂讼
soʔ5 索速肃宿叔粟
sɿ213 世豕四肆
sɿ31斯厮撕筛私师狮屎司丝思诗史驶思尿
sɿ324 豉次试
sɿ44 鼠黍施尸尸使始水
su213 数素
su31 沙纱奢赊苏酥疏莎
su324嗦蓑梭舍赦素诉塑嗉所恕数
su44 锁舍
sue31 虽
sue44 绥
sy44 暑
sɤ213 嗽瘦寿
sɤ44 手
sɤ31 搜收叟
tɑ̃131 堂棠螳唐糖塘
tɑ̃31 汤铛
ta324 带
tã44 打
tæʔ5 答
tɔ213 祷
tɔ31 刀叨
tɔ324 岛到
tɔ44 倒
tɔʔ12 踱22
tɔʔ5 托托
tɛ131 谈
te213 对
tɛ213 担
te31 堆
tɛ31 胎台耽丹单
tɛ324 担
tɛ44 戴胆旦
tən31 敦墩撙登灯镫瞪
tən324 等凳
tən44 汆顿扽
təʔ12 夺突
təʔ5 得德蜕
tɣ31 兜
tʰe44 腿
ʨʰi44 起
tʰa324 泰
tʰɑ̃324 烫
tʰɑ̃44 倘躺
tʰæʔ5 獭达
tʰaʔ5 沓塔
tʰɔ31 滔
tʰɔ324 套
tʰɔ44 讨
tʰɛ213 态
tʰɛ31 坍毯滩摊檀
tʰe324 退
tʰɛ324 炭叹
tʰɛ44 坦
tʰən44 吞
tʰəʔ5 脱
tʰi131 田填
ʨʰi213 欠
tʰi31 替推添天
ʨʰi31且蛆妻溪欺岂签谦迁牵
ʨʰi324砌企器弃杞气汽歉遣
tʰi44 梯体
ʨʰi44 启浅
ʨʰiã31 枪
ʨʰiã44 羌抢强
ʨʰiaʔ5 恰雀鹊却
ʨʰiɔ131 瞧
tʰiɔ213 粜
tʰiɔ31 挑
ʨʰiɔ31 锹鞘
tʰiɔ324 跳
ʨʰiɔ324 俏窍
ʨʰiɔ44 侥
ʨʰiɔʔ5 吃
tʰiɪʔ5 铁踢剔
ʨʰiɪʔ5契妾捷怯泣吸揖蝎切楔戚
ʨʰin131 揿勤芹
ʨʰin213 寝
tʰin31 厅汀艇定
ʨʰin31 轻侵掀亲
ʨʰin324 卿庆倾顷
tʰin44 挺
ʨʰin44 钦磬
ʨʰiɤ31 秋秋丘
ʨʰiɤ44 揪
tʰø31 贪
tʰø324 团
tʰoŋ31 通捅
tʰoŋ324 痛
tʰoŋ44 统
tʰoʔ5 唾秃
tʰu213 妥
tʰu31 拖
tʰu324 吐兔
tʰu44 土吐
ʨʰy131 去拳权颧
ʨʰy31 趋驱圈
ʨʰy324 趣翠劝
ʨʰy44 处取娶
ʨʰyəʔ5 缺
tʰɤ213 透
tʰɤ31 偷
ti213 帝
ʨi213 季剑箭茧
ti31 低颠
ʨi31鸡挤济剂奇骑岐技妓寄饥肌几基机讥饥既尖钳艰煎乾虔掮犍坚屐
ti324 店电殿奠
ʨi324 际计己记苋荐见戟
ti44 掂点舔典腆
ʨi44冀几几鉴检兼简柬谏涧锏剪
tia31 爹
ʨiã31 浆疆僵姜礓缰姜腔
ʨiã324 将酱
ʨia44 姐皆佳
ʨiã44 蒋奖桨
ʨiaʔ5 甲脚确
tiɔ131 条调
ʨiɔ131 校樵
tiɔ213 钓吊
ʨiɔ213 搅轿
tiɔ31 刁貂雕
ʨiɔ31交郊胶教狡铰焦椒骄娇矫浇缴
ʨiɔ324 较窖叫
tiɔ44 朵
ʨiɔ44 巧
tiɪʔ12 叠谍
ʨiɪʔ12 接劫及杰极剧剧
tiɪʔ5 跌的滴嫡
ʨiɪʔ5缉急揭节结洁吉讫乞即积迹脊绩击激
ʨin213 境景警
tin31 丁钉靪疔盯听
ʨin31今琴津巾斤筋茎京惊经陉径
tin324 鼎
ʨin324 襟劲劲
tin44 顶
ʨin44锦禁紧仅谨敬竟镜颈
ʨioŋ131 琼穷
ʨioŋ31 军群裙郡
ʨioŋ44 苘
ʨioʔ12 轴锔局
ʨioʔ5 屈
ʨiɤ131 求
ʨiɤ213 舅
tiɤ31 丢
ʨiɤ31 纠
ʨiɤ324 救旧
ʨiɤ44 酒九
tø131 潭团
tø31 端
tø324 断团
tø44 掸短锻
toŋ31 东栋冬
toŋ324 冻
toŋ44 董懂铳
toʔ12 铎独读牍犊
toʔ5 剁督
tu131 舵
tu31 都督多
tu324 妒
tu44 堵赌肚
ʨy213 俱句具惧龟
ʨy31居车据锯诛蛛株朱蛛珠拘驹区矩归捐圈眷绢犬
ʨy324 醉
ʨy44 举主驻注缀卷卷券
ʨyəʔ12 倔
ʨyəʔ5 厥橛决诀菊
ʨyɪʔ 橘
ʨyn31 均钧窘菌君
tɤ213 斗鬥
ʦa31 抓
ʦã31 张常
ʦɑ̃31 赃脏庄装疮章樟桩
ʦa324 债
ʦã324 涨帐账胀盛
ʦɑ̃324 葬壮
ʦɑ̃44 障瘴
ʦæʔ12 铡
ʦaʔ12 杂
ʦaʔ5札扎杀着拆窄摘责
ʦɔ131 朝
ʦɔ31 遭糟[找]笊昭招诏
ʦɔ324 罩棹照少
ʦɔ44 早枣蚤
ʦɔʔ5 琢捉筑
ʦe131 蟾残
ʦɛ131 惭暂
ʦe31 罪惨
ʦɛ31 灾再蚕三甘斩搀毡
ʦe324 沾
ʦɛ324 者蘸占赞缠战
ʦe44 瞻展
ʦɛ44 宰散转
ʦən31珍榛臻真尊遵肫曾增憎蒸争筝睁贞侦正
ʦən324枕枕诊疹振震征惩证症征整正政
ʦəʔ12 撮
ʦəʔ5只折摄哲折浙质卒猝则侧
ʦha131 柴
ʦhɑ̃31 仓苍昌菖窗
ʦha324 蔡绰
ʦhã324 撑撑
ʦhɑ̃324 唱倡
ʦha44 扯
ʦhã44 厂畅
ʦhɑ̃44 闯创
ʦhæʔ5 策册赤
ʦhaʔ5 插察斥尺
ʦhɔ213 躁
ʦhɔ31 超
ʦhɔ324 澡炒吵
ʦhɔ44 草钞25
ʦhɛ213 餐
ʦhe31 川穿
ʦhɛ31 猜
ʦhɛ324 菜颤
ʦhɛ44 彩灿铲产
ʦhən131 乘
ʦhən31 村皴椿春皴蛏舂
ʦhən324 趁衬忖寸称塍称秤
ʦhən44 蠢
ʦhəʔ5 彻撤辙设出测
ʦhi31 千
ʦhiɪʔ5 七漆悉
ʦhin31 亲清
ʦhin44 请
ʦhø31 参窜串
ʦhø324 脆纂篡
ʦhø44 喘
ʦhoŋ31 聪葱冲
ʦhoŋ44 宠
ʦhoʔ5 戳畜畜促触
ʦhɿ213 耻
ʦhɿ31 梳疏差赐痴嗤
ʦhɿ324 此刺翅齿
ʦhɿ44 眵侈
ʦhu131 醋
ʦhu213 髽
ʦhu31 差车粗蔬钗错
ʦhu31 搓叉杈差
ʦhu324 矬锉措错楚础
ʦhy31 催丑醜
ʦhɤ213 凑臭
ʦhɤ31 抽
ʦi31 齐
ʦi44 喧
ʦiaʔ12 爵
ʦiɪʔ12 疾
ʦin31 精晶睛青蜻
ʦin324 浸进晋俊浚
ʦin44 井
ʦiɤ324 秀
ʦø213 睡瑞攒
ʦø31拽拉赘吹炊揣钻钻专砖
ʦø324 岁税簪撰
ʦoŋ31棕鬃囱宗中忠充中踪纵钟钟盅纵
ʦoŋ324 众种种
ʦoŋ44 总肿
ʦoʔ5绰桌卓浞朔竹足烛嘱
ʦɸ31 摧
ʦɿ31猪诸雌疵蜘支枝肢栀智资姿咨滓
ʦɿ324 自至志痣
ʦɿ44褚知紫纸矢之芝子梓止趾址置志嘴
ʦu131 做
ʦu31 岔遮蔗租初杵
ʦu324 左佐榨
ʦu44 祖组阻柞
ʦue31 追槌
ʦue324 髓
ʦy131 除储
ʦɤ213 纣奏皱咒兽
ʦɤ44 肘帚
ʦɤ31 邹搊周昼
u131 蜈抚
u213 戊
u31 乌坞巫诬
u31 阿
u324 污五伍午
uã131 横横
uɑ̃131 王矿
ua213 坏画
uɑ̃31 汪枉
uɑ̃44 往
uaʔ12 活滑猾镬划
uaʔ5 剜挖
ue131 完
uɛ131 环
ue213卫危为伪为违围纬桓
ue31 煨萎委威魏畏
uɛ31 弯湾
ue44 喂豌皖碗腕
uən31 温瘟
uən44 稳
ui213 怀
vɑ̃131 房防
væʔ12 罚
vaʔ12 乏伐筏
vɛ131 凡还还藩烦藩矾繁
vɛ213 范范宦饭万
vɛ31 患
vɛ44 晚挽
vən131 魂馄浑坟文纹
vən213 焚愤忿吻刎份璺
vi131 肥微挥未
vi213汇会会废肺吠秽慧维惟唯位伟苇讳胃谓猬汇
vi31 桅回慰
voŋ131 逢缝俸缝
voŋ213 凤奉
voʔ12 服伏复
vu131 妇
vu213 父釜附
vɤ121 浮
y131 渔余馀舁虞娱缘
y31 於淤吁迂
y44 与
yn131 匀
yn44 允
zã131 长肠场床偿长
zɑ̃131 藏裳尚
za213 惹
zã213 丈仗杖上橙锃橙
zɑ̃213 藏尝上状撞
zæʔ12 石
zaʔ12 闸若弱宅
zaʔ5 扎
zc121 韶
zɔ131 缲朝潮
zɔ213曹皂造灶赵兆绍扰召邵
zɔ31 槽
zɔʔ12 酌勺芍啄镯
zɔʔ5 凿昨
ze131 善
zɛ131 谗蝉禅然燃禅
ze213 簪船
zɛ213在载寨站绽栈溅膳单椽篆
zɛ31 才豺
zɛ44 盏
zən131岑陈尘神娠辰晨臣存唇纯莼醇层绳丞橙成城诚盛
zən213甚任纫肾镇阵慎刃准顺润曾赠承拯剩呈程逞郑乘
zən31 沉针蹲
zəʔ12涉蛰十入蜇舌折侄秩实术述秫贼直值食蚀殖植泽择
zəʔ5 执拙日炙
zi131 徐渐钱旋镟
zi213 贱饯笺全泉旋
zi31 仙前
zi44 选
ziã131 墙详祥
zia213 谢
ziã213 像橡匠
ziɔ131 巢
ziɪʔ12集习绝膝籍藉席夕寂
ziɪʔ5 截
zin131 秦巡
zin213寻尽尽循情晴静靖净
ziɤ213 就袖
zø131 传
zø213 芮锐垂蕊锤谁穗传
zoŋ131 丛从从
zoŋ213 粽崇终戎仲重重
zoŋ44 冢
zoʔ12续浊族逐淑俗赎蜀属辱褥
zoʔ5 祝粥
zɿ131 如池瓷
zɿ213庶薯誓舐是氏指致稚示视嗜兹滋慈磁辞词祠持时鲥似祀巳痔士仕柿俟市恃字伺寺嗣饲治事侍
zɿ31 驰糍迟
zɿ44 脂姊雉旨饬
zu131 茶蛇
zu213 坐座社射锄助
zu31 查
zy213 署
zɤ121 绸
zɤ213 愁仇柔受宙骤
zɤ44 走邹
ɤ213 呕殴
ɤ31 欧沤
