符号说明：{}外注释 {}内注释																																																	
lu	3	鲁																																															
lu	5	路怒																																															
ku	1	姑跍{蹲}																																															
ku	2	谷骨□{蹲}																																															
ku	3	古鼓																																															
ku	5	故																																															
kʰu	1	枯																																															
kʰu	2	哭																																															
kʰu	3	苦																																															
kʰu	5	库裤																																															
u	1	乌																																															
u	2	无																																															
u	3	五武																																															
u	5	务雾																																															
vuᶹ	1	乌																																															
vuᶹ	2	无																																															
vuᶹ	3	五武																																															
vuᶹ	5	务雾																																															
y	1	迂																																															
y	2	鱼																																															
y	3	雨																																															
y	5	遇芋																																															
tɕy	1	居																																															
tɕy	2	局橘																																															
tɕy	3	举																																															
tɕy	5	句据																																															
tɕʰy	1	区{地∽}																																															
tɕʰy	2	曲																																															
tɕʰy	3	取{又}																																															
tɕʰy	5	去																																															
ɕy	3	许																																															
ky	1	居{见于墩寨、龙池等地老派}																																															
ky	5	句{见于墩寨、龙池等地老派}																																															
ky	7	橘{见于墩寨、龙池等地老派}菊{见于墩寨、龙池等地老派}局{见于墩寨、龙池等地老派}																																															
kʰy	1	区{见于墩寨、龙池等地老派}																																															
kʰy	2	渠{见于墩寨、龙池等地老派}																																															
kʰy	7	屈{见于墩寨、龙池等地老派}曲{见于墩寨、龙池等地老派}麯{见于墩寨、龙池等地老派}																																															
tɕiu	7	菊{隆里音}局{隆里音}																																															
tɕʰiu	7	麯{隆里音}																																															
iu	7	育{隆里音}																																															
pa	1	巴粑□{爬：∽树；扶靠着物体保持平稳：∽着墙走}																																															
pa	2	八																																															
pa	3	靶																																															
pa	5	霸坝																																															
pʰa	1	□{量词,一∽痰,一∽尿}□{软和}																																															
pʰa	2	爬耙□{拨水前进,∽船,∽水}																																															
pʰa	5	怕																																															
ma	1	妈																																															
ma	2	麻抹{∽布,∽桌子}																																															
ma	3	马□{以势欺人}□{估计,一般用于否定句}																																															
ma	5	骂																																															
fa	1	花																																															
fa	2	发华滑法																																															
fa	5	化画话																																															
va	1	挖{一派}蛙{一派}																																															
va	2	娃{一派}																																															
tʰa	1	他																																															
tʰa	2	塔																																															
ta	2	达答跶{东西往地下摔：他∽嘎碗}																																															
ta	3	打																																															
ta	5	大																																															
la	1	拉他{又音}																																															
la	2	拿腊辣																																															
la	3	喇																																															
la	5	那																																															
na	2	拿																																															
na	3	哪																																															
na	5	那																																															
tsa	1	渣抓																																															
tsa	2	杂□{吊儿郎当,那人∽得很}																																															
tsa	3	酢																																															
tsa	5	榨喳{口语,声音大,刺耳}																																															
sa	1	沙																																															
sa	2	杀煞																																															
sa	5	射{白,喷射出来,漏出来：∽尿}																																															
tsʰa	1	差																																															
tsʰa	2	茶查																																															
tsʰa	5	岔																																															
ka	1	家{白,向∽田}嘎{助词、语气词。如：吃饭∽,没来∽}																																															
ka	2	恰{∽∽合：刚巧吻合、合适}□{∽哽噎。哽颓}																																															
ka	3	□{肉,儿语,吃∽∽}																																															
kʰa	1	旮																																															
kʰa	3	卡																																															
kʰa	5	胯{∽裆,裤裆}																																															
ŋa	1	□{∽嘴,张开嘴}																																															
ŋa	3	哑{白,∽巴}																																															
ŋa	5	压{碾压：车子∽；夹住：夹子∽；挤、碰、摸}																																															
xa	1	哈□{肉油等物质变味：油∽嘎}																																															
xa	2	搳																																															
xa	5	下{白。很短的时间、一会儿：等一∽。动量词：打三∽。}																																															
sua	7	刷{一派}																																															
kua	1	瓜																																															
kua	2	刮																																															
kua	3	寡																																															
kua	5	挂																																															
kʰua	1	夸																																															
kʰua	2	瘸{口语,∽子}																																															
kʰua	3	垮																																															
kʰua	5	跨																																															
ua	1	挖蛙																																															
ua	2	娃																																															
ua	3	瓦																																															
pia	1	□{贴：∽张画在墙上}																																															
pia	5	□{打耳先：∽一巴掌}																																															
mia	3	□{顺手牵羊地偷窃}																																															
tia	1	爹																																															
tʰia	3	□{∽～鞋,拖鞋}																																															
ȵia	1	黏{∽得很；把纸∽起}																																															
ȵia	2	□{∽气：土气,乡巴佬气}□{∽火,发火、生气}																																															
ȵia	3	惹{白。∽祸：惹祸、闯祸}																																															
ȵia	5	入{白。骂人话：∽你妈的}																																															
lia	1	□{身体不适,虚弱}																																															
lia	2	□{身体不适,虚弱}□{理睬：不∽你}□{∽皮,不振作,拖沓。∽∽垮垮}																																															
lia	3	□{舔,∽一口,∽嘴巴,∽屁股}																																															
lia	5	□{瘸,∽子}																																															
tɕia	1	家加佳																																															
tɕia	2	甲夹																																															
tɕia	3	假																																															
tɕia	5	嫁假{∽期,放∽}价																																															
tɕʰia	2	洽																																															
ɕia	1	虾□{分开(双腿等)}																																															
ɕia	2	霞																																															
ɕia	3	□{偷窃}																																															
ɕia	5	夏																																															
ia	1	丫																																															
ia	2	鸭芽牙																																															
ia	3	雅哑																																															
ia	5	压																																															
po	1	波																																															
po	2	博薄																																															
po	3	簸																																															
po	5	播																																															
pʰo	1	坡																																															
pʰo	2	泼婆																																															
pʰo	3	剖																																															
pʰo	5	破剖{∽柴：劈柴}																																															
mo	1	摸																																															
mo	2	魔磨{折∽}莫沫																																															
mo	3	抹																																															
mo	5	磨{∽子,推∽}																																															
to	1	多																																															
to	2	夺																																															
to	3	躲																																															
to	5	惰垛																																															
tʰo	1	拖																																															
tʰo	2	托坨																																															
tʰo	3	妥																																															
tʰo	5	垛{口语,表示叠得量词,一∽书}																																															
lo	1	□{满出：装得太多,∽出来了}																																															
lo	2	罗□{用盐渍菜}																																															
lo	3	裸																																															
lo	5	糯□{纠缠不清,啰唆；有复合词：本∽,∽奶lai(阴平)}																																															
no	5	糯																																															
tso	2	桌捉□{因烦燥而易招惹人：∽有很；复合词：∽燥}																																															
tso	3	左																																															
tso	5	坐																																															
tsʰo	1	搓□{∽是弄非：搬弄是非；刁∽}																																															
tsʰo	5	错																																															
so	1	梭																																															
so	2	说																																															
so	3	锁																																															
so	5	□{貌丑：∽得很}																																															
ŋo	3	我																																															
ko	1	哥锅																																															
ko	2	各割																																															
ko	3	果																																															
ko	5	个																																															
kʰo	1	科																																															
kʰo	2	壳																																															
kʰo	3	可																																															
kʰo	5	课搁{放}																																															
xo	1	喝蠚{毛虫,某些植物、衣物等对皮肤引起痛痒的刺激：毛毛虫∽我}																																															
xo	2	河活禾合盒																																															
xo	3	火伙																																															
xo	5	货																																															
xo	7	活{南区}																																															
o	1	窝																																															
o	2	鹅																																															
o	5	饿																																															
io	2	药钥																																															
tɕio	1	□{∽∽,宝∽：对年幼儿的爱称}																																															
tɕio	2	脚																																															
tɕio	5	嚼{口语词,常指肉食不烂,嚼不动}																																															
tɕʰio	7	确却																																															
ɕio	2	学																																															
ɕio	3	□{唆使,怂恿}																																															
tio	5	嚼{口语词又读}																																															
pe̞	2	白百伯																																															
pʰe̞	2	拍																																															
me̞	1	奶{吃∽,∽娘}梅{白,杨∽}																																															
me̞	2	墨																																															
fe̞	2	获																																															
fe̞	3	□{∽称一顿}																																															
te̞	2	得德																																															
tʰe̞	2	特																																															
tʰe̞	3	□{肥∽∽：胖乎乎}																																															
le̞	2	勒热{铜鼓音}																																															
ke̞	1	□{抓住、握住}																																															
ke̞	2	格																																															
ke̞	3	给																																															
kʰe̞	5	锯{割,锯,∽子}																																															
kʰe̞	2	客																																															
kʰe̞	3	□{蛮∽∽：壮实貌}																																															
kʰe̞	5	□{揍}□{∽∽：用作记号、界限的刻痕}																																															
ŋe̞	1	□{吭声：打你你不要～一声}																																															
ŋe̞	2	额扼																																															
xe̞	2	黑核																																															
tse̞	1	遮																																															
tse̞	2	窄贼{文}责则																																															
tse̞	3	者																																															
tse̞	5	蔗																																															
tsʰe̞	1	车																																															
tsʰe̞	2	拆宅策测泽																																															
tsʰe̞	3	扯且																																															
tsʰe̞	5	蔗择{口语词。∽菜：选择调理菜}																																															
se̞	1	赊																																															
se̞	2	色塞舌蛇																																															
se̞	3	舍{∽不得}																																															
se̞	5	舍{∽舍}社																																															
ze̞	2	热儿而																																															
ze̞	3	耳惹																																															
ze̞	5	二																																															
e̞	2	儿而																																															
e̞	3	耳																																															
e̞	5	二																																															
ie̞	1	椰																																															
ie̞	2	叶月{铜鼓音}																																															
ie̞	3	野也																																															
ie̞	5	夜																																															
tɕie̞	2	接节结																																															
tɕie̞	3	姐																																															
tɕie̞	5	借																																															
tɕʰie̞	2	切茄																																															
ȵie̞	2	捏																																															
ɕie̞	1	些靴																																															
ɕie̞	2	斜																																															
ɕie̞	3	写																																															
ɕie̞	5	谢																																															
lie̞	2	列																																															
pʰie̞	2	撇																																															
pʰie̞	3	擗{折断}																																															
pie̞	1	□{经济渐拮据,陷入困境}																																															
pie̞	2	别 □{经济渐拮据,陷入困境}□{打∽：不听年长者指挥,闹别扭}																																															
pie̞	3	瘪																																															
mie̞	1	□{斯、掰}																																															
mie̞	2	灭																																															
mie̞	5	□{馊,饭∽嘎}																																															
vie̞	2	月{一派}越{一派}																																															
tie̞	1	爹																																															
tie̞	2	碟																																															
tʰie̞	2	贴铁																																															
kue	2	国																																															
kue	5	□{∽∽叫：小孩哭叫声}																																															
kʰue	2	扩																																															
kʰue	3	□{折断}																																															
ye̞	2	月越																																															
tɕye̞	2	决蕨绝																																															
tɕʰye̞	2	茄缺																																															
tɕʰye̞	3	□{折断}																																															
ɕye̞	2	雪																																															
ə	2	儿																																															
ə	3	耳																																															
ə	5	二																																															
kʰə	5	去																																															
pai	3	摆																																															
pai	5	拜																																															
pʰai	2	排																																															
pʰai	3	㧳{向左右平展双臂(的长度)}□{小孩子跳格子用的游戏用具,形似牌}																																															
pʰai	5	派																																															
mai	1	□{精神萎靡：∽得很；∽丢丢}																																															
mai	2	埋																																															
mai	3	买																																															
mai	5	卖																																															
fai	2	怀																																															
fai	5	坏																																															
vai	1	歪{一派}																																															
vai	5	外{一派}																																															
tai	1	呆{∽很久}																																															
tai	3	歹□{大吃,猛吃,∽一顿饱}逮{抓住：∽小偷。扯：往下∽。}																																															
tai	5	代带																																															
tʰai	1	胎□{奉承、讨好：他会∽人}																																															
tʰai	2	台																																															
tʰai	5	太差{∽巴子：听差、杂役}																																															
lai	1	奶{∽∽,老∽∽}																																															
lai	2	来																																															
lai	3	奶{牛∽,∽粉}																																															
lai	5	赖□{热：∽水。大烧伤、灼伤：火∽着我}																																															
nai	1	奶																																															
nai	3	奶																																															
tsai	1	栽																																															
tsai	3	崽																																															
tsai	5	在寨再																																															
tsʰai	1	猜																																															
tsʰai	2	才材柴财																																															
tsʰai	3	釆踩																																															
tsʰai	5	菜																																															
sai	1	筛																																															
sai	3	甩																																															
sai	5	晒帅																																															
kai	1	街该																																															
kai	3	解改																																															
kai	5	盖介																																															
kʰai	1	开																																															
kʰai	2	□{很、极了：好吃得∽,好玩得∽}																																															
kʰai	3	楷凯																																															
kʰai	5	概																																															
xai	2	还孩鞋																																															
xai	3	海																																															
xai	5	害																																															
ŋai	1	哀																																															
ŋai	2	岩																																															
ŋai	3	矮																																															
ŋai	5	爱																																															
suai	3	甩																																															
suai	5	帅																																															
kuai	3	拐																																															
kuai	5	怪																																															
kʰuai	3	块																																															
kʰuai	5	快																																															
uai	1	歪																																															
uai	5	外																																															
fei	1	灰飞非																																															
fei	2	肥回																																															
fei	3	匪毁																																															
fei	5	汇惠会费肺																																															
vei	1	威{一派}																																															
vei	2	围{一派}																																															
vei	5	位{一派}味{一派}																																															
pei	1	杯□{∽工、∽料,∽活路}□{揣进(衣袋)：揣进荷包(衣袋)}																																															
pei	3	□{乱动：不要∽}																																															
pei	5	贝																																															
pʰei	1	批披																																															
pʰei	2	赔																																															
pʰei	5	佩																																															
mei	2	梅霉																																															
mei	3	美每																																															
mei	5	妹没																																															
tsʰei	1	吹																																															
tsʰei	2	捶																																															
tsʰei	5	脆																																															
sei	1	虽																																															
sei	2	随																																															
sei	3	水																																															
sei	5	岁睡																																															
tsei	1	锥追																																															
tsei	2	贼																																															
tsei	3	嘴																																															
tsei	5	罪最																																															
tei	1	堆																																															
tei	5	队对																																															
tʰei	1	推																																															
tʰei	3	腿																																															
tʰei	5	退																																															
lei	2	雷																																															
lei	3	垒吕																																															
lei	5	累泪内																																															
nei	5	内																																															
suei	3	水																																															
kuei	1	归																																															
kuei	3	鬼																																															
kuei	5	桂贵																																															
kʰuei	1	亏																																															
kʰuei	2	葵																																															
kʰuei	5	溃																																															
uei	1	威萎{口语词,精神不振,∽得很。合成词“∽唆唆”}																																															
uei	2	围																																															
uei	3	尾																																															
uei	5	位味胃																																															
pau	1	包胞																																															
pau	3	保																																															
pau	5	抱爆																																															
pʰau	1	泡{∽肿,电灯∽}																																															
pʰau	2	刨																																															
pʰau	3	跑																																															
pʰau	5	泡{水∽,∽胀}炮																																															
mau	1	猫																																															
mau	2	毛																																															
mau	3	卯																																															
mau	5	冒帽																																															
tsau	1	糟																																															
tsau	2	着{白,遭受、挨}																																															
tsau	3																																																
tsau	5	灶照皂□{调皮,捣蛋}																																															
sau	1	烧																																															
sau	2	苕																																															
sau	3	嫂																																															
sau	5	绍																																															
tsʰau	1	抄																																															
tsʰau	2	朝槽巢潮																																															
tsʰau	3	炒草																																															
tsʰau	5	造{∽纸,∽成}																																															
zau	2	饶																																															
zau	3	挠																																															
tʰau	1	掏																																															
tʰau	2	桃陶																																															
tʰau	3	讨																																															
tʰau	5	套																																															
tau	1	刀																																															
tau	3	岛着{白}倒																																															
tau	5	到倒导																																															
lau	1	捞																																															
lau	2	劳																																															
lau	3	老脑																																															
lau	5	闹痨{毒：∽药,∽耗子}																																															
nau	3	脑																																															
nau	5	闹																																															
kau	1	高																																															
kau	2	搅{∽浆糊}狡{白。调皮,这个崽∽得很。复合词“∽棒精”}																																															
kau	3	搞																																															
kau	5	告窖较{口语词。试：∽一下}																																															
kʰau	1	敲																																															
kʰau	3	考																																															
kʰau	5	靠□{打赌：∽起}																																															
xau	1	薅																																															
xau	3	好{∽坏}																																															
xau	5	号好{爱∽,∽哭}浩□{点据,∽位子}																																															
ŋau	1	熝{即“熬”}																																															
ŋau	2	熬																																															
ŋau	3	袄																																															
ŋau	5	傲																																															
piau	1	标																																															
piau	3	表																																															
piau	5	鳔{滑腻不易抓牢}																																															
pʰiau	1	漂																																															
pʰiau	2	瓢																																															
pʰiau	3	瞟																																															
pʰiau	5	票																																															
miau	2	苗																																															
miau	3	秒																																															
miau	5	妙																																															
tiau	1	刁																																															
tiau	3	鸟{白}屌{骂人语：那人∽得很,∽蛋,∽二朗当}																																															
tiau	5	吊																																															
tʰiau	1	挑{∽水}																																															
tʰiau	2	条																																															
tʰiau	3	斢{调转、调换：∽头,∽包}																																															
tʰiau	5	跳																																															
liau	2	辽□{从水中捞取；烹调法,把食物放入沸水中过一下。}																																															
liau	3	了{∽结,∽解}□{丢失：钥匙∽嘎；被盗,失窃：∽钱,∽强盗。}																																															
liau	5	料撂{丢开：把东西丢开}																																															
tɕiau	1	交娇椒																																															
tɕiau	2	狡{白。心眼多,嘴巧。}																																															
tɕiau	3	狡																																															
tɕiau	5	叫																																															
tɕʰiau	1	悄																																															
tɕʰiau	2	桥																																															
tɕʰiau	3	巧																																															
tɕʰiau	5	翘																																															
ȵiau	2	□{熬、煮：∽糖,∽浆糊,∽潲(猪食)}																																															
ȵiau	3	鸟																																															
ȵiau	5	尿																																															
ɕiau	1	消□{往下推,∽他下去}																																															
ɕiau	2	餚{大吃,∽一顿}																																															
ɕiau	3	小晓																																															
ɕiau	5	笑																																															
iau	1	妖要{∽求}□{并肩用手搂住对方}																																															
iau	2	摇																																															
iau	3	舀																																															
iau	5	要{∽东西}跃																																															
pəu	1	□{墩状物体,柴∽∽}																																															
mou	2	谋																																															
mou	3	某□{甘蔗、藕等物有节：你吃一∽我吃一∽}																																															
mou	5	贸茂																																															
fou	2	浮																																															
fou	3	否																																															
tou	1	兜都																																															
tou	2	读																																															
tou	3	斗{一∽米}堵																																															
tou	5	豆斗就{白,∽是}度																																															
tʰou	1	偷																																															
tʰou	2	头图																																															
tʰou	3	抖土																																															
tʰou	5	透兔																																															
lou	1	偷{白,东西着强盗∽去嘎}□{大吃、猛吃：∽一顿饱}□{用双手抱(走),∽过去,把衣服∽走嘎}																																															
lou	2	楼六㫽{眼神呆滞,∽眉∽眼}陆炉																																															
lou	3	鲁																																															
lou	5	路																																															
tsou	1	周邹州																																															
tsou	3	走肘																																															
tsou	5	做																																															
tsʰou	1	抽掫{抉推：∽他上来,∽起来,∽正,又作“掫”} 搊{抉推：∽他上来,∽起来,∽正,又作“掫”}初																																															
tsʰou	2	绸																																															
tsʰou	3	丑楚																																															
tsʰou	5	醋																																															
sou	1	收																																															
sou	2	粟																																															
sou	3	手																																															
sou	5	受																																															
zou	2	柔																																															
kou	1	勾																																															
kou	2	□{弯腰蹲下：∽起,∽下来}																																															
kou	3	狗																																															
kou	5	够购																																															
kʰou	1	抠																																															
kʰou	2	抠{白,钱财上吝啬、小气}																																															
kʰou	3	口																																															
kʰou	5	扣																																															
ŋou	1	欧																																															
ŋou	3	偶呕{∽吐}																																															
ŋou	5	呕{∽气}																																															
xou	1	齁呴{气管疾病}																																															
xou	2	猴□{∽心：贪心}																																															
xou	3	吼																																															
xou	5	后候																																															
miəu	5	谬																																															
tiəu	1	丢																																															
tiəu	5	□{∽妹,∽∽妹,老∽：最小的女孩}□{小肉痣：脸上生个肉∽∽}																																															
liəu	1	溜																																															
liəu	2	留流																																															
liəu	3	柳																																															
liəu	5	扭{白,要不∽}□{行动灵活、迅速,∽上去}																																															
tɕiəu	1	纠																																															
tɕiəu	3	九酒久																																															
tɕiəu	5	旧就																																															
tɕʰiəu	1	秋丘煪{烟熏,∽腊肉}																																															
tɕʰiəu	2	求																																															
tɕʰiəu	5	旧{∽年,去年}□{不∽你：不理你,∽他一眼}																																															
ȵiəu	1	□{抓：∽把瓜子去吃}																																															
ȵiəu	2	牛																																															
ȵiəu	3	扭																																															
ȵiəu	5	扭{白。动、摆：∽动}□{(言语)圆滑、弯酸：吃螺蛳讲∽∽话}																																															
ɕiəu	1	修休□{∽鸭子：杀、洗鸭}																																															
ɕiəu	2	畜																																															
ɕiəu	3	朽																																															
ɕiəu	5	秀																																															
iəu	1	优																																															
iəu	2	由邮育欲狱																																															
iəu	3	有																																															
iəu	5	又																																															
pan	1	班																																															
pan	3	板□{挣扎}																																															
pan	5	办																																															
pʰan	1	攀																																															
pʰan	5	襻																																															
man	2	蛮																																															
man	3	晚{白,儿孙辈行最小的：∽崽。又指手指中最小的：∽指姆}																																															
man	5	慢																																															
fan	1	翻																																															
fan	2	还																																															
fan	3	反																																															
fan	5	饭范																																															
van	1	弯{一派}																																															
van	3	晚{一派}																																															
van	5	万{一派}																																															
san	1	三山																																															
san	3	伞陕{新}																																															
san	5	善{新}扇{新}善{新}																																															
tsan	1	沾																																															
tsan	3	展攒{∽钱}																																															
tsan	5	站赞																																															
tsʰan	3	产摌{用手掌扫击：∽他一耳光}																																															
tsʰan	5	灿孱{∽头：不知廉耻的人}																																															
zan	2	然{新}燃{新}																																															
zan	3	冉{新}染{新}																																															
tan	1	丹																																															
tan	3	胆掸{口语用法：烹调法,将生食放入沸水中过一遍除去生味}																																															
tan	5	蛋淡																																															
tʰan	1	贪																																															
tʰan	2	谈																																															
tʰan	3	坦																																															
tʰan	5	炭																																															
lan	2	兰南																																															
lan	3	懒																																															
lan	5	烂																																															
nan	2	南难																																															
kan	1	干{∽净、∽燥}甘间{白,中∽}肝																																															
kan	3	敢感																																															
kan	5	干{∽事,∽劲}																																															
kan	1	刊																																															
kʰan	3	坎砍																																															
kʰan	5	看																																															
ŋan	1	安																																															
ŋan	2	谙{估计、揣度}																																															
ŋan	5	暗按腌{口语。腌制,∽肉}																																															
xan	1	憨																																															
xan	2	寒咸{菜∽}																																															
xan	3	喊																																															
xan	5	汉																																															
kuan	1	关																																															
kuan	5	惯																																															
suan	1	栓拴																																															
suan	5	闩																																															
uan	1	弯																																															
uan	3	晚																																															
uan	5	万																																															
tsæn	1	占																																															
tsæn	5	占																																															
sæn	1	煽扇{∽风点火}																																															
sæn	3	陕闪																																															
sæn	5	善扇{∽子}单{姓}煽																																															
zæn	2	燃然																																															
zæn	5	染																																															
pon/poɐn	1	般																																															
pon/poɐn	5	半																																															
pʰon/pʰoɐn	1	潘																																															
pʰon/pʰoɐn	2	盘																																															
pʰon/pʰoɐn	3	□{剗：∽草,∽田埂}																																															
pʰon/pʰoɐn	5	判叛																																															
mon/moɐn	2	瞒																																															
mon/moɐn	3	满																																															
mon/moɐn	5	漫																																															
tuon/toɐn	1	端																																															
tuon/toɐn	3	短断{拦截：~小偷。}																																															
tuon/toɐn	5	段断																																															
tʰuon/tʰoɐn	2	团																																															
luon/loɐn	2	鸾{转动：讲话讲不～(舌头不灵活而口齿不清),“~旋∽旋”(转圈子)。“周围~转”、“～~转转”,指周围附近。}																																															
luon/loɐn	3	卵																																															
luon/loɐn	5	乱																																															
kuon/koɐn	1	官																																															
kuon/koɐn	2	□{“各人”合音 用法：①自己②另自,我是锦屏的,他∽是天柱的}																																															
kuon/koɐn	3	管馆																																															
kuon/koɐn	5	罐																																															
kʰuon/kʰoɐn	1	宽																																															
kʰuon/kʰoɐn	3	款																																															
xuon/xoɐn	1	欢																																															
xuon/xoɐn	3	缓																																															
xuon/xoɐn	5	换																																															
tsuon/tsoɐn	1	专砖																																															
tsuon/tsoɐn	3	转□{渔～:一种渔具。}																																															
tsuon/tsoɐn	5	转篆																																															
tsʰuon/tsʰoɐn	1	川穿																																															
tsʰuon/tsʰoɐn	2	船																																															
tsʰuon/tsʰoɐn	3	喘																																															
tsʰuon/tsʰoɐn	5	窜																																															
suon/soɐn	1	酸																																															
suon/soɐn	5	算																																															
zuon/zoɐn	3	软																																															
uon/oɐn	2	完																																															
uon/oɐn	3	碗																																															
piɛn	1	边编																																															
piɛn	3	贬匾煸{纠缠、泡磨：天天找主任∽；∽时间}																																															
piɛn	5	变便																																															
pʰiɛn	1	偏																																															
pʰiɛn	2	便{∽宜}																																															
pʰiɛn	3	片{∽子,∽∽}□{薄薄地切下一片,∽点肉下来}□{砍,∽你两斧子}																																															
pʰiɛn	5	片{卡∽,∽片,名∽}																																															
miɛn	2	棉																																															
miɛn	3	免																																															
miɛn	5	面																																															
tiɛn	1	癫																																															
tiɛn	3	点																																															
tiɛn	5	电店																																															
tʰiɛn	1	天																																															
tʰiɛn	2	甜																																															
tʰiɛn	3	舔																																															
tʰiɛn	5	掭{1、∽墨：用毛笔醮墨并在砚台上理顺笔毛。2、灯棍：用来清理油灯灯蕊周围杂物的小棍。}																																															
liɛn	2	连																																															
liɛn	3	脸																																															
liɛn	5	练□{踩、践踏}																																															
tɕiɛn	1	尖间{时∽}																																															
tɕiɛn	3	减简笕{房屋等排水引水的管道}																																															
tɕiɛn	5	见																																															
tɕʰiɛn	1	千																																															
tɕʰiɛn	2	前钱全黔																																															
tɕʰiɛn	3	浅																																															
tɕʰiɛn	5	欠																																															
ȵiɛn	1	研拈{用筷子夹菜}																																															
ȵiɛn	2	年																																															
ȵiɛn	3	碾																																															
ȵiɛn	5	念验																																															
ɕiɛn	1	先仙																																															
ɕiɛn	2	嫌																																															
ɕiɛn	3	显																																															
ɕiɛn	5	现线																																															
iɛn	1	烟																																															
iɛn	2	盐																																															
iɛn	3	眼																																															
iɛn	5	燕厌																																															
tɕyɛn	1	捐																																															
tɕyɛn	3	卷{∽起,∽衣袖}																																															
tɕyɛn	5	卷{∽子,试∽}圈{牛∽}																																															
tɕʰyɛn	1	圈{圆∽}																																															
tɕʰyɛn	2	全																																															
tɕʰyɛn	3	犬																																															
tɕʰyɛn	5	劝																																															
ɕyɛn	1	宣																																															
ɕyɛn	2	悬																																															
ɕyɛn	3	选																																															
ɕyɛn	5	旋																																															
yɛn	1	冤																																															
yɛn	2	圆原源																																															
yɛn	3	远																																															
yɛn	5	院愿																																															
paŋ	1	帮																																															
paŋ	2	□{量词,用于体积、重量较大的物体}																																															
paŋ	3	绑																																															
paŋ	5	棒□{岔∽：蛙的一种,黑或褐色}																																															
pʰaŋ	1	□{∽臭,极臭}																																															
pʰaŋ	2	旁																																															
pʰaŋ	3	碰{触动,∽不得}掽{掽,触动,∽不得}																																															
pʰaŋ	5	胖																																															
maŋ	1	□{吃∽∽,对小儿语,指吃饭食}																																															
maŋ	2	忙																																															
maŋ	3	莽																																															
maŋ	5	□{吃∽∽,对小儿语,指吃饭食}																																															
faŋ	1	方荒																																															
faŋ	2	黄房皇																																															
faŋ	3	纺																																															
faŋ	5	放□{∽起块脸：板起面孔}																																															
vaŋ	1	汪{一派}																																															
vaŋ	2	王{一派}																																															
taŋ	1	当{∽兵,∽心}																																															
taŋ	3	党																																															
