pai平	擺
tsʰɤ平	側測策冊廁(~所)
sɤ上	□(吆喝牲口後退聲)
tʂɤ平	遮蔗摺折哲轍蟄
tʂɤ上	者
tʂʰɤ平	車徹撤
tʂʰɤ上	扯
ʂɤ平	賒蛇佘舌折(弄~了)攝設
ʂɤ上	舍捨
ʂɤ去	舍(屋也)社射麝
ʐɤ平	熱
ʐɤ上	惹
kɤ平	歌哥戈疙格鴿割胳擱閣革各角(1)
kɤ去	個
kʰɤ平	棵顆科柯苛殼克刻
kʰɤ上	可課
xɤ平	呵何河荷禾和合核(~對)喝鶴豁(~出去)
xɤ去	賀荷(薄~)和(~聲)
ɤ平	阿(~膠)額惡(~心)

tɤu平	都(~是)兜
tɤu上	鬥(一~米)抖陡
tɤu去	鬥(~爭)豆逗痘
tʰɤu平	偷頭投
tʰɤu去	透
lɤu平	摟(~錢)樓爐
lɤu上	摟(~抱)簍耬
lɤu去	漏瘺
tsɤu平	鄒謅(1)
tsɤu上	走
tsɤu去	奏揍
tsʰɤu平	搊愁
tsʰɤu上	瞅
tsʰɤu去	湊
sɤu平	搜艘餿
sɤu上	嗾擻
sɤu去	瘦嗽(咳~)
tʂɤu平	周舟謅(2)州洲粥妯
tʂɤu上	肘掫□(脾氣~,倔)
tʂɤu去	晝宙咒
tʂʰɤu平	抽綢稠仇
tʂʰɤu上	醜
tʂʰɤu去	臭
ʂɤu平	收
ʂɤu上	手首守
ʂɤu去	獸受壽售
ʐɤu平	柔揉
ʐɤu去	肉
kɤu平	勾溝鉤
kɤu上	狗垢
kɤu去	購構夠
kʰɤu平	摳眶
kʰɤu上	口
kʰɤu去	叩扣寇
xɤu平	黝侯猴瘊
xɤu上	吼
xɤu去	厚後候
ɤu平	歐區毆
ɤu上	藕偶嘔
ɤu去	慪

pian平	編鞭邊蝙
pian上	貶扁匾
pian去	辯辨變便辮遍
pʰian平	偏篇翩便(~宜)
pʰian上	諞
pʰian去	片騙
mian平	棉綿眠
mian上	免娩勉緬
mian去	面
tian平	掂顛癲
tian上	典點
tian去	店墊佃殿電踮
tʰian平	天添填田甜闐
tʰian上	舔腆
lian平	廉鐮簾聯連蓮憐
lian上	臉
lian去	斂殮戀練鏈
tɕian平	尖殲監兼搛間(空~)艱奸堅肩
tɕian上	減堿檢儉簡揀剪繭
tɕian去	鑒鑑艦漸劍間(~斷)犍件濺賤腱健建鍵薦見
tɕʰian平	鹐簽謙遷乾箋千牽鉛鉗潛錢前
tɕʰian上	淺
tɕʰian去	欠歉
ɳian平	蔫年
ɳian上	碾攆撚
ɳian去	念
ɕian平	仙杴鮮掀鍁鹹(2)銜嫌閑弦
ɕian上	險顯
ɕian去	陷餡限線羨憲獻現縣
ian平	淹煙胭巖炎鹽閻嚴言延研掩
ian上	眼演魘
ian去	驗厭艷焰釅雁諺硯燕嚥宴

liaŋ平	良涼量糧梁粱
liaŋ上	兩
liaŋ去	亮諒涼(~一下)輛量(容量)
tɕiaŋ平	將(~來)漿姜韁礓疆江豇
tɕiaŋ上	蔣獎槳講耩(~地)
tɕiaŋ去	醬獎(大~)匠降(下~)犟
tɕʰiaŋ平	槍腔(~調)墻強
tɕʰiaŋ上	搶
tɕʰiaŋ去	嗆
niaŋ平	娘
niaŋ去	釀
ɕiaŋ平	相箱廂湘鑲香鄉詳祥降(投~)
ɕiaŋ上	想享響餉
ɕiaŋ去	象像橡向項
iaŋ平	央秧殃羊洋陽楊揚
iaŋ上	養癢仰
iaŋ去	樣漾

pia平	蹁(~跟頭,跌跤)揙(甩)
pʰia上	□(兩腿左右分開伸開)
mia平	咩
tɕia平	家傢嘉痂加佳夾裌甲(盔~)胛(~拐子,肩膀)
tɕia上	假(真~)賈(姓)
tɕia去	假(放~)架嫁駕價
tɕʰia平	掐恰洽
tɕʰia上	□(跨;邁)卡(頭髮~子)
ɳia上	□(~人家,他)
ɕia平	蝦霞匣俠峽轄
ɕia去	夏廈(~門)下(~火)
ia平	鴉丫鴨押壓牙芽衙軋
ia上	雅啞
ia去	亞訝

piau平	標膘彪
piau上	錶表婊裱
piau去	鰾
pʰiau平	漂飄嫖瓢
pʰiau去	票漂(~亮)
miau平	瞄矛(~子)苗描
miau上	秒
miau去	妙廟
tiau平	刁貂雕叼
tiau上	屌
tiau去	釣吊掉調
tʰiau平	挑(~水)條調(~和)
tʰiau上	挑(~戰)
tʰiau去	跳
liau平	聊僚嘹遼
liau上	燎了(~結)
liau去	料尥廖鐐撂
tɕiau平	教(~書)膠郊交椒焦蕉嬌驕澆
tɕiau上	絞攪鉸狡餃
tɕiau去	教(~育)酵校(~對)覺窖轎叫
tɕʰiau平	敲繰(~邊)鍬悄喬橋僑
tɕʰiau上	巧
tɕʰiau去	俏竅撬
ɳiau上	咬鳥
ɳiau去	尿
ɕiau平	消宵硝銷逍蕭簫
ɕiau上	小曉
ɕiau去	孝效校(學~)笑鞘
iau平	要(~求)腰妖邀幺(~二三)吆搖謠姚窯
iau上	舀(~水)
iau去	靿要(重~)耀

piɤ平	憋鱉別
piɤ上	癟
piɤ去	□(迸裂)
pʰiɤ平	撇撇(雨~)
pʰiɤ上	□(~斷,折斷)
miɤ平	滅蔑
tiɤ平	爹跌疊碟跌蝶
tʰiɤ平	貼帖鐵
liɤ平	列烈裂獵
liɤ上	咧
tɕiɤ平	階皆接結捷傑節截潔揭接
tɕiɤ上	姐解(~放軍)
tɕiɤ去	借介界械戒屆
tɕʰiɤ平	切妾竊茄□(銜)
tɕʰiɤ上	且
tɕʰiɤ去	褯笡(~坡子)
ɳiɤ平	苶捏聶鑷孽
ɕiɤ平	歇蠍楔斜邪脅泄協血
ɕiɤ上	寫
ɕiɤ去	瀉卸謝解(姓)
iɤ平	椰噎頁葉業液爺
iɤ上	野也冶
iɤ去	夜

tiɤu平	丟
liɤu平	溜流硫榴留瘤劉六
liɤu上	柳綹
liɤu去	餾遛
tɕiɤu平	揪鳩鬏鬮糾究
tɕiɤu上	酒九久韭灸
tɕiɤu去	就救舊蹴(~縮)
tɕʰiɤu平	秋鰍囚丘蚯求球仇(姓)毬
ɳiɤu平	牛
ɳiɤu上	紐扭鈕
ɳiɤu去	謬
ɕiɤu平	修羞休
ɕiɤu上	朽宿(~夜)
ɕiɤu去	秀繡銹袖
iɤu平	尤優憂悠由油郵遊
iɤu上	有友
iɤu去	又右佑幼釉

piŋ平	賓彬冰兵
piŋ上	丙餅
piŋ去	殯鬢病倂並
pʰiŋ平	拼貧憑平坪萍屏瓶
pʰiŋ上	品
pʰiŋ去	聘姘
miŋ平	民明名鳴銘
miŋ上	閔敏皿
miŋ去	命
tiŋ平	丁釘(鐵~)叮
tiŋ上	頂鼎
tiŋ去	錠釘(~住)訂定
tʰiŋ平	聽廳亭停廷庭
tʰiŋ上	艇挺
tʰiŋ去	停(~牌)
liŋ平	拎林淋鄰鱗靈零鈴伶
liŋ上	檁領嶺
liŋ去	令另
tɕiŋ平	今金禁(~不起)襟斤筋巾津睛晶驚京經精
tɕiŋ上	境錦僅侭(~前)緊井警
tɕiŋ去	禁(~止)盡近進晉勁靜敬竟鏡凈
tɕʰiŋ平	侵親琴秦勤芹清輕青蜻情晴
tɕʰiŋ上	寢請傾
tɕʰiŋ去	親(~家)慶清(凝固)
niŋ平	凝寧擰
niŋ去	硬寧(~可)
ɕiŋ平	心辛新薪興(~旺)星腥行形型刑
ɕiŋ上	醒擤省(反~)
ɕiŋ去	信興(高~)幸姓性
iŋ平	音陰淫銀寅因洇鸚櫻英應鷹蠅迎贏營
iŋ上	引蚓隱濦影飲(~酒)尹
iŋ去	印飲(~馬)窨映應(響~)

pi平	屄筆鼻
pi上	比秕鄙彼
pi去	蓖篦閉箅(爐~子)髀(~石)蔽幣斃備潷碧必畢被(~臥，被子)
pʰi平	批砒□披皮疲琵匹脾劈僻
pʰi上	□(~叉,兩腿向左右或前後伸直坐於地上)
pʰi去	屁
mi平	咪瞇迷彌縻(~子)秘密蜜
mi上	米
ti平	低羝滴笛迪敵
ti上	底抵牴
ti去	帝弟第遞地
tʰi平	梯題提蹄踢剔
tʰi上	體
tʰi去	替剃
li平	離籬璃犁梨黎剺(用刀劃)立粒歷力瀝
li上	禮李裏鯉理
li去	利痢荔吏例厲勵麗
tɕi平	雞饑肌幾(茶~)基機及擊激鯽集輯急級芨吉極脊籍給(供~)績
tɕi上	擠幾(~個)己蟣
tɕi去	技妓紀記濟劑際祭寄忌既季系(~扣子)計繼
tɕʰi平	妻淒其欺齊臍奇騎芪祁旗棋麒七漆戚乞
tɕʰi上	啟企起杞豈
tɕʰi去	氣汽棄器砌契去(來~)
ɳi平	泥尼倪逆
ɳi上	妳
ɳi去	膩
ɕi平	西希稀嘻息熄錫析夕習媳席蓆吸媳
ɕi上	洗喜
ɕi去	細戲
i平	醫衣依宜儀移姨胰揖一乙溢憶億益譯易(交~)疫役
i上	蟻椅倚已尾(~巴)
i去	藝誼義議意異肄易(難~)

tsɿ平	資姿孜(~然,一種調料)支枝脂芝只(~有)指(~甲)
tsɿ上	紫姊子旨止址趾紙指(~示)
tsɿ去	自字誌痔
tsʰɿ平	□(用水~,用水衝擊)瓷垐(~實,結實)慈磁詞祠辭遲
tsʰɿ上	此齒□(擦抹)
tsʰɿ去	刺賜次伺飼翅
sɿ平	思絲司私斯撕廝時施師獅屍詩氏
sɿ上	死史使駛屎
sɿ去	四肆似寺是示視士仕柿事試廁(茅~坑,茅厠)

tʂʅ平	知隻(一~,兩~)汁直值執侄植織殖質
tʂʅ去	治智置痣制致
tʂʰʅ平	癡池持赤斥尺吃
tʂʰʅ上	恥
ʂʅ平	什十拾食石識適室飾釋
ʂʅ去	世勢誓逝
ʐʅ平	日

tʂuai上	轉(~牌子)
tʂuai去	拽
tʂʰuai平	揣
tʂʰuai去	踹膪(~皮)
kuai平	乖
kuai上	拐□(坏)
kuai去	怪
kʰuai平	塊
kʰuai上	快會(~計)筷
xuai平	淮懷槐
xuai去	壞

tuan平	端
tuan上	短
tuan去	椵緞段斷踹(《廣韻》“換韻丁貫切:足踹”)
tʰuan平	團
nuan上	暖
luan平	鑾欒□(胡説)卵
luan去	亂
tsuan平	鉆(~研)
tsuan上	□(髮髻)
tsuan去	鉆(穿孔)攥
tsʰuan平	汆櫕
tsʰuan去	竄竄
suan平	酸
suan去	算蒜
tʂuan平	專磚
tʂuan上	轉(~吿)
tʂuan去	傳(~記)轉(~圈)
tʂʰuan平	川穿傳椽船
tʂʰuan上	喘
tʂʰuan去	串
kuan平	官倌棺觀(參~)關冠(衣~)
kuan上	管館
kuan去	貫灌罐觀(道~)冠(~軍)慣
kʰuan平	寬
kʰuan上	款
xuan平	歡還(~原)環
xuan上	緩
xuan去	喚換幻

tʂuaŋ平	莊裝妝樁
tʂuaŋ上	奘
tʂuaŋ去	狀壯
tʂʰuaŋ平	窗瘡床
tʂʰuaŋ上	闖
tʂʰuaŋ去	創撞
kuaŋ平	光
kuaŋ上	廣
kuaŋ去	桄逛
kʰuaŋ平	筐匡狂
kʰuaŋ去	曠眶框況礦
xuaŋ平	黃簧皇蝗凰蟥
xuaŋ上	謊晃幌
xuaŋ去	晃(~搖動)

tsua平	□(做啥)
tʂua平	抓髽
tʂua上	爪
tʂʰua平	欻
tʂʰua上	□(捋、擼)
kua平	瓜刮
kua上	寡剮
kua去	卦掛褂蝸(~牛)
kʰua平	滉誇
kʰua上	侉垮
kʰua去	跨胯
xua平	花華鏵劃滑猾
xua去	化華(~山)話畫劃(計~)

tuei平	堆
tuei上	□(撞擊)
tuei去	隊兌對
tʰuei平	推
tʰuei上	腿
tʰuei去	退蛻
luei平	雷擂
luei上	累(積~)壘磊屢□(坍塌)
luei去	累(連~)類淚
tsuei上	嘴
tsuei去	最罪醉
tsʰuei平	催摧崔炊
tsʰuei去	脆粹翠
suei平	雖綏尿隨隋
suei上	髓
suei去	碎歲穗
tʂuei平	追錐椎
tʂuei去	綴贅墜縋
tʂʰuei平	吹垂槌錘
kuei平	閨規歸龜
kuei上	鬼詭軌癸
kuei去	桂跪櫃貴
kʰuei平	盔虧魁奎逵
kʰuei上	傀
kʰuei去	潰愧
xuei平	灰恢揮輝徽回茴
xuei上	悔毀潰(~膿)
xuei去	賄晦會繪惠慧彗諱匯

tuɤŋ平	敦墩蹲東冬犜(癲~癡呆)
tuɤŋ上	盹董懂□(攪(亂、髒))
tuɤŋ去	盾頓燉洞棟凍動
tʰuɤŋ平	屯通同銅桐童
tʰuɤŋ上	筒桶捅統
tʰuɤŋ去	褪痛
nuɤŋ平	膿
nuɤŋ去	嫩弄
luɤŋ平	崙輪掄隆龍農聾籠
luɤŋ上	隴壟攏
luɤŋ去	論
tsuɤŋ平	尊遵綜宗蹤鬃
tsuɤŋ上	總
tsuɤŋ去	粽縱
tsʰuɤŋ平	村皴存聰匆蔥囪從叢
tsʰuɤŋ去	寸
suɤŋ平	孫松慫
suɤŋ上	損筍榫
suɤŋ去	遜(托克~,地名)送宋訟頌誦訴(告~)
tʂuɤŋ平	中忠衷終鐘
tʂuɤŋ上	準種(~類)腫
tʂuɤŋ去	重(輕~)中(射~)眾種(~樹)
tʂʰuɤŋ平	春沖充唇純重(~複)蟲
tʂʰuɤŋ上	蠢寵
tʂʰuɤŋ去	沖(~子)
kuɤŋ平	公蚣工功攻弓躬宮供(~不起)
kuɤŋ上	滾龔鞏拱
kuɤŋ去	棍供貢共
kʰuɤŋ平	昆坤空
kʰuɤŋ上	捆孔恐
kʰuɤŋ去	困胭控空(~缺)
xuɤŋ平	昏婚葷渾餛轟揈烘洪紅訇(阿~)
xuɤŋ上	哄(~騙)
xuɤŋ去	混

tuɤ平	多奪掇
tuɤ上	朵躲
tuɤ去	舵馱(~子)剁垛
tʰuɤ平	拖駝馱脫詑托
tʰuɤ上	妥
nuɤ平	挪諾
luɤ平	啰(~嗦)羅鑼籮騾腡蘿洛落駱
luɤ上	裸摞糯
tsuɤ平	撮嘬昨鑿作(工~)
tsuɤ上	左
tsuɤ去	坐座作(~文)
tsʰuɤ平	搓矬
tsʰuɤ去	挫銼措錯
suɤ平	唆梭縮嗍
suɤ上	所鎖嗦瑣
tʂuɤ平	拙桌卓捉著(~落)鐲濁
tʂʰuɤ平	綽戳
kuɤ平	鍋郭國
kuɤ上	果裹馃□(給我)
kuɤ去	過
kʰuɤ平	擴闊括廓
xuɤ平	豁(~口)劐活獲或惑
xuɤ上	火夥
xuɤ去	貨禍和(~麵)

pu平	不醭
pu上	補
pu去	布佈怖部步
pʰu平	鋪(~設)撲
pʰu上	蒲葡脯捕菩譜圃普樸
pʰu去	鋪(店~)
mu平	模(~子)木目穆牧苜謀
mu上	母姆拇畝牡某
mu去	墓募暮慕
fu平	夫膚跗孵麩符扶芙浮福服伏茯袱腹復復書梳蔬舒輸殊叔熟淑贖屬
fu上	府斧腐輔暑署薯
fu去	父付附富副婦負恕數豎樹漱術述
vu平	烏汙巫誣吳蜈無屋物勿如儒辱褥入
vu上	五伍午武舞摀乳擩
vu去	悟誤惡(厭~)霧戊
tu平	都(首~)督獨讀毒犢
tu上	堵賭肚(豬~)
tu去	肚(腹部)杜妬度渡鍍
tʰu平	禿突徒屠途圖
tʰu上	土吐(~痰)
tʰu去	吐(嘔~)兔唾(~沫)
nu平	奴
nu上	努
nu去	怒
lu平	盧廬鹿祿錄陸
lu上	魯滷虜
lu去	路賂露(~水)
tsu平	租卒足
tsu上	祖組阻
tsu去	做
tsʰu平	粗促族
tsʰu去	醋
su平	蘇酥俗速肅宿□(閃躲;哄騙)
su去	素訴(~說)塑嗉
tʂu平	豬蛛株朱硃珠竹築燭囑軸
tʂu上	煮主拄
tʂu去	著助駐註住註蛀祝
tʂʰu平	初除鋤儲廚出
tʂʰu上	楚處(相~)礎杵鼠帚
tʂʰu去	處(~所)畜(~牲)
ku平	姑孤箍估軲骨汩谷
ku上	古股鼓
ku去	故固雇顧
kʰu平	枯窟哭酷
kʰu上	苦
kʰu去	褲庫
xu平	呼忽湖狐壺葫乎楜(桃~兒)
xu上	虎
xu去	戶滬互護

tɕyan平	捐娟鵑
tɕyan上	倦
tɕyan去	圈(豬~)眷卷(書~)倦
tɕʰyan平	圈(圓~)泉全拳權顴蜷
tɕʰyan上	犬
tɕʰyan去	勸券
ɕyan平	軒宣旋玄懸
ɕyan上	癬選
ɕyan去	旋(~喫~做)楦(鞋~)鏇
yan平	冤鴛員圓緣袁轅園援原源
yan上	遠
yan去	怨院願

lyɤ平	略掠
tɕyɤ平	撅(~折)絕掘橛決訣倔嚼腳鐝覺角(2)
tɕʰyɤ平	缺瘸怯雀鵲卻確
ɕyɤ平	靴薛削學雪穴血(2)恤
yɤ平	曰約悅閱月越粵躍藥嶽樂(音~)虐鑰

tɕyŋ平	軍君均菌
tɕyŋ去	俊駿郡
tɕʰyŋ平	群裙瓊窮
tɕʰyŋ上	□(~~子,食品)
ɕyŋ平	熏薰勛尋荀巡兄兇胸匈雄熊
ɕyŋ去	訊迅訓
yŋ平	暈勻雲耘擁
yŋ上	隕永泳勇
yŋ去	韻熨運暈(~車)孕用傭

ly平	驢律綠率
ly上	呂旅
ly去	慮濾
tɕy平	駒拘居車(~馬炮)桔菊鞠局
tɕy上	舉
tɕy去	巨拒距聚據鋸鋸具句
tɕʰy平	蛆趨區渠瞿麯曲(~折)屈黢
tɕʰy上	取娶曲(歌~)
tɕʰy去	去(~皮)趣
ɳy上	女
ɕy平	須需籲虛噓徐旭畜
ɕy上	許
ɕy去	序敘緒絮續
y平	淤迂魚漁於虞愉孟愚域育玉獄欲浴
y上	語羽禹宇雨
y去	禦與譽預遇

