	注釋：=文讀，-白讀
h	[1]呵{～氣}[2]蝦=霞={～光}瑕遐暇{俗}肴{～圍裙：系圍裙}[3]哈{俗～耳：打呵欠}[4]下={上～}[5]孝-{有～：孝順}[6]暇=廈={大～}夏={盛～}
∅	[1]阿{～妹}啊=醃{～臜}丫鴉亞={俗，～洲}啞{俗，聾～}[3]阿{又，～兄}也{～是：或是}仔{椅～：椅子}[4]也{又，～有}[5]亞{～軍}
#aʔ	
p	[7]百-{幾～}
pʰ	[7]拍-{～手}
b	[7]□{肉}[8]覓{放置；尋找}
t	[7]答-{～應}搭-{～車}怛{～懾：驚嚇}貼{俗，～紙}[8]踏-{～步}
tʰ	[7]塔{寶～}獺{～窟：地名}[8]遝{疊}
l	[7]□{～燥：半乾}□{阿～：估計}[8]蠟-{～燭}臘-{～梅}曆{～日：日曆}獵-{～狗}納{～涼}
ts	[7]紮{贊助}[8]截{～車}鍘{～刀}炸{油～鬼：油條}閘-{～門}
tsʰ	[7]插{～花}
s	[8]煠{白水煮物}
k	[7]蓋{～被}合{～意：中意}夾{搭配}甲{～級}鉀{～肥}胛{肩～}裌{～仔：背心}□{籃、桶等的提梁}教{又，差～：差使}[8]揭{舉；拿}
kʰ	[7]卡{～車}哢喀□{～門：閉門}[8]屐{柴～：木屐}闔{羈～：羈留；耽擱}
h	[7]福{西～：地名}哈{～燒酒：喝酒}[8]合-{又，～身}□{竹～：竹子的外皮}
∅	[7]押-{～送}鴨-{雞～}壓-{～尺}啞{俗，～鈴}[8]盒-{鐵～}匣-{梳妝～}狎{戲～}
#ɔ	
p	[1]褒=波={風～：誇張}菠={～倫菜：菠菜}晡{下～：下午}埠{俗，～頭}埔{俗，平～：平地}夫-{丈～：男人}坡{馬加～：地名}[2]苞{俗，花～：蓓蕾}捕{俗，逮～}□{裾的貼邊}袍={龍～}婆=蒲{～公英}□{豆豉～：豆豉}[3]寶=保={～庇：保佑}堡補斧-{～頭}脯-{菜～：蘿蔔乾}[4]部[5]報=播布怖傅-{姓}[6]哺{咀嚼}步捕{～風捉影}
pʰ	[1]麩-{麥～}鋪[2]扶-{奉承}菩=莆{～田：地名}[3]頗{～～：約略}普譜浦圃埔{黃～軍校}[4]簿部{又，一～書}[5]破={～壞}鋪{又，一～：十裏}
b	[1]摸{～底}[2]摸{又}模漠{俗，沙～}[3]某{～部}畝牡姥母{妻子}[5]茂-{後～：地名}墓戊{～戌}
t	[1]刀=都多[2]廚-{～子：廚師}濤逃萄=淘={～汰}陶{～瓷}徒屠圖塗途荼{～毒}陀沱跎佗{華～：人名}鴕駝馱[3]島搗倒{不～翁}禱{～告}堵賭睹肚{腹～：肚子}屠{俗，～殺}朵垛躲[4]道{無～}稻肚{又，腸～}杜{姓}惰舵墮[5]到{報～}倒妒[6]導{領～}蹈{舞～}悼盜度鍍渡
tʰ	[1]叨滔韜拖[2]桃=塗{又，泥土}[3]討=土{～地}吐{～氣：喘氣；歎氣}妥橢[5]套兔吐{又，～血}唾{～棄}[6]度{又，給予}
l	[2]勞撈={捕～}癆{肺～：肺結核}牢=爐壚鱸瀘顱鸕廬蘆腡=螺=羅=蘿=籮=鑼=邏=奴孥[3]老{～鼠}潦魯{姓}櫓嚕{烏～白～：講髒話}虜鹵{～味}擄=祼努弩[4]嘍{語氣詞}鹵{鹽～}□{搖}祼{～體}努{～力}[6]澇路賂露鷺怒
ts	[1]遭{～遇}糟=㷮=租[2]曹{姓}槽嘈[3]早=棗=祖組阻詛俎左{～右}佐[4]皂{～白}造坐={～視}[5]做[6]助座{～談}
tsʰ	[1]操={～勞}初={～步}粗={～心}搓={～板}蹉=[3]草={～～}楚={清～}礎[5]糙=操{又，～行}醋措{～辭}錯=挫{～折}剉噪躁{急～}
s	[1]騷={～擾}搔=臊梳{～理}疏{～通}蔬{～菜}蘇{姓}酥娑嗦唆=梭□{～腰：脊背微駝}[3]嫂所鎖=瑣嗩掃{大～除}數{～字}漱嗽素訴燥=躁{～性：急性子}
k	[1]羔=糕=高={～度}膏篙皋睾戈{～甲}哥=歌{～舞團}孤姑沽枯鴣辜{無～}菇[2]糊{漿～}[3]稿=槁=縞=估咕古詁牯鈷股鼓蠱賈{又，商～}果={成～}裹粿=[5]告{廣～}誥故固錮雇顧過={記～}
kʰ	[1]箍{鐵～：鐵圈}呼{～雞}柯=軻{荊～：人名}苛{～求}屙=科顆{大～把：個頭大}棵=枯{又}□{竹～：竹筒}[2]糊{又，維持}[3]苦許{姓}[5]誥{又，～命}靠{依～}犒{～勞}課{功～}庫{倉～}褲
ɡ	[2]敖{姓}遨=熬=嗷=鼇{～山}𠢕=訛吳蜈=吾梧[3]五={～彩}伍={隊～}仵{～作}[4]五-{～月}伍-[6]誤
h	[1]乎{幾～}呼={～叫}[2]號=豪{～傑：熱心}壕=禾=和{～平}何{～必}河荷胡{～說}湖瑚蝴葫{撈}壺狐弧{～度}[3]虎唬滸[4]荷{～重}戶滬禍=雨-{大～}[5]耗{～費}浩{～劫}皓{～月}戽{～水}貨=賀=獲{俗，收～}[6]號={又，綽～}互護
∅	[1]阿婀屙{沉～}烏{～鴉}嗚鎢窩萵渦倭[2]和{圓～：團圓}胡{姓}湖{～水}瑚{珊～}蝴{～蝶}弧{合攏；聚集}壺{水～}盂{痰～}[3]□{扒拉}□{佔便宜}[4]荷{又，感～}[5]惡{～妒：妒忌}芋-{～頭}□{祖護，偏護}
#ɔʔ	
∅	[7]嘔{俗，吐}[8]嘔{俗，吐}
#o	
p	[1]褒-{～義}玻菠-{～蘿}[2]婆{阿～}[3]保{～護}堡{碉～}葆褓寶{珠～}鴇跛=[5]報{～名}簸={顛～}[6]暴{～雨}
pʰ	[1]波{～浪}泡{又，～心：植物空心}坡{山～}[4]抱{相～}[5]泡{又，鬆脆}
b	[2]□{無}無{有～}[6]帽-{布～}磨{石～}
t	[1]刀-{刺～}[2]逃{～走}桃-{陽～}萄{葡～}淘{～井：掏井}駝{駱～}陀{彌～岩：岩洞名}砣沱{滂～}跎{蹉～}馱哪{俗，哪兒}[3]禱{祈～}倒{～臺}朵[4]道{～理}惰{～性}舵{～手}墮{～落}[5]倒{又，～水}[6]竇{鼻～}馱
tʰ	[1]叨{鵝、鴨等咬食}偷{～情}拖{～拉}[2]桃-{又，～李}陶{姓}佗{佚～：玩耍}[3]討{～債}[5]套{手～}妥{俗，～當}橢{俗，～圓}
l	[1]羅{～嗦}哪{～吒}叨{又，鵝鴨以口取食}[2]牢{監～}醪{渾濁}羅{姓}鑼{銅～}邏{巡～}籮{～筺}蘿=螺{～絲}[3]老{長～}栳{栲～}惱{煩～}瑙{瑪～}腦{頭～}娜{婀～：稱讚}[5]□{門～：頂門的大木}□{吃；揍}
ts	[1]糟{～心：煩心}謅鄒{姓}[2]槽{水～}嘈{～雜}[3]棗{紅～}走=左{～輪}[4]皂{青紅～白}造{創～}坐{～山雕}座{俗，星～}[5]皺奏{～樂}做{～空：做手腳}[6]驟{～然}座{～鐘}
tsʰ	[1]粗{～桶：糞桶}臊{臭～：腥味}[3]草{甘～：中藥名}楚{清～}[5]糙{粗～}湊錯{俗，～誤}棤{～施}挫{～傷}剉{～柴：砍柴}
s	[1]搓{～麻索：搓麻繩}騷{風～}搔{～癢}捜=唆{～使}梭{～巡}嗦{羅～}娑{婆～}[2]□{爬行}[3]嫂{阿～：嫂子}叟瘦{俗}鎖{鐵～}瑣{～碎}嗩={～呐}[5]掃{糞～：垃圾}痩=燥{～熱}
k	[1]羔-{羊～}糕-{～點}高-{～麗參}膏-{石～}篙-{竹～}哥{阿～}歌{高～}辜{姓}鍋={暖～：火鍋}[2]□{滾動；纏繞}[3]稿{草～}槁{枯～}縞{～素}[4]□{滾動}[5]告{～狀}個{～體}劃{訓，～船}
kʰ	[1]□{久煮}苛{～求}顆{俗，～粒}栲{樹名}[2]□{刁難}[3]□{稠}[5]靠{～手；硌手}課{～堂}□{～淺：擱淺}
ɡ	[2]遨{閒逛}[5]餓{枵～：饑餓}
h	[1]呵{叫賣}[2]豪{英～}壕{戰～}亳{～米}號{哀～}河{運～}何{姓}荷{～花}和{～解}[3]好-{～心}[6]號-{～碼}賀-{祝～}荷-{又，薄～}和-{又，唱～}
∅	[1]婀{～娜：稱讚}鷗{俗，海～}歐{俗，～陽：複姓}毆{俗，～打}蝸{～牛}窩{～工}撾{老～：國名}[2]壕{又，～溝}蠔{牡礪}河{～溪：銀河}[3]阿襖[5]奧{深～}澳{～門：地名}懊{～悔}
#oʔ	
p	[7]搏{拼～}博{沒有把握地嘗試}[8]薄{～紙}泊{落～：潦倒}箔{錫～}
pʰ	[7]粕{糟～}樸{～實}
b	[7]□{要}[8]膜{薄～}莫{～用：不要}
t	[7]卓-{姓}桌-{～椅}[8]著{燃燒}
tʰ	[8]踱{天～：愛理不理}
l	[8]洛-{～陽橋}落-{降～}駱-{姓}
ts	[7]作{種～：耕種}[8]躇
tsʰ	[7]□{罵粗話}
s	[7]索-{繩子}[8]鐲{玉～}□{狹小}
k	[7]胳{～下：腋下}擱{～置}閣{內～}各{～樣：異樣}廓{輪～}卻{訓，再，又}
h	[7]□{在水中久煮}[8]鶴{黃～}
∅	[7]惡-{難}[8]學-{～堂：學校}
#ə	
p	[1]飛-{試～}[2]賠{～償}培[3]□{～食：攫取}[4]倍{～數}[6]壩{水～}焙-{～飯：炒飯}背{～包}褙{裱～}佩{～銃：背著槍}
pʰ	[1]胚{大～：牲畜骨架大}坯{毛～}[2]皮{～帶}[4]被{～單}[5]杮{柴～花：刨木花}配{茶～：茶食}
b	[1]微{雨～～：濛濛雨}[2]糜{粥}[3]美{山～水庫}尾{結～}[6]妹{小～：妹妹}未{～是：且慢}
t	[1]䭔{煎～：煎餅}[3]短-[5]戴{姓}帶{別～：別處}□{量詞，塊}綴{～路：跟路}[6]代{朝～}袋{褲～}埭{海～}
tʰ	[1]胎{落～：流產}推{～讓}[5]退{～步}
l	[1]□{哩哩～～：關係密切}[2]螺{海～}腡{手～：手指紋}挼{揉}[3]儡{傀～}[5]□{又，時態助詞，正在}
ts	[1]災{雞～：雞瘟}[4]罪{～過}坐-{～墊}□{和上酵母的麵塊}[5]晬{度～：嬰兒一周歲}
tsʰ	[1]吹-{～風}炊-{～飯：蒸飯}[2]箠{小棍子}[3]髓{骨～}[5]脆{蔥～：清脆}[6]□{找}
s	[2]垂{消～：消痩}[5]賽{～緊：比快}稅{～收}
k	[3]□{墊}果-{～子}粿-{糕}[5]過{經～}髻{雞～：雞冠}鱖{～魚}
kʰ	[1]科-{～學}蝌{～蚪}棵[2]葵{～扇}瘸{～手：手有殘疾}[3]□{擋住或架住}
ɡ	[2]□{討厭}
h	[1]灰-{～色}[2]和{～棋}回={～話}[3]賄{家～：家產}火-{燈～}夥{～食}[5]貨-{雜～}歲-{～數}[6]會{分～：分辯}薈{蘆～}和
∅	[1]禍{俗，～根}鍋{～爐}窩{又，～藏}渦倭{～寇}[4]禍{生～：惹禍}穢{弄髒}過{傳染}
#əʔ	
p	[7]□{小兒驚風}
pʰ	[8]垡{泡沫}
b	[7]卜{替，又，要}□{又，要}[8]密{又，～～是：密密麻麻}襪-{鞋～}
t	[7]啄{～食}[8]奪{～龍眼：用高枝壓條法繁殖龍眼樹}
tʰ	[8]□{拿}
l	[7]□{用手指捏取}
ts	[7]蜇{～脫：糟蹋}[8]絕-{～種}
tsʰ	[7]啜{喝，呷}
s	[7]刷-{漆～}說-{～話}雪-{落～：下雪}[8]踅{旋轉}
k	[7]郭-{姓}
kʰ	[7]缺-{欠～}[8]□{驚～～：害怕的樣子}
ɡ	[8]月-{～光}
h	[7]豁{～性：因受激將而下決心}
∅	[7]□{～酸：吐酸水}[8]呃{應～：打嗝兒}
#e	
p	[2]爬-{～山}琶-{琵～}杷-{枇～}耙-{～仔：耙子}扒{～癢}[3]把-{火～}靶{箭～}[4]爸{老～：父親}陛{～下}[5]幣敝蔽斃弊[6]耙{又，犁～}
pʰ	[5]帕{手～}
b	[2]迷謎[3]馬-{～車}碼{～頭}螞{～蟻}瑪{～瑙}
t	[1]低[2]茶-{～水}題-蹄-[3]底□{最}[4]弟={～媳}[5]帝諦={投，扔}滯{潷}第遞締棣地{～球}悌{孝～}滯{又，～留}
tʰ	[1]□{斜躺}梯=[2]堤提啼=[3]體-{身～}替涕剃[6]䖳{海蜇}滯{又，吐～：歇氣}
l	[2]黎藜梨{～園}犁璃{玻～}麗{高～：舊稱朝鮮}鸝驪泥[3]醴禮[4]□{無～：有氣無力}[6]戾唳例厲勵礪蠣{牡～}隸麗荔儷酈{姓}
ts	[1]渣{油～}[2]齊={～備}臍=[3]濟{～南：地名}擠[4]剤{俗，藥～}[5]祭漈際濟{又，救～}劑詐{狡～}債-{還～}寨-{山～}制製
tsʰ	[1]叉{開～}杈{～仔：杈子}汊{河～}差{出～}妻{～室}淒萋棲{～身}[3]扯{～～：將就}[4]尺{エ～}[5]厠{～所}砌{玉～}切{一～}□{隨和}
s	[1]紗{～布}砂{硼～}裟{袈～}痧{著～：中暑}西={～方}犀{～利}樨{木～}[2]垂{又，瀾～：圍嘴兒}[3]洗銑[5]世{～界}勢{形～}誓{～詞}逝{～世}細{～致}婿[6]逝{又}誓{又}筮噬拽
k	[1]圭閨{深～}雞=笄加-{～少：多少}家-{頭～：東家}傢{～俬}街=奎枷{枷鎖}[3]假{～山}[4]下-{懸～：高低}[5]計{～較}繼薊價{～格}嫁{出～}架{鐵～}駕{量詞}假{又，放～：放寒、暑假}解{～差}芥{～藍菜}
kʰ	[1]稽{～考}溪[3]啟稽{～首}[4]下{又，放置}[5]契{默～}憩{小～}
ɡ	[2]霓{～虹燈}倪{端～}牙-{象～}芽-{發～}衙{～口：地名}[6]藝{～術}囈毅詣{造～}
h	[1]瘕{～痀：哮喘}[2]兮奚蹊{～徑}蝦{魚～}霞{紅～}[4]下-{又，～願：許願}暇{放～：放學}[6]系夏{立～}
∅	[2]兮{我～：我的}霞{又，～美：地名}[3]啞{～口：啞巴}[4]下{又，頂～：上下}廈{又，～門：地名}解{會；懂得}[5]翳=縊{自～}[6]下-{又，量詞，搖幾～}裔{後～}
#eʔ	
p	[7]扒{又，攀爬}百-{～姓}柏{松～}伯-{大～}璧{掰}檗{黃～}[8]白-{～糖}帛{骹～：裹腳布}
b	[8]麥-{大～}脈-{動～}
t	[7]笮{壓}[8]笮{又，平息}
tʰ	[7]徹{精光}澈{乾淨}[8]宅-{住～}
l	[7]□{過秤時重量稍少}[8]裂{必～：裂縫}
ts	[7]叔{阿～：叔父}簀{合～：一種小藤箱}仄{平～}
tsʰ	[7]冊{～包：書包}廁{又，～磚：壘磚}[8]鑔{俗，小鈸}
s	[7]泄{掉落}屑{餅～}
k	[7]格-{風～}隔-{間～}膈{～食：食道癌}[8]桀{阻止，阻擋}
kʰ	[7]客-{～廳}[8]桀{又，～～：隔閡}
∅	[8]□{兒語，髒}
#ɯ	
t	[1]豬[2]除躇{躊～}[3]貯[4]著{在}佇{～立}苧[5]著{又，～作}[6]箸{筷子}
tʰ	[2]除{又，～草：鋤草}[3]儲
l	[2]廬{茅～}驢閭{～巷}櫚{棕～}如茹[3]旅呂侶鋁屢{俗，～次}女汝{你}[4]呂{姓}侶{情～}鋁{～鍋}[6]濾
ts	[1]書{圖～}諸{～位}資姿咨茲滋孳淄輜孜[2]蜍{蟑～：蟾蜍}慈磁瓷{陶～}薯{番～：甘薯}[3]紙煮子{～弟}籽{～棉}仔{～細}梓{桑～}紫[5]□{茭～：草袋}[6]自字{～正腔圓}
tsʰ	[1]差{又，參～}疵雌蛆{車～：孑孓}疽舒{～草：鋪草}[2]□{著迷}[3]侈此處{～治}鼠{老～}暑{～瓜：絲瓜}[5]處{又，～理}次蛆
s	[1]師{～長}獅螄書{～記}舒{～服}私{～人}俬斯思{～念}司{～令}[2]蜍{蟾～}詞祠辭{修～}儲徐[3]矢屎史{曆～}使{～命}駛{急～而過}鼠{～竄}暑{～假}署曙{俗，～光}黍[4]士仕柿巳祀俟似姒序緒敘嶼[5]賜蛆{胡蠅～：蒼蠅的卵塊}庶恕思{又，意～}四{～肢}泗駟肆絮[6]伺飼{～養}嗣事{～故}
k	[1]居裾車{～馬炮}[2]渠[3]舉矩[4]巨拒距炬鋸踞倨據{～在汝：隨你的便}[6]據{又，～點}
kʰ	[5]去
ɡ	[2]魚=漁=[3]語齬{膩}[6]禦馭
h	[1]虛噓墟圩[2]魚-{～肉}漁-{～民}[3]許{贊～}栩詡
∅	[1]於={等～}於{姓}淤[2]餘予輿{～論}[3]與予{又，給～}[5]飫{膩}[6]豫譽預
#ɯʔ	
ts	[7]漬{俗，蘸吸}
tsʰ	[7]□{向前傾}
k	[7]□{澀～～：很澀}
#i	
p	[1]卑碑悲蜱{牛～}蓖{～麻}啡{～仔：哨子}啤{俗，～酒}[2]裨{～益}毗{～連}蚍{～蜉}枇琵脾啤{～酒}□{擒，抓；拉緊}[3]比妣{考～}彼匕{～首}庇{俗，包～}[4]被{～動}婢{奴～}[5]閉痹秘泌[6]備庇{保～：保佑}避臂轡{鞍～}
pʰ	[1]胚{俗，～胎}丕坯{俗}砒{～霜}紕{～漏}披帔[2]皮={～毛}疲[3]鄙={卑～}否{～極泰來}痞疕{痂}[5]屁{～股}[6]鼻譬{～如}
b	[1]眯{笑～～}[2]眉={～目}楣湄嵋{峨～山}咪{貓～}糜={～爛}靡{～費}彌{～陀岩}獼{～猴}微{～弱}薇{薔～}惟維唯[3]美{～麗}靡{萎～}米尾娓{～～動聽}[6]媚寐魅沬{沉～：潛水}未{～必}味
t	[1]知{告～}蜘{～蛛}[2]池馳弛遲持{記～：記性}弟{俗，～～：男孩}[3]抵底{到～}砥{～柱}邸{官～}徵{古代五音之一}[4]弟-{小～：弟弟}痔豸治{俗，統～}雉[5]戴-{～帽}蒂{瓜～}致置智[6]地{土～：土地爺}稚{幼～}
tʰ	[1]黐{黏～～：很黏}笞{鞭～}[2]苔-{青～}啼-{雞～}[3]恥搋{～雨傘：撐開雨傘}[5]涕{鼻～}
l	[1]哩{阿～：故作嬌態}[2]兒而厘狸離{距～}漓{淋～}籬璃{又，琉～}梨{又}尼{～姑}泥{塗～：泥土}[3]耳{木～}裏{鄉～}俚理鯉娌喱{咖～}李履{步～}[6]餌{魚～}二貳離{又，隔～}吏荔詈利{勝～}莉俐痢蒞{～臨}膩{油～}字{數～}
ts	[1]之芝膣{女陰}支=肢=枝=吱脂[2]薺{美～：荸薺}糍{麻～：一種糕點}[3]止址趾芷旨指只枳咫子{果～}籽{菜～}紫{～菜}姊[4]舐[5]志誌痣至摯贄幟
tsʰ	[1]癡{白～}蚩{～尤}鰓{魚～}[2]持{又，堅～}□{微濕}[3]齒=[4]市-{～場}[5]翅{魚～}熾{～熱}刺{～殺}試{～驗}弑{～君}[6]飼-{～豬：養豬}恃{～強}
s	[1]詩屍施司-{公～}俬{傢～}撕{～毀}思{相～}絲鷥[2]辭{～別}匙{鎖～：鑰匙}時[3]始死{～亡}徙[4]是市=氏祀{～大儂：長輩；父母}舐翅世{萬～：永遠}勢{南～：南邊}試弑四{～周}肆[6]豉{豆～}侍{～奉}恃{有～無恐}嗜{～好}謚視寺峙{對～}
k	[1]基箕幾{～乎}譏饑肌機{～器}嘰璣{珠～}姬奇{～零}羈{～留}技{俗，～術}妓{俗，～女}歧{俗，分～}祈{俗，～禱}支{～持}枝{樹～}肢{～體}吱梔{黃～}[2]畸{～形}奇琦騎{～兵}其棋琪淇祺麒期旗祁歧{～義}祈{～求}芪{黃～}[3]己紀幾{又，茶～}杞指{～天～地}[4]伎{～倆}技妓[5]己{俗，家～：自己}記冀既計{夥～}寄痣暨忌{～日}
kʰ	[1]欺敧{傾斜}蹊{～蹺}[2]忌{俗，～克：害怕}枇{俗，～杷}琵{俗，～琶}崎{～嶇}蜞{蜈～：螞蟥}[3]齒{～輪}豈起[4]柿{紅～：柿子}[5]氣={～象}汽企器棄
ɡ	[2]疑儀沂宜誼[3]擬蟻[6]義議毅
h	[1]希稀桸=犧煕嘻熹嬉曦[3]喜禧[4]耳-{～仔：耳朵}戲
∅	[1]衣={大～}依伊咿醫漪[2]維{～持}唯移夷{～族}姨胰咦怡貽飴頤{解～}彝{～族}迤{逶～}[3]椅倚{～仗}已以矣[5]意肄{～業}𤸸[6]易{輕～}異{差～}預{又，參與}
#iʔ	
p	[7]撇{～手䘼：挽袖子}鱉-
pʰ	[7]□{薄薄地切削}
b	[7]□{躲藏}[8]篾-{～席}
t	[7]滴{水～}[8]碟{菜～}挃{要}
tʰ	[7]剃{俗，～頭：理髮}鐵-{～板}
l	[7]□{～恝：乖張}[8]裂{又，～開}廿{～一}
ts	[7]寂{靜～～：寂靜}接{～球}折-{存～}漬{俗，油～～：油汪汪}[8]舌-{～尖}折-{拍～：打斷}
tsʰ	[7]切{～掣：閃電}叱{俗，惡～～：非常兇惡}[8]□{按，壓}蠞{梭子蟹}蠘{梭子蟹}
s	[7]薛-{姓}[8]蝕{消～：消減}
k	[8]□{驚叫}
kʰ	[7]缺-{又，破～：缺口}[8]□{粘住}
h	[7]□{～娎：不實在}
∅	[7]□{幼兒站立}[8]□{稠}
#u	
p	[2]炰{火中烤物}匏{俗，～仔：匏瓜}[4]□{～水泡：冒水泡}婦{新～：兒媳婦}[5]富-{～翁}[6]菢{孵}
pʰ	[2]浮{～橋}芙{～蓉}[3]殕{生～：發黴}[4]□{飛走}
b	[2]巫誣{～告}無{～故}蕪[3]母{阿母：母親}姆{保～}拇{～指}武鵡舞侮[4]□{～血：吐血}[6]務霧鶩遇{俗，～著：碰到}
t	[1]嘟堆{～風：迎風}推{～車}蛛誅株[2]廚{～房}櫥{～櫃}躕{牛～：不講道理}[3]拄{頂；找錢}[5]注{錢～：錢}疰{東西充塞}
tʰ	[2]躕{又，磨洋工}
l	[1]推{又，～熏：遞煙}[2]儒孺蠕薷{香～}俞{姓}瑜愉{～快}榆渝逾臾諛[3]僂縷=屢乳愈{～合}[4]腴{膏～：富裕}[6]喻{比～}諭裕{富～}
ts	[1]朱洙侏{～儒}珠{～寶}株{又}誅{又}[2]□{呼雞聲}[3]主[4]聚柱{支～}[5]鑄蛀注{～定}炷疰[6]□{墊}住{～址}駐{～防}
tsʰ	[1]趨{～勢}[2]雛[3]取{爭～}娶[4]□{滑}[5]趣厝{房屋}
s	[1]樞{～紐}輸姝需須{必～}[2]殊[3]署{俗，專～}黍{俗，玉蜀～}墅{俗，別～}璽[4]豎[5]戍{～邊}[6]樹{～立}
k	[1]股{屁～}龜-{烏～}拘{～東}駒痀{un3～：駝背}[2]瞿{姓}劬{～勞}[3]久-{～長：長久}韭-{～菜}[4]舅-{阿～：舅舅}[5]灸{針～}句[6]舊-{～式}具俱懼颶
kʰ	[1]丘-{三～園}邱-{姓}區嶇軀驅[2]跔{蹲}瞿{又，姓}[4]臼-{石～}柩{兩～棺材}[6]懼{又，畏～}
ɡ	[2]牛-愚娛[6]遇寓
h	[1]夫{～人}伕膚麩{餅～：餅屑}敷痡孵{～化}灰{火～：草木灰}[2]夫{又}扶{～持}芙孚俘浮{～想}蜉符苻紨[3]府俯腑甫輔脯撫釜{俗}斧{～正}腐{俗}朽{～爛}[4]釜腐阜父婦{～女}[5]赴訃付咐附賦富{～貴}副負傅{～會}𥦸煦酗{～酒}[6]腐{俗，豆～}駙{～馬}
∅	[1]污籲迂[2]於{姓}竽盂俞瑜榆愉渝逾臾{須～}諛[3]雨={穀～}禹羽宇腴愈[4]有{～力}[5]污{又，～點}煦{～燒：取暖}裕=喻芋=
#uʔ	
p	[7]發{冒出，長出}[8]□{䭕啤～：味道極淡}
pʰ	[7]□{罵人的話}[8]浮{又，泛～：水腫}
b	[7]□{抽煙}[8]□{用棍子打}
t	[7]厾{點～：指點}[8]□{刺}
tʰ	[7]托{～球}□{鏟；剔}[8]□{傻}
l	[7]□{跛行}□{用棍棒捅}
ts	[7]□{暫停}
tsʰ	[7]觸{輕觸}
s	[7]嗍{吮吸}
k	[8]□{大口地喝}
kʰ	[7]□{暫住；歇腳}[8]□{文火煮爛}
h	[7]□{獨得，包攬}
∅	[7]□{燒～～：暖烘烘}
#ai	
p	[2]排徘牌[3]擺跛{阿～：跛子}[5]拜湃[6]敗稗{～史}
pʰ	[3]否{壞}[5]派沛{充～}
b	[1]□{俗，膣～：女陰}[2]埋眉{目～毛：眉毛}楣{門～}[3]跛{俗，扭傷}□{死～：呆板}寐{～火：文火}[6]□{～脈：診脈}
t	[1]呆[2]臺苔鮐{～魚}埋{掩埋}□{米～：米中小蟲}[3]歹滓{俗，渣～}[4]殆怠待{擔～}舵{～公；舵手}[5]帶{～動}戴{愛～}代{～替}黛貸{～款}逮{～捕}[6]大{～方}袋岱玳埭事{～志：事情}
tʰ	[1]胎={～盤}苔{又，舌～}抬{俗，～舉}颱{風～：颱風}篩{～斗：篩子}[2]治-{殺}[3]□{～哥：麻瘋}呔{番～：不明事理}[4]待{又，接～}[5]泰{～山}太汰{淘～}態
l	[2]來萊梨[4]裏{心～}李{見曾南逸《福建泉州方言“阳药之鱼”四韵开口层次分析与配整》一文，文中提及晉江有村名為“裡厝”，俗作“內厝”，當地村民姓李；廈門的內厝澳據文中考證原名也當為“李厝澳”}[6]賴{依～}籟癩瀨{洪～：地名}利{～錢：利息}
