字目	读音	注释	声母	韵母	声调	(声母)	(声母序)	(韵母序)	(调序)	最后一个同音字?1为是	声韵组合	最后一个同音异调?1为是	同音字汇(同音异调!)	同音字汇连声韵
斃	=D24&E24&F24		p	i	41	=IF(D24=0,"〇",D24)	=VLOOKUP(G:G,声韵排序表!A:B,2,FALSE)	=VLOOKUP(E:E,声韵排序表!D:E,2,FALSE)	=VLOOKUP(F:F,声韵排序表!G:H,2,FALSE)	=IF(B24=B25,0,1)	=D24&E24	=IF(L24=L25,0,1)	=IF(M23=0,IF(K23=0,IF(B24=B23,N23&IF(C24=0,A24,A24&"{"&C24&"}"),"["&J24&"]"&IF(C24=0,A24,A24&"{"&C24&"}")),N23&"["&J24&"]"&IF(C24=0,A24,A24&"{"&C24&"}")),"["&J24&"]"&IF(C24=0,A24,A24&"{"&C24&"}"))	=L24&N24
敝	=D25&E25&F25		p	i	41	=IF(D25=0,"〇",D25)	=VLOOKUP(G:G,声韵排序表!A:B,2,FALSE)	=VLOOKUP(E:E,声韵排序表!D:E,2,FALSE)	=VLOOKUP(F:F,声韵排序表!G:H,2,FALSE)	=IF(B25=B26,0,1)	=D25&E25	=IF(L25=L26,0,1)	=IF(M24=0,IF(K24=0,IF(B25=B24,N24&IF(C25=0,A25,A25&"{"&C25&"}"),"["&J25&"]"&IF(C25=0,A25,A25&"{"&C25&"}")),N24&"["&J25&"]"&IF(C25=0,A25,A25&"{"&C25&"}")),"["&J25&"]"&IF(C25=0,A25,A25&"{"&C25&"}"))	=L25&N25
幣	=D26&E26&F26		p	i	41	=IF(D26=0,"〇",D26)	=VLOOKUP(G:G,声韵排序表!A:B,2,FALSE)	=VLOOKUP(E:E,声韵排序表!D:E,2,FALSE)	=VLOOKUP(F:F,声韵排序表!G:H,2,FALSE)	=IF(B26=B27,0,1)	=D26&E26	=IF(L26=L27,0,1)	=IF(M25=0,IF(K25=0,IF(B26=B25,N25&IF(C26=0,A26,A26&"{"&C26&"}"),"["&J26&"]"&IF(C26=0,A26,A26&"{"&C26&"}")),N25&"["&J26&"]"&IF(C26=0,A26,A26&"{"&C26&"}")),"["&J26&"]"&IF(C26=0,A26,A26&"{"&C26&"}"))	=L26&N26
弊	=D27&E27&F27		p	i	41	=IF(D27=0,"〇",D27)	=VLOOKUP(G:G,声韵排序表!A:B,2,FALSE)	=VLOOKUP(E:E,声韵排序表!D:E,2,FALSE)	=VLOOKUP(F:F,声韵排序表!G:H,2,FALSE)	=IF(B27=B28,0,1)	=D27&E27	=IF(L27=L28,0,1)	=IF(M26=0,IF(K26=0,IF(B27=B26,N26&IF(C27=0,A27,A27&"{"&C27&"}"),"["&J27&"]"&IF(C27=0,A27,A27&"{"&C27&"}")),N26&"["&J27&"]"&IF(C27=0,A27,A27&"{"&C27&"}")),"["&J27&"]"&IF(C27=0,A27,A27&"{"&C27&"}"))	=L27&N27
箅	=D28&E28&F28		p	i	41	=IF(D28=0,"〇",D28)	=VLOOKUP(G:G,声韵排序表!A:B,2,FALSE)	=VLOOKUP(E:E,声韵排序表!D:E,2,FALSE)	=VLOOKUP(F:F,声韵排序表!G:H,2,FALSE)	=IF(B28=B29,0,1)	=D28&E28	=IF(L28=L29,0,1)	=IF(M27=0,IF(K27=0,IF(B28=B27,N27&IF(C28=0,A28,A28&"{"&C28&"}"),"["&J28&"]"&IF(C28=0,A28,A28&"{"&C28&"}")),N27&"["&J28&"]"&IF(C28=0,A28,A28&"{"&C28&"}")),"["&J28&"]"&IF(C28=0,A28,A28&"{"&C28&"}"))	=L28&N28
背	=D29&E29&F29	文	p	i	41	=IF(D29=0,"〇",D29)	=VLOOKUP(G:G,声韵排序表!A:B,2,FALSE)	=VLOOKUP(E:E,声韵排序表!D:E,2,FALSE)	=VLOOKUP(F:F,声韵排序表!G:H,2,FALSE)	=IF(B29=B30,0,1)	=D29&E29	=IF(L29=L30,0,1)	=IF(M28=0,IF(K28=0,IF(B29=B28,N28&IF(C29=0,A29,A29&"{"&C29&"}"),"["&J29&"]"&IF(C29=0,A29,A29&"{"&C29&"}")),N28&"["&J29&"]"&IF(C29=0,A29,A29&"{"&C29&"}")),"["&J29&"]"&IF(C29=0,A29,A29&"{"&C29&"}"))	=L29&N29
臂	=D30&E30&F30		p	i	41	=IF(D30=0,"〇",D30)	=VLOOKUP(G:G,声韵排序表!A:B,2,FALSE)	=VLOOKUP(E:E,声韵排序表!D:E,2,FALSE)	=VLOOKUP(F:F,声韵排序表!G:H,2,FALSE)	=IF(B30=B31,0,1)	=D30&E30	=IF(L30=L31,0,1)	=IF(M29=0,IF(K29=0,IF(B30=B29,N29&IF(C30=0,A30,A30&"{"&C30&"}"),"["&J30&"]"&IF(C30=0,A30,A30&"{"&C30&"}")),N29&"["&J30&"]"&IF(C30=0,A30,A30&"{"&C30&"}")),"["&J30&"]"&IF(C30=0,A30,A30&"{"&C30&"}"))	=L30&N30
避	=D31&E31&F31		p	i	41	=IF(D31=0,"〇",D31)	=VLOOKUP(G:G,声韵排序表!A:B,2,FALSE)	=VLOOKUP(E:E,声韵排序表!D:E,2,FALSE)	=VLOOKUP(F:F,声韵排序表!G:H,2,FALSE)	=IF(B31=B32,0,1)	=D31&E31	=IF(L31=L32,0,1)	=IF(M30=0,IF(K30=0,IF(B31=B30,N30&IF(C31=0,A31,A31&"{"&C31&"}"),"["&J31&"]"&IF(C31=0,A31,A31&"{"&C31&"}")),N30&"["&J31&"]"&IF(C31=0,A31,A31&"{"&C31&"}")),"["&J31&"]"&IF(C31=0,A31,A31&"{"&C31&"}"))	=L31&N31
庇	=D32&E32&F32		p	i	41	=IF(D32=0,"〇",D32)	=VLOOKUP(G:G,声韵排序表!A:B,2,FALSE)	=VLOOKUP(E:E,声韵排序表!D:E,2,FALSE)	=VLOOKUP(F:F,声韵排序表!G:H,2,FALSE)	=IF(B32=B33,0,1)	=D32&E32	=IF(L32=L33,0,1)	=IF(M31=0,IF(K31=0,IF(B32=B31,N31&IF(C32=0,A32,A32&"{"&C32&"}"),"["&J32&"]"&IF(C32=0,A32,A32&"{"&C32&"}")),N31&"["&J32&"]"&IF(C32=0,A32,A32&"{"&C32&"}")),"["&J32&"]"&IF(C32=0,A32,A32&"{"&C32&"}"))	=L32&N32
痹	=D33&E33&F33		p	i	41	=IF(D33=0,"〇",D33)	=VLOOKUP(G:G,声韵排序表!A:B,2,FALSE)	=VLOOKUP(E:E,声韵排序表!D:E,2,FALSE)	=VLOOKUP(F:F,声韵排序表!G:H,2,FALSE)	=IF(B33=B34,0,1)	=D33&E33	=IF(L33=L34,0,1)	=IF(M32=0,IF(K32=0,IF(B33=B32,N32&IF(C33=0,A33,A33&"{"&C33&"}"),"["&J33&"]"&IF(C33=0,A33,A33&"{"&C33&"}")),N32&"["&J33&"]"&IF(C33=0,A33,A33&"{"&C33&"}")),"["&J33&"]"&IF(C33=0,A33,A33&"{"&C33&"}"))	=L33&N33
泌	=D34&E34&F34		p	i	41	=IF(D34=0,"〇",D34)	=VLOOKUP(G:G,声韵排序表!A:B,2,FALSE)	=VLOOKUP(E:E,声韵排序表!D:E,2,FALSE)	=VLOOKUP(F:F,声韵排序表!G:H,2,FALSE)	=IF(B34=B35,0,1)	=D34&E34	=IF(L34=L35,0,1)	=IF(M33=0,IF(K33=0,IF(B34=B33,N33&IF(C34=0,A34,A34&"{"&C34&"}"),"["&J34&"]"&IF(C34=0,A34,A34&"{"&C34&"}")),N33&"["&J34&"]"&IF(C34=0,A34,A34&"{"&C34&"}")),"["&J34&"]"&IF(C34=0,A34,A34&"{"&C34&"}"))	=L34&N34
秘	=D35&E35&F35		p	i	41	=IF(D35=0,"〇",D35)	=VLOOKUP(G:G,声韵排序表!A:B,2,FALSE)	=VLOOKUP(E:E,声韵排序表!D:E,2,FALSE)	=VLOOKUP(F:F,声韵排序表!G:H,2,FALSE)	=IF(B35=B36,0,1)	=D35&E35	=IF(L35=L36,0,1)	=IF(M34=0,IF(K34=0,IF(B35=B34,N34&IF(C35=0,A35,A35&"{"&C35&"}"),"["&J35&"]"&IF(C35=0,A35,A35&"{"&C35&"}")),N34&"["&J35&"]"&IF(C35=0,A35,A35&"{"&C35&"}")),"["&J35&"]"&IF(C35=0,A35,A35&"{"&C35&"}"))	=L35&N35
轡	=D36&E36&F36		p	i	41	=IF(D36=0,"〇",D36)	=VLOOKUP(G:G,声韵排序表!A:B,2,FALSE)	=VLOOKUP(E:E,声韵排序表!D:E,2,FALSE)	=VLOOKUP(F:F,声韵排序表!G:H,2,FALSE)	=IF(B36=B37,0,1)	=D36&E36	=IF(L36=L37,0,1)	=IF(M35=0,IF(K35=0,IF(B36=B35,N35&IF(C36=0,A36,A36&"{"&C36&"}"),"["&J36&"]"&IF(C36=0,A36,A36&"{"&C36&"}")),N35&"["&J36&"]"&IF(C36=0,A36,A36&"{"&C36&"}")),"["&J36&"]"&IF(C36=0,A36,A36&"{"&C36&"}"))	=L36&N36
費	=D37&E37&F37	白,姓氏音。	p	i	41	=IF(D37=0,"〇",D37)	=VLOOKUP(G:G,声韵排序表!A:B,2,FALSE)	=VLOOKUP(E:E,声韵排序表!D:E,2,FALSE)	=VLOOKUP(F:F,声韵排序表!G:H,2,FALSE)	=IF(B37=B38,0,1)	=D37&E37	=IF(L37=L38,0,1)	=IF(M36=0,IF(K36=0,IF(B37=B36,N36&IF(C37=0,A37,A37&"{"&C37&"}"),"["&J37&"]"&IF(C37=0,A37,A37&"{"&C37&"}")),N36&"["&J37&"]"&IF(C37=0,A37,A37&"{"&C37&"}")),"["&J37&"]"&IF(C37=0,A37,A37&"{"&C37&"}"))	=L37&N37
批	=D38&E38&F38	文	pʰ	i	35	=IF(D38=0,"〇",D38)	=VLOOKUP(G:G,声韵排序表!A:B,2,FALSE)	=VLOOKUP(E:E,声韵排序表!D:E,2,FALSE)	=VLOOKUP(F:F,声韵排序表!G:H,2,FALSE)	=IF(B38=B39,0,1)	=D38&E38	=IF(L38=L39,0,1)	=IF(M37=0,IF(K37=0,IF(B38=B37,N37&IF(C38=0,A38,A38&"{"&C38&"}"),"["&J38&"]"&IF(C38=0,A38,A38&"{"&C38&"}")),N37&"["&J38&"]"&IF(C38=0,A38,A38&"{"&C38&"}")),"["&J38&"]"&IF(C38=0,A38,A38&"{"&C38&"}"))	=L38&N38
披	=D39&E39&F39		pʰ	i	35	=IF(D39=0,"〇",D39)	=VLOOKUP(G:G,声韵排序表!A:B,2,FALSE)	=VLOOKUP(E:E,声韵排序表!D:E,2,FALSE)	=VLOOKUP(F:F,声韵排序表!G:H,2,FALSE)	=IF(B39=B40,0,1)	=D39&E39	=IF(L39=L40,0,1)	=IF(M38=0,IF(K38=0,IF(B39=B38,N38&IF(C39=0,A39,A39&"{"&C39&"}"),"["&J39&"]"&IF(C39=0,A39,A39&"{"&C39&"}")),N38&"["&J39&"]"&IF(C39=0,A39,A39&"{"&C39&"}")),"["&J39&"]"&IF(C39=0,A39,A39&"{"&C39&"}"))	=L39&N39
丕	=D40&E40&F40		pʰ	i	35	=IF(D40=0,"〇",D40)	=VLOOKUP(G:G,声韵排序表!A:B,2,FALSE)	=VLOOKUP(E:E,声韵排序表!D:E,2,FALSE)	=VLOOKUP(F:F,声韵排序表!G:H,2,FALSE)	=IF(B40=B41,0,1)	=D40&E40	=IF(L40=L41,0,1)	=IF(M39=0,IF(K39=0,IF(B40=B39,N39&IF(C40=0,A40,A40&"{"&C40&"}"),"["&J40&"]"&IF(C40=0,A40,A40&"{"&C40&"}")),N39&"["&J40&"]"&IF(C40=0,A40,A40&"{"&C40&"}")),"["&J40&"]"&IF(C40=0,A40,A40&"{"&C40&"}"))	=L40&N40
皮	=D41&E41&F41	文	pʰ	i	44	=IF(D41=0,"〇",D41)	=VLOOKUP(G:G,声韵排序表!A:B,2,FALSE)	=VLOOKUP(E:E,声韵排序表!D:E,2,FALSE)	=VLOOKUP(F:F,声韵排序表!G:H,2,FALSE)	=IF(B41=B42,0,1)	=D41&E41	=IF(L41=L42,0,1)	=IF(M40=0,IF(K40=0,IF(B41=B40,N40&IF(C41=0,A41,A41&"{"&C41&"}"),"["&J41&"]"&IF(C41=0,A41,A41&"{"&C41&"}")),N40&"["&J41&"]"&IF(C41=0,A41,A41&"{"&C41&"}")),"["&J41&"]"&IF(C41=0,A41,A41&"{"&C41&"}"))	=L41&N41
