#符号说明	-白读音 =文读音  □本字不明  {}内容注释
#调值	[1]阴平21 [2]阳平35 [3]上声32 [5]阴去44 [6]阳去33 [7a]阴入5 [8]阳入2 [7b]次阴入224
#ɿ	
tʰ	[1]推梯-[3]腿[5]蜕退[6]兑-
n	[6]内
l	[2]雷蕾镭[3]儡垒磊蕾[6]擂泪累类
ts	[3]嘴=[5]最醉=
tsʰ	[1]崔催=摧[2]隋随{~变}[3]璀[5]悴淬翠脆隧[6]遂
s	[1]虽[2]随=[3]髓[5]岁=碎=祟
ʐ	[3]蕊=[5]瑞{~典}
k	[1]龟圭归瑰-硅规闺鲑[3]癸轨鬼[5]刽桂贵鳜
kʰ	[1]亏盔窥[2]奎葵逵馗魁[3]傀{~儡}[5]愧[6]跪柜
x	[1]灰徽恢挥晖辉[2]回洄茴蛔[3]悔毁[5]卉晦{~气}秽诲讳贿[6]汇惠-慧-会桧烩绘=荟
tʂ	[1]追椎锥[5]缀赘
tʂʰ	[1]吹炊[2]捶棰椎槌锤垂=[6]坠-
ʂ	[2]谁垂-[3]水[5]瑞睡税
#ɜɪ	
pʰ	[1]剖
m	[2]牟眸谋[3]某亩[6]茂-贸-
f	[3]否
t	[1]丢兜[3]抖斗蚪陡[5]斗
tʰ	[1]偷[2]投头[5]透[6]痘窦豆逗
l	[1]溜[2]刘榴楼流浏琉留瘤硫蝼鎏镏馏髅[3]搂柳篓绺[6]漏遛陋
ts	[1]邹[3]走[5]奏揍
tsʰ	[5]凑
s	[1]馊嗖搜艘飕[3]叟擞[5]嗽
tʂ	[1]周州洲舟[3]帚肘[5]咒昼皱绉
tʂʰ	[1]抽[2]仇愁畴稠筹绸酬[3]丑[5]臭[6]宙骤
ʂ	[1]收[3]守手首[5]兽瘦[6]受售寿授绶
ʐ	[2]柔揉
k	[1]沟佝勾篝钩[3]枸狗苟[5]垢够购
kʰ	[1]扣抠[3]口[5]叩寇扣
ŋ	[1]欧沤殴瓯讴鸥[2]牛[3]偶呕藕[5]沤{长时间浸泡，往往伴有发酵}
x	[1]齁[2]侯喉猴[3]吼[5]鲎{一阵}□{汤烧干}
ø	[1]欧=
#ər	
ø	[2]儿而[3]洱尔耳迩饵[6]二
ĩ	
p	[1]边煸编蝙鞭鳊[3]匾扁贬[5]变
pʰ	[1]偏篇编翩[2]便=[5]片遍骗[6]便遍卞辨辫辩
m	[2]棉眠绵[3]免勉娩愐缅[6]面
t	[1]颠巅掂癫[3]典碘点[5]店惦殿甸癜踮电
tʰ	[1]天添[2]填甜田[3]舔[5]舚{用舌头吐鱼卡，泥螺壳等}[6]垫奠殿淀靛电{~力}
ȵ	[1]拈[2]严年研粘鲶黏[3]捻碾[6]念砚
l	[2]连帘廉怜帘联莲镰鲢[3]脸[6]恋楝炼练链
tɕ	[1]间=兼坚尖搛沾煎瞻肩詹[3]俭剪展捡检茧謇辗[5]占健剑建战-毽箭荐见键
tɕʰ	[1]仟佥千牵签签芊谦迁[2]乾前婵寻潜禅缠荨虔蝉蟾钳钱黔[3]浅谴遣阐[5]倩欠歉纤芡茜[6]件渐缠贱践
ɕ	[1]䘆仙先扇掀搧氙煽纤苫锨鲜[2]嫌弦舷贤□{小孩调皮淘气}[3]藓蚬闪陕险显鲜[5]宪扇献线腺苫骟[6]善擅现禅县缮羡膳赡
ø	[1]咽嫣焉烟燕胭腌菸蔫阉[2]严=妍延檐沿炎研=芫蜒言闫阎盐[3]奄掩演魇[5]䞁{比较长短}厌咽宴燕□{小孩好玩}
#yĩ	
ɕ	[1]宣籼鲜{~甜}[3]癣选
tɕʰ	[2]全
#ã	
p	[1]帮梆泵浜邦[3]榜绑膀[5]谤
pʰ	[1]滂乓[2]旁磅膀庞[3]髈{大腿}[5]胖沗{浮在水面上}[6]棒磅
m	[2]忙氓盲芒茫[3]漭莽蟒
f	[1]坊妨方芳[2]妨房肪防[3]仿纺访[5]放
v	[1]汪[2]亡王黄[3]往惘枉网魍[5]旺[6]妄忘旺望□{障~：用芦柴茎编成的板状物，作建材}
t	[1]当裆铛[3]挡党[5]档当
tʰ	[1]汤蹚[2]唐堂塘搪棠糖膛螗螳糖[3]倘淌躺[5]烫趟[6]宕荡
n	[1]囔{叹息词}[2]囊瓤[3]攮{~子刀：工具铁制，头尖，口锋利，有短柄，似匕首，主要用于宰杀猪羊等牲口}齉{鼻音重}
l	[1]啷[2]狼廊榔琅螂躴郎[3]朗[6]㫰浪
ts	[1]赃脏[5]脏葬藏
tsʰ	[1]仓沧舱苍[2]藏[6]脏藏
s	[1]丧桑[3]嗓[5]丧
tʂ	[1]张彰樟漳璋章蟑[3]掌涨长[5]仗帐涨胀账障
tʂʰ	[1]娼昌猖鲳[2]场嫦常肠长[3]厂敞[5]倡唱畅[6]丈仗杖
ʂ	[1]伤商殇熵[2]偿-尝裳[3]晌赏[6]上尚
ʐ	[2]瓤
k	[1]江刚冈纲缸罡肛豇钢[2]刚{~刚}[3]岗港讲[5]杠焵{煎}虹降
kʰ	[1]康慷糠[2]吭{对方说的话：他~……}扛[5]亢囥抗炕
