字	IPA	调值
元	ye	31
秩	tsʰɿ	24
匣	ɕia	24
狂	kʰua	31
純	suei	31
哀	ei	44
鹹	ɕie	31
趕	ka	42
統	tʰu	42
瑞	suei	55
枕	tsɯ	42
柴	tsʰei	31
亂	lua	55
醋	tsʰu	55
履	lyi	42
宣	ɕye	44
晏	ie	55
建	tɕie	55
吾	u	31
偷	tʰou	44
蝕	sɿ	24
例	li	55
淆	ɕiɔ	31
搭	ta	24
弓	ku	44
旗	tɕʰi	42
國	kue	24
庚	kɯ	44
棚	pʰou	31
妻	tɕʰi	44
完	ua	31
己	tɕi	42
飾	sɿ	55
插	tsʰa	24
桌	tso	24
求	tɕʰiou	31
初	tsʰu	44
謙	tɕʰie	44
悴	tsʰuei	55
巢	tsʰɔ	31
運	yɯ	55
同	tʰu	31
鴉	ia	44
擇	tsʰe	24
税	suei	55
思	sɿ	44
倦	tɕye	55
鐵	tʰie	24
歲	suei	55
衛	uei	55
前	tɕʰie	31
六	lu	24
熟	su	24
真	tsɯ	44
曰	ye	24
鄰	liɯ	31
販	fa	55
店	tie	55
廉	lie	31
二	e	55
撑	tsʰɯ	44
頂	tiɯ	42
篆	tsua	55
硬	ɯ	55
凡	fa	31
公	ku	44
小	ɕiɔ	42
摇	iɔ	31
煙	ie	44
旁	pʰa	31
賢	ɕie	31
科	kʰo	44
味	vei	55
字	tsɿ	55
械	kei	55
醃	ie	44
仰	lia	42
奴	nu	31
誠	tsʰɯ	31
伐	fa	24
婆	pʰo	31
總	tsu	42
裏	i	42
裏	li	42
北	pe	24
波	po	44
作	tso	24
介	kei	55
紅	xu	31
府	fu	42
恰	tɕʰia	24
郁	iou	55
刮	kua	24
比	pi	42
伯	pe	24
此	tsʰɿ	42
黨	ta	42
吞	tʰuei	44
育	yu	24
熱	ze	24
艾	ei	55
休	ɕiou	44
洗	ɕi	42
杜	tu	55
判	pʰa	55
盤	pʰa	31
第	ti	55
霞	ɕia	31
唐	tʰa	31
年	nie	31
鑷	nie	24
柱	tsu	55
革	ke	24
樹	su	55
割	ko	24
鰥	kua	44
陸	lu	24
蠶	tsʰa	31
臻	tsɯ	44
宜	ni	31
忽	xu	24
温	uei	44
臣	tsʰɯ	31
能	nɯ	31
代	tei	55
則	tse	24
霍	xo	24
瓶	pʰiɯ	31
今	tɕiɯ	44
就	tɕiou	55
涉	se	24
大	ta	55
埋	mei	31
本	pɯ	42
桂	kuei	55
區	tɕʰyi	44
速	su	24
除	tsʰu	31
剩	sɯ	55
者	tse	42
晚	va	42
在	tsei	55
胡	xu	31
嫌	ɕie	31
知	tsɿ	44
千	tɕʰie	44
秃	tʰu	24
不	pu	24
板	pa	42
因	iɯ	44
忍	zɯ	42
緝	tɕi	24
法	fa	24
貳	e	55
延	ie	31
縛	po	24
錢	tɕʰie	31
買	mei	42
繞	zɔ	42
囂	ɕiɔ	44
靠	kʰɔ	55
卜	pʰu	24
翅	tsʰɿ	55
踢	tʰi	24
貶	pie	42
勳	ɕyɯ	44
又	iou	55
掘	tɕʰyu	24
戒	kei	55
宋	su	55
技	tɕi	55
花	xua	44
歌	ko	44
化	xua	55
門	mɯ	31
和	xo	31
雲	yɯ	31
雲	yɯ	44
粉	fɯ	42
蕊	zuei	42
肥	fei	31
謀	mou	31
奪	to	24
踏	tʰa	24
糾	tɕiou	44
堯	iɔ	31
素	su	55
死	sɿ	42
圍	uei	31
造	tsʰɔ	55
叫	tɕiɔ	55
哭	kʰu	24
碧	pi	24
存	tsʰuei	31
送	su	55
殖	tsɿ	24
歸	kuei	44
産	tsʰa	42
增	tsɯ	44
些	ɕie	44
炸	tsa	55
炸	tsa	24
糟	tsɔ	44
溺	ni	24
聶	nie	24
次	tsʰɿ	55
匡	kʰua	44
行	xa	31
行	ɕiɯ	31
謊	xua	42
杠	ka	55
菊	tɕyu	24
審	sɯ	42
薄	po	24
削	ɕio	24
毁	xuei	42
如	zu	31
自	tsɿ	55
拔	pa	24
往	va	42
暫	tsa	55
噎	ie	24
坡	pʰo	44
徹	tsʰe	24
獲	xue	24
昂	a	31
瑟	se	24
故	ku	55
旬	ɕyɯ	31
老	lɔ	42
梯	tʰi	44
旋	ɕye	31
忘	va	31
律	li	24
兄	ɕyu	44
貓	mɔ	44
引	iɯ	42
散	sa	55
撒	sa	42
歪	uei	44
刷	sua	24
角	ko	24
角	tɕio	24
吹	tsʰuei	44
漢	xa	55
欣	ɕie	44
亥	xei	55
細	ɕi	55
趁	tsʰɯ	55
吉	tɕi	24
橙	tsʰɯ	31
愁	tsʰou	31
貧	pʰiɯ	31
孫	suei	44
上	sa	55
鏟	tsʰa	42
表	piɔ	42
絨	zu	31
篤	tu	24
數	su	55
數	su	42
盈	iɯ	31
星	ɕiɯ	44
祥	tɕʰia	31
榮	yu	31
跌	tie	24
憲	ɕie	55
娘	nia	31
冬	tu	44
繭	tɕie	42
披	pʰi	44
薛	ɕye	24
佳	tɕia	44
洛	lo	24
夾	tɕia	24
剥	po	24
接	tɕie	24
附	fu	55
李	li	42
宗	tsu	44
秘	mi	55
秘	mi	55
飄	pʰiɔ	44
脚	tɕio	24
查	tsʰa	31
認	zɯ	55
開	kʰei	44
安	a	44
翁	u	44
園	ye	31
爾	e	42
飽	pɔ	42
孟	mou	55
黄	xua	31
支	tsɿ	44
限	ɕie	55
唱	tsʰa	55
丢	tiou	44
恭	ku	44
米	mi	42
罩	tsɔ	55
負	fu	55
壽	sou	55
習	ɕi	24
禍	xo	55
來	lei	31
却	tɕʰio	24
單	ta	44
藥	io	24
帽	mɔ	24
險	ɕie	42
舌	se	24
虐	lio	24
淵	ye	44
閲	ye	24
或	xue	24
幫	pa	44
脅	ɕie	24
很	xɯ	42
五	u	42
怕	pʰa	55
病	piɯ	55
再	tsei	55
鄧	tɯ	55
威	uei	44
師	sɿ	44
旺	ua	55
政	tsɯ	55
狀	tsua	55
瞎	ɕia	24
即	tɕi	24
赫	xe	24
兮	ɕi	44
概	kʰei	55
貞	tsɯ	44
莫	mo	24
拍	pʰe	24
閉	pi	55
户	xu	55
殼	kʰo	24
舉	tɕyi	42
武	vu	42
供	ku	44
蓋	kei	55
手	sou	42
癬	ɕye	42
月	ye	24
惡	o	24
改	kei	42
讀	tu	24
誰	suei	31
塊	kʰuei	42
治	tsɿ	55
急	tɕi	24
諸	tsu	44
匙	tsʰɿ	42
蕭	ɕiɔ	44
喧	ɕye	44
答	ta	24
倍	pei	55
粹	tsʰuei	55
替	tʰi	55
均	tɕyɯ	44
西	ɕi	44
尺	tsʰɿ	24
站	tsa	55
他	tʰa	44
圓	ye	31
奇	tɕʰi	42
鹿	lu	24
災	tsei	44
難	na	31
特	tʰe	24
集	tɕi	24
隻	tsɿ	44
鐘	tsu	44
糙	tsʰɔ	55
閏	zuei	55
徽	xuei	44
够	kou	55
沾	tsa	44
調	tiɔ	55
調	tʰiɔ	31
遵	tsuei	44
逆	ni	24
挾	tɕia	24
辱	zu	24
絶	tɕye	24
渴	kʰo	24
漸	tɕie	55
葉	ie	24
罪	tsuei	55
澀	se	24
掃	sɔ	42
役	i	24
責	tse	24
暴	pɔ	24
丙	piɯ	42
身	sɯ	44
兑	tuei	55
肴	ɕiɔ	31
東	tu	44
講	tɕia	42
椅	i	42
歷	li	24
居	tɕyi	44
務	vu	55
縣	ɕie	55
植	tsɿ	24
耕	kɯ	44
炒	tsʰɔ	42
範	fa	55
品	pʰiɯ	42
隨	suei	31
助	tsu	55
鬥	tou	42
狗	kou	42
瓊	tɕʰyɯ	31
况	kʰua	55
命	miɯ	55
業	nie	24
卒	tsu	24
疑	ni	31
聚	tɕyi	55
静	tɕiɯ	55
跳	tʰiɔ	55
關	kua	44
盗	tɔ	55
醉	tsuei	55
言	ie	31
徙	ɕi	42
囊	na	31
客	kʰe	24
印	iɯ	55
戊	vu	55
廢	fei	55
敲	kʰɔ	44
丕	pʰei	42
嗟	tɕia	44
女	nyi	42
佩	pʰei	55
秋	tɕʰiou	44
雪	ɕye	24
與	yi	42
嵩	su	44
示	sɿ	55
希	ɕi	44
派	pʰei	55
辨	pie	55
瘦	sou	55
從	tsʰu	31
厭	ie	55
孕	yɯ	55
臂	pei	55
偕	xei	31
慣	kua	55
車	tsʰe	44
剛	ka	44
隱	iɯ	42
膽	ta	42
芳	fa	44
充	tsʰu	44
補	pu	42
察	tsʰa	24
須	ɕyi	44
蒙	mou	31
寨	tsei	55
欽	tɕʰiɯ	44
闢	pʰi	24
屢	luei	42
對	tuei	55
南	na	31
鄭	tsɯ	55
蘇	su	44
將	tɕia	44
汗	xa	55
俗	su	24
姜	tɕia	44
弱	zo	24
窩	o	44
福	fu	24
侯	xou	31
追	tsuei	44
頭	tʰou	31
聊	liɔ	31
茄	tɕʰie	31
當	ta	44
彪	piou	44
帥	suei	55
厄	e	24
迫	pʰe	24
獸	sou	55
昭	tsɔ	44
足	tsu	24
託	tʰo	24
彎	ua	44
感	ka	42
房	fa	31
承	tsʰɯ	31
飛	fei	44
巾	tɕiɯ	44
肚	tu	42
肚	tu	55
坑	kʰɯ	44
爹	tie	44
掛	kua	55
喜	ɕi	42
聞	vɯ	31
退	tʰuei	55
戚	tɕʰi	24
恨	xɯ	55
骨	ku	24
王	ua	31
演	ie	42
禀	piɯ	42
學	ɕio	24
張	tsa	44
握	u	24
豆	tou	55
絮	ɕyi	55
婦	fu	55
奏	tsou	55
達	ta	24
扯	tsʰe	42
譜	pʰu	42
乎	xu	44
鍋	ko	44
滅	mie	24
橋	tɕʰiɔ	31
步	pu	55
服	fu	24
題	tʰi	31
果	ko	42
趣	tɕʰyi	55
逼	pi	24
促	tsʰu	24
遲	tsʰɿ	31
累	luei	55
讓	za	55
幾	tɕi	42
舅	tɕiou	55
娶	tɕyi	55
傾	tɕʰiɯ	42
丑	tsʰou	42
泊	pʰe	24
鄙	pʰi	42
夷	i	31
辣	la	24
爵	tɕio	24
永	yu	42
十	sɿ	24
肺	fei	55
蛙	ua	44
林	liɯ	31
悠	iou	44
放	fa	55
望	va	55
側	tsʰe	24
澤	tsʰe	24
靈	liɯ	31
封	fou	44
嫩	nuei	55
滑	xua	24
澈	tsʰe	24
類	luei	55
栗	li	24
怪	kuei	55
戀	lie	55
丸	ua	31
融	yu	31
曉	ɕiɔ	42
成	tsʰɯ	31
列	lie	24
菜	tsʰei	55
擺	pei	42
執	tsɿ	24
序	ɕyi	55
桶	tʰu	42
近	tɕiɯ	55
娃	ua	31
流	liou	31
雀	tɕʰio	24
疫	i	24
鉗	tɕʰie	31
昏	xuei	44
端	tua	44
劣	lie	24
遂	suei	55
俊	tɕyɯ	55
主	tsu	42
饒	zɔ	31
茸	zu	31
雜	tsa	24
蟲	tsʰu	31
冷	lɯ	42
懸	ɕye	31
餓	o	55
射	se	55
暑	tsʰu	42
頗	pʰo	42
耳	e	42
恒	xɯ	31
書	su	44
綴	tɕye	24
悲	pei	44
彼	pi	42
帶	tei	55
鴿	ko	24
籠	lu	42
櫃	kuei	55
辦	pa	55
忒	tʰe	24
餘	yi	31
牀	tsʰua	31
蚊	vɯ	31
抗	kʰa	55
快	kʰuei	55
債	tsei	55
計	tɕi	55
减	tɕie	42
觸	tsu	24
短	tua	42
項	xa	55
鞋	xei	31
皖	ua	42
勃	pʰu	24
域	yu	24
夜	ie	55
輕	tɕʰiɯ	44
潭	tʰa	31
怒	nu	55
亮	lia	55
幻	xua	55
衫	sa	44
冰	piɯ	44
詞	tsʰɿ	31
施	sɿ	44
脱	tʰo	24
聯	lie	31
尊	tsuei	44
盟	miɯ	31
酒	tɕiou	42
豬	tsu	44
提	tʰi	31
説	sue	24
灰	xuei	44
宅	tse	24
紹	sɔ	55
旱	xa	55
做	tso	55
硯	ie	55
孩	xei	31
鍘	tsa	24
像	ɕia	55
陽	ia	42
戳	tsʰo	24
斬	tsa	42
節	tɕie	24
神	sɯ	31
歎	tʰa	55
掀	ɕye	44
心	ɕiɯ	44
岳	io	24
畏	uei	55
根	kɯ	44
内	nuei	55
松	su	44
愚	yi	31
隆	lu	31
獅	sɿ	44
没	mu	24
奥	ɔ	55
忌	tɕi	55
蛇	se	31
寬	kʰua	44
鞠	tɕyu	24
酷	ku	24
候	xou	55
緩	xua	42
葵	kʰuei	31
干	ka	44
盛	sɯ	55
曝	pɔ	24
窗	tsʰua	44
功	ku	44
餐	tsʰa	44
越	ye	24
處	tsʰu	42
處	tsʰu	55
乃	nei	42
還	xua	31
還	xei	31
敏	miɯ	42
哪	na	42
轍	tsʰe	24
眼	ie	42
以	i	42
注	tsu	55
族	tsʰu	24
雙	sua	44
藍	la	31
沉	tsʰɯ	31
徐	ɕyi	31
口	kʰou	42
藝	i	55
戲	ɕi	55
維	vei	31
見	tɕie	55
璽	ɕi	42
筍	suei	42
渠	tɕʰyi	31
了	liɔ	42
襪	va	24
亦	i	24
橘	tɕyu	24
驕	tɕiɔ	44
狐	xu	31
日	zɿ	24
暖	nua	42
院	ua	55
姐	tɕie	42
頃	tɕʰiɯ	42
魚	yi	31
光	kua	44
亨	xɯ	44
遠	ye	42
燭	tsu	24
試	sɿ	55
靴	ɕye	44
捉	tso	24
竭	tɕie	24
穴	ɕye	24
校	ɕiɔ	55
物	vu	24
緑	lu	24
抓	tsua	44
商	sa	44
椿	tsua	44
椿	tsʰuei	44
婿	ɕyi	55
僻	pʰi	24
咬	iɔ	42
帖	tʰie	24
曠	kʰua	55
事	sɿ	55
少	sɔ	42
恩	ɯ	44
走	tsou	42
片	pʰie	55
征	tsɯ	44
捏	nie	24
樣	ia	55
藕	ou	42
貝	pei	55
拉	la	44
囚	tɕʰiou	31
先	ɕie	44
點	tie	42
普	pʰu	42
條	tʰiɔ	31
息	ɕi	24
問	vɯ	55
寧	niɯ	31
嚴	ie	31
雨	yi	42
齒	tsʰɿ	42
都	tu	44
深	sɯ	44
歐	ou	44
撲	pʰu	24
拜	pei	55
兵	piɯ	44
春	tsʰuei	44
收	sou	44
談	tʰa	31
入	zu	24
論	luei	55
巴	pa	44
賣	mei	55
會	xuei	55
血	ɕye	24
防	fa	31
下	xa	55
下	ɕia	55
騾	lo	31
人	zɯ	31
英	iɯ	44
一	i	24
郎	la	31
柔	zou	31
侵	tɕiɯ	44
梅	mei	31
選	ɕye	42
綢	tsʰou	31
矢	sɿ	42
信	ɕiɯ	55
岸	a	55
閑	ɕie	31
醜	tsʰou	42
我	o	42
彙	luei	55
路	lu	55
全	tɕʰye	31
軟	zua	42
跑	pʰɔ	42
社	se	55
氣	tɕʰi	55
教	tɕiɔ	55
臘	la	24
局	tɕyu	24
句	tɕyi	55
吕	lyi	42
犬	tɕʰye	42
委	uei	42
右	iou	55
侄	tsɿ	24
火	xo	42
晋	tɕiɯ	55
縮	so	24
貴	kuei	55
野	ie	42
位	uei	55
惹	ze	42
斛	xu	31
術	su	24
德	te	24
荆	tɕiɯ	44
皆	kei	44
緣	ye	31
山	sa	44
逸	i	24
回	xuei	31
轎	tɕiɔ	55
船	tsʰua	31
里	li	42
救	tɕiou	55
辭	tsʰɿ	31
譯	i	24
末	mo	24
肯	kʰɯ	42
良	lia	31
虧	kʰuei	44
懷	xuei	31
設	se	24
杏	ɕiɯ	55
聽	tʰiɯ	44
聽	tʰiɯ	55
七	tɕʰi	24
鳥	tɔ	42
鳥	niɔ	42
兒	e	31
虚	ɕyi	44
尾	vei	42
官	kua	44
鋭	zuei	55
鬆	su	44
弘	xu	31
多	to	44
馬	ma	42
草	tsʰɔ	42
配	pʰei	55
名	miɯ	31
恤	ɕyu	24
襖	ɔ	42
崩	pɯ	44
僧	sɯ	44
暗	a	55
争	tsɯ	44
系	ɕi	55
核	xe	24
甜	tʰie	31
尼	ni	31
高	kɔ	44
叛	pʰa	55
算	sua	55
陵	liɯ	31
符	fu	31
龍	lu	31
間	tɕʰie	44
間	tɕie	44
郭	ko	24
席	ɕi	24
而	e	31
應	iɯ	55
失	sɿ	24
鶯	iɯ	44
邪	ɕie	31
堅	tɕie	44
由	iou	31
慢	ma	55
蓬	pʰou	31
順	suei	55
保	pɔ	42
沿	ie	31
羊	ia	42
妓	tɕi	55
蔡	tsʰei	55
研	ie	31
坤	kʰuei	44
脆	tsʰuei	55
得	te	24
離	li	31
新	ɕiɯ	44
麥	me	24
潮	tsʰɔ	31
風	fou	44
葱	tsʰu	44
到	tɔ	55
你	ni	42
空	kʰu	44
魂	xuei	31
等	tɯ	42
茶	tsʰa	31
赤	tsʰɿ	24
棲	tɕʰi	44
趙	tsɔ	55
要	iɔ	55
納	na	24
燒	sɔ	44
有	iou	42
用	yu	55
奶	nei	44
奶	nei	42
祖	tsu	42
蝦	ɕia	44
雄	ɕyu	31
儒	zu	31
瓜	kua	44
值	tsɿ	24
哥	ko	44
宏	xu	31
刻	kʰe	24
那	na	55
狹	ɕia	24
盼	pʰa	55
鮮	ɕye	44
剖	pʰo	42
管	kua	42
驗	ie	55
何	xo	31
極	tɕi	24
額	e	24
假	tɕia	42
假	tɕia	55
牢	lɔ	31
翻	fa	44
團	tʰua	31
榜	pa	42
畜	ɕyu	24
袖	ɕiou	55
牽	tɕʰie	44
包	pɔ	44
徵	tsɯ	44
性	ɕiɯ	55
格	ke	24
最	tsuei	55
通	tʰu	44
賊	tse	24
否	fou	42
傑	tɕie	24
獄	yu	24
半	pa	55
腐	fu	42
其	tɕʰi	42
約	io	24
九	tɕiou	42
圖	tʰu	31
馮	fou	31
酸	sua	44
微	vei	31
攪	kɔ	42
策	tsʰe	24
碑	pei	44
撞	tsua	55
活	xo	24
象	ɕia	55
袍	pʰɔ	31
許	ɕyi	42
摘	tse	24
笑	ɕiɔ	55
式	sɿ	55
謝	ɕie	55
略	nio	24
稻	tɔ	55
的	ti	44
换	xua	55
可	kʰo	42
頓	tuei	55
帝	ti	55
暮	mo	55
寫	ɕie	42
倉	tsʰa	44
寵	tsʰu	42
形	ɕiɯ	31
然	za	31
喝	xo	44
史	sɿ	42
缺	tɕʰye	24
寒	xa	31
沙	sa	44
扶	fu	31
方	fa	44
軒	ɕie	44
翠	tsʰuei	55
偵	tsɯ	44
螢	iɯ	31
敝	pi	55
沃	u	24
典	tie	42
忙	ma	31
腦	nɔ	42
尹	iɯ	42
敢	ka	42
尋	ɕyɯ	31
費	fei	55
君	tɕyɯ	44
擲	tsɿ	24
斯	sɿ	44
莊	tsua	44
壁	pi	24
拿	na	31
羽	yi	42
效	ɕiɔ	55
壬	zɯ	31
三	sa	44
撇	pʰie	24
江	tɕia	44
弦	ɕye	31
課	kʰo	55
嘴	tsuei	42
香	ɕia	44
正	tsɯ	55
子	tsɿ	42
突	tʰu	24
姑	ku	44
殺	sa	24
結	tɕie	24
鉛	tɕʰie	44
爬	pʰa	31
鶴	xo	24
滚	kuei	42
協	ɕie	24
犯	fa	55
跟	kɯ	44
被	pi	55
睡	suei	55
吊	tiɔ	55
底	ti	42
賭	tu	42
寡	kua	42
後	xou	55
肘	tsou	42
質	tsɿ	24
鷄	tɕi	44
横	xuei	31
奚	ɕi	44
姓	ɕiɯ	55
坐	tso	55
玄	ɕye	31
欲	yu	24
熊	ɕyu	31
畫	xua	55
天	tʰie	44
挖	ua	44
朵	to	42
地	ti	55
閘	tsa	24
瀑	pʰu	24
乘	tsʰɯ	31
齋	tsei	44
敗	pei	55
妖	iɔ	44
紐	niou	42
切	tɕʰie	24
左	tso	42
漏	lou	55
好	xɔ	42
昌	tsʰa	44
幸	ɕiɯ	55
屋	u	24
分	fɯ	44
玉	yi	55
含	xa	31
邊	pie	44
過	ko	42
密	mi	24
告	kɔ	55
租	tsu	44
弟	ti	55
碗	ua	42
賴	lei	55
齊	tɕʰi	42
詳	tɕʰia	31
嚼	tɕio	24
笛	ti	24
長	tsʰa	31
長	tsa	42
住	tsu	55
解	kei	42
甲	tɕia	24
屬	su	24
吃	tsʰɿ	24
無	vu	31
呼	xu	44
刀	tɔ	44
之	tsɿ	44
秦	tɕʰiɯ	31
激	tɕi	24
奉	fou	55
爲	uei	31
農	nu	31
軋	tsa	24
始	sɿ	42
士	sɿ	55
念	nie	55
惟	uei	31
彭	pʰou	31
肅	su	24
共	ku	55
染	za	42
某	mou	42
轉	tsua	42
力	li	24
架	tɕia	55
所	so	42
興	ɕiɯ	44
爺	ie	31
河	xo	31
木	mu	24
太	tʰei	55
展	tsa	42
遺	i	31
詩	sɿ	44
妥	tʰo	42
資	tsɿ	44
中	tsu	44
監	tɕie	44
揣	tsʰuei	42
城	tsʰɯ	31
器	tɕʰi	55
麗	li	55
鴨	ia	24
伴	pa	55
金	tɕiɯ	44
孽	nie	24
耻	tsʰɿ	42
食	sɿ	24
憶	i	55
泰	tʰei	55
晨	sɯ	31
也	ie	42
桅	uei	31
直	tsɿ	24
丘	tɕʰiou	44
捲	tɕye	42
去	tɕʰyi	55
垂	tsʰuei	31
營	iɯ	31
立	li	24
幼	iou	55
及	tɕi	24
生	sɯ	44
視	sɿ	55
釣	tiɔ	55
阮	zua	42
矣	i	42
堤	tʰi	31
塔	tʰa	24
吸	ɕi	24
季	tɕi	55
酌	tso	24
清	tɕʰiɯ	44
鼠	tsʰu	42
汪	ua	44
雷	luei	31
道	tɔ	55
測	tsʰe	24
恐	kʰu	42
卑	pei	44
佈	pu	55
外	uei	55
消	ɕiɔ	44
寶	pɔ	42
專	tsua	44
世	sɿ	55
仙	ɕie	44
古	ku	42
羅	lo	31
孤	ku	44
斤	tɕiɯ	44
飯	fa	55
著	tso	24
午	u	42
把	pa	42
危	uei	31
粗	tsʰu	44
進	tɕiɯ	55
更	kɯ	55
覺	tɕio	24
桑	sa	44
庵	a	44
若	zo	24
朝	tsɔ	44
董	tu	42
矮	ei	42
枉	va	42
繩	suei	31
竹	tsu	24
文	vɯ	31
八	pa	24
媽	ma	44
部	pu	55
斜	ɕia	31
周	tsou	44
肉	zu	24
曲	tɕʰyu	24
鵝	o	31
畝	mu	42
貌	mɔ	24
連	lie	31
拙	tɕye	24
甚	sɯ	55
件	tɕie	55
匿	ni	24
森	sɯ	44
